[94479] ['(4-4i)', '(6+5i)', '(7-3i)', '(7+2i)'] -> (((4-4i) + (6+5i)) + ((7-3i) + (7+2i)))
[94937] ['(4-4i)', '(6+6i)', '(6+8i)', '(8+8i)'] -> (((4-4i) * (6+6i)) / ((8+8i) - (6+8i)))
[94956] ['(4-4i)', '(6+6i)', '(6+9i)', '(8-6i)'] -> (((6+6i) * (8-6i)) - ((4-4i) * (6+9i)))
[94959] ['(4-4i)', '(6+6i)', '(6+9i)', '(8+7i)'] -> (-4i * (((1+2i) + (4+7i)) - (5+3i)))
[94960] ['(4-4i)', '(6+6i)', '(6+9i)', '(8+9i)'] -> (((4-4i) * (6+6i)) / ((8+9i) - (6+9i)))
[94961] ['(4-4i)', '(6+6i)', '(6+9i)', '(9-9i)'] -> ((4-4i) * (((1-i) * (3+7i)) - (7+i)))
[94977] ['(4-4i)', '(6+6i)', '(7-9i)', '(9-9i)'] -> (((4-4i) * (6+6i)) / ((9-9i) - (7-9i)))
[94990] ['(4-4i)', '(6+6i)', '(7-8i)', '(7+6i)'] -> (((4-4i) + (6+6i)) + ((7-8i) + (7+6i)))
[94991] ['(4-4i)', '(6+6i)', '(7-8i)', '(7+8i)'] -> (((1-4i) + (2+4i)) * ((3-9i) + (5+9i)))
[95001] ['(4-4i)', '(6+6i)', '(7-8i)', '(9-8i)'] -> ((-4i + (6+4i)) / ((1+2i) / (4+8i)))
[95017] ['(4-4i)', '(6+6i)', '(7-7i)', '(7+5i)'] -> (((1-9i) - (1-3i)) * ((7+7i) - (7+3i)))
[95019] ['(4-4i)', '(6+6i)', '(7-7i)', '(7+9i)'] -> (((7-7i) - (7+9i)) / ((4-4i) / (6+6i)))
[95022] ['(4-4i)', '(6+6i)', '(7-7i)', '(9-9i)'] -> (((4-2i) * (5+4i)) - ((1-i) + (3+7i)))
[95024] ['(4-4i)', '(6+6i)', '(7-7i)', '(9-7i)'] -> (((4-4i) * (6+6i)) / ((9-7i) - (7-7i)))
[95035] ['(4-4i)', '(6+6i)', '(7-6i)', '(7+4i)'] -> (((4-4i) + (6+6i)) + ((7-6i) + (7+4i)))
[95042] ['(4-4i)', '(6+6i)', '(7-6i)', '(9-8i)'] -> ((6+6i) * (((4-4i) + (7-6i)) - (9-8i)))
[95043] ['(4-4i)', '(6+6i)', '(7-6i)', '(9-6i)'] -> (((4-4i) * (6+6i)) / ((9-6i) - (7-6i)))
[95051] ['(4-4i)', '(6+6i)', '(7-5i)', '(7+3i)'] -> (((4-4i) + (6+6i)) + ((7-5i) + (7+3i)))
[95057] ['(4-4i)', '(6+6i)', '(7-5i)', '(9-7i)'] -> (-8i + ((2+2i) * (-9i + (8+5i))))
[95059] ['(4-4i)', '(6+6i)', '(7-5i)', '(9-5i)'] -> ((-8i * (2+2i)) - (-9i - (8+7i)))
[95065] ['(4-4i)', '(6+6i)', '(7-4i)', '(7+2i)'] -> (((4-4i) + (6+6i)) + ((7-4i) + (7+2i)))
[95077] ['(4-4i)', '(6+6i)', '(7-4i)', '(9-6i)'] -> ((4-4i) - (4 * (-i * (1-5i))))
[95079] ['(4-4i)', '(6+6i)', '(7-4i)', '(9-4i)'] -> (((4-4i) * (6+6i)) / ((9-4i) - (7-4i)))
[95083] ['(4-4i)', '(6+6i)', '(7-3i)', '(7+i)'] -> (((4-4i) + (6+6i)) + ((7-3i) + (7+i)))
[95087] ['(4-4i)', '(6+6i)', '(7-3i)', '(8-4i)'] -> (((6+6i) * (8-4i)) / ((7-3i) - (4-4i)))
[95093] ['(4-4i)', '(6+6i)', '(7-3i)', '(9-5i)'] -> (((1+2i) * (-4i + (5-8i))) - (5-2i))
[95096] ['(4-4i)', '(6+6i)', '(7-3i)', '(9-3i)'] -> (((4-4i) * (6+6i)) / ((9-3i) - (7-3i)))
[95098] ['(4-4i)', '(6+6i)', '(7-2i)', '7'] -> (((4-4i) + (6+6i)) + ((7-2i) + 7))
[95112] ['(4-4i)', '(6+6i)', '(7-2i)', '(9-4i)'] -> ((6+6i) * (((4-4i) + (7-2i)) - (9-4i)))
[95113] ['(4-4i)', '(6+6i)', '(7-2i)', '(9-2i)'] -> (((4-4i) * (6+6i)) / ((9-2i) - (7-2i)))
[95116] ['(4-4i)', '(6+6i)', '(7-i)', '(7-i)'] -> ((1-i) * ((5+4i) + ((3+7i) + (4+i))))
[95130] ['(4-4i)', '(6+6i)', '(7-i)', '(9-3i)'] -> (((1-4i) + (2+4i)) * ((3-6i) + (5+6i)))
[95132] ['(4-4i)', '(6+6i)', '(7-i)', '(9-i)'] -> (((4-4i) * (6+6i)) / ((9-i) - (7-i)))
[95142] ['(4-4i)', '(6+6i)', '7', '(9-2i)'] -> (((1-9i) - (1-3i)) * ((8-2i) - (8-6i)))
[95143] ['(4-4i)', '(6+6i)', '7', '9'] -> (((4-4i) * (6+6i)) / (9 - 7))
[95154] ['(4-4i)', '(6+6i)', '(7+i)', '(9-i)'] -> ((6+6i) * (((4-4i) + (7+i)) - (9-i)))
[95155] ['(4-4i)', '(6+6i)', '(7+i)', '(9+i)'] -> (((4-4i) * (6+6i)) / ((9+i) - (7+i)))
[95161] ['(4-4i)', '(6+6i)', '(7+2i)', '8'] -> (((3-3i) * (5+9i)) - ((3+2i) * 6))
[95169] ['(4-4i)', '(6+6i)', '(7+2i)', '9'] -> ((6+6i) * (((4-4i) + (7+2i)) - 9))
[95170] ['(4-4i)', '(6+6i)', '(7+2i)', '(9+2i)'] -> (((4-4i) * (6+6i)) / ((9+2i) - (7+2i)))
[95178] ['(4-4i)', '(6+6i)', '(7+3i)', '(9+i)'] -> ((6+6i) * (((4-4i) + (7+3i)) - (9+i)))
[95179] ['(4-4i)', '(6+6i)', '(7+3i)', '(9+3i)'] -> (-4i * (((1+2i) + (5-5i)) - (6-9i)))
[95190] ['(4-4i)', '(6+6i)', '(7+4i)', '(9-3i)'] -> (((4-4i) * (9-3i)) / ((7+4i) - (6+6i)))
[95191] ['(4-4i)', '(6+6i)', '(7+4i)', '(9+2i)'] -> (4 * ((9-i) - ((1-7i) + (2+6i))))
[95193] ['(4-4i)', '(6+6i)', '(7+4i)', '(9+4i)'] -> (((4-4i) * (6+6i)) / ((9+4i) - (7+4i)))
[95207] ['(4-4i)', '(6+6i)', '(7+5i)', '(9+3i)'] -> ((6+6i) * (((4-4i) + (7+5i)) - (9+3i)))
[95208] ['(4-4i)', '(6+6i)', '(7+5i)', '(9+5i)'] -> ((6-4i) + ((1-i) * ((3+7i) + (4+4i))))
[95229] ['(4-4i)', '(6+6i)', '(7+6i)', '(9+4i)'] -> (4 * ((7-6i) - (-i + (1-5i))))
[95231] ['(4-4i)', '(6+6i)', '(7+6i)', '(9+6i)'] -> (((4-4i) * (6+6i)) / ((9+6i) - (7+6i)))
[95233] ['(4-4i)', '(6+6i)', '(7+7i)', '(8-8i)'] -> (((4-4i) + (8-8i)) * ((7+7i) - (6+6i)))
[95253] ['(4-4i)', '(6+6i)', '(7+7i)', '(9+5i)'] -> ((5-9i) - ((4+i) * (-i * (1-5i))))
[95255] ['(4-4i)', '(6+6i)', '(7+7i)', '(9+7i)'] -> (((4-4i) * (6+6i)) / ((9+7i) - (7+7i)))
[95266] ['(4-4i)', '(6+6i)', '(7+8i)', '(9+6i)'] -> ((6+6i) * (((4-4i) + (7+8i)) - (9+6i)))
[95268] ['(4-4i)', '(6+6i)', '(7+8i)', '(9+8i)'] -> (((4-4i) * (6+6i)) / ((9+8i) - (7+8i)))
[95285] ['(4-4i)', '(6+6i)', '(7+9i)', '(9+7i)'] -> ((6+6i) * (((4-4i) + (7+9i)) - (9+7i)))
[95287] ['(4-4i)', '(6+6i)', '(7+9i)', '(9+9i)'] -> ((-8i * (6+6i)) / (-9i + (2+7i)))
[95291] ['(4-4i)', '(6+6i)', '(8-9i)', '(8+7i)'] -> (((8-9i) - (8+7i)) / ((4-4i) / (6+6i)))
[95306] ['(4-4i)', '(6+6i)', '(8-8i)', '(8-4i)'] -> (((6+6i) * (8-8i)) / ((8-4i) - (4-4i)))
[95308] ['(4-4i)', '(6+6i)', '(8-8i)', '(8+8i)'] -> (((8-8i) - (8+8i)) / ((4-4i) / (6+6i)))
[95310] ['(4-4i)', '(6+6i)', '(8-8i)', '(9-3i)'] -> ((6+6i) + ((9-3i) / ((4-4i) / (8-8i))))
[95318] ['(4-4i)', '(6+6i)', '(8-7i)', '(8+9i)'] -> (((8-7i) - (8+9i)) / ((4-4i) / (6+6i)))
[95353] ['(4-4i)', '(6+6i)', '(8-4i)', '(9+7i)'] -> (((8-4i) * ((9+7i) - (6+6i))) - (4-4i))
[95384] ['(4-4i)', '(6+6i)', '8', '9'] -> ((8 * 9) - ((4-4i) * (6+6i)))
[95407] ['(4-4i)', '(6+6i)', '(8+4i)', '(9-9i)'] -> (((4-4i) * (9-9i)) + ((6+6i) * (8+4i)))
[95413] ['(4-4i)', '(6+6i)', '(8+5i)', '(9+3i)'] -> (((4-4i) * (9+3i)) / ((8+5i) - (6+6i)))
[95437] ['(4-4i)', '(6+6i)', '(9-9i)', '(9+7i)'] -> ((6+6i) * ((2-i) + ((2-8i) / (8+2i))))
[95448] ['(4-4i)', '(6+6i)', '(9-8i)', '(9+8i)'] -> (((1-i) * (3+7i)) + ((5-7i) + (9+3i)))
[95453] ['(4-4i)', '(6+6i)', '(9-7i)', '(9+9i)'] -> (((9-7i) - (9+9i)) / ((4-4i) / (6+6i)))
[95498] ['(4-4i)', '(6+6i)', '(9+6i)', '(9+9i)'] -> (((4-4i) * (9+9i)) / ((9+6i) - (6+6i)))
[95552] ['(4-4i)', '(6+7i)', '(7-9i)', '(7+6i)'] -> (((4-4i) + (6+7i)) + ((7-9i) + (7+6i)))
[95567] ['(4-4i)', '(6+7i)', '(7-8i)', '(7+5i)'] -> (((4-4i) + (6+7i)) + ((7-8i) + (7+5i)))
[95585] ['(4-4i)', '(6+7i)', '(7-7i)', '(7+4i)'] -> (((4-4i) + (6+7i)) + ((7-7i) + (7+4i)))
[95603] ['(4-4i)', '(6+7i)', '(7-6i)', '(7+3i)'] -> (((4-4i) + (6+7i)) + ((7-6i) + (7+3i)))
[95612] ['(4-4i)', '(6+7i)', '(7-6i)', '(8+9i)'] -> (((6+7i) * ((7-6i) - (4-4i))) - (8+9i))
[95619] ['(4-4i)', '(6+7i)', '(7-5i)', '(7+2i)'] -> (((4-4i) + (6+7i)) + ((7-5i) + (7+2i)))
[95642] ['(4-4i)', '(6+7i)', '(7-4i)', '(7+i)'] -> ((6+6i) * ((5-3i) - ((1-7i) + (2+6i))))
[95662] ['(4-4i)', '(6+7i)', '(7-3i)', '7'] -> (2i * ((-7i + (7-6i)) - (7-i)))
[95676] ['(4-4i)', '(6+7i)', '(7-2i)', '(7-i)'] -> (((4-4i) + (6+7i)) + ((7-2i) + (7-i)))
[95684] ['(4-4i)', '(6+7i)', '(7-2i)', '(8-3i)'] -> (((8-3i) * ((7-2i) - (4-4i))) - (6+7i))
[95748] ['(4-4i)', '(6+7i)', '(7+3i)', '8'] -> (8 * (((4-4i) + (6+7i)) - (7+3i)))
[95783] ['(4-4i)', '(6+7i)', '(7+5i)', '(9-3i)'] -> (((4-4i) * (9-3i)) / ((7+5i) - (6+7i)))
[95821] ['(4-4i)', '(6+7i)', '(7+8i)', '(8-8i)'] -> (((4-4i) + (8-8i)) * ((7+8i) - (6+7i)))
[95891] ['(4-4i)', '(6+7i)', '(8-4i)', '(9+8i)'] -> (((3-9i) + (6+3i)) + ((7+7i) + (8-i)))
[95942] ['(4-4i)', '(6+7i)', '(8+4i)', '(8+7i)'] -> (((4-4i) + (8+4i)) * ((8+7i) - (6+7i)))
[95948] ['(4-4i)', '(6+7i)', '(8+5i)', '(8+6i)'] -> (((8+6i) * ((8+5i) - (6+7i))) - (4-4i))
[95959] ['(4-4i)', '(6+7i)', '(8+6i)', '(9+3i)'] -> (((4-4i) * (9+3i)) / ((8+6i) - (6+7i)))
[96038] ['(4-4i)', '(6+7i)', '(9+7i)', '(9+9i)'] -> (((4-4i) * (9+9i)) / ((9+7i) - (6+7i)))
[96102] ['(4-4i)', '(6+8i)', '(7-9i)', '(7+5i)'] -> (((2-5i) - (8-5i)) * ((4+9i) - (8+9i)))
[96129] ['(4-4i)', '(6+8i)', '(7-8i)', '(7+4i)'] -> (((4-4i) + (6+8i)) + ((7-8i) + (7+4i)))
[96149] ['(4-4i)', '(6+8i)', '(7-7i)', '(7+3i)'] -> ((-9i + (6+9i)) * ((4-8i) - -8i))
[96165] ['(4-4i)', '(6+8i)', '(7-6i)', '(7+2i)'] -> (8 * ((6-i) - ((1-7i) + (2+6i))))
[96194] ['(4-4i)', '(6+8i)', '(7-5i)', '(7+i)'] -> (((2+4i) * ((3-6i) - 2)) - (2-8i))
[96217] ['(4-4i)', '(6+8i)', '(7-4i)', '7'] -> (((3-3i) * ((8-i) - (4-6i))) - (3+3i))
[96244] ['(4-4i)', '(6+8i)', '(7-3i)', '(7-i)'] -> (((4-4i) + (6+8i)) + ((7-3i) + (7-i)))
[96265] ['(4-4i)', '(6+8i)', '(7-2i)', '(7-2i)'] -> (((4-4i) + (6+8i)) + ((7-2i) + (7-2i)))
[96319] ['(4-4i)', '(6+8i)', '(7+i)', '(8-8i)'] -> (((4-4i) + (8-8i)) * ((6+8i) / (7+i)))
[96377] ['(4-4i)', '(6+8i)', '(7+4i)', '8'] -> (8 * (((4-4i) + (6+8i)) - (7+4i)))
[96418] ['(4-4i)', '(6+8i)', '(7+6i)', '(9-3i)'] -> (((3-3i) * ((8+4i) - (4-i))) - (3+3i))
[96444] ['(4-4i)', '(6+8i)', '(7+9i)', '(8-8i)'] -> (((4-4i) + (8-8i)) * ((7+9i) - (6+8i)))
[96489] ['(4-4i)', '(6+8i)', '(8-8i)', '(9-4i)'] -> ((6+8i) + ((9-4i) / ((4-4i) / (8-8i))))
[96547] ['(4-4i)', '(6+8i)', '(8-4i)', '(9+9i)'] -> (((8-4i) * ((9+9i) - (6+8i))) - (4-4i))
[96611] ['(4-4i)', '(6+8i)', '(8+4i)', '(8+8i)'] -> (((4-4i) + (8+4i)) * ((8+8i) - (6+8i)))
[96628] ['(4-4i)', '(6+8i)', '(8+6i)', '(8+6i)'] -> (((8+6i) * ((8+6i) - (6+8i))) - (4-4i))
[96642] ['(4-4i)', '(6+8i)', '(8+7i)', '(9+3i)'] -> (((4-4i) * (9+3i)) / ((8+7i) - (6+8i)))
[96711] ['(4-4i)', '(6+8i)', '(9+8i)', '(9+9i)'] -> (((5-i) + (5-i)) + ((6+2i) + 8))
[96736] ['(4-4i)', '(6+9i)', '(7-9i)', '(7+4i)'] -> ((5-i) * ((6+3i) - ((9+9i) / (5-i))))
[96766] ['(4-4i)', '(6+9i)', '(7-8i)', '(7+3i)'] -> (((3+3i) * ((7-9i) - (3-3i))) - (6-6i))
[96791] ['(4-4i)', '(6+9i)', '(7-7i)', '(7+2i)'] -> (((3-3i) - (3+3i)) * ((6-i) - (6-5i)))
[96819] ['(4-4i)', '(6+9i)', '(7-6i)', '(7+i)'] -> (((4-4i) + (6+9i)) + ((7-6i) + (7+i)))
[96835] ['(4-4i)', '(6+9i)', '(7-5i)', '7'] -> (((4-4i) + (6+9i)) + ((7-5i) + 7))
[96864] ['(4-4i)', '(6+9i)', '(7-4i)', '(7-i)'] -> (((3-3i) - (3+3i)) * ((6+2i) - (6-2i)))
[96888] ['(4-4i)', '(6+9i)', '(7-3i)', '(7-2i)'] -> (((4-4i) + (6+9i)) + ((7-3i) + (7-2i)))
[97049] ['(4-4i)', '(6+9i)', '(7+5i)', '8'] -> (((1-2i) + (5-4i)) * ((3-7i) - (1-9i)))
[97085] ['(4-4i)', '(6+9i)', '(7+7i)', '(9-3i)'] -> (((4-4i) * (9-3i)) / ((7+7i) - (6+9i)))
[97130] ['(4-4i)', '(6+9i)', '(8-8i)', '(9-3i)'] -> (((6+9i) * (8-8i)) / ((9-3i) - (4-4i)))
[97181] ['(4-4i)', '(6+9i)', '(8-4i)', '(9-9i)'] -> ((6+9i) + ((9-9i) / ((4-4i) / (8-4i))))
[97265] ['(4-4i)', '(6+9i)', '(8+4i)', '(8+9i)'] -> (((4-4i) + (8+4i)) * ((8+9i) - (6+9i)))
[97269] ['(4-4i)', '(6+9i)', '(8+4i)', '(9-3i)'] -> ((2-6i) + ((1+3i) * (-4i + (4-2i))))
[97285] ['(4-4i)', '(6+9i)', '(8+6i)', '(8+7i)'] -> (((8+6i) * ((8+7i) - (6+9i))) - (4-4i))
[97306] ['(4-4i)', '(6+9i)', '(8+8i)', '(9+3i)'] -> (((4-4i) * (9+3i)) / ((8+8i) - (6+9i)))
[97381] ['(4-4i)', '(6+9i)', '(9+9i)', '(9+9i)'] -> (((4-4i) * (9+9i)) / ((9+9i) - (6+9i)))
[97438] ['(4-4i)', '(7-9i)', '(7-6i)', '(8+4i)'] -> ((7-6i) + ((8+4i) / ((4-4i) / (7-9i))))
[97442] ['(4-4i)', '(7-9i)', '(7-6i)', '(9-9i)'] -> (((4-4i) * (9-9i)) / ((7-9i) - (7-6i)))
[97617] ['(4-4i)', '(7-9i)', '(7+3i)', '(8+8i)'] -> (((7-9i) - (7+3i)) / ((4-4i) / (8+8i)))
[97620] ['(4-4i)', '(7-9i)', '(7+3i)', '(9-7i)'] -> (((4-4i) * (7+3i)) - ((7-9i) + (9-7i)))
[97735] ['(4-4i)', '(7-9i)', '(8-8i)', '(8-8i)'] -> (((4-4i) + (8-8i)) * ((8-8i) - (7-9i)))
[97810] ['(4-4i)', '(7-9i)', '8', '(8+2i)'] -> ((8+2i) + (8 / ((4-4i) / (7-9i))))
[97844] ['(4-4i)', '(7-9i)', '(8+4i)', '(9-9i)'] -> (((4-4i) + (8+4i)) * ((9-9i) - (7-9i)))
[98021] ['(4-4i)', '(7-8i)', '(7-5i)', '(9-9i)'] -> (((4-4i) * (9-9i)) / ((7-8i) - (7-5i)))
[98143] ['(4-4i)', '(7-8i)', '(7+3i)', '(9-8i)'] -> (((4-7i) + (5+2i)) + ((6+4i) + (9+i)))
[98155] ['(4-4i)', '(7-8i)', '(7+4i)', '(8+8i)'] -> (((7-8i) - (7+4i)) / ((4-4i) / (8+8i)))
[98266] ['(4-4i)', '(7-8i)', '(8-8i)', '(8-7i)'] -> (((4-4i) + (8-8i)) * ((8-7i) - (7-8i)))
[98371] ['(4-4i)', '(7-8i)', '8', '(9+i)'] -> ((9+i) + (8 / ((4-4i) / (7-8i))))
[98397] ['(4-4i)', '(7-8i)', '(8+4i)', '(9-8i)'] -> (((4-4i) + (8+4i)) * ((9-8i) - (7-8i)))
[98448] ['(4-4i)', '(7-8i)', '(9-9i)', '(9+3i)'] -> (((4-4i) * (9+3i)) / ((9-9i) - (7-8i)))
[98594] ['(4-4i)', '(7-7i)', '(7-4i)', '(9-9i)'] -> (((4-4i) * (9-9i)) / ((7-7i) - (7-4i)))
[98727] ['(4-4i)', '(7-7i)', '(7+3i)', '(9-9i)'] -> ((1-9i) - ((1-2i) * ((5-5i) - (6+6i))))
[98747] ['(4-4i)', '(7-7i)', '(7+4i)', '(9-9i)'] -> (((7+4i) * ((7-7i) - (4-4i))) - (9-9i))
[98761] ['(4-4i)', '(7-7i)', '(7+5i)', '(8+8i)'] -> (((5-i) + (5+i)) + ((6-3i) + (8+3i)))
[98842] ['(4-4i)', '(7-7i)', '(8-9i)', '(9-3i)'] -> (((4-4i) * (9-3i)) / ((8-9i) - (7-7i)))
[98848] ['(4-4i)', '(7-7i)', '(8-8i)', '(8-6i)'] -> ((-9i / -3i) * (-7i + (8+7i)))
[98856] ['(4-4i)', '(7-7i)', '(8-8i)', '9'] -> (((8-8i) * 9) / ((7-7i) - (4-4i)))
[98929] ['(4-4i)', '(7-7i)', '8', '(9-9i)'] -> ((8 * (9-9i)) / ((7-7i) - (4-4i)))
[98970] ['(4-4i)', '(7-7i)', '(8+4i)', '(9-7i)'] -> (((4-4i) + (8+4i)) * ((9-7i) - (7-7i)))
[98983] ['(4-4i)', '(7-7i)', '(8+6i)', '(9-9i)'] -> (((8+6i) * ((9-9i) - (7-7i))) - (4-4i))
[99021] ['(4-4i)', '(7-7i)', '(9-8i)', '(9+3i)'] -> (((4-4i) * (9+3i)) / ((9-8i) - (7-7i)))
[99137] ['(4-4i)', '(7-6i)', '(7-3i)', '(9-9i)'] -> (((4-4i) * (9-9i)) / ((7-6i) - (7-3i)))
[99156] ['(4-4i)', '(7-6i)', '(7-2i)', '(9-4i)'] -> (((7-6i) * ((7-2i) - (4-4i))) - (9-4i))
[99185] ['(4-4i)', '(7-6i)', '(7+i)', '(7+5i)'] -> (((7+5i) * ((7-6i) - (4-4i))) - (7+i))
[99276] ['(4-4i)', '(7-6i)', '(7+6i)', '(8+8i)'] -> ((2+5i) * ((1-4i) + ((4-7i) / (8-9i))))
[99286] ['(4-4i)', '(7-6i)', '(7+6i)', '(9+4i)'] -> (((7+6i) * ((7-6i) - (4-4i))) - (9+4i))
[99336] ['(4-4i)', '(7-6i)', '(8-8i)', '(8-5i)'] -> (((4-4i) + (8-8i)) * ((8-5i) - (7-6i)))
[99341] ['(4-4i)', '(7-6i)', '(8-8i)', '(9-3i)'] -> (((4-4i) * (9-3i)) / ((8-8i) - (7-6i)))
[99391] ['(4-4i)', '(7-6i)', '(8-4i)', '(8+4i)'] -> ((4+4i) * ((4+4i) + (-4i - (1+3i))))
[99437] ['(4-4i)', '(7-6i)', '8', '(9-6i)'] -> ((8 * (9-6i)) / ((7-6i) - (4-4i)))
[99470] ['(4-4i)', '(7-6i)', '(8+4i)', '(9-6i)'] -> (((4-4i) + (8+4i)) * ((9-6i) - (7-6i)))
[99485] ['(4-4i)', '(7-6i)', '(8+6i)', '(9-8i)'] -> (((8+6i) * ((9-8i) - (7-6i))) - (4-4i))
[99508] ['(4-4i)', '(7-6i)', '(9-9i)', '(9+3i)'] -> (((9-9i) * ((8+9i) - (6+8i))) - (3-9i))
[99513] ['(4-4i)', '(7-6i)', '(9-7i)', '(9+3i)'] -> (((4-4i) * (9+3i)) / ((9-7i) - (7-6i)))
[99584] ['(4-4i)', '(7-5i)', '(7-3i)', '(8-3i)'] -> (((7-3i) * ((8-3i) - (4-4i))) - (7-5i))
[99591] ['(4-4i)', '(7-5i)', '(7-2i)', '(7-i)'] -> (((7-5i) * ((7-2i) - (4-4i))) - (7-i))
[99600] ['(4-4i)', '(7-5i)', '(7-2i)', '(9-9i)'] -> (((4-4i) * (9-9i)) / ((7-5i) - (7-2i)))
[99678] ['(4-4i)', '(7-5i)', '(7+3i)', '(9+4i)'] -> (((9+4i) * ((7-5i) - (4-4i))) - (7+3i))
[99735] ['(4-4i)', '(7-5i)', '(7+7i)', '(8+8i)'] -> (((7-5i) - (7+7i)) / ((4-4i) / (8+8i)))
[99766] ['(4-4i)', '(7-5i)', '(8-9i)', '8'] -> ((9+9i) * ((1-i) + ((4+2i) / (3+9i))))
[99777] ['(4-4i)', '(7-5i)', '(8-8i)', '(8-4i)'] -> (((4-4i) + (8-8i)) * ((8-4i) - (7-5i)))
[99789] ['(4-4i)', '(7-5i)', '(8-7i)', '(9-3i)'] -> (((4-4i) * (9-3i)) / ((8-7i) - (7-5i)))
[99846] ['(4-4i)', '(7-5i)', '8', '(9-i)'] -> (((7-5i) * 8) - ((4-4i) * (9-i)))
[99866] ['(4-4i)', '(7-5i)', '(8+4i)', '(8+5i)'] -> (((7-5i) * (8+4i)) - ((4-4i) * (8+5i)))
[99871] ['(4-4i)', '(7-5i)', '(8+4i)', '(9-5i)'] -> (((1-i) * ((3+9i) + (8+8i))) - (4+6i))
[99882] ['(4-4i)', '(7-5i)', '(8+6i)', '(9-7i)'] -> (((8+6i) * ((9-7i) - (7-5i))) - (4-4i))
[99886] ['(4-4i)', '(7-5i)', '(8+6i)', '(9+5i)'] -> (((9+5i) * ((7-5i) - (4-4i))) - (8+6i))
[99913] ['(4-4i)', '(7-5i)', '(9-6i)', '(9+3i)'] -> (((4-4i) * (9+3i)) / ((9-6i) - (7-5i)))
[99933] ['(4-4i)', '(7-5i)', '(9+6i)', '(9+9i)'] -> (((9+6i) * ((7-5i) - (4-4i))) - (9+9i))
[99969] ['(4-4i)', '(7-4i)', '(7-i)', '(9-9i)'] -> (((4-4i) * (9-9i)) / ((7-4i) - (7-i)))
[99974] ['(4-4i)', '(7-4i)', '(7-i)', '(9+9i)'] -> (((7-4i) * ((7-i) - (4-4i))) - (9+9i))
[100057] ['(4-4i)', '(7-4i)', '(7+8i)', '(8+8i)'] -> (((7-4i) - (7+8i)) / ((4-4i) / (8+8i)))
[100078] ['(4-4i)', '(7-4i)', '(8-9i)', '(8-3i)'] -> (((7-4i) * ((8-3i) - (4-4i))) - (8-9i))
