[219071] ['(2-2i)', '(4-8i)', '(5-3i)', '(5+i)'] -> ((2-2i) * ((5+i) - ((4-8i) - (5-3i))))
[220217] ['(2-2i)', '(4-7i)', '(4+7i)', '(6-6i)'] -> ((4-4i) + (-4i * (6 - (7-5i))))
[220233] ['(2-2i)', '(4-7i)', '(4+7i)', '(8+8i)'] -> (((2-2i) * (8+8i)) - ((4-7i) + (4+7i)))
[220246] ['(2-2i)', '(4-7i)', '(4+8i)', '(6-4i)'] -> ((4+8i) * ((2-2i) - ((6-4i) / (4-7i))))
[220257] ['(2-2i)', '(4-7i)', '(4+8i)', '(9+2i)'] -> (((2-2i) * ((9+2i) - (4-7i))) - (4+8i))
[220268] ['(2-2i)', '(4-7i)', '(4+9i)', '(6+3i)'] -> (((2-2i) * (4+9i)) + ((4-7i) - (6+3i)))
[220292] ['(2-2i)', '(4-7i)', '(5-9i)', '(5+8i)'] -> ((2-2i) * ((5+8i) - ((4-7i) - (5-9i))))
[220301] ['(2-2i)', '(4-7i)', '(5-9i)', '(7+4i)'] -> ((2-2i) * ((7+4i) + ((4-7i) - (5-9i))))
[220314] ['(2-2i)', '(4-7i)', '(5-8i)', '(5+7i)'] -> ((2-2i) * ((5+7i) - ((4-7i) - (5-8i))))
[220324] ['(2-2i)', '(4-7i)', '(5-8i)', '(7+5i)'] -> ((2-2i) * ((7+5i) + ((4-7i) - (5-8i))))
[220334] ['(2-2i)', '(4-7i)', '(5-7i)', '(5+6i)'] -> ((2-2i) * ((5+6i) - ((4-7i) - (5-7i))))
[220341] ['(2-2i)', '(4-7i)', '(5-7i)', '(7+6i)'] -> (((1-3i) * (2+5i)) - ((1-2i) - (8-i)))
[220347] ['(2-2i)', '(4-7i)', '(5-6i)', '(5+5i)'] -> ((2-2i) * ((5+5i) - ((4-7i) - (5-6i))))
[220352] ['(2-2i)', '(4-7i)', '(5-6i)', '6'] -> (((2-2i) * 6) * ((5-6i) - (4-7i)))
[220358] ['(2-2i)', '(4-7i)', '(5-6i)', '(7+7i)'] -> ((-4i * ((8-2i) - (7-9i))) - (4-4i))
[220367] ['(2-2i)', '(4-7i)', '(5-5i)', '(5+4i)'] -> ((2-2i) * ((5+4i) - ((4-7i) - (5-5i))))
[220376] ['(2-2i)', '(4-7i)', '(5-5i)', '(7+8i)'] -> ((2-2i) * ((7+8i) + ((4-7i) - (5-5i))))
[220378] ['(2-2i)', '(4-7i)', '(5-5i)', '8'] -> (8 * ((5-5i) + ((2-2i) - (4-7i))))
[220384] ['(2-2i)', '(4-7i)', '(5-4i)', '(5+3i)'] -> ((2-2i) * ((5+3i) - ((4-7i) - (5-4i))))
[220392] ['(2-2i)', '(4-7i)', '(5-4i)', '(7+9i)'] -> ((2-2i) * ((7+9i) + ((4-7i) - (5-4i))))
[220400] ['(2-2i)', '(4-7i)', '(5-3i)', '(5+2i)'] -> ((2-2i) * ((5+2i) - ((4-7i) - (5-3i))))
[220408] ['(2-2i)', '(4-7i)', '(5-3i)', '(8-5i)'] -> (((5-3i) * ((8-5i) - (4-7i))) - (2-2i))
[220416] ['(2-2i)', '(4-7i)', '(5-2i)', '(5+i)'] -> ((2-2i) * ((5+i) - ((4-7i) - (5-2i))))
[220430] ['(2-2i)', '(4-7i)', '(5-i)', '5'] -> ((2-2i) * (5 - ((4-7i) - (5-i))))
[220442] ['(2-2i)', '(4-7i)', '(5-i)', '(8+8i)'] -> (((2-2i) + (4-7i)) / ((5-i) / (8+8i)))
[220474] ['(2-2i)', '(4-7i)', '(5+i)', '(9-9i)'] -> (((4-7i) * ((5+i) - (2-2i))) - (9-9i))
[220503] ['(2-2i)', '(4-7i)', '(5+4i)', '(8+3i)'] -> ((((4-7i) * (8+3i)) - (5+4i)) / (2-2i))
[220511] ['(2-2i)', '(4-7i)', '(5+5i)', '(8-7i)'] -> (((2-2i) * (5+5i)) - ((4-7i) - (8-7i)))
[220547] ['(2-2i)', '(4-7i)', '(5+8i)', '(6-i)'] -> (((2-2i) * (5+8i)) + ((4-7i) - (6-i)))
[220567] ['(2-2i)', '(4-7i)', '(5+9i)', '(8+i)'] -> (((2-2i) * (5+9i)) + ((4-7i) - (8+i)))
[220595] ['(2-2i)', '(4-7i)', '(6-8i)', '(8+5i)'] -> (((4-4i) * (9+i)) - (-4i * (8+4i)))
[220599] ['(2-2i)', '(4-7i)', '(6-7i)', '(6-5i)'] -> (((6-7i) * ((6-5i) - (4-7i))) - (2-2i))
[220605] ['(2-2i)', '(4-7i)', '(6-7i)', '(7+2i)'] -> (((6-7i) + ((4-7i) * (7+2i))) / (2-2i))
[220615] ['(2-2i)', '(4-7i)', '(6-7i)', '(8+6i)'] -> ((2-2i) * ((8+6i) + ((4-7i) - (6-7i))))
[220622] ['(2-2i)', '(4-7i)', '(6-6i)', '(7+4i)'] -> (((2-2i) / (4-7i)) * ((6-6i) * (7+4i)))
[220624] ['(2-2i)', '(4-7i)', '(6-6i)', '(8-7i)'] -> ((6-6i) * ((8-7i) - ((2-2i) + (4-7i))))
[220627] ['(2-2i)', '(4-7i)', '(6-6i)', '(8+7i)'] -> ((2-2i) * ((8+7i) + ((4-7i) - (6-6i))))
[220629] ['(2-2i)', '(4-7i)', '(6-5i)', '6'] -> (6 * ((6-5i) + ((2-2i) - (4-7i))))
[220631] ['(2-2i)', '(4-7i)', '(6-5i)', '(6+5i)'] -> (((2-2i) * (6+5i)) - ((4-7i) - (6-5i)))
[220632] ['(2-2i)', '(4-7i)', '(6-5i)', '(6+7i)'] -> (((2-2i) * (6+7i)) + ((4-7i) - (6-5i)))
[220642] ['(2-2i)', '(4-7i)', '(6-5i)', '(8+8i)'] -> ((2-2i) * ((8+8i) + ((4-7i) - (6-5i))))
[220652] ['(2-2i)', '(4-7i)', '(6-4i)', '(8+9i)'] -> ((2-2i) * ((8+9i) + ((4-7i) - (6-4i))))
[220653] ['(2-2i)', '(4-7i)', '(6-4i)', '(9+3i)'] -> (((2-2i) / (4-7i)) * ((6-4i) * (9+3i)))
[220657] ['(2-2i)', '(4-7i)', '(6-3i)', '7'] -> ((7 * ((6-3i) - (2-2i))) - (4-7i))
[220670] ['(2-2i)', '(4-7i)', '(6-2i)', '(7+4i)'] -> ((7+4i) * ((2-2i) + ((6-2i) / (4-7i))))
[220672] ['(2-2i)', '(4-7i)', '(6-2i)', '(8-6i)'] -> (((6-2i) * ((8-6i) - (4-7i))) - (2-2i))
[220675] ['(2-2i)', '(4-7i)', '(6-i)', '(6+2i)'] -> ((6-6i) * (((3-2i) + (7-4i)) - (8-8i)))
[220677] ['(2-2i)', '(4-7i)', '(6-i)', '(7+4i)'] -> (((2-2i) * (7+4i)) - ((4-7i) - (6-i)))
[220719] ['(2-2i)', '(4-7i)', '(6+2i)', '(7-7i)'] -> ((9-4i) - ((8+6i) + ((1-6i) * (1-4i))))
[220735] ['(2-2i)', '(4-7i)', '(6+2i)', '(9-6i)'] -> (((3+2i) * (-i + (7-5i))) - (9-4i))
[220751] ['(2-2i)', '(4-7i)', '(6+3i)', '(8+3i)'] -> (((2-2i) * (8+3i)) - ((4-7i) - (6+3i)))
[220766] ['(2-2i)', '(4-7i)', '(6+4i)', '(8-3i)'] -> (((2-2i) * (6+4i)) - ((4-7i) - (8-3i)))
[220787] ['(2-2i)', '(4-7i)', '(6+5i)', '(9+8i)'] -> (((2-2i) * (9+8i)) - ((4-7i) + (6+5i)))
[220810] ['(2-2i)', '(4-7i)', '(6+7i)', '(9+2i)'] -> ((2+6i) + ((7+4i) * (-7i + (2+5i))))
[220817] ['(2-2i)', '(4-7i)', '(6+8i)', '(8-3i)'] -> (((2-2i) * (6+8i)) + ((4-7i) - (8-3i)))
[220833] ['(2-2i)', '(4-7i)', '(6+9i)', '(8+9i)'] -> (((2-2i) * (8+9i)) - ((4-7i) + (6+9i)))
[220854] ['(2-2i)', '(4-7i)', '(7-9i)', '(9+4i)'] -> ((2-2i) * ((9+4i) + ((4-7i) - (7-9i))))
[220858] ['(2-2i)', '(4-7i)', '(7-8i)', '(8+2i)'] -> (((8+2i) * ((7-8i) - (4-7i))) - (2-2i))
[220862] ['(2-2i)', '(4-7i)', '(7-8i)', '(9+5i)'] -> (((2-9i) + (8-3i)) + ((3-i) * (3+5i)))
[220871] ['(2-2i)', '(4-7i)', '(7-7i)', '(8-2i)'] -> (((1-3i) * (4+5i)) - ((1-6i) * (1-i)))
[220880] ['(2-2i)', '(4-7i)', '(7-7i)', '(9+6i)'] -> ((2-2i) * ((9+6i) + ((4-7i) - (7-7i))))
[220897] ['(2-2i)', '(4-7i)', '(7-6i)', '(9+7i)'] -> ((2-2i) * ((9+7i) + ((4-7i) - (7-6i))))
[220906] ['(2-2i)', '(4-7i)', '(7-5i)', '(9+8i)'] -> ((2-2i) * ((9+8i) + ((4-7i) - (7-5i))))
[220917] ['(2-2i)', '(4-7i)', '(7-4i)', '(9+9i)'] -> ((2-2i) * ((9+9i) + ((4-7i) - (7-4i))))
[220968] ['(2-2i)', '(4-7i)', '(7+3i)', '(8+i)'] -> ((9+5i) + ((3-i) * ((2-9i) + (3+9i))))
[221001] ['(2-2i)', '(4-7i)', '(7+7i)', '(8-7i)'] -> (((2-2i) * (7+7i)) + ((4-7i) - (8-7i)))
[221107] ['(2-2i)', '(4-7i)', '8', '(9-9i)'] -> (8 * ((9-9i) - ((2-2i) + (4-7i))))
[221124] ['(2-2i)', '(4-7i)', '(8+i)', '(9+4i)'] -> ((9-9i) * (((3+5i) / (3+3i)) - -i))
[221129] ['(2-2i)', '(4-7i)', '(8+2i)', '(8+5i)'] -> ((3+3i) * ((3+5i) + (-i * (9+i))))
[221169] ['(2-2i)', '(4-7i)', '(8+7i)', '(9+9i)'] -> (((2-2i) * (9+9i)) - ((4-7i) + (8+7i)))
[221172] ['(2-2i)', '(4-7i)', '(8+9i)', '(9+i)'] -> (((2-2i) * (9+i)) - ((4-7i) - (8+9i)))
[221200] ['(2-2i)', '(4-7i)', '(9-3i)', '(9+3i)'] -> ((((4-7i) * (9+3i)) - (9-3i)) / (2-2i))
[221211] ['(2-2i)', '(4-7i)', '9', '(9+9i)'] -> (((2-2i) + (4-7i)) + (9 + (9+9i)))
[221214] ['(2-2i)', '(4-7i)', '(9+i)', '(9+8i)'] -> ((-7i * ((2+5i) - (3+i))) - (4+7i))
[221218] ['(2-2i)', '(4-7i)', '(9+2i)', '(9+7i)'] -> (((2-2i) + (4-7i)) + ((9+2i) + (9+7i)))
[221221] ['(2-2i)', '(4-7i)', '(9+3i)', '(9+6i)'] -> (((2-2i) + (4-7i)) + ((9+3i) + (9+6i)))
[221223] ['(2-2i)', '(4-7i)', '(9+4i)', '(9+5i)'] -> (((2-2i) + (4-7i)) + ((9+4i) + (9+5i)))
[221231] ['(2-2i)', '(4-6i)', '(4-6i)', '(4+5i)'] -> (((1-3i) - (4+6i)) / ((1-2i) / (4+4i)))
[221239] ['(2-2i)', '(4-6i)', '(4-6i)', '(5+6i)'] -> (((3+9i) - ((3+3i) * (6+5i))) / -i)
[221255] ['(2-2i)', '(4-6i)', '(4-6i)', '(7+6i)'] -> ((2-2i) * ((7+6i) - ((4-6i) / (4-6i))))
[221274] ['(2-2i)', '(4-6i)', '(4-5i)', '(6+5i)'] -> ((2-2i) * ((6+5i) - ((4-6i) - (4-5i))))
