[168436] ['2/5', '4/7', '5/8', '9/8', '6'] -> 6 / 4/7 / (5/8 / 2/5 - 9/8)
[168458] ['3/7', '3/7', '5/8', '7/6', '2'] -> 3/7 / 3/7 / (5/8 - 7/6 / 2)
[168459] ['2/7', '3/4', '3/4', '8/5', '6'] -> 8/5 * (6 / (2/7 / 3/4) - 3/4)
[168460] ['3/8', '5/8', '5/6', '7/6', '7'] -> (7 + 3/8 + 5/8) / (7/6 - 5/6)
[168461] ['1/7', '2/7', '4/9', '5/7', '7'] -> 4/9 / (2/7 - 1/7) * (5/7 + 7)
[168462] ['2/3', '6/7', '7/5', '8/5', '9'] -> 9 * (2/3 + 6/7 + 8/5 / 7/5)
[168463] ['2/5', '4/7', '5/8', '7/5', '6'] -> 6 / 5/8 / (4/7 * 7/5 - 2/5)
[168464] ['5/8', '6/7', '8/7', '2', '7/2'] -> 6/7 / (2 * (5/8 + 8/7) - 7/2)
[168465] ['3/8', '5/8', '5/6', '9/7', '7'] -> 9/7 * 7 / (5/8 / 5/6 - 3/8)
[168466] ['5/9', '7/5', '9/4', '7/3', '3'] -> 7/3 / (5/9 - 7/5 / 3) - 9/4
[168467] ['2/7', '3/4', '3/4', '7/4', '6'] -> (6 + (3/4 + 3/4) / 7/4) / 2/7
[168468] ['5/9', '7/8', '8/7', '7/6', '8'] -> 7/6 * 8 / (7/8 - 5/9 / 8/7)
[168469] ['3/7', '3/7', '5/8', '7/5', '2'] -> 3/7 / (5/8 * 7/5 - 3/7 * 2)
[168470] ['3/8', '5/8', '5/6', '4/3', '7'] -> 7 / (3/8 * 4/3 + 5/8 - 5/6)
[168471] ['5/8', '6/7', '7/6', '7/6', '2'] -> 6/7 * 7/6 / (5/8 - 7/6 / 2)
[168472] ['1/4', '4/9', '5/6', '5/2', '7'] -> (5/2 * 7 - 5/6) / (1/4 + 4/9)
[168473] ['5/6', '9/7', '8/5', '9/4', '3'] -> 3 / 5/6 / (9/4 / 9/7 - 8/5)
[168474] ['3/7', '3/7', '5/8', '8/5', '2'] -> 3/7 / 5/8 / (3/7 + 8/5 - 2)
[168475] ['1/9', '1/6', '4/9', '4/7', '9'] -> 9 / ((4/9 - 1/6) / 4/7 - 1/9)
[168476] ['4/7', '3/5', '7/6', '9/4', '6'] -> 9/4 * (4/7 * 7/6 + 6 / 3/5)
[168477] ['2/3', '6/7', '7/5', '9/4', '9'] -> 7/5 * (2/3 + 6/7) * (9/4 + 9)
[168478] ['3/8', '5/8', '5/6', '5/3', '7'] -> 7 / (5/3 * (5/8 - 3/8 / 5/6))
[168479] ['5/9', '7/5', '9/4', '8/3', '3'] -> 9/4 * 8/3 * (3 / 5/9 - 7/5)
[168480] ['5/7', '8/5', '5/3', '7/2', '5'] -> 5/3 * 7/2 * (5 + 5/7 - 8/5)
[168481] ['4/7', '3/5', '7/6', '7/3', '6'] -> 4/7 * 7/6 + 6 / (3/5 / 7/3)
[168482] ['7/9', '9/8', '8/5', '4', '9/2'] -> 8/5 / (7/9 - 4 / (9/8 + 9/2))
[168483] ['3/8', '5/8', '5/6', '7/4', '7'] -> 7 / 7/4 / (3/8 + 5/8 - 5/6)
[168484] ['3/7', '3/7', '5/8', '7/4', '2'] -> 3/7 / (3/7 * 5/8 + 7/4 - 2)
[168485] ['2/7', '3/4', '3/4', '7/2', '6'] -> 6 / (3/4 - 2/7 - 3/4 / 7/2)
[168486] ['2/5', '4/7', '5/8', '9/4', '6'] -> 9/4 / (2/5 / 4/7 - 5/8) - 6
[168487] ['1/7', '2/7', '4/9', '7/8', '7'] -> (7 / 7/8 - 2/7) / (1/7 / 4/9)
[168488] ['2/5', '8/9', '1', '4/3', '7/5'] -> 2/5 / ((8/9 + 1) / 4/3 - 7/5)
[168489] ['7/9', '9/8', '5/3', '7/4', '4'] -> (5/3 + 4) / (7/9 * 7/4 - 9/8)
[168490] ['5/9', '7/8', '8/7', '7/5', '8'] -> 8 / (5/9 * 8/7) / (7/5 - 7/8)
[168491] ['2/3', '6/7', '7/5', '5/2', '9'] -> (6/7 + 2/3 * 9) * 7/5 * 5/2
[168492] ['5/6', '9/7', '8/5', '8/3', '3'] -> (9/7 + 3) * 8/5 * (5/6 + 8/3)
[168493] ['2/5', '4/7', '5/8', '5/2', '6'] -> (2/5 + 6) * (5/2 / 4/7 - 5/8)
[168494] ['3/7', '3/7', '5/8', '2', '9/4'] -> 3/7 / (3/7 * 5/8 + 2 - 9/4)
[168495] ['2/5', '8/9', '1', '4/3', '5/3'] -> 4/3 / (8/9 + 5/3 - 1 / 2/5)
[168496] ['1/9', '1/6', '4/9', '8/7', '9'] -> 9 / (1/9 / 8/7 - (1/6 - 4/9))
[168497] ['1/7', '2/7', '4/9', '9/8', '7'] -> 7 / (1/7 + 2/7) / (9/8 - 4/9)
[168498] ['7/9', '9/8', '5/3', '9/4', '4'] -> 5/3 * 4 / (7/9 - 9/8 / 9/4)
[168499] ['1/4', '4/9', '6/7', '9/8', '7'] -> 6/7 * 7 / (4/9 * 9/8 - 1/4)
[168500] ['2/7', '3/4', '7/9', '6/7', '6'] -> 6 / (3/4 * 7/9 - 2/7 / 6/7)
[168501] ['5/7', '8/5', '7/4', '9/4', '5'] -> (9/4 + 8/5 + 7/4) * (5 - 5/7)
[168502] ['5/9', '7/8', '8/7', '8/5', '8'] -> 8 / (5/9 * (8/5 - 7/8 * 8/7))
[168503] ['7/9', '9/8', '5/3', '7/3', '4'] -> 4 / 9/8 / (7/9 * 7/3 - 5/3)
[168504] ['5/8', '6/7', '7/6', '5/3', '2'] -> 6/7 / (2 - (5/8 + 5/3) / 7/6)
[168505] ['5/9', '7/5', '7/3', '3', '7/2'] -> (7/3 + 3) * 7/2 / (5/9 * 7/5)
[168506] ['2/7', '3/4', '7/9', '7/8', '6'] -> (6 / 7/9 - 3/4 / 7/8) / 2/7
[168507] ['2/3', '6/7', '7/5', '9/2', '9'] -> 7/5 * (9 / 2/3 - (6/7 - 9/2))
[168508] ['1/4', '4/9', '6/7', '7/6', '7'] -> (6/7 * 7 + 7/6 / 1/4) / 4/9
[168509] ['5/9', '7/5', '7/3', '3', '9/2'] -> 7/3 / 5/9 + 9/2 * (7/5 + 3)
[168510] ['1/7', '2/7', '4/9', '6/5', '7'] -> (7 + 2/7 / 6/5) / (4/9 - 1/7)
[168511] ['5/8', '6/7', '7/6', '2', '9/4'] -> 5/8 / (6/7 + 7/6 - 2) - 9/4
[168512] ['3/7', '3/7', '5/8', '2', '7/2'] -> 3/7 / (3/7 * (7/2 - 2) - 5/8)
[168513] ['5/9', '7/5', '5/2', '5/2', '3'] -> 3 * (7/5 * 5/2 + 5/2 / 5/9)
[168514] ['1/9', '1/6', '4/9', '9/5', '9'] -> (9 - 9/5) / (1/6 / (1/9 + 4/9))
[168515] ['3/8', '5/8', '6/7', '9/8', '7'] -> (9/8 / 3/8 - 6/7) / (5/8 / 7)
[168516] ['4/7', '3/5', '6/5', '5/3', '6'] -> 6 / (5/3 * (6/5 - 3/5 / 4/7))
[168517] ['5/6', '9/7', '5/3', '9/4', '3'] -> 5/3 / 5/6 / (3 / 9/7 - 9/4)
[168518] ['2/5', '8/9', '1', '4/3', '9/2'] -> (8/9 + 4/3) / (2/5 / 9/2) - 1
[168519] ['1/4', '4/9', '6/7', '5/4', '7'] -> 7 * (1/4 + 5/4 + 6/7 / 4/9)
[168520] ['2/3', '6/7', '3/2', '9/5', '9'] -> 9/5 * (9 / (3/2 - 6/7) - 2/3)
[168521] ['3/8', '5/8', '6/7', '8/7', '7'] -> (7 + 5/8 * 8/7) / (3/8 * 6/7)
[168522] ['5/9', '7/5', '5/2', '3', '7/2'] -> (5/2 + 7/2) * (3 / 5/9 - 7/5)
[168523] ['2/5', '4/7', '2/3', '8/9', '6'] -> 2/3 + 8/9 * 6 / (2/5 * 4/7)
[168524] ['4/7', '3/5', '6/5', '9/4', '6'] -> 3/5 * 6 / (9/4 - 6/5 / 4/7)
[168525] ['2/3', '6/7', '3/2', '5/2', '9'] -> 9 / (6/7 / 5/2) - 3/2 / 2/3
[168526] ['3/8', '5/8', '6/7', '6/5', '7'] -> (6/7 + 6/5) * 7 / (3/8 / 5/8)
[168527] ['2/5', '4/7', '2/3', '9/8', '6'] -> 2/3 + 6 / (9/8 * 2/5 * 4/7)
[168528] ['3/7', '3/7', '2/3', '8/9', '2'] -> (2/3 + 2) / (3/7 / 3/7 - 8/9)
[168529] ['5/9', '7/5', '5/2', '3', '9/2'] -> 5/2 * (9/2 * (3 - 5/9) - 7/5)
[168530] ['1/9', '1/6', '1/2', '4/5', '9'] -> 1/6 / 1/9 + 9 / (1/2 * 4/5)
[168531] ['4/7', '3/5', '5/4', '5/4', '6'] -> 6 / (5/4 * (5/4 - 3/5 / 4/7))
[168532] ['2/5', '4/7', '2/3', '8/7', '6'] -> 8/7 / (2/5 * (2/3 - 4/7)) - 6
[168533] ['2/5', '8/9', '1', '7/5', '7/4'] -> 8/9 / (7/5 / (7/4 - 2/5) - 1)
[168534] ['3/8', '5/8', '6/7', '4/3', '7'] -> (5/8 * 4/3 + 7 / 6/7) / 3/8
[168535] ['4/7', '3/5', '5/4', '9/7', '6'] -> 6 / 5/4 / (3/5 * 9/7 - 4/7)
[168536] ['1/4', '4/9', '6/7', '5/3', '7'] -> 6/7 * 7 * (1/4 + 5/3 / 4/9)
[168537] ['5/6', '9/7', '7/4', '7/4', '3'] -> 3 / (7/4 * 5/6 * 9/7 - 7/4)
[168538] ['7/9', '9/8', '7/4', '5/2', '4'] -> 4 / (5/2 - (7/9 + 7/4 / 9/8))
[168539] ['5/9', '7/5', '8/3', '3', '9/2'] -> 8/3 / (5/9 * 7/5 - 3 / 9/2)
[168540] ['2/7', '3/4', '7/9', '9/5', '6'] -> 6 / (3/4 / 7/9 / 9/5 - 2/7)
[168541] ['2/3', '6/7', '8/5', '7/4', '9'] -> 8/5 * (6/7 * 7/4 + 9 / 2/3)
[168542] ['2/5', '4/7', '2/3', '6/5', '6'] -> 2/5 * 6 / (2/3 - 4/7) - 6/5
[168543] ['5/9', '7/5', '3', '7/2', '7/2'] -> 3 * (7/2 + 7/2 / (5/9 * 7/5))
[168544] ['4/7', '3/5', '5/4', '4/3', '6'] -> 6 / (4/3 / 4/7 - 5/4 / 3/5)
[168545] ['1/7', '2/7', '4/9', '7/3', '7'] -> 2/7 / (7/3 / 7 - 1/7 / 4/9)
[168546] ['5/9', '7/8', '7/6', '4/3', '8'] -> 8 / (7/8 / 7/6 - 5/9 / 4/3)
[168547] ['3/8', '5/8', '6/7', '8/5', '7'] -> 6/7 * 7 / (3/8 * 5/8) - 8/5
[168548] ['1/4', '4/9', '6/7', '7/3', '7'] -> 6/7 * (7 + 7/3 / (1/4 * 4/9))
[168549] ['2/7', '3/4', '7/9', '9/2', '6'] -> 6 / (9/2 * 2/7 * 7/9 - 3/4)
[168550] ['7/9', '9/8', '7/4', '7/2', '4'] -> (7/4 + 7/2) * 4 / (7/9 * 9/8)
[168551] ['5/8', '6/7', '6/5', '7/4', '2'] -> 6/7 / 5/8 / (6/5 - 2 / 7/4)
[168552] ['5/9', '7/5', '3', '7/2', '9/2'] -> 3 * (7/5 + 9/2) + 7/2 / 5/9
[168553] ['5/8', '6/7', '6/5', '9/5', '2'] -> 9/5 / (6/5 / (6/7 * 2) - 5/8)
[168554] ['1/7', '2/7', '4/9', '7/2', '7'] -> 1/7 - 2/7 / 4/9 + 7/2 * 7
[168555] ['2/7', '3/4', '4/5', '5/6', '6'] -> 5/6 * (4/5 + 6 / (2/7 * 3/4))
[168556] ['7/9', '9/8', '7/4', '4', '9/2'] -> (9/2 + 7/4 / 7/9) / (9/8 / 4)
[168557] ['1/9', '1/6', '5/9', '4/5', '9'] -> 9 / ((5/9 - 1/6) / 4/5 - 1/9)
[168558] ['1/4', '4/9', '6/7', '9/2', '7'] -> 6/7 / (4/9 * 9/2 / 7 - 1/4)
[168559] ['3/8', '5/8', '6/7', '7/4', '7'] -> 6/7 / (3/8 - (5/8 + 7/4) / 7)
[168560] ['5/6', '9/7', '7/4', '8/3', '3'] -> (9/7 + 3) * 8/3 / (5/6 / 7/4)
[168561] ['2/5', '4/7', '2/3', '4/3', '6'] -> 6 * (2/3 / 2/5 + 4/3 / 4/7)
[168562] ['2/5', '8/9', '1', '7/5', '9/2'] -> (1 + 7/5) * 9/2 / (2/5 / 8/9)
[168563] ['1/7', '2/7', '4/9', '9/2', '7'] -> 7 * (1/7 + 9/2 * (2/7 + 4/9))
[168564] ['2/7', '3/4', '4/5', '7/8', '6'] -> 6 * (3/4 / 4/5 + 7/8 / 2/7)
[168565] ['1/4', '4/9', '7/8', '7/8', '7'] -> 7 / (4/9 * (7/8 - 1/4 * 7/8))
[168566] ['5/9', '7/8', '7/6', '7/4', '8'] -> (7/6 + 7/8 / 7/4) / (5/9 / 8)
[168567] ['3/8', '5/8', '6/7', '9/5', '7'] -> 7 * (9/5 / 3/8 - 6/7 / 5/8)
[168568] ['5/6', '9/7', '7/4', '3', '9/2'] -> 9/2 / (7/4 / (3 - 9/7) - 5/6)
[168569] ['2/7', '3/4', '4/5', '8/9', '6'] -> 8/9 * (3/4 + 6 / (2/7 * 4/5))
[168570] ['4/7', '3/5', '5/4', '7/3', '6'] -> 6 / (4/7 - 3/5 * 5/4 / 7/3)
[168571] ['2/3', '6/7', '8/5', '8/3', '9'] -> 8/5 / (2/3 / 6/7) * (8/3 + 9)
[168572] ['1/4', '4/9', '7/8', '8/7', '7'] -> 7 / (4/9 * (7/8 - 1/4 / 8/7))
[168573] ['5/9', '7/8', '7/6', '5/2', '8'] -> (8 + 7/6 + 5/2) / (5/9 * 7/8)
[168574] ['1/9', '1/6', '5/9', '9/7', '9'] -> (1/9 + 9 * 5/9 / 9/7) / 1/6
[168575] ['1/7', '2/7', '1/2', '3/5', '7'] -> ((2/7 + 7) / 3/5 - 1/7) / 1/2
[168576] ['3/8', '5/8', '6/7', '8/3', '7'] -> (6/7 * 7 - 3/8) / (5/8 / 8/3)
[168577] ['5/7', '8/5', '7/3', '7/3', '5'] -> 5 / (5/7 * 7/3 - 7/3 / 8/5)
[168578] ['5/9', '3/2', '3/2', '3', '7/2'] -> (5/9 + 3) * (3/2 + 3/2 * 7/2)
[168579] ['4/7', '3/5', '5/4', '8/3', '6'] -> 8/3 * (3/5 + 6 / (4/7 * 5/4))
[168580] ['2/5', '8/9', '1', '3/2', '9/5'] -> 9/5 / ((2/5 + 1) / 8/9 - 3/2)
[168581] ['2/7', '3/4', '4/5', '7/6', '6'] -> (6 / 4/5 - 3/4 / 7/6) / 2/7
[168582] ['5/7', '8/5', '7/3', '5/2', '5'] -> 7/3 * 5/2 * (5 + 5/7 - 8/5)
[168583] ['5/8', '6/7', '6/5', '2', '9/2'] -> (6/7 + 2) * (6/5 + 9/2 / 5/8)
[168584] ['1/4', '4/9', '7/8', '6/5', '7'] -> 7 / (4/9 * (7/8 - 1/4)) - 6/5
[168585] ['3/8', '5/8', '7/8', '8/9', '7'] -> (7/8 + 7) / (5/8 / 8/9 - 3/8)
[168586] ['5/9', '7/8', '6/5', '6/5', '8'] -> (6/5 + 8) / (6/5 * (7/8 - 5/9))
[168587] ['2/5', '4/7', '2/3', '7/3', '6'] -> 6 * (2/3 + 7/3 / (2/5 / 4/7))
[168588] ['5/9', '3/2', '8/5', '7/4', '3'] -> 3 / (5/9 * 3/2) / (7/4 - 8/5)
[168589] ['1/7', '2/7', '1/2', '5/6', '7'] -> 2/7 / 1/2 / (1/7 - 5/6 / 7)
[168590] ['4/7', '3/5', '9/7', '9/7', '6'] -> 6 * (4/7 + 9/7 + 9/7 / 3/5)
[168591] ['2/5', '4/7', '2/3', '8/3', '6'] -> 6 / (2/3 / (2/5 * 4/7) - 8/3)
[168592] ['1/4', '4/9', '7/8', '9/7', '7'] -> 7/8 * (7 / 1/4 - 4/9 * 9/7)
[168593] ['5/9', '3/2', '8/5', '9/5', '3'] -> 8/5 / 3/2 / (9/5 / 3 - 5/9)
[168594] ['3/8', '5/8', '7/8', '5/4', '7'] -> (5/4 * 7 - (5/8 - 7/8)) / 3/8
[168595] ['5/6', '9/7', '9/4', '9/4', '3'] -> 3 / (5/6 * 9/4 - 9/4 / 9/7)
[168596] ['4/7', '3/5', '9/7', '4/3', '6'] -> 4/3 * 6 / (9/7 - 4/7 / 3/5)
[168597] ['2/3', '6/7', '5/3', '5/2', '9'] -> (5/3 + 9) * (5/2 / 6/7 - 2/3)
[168598] ['1/9', '1/6', '4/7', '3/5', '9'] -> 9 / (1/6 / 4/7 / 3/5 - 1/9)
[168599] ['2/5', '4/7', '2/3', '7/2', '6'] -> (6 - 4/7 / 2/5) / (2/3 / 7/2)
[168600] ['5/9', '3/2', '8/5', '9/4', '3'] -> 3 / (5/9 * 9/4) / (8/5 - 3/2)
[168601] ['2/5', '8/9', '1', '8/5', '8/5'] -> 8/5 / (8/9 * (8/5 - 2/5) - 1)
[168602] ['5/7', '8/5', '5/2', '9/2', '5'] -> 8/5 * (9/2 + (5/2 + 5) / 5/7)
[168603] ['3/7', '3/7', '5/7', '4/5', '2'] -> 3/7 / (5/7 / 4/5 / 2 - 3/7)
[168604] ['3/8', '5/8', '7/8', '5/3', '7'] -> 5/3 / 5/8 + 7 / (3/8 * 7/8)
[168605] ['4/7', '3/5', '9/7', '5/3', '6'] -> (9/7 + 3/5 * 5/3) / (4/7 / 6)
[168606] ['2/7', '3/4', '4/5', '7/4', '6'] -> 6 / (3/4 / 4/5 / 7/4 - 2/7)
[168607] ['5/8', '6/7', '5/4', '8/5', '2'] -> 2 / (5/4 - 8/5 * 5/8 / 6/7)
[168608] ['7/9', '9/8', '9/4', '7/2', '4'] -> (9/4 + 7/2 / 7/9) / (9/8 / 4)
[168609] ['1/9', '1/6', '4/7', '5/7', '9'] -> 4/7 / (1/9 - 1/6 + 5/7 / 9)
[168610] ['2/3', '6/7', '5/3', '9/2', '9'] -> 9/2 * (9 * 2/3 / 6/7 - 5/3)
[168611] ['5/9', '7/8', '6/5', '8/5', '8'] -> 8 / (8/5 * (7/8 - 5/9 * 6/5))
[168612] ['2/5', '4/7', '5/7', '5/7', '6'] -> (5/7 + (4/7 + 6) / 2/5) / 5/7
[168613] ['5/7', '8/5', '8/3', '7/2', '5'] -> 8/3 * (5 + 7/2 * 5/7 * 8/5)
[168614] ['5/9', '3/2', '8/5', '8/3', '3'] -> 3/2 * (8/5 + 3 / (5/9 / 8/3))
[168615] ['1/4', '4/9', '7/8', '7/4', '7'] -> 7 / (1/4 * 4/9) / (7/8 + 7/4)
[168616] ['1/7', '2/7', '1/2', '6/5', '7'] -> (1/2 + 7) * (6/5 + 2/7 / 1/7)
[168617] ['2/5', '8/9', '1', '8/5', '9/4'] -> 8/5 / (2/5 / 9/4 + 8/9 - 1)
[168618] ['1/9', '1/6', '4/7', '7/9', '9'] -> 9 / (7/9 - (1/9 + 1/6 / 4/7))
[168619] ['2/7', '3/4', '4/5', '9/4', '6'] -> 9/4 / (4/5 - 3/4) - 6 / 2/7
[168620] ['4/7', '3/5', '9/7', '9/4', '6'] -> 9/7 / (9/4 / (3/5 * 6) - 4/7)
[168621] ['5/7', '8/5', '8/3', '9/2', '5'] -> 9/2 * (5 / 5/7 - 8/3 / 8/5)
[168622] ['2/5', '4/7', '5/7', '5/6', '6'] -> (6 + 2/5 * 5/7) / (5/6 - 4/7)
[168623] ['7/9', '9/8', '7/3', '7/2', '4'] -> (7/2 + 9/8 * 4) / (7/9 / 7/3)
[168624] ['5/9', '7/8', '6/5', '7/4', '8'] -> 8 / (5/9 * 7/8) / (6/5 / 7/4)
[168625] ['2/3', '6/7', '7/4', '9/4', '9'] -> 6/7 * (7/4 + 9 * (2/3 + 9/4))
[168626] ['3/8', '5/8', '8/9', '7/6', '7'] -> (7 - 7/6) / (3/8 * 5/8) - 8/9
[168627] ['5/6', '9/7', '7/3', '7/3', '3'] -> (7/3 + 7/3) / (5/6 / (9/7 + 3))
[168628] ['1/4', '4/9', '7/8', '9/2', '7'] -> (7 / 7/8 - 4/9 * 9/2) / 1/4
[168629] ['2/5', '4/7', '5/7', '6/7', '6'] -> (6/7 + 6) / (4/7 - 2/5 * 5/7)
[168630] ['2/7', '3/4', '4/5', '7/3', '6'] -> 7/3 * (2/7 + 6 / (3/4 * 4/5))
[168631] ['5/7', '8/5', '7/2', '9/2', '5'] -> 8/5 * (7/2 + 9/2 + 5 / 5/7)
[168632] ['1/7', '2/7', '1/2', '5/3', '7'] -> (5/3 * (2/7 + 7) - 1/7) / 1/2
[168633] ['5/9', '7/8', '6/5', '9/5', '8'] -> 9/5 + 8 * (6/5 + 7/8 / 5/9)
[168634] ['5/9', '3/2', '5/3', '9/5', '3'] -> (3 + 5/9 * 9/5) / (5/3 - 3/2)
[168635] ['2/7', '3/4', '4/5', '5/2', '6'] -> 6 / (3/4 / (2/7 * 5/2) - 4/5)
[168636] ['1/9', '1/6', '4/7', '5/6', '9'] -> 1/9 / (1/6 - 5/6 / (4/7 * 9))
[168637] ['2/5', '4/7', '5/7', '8/9', '6'] -> 6 / (4/7 - 2/5 * 5/7 / 8/9)
[168638] ['3/7', '3/7', '5/7', '9/7', '2'] -> (3/7 + 9/7) / (3/7 - 5/7 / 2)
[168639] ['5/9', '3/2', '5/3', '9/4', '3'] -> (5/3 + 3) / (9/4 - (5/9 + 3/2))
[168640] ['2/5', '4/7', '5/7', '9/8', '6'] -> 6 / (4/7 - 9/8 * 2/5 * 5/7)
[168641] ['5/9', '7/8', '6/5', '9/4', '8'] -> 8 * (9/4 / 5/9 - 7/8 * 6/5)
[168642] ['4/7', '3/5', '4/3', '7/5', '6'] -> 6 / (4/7 - 3/5 / 4/3 / 7/5)
[168643] ['1/9', '1/6', '4/7', '7/8', '9'] -> (4/7 - 1/9 / 7/8) / (1/6 / 9)
[168644] ['5/8', '6/7', '5/4', '2', '7/2'] -> 6/7 * 7/2 / (2 - (5/8 + 5/4))
[168645] ['3/8', '5/8', '8/9', '7/5', '7'] -> 7 / (3/8 * 5/8) / (8/9 * 7/5)
[168646] ['2/3', '6/7', '9/5', '7/3', '9'] -> (2/3 + 6/7 / 9/5) * 7/3 * 9
[168647] ['2/5', '4/7', '5/7', '8/7', '6'] -> 8/7 * 6 / (4/7 - 2/5 * 5/7)
[168648] ['1/4', '4/9', '8/9', '7/5', '7'] -> 4/9 + (8/9 + 7 / 7/5) / 1/4
[168649] ['5/6', '9/7', '8/3', '8/3', '3'] -> 8/3 / (3 / 9/7 - 5/6 * 8/3)
[168650] ['1/9', '1/6', '4/7', '8/9', '9'] -> (8/9 - 1/9) * 9 / (1/6 / 4/7)
[168651] ['3/8', '5/8', '8/9', '3/2', '7'] -> 7 / (3/8 * 8/9) / (3/2 - 5/8)
[168652] ['2/7', '3/4', '5/6', '5/6', '6'] -> (5/6 + 6) / 2/7 - (3/4 - 5/6)
[168653] ['2/5', '8/9', '1', '5/3', '9/5'] -> 1 / (2/5 + 5/3 - 9/5 / 8/9)
[168654] ['4/7', '3/5', '4/3', '3/2', '6'] -> (3/5 + 3/2) * 6 * (4/7 + 4/3)
[168655] ['3/8', '5/8', '8/9', '8/5', '7'] -> (7 + 5/8 * 8/5) / (3/8 * 8/9)
[168656] ['3/7', '3/7', '5/7', '3/2', '2'] -> (3/7 + 3/7) / (3/2 / 2 - 5/7)
[168657] ['5/7', '5/3', '5/3', '9/5', '5'] -> 9/5 * (5/3 + 5 / (5/7 / 5/3))
[168658] ['2/3', '6/7', '9/5', '8/3', '9'] -> (6/7 + 2/3 * 9/5) * (8/3 + 9)
[168659] ['2/5', '8/9', '1', '5/3', '7/3'] -> (1 + 5/3) / (7/3 - 8/9 / 2/5)
[168660] ['2/5', '4/7', '5/7', '5/4', '6'] -> 5/7 * 6 / (4/7 / 2/5 - 5/4)
[168661] ['1/4', '4/9', '8/9', '9/5', '7'] -> 9/5 * (8/9 + 7 / (1/4 / 4/9))
[168662] ['3/8', '5/8', '8/9', '7/4', '7'] -> (7 / 8/9 - (5/8 - 7/4)) / 3/8
[168663] ['5/7', '5/3', '5/3', '9/4', '5'] -> 9/4 * (5/3 / 5/7 + 5/3 * 5)
[168664] ['2/3', '6/7', '9/5', '7/2', '9'] -> 9/5 * (9 / 6/7 - (2/3 - 7/2))
[168665] ['4/7', '3/5', '4/3', '5/3', '6'] -> 6 / (3/5 / 4/7 - 4/3 / 5/3)
[168666] ['5/8', '6/7', '9/7', '9/5', '2'] -> 9/7 / 5/8 / (9/5 - 6/7 * 2)
[168667] ['1/7', '2/7', '5/9', '3/5', '7'] -> (7 / 5/9 - 3/5) / (1/7 / 2/7)
[168668] ['5/6', '4/3', '4/3', '7/5', '3'] -> 4/3 * 3 / (4/3 - 5/6 * 7/5)
[168669] ['3/8', '5/8', '8/9', '9/5', '7'] -> (5/8 * 9/5 + 7 / 8/9) / 3/8
[168670] ['5/9', '3/2', '7/4', '3', '9/2'] -> 3 / (3/2 * 7/4 - 5/9 * 9/2)
[168671] ['1/4', '4/9', '9/8', '8/7', '7'] -> 7 / (1/4 * 8/7) - 4/9 * 9/8
