[5] ['1/7', '5/9', '8/9', '7/4', '6'] -> ((8/9 - (5/9 / 7/4)) / (1/7 / 6))
[31] ['4/9', '2/3', '3/4', '1', '8/5'] -> (2/3 / ((4/9 / 8/5) + (3/4 - 1)))
[32] ['1/8', '4/3', '9/5', '9/4', '9'] -> (9 / ((9/5 * (1/8 + 4/3)) - 9/4))
[33] ['2/7', '8/9', '9/5', '7/2', '4'] -> ((8/9 * 9/5) * (7/2 * (2/7 + 4)))
[34] ['7/9', '4/5', '5/2', '8/3', '6'] -> ((8/3 + (4/5 * 6)) / (7/9 / 5/2))
[35] ['1/7', '5/9', '8/9', '7/2', '6'] -> ((7/2 * 6) - (8/9 - (5/9 / 1/7)))
[36] ['9/8', '5/4', '7/5', '2', '7/2'] -> (9/8 * ((7/2 / (7/5 - 5/4)) - 2))
[37] ['1/3', '2/5', '8/7', '3', '9/2'] -> (8/7 * ((3 / 2/5) + (9/2 / 1/3)))
[38] ['1/4', '2/3', '6/7', '9/8', '8'] -> ((9/8 * 8) / (2/3 - (1/4 / 6/7)))
[39] ['7/8', '8/7', '9/7', '7/3', '3'] -> ((8/7 + 3) / (7/3 - (7/8 + 9/7)))
[40] ['1/7', '4/5', '5/3', '9/2', '5'] -> ((4/5 * 9/2) * ((5/3 / 1/7) - 5))
[41] ['1/7', '5/9', '8/9', '9/2', '6'] -> ((8/9 - (5/9 / 1/7)) + (9/2 * 6))
[42] ['4/9', '2/3', '3/4', '1', '9/4'] -> ((1 + (4/9 * 9/4)) / (3/4 - 2/3))
[43] ['2/9', '4/5', '7/5', '5/3', '2'] -> (((2 * (7/5 + 5/3)) - 4/5) / 2/9)
[44] ['7/9', '4/5', '5/2', '7/2', '6'] -> (5/2 * (6 + (7/2 / (7/9 / 4/5))))
[45] ['1/7', '4/5', '7/4', '7/4', '5'] -> (((5 / (1/7 * 4/5)) - 7/4) / 7/4)
[46] ['7/8', '8/7', '9/7', '5/2', '3'] -> (9/7 / ((8/7 * 3) - (7/8 + 5/2)))
[47] ['5/6', '9/7', '9/7', '9/7', '4'] -> ((9/7 * 4) / (9/7 - (5/6 * 9/7)))
[48] ['3/7', '4/9', '7/8', '8/9', '4'] -> ((4 / (3/7 * 7/8)) / (8/9 - 4/9))
[49] ['1/7', '5/9', '9/8', '9/8', '6'] -> (6 / (1/7 * (9/8 + (5/9 * 9/8))))
[50] ['7/9', '4/5', '5/2', '9/2', '6'] -> ((6 / (4/5 - 7/9)) / (5/2 * 9/2))
[51] ['9/8', '5/4', '3/2', '9/5', '2'] -> (2 / (9/8 - ((5/4 * 3/2) / 9/5)))
[52] ['1/6', '1/5', '2/9', '5/7', '4'] -> ((4 / (2/9 * 5/7)) - (1/5 / 1/6))
[53] ['4/9', '2/3', '3/4', '1', '7/2'] -> ((4/9 / (3/4 - 2/3)) * (1 + 7/2))
[54] ['1/7', '4/5', '7/4', '5/2', '5'] -> ((5/2 + 5) / (7/4 * (1/7 / 4/5)))
[55] ['7/9', '4/5', '8/3', '8/3', '6'] -> ((8/3 / 4/5) + (6 * (7/9 + 8/3)))
[56] ['2/7', '8/9', '9/4', '7/2', '4'] -> ((7/2 * 4) * ((8/9 * 9/4) - 2/7))
[57] ['3/7', '4/9', '7/8', '9/8', '4'] -> (((9/8 / 7/8) + (4 / 4/9)) / 3/7)
[58] ['1/7', '5/9', '9/8', '8/7', '6'] -> (((8/7 / 1/7) + (6 / 9/8)) / 5/9)
[59] ['1/6', '1/5', '2/9', '3/4', '4'] -> ((1/6 / 1/5) / (2/9 - (3/4 / 4)))
[60] ['5/6', '9/7', '9/7', '7/5', '4'] -> (4 / ((5/6 * 7/5) - (9/7 / 9/7)))
[61] ['1/9', '6/5', '5/3', '9/4', '5'] -> ((6/5 * 9/4) * (5 * (1/9 + 5/3)))
[62] ['1/3', '2/5', '7/6', '8/5', '3'] -> (8/5 / (2/5 * (7/6 - (1/3 * 3))))
[63] ['9/8', '5/4', '8/5', '9/5', '2'] -> (9/5 / ((8/5 * (2 - 5/4)) - 9/8))
[64] ['1/7', '4/5', '7/4', '7/2', '5'] -> (7/2 * ((5 * (4/5 * 7/4)) - 1/7))
[65] ['1/8', '7/5', '7/5', '7/5', '9'] -> (9 / ((7/5 / (7/5 + 7/5)) - 1/8))
[66] ['2/7', '8/9', '7/3', '7/2', '4'] -> ((7/3 * 4) / (7/2 - (8/9 / 2/7)))
[67] ['5/6', '9/7', '9/7', '5/3', '4'] -> (4 / ((5/6 - 5/3) + (9/7 / 9/7)))
[68] ['1/3', '2/5', '7/6', '7/4', '3'] -> ((7/4 / 7/6) + (3 / (1/3 * 2/5)))
[69] ['9/8', '5/4', '8/5', '2', '9/4'] -> (9/4 / (2 - (9/8 + (5/4 / 8/5))))
[70] ['4/9', '2/3', '7/9', '1', '8/7'] -> (8/7 / (((1 - 4/9) / 7/9) - 2/3))
[71] ['1/7', '5/9', '9/8', '9/7', '6'] -> ((6 + (9/7 / 1/7)) / (5/9 * 9/8))
[72] ['2/9', '2/9', '2/9', '9/4', '5'] -> ((2/9 * 9/4) + ((2/9 + 5) / 2/9))
[73] ['1/9', '6/5', '7/4', '9/5', '5'] -> (((5 / 1/9) - (6/5 + 9/5)) / 7/4)
[74] ['2/9', '4/5', '7/5', '2', '9/2'] -> ((2 + (7/5 / 4/5)) + (9/2 / 2/9))
[75] ['1/4', '2/3', '7/8', '8/5', '8'] -> (8 / ((8/5 * (7/8 - 1/4)) - 2/3))
[76] ['9/8', '5/4', '8/5', '2', '5/2'] -> (9/8 / (2 - (5/2 * (5/4 / 8/5))))
[77] ['5/6', '9/7', '9/7', '9/5', '4'] -> ((9/7 * 4) / ((5/6 * 9/5) - 9/7))
[78] ['3/7', '4/9', '7/8', '4/3', '4'] -> ((4/3 / (4/9 - 3/7)) / (7/8 * 4))
[79] ['1/6', '1/5', '2/9', '7/6', '4'] -> ((1/6 + (7/6 / 1/5)) + (4 / 2/9))
[80] ['7/8', '8/7', '4/3', '5/2', '3'] -> (3 * ((5/2 / (8/7 - 7/8)) - 4/3))
[81] ['2/9', '4/5', '3/2', '3/2', '2'] -> ((2 / 2/9) / ((3/2 / 4/5) - 3/2))
[82] ['2/9', '2/9', '2/9', '8/3', '5'] -> (8/3 / ((2/9 * 5) - (2/9 / 2/9)))
[83] ['1/8', '7/5', '7/5', '9/4', '9'] -> (((9 / 9/4) - (7/5 / 7/5)) / 1/8)
[84] ['1/3', '2/5', '7/6', '3', '9/2'] -> (3 * (((9/2 - 7/6) / 2/5) - 1/3))
[85] ['2/9', '4/5', '3/2', '5/3', '2'] -> ((2 + (4/5 * 3/2)) / (2/9 / 5/3))
[86] ['1/6', '1/5', '2/9', '4/3', '4'] -> (4/3 / ((2/9 * 4) - (1/6 / 1/5)))
[87] ['2/7', '8/9', '4', '9/2', '9/2'] -> (((9/2 + 9/2) / (2/7 / 8/9)) - 4)
[88] ['1/7', '4/5', '9/5', '7/2', '5'] -> (((4/5 / 7/2) - (9/5 - 5)) / 1/7)
[89] ['4/9', '2/3', '7/9', '1', '7/4'] -> ((4/9 / 2/3) / ((7/9 + 1) - 7/4))
[90] ['5/6', '9/7', '9/7', '7/3', '4'] -> ((9/7 * 4) / (7/3 - (5/6 + 9/7)))
[91] ['2/9', '2/9', '1/4', '2/7', '5'] -> (((2/9 / 2/7) + (2/9 + 5)) / 1/4)
[92] ['7/9', '5/6', '5/6', '9/8', '6'] -> ((6 / 9/8) / ((5/6 / 5/6) - 7/9))
[93] ['7/8', '8/7', '7/5', '7/5', '3'] -> (3 / (7/8 * (8/7 - (7/5 / 7/5))))
[94] ['1/9', '6/5', '7/4', '5/2', '5'] -> (((5 / 1/9) - (6/5 * 5/2)) / 7/4)
[95] ['1/6', '1/5', '2/9', '3/2', '4'] -> (4 * ((1/6 / (2/9 - 1/5)) - 3/2))
[96] ['1/7', '4/5', '9/5', '9/2', '5'] -> (9/5 / ((9/2 / (1/7 + 5)) - 4/5))
[97] ['2/9', '2/9', '1/4', '2/5', '5'] -> (2/5 / ((2/9 - 1/4) + (2/9 / 5)))
[98] ['9/8', '5/4', '5/3', '5/3', '2'] -> ((2 + (5/3 / 5/3)) / (5/4 - 9/8))
[99] ['1/9', '6/5', '7/4', '7/2', '5'] -> ((6/5 * 5) + (7/2 / (1/9 * 7/4)))
[100] ['1/3', '2/5', '6/5', '7/5', '3'] -> ((3 - (6/5 - 7/5)) / (1/3 * 2/5))
[101] ['1/8', '7/5', '7/5', '7/2', '9'] -> ((7/5 * 9) / (1/8 + (7/5 / 7/2)))
[102] ['1/7', '4/5', '9/4', '9/4', '5'] -> ((9/4 / (4/5 - (1/7 * 5))) - 9/4)
[103] ['3/7', '4/9', '7/8', '5/3', '4'] -> ((4 / 4/9) / ((7/8 / 3/7) - 5/3))
[104] ['1/9', '6/5', '7/4', '9/2', '5'] -> ((9/2 + (5 / (1/9 * 6/5))) / 7/4)
[105] ['4/9', '2/3', '7/9', '1', '7/3'] -> (((4/9 + 7/3) / (7/9 - 2/3)) - 1)
[106] ['3/7', '4/9', '7/8', '7/4', '4'] -> ((4 / (3/7 * 4/9)) / (7/4 - 7/8))
[107] ['1/8', '7/5', '7/5', '9/2', '9'] -> (((7/5 / 7/5) + (9 / 9/2)) / 1/8)
[108] ['2/9', '2/9', '1/4', '4/7', '5'] -> (((5 + (2/9 / 4/7)) / 2/9) - 1/4)
[109] ['5/6', '9/7', '9/7', '7/2', '4'] -> ((9/7 / 9/7) / ((7/2 / 4) - 5/6))
[110] ['9/8', '5/4', '7/4', '7/4', '2'] -> ((2 + (7/4 / 7/4)) / (5/4 - 9/8))
[111] ['2/9', '4/5', '3/2', '2', '8/3'] -> ((2 + (4/5 * (3/2 + 8/3))) / 2/9)
[112] ['2/9', '2/9', '1/4', '3/5', '5'] -> ((5 * (2/9 * 3/5)) / (1/4 - 2/9))
[113] ['1/7', '5/9', '9/8', '9/4', '6'] -> (((9/8 * 6) / (1/7 / 5/9)) - 9/4)
[114] ['1/7', '4/5', '9/4', '5/2', '5'] -> ((((5 / 4/5) - 5/2) / 1/7) - 9/4)
[115] ['2/9', '4/5', '3/2', '2', '7/2'] -> (4/5 * ((7/2 / (2/9 / 2)) - 3/2))
[116] ['5/6', '9/7', '4/3', '7/5', '4'] -> (4 / ((7/5 * (5/6 * 9/7)) - 4/3))
[117] ['2/9', '2/9', '1/4', '5/7', '5'] -> (((5 / 5/7) - (2/9 / 2/9)) / 1/4)
[118] ['7/9', '5/6', '5/6', '8/5', '6'] -> (6 / (5/6 - ((7/9 / 5/6) / 8/5)))
[119] ['1/9', '6/5', '9/4', '9/4', '5'] -> ((9/4 / 1/9) - (9/4 - (6/5 * 5)))
[120] ['2/9', '4/5', '3/2', '2', '9/2'] -> ((2 / (4/5 / 3/2)) + (9/2 / 2/9))
[121] ['4/9', '2/3', '4/5', '4/5', '1'] -> (4/5 / (((1 - 4/9) / 2/3) - 4/5))
[122] ['1/7', '5/9', '9/8', '8/3', '6'] -> (((8/3 / 1/7) - (6 / 9/8)) / 5/9)
[123] ['7/9', '5/6', '5/6', '7/4', '6'] -> (6 / ((5/6 * 5/6) - (7/9 / 7/4)))
[124] ['1/8', '7/5', '3/2', '7/2', '9'] -> ((9 - 3/2) / (7/2 * (1/8 / 7/5)))
[125] ['1/4', '2/3', '9/8', '8/7', '8'] -> (8 / ((8/7 * (9/8 - 1/4)) - 2/3))
[126] ['2/7', '9/8', '9/8', '4/3', '4'] -> ((9/8 * 4/3) / (4 - (9/8 / 2/7)))
[127] ['4/9', '2/3', '4/5', '5/6', '1'] -> (2/3 / ((4/9 + 5/6) - (1 / 4/5)))
[128] ['2/9', '2/9', '1/4', '6/7', '5'] -> (((2/9 + (5 / 6/7)) / 1/4) - 2/9)
[129] ['2/9', '4/5', '8/5', '7/4', '2'] -> ((7/4 + 2) * ((8/5 / 2/9) - 4/5))
[130] ['1/9', '6/5', '9/4', '8/3', '5'] -> (5 * ((6/5 / 1/9) - (9/4 * 8/3)))
[131] ['5/6', '9/7', '4/3', '9/5', '4'] -> (4 / (4/3 - (9/5 * (5/6 / 9/7))))
[132] ['1/4', '2/3', '9/8', '6/5', '8'] -> (8 / ((2/3 / 6/5) - (1/4 / 9/8)))
[133] ['7/9', '5/6', '5/6', '7/3', '6'] -> (6 * ((5/6 / 5/6) + (7/3 / 7/9)))
[134] ['1/8', '7/5', '3/2', '9/2', '9'] -> ((((3/2 + 9) / 7/5) - 9/2) / 1/8)
[135] ['1/7', '4/5', '7/3', '5/2', '5'] -> ((4/5 * 7/3) * (5/2 * (1/7 + 5)))
[136] ['2/9', '2/9', '1/4', '9/8', '5'] -> (((2/9 / 1/4) + (5 / 9/8)) / 2/9)
[137] ['4/9', '2/3', '4/5', '6/7', '1'] -> (((2/3 / (6/7 - 4/5)) - 1) / 4/9)
[138] ['7/8', '8/7', '3/2', '3/2', '3'] -> (3 / (7/8 * (8/7 - (3/2 / 3/2))))
[139] ['1/4', '2/3', '9/8', '9/7', '8'] -> (8 / (((2/3 * 9/8) / 9/7) - 1/4))
[140] ['7/9', '5/6', '5/6', '7/2', '6'] -> ((6 * (7/9 + 7/2)) - (5/6 + 5/6))
[141] ['2/9', '2/9', '1/4', '8/7', '5'] -> (8/7 * ((2/9 / 2/9) + (5 / 1/4)))
[142] ['4/9', '2/3', '4/5', '7/8', '1'] -> (1 / (7/8 - ((4/9 / 2/3) / 4/5)))
[143] ['2/7', '9/8', '9/8', '8/5', '4'] -> (8/5 * ((9/8 / 9/8) + (4 / 2/7)))
[144] ['2/9', '4/5', '8/5', '2', '9/4'] -> ((8/5 * 2) / ((4/5 / 9/4) - 2/9))
[145] ['4/9', '2/3', '4/5', '8/9', '1'] -> (1 / (2/3 - ((4/9 / 4/5) / 8/9)))
[146] ['5/6', '9/7', '4/3', '4', '9/2'] -> ((4/3 + (4 / 9/7)) / (5/6 / 9/2))
[147] ['2/7', '9/8', '9/8', '5/3', '4'] -> ((4 / 2/7) / ((9/8 + 9/8) - 5/3))
[148] ['9/8', '5/4', '9/5', '2', '8/3'] -> (9/5 * ((2 / (5/4 - 9/8)) - 8/3))
[149] ['1/6', '1/5', '1/4', '6/7', '4'] -> ((1/6 / 1/4) + (4 / (1/5 * 6/7)))
[150] ['1/4', '2/3', '9/8', '8/5', '8'] -> (8 / (8/5 * (9/8 - (1/4 + 2/3))))
[151] ['7/8', '8/7', '3/2', '7/4', '3'] -> (3 / (7/8 - (3/2 / (8/7 * 7/4))))
[152] ['2/9', '4/5', '8/5', '2', '5/2'] -> ((8/5 / 2/9) / ((4/5 + 2) - 5/2))
[153] ['4/9', '2/3', '4/5', '1', '9/8'] -> (1 / (2/3 - (9/8 * (4/9 / 4/5))))
[154] ['2/9', '2/9', '1/4', '7/5', '5'] -> (((7/5 * 5) - (2/9 / 2/9)) / 1/4)
[155] ['1/7', '5/9', '8/7', '6/5', '6'] -> (((6 + (8/7 / 1/7)) / 5/9) - 6/5)
[156] ['1/3', '2/5', '9/7', '3/2', '3'] -> (2/5 / ((3/2 / (9/7 + 3)) - 1/3))
[157] ['1/7', '4/5', '5/2', '9/2', '5'] -> ((9/2 / 5) + ((4/5 + 5/2) / 1/7))
[158] ['7/9', '5/6', '6/7', '9/8', '6'] -> ((6 / (7/9 / 5/6)) / (9/8 - 6/7))
[159] ['5/6', '9/7', '7/5', '7/5', '4'] -> (4 / (7/5 * (9/7 - (5/6 * 7/5))))
[160] ['3/7', '4/9', '8/9', '3/2', '4'] -> (((8/9 * 3/2) + (4 / 3/7)) / 4/9)
[161] ['1/8', '7/5', '5/3', '5/3', '9'] -> ((((9 - 5/3) / 5/3) - 7/5) / 1/8)
[162] ['2/9', '2/9', '1/4', '8/5', '5'] -> (8/5 / (1/4 * (2/9 + (2/9 / 5))))
[163] ['2/9', '4/5', '5/3', '5/3', '2'] -> ((5/3 + 5/3) * (2 / (2/9 / 4/5)))
[164] ['9/8', '5/4', '9/5', '2', '7/2'] -> (9/5 / (((7/2 - 2) / 5/4) - 9/8))
[165] ['7/8', '8/7', '3/2', '9/5', '3'] -> (8/7 / ((3/2 / 7/8) - (3 / 9/5)))
[166] ['1/7', '4/5', '8/3', '8/3', '5'] -> (((8/3 / 1/7) + (8/3 / 5)) / 4/5)
[167] ['2/9', '4/5', '5/3', '7/4', '2'] -> ((5/3 / (2/9 / 4/5)) / (2 - 7/4))
[168] ['5/6', '9/7', '7/5', '8/5', '4'] -> ((4 / 5/6) / ((9/7 * 7/5) - 8/5))
[169] ['2/7', '9/8', '9/8', '9/4', '4'] -> (((9/4 / 2/7) - 9/8) / (9/8 / 4))
[170] ['1/4', '2/3', '8/7', '6/5', '8'] -> (2/3 + (8 / (6/5 * (1/4 * 8/7))))
[171] ['1/7', '5/9', '8/7', '4/3', '6'] -> ((8/7 / 1/7) / (5/9 - (4/3 / 6)))
[172] ['1/7', '4/5', '8/3', '7/2', '5'] -> (4/5 / ((8/3 / 5) - (1/7 * 7/2)))
[173] ['7/9', '5/6', '6/7', '5/4', '6'] -> (6 / ((7/9 * 6/7) + (5/6 - 5/4)))
[174] ['1/6', '1/5', '1/4', '7/5', '4'] -> (7/5 / (1/5 * (1/4 + (1/6 / 4))))
[175] ['9/8', '5/4', '2', '9/4', '9/4'] -> ((2 + (9/4 / 9/4)) / (5/4 - 9/8))
[176] ['1/8', '7/5', '5/3', '9/4', '9'] -> ((9/4 + 9) / (1/8 / (5/3 - 7/5)))
[177] ['3/7', '4/9', '8/9', '7/4', '4'] -> ((8/9 / 4/9) / ((7/4 / 3/7) - 4))
[178] ['2/9', '2/9', '1/4', '5/2', '5'] -> (((5 + (2/9 / 1/4)) / 2/9) - 5/2)
[179] ['2/9', '4/5', '5/3', '2', '9/4'] -> ((5/3 / (2/9 / 4/5)) / (9/4 - 2))
[180] ['5/6', '9/7', '7/5', '5/3', '4'] -> (4 / (5/3 - (7/5 * (5/6 * 9/7))))
[181] ['2/7', '9/8', '9/8', '5/2', '4'] -> (4 * (5/2 + (9/8 / (2/7 * 9/8))))
[182] ['1/9', '6/5', '7/2', '7/2', '5'] -> (((7/2 - (7/2 / 5)) / 1/9) - 6/5)
[183] ['2/9', '2/9', '1/4', '7/2', '5'] -> (((2/9 * 7/2) + (2/9 + 5)) / 1/4)
[184] ['5/6', '9/7', '7/5', '7/4', '4'] -> ((4 / (5/6 * 7/4)) / (7/5 - 9/7))
[185] ['9/8', '5/4', '2', '9/4', '7/2'] -> (9/4 / (7/2 - (2 + (9/8 * 5/4))))
[186] ['7/8', '8/7', '8/5', '8/5', '3'] -> (3 / (7/8 * (8/7 - (8/5 / 8/5))))
[187] ['3/7', '4/9', '8/9', '9/4', '4'] -> (9/4 * ((4/9 + 8/9) + (4 / 3/7)))
[188] ['9/8', '5/4', '2', '9/4', '9/2'] -> (2 / ((9/2 / (9/8 + 9/4)) - 5/4))
[189] ['1/8', '7/5', '5/3', '7/2', '9'] -> ((7/5 + (7/2 / 1/8)) - (9 / 5/3))
[190] ['1/6', '1/5', '1/4', '4', '9/2'] -> (1/4 + ((4 + (1/6 * 9/2)) / 1/5))
[191] ['2/7', '9/8', '9/8', '7/2', '4'] -> (((7/2 + 4) / 2/7) - (9/8 + 9/8))
[192] ['1/7', '5/9', '8/7', '9/5', '6'] -> (6 * ((1/7 + 9/5) + (8/7 / 5/9)))
[193] ['1/7', '5/6', '5/6', '7/8', '5'] -> ((5 / (1/7 * 7/8)) / (5/6 + 5/6))
[194] ['7/8', '8/7', '8/5', '5/3', '3'] -> (8/7 / ((5/3 / (7/8 / 8/5)) - 3))
[195] ['9/8', '5/4', '2', '7/3', '7/3'] -> ((2 + (7/3 / 7/3)) / (5/4 - 9/8))
[196] ['2/9', '4/5', '5/3', '2', '9/2'] -> (((2 / 4/5) - (5/3 - 9/2)) / 2/9)
[197] ['2/9', '2/9', '2/7', '3/8', '5'] -> ((5 / 3/8) / ((2/9 / 2/7) - 2/9))
[198] ['7/9', '5/6', '6/7', '7/4', '6'] -> (6 / (7/4 - (5/6 + (7/9 * 6/7))))
[199] ['3/7', '4/9', '8/9', '7/2', '4'] -> (4 / ((3/7 * 7/2) - (4/9 + 8/9)))
[200] ['1/7', '5/9', '8/7', '9/4', '6'] -> (6 / ((1/7 - 8/7) + (5/9 * 9/4)))
[201] ['4/9', '2/3', '4/5', '1', '8/5'] -> (2/3 / (4/9 - (1 / (4/5 + 8/5))))
[202] ['1/9', '5/4', '5/4', '7/5', '5'] -> (5/4 + (7/5 * (5 + (5/4 / 1/9))))
[203] ['7/8', '8/7', '8/5', '9/5', '3'] -> (3 / ((9/5 / 8/5) - (7/8 * 8/7)))
[204] ['3/7', '4/9', '8/9', '4', '9/2'] -> (4 / ((8/9 / (3/7 * 4/9)) - 9/2))
[205] ['1/8', '7/5', '7/4', '9/4', '9'] -> (9 / ((7/5 * (1/8 + 7/4)) - 9/4))
[206] ['1/6', '1/5', '2/7', '2/5', '4'] -> ((2/5 / (1/6 * (2/7 - 1/5))) - 4)
[207] ['1/7', '5/9', '8/7', '7/3', '6'] -> (8/7 * ((6 / (1/7 / 5/9)) - 7/3))
[208] ['5/6', '9/7', '7/5', '8/3', '4'] -> ((8/3 / (5/6 * (7/5 - 9/7))) - 4)
[209] ['4/9', '2/3', '4/5', '1', '7/4'] -> (2/3 / (1 - (7/4 * (4/9 / 4/5))))
[210] ['2/9', '2/9', '2/7', '3/7', '5'] -> ((5 + (3/7 * (2/9 / 2/7))) / 2/9)
[211] ['1/9', '5/4', '5/4', '8/5', '5'] -> (8/5 * ((5/4 / 1/9) - (5/4 - 5)))
[212] ['1/7', '5/6', '5/6', '7/6', '5'] -> ((5 - (5/6 / 5/6)) / (1/7 * 7/6))
[213] ['1/3', '2/5', '4/3', '5/3', '3'] -> (((4/3 / 2/5) + (5/3 + 3)) / 1/3)
[214] ['7/9', '5/6', '6/7', '7/3', '6'] -> ((6/7 + (6 / 7/9)) / (5/6 / 7/3))
[215] ['9/8', '5/4', '2', '5/2', '9/2'] -> (9/2 * (2 + ((5/4 + 5/2) / 9/8)))
[216] ['1/6', '1/5', '2/7', '4/9', '4'] -> ((4 / (4/9 - 2/7)) - (1/5 / 1/6))
[217] ['2/9', '2/9', '2/7', '4/9', '5'] -> (((2/9 / 2/7) - (4/9 - 5)) / 2/9)
[218] ['2/7', '9/8', '8/7', '9/7', '4'] -> (9/7 / ((2/7 / 4) + (9/8 - 8/7)))
[219] ['5/6', '9/7', '7/5', '4', '9/2'] -> (4 * (9/2 + (7/5 * (5/6 * 9/7))))
[220] ['1/8', '7/5', '7/4', '5/2', '9'] -> (9 / ((7/4 / (7/5 * 5/2)) - 1/8))
[221] ['1/7', '5/9', '8/7', '5/2', '6'] -> ((5/2 * ((6 / 5/9) - 8/7)) - 1/7)
[222] ['1/4', '2/3', '7/6', '7/5', '8'] -> (((8 * (7/6 / 7/5)) - 2/3) / 1/4)
[223] ['9/8', '5/4', '2', '8/3', '8/3'] -> ((2 + (8/3 / 8/3)) / (5/4 - 9/8))
[224] ['2/9', '4/5', '7/4', '2', '7/3'] -> ((7/3 + (4/5 * (7/4 + 2))) / 2/9)
[225] ['1/6', '1/5', '2/7', '5/9', '4'] -> ((4 / (2/7 * 5/9)) - (1/5 / 1/6))
[226] ['7/9', '5/6', '6/7', '9/2', '6'] -> ((9/2 - (5/6 / 7/9)) / (6/7 / 6))
[227] ['7/8', '8/7', '8/5', '5/2', '3'] -> (5/2 * ((3 / (8/7 - 7/8)) - 8/5))
[228] ['1/9', '5/4', '5/4', '9/4', '5'] -> ((5 + (5/4 / 5/4)) / (1/9 * 9/4))
[229] ['1/4', '2/3', '7/6', '9/5', '8'] -> (9/5 * ((2/3 + 8) + (7/6 / 1/4)))
[230] ['9/8', '9/7', '9/7', '9/7', '2'] -> ((9/7 + (9/7 * 2)) / (9/7 - 9/8))
[231] ['2/9', '2/9', '2/7', '4/7', '5'] -> ((2/7 / 4/7) + ((2/9 + 5) / 2/9))
[232] ['1/7', '5/6', '5/6', '3/2', '5'] -> (((5/6 / 5/6) + (5 / 1/7)) / 3/2)
