[310276] ['1/3', '3/5', '2/3', '5/7', '9'] -> (9 / 5/7 - 3/5) / (1/3 / 2/3)
[310408] ['1/9', '1', '4/3', '4/3', '7/2'] -> 4/3 / (1/9 * 7/2 + 1 - 4/3)
[310409] ['4/9', '5/9', '3/4', '7/5', '9'] -> 9 * (4/9 / 5/9 + 7/5 / 3/4)
[310410] ['1/7', '4/7', '6/5', '2', '7/3'] -> (2 / 6/5 - (4/7 - 7/3)) / 1/7
[310411] ['5/6', '6/5', '8/5', '7/3', '7'] -> 8/5 + 7/3 * (6/5 + 7 / 5/6)
[310412] ['3/4', '6/7', '1', '9/8', '7/3'] -> 1 / 7/3 / (6/7 / 3/4 - 9/8)
[310413] ['2/7', '7/8', '7/6', '9/2', '5'] -> (5 - 2/7 * 7/6) / (7/8 / 9/2)
[310414] ['1/7', '3/4', '8/5', '5/2', '8'] -> 8/5 + 5/2 * 8 / (1/7 + 3/4)
[310415] ['1/8', '1/6', '2/5', '4/3', '8'] -> (4/3 - 1/8) / (2/5 / 8) - 1/6
[310416] ['1/7', '4/7', '6/5', '2', '8/3'] -> 2 + (8/3 + 4/7 / 6/5) / 1/7
[310417] ['1/3', '3/5', '3/4', '8/7', '9'] -> 8/7 * (9 / (3/4 - 1/3) - 3/5)
[310418] ['5/9', '9/8', '9/8', '4/3', '7'] -> 7 / (9/8 - 4/3 * 5/9 * 9/8)
[310419] ['1/7', '4/7', '6/5', '2', '7/2'] -> (6/5 + 2) * (7/2 + 4/7 / 1/7)
[310420] ['1/3', '3/5', '3/4', '7/6', '9'] -> 9 / (3/5 * 3/4) / (7/6 - 1/3)
[310421] ['2/7', '1', '9/7', '3/2', '3/2'] -> (3/2 + 3/2) / (2/7 / (1 + 9/7))
[310422] ['1/8', '1/6', '2/5', '7/2', '8'] -> (7/2 + 8) / (1/6 + 1/8 / 2/5)
[310423] ['4/9', '5/9', '7/9', '4/5', '9'] -> (9 + (5/9 + 7/9) / 4/5) / 4/9
[310424] ['1/7', '4/7', '5/4', '5/4', '2'] -> (2 + 4/7 * (5/4 + 5/4)) / 1/7
[310425] ['1/7', '3/4', '5/3', '7/4', '8'] -> 8 / (3/4 - 7/4 * 1/7 * 5/3)
[310426] ['1/8', '1/6', '3/7', '4/9', '8'] -> 8 / (1/6 / 3/7 - 1/8 * 4/9)
[310427] ['5/6', '6/5', '7/4', '9/4', '7'] -> (7/4 + 9/4) * (7 - 5/6 * 6/5)
[310428] ['1/7', '3/4', '5/3', '9/5', '8'] -> (5/3 - 1/7) * 9/5 * (3/4 + 8)
[310429] ['1/5', '1/3', '7/5', '9/4', '3'] -> 7/5 / (1/5 - 1/3 / 9/4) - 3
[310430] ['3/7', '5/6', '7/8', '5/4', '5'] -> 5 / 7/8 / (5/6 / 5/4 - 3/7)
[310431] ['1/9', '1', '4/3', '3/2', '8/5'] -> (8/5 * (1 + 3/2) - 4/3) / 1/9
[310432] ['1/5', '1/3', '7/5', '3', '7/2'] -> 7/2 * (1/5 + 3) / (1/3 * 7/5)
[310433] ['2/7', '7/8', '6/5', '7/4', '5'] -> 5 / (2/7 / 6/5) / (7/4 - 7/8)
[310434] ['1/3', '3/5', '3/4', '7/2', '9'] -> 3/4 / (7/2 / (3/5 + 9) - 1/3)
[310435] ['4/9', '5/9', '7/9', '7/6', '9'] -> 4/9 * 9 / (5/9 + 7/9 - 7/6)
[310436] ['1/9', '1', '4/3', '3/2', '9/5'] -> 4/3 / (1 - 1/9 - 3/2 / 9/5)
[310437] ['1/8', '1/6', '3/7', '3/4', '8'] -> 8 * (3/7 + 3/4 / (1/8 + 1/6))
[310438] ['1/5', '1/3', '3/2', '7/4', '3'] -> 3 / (3/2 * (7/4 - 1/3 / 1/5))
[310439] ['2/7', '7/8', '6/5', '9/5', '5'] -> 9/5 / (7/8 - 5 + 6/5 / 2/7)
[310440] ['1/8', '1/6', '3/7', '7/9', '8'] -> 8 + 3/7 * 7/9 / (1/8 * 1/6)
[310441] ['1/9', '1', '4/3', '8/5', '8/5'] -> (1 + 8/5 / 8/5) / (1/9 / 4/3)
[310442] ['1/7', '4/7', '5/4', '2', '7/2'] -> (7/2 + 5/4 * 2) / (1/7 / 4/7)
[310443] ['2/7', '7/8', '6/5', '9/4', '5'] -> (9/4 / 7/8 - 6/5) / (2/7 / 5)
[310444] ['4/9', '5/9', '7/9', '5/4', '9'] -> (9 + 5/4 * (5/9 + 7/9)) / 4/9
[310445] ['5/6', '6/5', '7/4', '9/2', '7'] -> 9/2 * (7 - 6/5) - 7/4 / 5/6
[310446] ['1/7', '4/7', '9/7', '9/7', '2'] -> 2 + (9/7 + 4/7 + 9/7) / 1/7
[310447] ['1/3', '3/5', '7/9', '5/6', '9'] -> (1/3 + 9) / (5/6 * 3/5 * 7/9)
[310448] ['3/7', '5/6', '7/8', '5/3', '5'] -> 5 / (5/6 - 5/3 * 3/7 * 7/8)
[310449] ['3/4', '6/7', '1', '8/7', '7/3'] -> 6/7 / (3/4 - 8/7 + 1 / 7/3)
[310450] ['5/9', '4/5', '7/8', '8/9', '2'] -> 2 / (7/8 * 8/9 - 5/9 / 4/5)
[310451] ['1/9', '1', '4/3', '8/5', '7/4'] -> 8/5 * (7/4 / 1/9 - 1 / 4/3)
[310452] ['5/6', '6/5', '9/5', '9/5', '7'] -> (9/5 + 9/5) * (5/6 + 7 / 6/5)
[310453] ['1/7', '3/4', '7/4', '9/5', '8'] -> 7/4 * 9/5 * (8 - 1/7) - 3/4
[310454] ['5/9', '4/5', '7/8', '9/8', '2'] -> 2 / (7/8 / 9/8 - 5/9 / 4/5)
[310455] ['1/5', '1/3', '5/3', '7/4', '3'] -> 7/4 * (3 / 1/5 - 1/3) - 5/3
[310456] ['1/8', '1/6', '3/7', '6/5', '8'] -> 6/5 * (1/6 / 1/8 + 8 / 3/7)
[310457] ['5/9', '9/8', '9/8', '7/2', '7'] -> 7/2 * 7 - (9/8 - 5/9 * 9/8)
[310458] ['1/7', '4/7', '9/7', '8/5', '2'] -> 8/5 * (2 + (4/7 + 9/7) / 1/7)
[310459] ['3/4', '6/7', '1', '8/7', '7/2'] -> 6/7 * 7/2 / (1 / 8/7 - 3/4)
[310460] ['1/5', '1/3', '5/3', '9/4', '3'] -> (1/3 + 3 / 5/3) / (1/5 / 9/4)
[310461] ['1/7', '3/4', '9/5', '9/5', '8'] -> 9/5 / 1/7 / (3/4 - 9/5 / 8)
[310462] ['4/9', '5/9', '7/9', '7/4', '9'] -> 5/9 / 4/9 + 9 * (7/9 + 7/4)
[310463] ['1/8', '1/6', '3/7', '5/4', '8'] -> 8 * (5/4 + 1/8 / 1/6 / 3/7)
[310464] ['1/7', '4/7', '9/7', '5/3', '2'] -> 2 / 1/7 / (9/7 / 4/7 - 5/3)
[310465] ['1/9', '1', '4/3', '5/3', '5/3'] -> (1 + 5/3 / 5/3) / (1/9 / 4/3)
[310466] ['2/7', '1', '9/7', '8/5', '7/3'] -> (1 + 7/3) * 8/5 / (2/7 / 9/7)
[310467] ['4/9', '5/9', '7/9', '8/3', '9'] -> 8/3 / 9 / (4/9 - 5/9 * 7/9)
[310468] ['5/6', '6/5', '9/4', '7/3', '7'] -> (7/3 + 7) / (5/6 / 9/4) - 6/5
[310469] ['2/7', '1', '9/7', '8/5', '5/2'] -> 5/2 * (8/5 + (1 + 9/7) / 2/7)
[310470] ['3/7', '5/6', '7/8', '9/2', '5'] -> 7/8 * (3/7 + 5 / (5/6 / 9/2))
[310471] ['3/4', '6/7', '1', '7/6', '9/7'] -> 1 / (7/6 - 9/7 * 3/4 / 6/7)
[310472] ['5/6', '6/5', '9/4', '8/3', '7'] -> 9/4 * (5/6 * 6/5 + 8/3 + 7)
[310473] ['4/9', '5/9', '7/9', '7/2', '9'] -> (5/9 + 7/9) / (4/9 - 7/2 / 9)
[310474] ['2/7', '1', '9/7', '8/5', '8/3'] -> 1 / (9/7 / 8/5 - 2/7 * 8/3)
[310475] ['1/8', '1/6', '3/7', '3/2', '8'] -> 3/2 / (3/7 * (1/8 + 1/6 / 8))
[310476] ['2/7', '7/8', '5/4', '8/5', '5'] -> 8/5 / (2/7 * 7/8) * (5 - 5/4)
[310477] ['1/5', '1/3', '7/4', '7/3', '3'] -> 3 + 7/4 * (1/3 + 7/3 / 1/5)
[310478] ['1/7', '4/7', '9/7', '2', '5/2'] -> (5/2 + (4/7 + 9/7) / 2) / 1/7
[310479] ['3/4', '6/7', '1', '7/6', '7/5'] -> 1 / (3/4 / 6/7 - 7/6 / 7/5)
[310480] ['1/9', '1', '4/3', '7/4', '7/4'] -> (1 + 7/4 / 7/4) / (1/9 / 4/3)
[310481] ['1/9', '1', '4/3', '7/4', '9/5'] -> 4/3 / (1/9 + 1) / (9/5 - 7/4)
[310482] ['2/7', '7/8', '5/4', '7/4', '5'] -> (7/4 + 5) / 2/7 - (7/8 - 5/4)
[310483] ['3/4', '6/7', '1', '7/6', '3/2'] -> 6/7 / (1 - 3/2 * 3/4 / 7/6)
[310484] ['5/6', '6/5', '7/3', '5/2', '7'] -> 6/5 * 7 * (5/2 + 5/6 / 7/3)
[310485] ['4/9', '5/9', '4/5', '7/8', '9'] -> 9 / ((4/9 + 5/9) / 4/5 - 7/8)
[310486] ['1/7', '4/7', '4/3', '7/5', '2'] -> (4/7 + 4/3) * (2 / 1/7 - 7/5)
[310487] ['2/7', '1', '9/7', '5/3', '9/5'] -> (1 + 9/7) * 9/5 / (2/7 / 5/3)
[310488] ['1/8', '1/6', '3/7', '9/4', '8'] -> 8 / (1/6 / 3/7 - 1/8 / 9/4)
[310489] ['4/9', '5/9', '4/5', '8/9', '9'] -> (5/9 + 9 + 8/9 / 4/5) / 4/9
[310490] ['1/7', '3/4', '7/3', '7/3', '8'] -> 7/3 + (1/7 + 7/3) * (3/4 + 8)
[310491] ['2/7', '7/8', '5/4', '7/3', '5'] -> 5 / (7/3 * (5/4 - (2/7 + 7/8)))
[310492] ['1/3', '3/5', '7/9', '5/2', '9'] -> 1/3 + 5/2 * (9 + 3/5 * 7/9)
[310493] ['1/7', '4/7', '4/3', '8/5', '2'] -> (8/5 - 4/7) / (1/7 / (4/3 + 2))
[310494] ['5/6', '6/5', '5/2', '7/2', '7'] -> (7/2 + 5/2 * 7) / 5/6 - 6/5
[310495] ['1/7', '3/4', '7/3', '5/2', '8'] -> 8 * (5/2 / 3/4 - 1/7 * 7/3)
[310496] ['5/9', '9/8', '8/7', '8/5', '7'] -> 7 * (8/5 + 8/7 / (5/9 * 9/8))
[310497] ['4/9', '5/9', '4/5', '9/8', '9'] -> 9 / 5/9 / (4/5 / 4/9 - 9/8)
[310498] ['1/3', '3/5', '7/9', '8/3', '9'] -> 9 / (3/5 * (1/3 + 7/9 / 8/3))
[310499] ['1/8', '1/6', '3/7', '9/2', '8'] -> 8 + (1/6 + 9/2) / (1/8 / 3/7)
[310500] ['3/4', '6/7', '1', '7/6', '7/3'] -> 1 / 7/3 / (3/4 * 7/6 - 6/7)
[310501] ['5/9', '9/8', '8/7', '5/3', '7'] -> 5/3 / (5/9 * 7) / (8/7 - 9/8)
[310502] ['1/3', '3/5', '7/9', '7/2', '9'] -> 9 * (7/2 - 7/9 / (1/3 + 3/5))
[310503] ['1/9', '1', '4/3', '9/5', '9/2'] -> 4/3 / (1 / 9/5 - 1/9 * 9/2)
[310504] ['3/7', '5/6', '8/9', '4/3', '5'] -> (8/9 + 4/3 / 3/7) / (5/6 / 5)
[310505] ['5/9', '4/5', '7/8', '2', '7/3'] -> (2 + 7/3) / (7/8 - 5/9 / 4/5)
[310506] ['2/7', '7/8', '9/7', '9/7', '5'] -> (5 + 9/7 / 9/7) / (2/7 * 7/8)
[310507] ['5/6', '6/5', '7/2', '7/2', '7'] -> (7/2 * 7 - 7/2) / 5/6 - 6/5
[310508] ['1/7', '3/4', '5/2', '5/2', '8'] -> (5/2 - 1/7) * (5/2 + 8) - 3/4
[310509] ['2/7', '1', '9/7', '5/3', '9/2'] -> (1 + 5/3) * (9/2 + 9/7 / 2/7)
[310510] ['1/9', '1', '4/3', '7/3', '7/3'] -> (1 + 7/3 / 7/3) / (1/9 / 4/3)
[310511] ['1/5', '1/3', '7/3', '5/2', '3'] -> (1/3 + 7/3 / 1/5) / (3 - 5/2)
