[334884] ['4/7', '7/5', '2', '5/2', '8/3'] -> 7/5 * 5/2 * 8/3 * (4/7 + 2)
[334940] ['1/6', '3/5', '5/7', '9/7', '8'] -> (5/7 * (8 - 3/5) - 9/7) / 1/6
[334941] ['3/5', '5/7', '5/4', '7/4', '7'] -> 7 * (3/5 * 5/7 + 5/4 + 7/4)
[334942] ['1/8', '4/5', '9/4', '9/2', '8'] -> 9/2 / (9/4 / (8 - 4/5) - 1/8)
[334943] ['1/6', '3/8', '3/4', '7/9', '2'] -> 2 / (3/4 * (7/9 - 1/6) - 3/8)
[334944] ['2/9', '2/9', '7/9', '7/9', '3'] -> (7/9 + 2/9 + 7/9) * 3 / 2/9
[334945] ['1/6', '3/5', '5/7', '4/3', '8'] -> 5/7 * 3/5 / 1/6 * (4/3 + 8)
[334946] ['1/3', '8/7', '8/5', '5/2', '5'] -> (8/7 + 8/5 * 5/2) * (5 - 1/3)
[334947] ['6/5', '5/4', '9/7', '8/5', '7'] -> (6/5 / (7 * (5/4 * 9/7)) - 8/5))
[334948] ['3/5', '5/7', '5/4', '9/4', '7'] -> 7 * (9/4 + 3/5 * (5/7 + 5/4))
[334949] ['1/6', '3/8', '3/4', '4/5', '2'] -> (2 / 1/6 - 3/4) * 4/5 / 3/8
[334950] ['4/9', '7/8', '7/5', '7/3', '5'] -> (7/3 + 7/5 * 5) / (4/9 * 7/8)
[334951] ['4/7', '3/2', '8/5', '2', '9/4'] -> 3/2 / (9/4 - 2 / (4/7 * 8/5))
[334952] ['3/5', '5/7', '5/4', '7/3', '7'] -> (5/7 + 7) * 7/3 / (3/5 * 5/4)
[334953] ['1/6', '3/8', '3/4', '6/7', '2'] -> (2 / (1/6 * (3/4 / 6/7)) - 3/8))
[334954] ['2/9', '2/9', '7/9', '7/8', '3'] -> 3 / (7/8 / 7/9 - 2/9 / 2/9)
[334955] ['1/3', '8/7', '8/5', '9/2', '5'] -> 9/2 * 5 * (8/5 / 8/7 - 1/3)
[334956] ['3/5', '5/7', '5/4', '5/2', '7'] -> (7 / (5/7 - 3/5) - 5/4) / 5/2
[334957] ['1/6', '3/5', '5/7', '8/5', '8'] -> (3/5 + 8 / 8/5) * 5/7 / 1/6
[334958] ['4/9', '7/8', '7/5', '8/3', '5'] -> (8/3 + 5 * 7/5 / 7/8) / 4/9
[334959] ['5/6', '1', '8/7', '6/5', '7/2'] -> 7/2 * 8/7 / 5/6 / (6/5 - 1)
[334960] ['1/6', '3/8', '3/4', '8/7', '2'] -> 3/4 / (2 - 3/8 / (1/6 * 8/7))
[334961] ['1/6', '3/5', '5/7', '5/3', '8'] -> 3/5 / (1/6 / 5/7 - 5/3 / 8)
[334962] ['1/3', '8/7', '5/3', '9/4', '5'] -> 5 / (5/3 - (1/3 + 8/7)) - 9/4
[334963] ['4/7', '3/2', '8/5', '2', '7/2'] -> (3/2 + 7/2) * (2 + 8/5 / 4/7)
[334964] ['1/6', '3/5', '5/7', '7/4', '8'] -> 8 / (3/5 * 5/7 - 1/6 / 7/4)
[334965] ['6/5', '5/4', '9/7', '7/2', '7'] -> 7/2 * 7 * 9/7 / 5/4 - 6/5
[334966] ['3/5', '5/7', '9/7', '9/7', '7'] -> (9/7 + 9/7 * 7) / (3/5 * 5/7)
[334967] ['1/8', '4/5', '8/3', '7/2', '8'] -> (1/8 + 7/2 / 4/5) * (8 - 8/3)
[334968] ['1/6', '3/5', '5/7', '9/5', '8'] -> (8 - (3/5 + 9/5)) * 5/7 / 1/6
[334969] ['4/9', '7/8', '3/2', '8/5', '5'] -> 5 * (8/5 + 3/2 / 4/9) - 7/8
[334970] ['5/6', '1', '8/7', '5/4', '7/5'] -> 8/7 / (1 / 7/5 - 5/6 / 5/4)
[334971] ['1/6', '3/8', '3/4', '9/5', '2'] -> 2 / (3/8 / 9/5 - 1/6 * 3/4)
[334972] ['2/9', '2/9', '7/9', '8/5', '3'] -> 3 / ((7/9 - 2/9) / 8/5 - 2/9)
[334973] ['1/8', '5/9', '1', '8/7', '9/2'] -> 8/7 * (1 + 9/2 * 5/9 / 1/8)
[334974] ['3/5', '5/7', '9/7', '8/5', '7'] -> (7 + 5/7 + 9/7) * 8/5 / 3/5
[334975] ['1/8', '4/5', '7/2', '7/2', '8'] -> (8 / 4/5 - (7/2 + 7/2)) / 1/8
[334976] ['6/5', '5/4', '4/3', '8/5', '7'] -> 8/5 * 7 / (5/4 * 4/3 - 6/5)
[334977] ['1/6', '3/8', '7/9', '7/9', '2'] -> (7/9 / (7/9 * 3/8) - (1/6 * 2)))
[334978] ['1/8', '5/9', '1', '7/6', '7/6'] -> (7/6 / (1/8 * (5/9 + 1)) - 7/6))
[334979] ['1/8', '4/5', '7/2', '9/2', '8'] -> (7/2 + 8 / 4/5) / (1/8 * 9/2)
[334980] ['3/5', '5/7', '9/7', '5/3', '7'] -> (5/3 + 7 / 3/5) * 9/7 / 5/7
[334981] ['1/6', '3/5', '5/7', '8/3', '8'] -> (8/3 / (1/6 * 5/7) - 8) / 3/5
[334982] ['5/6', '1', '8/7', '5/4', '5/3'] -> 1 / (5/4 / 5/6 - 5/3 / 8/7)
[334983] ['1/6', '3/8', '7/9', '4/5', '2'] -> 2 / (3/8 * 7/9 - 1/6 / 4/5)
[334984] ['4/7', '3/2', '5/3', '2', '5/2'] -> 2 / ((5/2 - 3/2) / 4/7 - 5/3)
[334985] ['1/8', '5/6', '5/6', '5/6', '8'] -> 8 + (5/6 + 5/6) / (1/8 * 5/6)
[334986] ['3/5', '5/7', '9/7', '7/4', '7'] -> (7/4 + 5/7 + 9/7) * (7 - 3/5)
[334987] ['1/6', '3/8', '7/9', '6/7', '2'] -> 2 / (6/7 * 3/8 * 7/9 - 1/6)
[334988] ['1/6', '3/5', '5/7', '9/2', '8'] -> 1/6 + (8 + 9/2 / 5/7) / 3/5
[334989] ['4/9', '7/8', '3/2', '9/2', '5'] -> 3/2 * (7/8 + 5 + 9/2 / 4/9)
[334990] ['2/9', '2/9', '7/9', '3', '7/2'] -> 3 * (7/2 + (2/9 + 7/9) / 2/9)
[334991] ['1/3', '8/7', '9/5', '9/4', '5'] -> 8/7 * 9/4 * (1/3 + 9/5 * 5)
[334992] ['5/6', '1', '8/7', '5/4', '7/3'] -> 1 / (5/6 + 5/4 - 7/3 / 8/7)
[334993] ['1/8', '5/9', '1', '7/6', '4/3'] -> (4/3 + 7/6 / 1/8) / (1 - 5/9)
[334994] ['1/6', '3/5', '3/4', '5/6', '8'] -> 8 / (3/5 - 1/6 / (3/4 * /6)
)[334995] ['1/8', '5/6', '5/6', '9/8', '8'] -> 9/8 * (8 + (5/6 + 5/6) / 1/8)
[334996] ['4/9', '7/8', '8/5', '5/3', '5'] -> (5 + 7/8 * 8/5) * 5/3 / 4/9
[334997] ['3/5', '5/7', '9/7', '7/2', '7'] -> 5/7 * 7/2 * (3/5 + 9/7 * 7)
[334998] ['1/6', '3/8', '7/9', '9/8', '2'] -> (2 / (1/6 * (7/9 * 9/8)) - 3/8))
[334999] ['1/3', '8/7', '9/5', '5/2', '5'] -> 5/2 * 8/7 * 9/5 * (5 - 1/3)
[335000] ['1/6', '3/5', '3/4', '8/9', '8'] -> 3/4 * 3/5 / 1/6 * (8/9 + 8)
[335001] ['1/8', '5/9', '1', '7/6', '8/5'] -> (7/6 / 1/8 - 1) * 8/5 / 5/9
[335002] ['1/6', '3/8', '7/9', '8/7', '2'] -> 7/9 * (2 / (1/6 * 3/8) - 8/7)
[335003] ['4/7', '3/2', '7/4', '2', '7/3'] -> 7/3 * (4/7 + 2) / (7/4 - 3/2)
[335004] ['3/5', '5/7', '4/3', '4/3', '7'] -> (4/3 + 7 * 4/3 / 5/7) / 3/5
[335005] ['4/9', '7/8', '8/5', '9/5', '5'] -> 5 / (7/8 / 9/5 - 4/9 / 8/5)
[335006] ['1/6', '3/5', '3/4', '9/8', '8'] -> (8 - 9/8) * 3/5 / 1/6 - 3/4
[335007] ['1/8', '5/6', '5/6', '6/5', '8'] -> 8 + (5/6 + 5/6) * 6/5 / 1/8
[335008] ['3/5', '5/7', '4/3', '7/5', '7'] -> (5/7 + 7) * 7/5 * 4/3 / 3/5
[335009] ['1/8', '5/9', '1', '7/6', '5/3'] -> (5/3 + (5/9 + 1) / 7/6) / 1/8
[335010] ['4/7', '3/2', '7/4', '2', '5/2'] -> (5/2 + 2 / 4/7) / (7/4 - 3/2)
[335011] ['6/5', '5/4', '7/5', '7/3', '7'] -> 7 * 6/5 / 7/3 / (7/5 - 5/4)
[335012] ['2/9', '2/9', '4/5', '9/8', '3'] -> 3 / (2/9 / (2/9 * /5) - 9/8)
[335013] ['1/8', '5/9', '1', '7/6', '7/4'] -> (1 + 7/6 / 7/4) / (1/8 * 5/9)
[335014] ['1/6', '3/5', '3/4', '7/6', '8'] -> 8 / (3/5 * (3/4 - 1/6 * 7/6))
[335015] ['1/6', '3/8', '7/9', '5/4', '2'] -> 2 / (3/8 * 7/9 - 1/6 * 5/4)
[335016] ['1/3', '8/7', '9/4', '9/4', '5'] -> 8/7 * (9/4 + 9/4) * (5 - 1/3)
[335017] ['5/6', '1', '8/7', '9/7', '7/5'] -> 1 / (5/6 * 7/5 - 9/7 / 8/7)
[335018] ['4/7', '3/2', '7/4', '2', '8/3'] -> 4/7 / (8/3 - (3/2 + 2 / 7/4))
[335019] ['1/8', '5/6', '5/6', '7/5', '8'] -> 8 + (5/6 + 5/6 * 7/5) / 1/8
[335020] ['1/8', '5/9', '1', '7/6', '7/3'] -> 7/3 / (7/6 - (1 + 1/8 * 5/9))
[335021] ['3/5', '5/7', '4/3', '7/4', '7'] -> 7/4 * (5/7 + 4/3 + 7 / 3/5)
[335022] ['1/3', '8/7', '9/4', '7/3', '5'] -> 5 / (1/3 / 8/7 + 9/4 - 7/3)
[335023] ['6/5', '5/4', '7/5', '7/2', '7'] -> 7 / (7/2 * (5/4 - 7/5 / 6/5))
[335024] ['1/8', '5/6', '5/6', '8/5', '8'] -> (8 / ((1/8 * 8/5) * 5/6) + 5/6))
[335025] ['1/6', '3/5', '3/4', '3/2', '8'] -> 8 / (3/4 - 3/2 * 1/6 / 3/5)
[335026] ['2/9', '2/9', '4/5', '4/3', '3'] -> 4/5 * (3 + 4/3 / (2/9 * 2/9))
[335027] ['1/8', '5/9', '1', '7/6', '8/3'] -> ((5/9 / (1/8 * 7/6) - 1)) - 8/3)
[335028] ['3/5', '5/7', '4/3', '9/5', '7'] -> 7 * (5/7 + 9/5) / (4/3 - 3/5)
[335029] ['4/7', '3/2', '9/5', '9/5', '2'] -> 9/5 / (9/5 / (4/7 * 2) - 3/2)
[335030] ['3/5', '5/7', '4/3', '9/4', '7'] -> 7 * (3/5 * 5/7 + 4/3 * 9/4)
[335031] ['1/8', '5/9', '1', '7/6', '7/2'] -> (7/6 + 7/2) / (1/8 * (5/9 + 1))
[335032] ['1/6', '3/8', '7/9', '7/4', '2'] -> (7/4 / (3/8 * 7/9) - 2) / 1/6
[335033] ['6/5', '5/4', '3/2', '8/5', '7'] -> (8/5 + 7 / 5/4) / (3/2 - 6/5)
[335034] ['4/9', '7/8', '5/3', '5/3', '5'] -> 5/3 * 5 / (5/3 - (4/9 + 7/8))
[335035] ['1/3', '8/7', '9/4', '7/2', '5'] -> 7/2 * 8/7 * 9/4 + 5 / 1/3
[335036] ['1/8', '5/6', '5/6', '9/4', '8'] -> (1/8 + 9/4 * (5/6 + 8)) / 5/6
[335037] ['4/7', '3/2', '9/5', '2', '9/4'] -> 9/5 / (9/4 / (2 - 4/7) - 3/2)
[335038] ['2/9', '2/9', '4/5', '9/5', '3'] -> (9/5 + 3) / (2/9 / 2/9 - 4/5)
[335039] ['1/6', '3/8', '7/9', '9/5', '2'] -> (7/9 + 2) * 9/5 / (3/8 - 1/6)
[335040] ['1/6', '3/5', '3/4', '7/3', '8'] -> 7/3 / 1/6 + 8 * 3/4 / 3/5
[335041] ['1/8', '5/6', '5/6', '7/2', '8'] -> 7/2 / (1/8 * 5/6) - 8 / 5/6
[335042] ['1/8', '5/9', '1', '6/5', '5/4'] -> (1 / (5/9 * (1/8 + 6/5)) - 5/4))
[335043] ['2/9', '2/9', '4/5', '9/4', '3'] -> (3 / (9/4 * (2/9 / 4/5)) - 2/9))
[335044] ['4/7', '3/2', '9/5', '2', '7/3'] -> 4/7 / (2 / 7/3 - 3/2 / 9/5)
[335045] ['3/5', '5/7', '4/3', '7/2', '7'] -> 7/2 * (5/7 / 3/5 - (4/3 - 7))
[335046] ['1/3', '8/7', '7/3', '8/3', '5'] -> 5 / (1/3 * (8/3 - 7/3 / 8/7))
[335047] ['6/5', '5/4', '3/2', '9/4', '7'] -> 7 / (5/4 / 6/5 + 3/2 - 9/4)
[335048] ['1/8', '5/6', '6/7', '6/7', '8'] -> 6/7 / (1/8 - 5/6 * 6/7 / 8)
[335049] ['2/9', '2/9', '4/5', '5/2', '3'] -> (4/5 * 5/2 - 2/9) * 3 / 2/9
[335050] ['1/6', '3/8', '4/5', '5/6', '2'] -> 2 / (5/6 * 3/8 * 4/5 - 1/6)
[335051] ['1/8', '5/6', '6/7', '7/8', '8'] -> 8 / ((1/8 + 7/8) / 6/7 - 5/6)
[335052] ['1/3', '8/7', '5/2', '5/2', '5'] -> 5/2 / (5/2 / (8/7 * 5) - 1/3)
[335053] ['4/7', '3/2', '9/5', '2', '8/3'] -> 9/5 * 8/3 * (3/2 + 2 / 4/7)
[335054] ['3/5', '5/7', '7/5', '7/5', '7'] -> 7 * (7/5 + 5/7 + 7/5) - 3/5
[335055] ['4/9', '7/8', '5/3', '7/2', '5'] -> (5/3 + 5 + 7/2 / 7/8) / 4/9
[335056] ['6/5', '5/4', '3/2', '7/2', '7'] -> (5/4 + 7) / (3/2 - 6/5) - 7/2
[335057] ['1/8', '5/6', '6/7', '8/9', '8'] -> 5/6 / (1/8 / 6/7 - 8/9 / 8)
[335058] ['1/8', '5/9', '1', '6/5', '8/5'] -> (8/5 / ((1/8 * 6/5) * 1) - 5/9))
[335059] ['4/9', '7/8', '5/3', '9/2', '5'] -> 5/3 / (4/9 - 7/8 - (9/2 - 5))
[335060] ['5/6', '1', '8/7', '4/3', '5/3'] -> 4/3 / (5/6 - 5/3 / (1 + 8/7))
[335061] ['3/5', '5/7', '7/5', '8/5', '7'] -> 7 * (3/5 * 5/7 + 7/5 + 8/5)
[335062] ['2/9', '2/9', '4/5', '3', '9/2'] -> (9/2 + 3 * 2/9 / 4/5) / 2/9
[335063] ['1/8', '5/6', '6/7', '9/8', '8'] -> 8 / ((9/8 - 1/8) / 6/7 - 5/6)
[335064] ['1/6', '3/8', '4/5', '8/9', '2'] -> (1/6 + 2) / (8/9 - 4/5) - 3/8
[335065] ['1/8', '5/9', '1', '6/5', '5/3'] -> 5/3 / (1/8 / (6/5 - 1) - 5/9)
[335066] ['6/5', '5/4', '8/5', '7/4', '7'] -> 8/5 * (5/4 + 7) / (7/4 - 6/5)
[335067] ['3/5', '5/7', '7/5', '5/3', '7'] -> (7/5 + 7) * (5/3 + 5/7 / 3/5)
[335068] ['2/9', '2/9', '5/6', '5/6', '3'] -> 2/9 / (5/6 * 5/6 / 3 - 2/9)
[335069] ['1/8', '5/6', '6/7', '8/7', '8'] -> (8 + 8/7 / 1/8) / (5/6 * 6/7)
[335070] ['4/7', '3/2', '2', '9/4', '5/2'] -> 3/2 / (9/4 - 5/2 / (4/7 * 2))
[335071] ['1/3', '8/7', '9/2', '9/2', '5'] -> 8/7 * (9/2 * 5 - 1/3 * 9/2)
[335072] ['6/5', '5/4', '8/5', '9/5', '7'] -> 5/4 * 8/5 * 9/5 * 7 - 6/5
[335073] ['4/9', '7/8', '7/4', '9/4', '5'] -> (7/4 + 5) / (9/4 - 7/8 / 4/9)
[335074] ['5/6', '1', '8/7', '4/3', '9/4'] -> 1 / (8/7 / 5/6 - 4/3) - 9/4
[335075] ['1/8', '5/9', '1', '6/5', '5/2'] -> (5/2 - 1 / 6/5) / (1/8 * 5/9)
[335076] ['4/7', '3/2', '2', '9/4', '8/3'] -> 2 * (3/2 + 8/3 * 9/4 / 4/7)
[335077] ['1/6', '3/5', '7/9', '8/7', '8'] -> 8/7 / 1/6 + 8 / (3/5 * 7/9)
[335078] ['3/5', '5/7', '7/5', '9/5', '7'] -> (7 + 5/7 * 7/5) * 9/5 / 3/5
[335079] ['1/8', '5/6', '6/7', '7/6', '8'] -> 6/7 / (1/8 - 5/6 / 7/6 *
)[335080] ['4/9', '7/8', '7/4', '7/3', '5'] -> 7/4 * 5 / (7/3 - 7/8 / 4/9)
[335081] ['1/6', '3/8', '4/5', '9/7', '2'] -> 2 / (3/8 / 9/7 - 1/6 / 4/5)
[335082] ['1/8', '5/9', '1', '6/5', '7/2'] -> (1 + 7/2) * 6/5 * 5/9 / 1/8
[335083] ['4/7', '3/2', '2', '9/4', '9/2'] -> 2 * 9/2 / (3/2 / 4/7 - 9/4)
[335084] ['1/3', '7/6', '7/6', '7/5', '5'] -> (7/6 / 7/6 + 7/5 * 5) / 1/3
[335085] ['1/6', '3/5', '7/9', '5/4', '8'] -> 8 / (3/5 * 7/9 - 1/6 / 5/4)
[335086] ['3/5', '5/7', '7/5', '9/2', '7'] -> 9/2 * (7 - 7/5 * 5/7 / 3/5)
[335087] ['4/9', '7/8', '7/4', '7/2', '5'] -> (7/4 + 5) * (7/2 / 7/8 - 4/9)
[335088] ['4/7', '3/2', '2', '7/3', '7/3'] -> 4/7 / (3/2 - 7/3 + 2 / 7/3)
[335089] ['1/3', '7/6', '7/6', '3/2', '5'] -> 3/2 * (7/6 / 7/6 + 5 / 1/3)
[335090] ['6/5', '5/4', '5/3', '7/4', '7'] -> 7 / (7/4 * (5/3 - 6/5 * 5/4))
[335091] ['1/3', '7/6', '7/6', '5/3', '5'] -> 5 * 5/3 / 1/3 - 7/6 / 7/6
[335092] ['5/6', '1', '8/7', '7/5', '3/2'] -> 8/7 / (5/6 - 3/2 + 1 / 7/5)
[335093] ['6/5', '5/4', '5/3', '9/5', '7'] -> (7 + 6/5 + 9/5) / (5/3 - 5/4)
[335094] ['4/9', '7/8', '9/5', '9/5', '5'] -> 9/5 / (5 - (7/8 + 9/5 / 4/9))
[335095] ['4/7', '3/2', '2', '7/3', '7/2'] -> 2 * 7/2 / (3/2 / 4/7 - 7/3)
[335096] ['1/6', '3/8', '4/5', '2', '9/4'] -> (4/5 + 2 / 1/6) * (9/4 - 3/8)
[335097] ['1/8', '5/6', '6/7', '8/5', '8'] -> 8/5 / 1/8 + 8 / (5/6 * 6/7)
[335098] ['1/6', '3/5', '7/9', '5/3', '8'] -> (8 / (1/6 * (5/3 / 3/5)) - 7/9))
[335099] ['3/5', '5/7', '3/2', '7/4', '7'] -> 3/2 + (5/7 + 7) * 7/4 / 3/5
[335100] ['5/6', '1', '8/7', '7/5', '7/4'] -> (1 / (7/4 * (5/6 * 7/5)) - 8/7))
[335101] ['4/7', '3/2', '2', '5/2', '5/2'] -> (3/2 + 5/2) * (5/2 + 2 / 4/7)
[335102] ['1/8', '5/6', '6/7', '5/3', '8'] -> 6/7 * (8 + (5/6 + 5/3) / 1/8)
[335103] ['1/3', '7/6', '7/6', '7/3', '5'] -> (5 + (7/6 + 7/3) / 7/6) / 1/3
[335104] ['2/9', '2/9', '5/6', '7/4', '3'] -> 3 / (5/6 / (2/9 + 2/9) - 7/4)
[335105] ['4/7', '3/2', '2', '5/2', '9/2'] -> 3/2 * 2 / (9/2 - 5/2 / 4/7)
[335106] ['1/6', '3/8', '4/5', '2', '7/2'] -> 7/2 / (3/8 / (2 - 4/5) - 1/6)
[335107] ['3/5', '5/7', '3/2', '9/5', '7'] -> 3/2 * 7 * (9/5 / 3/5 - 5/7)
[335108] ['4/7', '3/2', '2', '8/3', '8/3'] -> 8/3 * (2 + 8/3 * 3/2 / 4/7)
[335109] ['1/6', '3/8', '4/5', '2', '9/2'] -> (3/8 - 2 + 9/2 / 4/5) / 1/6
[335110] ['4/9', '7/8', '9/5', '8/3', '5'] -> (8/3 / 4/9 - 9/5) * 5 / 7/8
[335111] ['1/3', '7/6', '6/5', '6/5', '5'] -> (6/5 + 6/5) / (1/3 - 7/6 / 5)
[335112] ['1/8', '5/6', '6/7', '7/3', '8'] -> (7/3 + 5/6 * 6/7) * (8 - 1/8)
[335113] ['4/9', '7/8', '9/5', '7/2', '5'] -> 5 * (4/9 * 9/5 + 7/2 / 7/8)
[335114] ['6/5', '5/4', '9/5', '9/5', '7'] -> 5/4 * (7 * (6/5 + 9/5) - 9/5)
[335115] ['5/6', '1', '8/7', '7/5', '7/2'] -> 8/7 * 7/2 / (5/6 * 7/5 - 1)
[335116] ['1/6', '3/8', '5/6', '7/8', '2'] -> (5/6 * 2 + 7/8 / 3/8) / 1/6
[335117] ['2/9', '2/9', '5/6', '3', '9/2'] -> 9/2 / (2/9 / 2/9 - 5/6) - 3
[335118] ['1/6', '3/5', '7/9', '9/2', '8'] -> 8 * (3/5 * (7/9 + 9/2) - 1/6)
[335119] ['4/7', '8/5', '8/5', '5/3', '2'] -> 2 / (8/5 / (4/7 * 8/5) - 5/3)
