[98496] ['4/7', '3/4', '4/3', '9/4', '5'] -> ((4/3 * 9/4) * ((5 / 4/7) - 3/4))
[98531] ['5/8', '2/3', '7/9', '1', '7/5'] -> ((2/3 + 1) / (5/8 - (7/9 / 7/5)))
[98532] ['4/7', '9/7', '4/3', '4/3', '4'] -> ((4/3 + 4/3) * ((4 * 9/7) / 4/7))
[98533] ['5/8', '2/3', '7/9', '1', '3/2'] -> (1 / ((5/8 * 7/9) - (2/3 / 3/2)))
[98534] ['1/8', '6/7', '8/7', '6/5', '3'] -> ((6/5 + 3) * ((6/7 / 1/8) - 8/7))
[98535] ['1/5', '3/7', '8/3', '8/3', '9'] -> (8/3 / ((8/3 / (9 - 3/7)) - 1/5))
[98536] ['1/8', '2/3', '7/4', '7/4', '4'] -> (7/4 / (7/4 * (2/3 / 4)) - 1/8))
[98537] ['1/2', '8/7', '9/5', '9/5', '9'] -> (9 / ((9/5 / (8/7 * 9/5)) - 1/2))
[98538] ['2/7', '3/8', '4/3', '5/2', '7'] -> (((4/3 / 7) + (5/2 / 3/8)) / 2/7)
[98539] ['2/9', '2/9', '9/7', '5/2', '8'] -> ((9/7 + (2/9 / 2/9)) * (5/2 + 8))
[98540] ['1/8', '2/3', '7/4', '9/5', '4'] -> (9/5 * (4 + ((7/4 * 2/3) / 1/8)))
[98541] ['1/8', '6/7', '8/7', '7/5', '3'] -> ((7/5 * 3) * ((6/7 / 1/8) - 8/7))
[98542] ['5/8', '3/4', '8/7', '7/3', '3'] -> (3 / (8/7 - (3/4 + (5/8 / 7/3))))
[98543] ['4/7', '9/7', '4/3', '8/5', '4'] -> (((4 / (8/5 - 4/3)) - 9/7) / 4/7)
[98544] ['1/5', '3/5', '5/7', '5/7', '7'] -> (((7 + (5/7 / 5/7)) * 3/5) / 1/5)
[98545] ['1/3', '4/5', '7/6', '2', '7/3'] -> (2 / ((7/6 / 7/3) - (1/3 / 4/5)))
[98546] ['1/9', '6/7', '7/8', '8/9', '7'] -> (7 / (((1/9 + 8/9) / 6/7) - 7/8))
[98547] ['5/8', '2/3', '7/9', '1', '9/5'] -> (1 / ((7/9 / 2/3) - (5/8 * 9/5)))
[98548] ['2/9', '2/9', '9/7', '8/3', '8'] -> ((9/7 * 8/3) * (8 - (2/9 / 2/9)))
[98549] ['2/9', '5/7', '3/4', '3/2', '4'] -> ((3/2 / (3/4 - 5/7)) - (4 / 2/9))
[98550] ['2/7', '3/8', '7/5', '7/5', '7'] -> (((2/7 + (7/5 / 7/5)) * 7) / 3/8)
[98551] ['3/7', '8/9', '8/7', '8/7', '3'] -> ((3/7 + 3) / ((8/7 / 8/9) - 8/7))
[98552] ['1/9', '6/7', '7/8', '9/8', '7'] -> ((6/7 * 7) + ((7/8 + 9/8) / 1/9))
[98553] ['1/8', '2/3', '9/5', '7/3', '4'] -> (7/3 / ((2/3 / 4) - (1/8 / 9/5)))
[98554] ['1/3', '4/5', '7/6', '2', '8/3'] -> (2 / (4/5 * (7/6 / 8/3)) - 1/3))
[98555] ['2/9', '5/7', '3/4', '5/3', '4'] -> (((3/4 * 4) + (5/3 / 5/7)) / 2/9)
[98556] ['4/7', '3/4', '7/5', '8/3', '5'] -> ((7/5 * 5) * (8/3 + (4/7 / 3/4)))
[98557] ['1/8', '2/3', '9/5', '5/2', '4'] -> (((9/5 / 1/8) + (4 / 5/2)) / 2/3)
[98558] ['2/7', '3/8', '7/5', '3/2', '7'] -> ((2/7 + (3/2 / 3/8)) * (7 - 7/5))
[98559] ['2/9', '5/7', '3/4', '7/4', '4'] -> (((4 - (5/7 / 3/4)) * 7/4) / 2/9)
[98560] ['4/7', '9/7', '4/3', '5/2', '4'] -> (4 / (((5/2 - 4/7) / 9/7) - 4/3))
[98561] ['1/3', '4/5', '6/5', '6/5', '2'] -> ((6/5 + 2) / (1/3 * (6/5 - 4/5)))
[98562] ['5/8', '2/3', '4/5', '5/6', '1'] -> ((5/6 / (4/5 * (2/3 - 5/8))) - 1)
[98563] ['1/5', '4/9', '4/9', '4/7', '9'] -> ((((9 - 4/9) * 4/7) / 1/5) - 4/9)
[98564] ['1/8', '2/3', '9/5', '7/2', '4'] -> (((4 - (2/3 * 7/2)) * 9/5) / 1/8)
[98565] ['2/7', '3/8', '7/5', '5/3', '7'] -> (7 / ((5/3 * (2/7 * 7/5)) - 3/8))
[98566] ['1/2', '8/7', '9/4', '9/4', '9'] -> (9 / ((9/4 / (8/7 * 9/4)) - 1/2))
[98567] ['2/9', '2/9', '4/3', '7/4', '8'] -> (((4/3 / 2/9) + (8 / 2/9)) / 7/4)
[98568] ['1/8', '2/3', '9/5', '4', '9/2'] -> (((9/2 / (1/8 * 9/5)) - 4) / 2/3)
[98569] ['5/8', '3/4', '7/6', '3/2', '3'] -> (3/2 / (3 * 3/4) - (5/8 * 7/6)))
[98570] ['1/8', '1/4', '2/7', '2/5', '6'] -> (((6 - 2/5) * (1/4 + 2/7)) / 1/8)
[98571] ['1/5', '3/5', '5/7', '9/8', '7'] -> (3/5 / ((9/8 / (5/7 * 7)) - 1/5))
[98572] ['1/9', '6/7', '7/8', '5/4', '7'] -> (7 / ((6/7 * (1/9 + 5/4)) - 7/8))
[98573] ['4/7', '3/4', '3/2', '3/2', '5'] -> ((3/2 + 3/2) * ((5 / 4/7) - 3/4))
[98574] ['2/9', '5/7', '3/4', '9/4', '4'] -> (((3/4 + (4 / 2/9)) / 5/7) - 9/4)
[98575] ['1/2', '8/7', '9/4', '5/2', '9'] -> (9 / (((1/2 + 5/2) / 8/7) - 9/4))
[98576] ['2/7', '3/8', '7/5', '7/4', '7'] -> (3/8 + ((7/4 + (7 / 7/5)) / 2/7))
[98577] ['2/9', '2/9', '4/3', '7/3', '8'] -> ((8 * (2/9 + 4/3)) / (2/9 * 7/3))
[98578] ['5/8', '3/4', '7/6', '5/3', '3'] -> ((5/3 * 3) / ((5/8 + 3/4) - 7/6))
[98579] ['5/8', '2/3', '4/5', '7/8', '1'] -> (1 / ((5/8 * (2/3 + 4/5)) - 7/8))
[98580] ['1/5', '4/9', '4/9', '2/3', '9'] -> ((((4/9 / 1/5) - 4/9) * 9) / 2/3)
[98581] ['2/9', '5/7', '3/4', '7/3', '4'] -> ((((3/4 * 4) - 5/7) * 7/3) / 2/9)
[98582] ['4/7', '3/4', '3/2', '8/5', '5'] -> (5 * ((3/2 / 3/4) + (8/5 / 4/7)))
[98583] ['1/3', '4/5', '6/5', '3/2', '2'] -> (4/5 / (6/5 - (1/3 * (3/2 + 2))))
[98584] ['1/9', '6/7', '7/8', '4/3', '7'] -> ((7 + (4/3 / (1/9 * 6/7))) / 7/8)
[98585] ['1/5', '4/9', '4/9', '5/7', '9'] -> (9 * ((4/9 / (1/5 * 5/7)) - 4/9))
[98586] ['1/2', '8/7', '9/4', '9/2', '9'] -> (9/2 / ((1/2 / 8/7) - (9/4 / 9)))
[98587] ['2/9', '2/9', '7/5', '7/5', '8'] -> ((((8 - 2/9) / 2/9) - 7/5) / 7/5)
[98588] ['3/7', '8/9', '8/7', '5/3', '3'] -> (3/7 / ((8/7 - 3) + (5/3 / 8/9)))
[98589] ['4/7', '3/4', '3/2', '5/3', '5'] -> (5 / ((3/2 / 4/7) - (3/4 + 5/3)))
[98590] ['1/3', '4/5', '6/5', '5/3', '2'] -> (4/5 / ((6/5 - 1/3) - (5/3 / 2)))
[98591] ['1/5', '4/9', '4/9', '3/4', '9'] -> ((9 + ((3/4 * 4/9) / 1/5)) / 4/9)
[98592] ['1/8', '5/7', '5/7', '5/7', '4'] -> (((5/7 * 4) - 5/7) / (1/8 * 5/7))
[98593] ['3/7', '8/9', '8/7', '7/4', '3'] -> (3 / (7/4 - (8/7 + (3/7 / 8/9))))
[98594] ['4/7', '3/4', '3/2', '7/4', '5'] -> ((3/2 / 7/4) * (5 / (3/4 - 4/7)))
[98595] ['1/5', '3/5', '5/7', '7/5', '7'] -> (((7 + (5/7 * 7/5)) * 3/5) / 1/5)
[98596] ['1/8', '1/4', '2/7', '2/3', '6'] -> ((1/4 / (1/8 * 2/3)) + (6 / 2/7))
[98597] ['2/7', '3/8', '7/5', '7/3', '7'] -> (7 / ((3/8 - 2/7) * 7/5) * 7/3))
[98598] ['1/2', '8/7', '5/2', '5/2', '9'] -> (9 / ((5/2 / (8/7 * 5/2)) - 1/2))
[98599] ['1/3', '4/5', '6/5', '2', '7/3'] -> (6/5 / (4/5 - (2 / (1/3 + 7/3))))
[98600] ['1/9', '6/7', '7/8', '3/2', '7'] -> (7 / (1/9 * (7/8 + (3/2 / 6/7))))
[98601] ['2/9', '2/9', '7/5', '5/3', '8'] -> (7/5 + ((2/9 + (8 / 5/3)) / 2/9))
[98602] ['5/8', '3/4', '6/5', '4/3', '3'] -> (3 / (5/8 * (6/5 - (3/4 * 4/3))))
[98603] ['1/8', '6/7', '7/6', '3', '7/2'] -> ((7/2 / 1/8) - (3 + (6/7 * 7/6)))
[98604] ['2/9', '5/7', '3/4', '4', '9/2'] -> (((2/9 * 9/2) / (3/4 - 5/7)) - 4)
[98605] ['4/7', '3/4', '3/2', '9/5', '5'] -> (3/4 + (5 * (3/2 + (9/5 / 4/7))))
[98606] ['2/7', '3/8', '7/5', '5/2', '7'] -> (((7/5 - (2/7 / 5/2)) * 7) / 3/8)
[98607] ['1/5', '4/9', '4/9', '5/6', '9'] -> (4/9 / ((5/6 / (1/5 * 9)) - 4/9))
[98608] ['1/2', '8/7', '5/2', '9/2', '9'] -> ((9/2 * 9) / ((5/2 / 8/7) - 1/2))
[98609] ['5/8', '2/3', '4/5', '1', '4/3'] -> (1 / (5/8 * (2/3 - (4/5 / 4/3))))
[98610] ['1/8', '5/7', '5/7', '5/6', '4'] -> ((((5/7 / 1/8) - 5/7) * 4) / 5/6)
[98611] ['1/5', '3/5', '5/7', '9/4', '7'] -> (((7 * (1/5 + 5/7)) * 9/4) / 3/5)
[98612] ['1/8', '6/7', '7/6', '3', '9/2'] -> (9/2 / (7/6 * (6/7 / 3)) - 1/8))
[98613] ['5/8', '3/4', '6/5', '8/5', '3'] -> (3 * ((6/5 / (3/4 - 5/8)) - 8/5))
[98614] ['1/9', '6/7', '7/8', '7/4', '7'] -> ((6/7 * 7) + (7/4 / (1/9 * 7/8)))
[98615] ['4/7', '3/4', '3/2', '7/3', '5'] -> (5 / ((4/7 * 7/3) - (3/4 * 3/2)))
[98616] ['1/5', '4/9', '4/9', '7/8', '9'] -> (9 / (1/5 * (7/8 + (4/9 / 4/9))))
[98617] ['3/7', '8/9', '8/7', '3', '7/2'] -> (8/7 / (3/7 * (8/9 * 7/2)) - 3))
[98618] ['5/8', '2/3', '4/5', '1', '5/3'] -> (1 / ((4/5 * 5/3) - (5/8 + 2/3)))
[98619] ['2/9', '2/9', '7/5', '9/4', '8'] -> (9/4 * ((7/5 * (8 - 2/9)) - 2/9))
[98620] ['1/2', '8/7', '7/2', '9/2', '9'] -> (9 / (((9/2 - 7/2) / 8/7) - 1/2))
[98621] ['4/7', '9/7', '7/5', '7/2', '4'] -> (9/7 / ((7/2 / (7/5 * 4)) - 4/7))
[98622] ['1/8', '1/4', '2/7', '5/6', '6'] -> ((((6 - 1/4) / 2/7) - 1/8) / 5/6)
[98623] ['4/7', '3/4', '3/2', '5/2', '5'] -> ((5 / (3/4 - 4/7)) - (3/2 + 5/2))
[98624] ['5/8', '3/4', '6/5', '9/4', '3'] -> (((3 * 9/4) / 5/8) / (6/5 - 3/4))
[98625] ['1/8', '6/7', '6/5', '5/4', '3'] -> ((6/5 + (5/4 / 1/8)) * (3 - 6/7))
[98626] ['1/3', '4/5', '5/4', '7/4', '2'] -> (2 / (7/4 - (5/4 + (1/3 / 4/5))))
[98627] ['5/8', '2/3', '4/5', '1', '7/4'] -> ((1 + 7/4) / ((5/8 / 4/5) - 2/3))
[98628] ['1/2', '8/7', '9/2', '9/2', '9'] -> (9 / ((9/2 / (8/7 * 9/2)) - 1/2))
[98629] ['1/8', '1/4', '2/7', '8/9', '6'] -> ((1/8 + 1/4) + (6 / (2/7 * 8/9)))
[98630] ['2/7', '3/8', '3/2', '3/2', '7'] -> (((2/7 + (3/2 / 3/2)) * 7) / 3/8)
[98631] ['1/8', '5/7', '5/7', '7/6', '4'] -> (((4 - (5/7 + 5/7)) * 7/6) / 1/8)
[98632] ['1/9', '6/7', '7/8', '7/3', '7'] -> ((7/3 * (6/7 + 7)) / (7/8 - 1/9))
[98633] ['5/8', '2/3', '4/5', '1', '7/3'] -> ((2/3 + 7/3) / (5/8 * (1 - 4/5)))
[98634] ['1/2', '7/6', '7/6', '6/5', '9'] -> (((9 + (7/6 / 7/6)) * 6/5) / 1/2)
[98635] ['3/7', '8/9', '7/6', '6/5', '3'] -> ((3 / (3/7 * (7/6 - 8/9))) - 6/5)
[98636] ['1/3', '4/5', '5/4', '2', '7/3'] -> (2 / (5/4 * (4/5 / 1/3)) - 7/3))
[98637] ['1/8', '1/4', '2/7', '6/5', '6'] -> (6/5 * (((6 - 1/4) / 2/7) - 1/8))
[98638] ['2/9', '2/9', '7/5', '7/2', '8'] -> (8 / ((7/2 * (2/9 / 7/5)) - 2/9))
[98639] ['1/5', '3/5', '3/4', '9/8', '7'] -> ((3/5 * 7) / (9/8 - (1/5 + 3/4)))
[98640] ['1/3', '4/5', '5/4', '2', '8/3'] -> (((2 + (4/5 * 5/4)) * 8/3) / 1/3)
[98641] ['1/5', '4/9', '4/9', '6/5', '9'] -> (6/5 / (9 * (1/5 / 4/9)) - 4/9))
[98642] ['2/9', '5/7', '7/9', '4/3', '4'] -> (((4 / 7/9) - 4/3) / (2/9 * 5/7))
[98643] ['5/8', '2/3', '4/5', '1', '7/2'] -> (7/2 / (2/3 * (1 - (5/8 / 4/5))))
[98644] ['1/5', '3/5', '3/4', '8/7', '7'] -> ((8/7 * 7) / (3/5 - (1/5 / 3/4)))
[98645] ['1/8', '5/7', '5/7', '3/2', '4'] -> (4 + ((3/2 + (5/7 / 5/7)) / 1/8))
[98646] ['1/9', '6/7', '8/9', '8/9', '7'] -> (8/9 / ((8/9 / (6/7 * 7)) - 1/9))
[98647] ['1/5', '4/9', '4/9', '5/4', '9'] -> (((9 + (4/9 / 1/5)) / 4/9) - 5/4)
[98648] ['4/7', '3/4', '8/5', '9/5', '5'] -> (8/5 * (((5 * 9/5) / 4/7) - 3/4))
[98649] ['2/7', '3/8', '3/2', '7/3', '7'] -> (((7 / (2/7 * 7/3)) - 3/2) / 3/8)
[98650] ['2/9', '2/9', '7/5', '9/2', '8'] -> (9/2 * (((8 - 2/9) / 7/5) - 2/9))
[98651] ['1/8', '6/7', '6/5', '8/5', '3'] -> ((8/5 + (6/5 / 1/8)) * (3 - 6/7))
[98652] ['1/8', '1/4', '2/7', '8/5', '6'] -> ((8/5 / 1/8) + (6 / (1/4 + 2/7)))
[98653] ['3/7', '8/9', '7/6', '4/3', '3'] -> (4/3 / ((7/6 / 3/7) - (8/9 * 3)))
[98654] ['1/9', '6/7', '8/9', '9/8', '7'] -> (6/7 / ((9/8 / 7) - (1/9 / 8/9)))
[98655] ['1/2', '7/6', '7/6', '9/5', '9'] -> (((9 - (7/6 + 7/6)) * 9/5) / 1/2)
[98656] ['2/9', '5/7', '7/9', '3/2', '4'] -> ((2/9 / (3/2 - (5/7 + 7/9))) - 4)
[98657] ['1/8', '5/7', '5/7', '9/5', '4'] -> ((5/7 * 9/5) / ((5/7 / 4) - 1/8))
[98658] ['4/7', '3/4', '8/5', '7/3', '5'] -> (8/5 / ((7/3 / (4/7 * 5)) - 3/4))
[98659] ['4/7', '9/7', '8/5', '5/3', '4'] -> ((8/5 * 5/3) * ((4 * 9/7) / 4/7))
[98660] ['1/5', '3/5', '3/4', '8/5', '7'] -> ((7 + ((3/5 + 8/5) / 1/5)) / 3/4)
[98661] ['1/2', '7/6', '7/6', '9/2', '9'] -> (9 * ((1/2 - 7/6) - (7/6 - 9/2)))
[98662] ['1/5', '4/9', '4/9', '7/5', '9'] -> (9 * (((7/5 * 4/9) / 1/5) - 4/9))
[98663] ['3/7', '8/9', '7/6', '3/2', '3'] -> (3/2 / ((7/6 / (3/7 * 8/9)) - 3))
[98664] ['1/5', '3/5', '3/4', '5/3', '7'] -> (((7 / 5/3) - 3/5) / (1/5 * 3/4))
[98665] ['1/9', '6/7', '8/9', '5/4', '7'] -> ((6/7 * 7) / (5/4 - (1/9 + 8/9)))
[98666] ['2/9', '5/7', '7/9', '5/3', '4'] -> ((5/3 + (7/9 * (5/7 + 4))) / 2/9)
[98667] ['2/9', '2/9', '8/5', '7/4', '8'] -> (8/5 * ((2/9 / 2/9) + (7/4 * 8)))
[98668] ['1/5', '4/9', '4/9', '3/2', '9'] -> ((3/2 * 9) * ((4/9 / 1/5) - 4/9))
[98669] ['1/8', '5/7', '5/7', '7/3', '4'] -> (4 / (1/8 * (7/3 - (5/7 / 5/7))))
[98670] ['4/7', '3/4', '8/5', '8/3', '5'] -> (5 * ((3/4 * 8/3) + (8/5 / 4/7)))
[98671] ['4/7', '9/7', '8/5', '9/5', '4'] -> ((8/5 / ((4/7 + 9/7) - 9/5)) - 4)
[98672] ['2/7', '3/8', '8/5', '9/5', '7'] -> (((7 * (9/5 - 2/7)) - 8/5) / 3/8)
[98673] ['2/9', '5/7', '7/9', '7/4', '4'] -> (4 / ((5/7 * 7/9) - (2/9 * 7/4)))
[98674] ['1/5', '4/9', '4/9', '8/5', '9'] -> (4/9 + (((8/5 + 9) * 4/9) / 1/5))
[98675] ['2/9', '2/9', '8/5', '9/4', '8'] -> ((((8 / 9/4) - 2/9) * 8/5) / 2/9)
[98676] ['5/8', '2/3', '5/6', '1', '9/7'] -> (2/3 / ((1 / 9/7) - (5/8 / 5/6)))
[98677] ['1/8', '5/7', '5/7', '8/3', '4'] -> (8/3 * ((5/7 / 1/8) - (5/7 - 4)))
[98678] ['4/7', '3/4', '8/5', '9/2', '5'] -> ((3/4 + 9/2) * (5 * (4/7 * 8/5)))
[98679] ['2/7', '3/8', '8/5', '9/4', '7'] -> ((8/5 * 7) * (9/4 - (2/7 * 3/8)))
[98680] ['2/9', '2/9', '8/5', '7/3', '8'] -> ((8 - 2/9) / (7/3 * (2/9 / 8/5)))
[98681] ['1/2', '7/6', '6/5', '3/2', '9'] -> ((1/2 + (9 / 6/5)) / (3/2 - 7/6))
[98682] ['1/5', '4/9', '4/9', '7/4', '9'] -> (((9 - 4/9) / (1/5 * 7/4)) - 4/9)
[98683] ['5/8', '2/3', '5/6', '1', '4/3'] -> (4/3 / (5/6 * (2/3 / 5/8)) - 1))
[98684] ['2/9', '5/7', '7/9', '9/4', '4'] -> (4 / (7/9 * (5/7 - (2/9 * 9/4))))
[98685] ['2/9', '2/9', '8/5', '7/2', '8'] -> ((8/5 + 8) * (7/2 - (2/9 / 2/9)))
[98686] ['4/7', '9/7', '8/5', '5/2', '4'] -> ((8/5 / (4/7 - (9/7 / 5/2))) - 4)
[98687] ['1/8', '1/4', '1/3', '4/7', '6'] -> (((6 - (1/4 / 1/3)) * 4/7) / 1/8)
[98688] ['2/7', '3/8', '8/5', '5/2', '7'] -> (((8/5 + (2/7 * 7)) * 5/2) / 3/8)
[98689] ['5/8', '2/3', '5/6', '1', '8/5'] -> (1 / ((5/6 * 8/5) - (5/8 + 2/3)))
[98690] ['2/9', '5/7', '7/9', '7/3', '4'] -> (4 / (((7/9 * 5/7) / 2/9) - 7/3))
[98691] ['1/9', '6/7', '8/9', '5/3', '7'] -> (1/9 + (7 * (5/3 + (6/7 + 8/9))))
[98692] ['1/2', '7/6', '6/5', '8/3', '9'] -> ((6/5 / (1/2 * 7/6)) * (8/3 + 9))
[98693] ['4/7', '9/7', '8/5', '8/3', '4'] -> (((8/5 * 9/7) / 4/7) * (8/3 + 4))
[98694] ['1/5', '4/9', '4/9', '5/2', '9'] -> ((4/9 / 4/9) + (5/2 * (1/5 + 9)))
[98695] ['1/5', '3/5', '7/9', '6/7', '7'] -> ((6/7 + (3/5 / 1/5)) * (7 - 7/9))
[98696] ['1/8', '1/4', '1/3', '3/5', '6'] -> (((6 / 3/5) - (1/4 / 1/8)) / 1/3)
[98697] ['2/9', '2/9', '5/3', '5/3', '8'] -> (8 + ((5/3 + (2/9 + 5/3)) / 2/9))
[98698] ['1/9', '6/7', '8/9', '7/4', '7'] -> ((((7 / 7/4) - 8/9) * 6/7) / 1/9)
[98699] ['1/2', '7/6', '6/5', '7/2', '9'] -> (((1/2 + (9 / 6/5)) * 7/2) / 7/6)
[98700] ['2/9', '2/9', '5/3', '5/2', '8'] -> (8 / ((2/9 / 2/9) - (5/3 / 5/2)))
[98701] ['5/8', '2/3', '5/6', '1', '9/5'] -> ((5/6 * 9/5) / (1 - (5/8 / 2/3)))
[98702] ['1/8', '5/7', '3/4', '8/9', '4'] -> ((4 / (3/4 + (1/8 - 5/7))) - 8/9)
[98703] ['1/5', '4/9', '4/9', '9/2', '9'] -> ((9/2 + 9) * ((4/9 / 1/5) - 4/9))
[98704] ['1/2', '7/6', '6/5', '9/2', '9'] -> ((1/2 + 7/6) * (9 + (6/5 * 9/2)))
[98705] ['2/9', '5/7', '7/9', '4', '9/2'] -> ((7/9 * 4) * (9/2 + (5/7 / 2/9)))
[98706] ['4/7', '9/7', '5/3', '7/4', '4'] -> ((9/7 * 4) * (7/4 + (5/3 / 4/7)))
[98707] ['1/2', '7/6', '5/4', '9/7', '9'] -> ((7/6 * 9/7) + ((9 * 5/4) / 1/2))
[98708] ['2/7', '3/8', '5/3', '7/4', '7'] -> (7 / ((5/3 / 7/4) - (2/7 + 3/8)))
[98709] ['5/8', '3/4', '4/3', '7/5', '3'] -> (3 / ((3/4 * 4/3) - (5/8 * 7/5)))
[98710] ['1/8', '6/7', '5/4', '9/5', '3'] -> (3 + ((5/4 * 9/5) / (1/8 * 6/7)))
[98711] ['2/9', '5/7', '4/5', '4/5', '4'] -> (((4/5 / (4/5 - 5/7)) - 4) / 2/9)
[98712] ['5/8', '3/4', '4/3', '8/5', '3'] -> (3 / ((5/8 * 3/4) * 8/5) - 4/3))
[98713] ['1/5', '4/9', '1/2', '5/8', '9'] -> (((4/9 * 9) + (1/2 / 5/8)) / 1/5)
[98714] ['1/9', '6/7', '9/8', '8/7', '7'] -> (((8/7 - (6/7 / 9/8)) * 7) / 1/9)
[98715] ['1/2', '7/6', '9/7', '7/5', '9'] -> ((9/7 + 9) * (7/5 * (1/2 + 7/6)))
[98716] ['2/9', '5/7', '4/5', '5/6', '4'] -> (((4/5 + (4 / 5/7)) * 5/6) / 2/9)
[98717] ['2/7', '3/8', '5/3', '9/4', '7'] -> ((((9/4 / 3/8) - 2/7) * 7) / 5/3)
[98718] ['1/8', '5/7', '3/4', '7/4', '4'] -> (((3/4 + 7/4) / (1/8 * 5/7)) - 4)
[98719] ['2/7', '3/8', '5/3', '7/3', '7'] -> ((7/3 + (5/3 / 7)) / (2/7 * 3/8))
[98720] ['1/3', '4/5', '4/3', '7/4', '2'] -> (((7/4 + 2) * (4/5 + 4/3)) / 1/3)
[98721] ['1/8', '1/4', '1/3', '8/5', '6'] -> (((6 / 8/5) - (1/4 / 1/3)) / 1/8)
[98722] ['1/5', '3/5', '7/9', '9/4', '7'] -> ((7 / ((3/5 * 7/9) - 1/5)) - 9/4)
[98723] ['4/7', '3/4', '7/4', '5/2', '5'] -> ((5/2 + 5) / (7/4 * (3/4 - 4/7)))
[98724] ['2/9', '2/9', '9/5', '8/3', '8'] -> ((9/5 * 8) * (8/3 - (2/9 / 2/9)))
