[319141] ['4/9', '7/9', '4/3', '7/5', '9'] -> (4/3 + 4/9 / 7/9) * 7/5 * 9
[319243] ['3/8', '3/8', '4/9', '1/2', '9'] -> 9 / (1/2 / 4/9 - (3/8 + 3/8))
[319244] ['1/3', '3/7', '1', '7/5', '9/4'] -> 1 / (1/3 * 7/5 - 3/7) - 9/4
[319245] ['1/3', '2/5', '3/7', '3/4', '5'] -> 2/5 / (3/4 / (3/7 * 5) - 1/3)
[319246] ['4/7', '5/8', '8/9', '7/3', '7'] -> (7/3 + 4/7 * 7) / (8/9 - 5/8)
[319247] ['1/8', '2/7', '9/7', '7/5', '8'] -> 9/7 / (1/8 / 7/5 - 2/7 / 8)
[319248] ['5/9', '9/5', '2', '8/3', '8/3'] -> 8/3 / (5/9 / (2 - 9/5) - 8/3)
[319249] ['7/8', '8/9', '9/5', '9/5', '7'] -> 8/9 * 7 * (9/5 + 9/5 / 7/8)
[319250] ['1/6', '1/6', '1/6', '5/8', '8'] -> (5/8 * 8 - 1/6 / 1/6) / 1/6
[319251] ['1/8', '1/5', '5/7', '7/9', '1'] -> 1 / (1/5 - 1/8) / (5/7 * 7/9)
[319252] ['1/7', '4/5', '8/5', '2', '9/2'] -> 9/2 + (8/5 + 2 / 1/7) / 4/5
[319253] ['1/3', '2/5', '3/7', '4/5', '5'] -> (1/3 + 5 / 3/7) / (2/5 / 4/5)
[319254] ['3/8', '3/8', '4/9', '3/4', '9'] -> (9 - 3/8 / 3/8) / (4/9 * 3/4)
[319255] ['1/8', '1/5', '5/7', '7/8', '1'] -> 5/7 * 7/8 / (1/8 * 1/5) - 1
[319256] ['4/7', '5/8', '8/9', '8/3', '7'] -> 8/3 / 7 / (4/7 - 5/8 * 8/9)
[319257] ['4/9', '4/9', '7/9', '9/5', '5'] -> (9/5 - (4/9 - 7/9)) / (4/9 / 5)
[319258] ['5/9', '9/5', '2', '7/2', '9/2'] -> (2 + 5/9 * 9/5) * (7/2 + 9/2)
[319259] ['4/9', '7/9', '7/4', '5/2', '9'] -> 9 * (7/9 + 4/9 * (7/4 + 5/2))
[319260] ['4/7', '5/8', '8/9', '7/2', '7'] -> 8/9 * 7 * (7/2 + 4/7 * 5/8)
[319261] ['7/9', '6/7', '1', '7/6', '8/3'] -> 8/3 / (7/9 * 6/7) / (7/6 - 1)
[319262] ['7/8', '8/9', '9/5', '5/2', '7'] -> 5/2 * (8/9 * 9/5 + 7 / 7/8)
[319263] ['4/9', '7/9', '7/4', '7/2', '9'] -> 7/2 / 7/4 + (7/9 + 9) / 4/9
[319264] ['1/8', '1/5', '5/7', '1', '9/8'] -> 1/5 + (1 + 9/8) / (1/8 * 5/7)
[319265] ['3/8', '3/8', '4/9', '7/8', '9'] -> (3/8 + 3/8 + 9 / 4/9) / 7/8
[319266] ['1/3', '2/5', '3/7', '7/8', '5'] -> 5 * 2/5 / 7/8 / (3/7 - 1/3)
[319267] ['4/9', '7/9', '7/4', '9/2', '9'] -> (9 - (4/9 - 7/9)) / (7/4 / 9/2)
[319268] ['7/8', '8/9', '9/5', '8/3', '7'] -> (8/3 + 7) / (8/9 - 7/8 / 9/5)
[319269] ['4/7', '5/8', '9/8', '9/8', '7'] -> (9/8 + 9/8 / 7) / (5/8 - 4/7)
[319270] ['1/7', '4/5', '5/3', '9/5', '2'] -> 2 / 1/7 / (9/5 / 4/5 - 5/3)
[319271] ['3/8', '3/8', '4/9', '8/7', '9'] -> 8/7 * (3/8 + 3/8 + 9 / 4/9)
[319272] ['1/3', '3/7', '1', '3/2', '3/2'] -> (1 + (3/2 + 3/2) / 3/7) / 1/3
[319273] ['4/9', '7/9', '9/5', '9/4', '9'] -> (9/5 - (4/9 - 7/9)) * (9/4 + 9)
[319274] ['7/9', '6/7', '1', '6/5', '6/5'] -> (6/7 + 6/5) / (1 / 7/9 - 6/5)
[319275] ['1/8', '1/5', '5/7', '1', '4/3'] -> 1/5 / 1/8 / (1 / 5/7 - 4/3)
[319276] ['4/9', '7/9', '9/5', '8/3', '9'] -> 8/3 / 9 / (4/9 - 7/9 / 9/5)
[319277] ['1/7', '4/5', '5/3', '2', '7/3'] -> 4/5 * (2 + (5/3 + 7/3) / 1/7)
[319278] ['7/8', '8/9', '9/4', '9/4', '7'] -> 7 / (9/4 - 7/8 * 9/4) - 8/9
[319279] ['4/7', '5/8', '9/8', '5/4', '7'] -> 5/4 + (9/8 + 7) / (4/7 * 5/8)
[319280] ['4/9', '4/9', '4/5', '5/6', '5'] -> 4/5 * 5 / (4/9 / 4/9 - 5/6)
[319281] ['1/8', '1/5', '5/7', '1', '7/5'] -> (1/5 + 7/5 + 1 / 5/7) / 1/8
[319282] ['5/9', '2', '9/4', '7/3', '5/2'] -> 2 / (9/4 + 7/3 - 5/2 / 5/9)
[319283] ['3/8', '3/8', '4/9', '3/2', '9'] -> 3/2 + (9 + 3/8 / 3/8) / 4/9
[319284] ['1/7', '4/5', '5/3', '2', '7/2'] -> 4/5 / (5/3 - 7/2 / (1/7 + 2))
[319285] ['1/3', '2/5', '3/7', '5/4', '5'] -> (1/3 + 5 / 3/7) / (2/5 * 5/4)
[319286] ['1/8', '1/5', '5/7', '1', '3/2'] -> 1 / (1/8 / 5/7 - 1/5 / 3/2)
[319287] ['1/3', '3/7', '1', '3/2', '9/4'] -> (1 + 3/2) / (3/7 - 1/3) - 9/4
[319288] ['4/7', '5/8', '9/8', '4/3', '7'] -> 7 * (4/7 + 4/3) / (5/8 / 9/8)
[319289] ['7/8', '8/9', '9/4', '8/3', '7'] -> 8/9 * 8/3 * (7 + 7/8 + 9/4)
[319290] ['1/7', '4/5', '5/3', '2', '9/2'] -> 9/2 / (1/7 / 4/5) - 2 / 5/3
[319291] ['1/6', '1/6', '1/6', '8/5', '8'] -> (8 / 8/5 - 1/6 / 1/6) / 1/6
[319292] ['4/9', '7/9', '9/4', '5/2', '9'] -> 9 * (7/9 / (5/2 - 9/4) - 4/9)
[319293] ['1/3', '2/5', '3/7', '9/7', '5'] -> (5 * (2/5 + 9/7) - 3/7) / 1/3
[319294] ['1/8', '1/5', '5/7', '1', '5/3'] -> 1 / 5/3 / (1/5 - 1/8 / 5/7)
[319295] ['7/9', '6/7', '1', '6/5', '3/2'] -> 6/7 / (1 / 7/9 - 3/2 / 6/5)
[319296] ['1/6', '1/6', '1/6', '7/4', '8'] -> (8 - 1/6 / 1/6) / (1/6 * 7/4)
[319297] ['4/9', '4/9', '4/5', '8/9', '5'] -> (8/9 + 4/9 + 4/5) / (4/9 / 5)
[319298] ['4/7', '5/8', '9/8', '3/2', '7'] -> (3/2 + 4/7 * 9/8) / (5/8 / 7)
[319299] ['7/9', '6/7', '1', '6/5', '8/5'] -> 6/7 / (1 - 6/5 / (7/9 * 8/5))
[319300] ['1/8', '1/5', '5/7', '1', '7/4'] -> (5/7 / 1/5 - 1 / 7/4) / 1/8
[319301] ['1/7', '4/5', '7/4', '9/5', '2'] -> (7/4 + 2) / 1/7 - 9/5 / 4/5
[319302] ['7/9', '6/7', '1', '6/5', '5/3'] -> 6/5 * (5/3 / (6/7 - 7/9) - 1)
[319303] ['4/9', '7/9', '7/3', '7/2', '9'] -> 7/3 / (7/2 / (4/9 * 9) - 7/9)
[319304] ['1/8', '1/5', '5/7', '1', '9/5'] -> (1 / 5/7 - (1/5 - 9/5)) / 1/8
[319305] ['7/8', '8/9', '7/3', '9/2', '7'] -> 7 / (7/8 - 7/3 / (8/9 * 9/2))
[319306] ['5/9', '2', '9/4', '5/2', '9/2'] -> 5/2 + 9/4 * (5/9 + 2 * 9/2)
[319307] ['1/6', '1/6', '1/5', '2/9', '8'] -> (1/6 / 1/5 - 1/6) / (2/9 / 8)
[319308] ['4/9', '4/9', '4/5', '7/6', '5'] -> 4/5 * 5 / (7/6 - 4/9 / 4/9)
[319309] ['1/8', '2/7', '7/5', '5/3', '8'] -> 7/5 * 5/3 * (8 + 2/7 / 1/8)
[319310] ['1/7', '4/5', '7/4', '2', '9/4'] -> 4/5 * (2 + (7/4 + 9/4) / 1/7)
[319311] ['1/6', '1/6', '1/5', '1/4', '8'] -> 8 / (1/5 * (1/6 + 1/4 / 1/6))
[319312] ['1/8', '1/5', '5/7', '1', '5/2'] -> (1 / 5/7 - 1/5) / (1/8 / 5/2)
[319313] ['1/5', '5/9', '4/7', '5/4', '3'] -> 3 / (1/5 * 4/7) - 5/4 / 5/9
[319314] ['4/9', '4/9', '4/5', '5/4', '5'] -> (5 / (5/4 - 4/5) - 4/9) / 4/9
[319315] ['1/8', '2/7', '7/5', '9/5', '8'] -> 9/5 / (1/8 - 2/7 * 7/5 / 8)
[319316] ['4/7', '5/8', '9/8', '9/4', '7'] -> 7 * (9/8 + 9/4 - (4/7 - 5/8))
[319317] ['1/6', '1/6', '1/5', '3/8', '8'] -> (1/6 / 1/5 + 1/6 + 8) / 3/8
[319318] ['7/9', '6/7', '1', '6/5', '7/3'] -> 7/3 / (1 - 7/9 / 6/7) - 6/5
[319319] ['3/8', '3/8', '1/2', '7/9', '9'] -> 3/8 + (3/8 + 9 / 1/2) / 7/9
[319320] ['1/3', '2/5', '3/7', '9/5', '5'] -> 5 * ((2/5 + 9/5) / 3/7 - 1/3)
[319321] ['4/9', '4/5', '4/5', '5/6', '9'] -> 4/9 * 9 / (4/5 / 4/5 - 5/6)
[319322] ['1/5', '5/9', '4/7', '4/3', '3'] -> 3 + 4/3 / (4/7 * 1/5 * 5/9)
[319323] ['7/8', '8/9', '7/2', '7/2', '7'] -> 7/2 / (8/9 - 7/8) / (7/2 + 7)
[319324] ['1/7', '4/5', '7/4', '2', '7/2'] -> (7/2 + 2 / 4/5) / (1/7 * 7/4)
[319325] ['1/8', '2/7', '7/5', '9/4', '8'] -> 2/7 + 9/4 / 1/8 + 8 / 7/5
[319326] ['3/8', '3/8', '1/2', '6/5', '9'] -> (9 + 3/8 / 3/8) / (1/2 / 6/5)
[319327] ['1/3', '3/7', '1', '8/5', '8/3'] -> (8/3 + 1 / 3/7) / (1/3 / 8/5)
[319328] ['1/8', '1/5', '3/4', '7/9', '1'] -> 1 / (1/8 / 1/5 - 3/4 * 7/9)
[319329] ['7/9', '6/7', '1', '6/5', '8/3'] -> 8/3 / (6/5 * (1 - 7/9 / 6/7))
[319330] ['4/7', '5/8', '9/8', '8/3', '7'] -> 8/3 / 7 / (4/7 - 5/8 / 9/8)
[319331] ['1/3', '3/7', '1', '8/5', '7/2'] -> (3/7 + 1) * 7/2 / (1/3 / 8/5)
[319332] ['4/7', '5/8', '9/8', '9/2', '7'] -> 7 * (9/2 - (9/8 + 4/7 - 5/8))
[319333] ['4/9', '4/9', '4/5', '8/5', '5'] -> 4/5 * 5 / (4/9 - 4/9 / 8/5)
[319334] ['1/6', '1/6', '1/5', '5/7', '8'] -> 1/5 * 8 / (1/6 / 5/7 - 1/6)
[319335] ['5/9', '2', '7/3', '5/2', '5/2'] -> (5/2 + 5/2 * (2 + 7/3)) / 5/9
[319336] ['4/9', '4/5', '4/5', '9/8', '9'] -> 4/5 * 9 / (4/5 - 4/9 * 9/8)
[319337] ['1/8', '2/7', '7/5', '8/3', '8'] -> 8/3 + 8 / (2/7 + 1/8 / 7/5)
[319338] ['1/8', '1/5', '3/4', '8/9', '1'] -> 1 / (3/4 * 8/9 - 1/8 / 1/5)
[319339] ['4/9', '4/9', '4/5', '5/3', '5'] -> (5/3 + 5 / (4/9 / 4/5)) / 4/9
[319340] ['1/5', '5/9', '4/7', '7/4', '3'] -> (3 + 7/4 / (5/9 / 4/7)) / 1/5
[319341] ['5/9', '2', '7/3', '5/2', '7/2'] -> (7/2 + 5/2 / 5/9) / (7/3 - 2)
[319342] ['1/8', '2/7', '7/5', '7/2', '8'] -> (8 + 7/2 / 7/5) / (1/8 / 2/7)
[319343] ['7/8', '9/8', '9/8', '5/4', '7'] -> (9/8 + 9/8 * 7) / (5/4 - 7/8)
[319344] ['1/6', '1/6', '1/5', '7/9', '8'] -> 1/6 * 8 / (1/6 / 1/5 - 7/9)
[319345] ['4/9', '4/5', '4/5', '7/6', '9'] -> 4/9 * 9 / (7/6 - 4/5 / 4/5)
[319346] ['1/7', '4/5', '9/5', '2', '5/2'] -> 9/5 / 2 + (4/5 + 5/2) / 1/7
[319347] ['4/7', '5/8', '8/7', '6/5', '7'] -> 6/5 + (8/7 + 7) / (4/7 * 5/8)
[319348] ['1/3', '3/7', '1', '5/3', '9/5'] -> (1 + 9/5 / (3/7 / 5/3)) / 1/3
[319349] ['3/8', '3/8', '5/9', '3/5', '9'] -> (9 - 3/8 / 3/8) / (5/9 * 3/5)
[319350] ['7/9', '6/7', '1', '5/4', '4/3'] -> 4/3 / 7/9 / (6/7 * 5/4 - 1)
[319351] ['1/6', '1/6', '1/5', '5/6', '8'] -> (1/6 + 8 - 5/6 / 1/5) / 1/6
[319352] ['4/7', '5/8', '8/7', '5/4', '7'] -> 7 * (4/7 + 8/7) / (5/8 / 5/4)
[319353] ['1/8', '1/5', '3/4', '1', '9/7'] -> 1 / (1/8 / 1/5 - 3/4 / 9/7)
[319354] ['4/9', '4/5', '4/5', '5/4', '9'] -> (9 + 4/5 / 4/9) / (5/4 - 4/5)
[319355] ['3/8', '3/8', '5/9', '5/7', '9'] -> 3/8 + (3/8 + 9) / (5/9 * 5/7)
[319356] ['1/3', '2/5', '4/9', '5/9', '5'] -> (1/3 + 5) / (4/9 - 2/5 * 5/9)
[319357] ['4/9', '4/9', '4/5', '8/3', '5'] -> (4/5 + 4/9 / 4/9) * 8/3 * 5
[319358] ['1/8', '1/5', '3/4', '1', '3/2'] -> (1 / 1/5 - 3/2 / 3/4) / 1/8
[319359] ['3/8', '3/8', '5/9', '3/4', '9'] -> (9 + 3/8 / 3/8) / (5/9 * 3/4)
[319360] ['1/3', '3/7', '1', '5/3', '9/2'] -> 9/2 * (1 / (1/3 * 3/7) - 5/3)
[319361] ['1/6', '1/6', '1/5', '8/9', '8'] -> 1/6 * 8 / (8/9 - 1/6 / 1/5)
[319362] ['4/7', '5/8', '8/7', '8/5', '7'] -> 8/5 + 8/7 * 7 / (4/7 * 5/8)
[319363] ['4/9', '4/9', '4/5', '7/2', '5'] -> 5 * (4/9 + 7/2 * (4/9 + 4/5))
[319364] ['1/5', '5/9', '4/7', '5/2', '3'] -> 5/2 * (1/5 / (4/7 - 5/9) - 3)
[319365] ['7/9', '6/7', '1', '5/4', '5/3'] -> 6/7 / (1 - 5/4 / (7/9 * 5/3))
[319366] ['4/9', '4/9', '4/5', '9/2', '5'] -> 5 * (4/5 + 9/2 * (4/9 + 4/9))
[319367] ['1/8', '1/5', '3/4', '1', '5/3'] -> 1 / 5/3 / (1/5 * 3/4 - 1/8)
[319368] ['7/8', '9/8', '9/8', '9/4', '7'] -> (9/8 + 9/4) * 7 / (7/8 * 9/8)
[319369] ['4/9', '4/5', '4/5', '8/5', '9'] -> (4/5 + 9 * (4/9 + 8/5)) / 4/5
[319370] ['3/8', '3/8', '5/9', '5/6', '9'] -> 9 * ((3/8 + 5/6) / 3/8 - 5/9)
[319371] ['1/7', '4/5', '2', '9/4', '8/3'] -> 9/4 * (2 / 1/7 - 8/3 / 4/5)
[319372] ['1/3', '2/5', '4/9', '5/7', '5'] -> (1/3 + 5) / (4/9 / 5/7 - 2/5)
[319373] ['7/8', '9/8', '9/8', '5/2', '7'] -> 7/8 + 5/2 * (7 + 9/8 + 9/8)
[319374] ['1/6', '1/6', '1/5', '7/6', '8'] -> 8 / (1/6 * (7/6 + 1/6 / 1/5))
[319375] ['1/8', '2/7', '8/5', '8/5', '8'] -> (8/5 / 2/7 - 8/5) / 1/8 - 8
[319376] ['1/3', '2/5', '4/9', '3/4', '5'] -> 5 * 2/5 / 3/4 / (4/9 - 1/3)
