[216690] ['1/6', '1/6', '2/7', '3/8', '7'] -> (2/7 + 1/6 / 1/6) * 7 / 3/8
[216759] ['1/5', '1/5', '3/8', '3/8', '2'] -> (2 / 3/8 - 1/5 / 3/8) / 1/5
[216760] ['3/8', '7/9', '7/8', '9/5', '6'] -> 6 / (7/8 / (7/9 * 9/5) - 3/8)
[216761] ['2/3', '7/9', '5/3', '9/2', '8'] -> 7/9 * 9/2 * (8 - 2/3) - 5/3
[216762] ['1/7', '3/7', '7/8', '1', '5/3'] -> 1 / ((7/8 - 1/7) / 3/7 - 5/3)
[216763] ['1/6', '1/6', '2/7', '9/5', '7'] -> (7 / (9/5 - 1/6) - 2/7) / 1/6
[216764] ['4/9', '5/8', '8/5', '5/3', '6'] -> ((5/3 + 6) / 5/8 - 8/5) / 4/9
[216765] ['1/5', '5/7', '1', '9/8', '7/3'] -> (1 + 7/3 / 5/7) * 9/8 / 1/5
[216766] ['6/7', '9/8', '7/5', '5/2', '9'] -> 7/5 * 5/2 * 9 * 6/7 / 9/8
[216767] ['3/8', '7/9', '7/8', '9/4', '6'] -> (9/4 + 6 * 7/8 / 7/9) / 3/8
[216768] ['5/6', '6/7', '7/6', '6/5', '8'] -> (8 / ((5/6 * 7/6) * 6/5) - 6/7))
[216769] ['7/9', '8/9', '8/5', '2', '7/3'] -> 2 / ((7/3 - 7/9) / 8/5 - 8/9)
[216770] ['1/8', '1/6', '2/7', '9/8', '9'] -> 9 / 2/7 - (1/8 + 9/8) / 1/6
[216771] ['4/9', '5/8', '8/5', '7/4', '6'] -> 6 * (7/4 + 8/5 * 5/8 / 4/9)
[216772] ['5/6', '6/7', '7/6', '5/4', '8'] -> 8 / (6/7 * 7/6 - 5/6 / 5/4)
[216773] ['3/7', '1/2', '3/5', '8/7', '7'] -> (3/7 + 7) / (8/7 - 1/2 / 3/5)
[216774] ['3/8', '7/9', '7/8', '5/2', '6'] -> 6 * (3/8 + 5/2 + 7/8 / 7/9)
[216775] ['1/5', '1/5', '3/8', '5/8', '2'] -> (1/5 + 2) / (5/8 - 1/5 / 3/8)
[216776] ['7/9', '8/9', '8/5', '2', '5/2'] -> 8/5 / (7/9 - 8/9 * 2 / 5/2)
[216777] ['1/7', '3/7', '7/8', '1', '9/4'] -> (1 / (7/8 * (3/7 / 9/4)) - 1/7))
[216778] ['1/6', '1/6', '2/7', '9/2', '7'] -> (9/2 - 1/6) / 1/6 - 2/7 * 7
[216779] ['1/8', '1/6', '2/7', '5/4', '9'] -> 9 + 5/4 / (2/7 * (1/8 + 1/6))
[216780] ['1/4', '2/7', '8/9', '5/2', '3'] -> 8/9 * 3 * (1/4 + 5/2 / 2/7)
[216781] ['2/3', '7/9', '9/5', '9/5', '8'] -> 2/3 * 8 / (9/5 / 9/5 - 7/9)
[216782] ['1', '6/5', '3/2', '7/3', '8/3'] -> (6/5 + 3/2) * 8/3 * (1 + 7/3)
[216783] ['3/7', '1/2', '3/5', '7/6', '7'] -> (7 / 3/5 - 7/6) / 3/7 - 1/2
[216784] ['5/6', '6/7', '7/6', '7/5', '8'] -> 8 / (5/6 * (7/5 - 6/7 * 7/6))
[216785] ['4/9', '5/8', '8/5', '7/3', '6'] -> (7/3 + 6) / (5/8 - 4/9 / 8/5)
[216786] ['1/7', '3/7', '7/8', '1', '9/2'] -> 1 / (7/8 * (1/7 - 3/7 / 9/2))
[216787] ['2/3', '9/8', '5/4', '8/5', '6'] -> 6 / (8/5 - 9/8 / (2/3 * 5/4))
[216788] ['3/8', '7/9', '8/9', '8/7', '6'] -> (8/7 / 8/9 + 6 / 7/9) / 3/8
[216789] ['3/7', '1/2', '3/5', '5/4', '7'] -> 7 * 3/7 / 5/4 / (3/5 - 1/2)
[216790] ['2/3', '7/9', '9/5', '9/4', '8'] -> 9/5 * (8 * 7/9 * 9/4 - 2/3)
[216791] ['1/4', '2/7', '8/9', '3', '7/2'] -> (2/7 / (3 * (8/9 / 7/2)) - 1/4))
[216792] ['1/5', '5/7', '1', '8/7', '8/7'] -> (8/7 + 8/7 / 1/5) / (1 - 5/7)
[216793] ['5/6', '6/7', '7/6', '8/5', '8'] -> 8 / (5/6 * 8/5 - 6/7 * 7/6)
[216794] ['2/3', '9/8', '5/4', '5/3', '6'] -> 6 / (2/3 * (9/8 - 5/4 / 5/3))
[216795] ['5/6', '6/7', '7/6', '9/5', '8'] -> 8 * (9/5 + 7/6 * 6/7 / 5/6)
[216796] ['1/6', '1/6', '1/3', '3/5', '7'] -> 3/5 * (7 / 1/6 - 1/3 / 1/6)
[216797] ['6/7', '9/8', '3/2', '5/2', '9'] -> 9 / (9/8 - 5/2 + 3/2 / 6/7)
[216798] ['4/9', '5/8', '5/3', '5/3', '6'] -> 6 * (5/3 * 5/3 / 5/8 - 4/9)
[216799] ['1/4', '2/7', '9/8', '9/8', '3'] -> 3 / (9/8 / 9/8 - 1/4 / 2/7)
[216800] ['1/6', '1/6', '1/3', '5/7', '7'] -> (5/7 - 1/3 / 7) / (1/6 * 1/6)
[216801] ['5/6', '6/7', '7/6', '7/3', '8'] -> 8 / (7/3 * (6/7 - 5/6 / 7/6))
[216802] ['2/3', '9/8', '5/4', '9/5', '6'] -> 5/4 / (2/3 - 9/8 / 9/5) - 6
[216803] ['3/7', '1/2', '3/5', '3/2', '7'] -> 7 * (3/7 + 1/2 + 3/2 / 3/5)
[216804] ['7/8', '8/9', '5/3', '7/4', '5'] -> (5/3 / (5 * (7/8 + 8/9)) - 7/4))
[216805] ['1/5', '1/5', '3/8', '9/8', '2'] -> (9/8 / 3/8 - (1/5 - 2)) / 1/5
[216806] ['1/5', '5/7', '1', '8/7', '3/2'] -> (5/7 + 1) / (1/5 * (3/2 - 8/7))
[216807] ['7/9', '8/9', '5/3', '2', '9/4'] -> 2 / ((9/4 - 8/9) / 7/9 - 5/3)
[216808] ['4/9', '5/8', '5/3', '9/5', '6'] -> 9/5 * 6 * (5/3 / 5/8 - 4/9)
[216809] ['2/3', '7/9', '9/4', '7/3', '8'] -> 8 * 9/4 / 2/3 - 7/3 / 7/9
[216810] ['6/7', '9/8', '8/5', '8/5', '9'] -> 8/5 * 8/5 * (9 / 6/7 - 9/8)
[216811] ['1/8', '1/6', '2/7', '8/3', '9'] -> 9 / (1/8 / 2/7 - 1/6 / 8/3)
[216812] ['2/3', '9/8', '9/7', '9/7', '6'] -> 6 / (9/7 / 9/7 - 2/3 * 9/8)
[216813] ['1/5', '1/5', '3/8', '7/6', '2'] -> 1/5 / (7/6 / 2 - (1/5 + 3/8))
[216814] ['5/6', '6/7', '6/5', '6/5', '8'] -> 8 / (6/5 / (6/7 * 6/5) - 5/6)
[216815] ['1/4', '2/7', '9/8', '5/4', '3'] -> 3 / (9/8 / 1/4 - 5/4 / 2/7)
[216816] ['7/9', '8/9', '7/4', '9/5', '2'] -> (2 / ((7/9 + 8/9) * 9/5) - 7/4))
[216817] ['3/8', '7/9', '8/9', '7/4', '6'] -> (7/4 / 7/9 + 6 / 8/9) / 3/8
[216818] ['2/3', '9/8', '9/7', '4/3', '6'] -> 2/3 * (6 / (9/7 - 9/8) - 4/3)
[216819] ['1', '6/5', '3/2', '9/2', '9/2'] -> 6/5 * (1 + 9/2 * 9/2) - 3/2
[216820] ['1/8', '1/6', '1/3', '2/5', '9'] -> 9 / (1/6 / 2/5 - 1/8 * 1/3)
[216821] ['1/5', '1/5', '3/8', '9/7', '2'] -> (1/5 + 2) / (3/8 / 9/7 - 1/5)
[216822] ['5/6', '6/7', '6/5', '4/3', '8'] -> 8 * (6/5 / 6/7 + 4/3 / 5/6)
[216823] ['1', '6/5', '8/5', '8/5', '8/5'] -> (8/5 + 8/5 + 8/5) / (6/5 - 1)
[216824] ['3/8', '7/9', '8/9', '9/4', '6'] -> 8/9 / (3/8 / 9/4 - 7/9 / 6)
[216825] ['7/8', '8/9', '5/3', '7/2', '5'] -> 5/3 / (8/9 * 5 - (7/8 + 7/2))
[216826] ['1/8', '1/6', '1/3', '4/7', '9'] -> 9 * (1/3 + 1/6 / (1/8 * 4/7))
[216827] ['1/6', '1/6', '1/3', '9/5', '7'] -> (1/6 + 7 / 9/5) / 1/6 - 1/3
[216828] ['2/3', '4/5', '4/5', '6/7', '8'] -> 4/5 * 8 / (4/5 / 6/7 - 2/3)
[216829] ['1/4', '2/7', '9/8', '8/5', '3'] -> 8/5 * (9/8 / 1/4 + 3 / 2/7)
[216830] ['1/5', '5/7', '1', '8/7', '7/2'] -> 7/2 * (5/7 + 8/7 + 1 / 1/5)
[216831] ['1/5', '1/5', '3/8', '7/4', '2'] -> (1/5 + 7/4) / (1/5 * 3/8) - 2
[216832] ['5/6', '6/7', '6/5', '8/5', '8'] -> (8 - 6/7) * (6/5 + 8/5) / 5/6
[216833] ['4/9', '5/8', '7/4', '8/3', '6'] -> 8/3 / (4/9 - 5/8 + 7/4 / 6)
[216834] ['1/6', '1/6', '1/3', '9/2', '7'] -> (1/6 + 1/3 * (9/2 + 7)) / 1/6
[216835] ['3/8', '7/9', '9/8', '9/8', '6'] -> (6 + 9/8 / 9/8) / (3/8 * 7/9)
[216836] ['7/9', '8/9', '9/5', '2', '9/4'] -> 2 / (9/4 * 7/9 / 9/5 - 8/9)
[216837] ['1/8', '1/6', '1/3', '7/9', '9'] -> 7/9 * 9 / (1/3 + 1/8 - 1/6)
[216838] ['5/6', '6/7', '6/5', '5/3', '8'] -> (8 / ((5/6 * 6/7) * 5/3) - 6/5))
[216839] ['1/8', '1/6', '1/3', '4/5', '9'] -> 9 / (1/8 - 1/6 + 1/3 / 4/5)
[216840] ['1', '6/5', '8/5', '8/5', '8/3'] -> 8/5 / (8/3 * (8/5 - 6/5) - 1)
[216841] ['3/8', '7/9', '9/8', '8/7', '6'] -> (9/8 * 8/7 + 6 / 7/9) / 3/8
[216842] ['1/7', '3/7', '8/9', '1', '9/4'] -> (3/7 + 1 + 8/9 * 9/4) / 1/7
[216843] ['6/7', '9/8', '8/5', '5/2', '9'] -> (9 / (6/7 * (5/2 / 8/5)) - 9/8))
[216844] ['1/5', '1/5', '3/8', '2', '7/2'] -> (7/2 + 1/5 / 1/5) * 2 / 3/8
[216845] ['7/9', '8/9', '9/5', '2', '5/2'] -> 9/5 / (7/9 / 8/9 - 2 / 5/2)
[216846] ['1/6', '1/6', '3/8', '3/7', '7'] -> 7 / (1/6 + 1/6) * 3/7 / 3/8
[216847] ['5/6', '6/7', '6/5', '9/4', '8'] -> 9/4 * 8 / (5/6 * 6/7) - 6/5
[216848] ['3/8', '7/9', '9/8', '7/6', '6'] -> 6 / (3/8 * 7/9 + 9/8 - 7/6)
[216849] ['3/7', '1/2', '5/8', '3/4', '7'] -> 3/7 / (5/8 - 1/2 - 3/4 / 7)
[216850] ['4/9', '5/8', '9/5', '5/2', '6'] -> 9/5 * 6 * (5/2 - 4/9 * 5/8)
[216851] ['7/8', '8/9', '7/4', '7/2', '5'] -> (7/4 + 5) * 7/2 * 8/9 / 7/8
[216852] ['5/6', '6/7', '6/5', '5/2', '8'] -> 6/7 * 8 * (5/2 + 5/6 * 6/5)
[216853] ['7/9', '8/9', '9/5', '2', '8/3'] -> 8/9 / (7/9 - 8/3 / (9/5 * 2))
[216854] ['2/3', '9/8', '9/7', '8/3', '6'] -> 9/7 * (2/3 + 6 * 9/8 * 8/3)
[216855] ['1/4', '2/7', '9/8', '7/3', '3'] -> 3 / (7/3 * (1/4 + 2/7) - 9/8)
[216856] ['3/7', '1/2', '5/8', '7/9', '7'] -> 7 / (1/2 - 7/9 * 3/7 * 5/8)
[216857] ['1/8', '1/6', '1/3', '8/7', '9'] -> (1/6 + 9 / 8/7) / 1/3 - 1/8
[216858] ['2/3', '4/5', '5/6', '5/6', '8'] -> (8 / (4/5 * (5/6 / 2/3)) - 5/6))
[216859] ['2/3', '9/8', '9/7', '7/2', '6'] -> (6 / 2/3 - 9/7) * 7/2 / 9/8
[216860] ['6/7', '9/8', '8/5', '9/2', '9'] -> 9 * 9/2 / 8/5 - 9/8 / 6/7
[216861] ['1/8', '1/6', '1/3', '9/7', '9'] -> 9 / (9/7 * (1/3 + 1/8 - 1/6))
[216862] ['1/7', '3/7', '1', '9/8', '9/8'] -> 3/7 / (1/7 / (9/8 - 1) - 9/8)
[216863] ['1/4', '2/7', '9/8', '8/3', '3'] -> 9/8 * (8/3 / 2/7 + 3 / 1/4)
[216864] ['2/3', '9/8', '9/7', '9/2', '6'] -> 9/2 / (9/7 - 9/8) - 2/3 * 6
[216865] ['3/8', '7/9', '9/8', '7/5', '6'] -> 6 / (7/9 * 9/8 / 7/5 - 3/8)
[216866] ['5/6', '6/7', '5/4', '3/2', '8'] -> 8 / (5/6 + 5/4 - 3/2 / 6/7)
[216867] ['1/6', '1/6', '3/8', '5/6', '7'] -> 7 / (3/8 / (1/6 + 1/6) - 5/6)
[216868] ['1/4', '2/7', '9/8', '3', '7/2'] -> 3 / (1/4 - 9/8 + 2/7 * 7/2)
[216869] ['1/8', '1/6', '1/3', '8/5', '9'] -> (1/3 + 1/6 / 1/8) * 8/5 * 9
[216870] ['1/5', '5/7', '1', '7/6', '7/4'] -> 7/4 / (7/6 - 1 / (1/5 + 5/7))
[216871] ['7/8', '8/9', '9/5', '7/3', '5'] -> 5 * (9/5 + 7/3 / (7/8 * 8/9))
[216872] ['3/7', '1/2', '5/8', '9/8', '7'] -> 3/7 * 7 / (5/8 / 1/2 - 9/8)
[216873] ['3/8', '7/9', '9/8', '8/5', '6'] -> 8/5 * (7/9 + 6 / (3/8 * 9/8))
[216874] ['5/6', '6/7', '5/4', '5/3', '8'] -> (5/4 + 5/3) * 8 * 6/7 / 5/6
[216875] ['7/8', '8/9', '9/5', '5/2', '5'] -> 5 * (9/5 + 8/9 * (7/8 + 5/2))
[216876] ['1', '6/5', '8/5', '7/4', '7/4'] -> 6/5 / (8/5 * 7/4 - (1 + 7/4))
[216877] ['2/3', '9/8', '4/3', '9/5', '6'] -> (6 / ((2/3 * 9/5) * 4/3) - 9/8))
[216878] ['1/5', '1/5', '2/5', '6/7', '2'] -> 2/5 * 2 / (1/5 / 6/7 - 1/5)
[216879] ['4/9', '5/8', '7/3', '9/2', '6'] -> 7/3 * 6 / (4/9 + 5/8 / 9/2)
[216880] ['5/6', '6/7', '5/4', '9/5', '8'] -> 8 * (5/4 + 9/5 * 5/6 / 6/7)
[216881] ['1', '6/5', '8/5', '7/4', '9/5'] -> 9/5 / (1 / 8/5 + 6/5 - 7/4)
[216882] ['3/8', '7/9', '9/8', '7/4', '6'] -> (9/8 * 6 + 7/4 / 7/9) / 3/8
[216883] ['1/6', '1/6', '3/8', '6/5', '7'] -> 7 / (1/6 / 3/8 - 1/6) - 6/5
[216884] ['1/8', '1/6', '3/8', '4/7', '9'] -> (3/8 + 9 * 1/6 / 4/7) / 1/8
[216885] ['7/9', '8/9', '2', '9/4', '9/2'] -> 9/4 * (7/9 + 8/9 + 2 * 9/2)
[216886] ['3/7', '1/2', '5/8', '4/3', '7'] -> (7 / 3/7 - 1/2) / 5/8 - 4/3
[216887] ['6/7', '9/8', '5/3', '5/2', '9'] -> (5/2 + 9 / 6/7) / (5/3 - 9/8)
[216888] ['1/4', '2/7', '8/7', '7/5', '3'] -> (2/7 + 8/7) * 3 * 7/5 / 1/4
[216889] ['1/7', '3/7', '1', '9/8', '3/2'] -> 1 / (3/2 - (9/8 + 1/7 / 3/7))
[216890] ['4/9', '5/8', '5/2', '9/2', '6'] -> 6 / ((5/8 + 5/2) / 9/2 - 4/9)
[216891] ['3/8', '7/9', '9/8', '9/4', '6'] -> 6 / (7/9 * 9/4 - (3/8 + 9/8))
[216892] ['5/6', '6/7', '5/4', '9/4', '8'] -> 8 / ((9/4 - 5/4) / 6/7 - 5/6)
[216893] ['7/9', '8/9', '2', '7/3', '7/2'] -> (2 + 7/3 / 7/2) / (8/9 - 7/9)
[216894] ['7/8', '8/9', '9/5', '9/2', '5'] -> 9/5 / (7/8 - 8/9 * 9/2 / 5)
[216895] ['3/7', '1/2', '5/8', '7/5', '7'] -> 7 / (1/2 / 3/7 - 5/8 * 7/5)
[216896] ['1/6', '1/6', '3/8', '7/4', '7'] -> (7/4 / ((1/6 * 1/6) * 3/8) * 7))
[216897] ['1/4', '2/7', '8/7', '8/5', '3'] -> 2/7 / (1/4 - 8/7 / 8/5 *
)[216898] ['4/9', '5/8', '8/3', '9/2', '6'] -> ((8/3 + 6) / 4/9 - 9/2) / 5/8
[216899] ['2/3', '9/8', '7/5', '9/5', '6'] -> 9/8 * (2/3 + 6) * (7/5 + 9/5)
[216900] ['2/3', '4/5', '6/7', '8/9', '8'] -> 8 / (8/9 / 4/5 - 2/3 / 6/7)
[216901] ['3/8', '7/9', '9/8', '8/3', '6'] -> (6 / (9/8 * (3/8 * 8/3)) - 7/9))
[216902] ['1/7', '3/7', '1', '9/8', '5/3'] -> (3/7 + 9/8 * (1 + 5/3)) / 1/7
[216903] ['7/8', '8/9', '9/4', '7/3', '5'] -> 7/3 * 5 / (9/4 - (7/8 + 8/9))
[216904] ['1/5', '1/5', '2/5', '7/6', '2'] -> 2/5 * 2 / (1/5 * 7/6 - 1/5)
[216905] ['1/4', '2/7', '8/7', '9/5', '3'] -> 2/7 / (1/4 - 8/7 / (9/5 + 3))
[216906] ['7/9', '8/9', '2', '5/2', '9/2'] -> 9/2 / (5/2 * 7/9 / 8/9 - 2)
[216907] ['3/7', '1/2', '5/8', '7/4', '7'] -> 7 * (3/7 + 7/4 + 5/8 / 1/2)
[216908] ['1/5', '5/7', '1', '7/6', '9/2'] -> (1 + 5/7 / 1/5) * 7/6 * 9/2
[216909] ['1/8', '1/6', '3/8', '8/7', '9'] -> (1/8 + 3/8 * 9) * 8/7 / 1/6
[216910] ['1/6', '1/6', '3/8', '5/2', '7'] -> ((1/6 + 5/2) / 1/6 - 7) / 3/8
[216911] ['4/9', '2/3', '2/3', '2/3', '6'] -> (2/3 + (2/3 + 6) / 2/3) / 4/9
[216912] ['2/3', '4/5', '6/7', '8/7', '8'] -> 8 * (6/7 + 8/7 / (2/3 * 4/5))
[216913] ['7/8', '8/9', '9/4', '7/2', '5'] -> 5 / (7/8 + 8/9 - 7/2 / 9/4)
[216914] ['6/7', '9/8', '7/4', '9/5', '9'] -> 9 * (9/8 / 9/5 + 7/4 / 6/7)
[216915] ['3/8', '7/9', '8/7', '7/6', '6'] -> 6 * (7/9 * 8/7 + 7/6 / 3/8)
[216916] ['1/6', '1/6', '2/5', '2/5', '7'] -> (7 + 2/5 / 2/5) / (1/6 + 1/6)
[216917] ['5/6', '6/7', '9/7', '7/5', '8'] -> 8 / (9/7 / 6/7 - 5/6 * 7/5)
[216918] ['1', '6/5', '8/5', '9/5', '7/3'] -> 1 / (9/5 / 6/5 - 7/3 / 8/5)
[216919] ['1/8', '1/6', '3/8', '9/7', '9'] -> (9 / 9/7 - 3/8 / 1/8) / 1/6
[216920] ['1/4', '2/7', '7/6', '6/5', '3'] -> 3 / (2/7 * 7/6 - 1/4 / 6/5)
[216921] ['4/9', '2/3', '2/3', '6/7', '6'] -> 4/9 * 6 / (2/3 / 6/7 - 2/3)
[216922] ['1/5', '1/5', '2/5', '5/3', '2'] -> (2 - 2/5) / (5/3 * 1/5 * 1/5)
[216923] ['2/3', '4/5', '6/7', '5/4', '8'] -> (8 / (5/4 * (4/5 / 6/7)) - 2/3))
[216924] ['7/8', '8/9', '7/3', '8/3', '5'] -> 5 / (7/8 + 7/3 - 8/3 / 8/9)
[216925] ['1', '6/5', '8/5', '9/5', '8/3'] -> 6/5 / (9/5 / 8/3 - 1 / 8/5)
