[283681] ['1/3', '2/5', '5/9', '5/4', '3'] -> (1/3 + 3) / (5/9 / 2/5 - 5/4)
[283708] ['1/4', '4/9', '4/5', '6/7', '6'] -> 4/5 * (6 / (4/9 - 1/4) - 6/7)
[283709] ['1/6', '4/9', '6/5', '4/3', '3'] -> (3 + 4/9 / 4/3) / (1/6 / 6/5)
[283710] ['1/2', '4/7', '5/8', '2', '9/4'] -> 9/4 / (5/8 / 4/7 - 1/2 * 2)
[283711] ['2/7', '3/7', '1/2', '1', '3/2'] -> (2/7 + 3/2) / (1/2 - 3/7) - 1
[283712] ['2/9', '3/5', '5/8', '2', '8/3'] -> 8/3 / (2 * 2/9 / 5/8 - 3/5)
[283713] ['1/4', '4/9', '4/5', '8/9', '6'] -> 6 * (8/9 / (1/4 * 4/5) - 4/9)
[283714] ['1/6', '4/9', '6/5', '7/5', '3'] -> 7/5 / (1/6 * 3 - 4/9) - 6/5
[283715] ['1/3', '2/5', '5/9', '3', '7/2'] -> 3 / (2/5 * 5/9) + 7/2 / 1/3
[283716] ['2/3', '5/7', '1', '4/3', '7/3'] -> 2/3 / (7/3 / (5/7 + 1) - 4/3)
[283717] ['1/7', '1/6', '7/9', '7/8', '2'] -> 2 / (1/7 / 1/6) / (7/8 - 7/9)
[283718] ['1/2', '4/7', '5/8', '2', '7/3'] -> 2 / (4/7 * 7/3 - 5/8 / 1/2)
[283719] ['2/9', '3/5', '5/8', '2', '7/2'] -> 7/2 / (2/9 * 5/8) - 3/5 * 2
[283720] ['1/3', '2/5', '4/7', '4/7', '3'] -> 3 * (4/7 / (2/5 - 1/3) - 4/7)
[283721] ['1/8', '1/6', '4/7', '7/5', '2'] -> 2 / (1/6 / 4/7 / 7/5 - 1/8)
[283722] ['1/2', '4/7', '5/8', '2', '5/2'] -> 2 / (4/7 - 1/2) - 5/2 / 5/8
[283723] ['2/5', '6/7', '7/8', '5/3', '5'] -> 5 / (7/8 / (2/5 / 6/7) - 5/3)
[283724] ['2/7', '5/9', '6/7', '8/7', '9'] -> 6/7 + (2/7 + 8/7) / (5/9 / 9)
[283725] ['1/6', '4/9', '6/5', '5/3', '3'] -> 6/5 * 5/3 / (1/6 * 4/9) - 3
[283726] ['1/9', '3/7', '5/8', '8/5', '8'] -> (8 - 8/5 / 3/7) / (1/9 / 5/8)
[283727] ['1/3', '2/5', '4/7', '3/5', '3'] -> 2/5 / (3/5 / (4/7 * 3) - 1/3)
[283728] ['1/9', '3/8', '4/9', '1', '7/2'] -> (3/8 * 4/9 - (1 - 7/2)) / 1/9
[283729] ['2/7', '5/9', '6/7', '7/6', '9'] -> 6/7 * 9 * (7/6 + 5/9 / 2/7)
[283730] ['4/9', '4/7', '5/7', '5/6', '8'] -> (5/7 + (4/7 + 8) / 4/9) / 5/6
[283731] ['1/2', '4/7', '2/3', '2/3', '2'] -> 2 / (2/3 - 2/3 * 1/2 / 4/7)
[283732] ['1/8', '1/6', '4/7', '8/5', '2'] -> 2 / 8/5 / (1/8 / 4/7 - 1/6)
[283733] ['1/7', '1/6', '7/9', '6/5', '2'] -> 2 / (1/7 / 1/6 - 7/9) - 6/5
[283734] ['1/3', '2/5', '4/7', '5/8', '3'] -> (3 / (4/7 * 5/8) - 2/5) / 1/3
[283735] ['2/9', '3/5', '2/3', '5/7', '2'] -> (2/3 + 2 / (3/5 * 5/7)) / 2/9
[283736] ['1/9', '3/8', '1/2', '4/7', '1'] -> 3/8 + (1/2 + 1) / (1/9 * 4/7)
[283737] ['2/7', '3/7', '1/2', '1', '8/3'] -> 3/7 / (1/2 - (2/7 + 1) / 8/3)
[283738] ['2/7', '5/9', '6/7', '6/5', '9'] -> (6/7 + 9 * 5/9 * 6/5) / 2/7
[283739] ['2/5', '7/6', '7/6', '9/7', '9'] -> 7/6 * (9/7 + 9 / (2/5 * 7/6))
[283740] ['2/5', '6/7', '7/8', '9/4', '5'] -> 6/7 / (5 * 2/5 / 7/8 - 9/4)
[283741] ['2/3', '5/7', '1', '7/5', '5/3'] -> 5/3 / (7/5 * (5/7 - 2/3)) - 1
[283742] ['1/7', '1/6', '7/9', '5/4', '2'] -> (1/6 + 5/4 * 2) / (1/7 * 7/9)
[283743] ['3/4', '8/9', '8/5', '8/3', '7'] -> (8/9 + 8/3 / 3/4) * (7 - 8/5)
[283744] ['2/7', '5/9', '6/7', '9/7', '9'] -> 9 * (9/7 + 5/9 + 6/7) - 2/7
[283745] ['4/9', '4/7', '5/7', '8/7', '8'] -> 8 / (4/9 / 4/7) / (8/7 - 5/7)
[283746] ['2/5', '7/6', '7/6', '7/5', '9'] -> (9 + 7/5 / (7/6 + 7/6)) / 2/5
[283747] ['1/9', '3/8', '1/2', '5/8', '1'] -> 3/8 + (5/8 + 1 / 1/2) / 1/9
[283748] ['1/3', '2/5', '4/7', '3/4', '3'] -> (3 / (3/4 - 2/5) - 4/7) / 1/3
[283749] ['2/7', '3/7', '5/9', '4/7', '1'] -> 2/7 / 3/7 / (1 - 5/9 / 4/7)
[283750] ['1/2', '4/7', '2/3', '8/9', '2'] -> 2/3 / 2 / (8/9 - 1/2 / 4/7)
[283751] ['1/8', '1/6', '4/7', '2', '8/3'] -> (2 / 4/7 - 1/6) / 1/8 - 8/3
[283752] ['1/9', '3/7', '5/8', '7/3', '8'] -> 7/3 / (1/9 + 5/8) * (8 - 3/7)
[283753] ['3/4', '8/9', '8/5', '9/2', '7'] -> 8/5 * (9/2 + 7 / (3/4 * 8/9))
[283754] ['2/5', '7/6', '7/6', '5/3', '9'] -> (9 + 7/6 / 7/6 / 5/3) / 2/5
[283755] ['1/6', '4/9', '5/4', '9/7', '3'] -> (3 / (4/9 * 9/7) - 5/4) / 1/6
[283756] ['2/9', '3/5', '2/3', '9/8', '2'] -> 2/3 / 2/9 / (2 - 9/8 / 3/5)
[283757] ['2/5', '7/6', '7/6', '7/4', '9'] -> (7/4 + 9 / (2/5 / 7/6)) / 7/6
[283758] ['1/9', '3/8', '1/2', '4/5', '1'] -> (1 + 1/2 / (3/8 * 4/5)) / 1/9
[283759] ['2/7', '5/9', '6/7', '8/5', '9'] -> 6/7 * 8/5 * 9 / (2/7 / 5/9)
[283760] ['1/2', '4/7', '2/3', '7/5', '2'] -> 4/7 / (1/2 / 7/5 - 2/3 / 2)
[283761] ['2/7', '5/9', '6/7', '7/4', '9'] -> 6/7 / (7/4 / 9 - 2/7 * 5/9)
[283762] ['1/4', '4/9', '4/5', '5/2', '6'] -> 6 + 4/5 * 5/2 / (1/4 * 4/9)
[283763] ['1/8', '1/6', '3/5', '6/7', '2'] -> (1/6 + 2 / 3/5) / (1/8 / 6/7)
[283764] ['3/4', '8/9', '5/3', '7/3', '7'] -> 7 / (3/4 - 7/3 + 5/3 / 8/9)
[283765] ['1/6', '4/9', '5/4', '7/5', '3'] -> (3 / (4/9 * 5/4) - 7/5) / 1/6
[283766] ['1/9', '3/8', '1/2', '1', '8/7'] -> (1 + 1/2 / 3/8) / (1/9 / 8/7)
[283767] ['1/7', '1/6', '7/9', '2', '9/4'] -> 2 / (9/4 * 1/7 * 7/9 - 1/6)
[283768] ['1/4', '4/9', '4/5', '7/2', '6'] -> 7/2 / (1/4 * 4/9) - 6 / 4/5
[283769] ['2/5', '7/6', '7/6', '9/4', '9'] -> 7/6 * (9 / 2/5 - 9/4 / 7/6)
[283770] ['2/9', '3/5', '2/3', '5/4', '2'] -> 2 / (2/9 - 5/4 + 2/3 / 3/5)
[283771] ['1/6', '4/9', '5/4', '9/5', '3'] -> (3 + 9/5 * 4/9 * 5/4) / 1/6
[283772] ['1/7', '1/6', '7/9', '2', '5/2'] -> (1/7 + 2 * 5/2) / (1/6 / 7/9)
[283773] ['2/3', '5/7', '1', '3/2', '8/5'] -> 8/5 / (2/3 * (3/2 - 1 / 5/7))
[283774] ['2/7', '3/7', '5/9', '8/9', '1'] -> 1 / (2/7 / 3/7 - 5/9 / 8/9)
[283775] ['1/9', '3/7', '2/3', '3/4', '8'] -> 8 / 3/7 / (2/3 / 3/4 - 1/9)
[283776] ['3/4', '8/9', '7/4', '7/4', '7'] -> 3/4 * 7 / (7/4 / 8/9 - 7/4)
[283777] ['2/7', '5/9', '7/8', '8/9', '9'] -> 9 / (5/9 / 8/9 - 2/7 * 7/8)
[283778] ['2/9', '3/5', '2/3', '3/2', '2'] -> 3/2 + 2 / (2/3 * 2/9 * 3/5)
[283779] ['1/3', '2/5', '4/7', '4/3', '3'] -> 3 / (1/3 / 2/5 / 4/7 - 4/3)
[283780] ['1/2', '4/7', '2/3', '2', '9/2'] -> (9/2 + 2 / 4/7) / (1/2 * 2/3)
[283781] ['1/6', '4/9', '9/7', '9/7', '3'] -> 9/7 / (9/7 / 3 - 1/6 / 4/9)
[283782] ['2/7', '5/9', '7/8', '9/8', '9'] -> 9 / (5/9 * 9/8 - 2/7 * 7/8)
[283783] ['1/3', '2/5', '4/7', '7/5', '3'] -> (7/5 + 3) / (1/3 / 4/7 - 2/5)
[283784] ['1/4', '4/9', '5/6', '8/7', '6'] -> (6 + 5/6 / 1/4) / (4/9 / 8/7)
[283785] ['1/8', '1/6', '3/5', '2', '9/4'] -> (1/8 * 2 + 9/4 / 3/5) / 1/6
[283786] ['1/6', '4/9', '9/7', '4/3', '3'] -> 4/3 / (4/9 - 3 * 1/6 / 9/7)
[283787] ['1/2', '4/7', '5/7', '5/7', '2'] -> (2 + 5/7 / 1/2) / (5/7 - 4/7)
[283788] ['3/4', '8/9', '7/4', '9/4', '7'] -> 7 / 3/4 / (8/9 + 7/4 - 9/4)
[283789] ['2/5', '7/6', '6/5', '9/7', '9'] -> (6/5 + 9) / 2/5 - 7/6 * 9/7
[283790] ['4/9', '4/7', '5/7', '9/2', '8'] -> (4/7 + 8) * 9/2 * 4/9 / 5/7
[283791] ['2/9', '3/5', '2/3', '5/3', '2'] -> (3/5 + 2 / 2/9) / (2/3 / 5/3)
[283792] ['1/7', '1/6', '4/5', '7/8', '2'] -> 2 / (1/6 / 4/5 - 1/7 * 7/8)
[283793] ['1/4', '4/9', '5/6', '7/6', '6'] -> 6 + (5/6 + 7/6) / (1/4 * 4/9)
[283794] ['1/8', '1/6', '3/5', '2', '8/3'] -> 2 / (1/8 / 3/5) * (8/3 - 1/6)
[283795] ['1/9', '3/7', '2/3', '5/4', '8'] -> 2/3 / (1/9 * 3/7) + 5/4 * 8
[283796] ['2/7', '3/7', '5/9', '1', '5/4'] -> 2/7 / (5/4 - (1 + 3/7 * 5/9))
[283797] ['2/9', '3/5', '2/3', '7/4', '2'] -> 2 / (2/3 / 2/9 - 7/4 / 3/5)
[283798] ['4/9', '4/7', '3/4', '3/4', '8'] -> 8 * (3/4 / 4/9 + 3/4 / 4/7)
[283799] ['2/7', '5/9', '7/8', '6/5', '9'] -> 9 / (2/7 / 5/9) / (7/8 / 6/5)
[283800] ['1/6', '4/9', '9/7', '3/2', '3'] -> 9/7 * (4/9 * 3/2 + 3 / 1/6)
[283801] ['2/7', '5/9', '7/8', '9/7', '9'] -> 9 / 7/8 / (5/9 * 9/7 - 2/7)
[283802] ['1/4', '4/9', '5/6', '9/7', '6'] -> 6 / (9/7 * (5/6 - 4/9) - 1/4)
[283803] ['4/9', '4/7', '3/4', '5/6', '8'] -> 8 / (5/6 / 3/4 - 4/9 / 4/7)
[283804] ['1/2', '4/7', '5/7', '6/5', '2'] -> 5/7 * 6/5 * 2 / (4/7 - 1/2)
[283805] ['3/4', '8/9', '9/5', '7/3', '7'] -> 9/5 * (8/9 + (7/3 + 7) / 3/4)
[283806] ['2/7', '5/9', '7/8', '4/3', '9'] -> (9 / 7/8 - 2/7) / (5/9 / 4/3)
[283807] ['2/5', '7/6', '5/4', '9/7', '9'] -> (9/7 + 9) / (5/4 * 2/5 / 7/6)
[283808] ['1/8', '1/6', '5/8', '6/7', '2'] -> 6/7 * (5/8 / (1/8 * 1/6) - 2)
[283809] ['1/3', '2/5', '4/7', '5/2', '3'] -> 5/2 / (1/3 * 2/5) + 3 / 4/7
[283810] ['1/4', '4/9', '5/6', '7/5', '6'] -> (6 + 7/5 / (1/4 / 5/6)) / 4/9
[283811] ['2/3', '5/7', '1', '8/5', '9/4'] -> 2/3 / (1 - 9/4 / (5/7 + 8/5))
[283812] ['1/7', '1/6', '4/5', '5/4', '2'] -> (4/5 / 1/7 - 2 / 5/4) / 1/6
[283813] ['1/6', '4/9', '9/7', '7/4', '3'] -> (3 + 7/4 * 4/9 * 9/7) / 1/6
[283814] ['2/7', '3/7', '5/9', '1', '5/3'] -> (1 + 5/3) / (2/7 / 3/7 - 5/9)
[283815] ['3/4', '8/9', '9/5', '5/2', '7'] -> (9/5 + 7) / (8/9 / 5/2) - 3/4
[283816] ['1/9', '3/7', '2/3', '5/2', '8'] -> 1/9 + 5/2 * (8 + 2/3 / 3/7)
[283817] ['2/3', '5/7', '1', '8/5', '7/3'] -> 8/5 / (2/3 - 1 / (5/7 * 7/3))
[283818] ['1/8', '1/6', '5/8', '8/9', '2'] -> 1/6 / ((8/9 - 5/8) / 2 - 1/8)
[283819] ['1/7', '1/6', '4/5', '4/3', '2'] -> 4/3 / (1/6 * 4/5) + 2 / 1/7
[283820] ['1/9', '3/8', '5/9', '1', '9/8'] -> (1 + 9/8 / (3/8 / 5/9)) / 1/9
[283821] ['3/4', '8/9', '9/5', '9/2', '7'] -> 9/5 * (8/9 * 9/2 + 7 / 3/4)
[283822] ['1/3', '2/5', '3/5', '3/5', '3'] -> (3 + 3/5 / 1/3) / (3/5 - 2/5)
[283823] ['1/7', '1/6', '4/5', '7/5', '2'] -> 2 / (7/5 * 1/7 / 4/5 - 1/6)
[283824] ['4/9', '4/7', '3/4', '6/5', '8'] -> 8 / (4/7 / 3/4 - 4/9) - 6/5
[283825] ['1/6', '4/9', '9/7', '7/3', '3'] -> 9/7 * 7/3 * 3 / (1/6 / 4/9)
[283826] ['2/7', '3/7', '5/9', '1', '9/4'] -> 2/7 / (5/9 * (9/4 - 3/7) - 1)
[283827] ['2/7', '5/9', '7/8', '7/4', '9'] -> 2/7 + (5/9 + 7/4) / (7/8 / 9)
[283828] ['1/2', '4/7', '5/7', '7/4', '2'] -> 7/4 * 2 / (5/7 - 4/7) - 1/2
[283829] ['2/5', '7/6', '9/7', '4/3', '9'] -> 4/3 * (9 / (2/5 * 7/6) - 9/7)
[283830] ['1/8', '1/6', '5/8', '7/5', '2'] -> (7/5 + 2) / (1/6 / 5/8 - 1/8)
[283831] ['2/5', '6/7', '8/9', '9/2', '5'] -> 5 * (9/2 / 6/7 - 2/5 / 8/9)
[283832] ['2/7', '5/9', '7/8', '9/5', '9'] -> (9/5 + 9) / (7/8 * 2/7 / 5/9)
[283833] ['2/9', '3/5', '5/7', '6/7', '2'] -> (2 + 6/7 / 5/7) / (2/9 * 3/5)
[283834] ['1/7', '1/6', '4/5', '5/3', '2'] -> 4/5 / (2 / 5/3 - 1/6 / 1/7)
[283835] ['4/9', '4/7', '3/4', '4/3', '8'] -> 3/4 + (8 + 4/3 / 4/7) / 4/9
[283836] ['2/7', '5/9', '7/8', '9/4', '9'] -> 9 / (7/8 * (5/9 - 2/7 / 9/4))
[283837] ['2/9', '3/5', '5/7', '7/8', '2'] -> 2 / (2/9 * 3/5) / (5/7 * 7/8)
[283838] ['1/7', '1/6', '4/5', '7/4', '2'] -> 2 / (1/7 / 4/5 - 1/6 / 7/4)
[283839] ['2/5', '6/7', '9/8', '8/7', '5'] -> 6/7 / (2/5 * 5) / (8/7 - 9/8)
[283840] ['3/4', '8/9', '7/3', '7/3', '7'] -> (7/3 + 7/3 * 7) / 3/4 - 8/9
[283841] ['1/3', '2/5', '3/5', '8/7', '3'] -> (3 / 1/3 - 3/5) / (2/5 / 8/7)
[283842] ['1/9', '3/7', '5/7', '7/6', '8'] -> (5/7 - 3/7) * 8 / (1/9 / 7/6)
[283843] ['2/3', '5/7', '1', '5/3', '7/3'] -> (1 + 5/3) / (7/3 * (5/7 - 2/3))
[283844] ['1/8', '1/6', '2/3', '6/7', '2'] -> 2/3 / (1/8 - 1/6 / 6/7 / 2)
[283845] ['1/6', '4/9', '9/7', '3', '9/2'] -> (1/6 + 9/2 / (9/7 / 3)) / 4/9
[283846] ['1/7', '1/6', '4/5', '9/5', '2'] -> 2 / 1/7 - (4/5 - 9/5 / 1/6)
[283847] ['2/7', '3/7', '4/7', '3/5', '1'] -> (2/7 + 3/7) / (3/5 - 4/7) - 1
[283848] ['1/4', '4/9', '6/7', '5/4', '6'] -> (6 / (4/9 - 1/4) - 6/7) / 5/4
[283849] ['2/9', '3/5', '5/7', '9/8', '2'] -> 2 / (2/9 * 5/7) / (9/8 - 3/5)
[283850] ['2/5', '7/6', '9/7', '8/3', '9'] -> 9/7 * (9 / 2/5 - (7/6 + 8/3))
[283851] ['4/9', '4/7', '3/4', '5/3', '8'] -> 8 * (4/9 / 4/7 + 5/3 / 3/4)
[283852] ['2/7', '5/9', '7/8', '7/2', '9'] -> (7/2 + 9 / (2/7 / 5/9)) / 7/8
[283853] ['2/9', '3/5', '5/7', '8/7', '2'] -> 2 / (2/9 * 3/5) / (5/7 / 8/7)
[283854] ['2/5', '7/6', '9/7', '7/2', '9'] -> 9 + (7/6 + 7/2) / (2/5 / 9/7)
[283855] ['1/7', '1/6', '4/5', '2', '7/3'] -> 7/3 * (1/7 + 2) / (1/6 / 4/5)
[283856] ['2/7', '3/7', '4/7', '5/7', '1'] -> (5/7 + 1) / (2/7 / 4/7 - 3/7)
[283857] ['3/4', '8/9', '5/2', '5/2', '7'] -> 3/4 / (5/2 / (8/9 / 5/2) - 7)
[283858] ['1/3', '2/5', '3/5', '9/4', '3'] -> (3/5 + 3) / (9/4 * (2/5 - 1/3))
[283859] ['1/6', '4/9', '4/3', '9/5', '3'] -> 4/3 / (4/9 / 3 - 1/6 / 9/5)
[283860] ['2/5', '7/6', '9/7', '9/2', '9'] -> 9 + (9/2 + 7/6 * 9/7) / 2/5
[283861] ['1/9', '3/8', '5/9', '1', '9/2'] -> 9/2 * (1/9 + 1) / (3/8 * 5/9)
[283862] ['1/2', '4/7', '3/4', '5/6', '2'] -> 1/2 / (3/4 - 5/6 / (4/7 * 2))
[283863] ['2/7', '3/7', '4/7', '3/4', '1'] -> 2/7 / ((1 - 3/4) / 3/7 - 4/7)
[283864] ['1/7', '1/6', '4/5', '2', '7/2'] -> 2 / (1/7 - 1/6 / 4/5 / 7/2)
[283865] ['1/4', '4/9', '6/7', '5/3', '6'] -> (6/7 + 6) * (5/3 / 4/9 - 1/4)
[283866] ['2/3', '5/7', '1', '7/4', '9/4'] -> 7/4 / (1 - 2/3 / 5/7) - 9/4
[283867] ['1/9', '3/7', '5/7', '7/4', '8'] -> 8 / (3/7 * (5/7 + 1/9 / 7/4))
[283868] ['1/3', '2/5', '5/8', '3/4', '3'] -> 3 / 5/8 / (2/5 / 3/4 - 1/3)
[283869] ['1/6', '4/9', '7/5', '8/5', '3'] -> (7/5 + 8/5) * 3 / (1/6 / 4/9)
[283870] ['1/9', '3/7', '5/7', '9/5', '8'] -> 8 / (1/9 / 3/7) / (5/7 * 9/5)
[283871] ['1/2', '4/7', '3/4', '7/6', '2'] -> 2 / (7/6 * (1/2 - 4/7 * 3/4))
[283872] ['3/4', '8/9', '7/2', '7/2', '7'] -> 7 / (3/4 * (7/2 - 8/9 * 7/2))
[283873] ['2/7', '5/9', '8/9', '7/6', '9'] -> (2/7 + 9 / 7/6) / (8/9 - 5/9)
[283874] ['2/7', '3/7', '4/7', '6/7', '1'] -> 6/7 / (2/7 - 1 + 3/7 / 4/7)
[283875] ['1/9', '3/8', '4/7', '2/3', '1'] -> 3/8 + 1 / (2/3 * 1/9 * 4/7)
[283876] ['2/5', '7/6', '4/3', '7/3', '9'] -> 7/3 / (7/6 * 4/3) + 9 / 2/5
[283877] ['4/9', '4/7', '3/4', '5/2', '8'] -> (8 / 4/7 - 5/2 / 3/4) / 4/9
[283878] ['1/7', '1/6', '5/6', '8/9', '2'] -> 2 / (5/6 / (1/7 / 1/6) - 8/9)
[283879] ['2/5', '6/7', '9/8', '5/3', '5'] -> 5 / (9/8 / 5/3 - 2/5 / 6/7)
[283880] ['1/9', '3/7', '5/7', '9/4', '8'] -> 9/4 * 8 - (3/7 - 5/7 / 1/9)
[283881] ['3/4', '9/8', '9/8', '9/8', '7'] -> (9/8 + 9/8 * 7) / (9/8 - 3/4)
[283882] ['1/3', '2/5', '5/8', '6/7', '3'] -> 3 / (5/8 / (1/3 + 6/7) - 2/5)
[283883] ['2/7', '3/7', '4/7', '1', '9/8'] -> 1 / (2/7 / 3/7 / 4/7 - 9/8)
[283884] ['2/7', '5/9', '8/9', '5/4', '9'] -> 9 * (8/9 / 2/7 - 5/9 / 5/4)
[283885] ['3/4', '9/8', '9/8', '7/6', '7'] -> 7 / 7/6 / (9/8 / 9/8 - 3/4)
[283886] ['2/5', '6/7', '9/8', '9/5', '5'] -> 5 / (9/5 - (9/8 + 2/5 / 6/7))
[283887] ['1/9', '3/7', '5/7', '7/2', '8'] -> 8 + 7/2 * (5/7 + 3/7 / 1/9)
[283888] ['3/4', '9/8', '9/8', '5/4', '7'] -> 7 / (9/8 - 5/4 * 3/4 / 9/8)
[283889] ['2/9', '3/5', '5/7', '9/5', '2'] -> (9/5 + 2 / (2/9 * 5/7)) / 3/5
[283890] ['2/7', '3/7', '4/7', '1', '5/4'] -> 2/7 / ((5/4 - 1) / 3/7 - 4/7)
[283891] ['1/7', '1/6', '5/6', '5/4', '2'] -> 2 / (1/7 * (5/4 + 1/6 - 5/6))
[283892] ['2/5', '7/6', '7/5', '7/4', '9'] -> (7/6 + 7/5 / 2/5) / (7/4 / 9)
[283893] ['3/4', '9/8', '9/8', '4/3', '7'] -> (9/8 + 9/8) * (4/3 + 7 / 3/4)
[283894] ['2/9', '3/5', '5/7', '2', '7/3'] -> (7/3 / 5/7 - 3/5) / (2/9 / 2)
[283895] ['1/6', '4/9', '7/5', '5/2', '3'] -> (1/6 + 3 * 7/5 * 5/2) / 4/9
[283896] ['2/7', '3/7', '4/7', '1', '4/3'] -> 2/7 / (3/7 + 4/3 - 1 / 4/7)
[283897] ['1/7', '1/6', '5/6', '4/3', '2'] -> (4/3 + 2) / 1/7 - (1/6 - 5/6)
[283898] ['3/4', '9/8', '9/8', '3/2', '7'] -> 7 / (3/4 / 9/8 + 9/8 - 3/2)
[283899] ['2/3', '5/7', '1', '9/5', '8/3'] -> 8/3 / (1 / (5/7 * 9/5) - 2/3)
[283900] ['3/4', '9/8', '9/8', '8/5', '7'] -> 8/5 * (7 * (9/8 + 9/8) - 3/4)
[283901] ['1/9', '3/7', '3/4', '8/9', '8'] -> 8 / (3/7 * (1/9 + 3/4 * 8/9))
[283902] ['1/3', '2/5', '5/8', '7/3', '3'] -> (7/3 - 1/3) * 3 / (2/5 * 5/8)
[283903] ['1/2', '4/7', '3/4', '2', '8/3'] -> 1/2 / (8/3 / 2 - 3/4 / 4/7)
[283904] ['1/6', '4/9', '7/5', '8/3', '3'] -> 8/3 / (4/9 / (3 - 7/5) - 1/6)
[283905] ['1/7', '1/6', '5/6', '8/5', '2'] -> 8/5 * (1/6 + 5/6 + 2 / 1/7)
[283906] ['2/5', '6/7', '9/8', '9/2', '5'] -> 5 * (9/2 / 6/7 - 2/5 * 9/8)
[283907] ['2/9', '3/5', '5/7', '2', '7/2'] -> 5/7 * 7/2 * (3/5 + 2 / 2/9)
[283908] ['1/2', '4/7', '3/4', '2', '7/2'] -> (4/7 + 2) * 7/2 / (1/2 * 3/4)
[283909] ['1/4', '4/9', '7/8', '9/7', '6'] -> 6 / (9/7 * 4/9 * 7/8 - 1/4)
[283910] ['1/9', '3/7', '3/4', '9/8', '8'] -> 8 / (3/7 * (1/9 + 3/4 / 9/8))
[283911] ['1/9', '3/8', '4/7', '1', '7/6'] -> (7/6 / 4/7 - (3/8 - 1)) / 1/9
[283912] ['4/9', '4/7', '7/9', '5/4', '8'] -> 8 / (4/9 + 5/4 - 7/9 / 4/7)
[283913] ['3/4', '9/8', '9/8', '9/5', '7'] -> 7 / (9/8 - 9/8 / (3/4 * 9/5))
[283914] ['1/3', '2/5', '5/8', '3', '9/2'] -> 9/2 / (5/8 / (2/5 * 3) - 1/3)
[283915] ['2/5', '6/7', '8/7', '7/6', '5'] -> (2/5 + 6/7 / 5) / (7/6 - 8/7)
[283916] ['1/7', '1/6', '5/6', '9/5', '2'] -> 9/5 * (1/6 - 5/6 + 2 / 1/7)
