[19700] ['2', '7/3', '5/2', '5/2', '8/3'] -> (7/3 + (5/2 * (2 + (5/2 * 8/3))))
[19738] ['1/2', '4/7', '4/5', '1', '9/4'] -> (9/4 / ((1/2 / (4/7 * /5)) - 1))
[19739] ['9/8', '7/6', '6/5', '5/4', '4'] -> (4 / (((5/4 * 6/5) / 9/8) - 7/6))
[19740] ['2', '5/2', '7/2', '7/2', '7/2'] -> ((2 - 5/2) + (7/2 * (7/2 + 7/2)))
[19741] ['1/8', '2/7', '7/2', '9/2', '5'] -> ((2/7 + ((9/2 + 5) / 7/2)) / 1/8)
[19742] ['6/5', '9/7', '7/4', '7/4', '3'] -> (3 / (((7/4 * 9/7) / 6/5) - 7/4))
[19743] ['1/6', '1/5', '3/8', '9/4', '6'] -> (((9/4 / (3/8 - 1/6)) - 6) / 1/5)
[19744] ['2/7', '4/9', '9/2', '9/2', '8'] -> ((8 / 2/7) - (4/9 * (9/2 + 9/2)))
[19745] ['3/7', '9/8', '4/3', '8/3', '4'] -> ((9/8 * 8/3) * ((4 / 3/7) - 4/3))
[19746] ['2/9', '1/2', '7/9', '5/4', '5'] -> (5 / (5/4 * (1/2 * 7/9)) - 2/9))
[19747] ['2', '8/3', '8/3', '8/3', '8/3'] -> (8/3 + (8/3 * (8/3 + (2 * 8/3))))
[19748] ['1/7', '3/8', '4/9', '9/8', '9'] -> ((9/8 + (3/8 / 1/7)) + (9 / 4/9))
[19749] ['1/4', '4/9', '3/5', '3/2', '2'] -> (((2 / (4/9 * 3/5)) - 3/2) / 1/4)
[19750] ['3/7', '9/8', '4/3', '7/2', '4'] -> ((4/3 + (3/7 / 9/8)) * (7/2 * 4))
[19751] ['2', '8/3', '7/2', '7/2', '7/2'] -> ((2 * 8/3) * (7/2 + (7/2 / 7/2)))
[19752] ['1/8', '1/3', '1/3', '3/7', '5'] -> (5 / (1/3 * (1/3 + (1/8 / 3/7))))
[19753] ['2/9', '1/2', '7/9', '9/7', '5'] -> ((1/2 + (7/9 * 9/7)) + (5 / 2/9))
[19754] ['1/6', '5/8', '4/3', '5/3', '4'] -> (5/3 * ((4/3 / 1/6) + (4 / 5/8)))
[19755] ['9/8', '7/6', '6/5', '3/2', '4'] -> ((3/2 + 4) / (7/6 - (9/8 / 6/5)))
[19756] ['6/5', '9/7', '7/4', '5/2', '3'] -> ((7/4 * 5/2) * (3 + (6/5 + 9/7)))
[19757] ['2', '7/2', '7/2', '7/2', '9/2'] -> ((2 + (7/2 / 7/2)) * (7/2 + 9/2))
[19758] ['1/4', '4/9', '3/5', '9/5', '2'] -> (9/5 / (2 * 3/5) - (1/4 / 4/9)))
[19759] ['5/6', '8/3', '8/3', '9/2', '6'] -> ((8/3 * 6) + (9/2 + (5/6 + 8/3)))
[19760] ['1/6', '1/3', '9/8', '8/7', '5'] -> (((5 / 8/7) - (1/3 * 9/8)) / 1/6)
[19761] ['1/3', '6/5', '6/5', '8/5', '3'] -> ((((6/5 + 8/5) * 3) / 1/3) - 6/5)
[19762] ['6/5', '9/7', '7/4', '8/3', '3'] -> ((9/7 + 3) * (8/3 * (6/5 * 7/4)))
[19763] ['2', '7/2', '9/2', '9/2', '9/2'] -> ((7/2 + 9/2) * (2 + (9/2 / 9/2)))
[19764] ['9/8', '7/6', '6/5', '5/3', '4'] -> (4 / (5/3 * (7/6 - (6/5 / 9/8))))
[19765] ['2/7', '1/2', '1/2', '5/6', '8'] -> (8 / (2/7 * (5/6 / 1/2)) - 1/2))
[19766] ['1/6', '1/3', '9/8', '6/5', '5'] -> ((1/3 + (5 / 6/5)) / (1/6 * 9/8))
[19767] ['1/3', '6/5', '6/5', '7/4', '3'] -> (3 / (((7/4 - 6/5) / 6/5) - 1/3))
[19768] ['1/2', '4/7', '5/6', '6/7', '1'] -> ((1 + (5/6 * 6/7)) / (4/7 - 1/2))
[19769] ['5/6', '8/3', '7/2', '7/2', '6'] -> (6 / (7/2 * (5/6 - (8/3 / 7/2))))
[19770] ['1/9', '1/9', '1/9', '1/7', '3'] -> (((1/9 + (1/9 / 1/7)) * 3) / 1/9)
[19771] ['1/6', '1/5', '2/5', '7/8', '6'] -> (1/5 / (2/5 * 1/6) - (7/8 / 6)))
[19772] ['1/4', '4/9', '3/5', '2', '5/2'] -> (((3/5 * 5/2) + (2 / 4/9)) / 1/4)
[19773] ['6/5', '9/7', '9/5', '9/5', '3'] -> ((9/5 + 3) / ((9/5 / 9/7) - 6/5))
[19774] ['1/9', '1/9', '1/9', '1/5', '3'] -> ((1/9 / (1/9 * 1/9)) + (3 / 1/5))
[19775] ['1/6', '1/3', '9/8', '9/7', '5'] -> ((((5 / 9/7) - 1/3) * 9/8) / 1/6)
[19776] ['5/6', '7/2', '7/2', '7/2', '6'] -> (((7/2 * 6) - (7/2 / 7/2)) / 5/6)
[19777] ['1/3', '6/5', '6/5', '9/4', '3'] -> (6/5 / (9/4 - (6/5 + (1/3 * 3))))
[19778] ['1/2', '4/7', '5/6', '7/8', '1'] -> (4/7 / (1/2 * 1) - (5/6 / 7/8)))
[19779] ['3/7', '9/8', '7/5', '7/4', '4'] -> (3/7 / ((9/8 + 7/4) - (4 / 7/5)))
[19780] ['1/8', '1/3', '1/3', '6/5', '5'] -> (6/5 / (1/8 * (1/3 + (1/3 / 5))))
[19781] ['1/6', '1/3', '9/8', '7/5', '5'] -> (7/5 / ((1/6 - 1/3) + (9/8 / 5)))
[19782] ['9/8', '7/6', '6/5', '4', '9/2'] -> (7/6 / ((9/8 / 6/5) - (4 / 9/2)))
[19783] ['1/3', '6/5', '6/5', '5/2', '3'] -> (5/2 * (((3 * 6/5) / 1/3) - 6/5))
[19784] ['1/6', '1/5', '2/5', '9/8', '6'] -> (1/5 / (2/5 * (9/8 / 6)) - 1/6))
[19785] ['1/4', '4/9', '3/5', '2', '7/2'] -> (((7/2 / 1/4) - (2 / 3/5)) / 4/9)
[19786] ['1/9', '1/9', '1/9', '3/7', '3'] -> (3 + (1/9 / (3/7 * 1/9) * 1/9)))
[19787] ['3/7', '9/8', '7/5', '9/4', '4'] -> ((9/4 * 4) / ((9/8 / 7/5) - 3/7))
[19788] ['6/7', '6/7', '6/7', '7/8', '6'] -> (6 / ((6/7 / 6/7) - (6/7 * 7/8)))
[19790] ['1/7', '3/8', '4/9', '5/3', '9'] -> (5/3 / (1/7 * (4/9 + (3/8 / 9))))
[19789] ['2/9', '1/2', '4/5', '4/5', '5'] -> ((1/2 + (4/5 / 4/5)) + (5 / 2/9))
[19791] ['1/2', '4/7', '5/6', '1', '7/6'] -> ((1 + (5/6 / 7/6)) / (4/7 - 1/2))
[19792] ['1/6', '1/3', '9/8', '5/3', '5'] -> (1/3 / (9/8 - (1/6 * (5/3 + 5))))
[19793] ['1/6', '1/5', '2/5', '5/4', '6'] -> (2/5 / (5/4 - (1/5 * (1/6 + 6))))
[19794] ['1/3', '3/4', '6/7', '5/4', '4'] -> (3/4 / ((5/4 / (6/7 * 4)) - 1/3))
[19795] ['1/2', '4/7', '5/6', '1', '6/5'] -> (6/5 / ((1/2 / (4/7 * /6)) - 1))
[19796] ['9/8', '7/6', '5/4', '8/5', '4'] -> ((8/5 * 4) / (7/6 - (9/8 / 5/4)))
[19797] ['1/9', '1/9', '1/9', '5/8', '3'] -> (3 / (5/8 - (1/9 / (1/9 + 1/9))))
[19798] ['6/5', '9/7', '9/4', '9/4', '3'] -> (3 / ((9/4 / 6/5) - (9/4 / 9/7)))
[19799] ['3/7', '9/8', '7/5', '5/2', '4'] -> (3/7 / ((4 / (7/5 * 5/2)) - 9/8))
[19800] ['1/8', '1/3', '1/3', '7/2', '5'] -> ((7/2 / 1/8) - (5 - (1/3 / 1/3)))
[19801] ['6/7', '6/7', '6/7', '8/7', '6'] -> (6 / ((6/7 / 6/7) - (6/7 / 8/7)))
[19802] ['1/6', '1/3', '9/8', '9/5', '5'] -> (9/5 / (1/3 - ((1/6 + 9/8) / 5)))
[19803] ['1/3', '6/5', '5/4', '7/4', '3'] -> (3 / ((1/3 + 5/4) - (7/4 / 6/5)))
[19804] ['2/9', '1/2', '4/5', '7/8', '5'] -> ((7/8 + (1/2 / 4/5)) + (5 / 2/9))
[19805] ['1/9', '1/9', '1/9', '3/4', '3'] -> ((3 - (1/9 / 1/9)) / (1/9 * 3/4))
[19806] ['1/2', '4/7', '5/6', '1', '9/7'] -> (4/7 / ((9/7 / (1/2 + 1)) - 5/6))
[19807] ['1/3', '3/4', '6/7', '5/3', '4'] -> (4 / (6/7 * (3/4 - (1/3 * 5/3))))
[19808] ['2/9', '1/2', '4/5', '8/9', '5'] -> ((4/5 * 5) / (8/9 - (2/9 + 1/2)))
[19809] ['1/3', '6/5', '5/4', '9/5', '3'] -> (3 / (((9/5 - 5/4) / 6/5) - 1/3))
[19810] ['1/8', '1/3', '3/8', '5/7', '5'] -> ((3/8 / 1/8) + (5 / (1/3 * 5/7)))
[19811] ['1/3', '6/5', '5/4', '9/4', '3'] -> (6/5 / (1/3 * (3 / 5/4)) - 9/4))
[19812] ['3/7', '9/8', '7/5', '4', '9/2'] -> (3/7 / (((9/8 + 9/2) / 7/5) - 4))
[19813] ['1/4', '4/9', '5/8', '7/8', '2'] -> (((5/8 + 7/8) + (2 / 4/9)) / 1/4)
[19814] ['1/9', '1/9', '1/9', '6/7', '3'] -> (6/7 * ((1/9 / 1/9) + (3 / 1/9)))
[19815] ['6/5', '9/7', '9/4', '3', '7/2'] -> ((9/4 + 3) * (7/2 + (9/7 / 6/5)))
[19816] ['1/2', '4/7', '5/6', '1', '3/2'] -> (((3/2 / (4/7 - 1/2)) - 1) / 5/6)
[19817] ['1/3', '6/5', '5/4', '5/2', '3'] -> ((6/5 * 5/4) + ((3 * 5/2) / 1/3))
[19818] ['1/6', '1/5', '3/7', '1/2', '6'] -> (((6 - (1/2 / 3/7)) / 1/5) - 1/6)
[19819] ['1/7', '3/8', '4/9', '8/3', '9'] -> ((1/7 / (4/9 - 3/8)) * (8/3 + 9))
[19820] ['6/7', '6/7', '6/7', '5/2', '6'] -> ((6/7 + 6) * (5/2 + (6/7 / 6/7)))
[19821] ['1/3', '3/4', '6/7', '7/3', '4'] -> ((4 + (6/7 * 7/3)) / (1/3 * 3/4))
[19822] ['1/6', '1/3', '8/7', '7/5', '5'] -> (8/7 + ((1/3 + 5) / (1/6 * 7/5)))
[19823] ['1/6', '1/5', '3/7', '5/9', '6'] -> ((6 / (3/7 * 5/9)) - (1/5 / 1/6))
[19824] ['1/2', '4/7', '5/6', '1', '9/5'] -> ((9/5 / (4/7 - 1/2)) - (1 / 5/6))
[19825] ['2/7', '1/2', '5/9', '3/5', '8'] -> (8 * ((1/2 / 5/9) + (3/5 / 2/7)))
[19826] ['1/6', '5/8', '7/5', '4', '9/2'] -> (9/2 * ((7/5 * 4) - (1/6 / 5/8)))
[19827] ['1/2', '4/7', '5/6', '1', '9/4'] -> (9/4 * ((5/6 / (4/7 - 1/2)) - 1))
[19828] ['6/5', '9/7', '7/3', '7/3', '3'] -> ((6/5 * (9/7 + 3)) * (7/3 + 7/3))
[19829] ['1/3', '3/4', '6/7', '5/2', '4'] -> (((5/2 / 3/4) + (4 / 6/7)) / 1/3)
[19830] ['1/6', '1/3', '8/7', '5/3', '5'] -> (5 / (5/3 * (1/3 / 8/7)) - 1/6))
[19831] ['1/3', '6/5', '9/7', '3/2', '3'] -> ((3 / ((1/3 + 9/7) - 3/2)) - 6/5)
[19832] ['1/4', '4/9', '5/8', '7/6', '2'] -> ((2 + (7/6 / 1/4)) / (4/9 * 5/8))
[19833] ['3/7', '9/8', '3/2', '5/2', '4'] -> ((3/2 / (9/8 - (3/7 * 5/2))) - 4)
[19834] ['6/5', '9/7', '7/3', '5/2', '3'] -> (7/3 * (9/7 + (3 * (6/5 * 5/2))))
[19835] ['2/9', '1/2', '4/5', '9/7', '5'] -> ((4/5 * 5) / ((1/2 / 9/7) - 2/9))
[19836] ['1/8', '1/3', '2/5', '3/7', '5'] -> ((((2/5 / 3/7) - 1/3) * 5) / 1/8)
[19837] ['1/2', '4/7', '5/6', '1', '5/2'] -> (5/2 / (5/6 * (1 - (1/2 / 4/7))))
[19838] ['1/6', '5/8', '3/2', '5/3', '4'] -> ((((3/2 + 5/3) / 1/6) - 4) / 5/8)
[19839] ['6/7', '6/7', '7/8', '5/4', '6'] -> (6 / ((7/8 * (6/7 + 6/7)) - 5/4))
[19840] ['3/7', '9/8', '3/2', '8/3', '4'] -> (8/3 * (((4 * 9/8) / 3/7) - 3/2))
[19841] ['1/3', '6/5', '9/7', '8/5', '3'] -> (8/5 / ((1/3 * 3) - (6/5 / 9/7)))
[19842] ['1/6', '1/5', '3/7', '7/9', '6'] -> ((3/7 / ((1/6 / 7/9) - 1/5)) - 6)
[19843] ['1/9', '1/9', '1/9', '9/5', '3'] -> (((1/9 / 1/9) + (3 / 9/5)) / 1/9)
[19844] ['2/7', '1/2', '5/9', '2/3', '8'] -> ((((8 * 1/2) / 2/7) - 2/3) / 5/9)
[19845] ['1/4', '4/9', '5/8', '9/7', '2'] -> (2 / ((4/9 * 5/8) - (1/4 / 9/7)))
[19846] ['6/7', '6/7', '7/8', '9/7', '6'] -> (6 / (7/8 * (9/7 - (6/7 / 6/7))))
[19847] ['1/6', '1/3', '8/7', '9/4', '5'] -> ((5 / (8/7 * (1/3 - 1/6))) - 9/4)
[19848] ['2/9', '1/2', '4/5', '7/5', '5'] -> ((4/5 + (1/2 * 7/5)) + (5 / 2/9))
[19849] ['3/7', '9/8', '8/5', '8/5', '4'] -> ((9/8 * 4) * (8/5 + (8/5 / 3/7)))
[19850] ['6/7', '6/7', '7/8', '4/3', '6'] -> (6 / (7/8 * (6/7 * 4/3)) - 6/7))
[19851] ['1/6', '1/5', '3/7', '5/6', '6'] -> (6 / (5/6 * (1/5 / 3/7)) - 1/6))
[19852] ['6/5', '9/7', '5/2', '5/2', '3'] -> ((6/5 + 3) * (5/2 + (9/7 * 5/2)))
[19853] ['1/2', '4/7', '6/7', '7/8', '1'] -> (6/7 / ((1/2 * 4/7) * 1) - 7/8))
[19854] ['1/6', '1/5', '3/7', '7/8', '6'] -> (7/8 * ((6 / 1/5) - (3/7 / 1/6)))
[19855] ['6/7', '6/7', '7/8', '3/2', '6'] -> (6 / (7/8 * (6/7 - (6/7 / 3/2))))
[19856] ['1/4', '4/9', '5/8', '7/4', '2'] -> (2 / (4/9 * (5/8 - (1/4 * 7/4))))
[19857] ['1/6', '1/3', '8/7', '7/2', '5'] -> (((5 - 1/3) / 1/6) - (8/7 * 7/2))
[19858] ['6/5', '9/7', '8/3', '8/3', '3'] -> (8/3 / ((3 / 9/7) - (8/3 / 6/5)))
[19859] ['1/3', '6/5', '9/7', '7/3', '3'] -> ((6/5 + 3) * ((7/3 / 1/3) - 9/7))
[19860] ['1/2', '4/7', '6/7', '1', '8/7'] -> ((4/7 + 8/7) / (1/2 * (1 - 6/7)))
[19861] ['1/3', '3/4', '7/8', '8/5', '4'] -> (3/4 / ((7/8 / (4 - 8/5)) - 1/3))
[19862] ['1/4', '4/9', '5/8', '2', '9/4'] -> (2 / ((1/4 - 4/9) + (5/8 / 9/4)))
[19863] ['1/6', '1/5', '3/7', '9/8', '6'] -> (1/5 / ((9/8 / (3/7 + 6)) - 1/6))
[19864] ['6/5', '9/7', '8/3', '3', '7/2'] -> ((6/5 * 8/3) * (3 + (9/7 * 7/2)))
[19865] ['9/8', '7/6', '4/3', '7/3', '4'] -> (4/3 / ((4 / 9/8) - (7/6 + 7/3)))
[19866] ['1/8', '1/3', '2/5', '8/9', '5'] -> (((8/9 - 1/3) * (2/5 + 5)) / 1/8)
[19867] ['2/9', '1/2', '4/5', '7/3', '5'] -> (7/3 / (2/9 - (1/2 / (4/5 * )))
)[19868] ['2/7', '1/2', '5/9', '5/6', '8'] -> (8 / (2/7 * (1/2 + (5/9 / 5/6))))
[19869] ['1/9', '1/9', '1/7', '1/4', '3'] -> (((3 + (1/9 / 1/4)) / 1/7) - 1/9)
[19870] ['1/2', '4/7', '6/7', '1', '6/5'] -> ((1 + (6/7 / 6/5)) / (4/7 - 1/2))
[19871] ['6/7', '6/7', '7/8', '7/3', '6'] -> (6 / (7/3 * (6/7 - (6/7 * 7/8))))
[19872] ['1/8', '1/3', '2/5', '9/8', '5'] -> (2/5 / ((1/8 - 1/3) + (9/8 / 5)))
[19873] ['6/5', '9/7', '8/3', '3', '9/2'] -> ((9/7 * 8/3) * (9/2 + (3 / 6/5)))
[19874] ['1/6', '5/8', '8/5', '7/3', '4'] -> (4 + ((7/3 + (5/8 * 8/5)) / 1/6))
[19875] ['1/3', '6/5', '9/7', '3', '7/2'] -> ((3 / (9/7 - (1/3 * 7/2))) - 6/5)
[19876] ['1/9', '1/9', '1/7', '3/8', '3'] -> (3/8 + (3 / (1/9 + (1/9 * 1/7))))
[19877] ['6/5', '9/7', '3', '7/2', '7/2'] -> ((6/5 + 3) * (7/2 - (9/7 - 7/2)))
[19878] ['2/9', '1/2', '4/5', '5/2', '5'] -> ((5 / 2/9) - (1/2 - (4/5 * 5/2)))
[19879] ['1/2', '4/7', '6/7', '1', '7/5'] -> ((1 / ((6/7 / 7/5) - 4/7)) - 1/2)
[19880] ['1/4', '4/9', '5/8', '2', '9/2'] -> ((9/2 + (2 / 4/9)) / (5/8 - 1/4))
[19881] ['1/3', '3/4', '8/9', '8/9', '4'] -> (8/9 / (1/3 - (8/9 / (3/4 * 4))))
[19882] ['1/6', '1/5', '3/7', '9/7', '6'] -> ((3/7 / ((1/6 * 9/7) - 1/5)) - 6)
[19883] ['9/8', '7/6', '7/5', '9/5', '4'] -> ((4 + (9/5 / 9/8)) / (7/5 - 7/6))
[19884] ['1/8', '1/3', '2/5', '9/7', '5'] -> (((1/3 + (2/5 * 5)) * 9/7) / 1/8)
[19885] ['6/7', '6/7', '8/9', '8/7', '6'] -> (8/7 * ((6/7 / (8/9 - 6/7)) - 6))
[19886] ['1/3', '6/5', '4/3', '3/2', '3'] -> ((6/5 * (1/3 + 3)) / (3/2 - 4/3))
[19887] ['3/7', '9/8', '5/3', '7/4', '4'] -> (4 / (5/3 - (9/8 / (3/7 * 7/4))))
[19888] ['1/3', '6/5', '4/3', '7/4', '3'] -> (6/5 / ((3 / (1/3 + 4/3)) - 7/4))
[19889] ['6/5', '4/3', '4/3', '4/3', '3'] -> (4/3 / (((3 - 4/3) / 6/5) - 4/3))
[19890] ['6/7', '6/7', '8/9', '6/5', '6'] -> (6 / ((6/7 / 8/9) - (6/7 / 6/5)))
[19891] ['1/8', '1/3', '2/5', '9/4', '5'] -> ((9/4 / 1/8) + ((5 * 2/5) / 1/3))
[19892] ['1/6', '1/3', '5/4', '9/7', '5'] -> (((5 / (9/7 - 1/3)) - 5/4) / 1/6)
[19893] ['1/4', '4/9', '2/3', '8/7', '2'] -> (2/3 / ((4/9 / 1/4) - (2 / 8/7)))
[19894] ['6/7', '6/7', '8/9', '5/4', '6'] -> ((6/7 + 6) / (5/4 - (6/7 / 8/9)))
[19895] ['1/3', '6/5', '4/3', '9/4', '3'] -> (1/3 / (3 - ((4/3 + 9/4) / 6/5)))
[19896] ['1/3', '3/4', '8/9', '9/7', '4'] -> (((8/9 + (4 / 3/4)) * 9/7) / 1/3)
[19897] ['6/7', '6/7', '8/9', '9/7', '6'] -> ((6/7 + 6) / ((8/9 * 9/7) - 6/7))
[19898] ['2/9', '1/2', '5/6', '6/7', '5'] -> ((5/6 + (5 / 6/7)) / (1/2 - 2/9))
[19899] ['1/3', '6/5', '4/3', '5/2', '3'] -> (((3 + (6/5 * 5/2)) * 4/3) / 1/3)
[19900] ['2/7', '1/2', '5/9', '5/4', '8'] -> (((8 - 1/2) / 2/7) - (5/4 / 5/9))
[19901] ['1/3', '6/5', '4/3', '3', '7/2'] -> (((7/2 + (3 / 6/5)) * 4/3) / 1/3)
[19902] ['2/7', '1/2', '5/9', '9/7', '8'] -> (8 * (1/2 + ((9/7 * 5/9) / 2/7)))
[19903] ['1/3', '3/4', '8/9', '7/4', '4'] -> (4 / ((8/9 / 1/3) - (3/4 + 7/4)))
[19904] ['3/7', '9/8', '5/3', '8/3', '4'] -> (3/7 / ((8/3 / (4 - 5/3)) - 9/8))
[19905] ['1/9', '1/9', '1/7', '9/7', '3'] -> (3 * ((9/7 / 1/7) - (1/9 / 1/9)))
[19906] ['1/3', '3/4', '8/9', '9/5', '4'] -> ((((4 / 3/4) - 8/9) * 9/5) / 1/3)
[19907] ['1/8', '1/3', '3/7', '3/5', '5'] -> (3/5 / (3/7 * (1/8 - (1/3 / 5))))
[19908] ['3/7', '9/8', '5/3', '7/2', '4'] -> ((9/8 * 7/2) * (4 + (3/7 + 5/3)))
[19909] ['6/7', '6/7', '8/9', '9/5', '6'] -> (6 * (6/7 + (9/5 * (6/7 + 8/9))))
[19910] ['1/6', '1/3', '9/7', '4/3', '5'] -> (((1/3 + (5 / 9/7)) / 1/6) - 4/3)
[19911] ['2/7', '1/2', '5/9', '4/3', '8'] -> ((1/2 / 5/9) * ((8 / 2/7) - 4/3))
[19912] ['6/7', '6/7', '8/9', '9/4', '6'] -> (6 / (9/4 * (6/7 / 6/7)) - 8/9))
[19913] ['1/9', '1/9', '1/7', '3/2', '3'] -> ((3/2 / 1/7) + (3 / (1/9 + 1/9)))
[19914] ['1/3', '6/5', '7/5', '3', '7/2'] -> ((7/2 * (3 + (7/5 / 1/3))) - 6/5)
[19915] ['6/5', '4/3', '7/5', '7/4', '3'] -> (6/5 / ((4/3 - 7/4) + (7/5 / 3)))
[19916] ['1/6', '1/3', '9/7', '7/5', '5'] -> (((1/3 * 9/7) + (5 / 7/5)) / 1/6)
[19917] ['1/8', '1/3', '3/7', '5/8', '5'] -> ((1/3 + (5 / 3/7)) / (5/8 - 1/8))
[19918] ['1/6', '5/8', '7/4', '7/2', '4'] -> (7/2 / (5/8 - ((1/6 + 7/4) / 4)))
[19919] ['1/3', '3/4', '8/9', '7/2', '4'] -> (4 * (8/9 + ((1/3 + 7/2) / 3/4)))
[19920] ['6/7', '6/7', '8/9', '7/3', '6'] -> (6 / (7/3 * (6/7 / 8/9)) - 6/7))
[19921] ['3/7', '9/8', '7/4', '7/4', '4'] -> (3/7 / ((4 / (7/4 + 7/4)) - 9/8))
[19922] ['9/8', '7/6', '8/5', '9/4', '4'] -> ((9/8 + (7/6 * 9/4)) * (8/5 * 4))
[19923] ['1/6', '1/3', '9/7', '3/2', '5'] -> ((5 - 1/3) / (3/2 * (1/6 / 9/7)))
[19924] ['6/5', '4/3', '7/5', '9/5', '3'] -> ((9/5 + 3) / ((6/5 * 4/3) - 7/5))
[19925] ['1/8', '1/3', '3/7', '3/4', '5'] -> (((1/3 + (5 / 3/4)) * 3/7) / 1/8)
[19926] ['2/7', '1/2', '5/9', '8/5', '8'] -> (8 / ((2/7 * 5/9) * 1/2) + 8/5))
[19927] ['1/2', '4/7', '7/8', '1', '4/3'] -> (4/7 / ((4/3 / 7/8) - (1/2 + 1)))
[19928] ['1/6', '1/5', '4/9', '5/8', '6'] -> (6 / ((1/6 / 4/9) - (1/5 * 5/8)))
