[275787] ['1/8', '8/9', '3/2', '2', '7/2'] -> (((3/2 * 7/2) - (2 / 8/9)) / 1/8)
[275820] ['1/9', '2/9', '8/9', '1', '8/7'] -> ((1/9 + 2/9) / (8/9 - (1 / 8/7)))
[275821] ['1/9', '2/7', '3/5', '9/5', '8'] -> ((1/9 + (9/5 / 3/5)) * (8 - 2/7))
[275822] ['1/4', '1/4', '1', '6/5', '7/2'] -> ((7/2 / 1/4) / ((1 / 6/5) - 1/4))
[275823] ['4/9', '9/8', '6/5', '7/5', '2'] -> (7/5 / (9/8 - (2 * (4/9 * 6/5))))
[275824] ['2/5', '5/7', '4/5', '9/8', '9'] -> (9 / ((9/8 / 5/7) - (2/5 + 4/5)))
[275825] ['2/9', '3/7', '5/4', '5/3', '2'] -> (2 / (3/7 * (5/3 - (2/9 + 5/4))))
[275826] ['5/8', '7/8', '1', '9/7', '7/4'] -> (9/7 / (((5/8 + 1) / 7/4) - 7/8))
[275827] ['2/7', '9/8', '8/7', '5/2', '3'] -> ((8/7 / 2/7) / ((3 / 9/8) - 5/2))
[275828] ['1/9', '5/4', '9/7', '5/3', '2'] -> (2 / ((9/7 * (1/9 + 5/4)) - 5/3))
[275829] ['1/8', '8/9', '5/3', '9/5', '2'] -> (5/3 * ((2 / 1/8) - (8/9 * 9/5)))
[275830] ['1/4', '1/4', '1', '5/4', '9/7'] -> (((1/4 / (9/7 - 5/4)) - 1) / 1/4)
[275831] ['2/9', '3/7', '5/4', '7/4', '2'] -> ((5/4 + 7/4) + (2 / (2/9 * 3/7)))
[275832] ['2/7', '9/8', '8/7', '3', '7/2'] -> (3 * (7/2 + (8/7 / (2/7 / 9/8))))
[275833] ['2/7', '1/3', '1/3', '2/3', '1'] -> ((1 + (2/3 / (2/7 * 1/3))) / 1/3)
[275834] ['2/7', '2/5', '5/8', '4/3', '9'] -> ((5/8 * 9) * ((4/3 / 2/7) - 2/5))
[275835] ['1/4', '1/4', '1', '5/4', '7/5'] -> (((7/5 / (1/4 / 5/4)) - 1) / 1/4)
[275836] ['2/9', '3/7', '5/4', '9/5', '2'] -> (5/4 * ((2 / (2/9 * 3/7)) - 9/5))
[275837] ['3/7', '9/8', '6/5', '7/3', '8'] -> ((6/5 * 7/3) * ((9/8 * 8) - 3/7))
[275838] ['1/9', '2/9', '8/9', '1', '7/5'] -> ((1 + 7/5) / (1/9 / (2/9 + 8/9)))
[275839] ['1/4', '1/4', '6/5', '7/5', '6'] -> (6 * (6/5 + (7/5 / (1/4 + 1/4))))
[275840] ['2/7', '9/8', '7/6', '7/6', '3'] -> ((3 * (2/7 * 7/6)) / (7/6 - 9/8))
[275841] ['1/4', '1/4', '1', '5/4', '5/3'] -> ((1 / 1/4) / (5/3 - (1/4 + 5/4)))
[275842] ['1/8', '8/9', '5/3', '2', '5/2'] -> ((2 + (5/3 / 5/2)) / (1/8 * 8/9))
[275843] ['2/5', '5/7', '4/5', '6/5', '9'] -> (((4/5 * 9) / (2/5 * 5/7)) - 6/5)
[275844] ['4/9', '9/8', '6/5', '2', '7/3'] -> (7/3 / ((2 / 6/5) - (4/9 + 9/8)))
[275845] ['2/9', '3/7', '5/4', '2', '5/2'] -> (2 / (5/4 - (3/7 * (2/9 + 5/2))))
[275846] ['2/7', '2/5', '5/8', '8/5', '9'] -> (((2/5 + 9) + (8/5 / 2/7)) / 5/8)
[275847] ['1/4', '1/4', '6/5', '9/4', '6'] -> ((9/4 / (6/5 * (1/4 * 1/4))) - 6)
[275848] ['1/9', '2/9', '8/9', '1', '7/4'] -> ((2/9 + (8/9 * (1 + 7/4))) / 1/9)
[275849] ['1/9', '1/2', '5/7', '6/5', '6'] -> ((6 + (6/5 / 1/9)) / (1/2 / 5/7))
[275850] ['2/9', '3/7', '5/4', '2', '8/3'] -> ((2 + (8/3 / (2/9 * 3/7))) / 5/4)
[275851] ['5/8', '7/8', '1', '9/7', '7/2'] -> (9/7 / ((5/8 / 7/2) + (7/8 - 1)))
[275852] ['2/7', '9/8', '7/6', '9/7', '3'] -> (9/7 / ((2/7 / 3) + (9/8 - 7/6)))
[275853] ['1/8', '8/9', '7/4', '7/4', '2'] -> (2 / (7/4 - (8/9 * (1/8 + 7/4))))
[275854] ['1/9', '2/9', '8/9', '1', '9/5'] -> ((8/9 / 1/9) / ((1 / 9/5) - 2/9))
[275855] ['2/7', '1/3', '1/3', '5/6', '1'] -> (((1 / 2/7) - 5/6) / (1/3 * 1/3))
[275856] ['2/5', '5/7', '4/5', '4/3', '9'] -> (((4/3 / 5/7) - 4/5) / (2/5 / 9))
[275857] ['2/7', '9/8', '7/6', '4/3', '3'] -> (3 / ((2/7 * 7/6) + (9/8 - 4/3)))
[275858] ['1/9', '1/2', '5/7', '5/4', '6'] -> (6 / (1/9 * (1/2 + (5/4 / 5/7))))
[275859] ['1/4', '1/4', '1', '5/4', '8/3'] -> (8/3 * ((1 / 1/4) + (5/4 / 1/4)))
[275860] ['5/8', '7/8', '1', '4/3', '4/3'] -> ((1 / 4/3) / ((7/8 / 4/3) - 5/8))
[275861] ['1/9', '2/9', '8/9', '1', '9/4'] -> (((8/9 * (1 + 9/4)) - 2/9) / 1/9)
[275862] ['1/8', '8/9', '7/4', '9/5', '2'] -> ((7/4 + (2 / (8/9 * 9/5))) / 1/8)
[275863] ['1/2', '4/5', '7/3', '7/3', '7'] -> ((7 / 1/2) / ((7/3 / 4/5) - 7/3))
[275864] ['2/7', '1/3', '1/3', '7/8', '1'] -> (1 / ((1/3 + 7/8) - (1/3 / 2/7)))
[275865] ['2/7', '2/5', '5/8', '7/3', '9'] -> ((9 * (2/7 / 2/5)) / (5/8 / 7/3))
[275866] ['1/9', '1/2', '5/7', '7/5', '6'] -> (6 + ((5/7 * 7/5) / (1/9 * 1/2)))
[275867] ['1/9', '2/7', '5/8', '7/9', '8'] -> ((8 + (1/9 / 7/9)) / (5/8 - 2/7))
[275868] ['2/5', '5/7', '4/5', '3/2', '9'] -> (4/5 * ((9 / (2/5 * 5/7)) - 3/2))
[275869] ['2/7', '2/5', '5/8', '5/2', '9'] -> ((9 / (2/7 * 5/8)) / (5/2 - 2/5))
[275870] ['1/4', '1/4', '1', '9/7', '3/2'] -> (1 / ((3/2 * (1/4 / 9/7)) - 1/4))
[275871] ['5/8', '7/8', '1', '4/3', '9/5'] -> (1 / ((7/8 * 4/3) - (5/8 * 9/5)))
[275872] ['2/7', '1/3', '1/3', '1', '7/6'] -> ((1/3 + 1) / (7/6 * (1/3 - 2/7)))
[275873] ['2/9', '3/7', '9/7', '8/5', '2'] -> ((2 / 2/9) / ((9/7 / 8/5) - 3/7))
[275874] ['1/9', '2/7', '5/8', '5/6', '8'] -> ((8 + (5/6 / 5/8)) / (1/9 / 2/7))
[275875] ['1/9', '5/4', '4/3', '9/5', '2'] -> (((2 / 1/9) - 4/3) / (5/4 / 9/5))
[275876] ['2/7', '9/8', '7/6', '7/4', '3'] -> (3 / (2/7 * (7/4 - (9/8 * 7/6))))
[275877] ['2/7', '2/5', '5/8', '7/2', '9'] -> ((9 / 5/8) / ((2/7 * 7/2) - 2/5))
[275878] ['1/9', '1/2', '5/7', '5/3', '6'] -> ((1/2 * 6) + (5/3 / (1/9 * 5/7)))
[275879] ['1/4', '1/4', '9/7', '5/3', '6'] -> ((5/3 / (1/4 - (1/4 / 9/7))) - 6)
[275880] ['1/8', '8/9', '9/5', '2', '9/4'] -> (((8/9 + 9/4) / 1/8) - (2 / 9/5))
[275881] ['1/2', '4/5', '8/3', '7/2', '7'] -> ((1/2 + 7) * (7/2 - (4/5 / 8/3)))
[275882] ['3/7', '9/8', '5/4', '3/2', '8'] -> (8 * (5/4 + (9/8 / (3/7 * 3/2))))
[275883] ['1/8', '8/9', '9/5', '2', '7/3'] -> (7/3 / ((2 / 9/5) - (1/8 + 8/9)))
[275884] ['5/8', '7/8', '1', '7/5', '7/5'] -> ((1 + 7/5) / ((5/8 + 7/8) - 7/5))
[275885] ['2/9', '3/7', '9/7', '9/5', '2'] -> (2 / (2/9 - (3/7 / (9/7 + 9/5))))
[275886] ['1/9', '1/2', '5/7', '9/5', '6'] -> ((9/5 / (1/9 * 1/2)) - (6 / 5/7))
[275887] ['1/4', '1/4', '1', '9/7', '9/4'] -> (((9/4 / (1/4 * 9/7)) - 1) / 1/4)
[275888] ['2/7', '1/3', '1/3', '1', '4/3'] -> ((4/3 / 1/3) / ((1/3 / 2/7) - 1))
[275889] ['1/8', '8/9', '9/5', '2', '5/2'] -> (2 * (8/9 + (5/2 / (1/8 * 9/5))))
[275890] ['1/9', '5/4', '7/5', '3/2', '2'] -> ((2 / (1/9 / 7/5)) - (3/2 / 5/4))
[275891] ['3/7', '9/8', '5/4', '8/5', '8'] -> ((9/8 * 5/4) * ((8 / 3/7) - 8/5))
[275892] ['2/9', '3/7', '9/7', '2', '9/4'] -> (((9/7 / 2/9) + (2 * 9/4)) / 3/7)
[275893] ['2/7', '9/8', '7/6', '5/2', '3'] -> ((5/2 / 7/6) / ((9/8 / 3) - 2/7))
[275894] ['2/5', '5/7', '4/5', '7/3', '9'] -> (7/3 * ((4/5 / 2/5) - (5/7 - 9)))
[275895] ['1/8', '8/9', '9/5', '2', '8/3'] -> ((2 - (8/9 / 8/3)) / (1/8 / 9/5))
[275896] ['1/4', '1/4', '1', '9/7', '8/3'] -> (9/7 * (8/3 + (1 / (1/4 * 1/4))))
[275897] ['1/2', '5/6', '5/6', '5/6', '7'] -> ((7 + (5/6 / 5/6)) / (5/6 - 1/2))
[275898] ['2/7', '2/5', '2/3', '7/9', '9'] -> ((9 - (2/3 / (2/5 * 7/9))) / 2/7)
[275899] ['1/9', '5/4', '7/5', '5/3', '2'] -> (2 / (7/5 - (5/4 + (1/9 / 5/3))))
[275900] ['4/9', '9/8', '5/4', '2', '9/2'] -> (2 / (((9/8 + 5/4) / 9/2) - 4/9))
[275901] ['2/7', '1/3', '1/3', '1', '3/2'] -> (((1 / 2/7) + (3/2 / 1/3)) / 1/3)
[275902] ['3/7', '9/8', '5/4', '9/5', '8'] -> (5/4 * ((8 / (3/7 / 9/8)) - 9/5))
[275903] ['1/4', '1/4', '1', '9/7', '7/2'] -> ((7/2 / (1/4 / 9/7)) / (1 - 1/4))
[275904] ['1/8', '8/9', '9/5', '2', '7/2'] -> (((7/2 / (9/5 / 2)) - 8/9) / 1/8)
[275905] ['5/8', '7/8', '1', '7/5', '9/4'] -> ((5/8 / ((7/8 + 7/5) - 9/4)) - 1)
[275906] ['1/9', '2/9', '1', '9/8', '7/4'] -> ((2/9 + ((1 + 7/4) / 9/8)) / 1/9)
[275907] ['4/9', '9/8', '9/7', '9/7', '2'] -> (9/7 / (2 - (9/8 * (4/9 + 9/7))))
[275908] ['1/4', '1/4', '4/3', '9/5', '6'] -> (9/5 * (4/3 + (6 / (1/4 + 1/4))))
[275909] ['1/2', '5/6', '5/6', '7/8', '7'] -> (7 / ((5/6 - 7/8) - (1/2 - 5/6)))
[275910] ['3/7', '9/8', '5/4', '9/4', '8'] -> (((5/4 * 8) / (3/7 / 9/8)) - 9/4)
[275911] ['2/7', '1/3', '1/3', '1', '5/3'] -> ((1 + ((1/3 + 5/3) / 2/7)) / 1/3)
[275912] ['1/9', '5/4', '7/5', '9/5', '2'] -> (2 + (5/4 * (7/5 + (9/5 / 1/9))))
[275913] ['1/8', '8/9', '2', '9/4', '9/4'] -> ((9/4 + (9/4 / 2)) / (1/8 / 8/9))
[275914] ['2/9', '3/7', '4/3', '7/5', '2'] -> (4/3 / ((3/7 / 2) - (2/9 / 7/5)))
[275915] ['1/4', '1/4', '1', '4/3', '4/3'] -> (((1 + (4/3 / 1/4)) / 1/4) - 4/3)
[275916] ['1/4', '1/4', '7/5', '5/3', '6'] -> ((7/5 + (1/4 / 1/4)) * (5/3 * 6))
[275917] ['2/9', '3/7', '4/3', '3/2', '2'] -> (3/2 * (2 + (4/3 / (2/9 * 3/7))))
[275918] ['1/9', '2/9', '1', '9/8', '9/4'] -> ((((1 + 9/4) / 9/8) - 2/9) / 1/9)
[275919] ['1/9', '5/4', '7/5', '2', '9/4'] -> ((2 + (5/4 * 7/5)) + (9/4 / 1/9))
[275920] ['1/9', '2/7', '5/8', '9/7', '8'] -> ((8 + (1/9 * 9/7)) / (5/8 - 2/7))
[275921] ['2/9', '3/7', '4/3', '8/5', '2'] -> (((2 / 3/7) - 4/3) / (2/9 / 8/5))
[275922] ['1/9', '1/2', '3/4', '6/7', '6'] -> ((6 / (1/2 - 1/9)) / (3/4 * 6/7))
[275923] ['1/4', '1/4', '1', '4/3', '9/5'] -> (4/3 / ((1 / 9/5) - (1/4 + 1/4)))
[275924] ['2/5', '5/7', '5/6', '7/8', '9'] -> ((2/5 + 9) / ((7/8 / 5/7) - 5/6))
[275925] ['2/7', '2/5', '2/3', '7/6', '9'] -> (2/3 + ((9 + (2/7 * 7/6)) / 2/5))
[275926] ['1/8', '8/9', '2', '7/3', '7/2'] -> ((2 + (7/3 / 7/2)) / (1/8 * 8/9))
[275927] ['2/9', '3/7', '4/3', '5/3', '2'] -> ((4/3 + 5/3) + (2 / (2/9 * 3/7)))
[275928] ['1/2', '5/6', '5/6', '9/7', '7'] -> ((7 / (9/7 - (5/6 / 5/6))) - 1/2)
[275929] ['1/9', '2/7', '5/8', '4/3', '8'] -> (8 / (5/8 - ((1/9 / 2/7) / 4/3)))
[275930] ['1/9', '5/4', '7/5', '2', '5/2'] -> ((2 / 1/9) / (5/2 - (5/4 * 7/5)))
[275931] ['1/9', '2/9', '1', '8/7', '8/7'] -> ((8/7 / (1/9 + 2/9)) / (8/7 - 1))
[275932] ['2/5', '5/7', '5/6', '8/9', '9'] -> (((9 / 2/5) - (5/6 / 5/7)) / 8/9)
[275933] ['2/7', '1/3', '1/3', '1', '5/2'] -> (((1 / (2/7 * 1/3)) - 5/2) / 1/3)
[275934] ['1/4', '1/4', '7/5', '8/3', '6'] -> (8/3 * (1/4 + (7/5 * (1/4 + 6))))
[275935] ['2/9', '3/7', '4/3', '7/4', '2'] -> (2 / (3/7 * (7/4 - (2/9 + 4/3))))
[275936] ['1/8', '8/9', '2', '5/2', '5/2'] -> ((8/9 * (2 + 5/2)) + (5/2 / 1/8))
[275937] ['1/9', '2/9', '1', '8/7', '7/6'] -> ((1/9 / 2/9) / ((7/6 / 8/7) - 1))
[275938] ['2/5', '5/7', '5/6', '9/8', '9'] -> (9/8 * ((9 / 2/5) - (5/6 / 5/7)))
[275939] ['3/7', '9/8', '9/7', '5/3', '8'] -> ((3/7 / 9/8) + (8 * (9/7 + 5/3)))
[275940] ['1/4', '1/4', '1', '7/5', '5/3'] -> ((1 + 7/5) / (1/4 - (1/4 / 5/3)))
[275941] ['5/8', '7/8', '1', '3/2', '7/3'] -> (1 / ((5/8 / 3/2) - (7/8 / 7/3)))
[275942] ['2/7', '1/3', '1/3', '1', '9/2'] -> ((1 / (2/7 * 1/3)) + (9/2 / 1/3))
[275943] ['1/2', '5/6', '5/6', '9/5', '7'] -> ((5/6 + (5/6 * 7)) / (1/2 / 9/5))
[275944] ['1/4', '1/4', '1', '7/5', '7/4'] -> ((1 + (7/4 / (1/4 * 7/5))) / 1/4)
[275945] ['3/7', '9/8', '9/7', '7/4', '8'] -> (7/4 * (9/7 + (8 * (3/7 + 9/8))))
[275946] ['2/7', '1/3', '3/8', '3/8', '1'] -> (((1 / (2/7 * 3/8)) - 1/3) / 3/8)
[275947] ['5/8', '7/8', '1', '3/2', '8/3'] -> (1 / (3/2 - (8/3 * (5/8 * 7/8))))
[275948] ['1/9', '1/2', '3/4', '8/5', '6'] -> (6 + ((1/2 + 3/4) / (1/9 / 8/5)))
[275949] ['1/9', '2/9', '1', '8/7', '4/3'] -> ((1 + 4/3) * (8/7 / (2/9 - 1/9)))
[275950] ['2/5', '5/7', '5/6', '7/6', '9'] -> ((5/7 + (9 / (2/5 * 7/6))) / 5/6)
[275951] ['1/4', '1/4', '1', '7/5', '9/4'] -> ((1 + 7/5) / (1/4 / (1/4 + 9/4)))
[275952] ['5/8', '7/8', '1', '3/2', '7/2'] -> ((7/2 + (1 + 3/2)) / (7/8 - 5/8))
[275953] ['1/4', '1/4', '8/5', '9/5', '6'] -> (6 + (9/5 / (8/5 * (1/4 * 1/4))))
[275954] ['2/7', '2/5', '2/3', '9/5', '9'] -> (2/3 * ((9/5 / 2/5) + (9 / 2/7)))
[275955] ['3/7', '9/8', '4/3', '4/3', '8'] -> (9/8 * ((4/3 + 4/3) + (8 / 3/7)))
[275956] ['2/7', '1/3', '3/8', '4/9', '1'] -> (3/8 + (1 / (4/9 * (2/7 * 1/3))))
[275957] ['1/9', '1/2', '7/9', '4/5', '6'] -> (6 / ((1/2 * 7/9) - (1/9 / 4/5)))
[275958] ['5/8', '7/8', '1', '8/5', '8/5'] -> (8/5 / ((8/5 / (5/8 + 7/8)) - 1))
[275959] ['1/2', '5/6', '6/7', '7/8', '7'] -> ((5/6 + (7 / 6/7)) / (7/8 - 1/2))
[275960] ['1/4', '1/4', '8/5', '7/3', '6'] -> (8/5 * ((1/4 / 1/4) + (7/3 * 6)))
[275961] ['2/7', '9/8', '6/5', '9/4', '3'] -> ((9/4 / ((9/8 / 3) - 2/7)) - 6/5)
[275962] ['2/9', '3/7', '7/5', '7/5', '2'] -> ((7/5 + 7/5) * ((2 / 2/9) - 3/7))
[275963] ['1/9', '2/9', '1', '8/7', '8/5'] -> (1 / ((2/9 / 8/5) - (1/9 / 8/7)))
[275964] ['1/9', '5/4', '8/5', '9/5', '2'] -> (2 / (((8/5 - 5/4) / 9/5) - 1/9))
[275965] ['1/2', '5/6', '6/7', '9/8', '7'] -> (7 / ((1/2 / 6/7) + (5/6 - 9/8)))
[275966] ['1/9', '1/2', '7/9', '8/7', '6'] -> ((7/9 * 8/7) * (6 / (1/9 / 1/2)))
[275967] ['2/7', '2/5', '2/3', '7/3', '9'] -> ((9 / 2/7) - ((2/3 + 7/3) / 2/5))
[275968] ['1/8', '9/8', '9/8', '4/3', '2'] -> ((9/8 / 1/8) / ((2 / 4/3) - 9/8))
[275969] ['1/4', '1/4', '1', '3/2', '3/2'] -> ((3/2 / 1/4) / (3/2 - (1/4 + 1)))
[275970] ['5/8', '7/8', '1', '8/5', '9/5'] -> ((5/8 / (8/5 - (7/8 * 9/5))) - 1)
[275971] ['3/7', '9/8', '4/3', '3/2', '8'] -> (3/2 + (9/8 * (4/3 + (8 / 3/7))))
[275972] ['2/5', '5/7', '5/6', '7/5', '9'] -> ((9 - (5/7 * 7/5)) / (2/5 * 5/6))
[275973] ['1/9', '1/2', '7/9', '8/5', '6'] -> ((7/9 - 1/2) * (6 / (1/9 / 8/5)))
[275974] ['1/2', '5/6', '6/7', '9/7', '7'] -> (((9/7 + 7) / (5/6 - 1/2)) - 6/7)
[275975] ['2/7', '2/5', '2/3', '9/2', '9'] -> ((9 / 2/7) - (9/2 / (2/5 / 2/3)))
[275976] ['3/7', '9/8', '4/3', '5/3', '8'] -> ((4/3 + 5/3) + (8 / (3/7 / 9/8)))
[275977] ['1/8', '9/8', '9/8', '7/4', '2'] -> (2 + ((7/4 + (9/8 / 9/8)) / 1/8))
[275978] ['2/5', '5/7', '5/6', '3/2', '9'] -> (((5/6 * 9) + (3/2 / 5/7)) / 2/5)
[275979] ['2/7', '1/3', '3/8', '7/8', '1'] -> (1 / (1/3 * (3/8 - (2/7 * 7/8))))
[275980] ['2/9', '3/7', '7/5', '9/5', '2'] -> (((9/5 / 7/5) + (2 / 2/9)) / 3/7)
[275981] ['1/9', '1/2', '7/9', '9/5', '6'] -> ((6 - (1/9 - 7/9)) / (1/2 / 9/5))
[275982] ['1/9', '2/9', '1', '8/7', '5/2'] -> (8/7 / (1/9 - (2/9 / (1 + 5/2))))
[275983] ['4/9', '9/8', '4/3', '8/5', '2'] -> ((4/3 / 4/9) / ((2 / 8/5) - 9/8))
[275984] ['1/2', '5/6', '6/7', '3/2', '7'] -> ((3/2 + (1/2 + 6/7)) / (5/6 / 7))
[275985] ['2/7', '9/8', '5/4', '5/4', '3'] -> ((3 / 2/7) / ((5/4 * 5/4) - 9/8))
[275986] ['1/9', '2/7', '2/3', '4/5', '8'] -> (((8 / 4/5) - 2/3) / (1/9 / 2/7))
[275987] ['4/9', '9/8', '4/3', '9/5', '2'] -> ((4/9 / 4/3) / (9/8 - (2 / 9/5)))
[275988] ['2/9', '3/7', '7/5', '2', '7/3'] -> ((2 / (2/9 / 7/5)) * (7/3 - 3/7))
[275989] ['5/8', '7/8', '1', '5/3', '7/4'] -> (1 / ((5/3 / 5/8) - (7/8 + 7/4)))
[275990] ['3/7', '9/8', '4/3', '9/4', '8'] -> ((4/3 * 9/4) + (8 / (3/7 / 9/8)))
[275991] ['2/7', '2/5', '5/7', '4/5', '9'] -> (((5/7 + 9) / (4/5 - 2/5)) - 2/7)
[275992] ['2/5', '5/7', '5/6', '7/4', '9'] -> ((7/4 * (5/7 / 5/6)) + (9 / 2/5))
[275993] ['2/7', '1/3', '3/8', '1', '4/3'] -> (((1 / (2/7 * 3/8)) - 4/3) / 1/3)
[275994] ['1/8', '9/8', '8/7', '8/7', '2'] -> (((9/8 + 2) / 1/8) - (8/7 / 8/7))
[275995] ['1/9', '1/2', '4/5', '8/9', '6'] -> (6 / (8/9 - (1/2 + (1/9 / 4/5))))
[275996] ['2/9', '3/7', '7/5', '2', '5/2'] -> (5/2 * ((3/7 * 7/5) + (2 / 2/9)))
[275997] ['1/9', '2/9', '1', '7/6', '6/5'] -> ((1 + (6/5 * (2/9 + 7/6))) / 1/9)
[275998] ['3/7', '9/8', '4/3', '7/3', '8'] -> (7/3 * ((4/3 * 8) - (3/7 / 9/8)))
[275999] ['2/5', '5/7', '5/6', '9/5', '9'] -> ((9 + (9/5 / 5/7)) / (2/5 / 5/6))
[276000] ['1/2', '5/6', '6/7', '9/5', '7'] -> (7 * (9/5 + ((1/2 + 6/7) / 5/6)))
[276001] ['2/9', '3/7', '7/5', '2', '8/3'] -> (8/3 / (3/7 - (2 * (2/9 / 7/5))))
[276002] ['2/7', '2/5', '5/7', '6/7', '9'] -> (((9 / 5/7) - (6/7 / 2/7)) / 2/5)
[276003] ['1/9', '2/9', '1', '7/6', '9/7'] -> ((1 + 9/7) * (7/6 / (2/9 - 1/9)))
[276004] ['2/5', '5/7', '5/6', '9/4', '9'] -> (((5/6 * 9) / (2/5 * 5/7)) - 9/4)
[276005] ['1/8', '9/8', '8/7', '5/4', '2'] -> (8/7 * (2 + ((9/8 + 5/4) / 1/8)))
[276006] ['3/7', '9/8', '4/3', '5/2', '8'] -> ((5/2 / 9/8) + ((4/3 + 8) / 3/7))
[276007] ['1/4', '1/4', '1', '8/5', '9/2'] -> ((9/2 + (1/4 - 1)) / (1/4 / 8/5))
[276008] ['2/9', '3/7', '7/5', '2', '7/2'] -> (7/2 * (3/7 + (2 / (2/9 * 7/5))))
[276009] ['2/7', '1/3', '3/8', '1', '5/3'] -> ((((1 + 5/3) / 2/7) - 1/3) / 3/8)
[276010] ['2/7', '9/8', '5/4', '7/4', '3'] -> (3 / ((9/8 - 2/7) - (5/4 / 7/4)))
[276011] ['3/7', '9/8', '4/3', '7/2', '8'] -> (8 * ((3/7 * 7/2) + (9/8 * 4/3)))
[276012] ['1/4', '1/4', '1', '5/3', '9/5'] -> ((1 + 5/3) / (1/4 - (1/4 / 9/5)))
[276013] ['1/9', '5/4', '9/5', '9/5', '2'] -> ((9/5 + (9/5 / 1/9)) / (2 - 5/4))
[276014] ['1/9', '1/2', '4/5', '9/7', '6'] -> (6 / ((1/2 / 9/7) - (1/9 / 4/5)))
[276015] ['2/7', '1/3', '3/8', '1', '7/4'] -> ((1 / 1/3) / ((2/7 * 7/4) - 3/8))
