[212761] ['4/5', '8/9', '6/5', '9/7', '8'] -> 8 / (4/5 * (9/7 - 8/9)) - 6/5
[212787] ['4/9', '4/7', '5/6', '8/9', '6'] -> 6 / (4/7 / 8/9) / (5/6 - 4/9)
[212788] ['1/6', '8/9', '5/4', '5/4', '2'] -> (2 + 5/4 + 5/4) / (1/6 / 8/9)
[212789] ['7/9', '4/5', '7/6', '9/7', '2'] -> 2 / (9/7 * 7/9 / 4/5 - 7/6)
[212790] ['1/7', '8/7', '8/7', '5/3', '7'] -> (8/7 + 8/7) / (5/3 / 7 - 1/7)
[212791] ['5/6', '6/5', '6/5', '6/5', '9'] -> (6/5 + 6/5) * (9 + 5/6 * 6/5)
[212792] ['3/8', '3/5', '8/3', '7/2', '6'] -> 3/5 * 6 * (7/2 / 3/8 - 8/3)
[212793] ['4/9', '4/7', '5/6', '9/8', '6'] -> 6 / (4/7 * 9/8) / (5/6 - 4/9)
[212794] ['4/5', '8/9', '5/4', '7/5', '8'] -> 7/5 * 8 / (5/4 - 4/5) - 8/9
[212795] ['1/8', '1/8', '8/9', '3/2', '9'] -> 9 / (3/2 - 1/8 / 1/8 / 8/9)
[212796] ['5/8', '5/4', '7/3', '7/2', '8'] -> 8 / (5/8 / 5/4) / (7/3 / 7/2)
[212797] ['1/6', '8/9', '5/4', '7/5', '2'] -> (5/4 * 7/5 + 2 / 8/9) / 1/6
[212798] ['4/9', '4/7', '5/6', '8/7', '6'] -> 8/7 / (4/7 - 4/9 / 5/6) - 6
[212799] ['3/8', '3/5', '7/2', '7/2', '6'] -> (6 / 3/5 - 7/2 / 7/2) / 3/8
[212800] ['4/5', '8/9', '5/4', '8/5', '8'] -> (8/5 + 8) / (8/9 * (5/4 - 4/5))
[212801] ['7/9', '4/5', '7/6', '7/5', '2'] -> 4/5 / (7/5 / 2 - 7/9 / 7/6)
[212802] ['1/7', '2/5', '3/7', '1/2', '1'] -> (3/7 + 1/2 + 1 / 2/5) / 1/7
[212803] ['4/9', '4/7', '1', '7/3', '8/3'] -> 8/3 / (4/9 + 1 - 4/7 * 7/3)
[212804] ['1/6', '8/9', '5/4', '8/5', '2'] -> 5/4 / (1/6 / 8/9) * (8/5 + 2)
[212805] ['2/9', '7/5', '7/4', '3', '9/2'] -> 3 / (7/5 / 7/4) + 9/2 / 2/9
[212806] ['3/7', '3/7', '3/4', '5/4', '7'] -> 7 * (3/7 + 5/4 + 3/4 / 3/7)
[212807] ['1/7', '2/5', '3/7', '5/9', '1'] -> (1 / 5/9 - 3/7) / (1/7 * 2/5)
[212808] ['2/3', '3/4', '8/9', '9/5', '6'] -> (8/9 + 6 / 3/4) / (2/3 / 9/5)
[212809] ['1/7', '8/7', '7/6', '7/6', '7'] -> 7 / (1/7 / 8/7) / (7/6 + 7/6)
[212810] ['4/9', '4/7', '1', '7/3', '7/2'] -> 4/7 * 7/2 / (7/3 - 1 / 4/9)
[212811] ['4/5', '8/9', '5/4', '7/4', '8'] -> 8 * (7/4 / (5/4 - 4/5) - 8/9)
[212812] ['3/8', '5/8', '5/8', '5/7', '6'] -> (5/8 + 5/8 / 5/7) / (3/8 / 6)
[212813] ['7/9', '4/5', '7/6', '8/5', '2'] -> 8/5 * 2 / (4/5 - 7/9 / 7/6)
[212814] ['2/9', '7/5', '9/5', '9/5', '3'] -> (7/5 + 9/5) * 3 / (2/9 * 9/5)
[212815] ['1/7', '2/5', '3/7', '4/7', '1'] -> (1/7 + 4/7) / (3/7 - 2/5) - 1
[212816] ['3/7', '3/7', '3/4', '9/7', '7'] -> (9/7 / 3/7 - 3/7) / (3/4 / 7)
[212817] ['6/7', '5/4', '5/4', '7/2', '5'] -> 7/2 * (6/7 + 5 + 5/4 / 5/4)
[212818] ['1/7', '8/7', '7/6', '6/5', '7'] -> 8/7 / (7/6 / 7 - 1/7 / 6/5)
[212819] ['4/9', '4/7', '1', '7/3', '9/2'] -> (1 + 4/7 / 4/9) * 7/3 * 9/2
[212820] ['1/8', '1/8', '8/9', '7/3', '9'] -> 7/3 / (1/8 * 8/9 - 1/8 / 9)
[212821] ['5/8', '9/7', '9/7', '4/3', '8'] -> (9/7 + 8 * 9/7 * 4/3) / 5/8
[212822] ['7/9', '4/5', '7/6', '5/3', '2'] -> 4/5 * 5/3 / (2 - (7/9 + 7/6))
[212823] ['3/8', '5/8', '5/8', '7/9', '6'] -> (6 + 5/8 / 5/8) / (3/8 * 7/9)
[212824] ['1/7', '8/7', '7/6', '5/4', '7'] -> 7 / (7/6 * (5/4 + 1/7 - 8/7))
[212825] ['4/5', '8/9', '5/4', '7/3', '8'] -> (4/5 + 7/3 / 5/4) / (8/9 / 8)
[212826] ['5/8', '9/7', '9/7', '7/5', '8'] -> 8 * (7/5 + 9/7 / (5/8 * 9/7))
[212827] ['5/6', '6/5', '5/4', '9/7', '9'] -> (5/6 + 6/5 * 5/4) * (9/7 + 9)
[212828] ['2/3', '3/4', '9/8', '8/7', '6'] -> 2/3 * (3/4 / (8/7 - 9/8) - 6)
[212829] ['1/7', '8/7', '7/6', '4/3', '7'] -> 7 / (1/7 / 8/7 - (7/6 - 4/3))
[212830] ['1/5', '3/5', '1', '7/6', '8/3'] -> 1 / (7/6 - 3/5 / (1/5 * 8/3))
[212831] ['4/9', '4/7', '1', '5/2', '8/3'] -> (8/3 / (4/7 / 5/2) - 1) / 4/9
[212832] ['7/9', '4/5', '7/6', '2', '9/4'] -> 7/6 / 2 / (4/5 - 7/9) - 9/4
[212833] ['2/9', '7/5', '9/5', '3', '7/2'] -> 3 * (7/5 / 2/9 - (9/5 - 7/2))
[212834] ['4/9', '4/7', '5/6', '5/3', '6'] -> 5/3 / (5/6 - 4/9 / 4/7) - 6
[212835] ['3/8', '5/8', '5/8', '8/7', '6'] -> 6 / ((3/8 + 5/8) / 8/7 - 5/8)
[212836] ['1/5', '3/5', '1', '6/5', '6/5'] -> 6/5 / (1 / (1/5 + 3/5) - 6/5)
[212837] ['3/7', '3/7', '3/4', '8/5', '7'] -> (7 - 3/7 / 3/4) / (3/7 / 8/5)
[212838] ['4/5', '8/9', '9/7', '9/7', '8'] -> 8 / (9/7 / 4/5 - 9/7) - 8/9
[212839] ['5/8', '9/7', '9/7', '7/4', '8'] -> (9/7 / 9/7 + 7/4 * 8) / 5/8
[212840] ['1/7', '2/5', '3/7', '5/6', '1'] -> (3/7 + 1 / (2/5 * 5/6)) / 1/7
[212841] ['1/6', '8/9', '9/7', '3/2', '2'] -> 9/7 / (1/6 / 8/9) * (3/2 + 2)
[212842] ['6/7', '5/4', '9/7', '8/5', '5'] -> 6/7 / 5 / (5/4 * 9/7 - 8/5)
[212843] ['1/8', '1/8', '9/8', '5/4', '9'] -> 9 / (1/8 + 1/8 - (9/8 - 5/4))
[212844] ['5/8', '9/7', '9/7', '9/5', '8'] -> (9/5 + 9/7 / 5/8) / (9/7 / 8)
[212845] ['3/8', '5/8', '5/8', '9/7', '6'] -> (6 + 5/8 / 5/8) / (3/8 / 9/7)
[212846] ['1/7', '2/5', '3/7', '7/8', '1'] -> 1 / (7/8 - 1/7 / 2/5 / 3/7)
[212847] ['4/9', '4/7', '1', '8/3', '9/2'] -> 1 + 9/2 * (4/9 + 8/3 / 4/7)
[212848] ['7/9', '4/5', '7/6', '2', '9/2'] -> (7/6 / (4/5 - 7/9) - 9/2) / 2
[212849] ['5/6', '6/5', '9/7', '4/3', '9'] -> (9/7 + 9) * (4/3 + 5/6 * 6/5)
[212850] ['1/7', '8/7', '7/6', '7/3', '7'] -> 8/7 * (7 + 7/3 / (1/7 * 7/6))
[212851] ['7/9', '4/5', '6/5', '6/5', '2'] -> (6/5 + 2) / (7/9 * 6/5 - 4/5)
[212852] ['1/5', '3/5', '1', '6/5', '5/3'] -> (1 + 5/3) / (1/5 / (3/5 + 6/5))
[212853] ['2/3', '3/4', '8/7', '7/6', '6'] -> 6 / (3/4 - 2/3 / 8/7 / 7/6)
[212854] ['7/9', '4/5', '6/5', '9/7', '2'] -> 2 / (7/9 / 4/5) / (9/7 - 6/5)
[212855] ['3/8', '5/8', '5/8', '7/4', '6'] -> (5/8 + 5/8 + 7/4 + 6) / 3/8
[212856] ['2/9', '7/5', '9/4', '3', '7/2'] -> 7/5 * (3 + 7/2 / 2/9) - 9/4
[212857] ['1/7', '8/7', '6/5', '6/5', '7'] -> 6/5 / (6/5 / 8/7 - 1/7 * 7)
[212858] ['5/6', '6/5', '9/7', '7/5', '9'] -> (5/6 + 9/7 / 6/5) * 7/5 * 9
[212859] ['6/7', '5/4', '9/7', '7/3', '5'] -> 9/7 / (5/4 - 6/7) * (7/3 + 5)
[212860] ['1/5', '3/5', '1', '6/5', '7/3'] -> (7/3 + 1 / 3/5) / (1/5 / 6/5)
[212861] ['3/7', '3/7', '3/4', '7/2', '7'] -> 7/2 * (3/7 + 7 - 3/7 / 3/4)
[212862] ['4/9', '4/7', '1', '9/2', '9/2'] -> 1 / 4/7 + 9/2 * (4/9 + 9/2)
[212863] ['3/8', '5/8', '5/8', '9/5', '6'] -> (6 - 5/8 / 5/8) / (3/8 / 9/5)
[212864] ['2/9', '7/5', '9/4', '3', '9/2'] -> 9/2 / 2/9 + (9/4 + 3) / 7/5
[212865] ['5/8', '9/7', '4/3', '7/5', '8'] -> 8 / (4/3 / 5/8 - 9/7 * 7/5)
[212866] ['7/9', '4/5', '6/5', '8/5', '2'] -> 8/5 * 2 / (7/9 * 6/5 - 4/5)
[212867] ['6/7', '5/4', '9/7', '5/2', '5'] -> 6/7 / (5/4 + 9/7 + 5/2 - 5)
[212868] ['3/8', '5/8', '5/8', '7/3', '6'] -> (3/8 + 5/8 + 7/3 * 6) / 5/8
[212869] ['2/3', '3/4', '8/7', '4/3', '6'] -> 6 / (2/3 + 3/4 - 4/3 / 8/7)
[212870] ['5/6', '6/5', '9/7', '8/5', '9'] -> 5/6 * (6/5 + 8/5) * (9/7 + 9)
[212871] ['1/7', '8/7', '6/5', '4/3', '7'] -> 6/5 * 4/3 * (7 + 8/7 / 1/7)
[212872] ['1/8', '1/8', '8/7', '5/4', '9'] -> 9 / (5/4 - 1/8 / 1/8 / 8/7)
[212873] ['2/9', '7/5', '7/3', '7/3', '3'] -> (7/3 * 3 - 7/3 / 7/5) / 2/9
[212874] ['4/9', '4/7', '5/6', '9/2', '6'] -> 6 / (9/2 * (5/6 - 4/9 / 4/7))
[212875] ['6/7', '5/4', '9/7', '8/3', '5'] -> 6/7 / (9/7 * (5/4 + 8/3) - 5)
[212876] ['4/9', '3/5', '3/5', '2/3', '1'] -> (3/5 + 1) / (4/9 / 2/3 - 3/5)
[212877] ['5/8', '9/7', '4/3', '7/4', '8'] -> 7/4 / (5/8 / 9/7) * (8 - 4/3)
[212878] ['7/9', '4/5', '6/5', '9/5', '2'] -> 4/5 / (7/9 * 6/5 - 9/5 / 2)
[212879] ['3/7', '3/7', '7/9', '5/6', '7'] -> (7 / 7/9 - 3/7) / (3/7 * 5/6)
[212880] ['1/7', '8/7', '6/5', '8/5', '7'] -> 8/7 / (8/5 / (6/5 * 7) - 1/7)
[212881] ['1/8', '1/8', '8/7', '4/3', '9'] -> 8/7 * 9 * (4/3 + 1/8 / 1/8)
[212882] ['3/8', '5/8', '2/3', '4/5', '6'] -> 6 / (5/8 * 4/5 - 3/8 * 2/3)
[212883] ['6/7', '5/4', '9/7', '7/2', '5'] -> 5/4 + 7/2 * (5 + 9/7 / 6/7)
[212884] ['4/9', '3/5', '3/5', '3/4', '1'] -> (3/5 + 1) / (4/9 * (3/4 - 3/5))
[212885] ['2/9', '7/5', '7/3', '3', '7/2'] -> 3 * (7/3 / 2/9 - 7/2 / 7/5)
[212886] ['1/8', '1/8', '8/7', '3/2', '9'] -> (3/2 + 1/8 * 9) / (1/8 / 8/7)
[212887] ['1/7', '8/7', '6/5', '7/4', '7'] -> (7 / 7/4 - 8/7) / (1/7 / 6/5)
[212888] ['5/6', '6/5', '9/7', '9/4', '9'] -> 9 / (9/7 / 5/6 - 6/5) - 9/4
[212889] ['1/5', '3/5', '1', '5/4', '8/5'] -> 8/5 / (3/5 / (1 + 5/4) - 1/5)
[212890] ['5/8', '9/7', '4/3', '7/3', '8'] -> (8 + 4/3 + 7/3) / (5/8 / 9/7)
[212891] ['3/7', '3/7', '7/9', '8/9', '7'] -> 7 * (3/7 / (8/9 - 7/9) - 3/7)
[212892] ['4/9', '4/7', '6/7', '7/6', '6'] -> 6 / ((7/6 - 4/7) / 6/7 - 4/9)
[212893] ['4/9', '3/5', '3/5', '5/6', '1'] -> (3/5 + 1) / (3/5 - 4/9 / 5/6)
[212894] ['1/7', '8/7', '6/5', '7/3', '7'] -> 7 * (1/7 + 7/3 + 8/7 / 6/5)
[212895] ['4/5', '8/9', '9/7', '9/2', '8'] -> (8/9 + 8) * (9/2 / 9/7 - 4/5)
[212896] ['3/8', '5/8', '2/3', '7/4', '6'] -> 6 / (7/4 - (3/8 + 5/8) / 2/3)
[212897] ['3/7', '3/7', '7/9', '8/7', '7'] -> (8/7 + 7) / (3/7 * 7/9) - 3/7
[212898] ['1/7', '2/5', '3/7', '1', '8/3'] -> 3/7 / (1 / 8/3 - 1/7 / 2/5)
[212899] ['4/9', '4/7', '6/7', '5/4', '6'] -> 6 / (4/7 / (4/9 * 6/7) - 5/4)
[212900] ['2/9', '7/5', '5/2', '3', '9/2'] -> 5/2 * (9/2 + 7/5 / 2/9) - 3
[212901] ['7/9', '4/5', '6/5', '2', '9/2'] -> 6/5 * 2 / (9/2 * (4/5 - 7/9))
[212902] ['1/5', '3/5', '1', '5/4', '9/4'] -> (5/4 + 9/4 / 3/5) / 1/5 - 1
[212903] ['1/7', '8/7', '6/5', '8/3', '7'] -> 8/7 + (1/7 + 7) * 6/5 * 8/3
[212904] ['3/8', '5/8', '2/3', '9/5', '6'] -> 6 / (3/8 / 9/5 - (5/8 - 2/3))
[212905] ['3/7', '3/7', '7/9', '7/6', '7'] -> 7/6 * (7 / (3/7 * 7/9) - 3/7)
[212906] ['5/8', '9/7', '4/3', '7/2', '8'] -> 7/2 * (8 - 9/7 / 4/3) - 5/8
[212907] ['4/5', '8/9', '4/3', '7/4', '8'] -> 4/3 + (4/5 + 7/4) * (8/9 + 8)
[212908] ['4/9', '3/5', '3/5', '7/8', '1'] -> 3/5 / ((1 - 3/5) / 4/9 - 7/8)
[212909] ['3/7', '3/7', '7/9', '6/5', '7'] -> (7 / 7/9 - 3/7) / (3/7 / 6/5)
[212910] ['2/3', '3/4', '7/6', '7/5', '6'] -> 6 / (7/5 * (3/4 - 2/3 / 7/6))
[212911] ['1/6', '8/9', '7/5', '8/5', '2'] -> 1/6 * 2 / (8/9 - 7/5 / 8/5)
[212912] ['3/8', '5/8', '5/7', '3/4', '6'] -> 6 / (3/8 + 3/4 - 5/8 / 5/7)
[212913] ['2/9', '7/5', '8/3', '3', '7/2'] -> 8/3 / 2/9 / (3 - 7/2 / 7/5)
[212914] ['5/8', '9/7', '4/3', '9/2', '8'] -> 9/7 * ((9/2 + 8) / 5/8 - 4/3)
[212915] ['5/6', '6/5', '4/3', '7/2', '9'] -> 4/3 / (5/6 / 6/5) * (7/2 + 9)
[212916] ['4/9', '3/5', '3/5', '8/9', '1'] -> 3/5 / ((1 - 4/9) / 8/9 - 3/5)
[212917] ['2/3', '3/4', '7/6', '9/5', '6'] -> (2/3 + 7/6 / 3/4) * 9/5 * 6
[212918] ['7/9', '4/5', '5/4', '7/5', '2'] -> (4/5 + 2) / (7/9 * (7/5 - 5/4))
[212919] ['1/8', '1/8', '7/6', '5/4', '9'] -> 9 * (1/8 + 1/8 + 7/6 + 5/4)
[212920] ['6/7', '5/4', '4/3', '7/3', '5'] -> (7/3 + 5) / (4/3 / 6/7 - 5/4)
[212921] ['1/7', '8/7', '5/4', '7/5', '7'] -> 8/7 * 5/4 * (7 + 7/5 / 1/7)
[212922] ['4/9', '3/5', '3/5', '1', '9/8'] -> 3/5 / (9/8 * (1 - 4/9) - 3/5)
[212923] ['2/9', '7/5', '3', '7/2', '7/2'] -> (7/2 + 7/2 / 7/5) / 2/9 - 3
[212924] ['4/9', '4/7', '6/7', '7/4', '6'] -> 6 / (7/4 - 4/7 / (4/9 * 6/7))
[212925] ['2/3', '3/4', '6/5', '9/7', '6'] -> 6 / (9/7 * (3/4 - 2/3 / 6/5))
[212926] ['5/6', '6/5', '7/5', '7/4', '9'] -> 9 * (6/5 * 7/4 - (5/6 - 7/5))
[212927] ['1/6', '8/9', '7/5', '9/5', '2'] -> 7/5 / ((2 - 9/5) / 8/9 - 1/6)
[212928] ['5/8', '9/7', '7/5', '5/3', '8'] -> 8 / (5/8 * 7/5) / (5/3 - 9/7)
[212929] ['2/9', '7/5', '3', '7/2', '9/2'] -> (9/2 + 7/2 / (7/5 * 3)) / 2/9
[212930] ['5/6', '6/5', '7/5', '9/4', '9'] -> 9 / (5/6 * 9/4) / (7/5 - 6/5)
[212931] ['1/7', '2/5', '4/9', '2/3', '1'] -> (2/3 / (1/7 * 2/5) - 1) / 4/9
[212932] ['4/9', '3/5', '3/5', '1', '6/5'] -> (3/5 + 1) / (3/5 - 4/9 * 6/5)
[212933] ['4/9', '4/7', '7/8', '7/8', '6'] -> 6 / (7/8 / (4/9 / 4/7) - 7/8)
[212934] ['4/9', '4/7', '7/8', '8/9', '6'] -> 6 / (4/9 * 4/7) / (7/8 / 8/9)
[212935] ['2/9', '3/2', '3/2', '3/2', '3'] -> 3/2 + 3/2 * (3/2 + 3 / 2/9)
[212936] ['4/5', '8/9', '3/2', '7/4', '8'] -> 8 / (4/5 * (7/4 - 8/9 * 3/2))
[212937] ['4/9', '4/7', '7/8', '9/8', '6'] -> 6 / (4/9 * 4/7) / (7/8 * 9/8)
[212938] ['2/9', '3/2', '3/2', '8/5', '3'] -> 3 / (2/9 * (3/2 - 3/2 / 8/5))
[212939] ['7/9', '4/5', '5/4', '2', '9/4'] -> 2 / (7/9 - 5/4 / (4/5 * 9/4))
[212940] ['3/8', '5/8', '5/7', '6/5', '6'] -> 3/8 * 6 / (5/7 - 5/8) - 6/5
[212941] ['1/6', '8/9', '7/5', '2', '7/2'] -> (2 + 7/2 / 7/5) / (1/6 / 8/9)
[212942] ['3/7', '3/7', '7/9', '5/2', '7'] -> 3/7 + 5/2 * (3/7 + 7 / 7/9)
[212943] ['4/9', '4/7', '7/8', '7/6', '6'] -> (6 / 4/7 - 7/6) / (4/9 * 7/8)
[212944] ['5/8', '9/7', '7/5', '8/3', '8'] -> 7/5 * 8/3 * 8 * 5/8 * 9/7
[212945] ['4/5', '8/9', '3/2', '7/3', '8'] -> (8/9 + 8) * (3/2 * 7/3 - 4/5)
[212946] ['1/8', '1/8', '6/5', '7/5', '9'] -> (7/5 * 9 - 6/5 / 1/8) / 1/8
[212947] ['6/7', '5/4', '7/5', '9/5', '5'] -> 5 / (5/4 * (9/5 - 7/5 / 6/7))
[212948] ['3/7', '3/7', '4/5', '4/5', '7'] -> (7 + 3/7 + 4/5) / (3/7 * 4/5)
[212949] ['4/9', '3/5', '3/5', '1', '3/2'] -> (3/5 + 1) / (4/9 * 3/2 - 3/5)
[212950] ['7/9', '4/5', '5/4', '2', '5/2'] -> 2 / (4/5 - 7/9) / (5/4 + 5/2)
[212951] ['1/6', '8/9', '3/2', '8/5', '2'] -> 8/5 * (3/2 + 2 / (1/6 * 8/9))
[212952] ['1/7', '8/7', '9/7', '8/5', '7'] -> 7 * (8/7 + 8/5 * (1/7 + 9/7))
[212953] ['6/7', '5/4', '7/5', '9/4', '5'] -> 5 / (9/4 - 7/5 / (6/7 / 5/4))
[212954] ['3/7', '3/7', '4/5', '5/6', '7'] -> (3/7 + 7) / (5/6 * (4/5 - 3/7))
[212955] ['5/6', '6/5', '8/5', '9/4', '9'] -> 8/5 * 9/4 * (9 / 6/5 - 5/6)
[212956] ['4/9', '4/7', '7/8', '5/4', '6'] -> 6 / (4/9 * 4/7) - (7/8 - 5/4)
[212957] ['4/9', '3/5', '3/5', '1', '8/5'] -> 1 / (3/5 * (4/9 - 3/5 / 8/5))
[212958] ['1/6', '8/9', '3/2', '7/4', '2'] -> 3/2 / (2 - (7/4 + 1/6 / 8/9))
[212959] ['2/9', '3/2', '8/5', '7/4', '3'] -> 8/5 * 3 * (3/2 / 2/9 - 7/4)
[212960] ['2/3', '3/4', '9/7', '7/5', '6'] -> 6 / (2/3 - 3/4 / 9/7 / 7/5)
[212961] ['1/5', '3/5', '1', '9/7', '8/3'] -> 8/3 / ((1 - 3/5) / 9/7 - 1/5)
[212962] ['4/5', '8/9', '3/2', '9/2', '8'] -> 4/5 * 9/2 * (8 - 8/9 * 3/2)
[212963] ['6/7', '5/4', '7/5', '7/3', '5'] -> 5 / (7/3 / 7/5 - 5/4 / 6/7)
[212964] ['1/5', '3/5', '1', '9/7', '7/2'] -> (1 + 9/7) * 7/2 / (1/5 / 3/5)
[212965] ['4/5', '8/9', '8/5', '8/5', '8'] -> (8/5 + 8) * (8/5 + 4/5 / 8/9)
[212966] ['6/7', '5/4', '7/5', '5/2', '5'] -> 5/4 + (7/5 + 5/2) / (6/7 / 5)
[212967] ['3/8', '5/8', '5/7', '8/5', '6'] -> 6 / (5/7 * (8/5 - 3/8) - 5/8)
[212968] ['1/8', '1/8', '5/4', '9/7', '9'] -> (5/4 / 1/8 - 9 / 9/7) / 1/8
[212969] ['7/9', '4/5', '9/7', '4/3', '2'] -> 2 / (4/3 - 9/7 * 7/9 / 4/5)
[212970] ['2/3', '3/4', '9/7', '5/3', '6'] -> 6 * (2/3 + 5/3) / (3/4 / 9/7)
[212971] ['3/8', '5/8', '5/7', '7/4', '6'] -> 6 / (5/7 * 7/4 - (3/8 + 5/8))
[212972] ['2/9', '3/2', '8/5', '3', '7/2'] -> 3/2 * 8/5 * (3 / 2/9 - 7/2)
[212973] ['4/5', '8/9', '8/5', '9/5', '8'] -> 8 / (8/9 * (4/5 + 8/5) - 9/5)
[212974] ['2/3', '3/4', '9/7', '7/4', '6'] -> (9/7 + 6 / 2/3) / (3/4 / 7/4)
[212975] ['1/7', '8/7', '9/7', '9/2', '7'] -> 9/2 * (1/7 + 7 / 9/7) - 8/7
[212976] ['4/9', '4/7', '7/8', '5/3', '6'] -> 5/3 / (4/7 * 7/8 - 4/9) - 6
[212977] ['1/6', '8/9', '8/5', '2', '9/4'] -> (2 - 8/9) * 9/4 / (1/6 / 8/5)
[212978] ['7/9', '4/5', '9/7', '3/2', '2'] -> 2 / 7/9 / (9/7 / 4/5 - 3/2)
[212979] ['4/5', '8/9', '8/5', '5/2', '8'] -> (8/5 + 5/2 * 8) / (4/5 / 8/9)
[212980] ['1/7', '2/5', '4/9', '1', '7/6'] -> (1 / 2/5 + 7/6 / 1/7) / 4/9
[212981] ['5/8', '9/7', '3/2', '7/3', '8'] -> (9/7 * 7/3 + 3/2 * 8) / 5/8
[212982] ['1/8', '1/8', '5/4', '7/2', '9'] -> 9 / (5/4 - 7/2 * (1/8 + 1/8))
[212983] ['3/8', '5/8', '5/7', '8/3', '6'] -> 8/3 * (3/8 / 5/8 + 6 / 5/7)
[212984] ['3/7', '3/7', '4/5', '6/5', '7'] -> 6/5 * (3/7 + 7) / (4/5 - 3/7)
[212985] ['1/6', '8/9', '8/5', '2', '7/3'] -> 8/5 * ((8/9 + 2) / 1/6 - 7/3)
[212986] ['7/9', '4/5', '9/7', '8/5', '2'] -> 8/5 / 7/9 / (4/5 + 9/7 - 2)
[212987] ['1/8', '1/8', '9/7', '9/7', '9'] -> (9 - 9/7) / (9/7 * (1/8 + 1/8))
[212988] ['6/7', '5/4', '3/2', '8/5', '5'] -> (5/4 + 3/2 / 6/7) * 8/5 * 5
[212989] ['5/8', '9/7', '3/2', '5/2', '8'] -> (3/2 + 9/7 * (5/2 + 8)) / 5/8
[212990] ['3/7', '3/7', '4/5', '5/4', '7'] -> (7 + 3/7 + 4/5) / (3/7 / 5/4)
[212991] ['4/9', '4/7', '7/8', '9/4', '6'] -> 6 / (4/7 - 4/9) / (7/8 * 9/4)
[212992] ['4/5', '8/9', '5/3', '5/2', '8'] -> (4/5 * 5/3 + 5/2 * 8) / 8/9
[212993] ['2/9', '3/2', '7/4', '9/5', '3'] -> (9/5 + 3) * (3/2 / 2/9 - 7/4)
[212994] ['5/8', '9/7', '3/2', '8/3', '8'] -> (3/2 - 5/8) * 8 * 9/7 * 8/3
[212995] ['3/8', '5/8', '3/4', '7/5', '6'] -> 6 / (3/8 + 3/4 - 5/8 * 7/5)
[212996] ['1/8', '1/8', '9/7', '3/2', '9'] -> (9/7 + 1/8 / 1/8) * (3/2 + 9)
