[295486] ['4/9', '8/7', '3/2', '9/5', '8'] -> 9/5 * (4/9 + 3/2) * (8 - 8/7)
[295541] ['5/9', '4/7', '3/5', '5/2', '7'] -> 4/7 / (5/2 / 7 - 5/9 * 3/5)
[295542] ['1/7', '1/3', '3/5', '4/3', '2'] -> (2 + 4/3 / (1/3 + 3/5)) / 1/7
[295543] ['2/7', '3/5', '1', '8/5', '9/4'] -> 8/5 / (1 - 3/5 / (2/7 * 9/4))
[295544] ['1/9', '4/7', '7/9', '1', '9/7'] -> (1 + 9/7) / (7/9 - (1/9 + 4/7))
[295545] ['1/8', '3/8', '4/3', '8/5', '2'] -> (3/8 + 2 / 4/3) * 8/5 / 1/8
[295546] ['3/7', '1/2', '5/7', '9/7', '5'] -> 5 * (3/7 + 9/7) / (1/2 * 5/7)
[295547] ['1/2', '8/7', '8/7', '5/4', '2'] -> (2 + 1/2 * 8/7) / (5/4 - 8/7)
[295548] ['7/9', '9/7', '3/2', '9/5', '7'] -> 7 / (7/9 - 3/2 / (9/7 + 9/5))
[295549] ['5/9', '4/7', '3/5', '8/3', '7'] -> (8/3 / ((5/9 * 7) * 3/5) - 4/7))
[295550] ['5/7', '3/4', '1', '5/3', '7/3'] -> 1 / (3/4 - 5/7) - (5/3 + 7/3)
[295551] ['1/9', '3/4', '3/4', '7/8', '8'] -> 3/4 / (7/8 - 3/4 / (1/9 * 8))
[295552] ['1/8', '3/8', '4/3', '9/5', '2'] -> (4/3 + 2) * 9/5 / (3/8 - 1/8)
[295553] ['1/6', '6/7', '8/5', '3', '9/2'] -> 8/5 * 9/2 * (3 / 6/7 - 1/6)
[295554] ['7/9', '9/7', '3/2', '9/4', '7'] -> 3/2 + (7/9 + 7) * 9/7 * 9/4
[295555] ['3/7', '1/2', '5/7', '7/5', '5'] -> 7/5 * 5 / (5/7 - 3/7) - 1/2
[295556] ['2/7', '3/5', '1', '8/5', '8/3'] -> 8/5 / (1 - 2/7 * (3/5 + 8/3))
[295557] ['5/9', '4/7', '3/5', '7/2', '7'] -> 4/7 * 7/2 * (7 / 5/9 - 3/5)
[295558] ['1/9', '3/4', '3/4', '9/8', '8'] -> 3/4 / (1/9 * 9/8 - 3/4 / 8)
[295559] ['3/7', '5/8', '7/8', '9/5', '9'] -> (9 + 9/5 * 5/8 / 7/8) / 3/7
[295560] ['1/9', '4/7', '7/9', '1', '3/2'] -> (4/7 / (1/9 * 3/2) - (1 / 7/9)))
[295561] ['1/2', '8/7', '8/7', '3/2', '2'] -> 8/7 * 3/2 / (8/7 / 2 - 1/2)
[295562] ['2/7', '7/8', '8/9', '5/3', '9'] -> (9 - 5/3 / (7/8 * 8/9)) / 2/7
[295563] ['1/7', '1/3', '3/5', '7/4', '2'] -> 2 / (7/4 * 1/7 / 3/5 - 1/3)
[295564] ['7/9', '9/7', '8/5', '8/5', '7'] -> 8/5 * 7 / (8/5 / 9/7 - 7/9)
[295565] ['5/9', '4/7', '3/5', '9/2', '7'] -> (4/7 / (5/9 * (9/2 / 7)) - 3/5))
[295566] ['4/9', '8/7', '5/3', '7/4', '8'] -> (8 - 8/7 * 5/3) * 7/4 / 4/9
[295567] ['1/2', '8/7', '8/7', '8/5', '2'] -> 2 / (1/2 - 8/7 / (8/7 + 8/5))
[295568] ['2/7', '7/8', '8/9', '7/4', '9'] -> 2/7 * 7/8 + 9 * (8/9 + 7/4)
[295569] ['3/7', '5/8', '8/9', '8/9', '9'] -> (8/9 + 9 / 3/7) / 8/9 - 5/8
[295570] ['4/9', '8/7', '5/3', '9/5', '8'] -> 8/7 * (5/3 * 9/5 + 8 / 4/9)
[295571] ['7/9', '9/7', '8/5', '9/5', '7'] -> (9/5 + 9/7 * 8/5) * (7 - 7/9)
[295572] ['2/7', '7/8', '8/9', '9/4', '9'] -> 8/9 / (2/7 * 7/8) * (9 - 9/4)
[295573] ['4/9', '8/7', '5/3', '9/4', '8'] -> 5/3 * 8 / (4/9 * 8/7) - 9/4
[295574] ['1/6', '6/7', '7/4', '7/4', '3'] -> 3 / (7/4 / 6/7 - (1/6 + 7/4))
[295575] ['5/7', '3/4', '1', '7/4', '9/4'] -> 1 / (3/4 - 5/7) - (7/4 + 9/4)
[295576] ['3/7', '5/8', '8/9', '7/6', '9'] -> 9 / ((7/6 - 5/8) / 3/7 - 8/9)
[295577] ['1/4', '7/6', '6/5', '7/3', '6'] -> 6/5 * (6 + (7/6 + 7/3) / 1/4)
[295578] ['2/7', '3/5', '1', '5/3', '7/3'] -> 5/3 / (2/7 * 7/3 - 3/5) - 1
[295579] ['1/7', '1/3', '3/5', '2', '7/2'] -> (1/3 / 7/2 + 2 / 3/5) / 1/7
[295580] ['1/9', '3/4', '3/4', '5/3', '8'] -> 5/3 / 1/9 + 8 + 3/4 / 3/4
[295581] ['2/7', '7/8', '8/9', '7/2', '9'] -> 9 * 8/9 / 2/7 - 7/2 / 7/8
[295582] ['3/7', '1/2', '3/4', '5/6', '5'] -> (3/4 + 5 / 3/7) / 1/2 - 5/6
[295583] ['1/7', '2/5', '5/8', '7/6', '8'] -> (8 + 1/7 / 5/8) * 7/6 / 2/5
[295584] ['5/9', '4/7', '5/8', '5/6', '7'] -> (4/7 + 5/6 / 5/8) * 7 / 5/9
[295585] ['1/9', '4/7', '7/9', '1', '7/2'] -> (7/9 + 4/7 * 7/2) / 1/9 - 1
[295586] ['2/7', '7/8', '8/9', '9/2', '9'] -> 8/9 * (9 + 9/2 / (2/7 * 7/8))
[295587] ['3/7', '5/8', '8/9', '9/7', '9'] -> (9/7 + 3/7 * 8/9) * 9 / 5/8
[295588] ['5/7', '3/4', '1', '7/4', '9/2'] -> (9/2 / (3/4 * (5/7 * 7/4)) - 1))
[295589] ['1/7', '1/3', '5/8', '2/3', '2'] -> (1/3 + 2/3 + 2 / 1/7) / 5/8
[295590] ['1/9', '3/4', '3/4', '7/2', '8'] -> (7/2 + 8) / (3/4 * (3/4 - 1/9))
[295591] ['1/4', '7/6', '6/5', '7/2', '6'] -> 6 * (1/4 / (6/5 - 7/6) - 7/2)
[295592] ['4/9', '8/7', '5/3', '9/2', '8'] -> 9/2 + (5/3 + 8 / 8/7) / 4/9
[295593] ['1/7', '2/5', '5/8', '6/5', '8'] -> 8 / 5/8 + (2/5 + 6/5) / 1/7
[295594] ['2/7', '7/8', '9/8', '9/8', '9'] -> (9 - 9/8 / 7/8) / (2/7 * 9/8)
[295595] ['3/7', '1/2', '3/4', '9/8', '5'] -> 3/4 / 9/8 + 5 / (3/7 * 1/2)
[295596] ['1/9', '3/4', '7/9', '7/9', '8'] -> (1/9 + 7/9) / (7/9 - 3/4) - 8
[295597] ['1/6', '6/7', '9/5', '7/3', '3'] -> 9/5 * (7/3 / (1/6 * 6/7) - 3)
[295598] ['1/7', '1/3', '5/8', '3/4', '2'] -> (2 * 5/8 / 1/7 - 3/4) / 1/3
[295599] ['1/7', '2/5', '5/8', '5/4', '8'] -> 8 * (5/4 + 5/8 * 2/5 / 1/7)
[295600] ['3/7', '5/8', '8/9', '4/3', '9'] -> (9 / (3/7 * (4/3 / 8/9)) - 5/8))
[295601] ['1/6', '6/7', '9/5', '5/2', '3'] -> 5/2 * (9/5 / (1/6 * 6/7) - 3)
[295602] ['1/7', '1/3', '5/8', '7/9', '2'] -> (2 - 1/3) / (7/9 * 1/7 * 5/8)
[295603] ['1/4', '7/6', '5/4', '5/3', '6'] -> 5/3 / (5/4 * (1/4 - 7/6 / 6))
[295604] ['4/9', '8/7', '7/4', '9/5', '8'] -> (8 / (7/4 * (8/7 / 9/5)) - 4/9))
[295605] ['1/7', '1/3', '5/8', '4/5', '2'] -> (2 / ((1/7 + 1/3) * 4/5) - 5/8))
[295606] ['1/9', '3/4', '7/9', '6/7', '8'] -> (6/7 / 1/9 + 8 / 7/9) / 3/4
[295607] ['1/4', '7/6', '5/4', '9/5', '6'] -> 5/4 * 9/5 * (6 + 7/6 / 1/4)
[295608] ['1/6', '6/7', '9/5', '3', '7/2'] -> 9/5 * (7/2 * (6/7 + 3) - 1/6)
[295609] ['7/9', '9/7', '7/4', '9/4', '7'] -> (7/4 + 9/4) * (7 - 7/9 * 9/7)
[295610] ['3/7', '1/2', '3/4', '4/3', '5'] -> (5 / (1/2 * (3/4 / 3/7)) - 4/3))
[295611] ['2/7', '3/5', '1', '7/4', '5/2'] -> 5/2 / (3/5 - 2/7 * 7/4) - 1
[295612] ['1/4', '7/6', '5/4', '7/3', '6'] -> 7/3 * (6 + 5/4 / (1/4 * 7/6))
[295613] ['1/2', '8/7', '7/6', '2', '9/4'] -> (1/2 / (7/6 * 8/7) - (9/4 / 2)))
[295614] ['4/9', '8/7', '7/4', '7/2', '8'] -> 8/7 * (7/4 + 7/2) + 8 / 4/9
[295615] ['1/9', '3/4', '7/9', '9/8', '8'] -> (8 / ((1/9 + 7/9) * 9/8) - 3/4))
[295616] ['1/4', '7/6', '5/4', '5/2', '6'] -> 1/4 + 6 * (5/2 + 7/6 * 5/4)
[295617] ['3/7', '1/2', '3/4', '3/2', '5'] -> (1/2 + 5 * 3/2 / 3/7) / 3/4
[295618] ['1/2', '8/7', '7/6', '2', '7/3'] -> 7/6 / (7/3 - 8/7 * 2) - 1/2
[295619] ['2/7', '7/8', '9/8', '9/5', '9'] -> 9 / (9/8 / 9/5 - 2/7 * 7/8)
[295620] ['1/6', '6/7', '9/4', '5/2', '3'] -> 3 / ((5/2 - 9/4) / 6/7 - 1/6)
[295621] ['1/2', '8/7', '7/6', '2', '5/2'] -> 2 / (8/7 * 7/6 - 1/2 * 5/2)
[295622] ['2/7', '7/8', '9/8', '9/4', '9'] -> (9 - 9/4) / (9/8 * 2/7 * 7/8)
[295623] ['1/7', '1/3', '5/8', '6/5', '2'] -> (2 / 1/7 - 6/5) * 5/8 / 1/3
[295624] ['1/9', '3/4', '7/9', '6/5', '8'] -> (8 + 7/9 / 1/9) * 6/5 / 3/4
[295625] ['5/9', '4/7', '5/8', '4/3', '7'] -> (4/3 + 7) / (5/9 / 4/7 - 5/8)
[295626] ['1/2', '8/7', '7/6', '2', '8/3'] -> 2 / (7/6 * (1/2 - 8/7 / 8/3))
[295627] ['1/6', '6/7', '7/3', '7/3', '3'] -> (7/3 * 3 - 7/3) * 6/7 / 1/6
[295628] ['1/7', '2/5', '5/8', '9/4', '8'] -> 9/4 / 1/7 + 8 + 2/5 * 5/8
[295629] ['7/9', '9/7', '7/4', '9/2', '7'] -> (9/7 + 9/2 / 7/4) * (7 - 7/9)
[295630] ['1/8', '3/8', '7/4', '9/5', '2'] -> 2 / (7/4 - 3/8 / (1/8 * 9/5))
[295631] ['1/7', '1/3', '5/8', '7/5', '2'] -> 2 / (5/8 * (1/3 - 1/7 * 7/5))
[295632] ['2/7', '7/8', '9/8', '9/2', '9'] -> (9 + 9/2 / (2/7 * 7/8)) / 9/8
[295633] ['3/7', '1/2', '3/4', '7/3', '5'] -> (5 + 3/7 * 7/3) / (3/4 - 1/2)
[295634] ['3/7', '5/8', '8/9', '8/3', '9'] -> (9 + 5/8 * 8/3) / 3/7 - 8/9
[295635] ['1/9', '3/4', '7/9', '7/5', '8'] -> (8 / (3/4 * (7/9 / 7/5)) - 1/9))
[295636] ['5/9', '4/7', '5/8', '3/2', '7'] -> 7 * (4/7 / 5/9 + 3/2 / 5/8)
[295637] ['1/9', '4/7', '4/5', '1', '4/3'] -> (1 + 4/3 / 4/7) * 4/5 / 1/9
[295638] ['1/4', '7/6', '9/7', '9/4', '6'] -> 6 * (1/4 + 9/4 + 7/6 * 9/7)
[295639] ['3/7', '1/2', '3/4', '5/2', '5'] -> (1/2 + (5/2 + 5) / 3/7) / 3/4
[295640] ['1/6', '6/7', '8/3', '8/3', '3'] -> (8/3 / 6/7 + 8/3 / 3) / 1/6
[295641] ['5/7', '3/4', '1', '7/3', '8/3'] -> 8/3 / (7/3 * (1 - 5/7 / 3/4))
[295642] ['1/7', '1/3', '5/8', '8/5', '2'] -> (8/5 / 1/7 - 2 / 5/8) / 1/3
[295643] ['2/7', '7/8', '8/7', '6/5', '9'] -> 9 / (8/7 / (6/5 - 2/7) - 7/8)
[295644] ['1/4', '7/6', '9/7', '7/2', '6'] -> 7/6 * 9/7 + 6 * (1/4 + 7/2)
[295645] ['5/9', '4/7', '5/8', '5/3', '7'] -> (5/3 / ((4/7 - 5/9) * 5/8) * 7))
[295646] ['3/7', '1/2', '3/4', '8/3', '5'] -> (5 / 3/7 - 8/3) / (1/2 * 3/4)
[295647] ['1/8', '3/8', '9/5', '2', '5/2'] -> (9/5 + 3/8 / 1/8) * 2 * 5/2
[295648] ['2/7', '3/5', '1', '9/5', '9/2'] -> (9/2 + 1 / 2/7) * 9/5 / 3/5
[295649] ['5/7', '3/4', '1', '5/2', '5/2'] -> (5/2 + 5/2 / 5/7) / (1 - 3/4)
[295650] ['1/2', '8/7', '6/5', '8/5', '2'] -> 8/5 / (6/5 - 8/7) - 2 / 1/2
[295651] ['3/7', '5/8', '9/8', '7/6', '9'] -> 5/8 - 9/8 + 9 * 7/6 / 3/7
[295652] ['1/6', '6/7', '8/3', '3', '9/2'] -> 3 / 6/7 + 9/2 + 8/3 / 1/6
[295653] ['2/7', '7/8', '8/7', '4/3', '9'] -> (9 / 7/8 - 8/7) / (2/7 * 4/3)
[295654] ['3/7', '1/2', '3/4', '7/2', '5'] -> 7/2 * 3/4 / 1/2 * (5 - 3/7)
[295655] ['1/8', '3/8', '9/5', '2', '7/2'] -> 7/2 / (3/8 / 9/5 - 1/8 / 2)
[295656] ['1/4', '7/6', '4/3', '7/5', '6'] -> 6 / (4/3 - (1/4 + 7/6 / 7/5))
[295657] ['5/7', '3/4', '1', '5/2', '8/3'] -> 1 / (8/3 - 5/2 * 3/4 / 5/7)
[295658] ['2/7', '7/8', '8/7', '7/5', '9'] -> 9 / (7/8 / 7/5 - 2/7 / 8/7)
[295659] ['1/6', '7/8', '7/8', '7/8', '3'] -> (7/8 + 7/8 * 3) / (1/6 * 7/8)
[295660] ['1/4', '7/6', '4/3', '8/5', '6'] -> (1/4 + 6 / 8/5) / (4/3 - 7/6)
[295661] ['1/7', '2/5', '2/3', '4/5', '8'] -> (2/5 / 1/7 - 4/5) * 8 / 2/3
[295662] ['3/7', '1/2', '7/9', '6/7', '5'] -> 7/9 * 6/7 + 5 / (3/7 * 1/2)
[295663] ['4/9', '8/7', '7/3', '9/2', '8'] -> 7/3 * (8 + 9/2 * 4/9 * 8/7)
[295664] ['1/7', '2/5', '2/3', '5/6', '8'] -> 8 * (2/3 + 5/6 * 2/5 / 1/7)
[295665] ['1/7', '1/3', '5/8', '2', '5/2'] -> 2 / (1/7 * (1/3 + 5/8 / 5/2))
[295666] ['1/8', '3/8', '2', '7/3', '7/3'] -> (2 / (7/3 * (3/8 / 7/3)) - 1/8))
[295667] ['3/7', '5/8', '9/8', '8/5', '9'] -> 8/5 * (5/8 + 9/8) * (9 - 3/7)
[295668] ['2/7', '3/5', '1', '9/4', '7/2'] -> (1 + 7/2) / (2/7 * 3/5) - 9/4
[295669] ['7/9', '9/7', '9/4', '7/2', '7'] -> (7/9 + 7) * (9/7 + 9/4) - 7/2
[295670] ['1/7', '1/3', '5/8', '2', '8/3'] -> 2 * (1/3 + 8/3 * 5/8 / 1/7)
[295671] ['3/7', '1/2', '7/9', '8/9', '5'] -> (7/9 + 5 / 3/7) / 1/2 - 8/9
[295672] ['5/7', '3/4', '1', '8/3', '9/2'] -> (3/4 + 9/2) * 8/3 * (5/7 + 1)
[295673] ['1/9', '4/7', '4/5', '1', '7/3'] -> (1 + 7/3 * 4/7 / 4/5) / 1/9
[295674] ['1/6', '7/8', '7/8', '5/4', '3'] -> (3 * (7/8 + 7/8) - 5/4) / 1/6
[295675] ['1/4', '7/6', '7/5', '5/3', '6'] -> 6 / (7/6 / (7/5 * /3) - 1/4)
[295676] ['5/9', '4/7', '5/8', '7/2', '7'] -> 5/9 * 7 * (4/7 + 7/2 / 5/8)
[295677] ['7/9', '9/7', '9/4', '9/2', '7'] -> (9/4 + 9/2) * 7 * (9/7 - 7/9)
[295678] ['3/7', '1/2', '7/9', '8/7', '5'] -> 5 / (1/2 - 3/7 * 7/9 / 8/7)
[295679] ['5/7', '3/4', '1', '7/2', '7/2'] -> (7/2 + 5/7 * 7/2) / (1 - 3/4)
[295680] ['4/9', '8/7', '5/2', '9/2', '8'] -> (5/2 + 8) * 9/2 * 4/9 * 8/7
[295681] ['5/9', '4/7', '5/8', '9/2', '7'] -> 7 * (9/2 * 5/9 / 5/8 - 4/7)
[295682] ['1/4', '7/6', '7/5', '7/4', '6'] -> 7/4 / (1/4 * (7/5 - 7/6)) - 6
[295683] ['3/7', '1/2', '7/9', '7/6', '5'] -> 7/9 / 7/6 + 5 / (3/7 * 1/2)
[295684] ['2/7', '3/5', '1', '7/3', '8/3'] -> 8/3 / (7/3 * 2/7 / 3/5 - 1)
[295685] ['7/9', '9/7', '7/3', '7/2', '7'] -> 7/3 + (7/9 + 9/7) * (7/2 + 7)
[295686] ['1/8', '2/5', '2/5', '5/9', '2'] -> (2/5 + 2 / 2/5) * 5/9 / 1/8
[295687] ['1/7', '1/3', '2/3', '5/6', '2'] -> (2 + 2/3 / 1/7) / (1/3 * 5/6)
[295688] ['3/7', '5/8', '9/8', '7/2', '9'] -> 7/2 + 5/8 - 9/8 + 9 / 3/7
[295689] ['3/7', '1/2', '7/9', '9/7', '5'] -> (5 / 7/9 - 9/7) / (3/7 * 1/2)
[295690] ['5/9', '4/7', '2/3', '7/9', '7'] -> 2/3 * 7 / (5/9 / 4/7 - 7/9)
[295691] ['7/9', '9/7', '7/3', '9/2', '7'] -> 7 + 9/2 * (7/9 + 9/7 * 7/3)
[295692] ['5/7', '7/9', '7/9', '4/5', '1'] -> 5/7 * 7/9 / (4/5 - 7/9) - 1
[295693] ['1/7', '2/5', '2/3', '9/7', '8'] -> 8 * (9/7 / 2/5 - 1/7 / 2/3)
[295694] ['1/6', '7/8', '7/8', '5/3', '3'] -> (5/3 * 3 - 7/8 / 7/8) / 1/6
[295695] ['1/7', '1/3', '2/3', '7/8', '2'] -> (2 + 1/3 + 2/3) / (1/7 * 7/8)
[295696] ['5/7', '7/9', '7/9', '5/6', '1'] -> 7/9 * (5/7 + 1) / (5/6 - 7/9)
[295697] ['1/4', '7/6', '7/5', '8/3', '6'] -> 8/3 / (1/4 - 7/6 / 7/5 *
)[295698] ['1/7', '1/3', '2/3', '9/8', '2'] -> 9/8 * (1/3 + 2 / (1/7 * 2/3))
[295699] ['2/7', '7/8', '7/6', '3/2', '9'] -> 9 / (7/8 - 3/2 * 2/7 * 7/6)
[295700] ['5/7', '7/9', '7/9', '6/7', '1'] -> (7/9 + 1) * 6/7 / (7/9 - 5/7)
[295701] ['1/4', '7/6', '7/5', '7/2', '6'] -> (6 + 7/2 / 1/4) * 7/5 / 7/6
[295702] ['4/9', '7/6', '7/6', '5/4', '8'] -> 8 / (4/9 + 5/4 - 7/6 * 7/6)
[295703] ['3/7', '5/8', '8/7', '7/6', '9'] -> 9 / (8/7 - 3/7 * (5/8 + 7/6))
[295704] ['1/2', '8/7', '5/4', '5/3', '2'] -> 2 / (8/7 * (5/3 - 1/2) - 5/4)
[295705] ['1/9', '3/4', '4/5', '5/3', '8'] -> 8 + 4/5 * 5/3 / (1/9 * 3/4)
[295706] ['7/9', '9/7', '5/2', '9/2', '7'] -> (7/9 + 7) * (9/7 + 9/2 / 5/2)
[295707] ['1/4', '7/6', '7/5', '9/2', '6'] -> 6 * (1/4 + 9/2 * 7/6 / 7/5)
[295708] ['5/9', '4/7', '2/3', '7/8', '7'] -> (7 / (4/7 * 7/8) - 2/3) / 5/9
[295709] ['4/9', '7/6', '7/6', '7/5', '8'] -> 7/6 * 8 / (7/6 / 7/5 - 4/9)
[295710] ['3/7', '5/8', '8/7', '9/7', '9'] -> (9 + 8/7 / 3/7) * 9/7 / 5/8
[295711] ['1/7', '1/3', '2/3', '8/5', '2'] -> 8/5 * (1/3 + 2/3 + 2 / 1/7)
[295712] ['1/7', '2/5', '2/3', '9/4', '8'] -> 8 / (2/5 - 1/7 * 2/3) - 9/4
[295713] ['1/9', '4/7', '5/6', '1', '7/6'] -> (5/6 + 7/6 * (4/7 + 1)) / 1/9
[295714] ['5/9', '4/7', '2/3', '8/9', '7'] -> (4/7 + 8/9 / 2/3) * 7 / 5/9
[295715] ['3/7', '1/2', '7/9', '9/5', '5'] -> (3/7 + 5 * 9/5 / 7/9) / 1/2
[295716] ['1/8', '2/5', '2/5', '7/8', '2'] -> 2/5 / 2/5 + (7/8 + 2) / 1/8
[295717] ['2/7', '7/8', '7/6', '5/2', '9'] -> 9 * (7/6 * 5/2 - 2/7 * 7/8)
[295718] ['1/7', '1/3', '2/3', '9/5', '2'] -> 2/3 + 2 / (9/5 * 1/7 * 1/3)
[295719] ['1/9', '3/4', '4/5', '7/3', '8'] -> 8 * (1/9 * 3/4 + 7/3 / 4/5)
[295720] ['5/7', '7/9', '7/9', '1', '7/6'] -> (7/9 + 1) / (7/6 * (7/9 - 5/7))
[295721] ['1/6', '7/8', '8/9', '6/5', '3'] -> 3 / (1/6 / 6/5 + 7/8 - 8/9)
[295722] ['4/9', '7/6', '7/6', '9/4', '8'] -> 8 * ((7/6 + 7/6) / 4/9 - 9/4)
