[177301] ['4/7', '5/6', '5/3', '5/2', '6'] -> (5/2 + 6 / (4/7 / 5/3)) / 5/6
[177335] ['7/8', '7/8', '7/5', '7/4', '3'] -> 3 / (7/8 / 7/5 - 7/8 / 7/4)
[177336] ['4/7', '5/6', '7/4', '8/3', '6'] -> 6 / (4/7 * (5/6 + 8/3) - 7/4)
[177337] ['4/7', '3/4', '3/4', '5/2', '3'] -> 3 / ((3/4 + 3/4) / 4/7 - 5/2)
[177338] ['1/4', '5/7', '8/7', '8/3', '7'] -> 8/3 * (5/7 + 8/7 * (1/4 + 7))
[177339] ['3/4', '7/6', '5/4', '5/4', '5'] -> 5 / (5/4 / 3/4 - 7/6 * 5/4)
[177340] ['2/5', '5/6', '8/7', '9/2', '6'] -> 9/2 * 5/6 * 8/7 * (6 - 2/5)
[177341] ['4/7', '5/8', '9/8', '3/2', '8'] -> 8 / (4/7 - 5/8 / (9/8 + 3/2))
[177342] ['3/7', '4/7', '3/4', '8/7', '2'] -> 8/7 / (3/7 - 4/7 / 3/4 / 2)
[177343] ['4/7', '5/6', '7/4', '7/2', '6'] -> (7/2 * 6 - 4/7 * 7/4) / 5/6
[177344] ['1/9', '2/7', '1/3', '8/3', '9'] -> 2/7 * (1/3 + 8/3 + 9 / 1/9)
[177345] ['2/7', '4/3', '7/2', '7/2', '6'] -> 6 / (2/7 * (7/2 - 7/2 / 4/3))
[177346] ['3/8', '9/8', '9/8', '5/2', '7'] -> 7 / (9/8 - 5/2 * 3/8 / 9/8)
[177347] ['1/4', '5/7', '8/7', '7/2', '7'] -> 8/7 * 7/2 + 7 / (1/4 / 5/7)
[177348] ['5/7', '5/6', '8/9', '8/7', '9'] -> 9 * (8/9 / 5/6 + 8/7 / 5/7)
[177349] ['4/5', '9/8', '7/4', '7/3', '4'] -> 4 / 4/5 / (7/3 / 7/4 - 9/8)
[177350] ['4/7', '5/8', '9/8', '8/5', '8'] -> (5/8 + 9/8) * 8/5 * (4/7 + 8)
[177351] ['3/7', '4/7', '3/4', '6/5', '2'] -> 2 / ((3/7 + 4/7) / 6/5 - 3/4)
[177352] ['2/7', '4/3', '7/2', '9/2', '6'] -> 9/2 * (6 - (2/7 + 4/3 / 7/2))
[177353] ['3/4', '7/6', '5/4', '4/3', '5'] -> 5 / (5/4 * (7/6 - 3/4 * 4/3))
[177354] ['4/7', '5/6', '7/4', '9/2', '6'] -> 4/7 / ((6 - 9/2) / 7/4 - 5/6)
[177355] ['3/8', '9/8', '9/8', '9/2', '7'] -> (7 + 9/2 / (9/8 + 9/8)) / 3/8
[177356] ['4/5', '9/8', '7/4', '5/2', '4'] -> 4 * (9/8 + 7/4 + 5/2 / 4/5)
[177357] ['7/8', '7/8', '7/5', '5/2', '3'] -> 7/5 / (7/8 / 5/2 - 7/8 / 3)
[177358] ['4/7', '5/8', '9/8', '5/3', '8'] -> 5/3 / (5/8 - 4/7) - 8 / 9/8
[177359] ['3/4', '7/6', '5/4', '7/5', '5'] -> (5 + 3/4 / 5/4) / (7/5 - 7/6)
[177360] ['1/4', '5/7', '7/6', '7/6', '7'] -> (5/7 * 7 + 7/6 / 7/6) / 1/4
[177361] ['1/6', '6/7', '1', '9/4', '8/3'] -> 6/7 / (8/3 / (1/6 + 1) - 9/4)
[177362] ['2/7', '7/5', '7/5', '7/5', '6'] -> (7/5 + 7/5 + 7/5) * (6 - 2/7)
[177363] ['4/7', '5/8', '9/8', '9/5', '8'] -> 9/5 / 9/8 + 8 / (4/7 * 5/8)
[177364] ['2/3', '5/7', '5/4', '5/4', '2'] -> 2 / (5/4 - 5/4 * 2/3 / 5/7)
[177365] ['3/8', '9/8', '8/7', '5/4', '7'] -> 7 * 3/8 * 8/7 / (5/4 - 9/8)
[177366] ['4/5', '9/8', '9/5', '9/5', '4'] -> (4/5 + 4) / (9/5 - 9/5 / 9/8)
[177367] ['1/6', '6/7', '1', '9/4', '7/2'] -> 7/2 + (9/4 + 1 / 6/7) / 1/6
[177368] ['2/7', '7/5', '7/5', '8/5', '6'] -> 7/5 * (7/5 + 8/5) * (6 - 2/7)
[177369] ['1/9', '2/7', '3/8', '4/7', '9'] -> (4/7 / (1/9 * 2/7) - 9) / 3/8
[177370] ['5/7', '5/6', '8/9', '4/3', '9'] -> 9 * (5/6 / 5/7 + 4/3 / 8/9)
[177371] ['1/4', '5/7', '7/6', '9/7', '7'] -> (5/7 + 9/7) / (1/4 - 7/6 / 7)
[177372] ['4/7', '3/4', '7/9', '9/8', '3'] -> 3 / (9/8 / 7/9 - (4/7 + 3/4))
[177373] ['3/7', '4/7', '3/4', '2', '9/4'] -> 4/7 * 9/4 / (3/7 - 3/4 / 2)
[177374] ['1/6', '6/7', '1', '9/4', '9/2'] -> (1 - 9/4 + 9/2 / 6/7) / 1/6
[177375] ['3/4', '7/6', '9/7', '4/3', '5'] -> 5 / (4/3 - 9/7 * 3/4 * 7/6)
[177376] ['4/7', '5/6', '9/5', '8/3', '6'] -> 8/3 * (6 / 4/7 - 5/6 * 9/5)
[177377] ['7/8', '7/8', '3/2', '8/5', '3'] -> 3 / (8/5 * (3/2 - 7/8) - 7/8)
[177378] ['3/8', '9/8', '8/7', '3/2', '7'] -> 8/7 * 7 * (3/2 + 3/8 + 9/8)
[177379] ['2/5', '5/6', '6/5', '9/7', '6'] -> 2/5 * 6 / (6/5 / 9/7 - 5/6)
[177380] ['4/7', '5/8', '9/8', '9/2', '8'] -> (8 + 9/2 / (4/7 * 9/8)) / 5/8
[177381] ['1/6', '6/7', '1', '7/3', '8/3'] -> 6/7 * 7/3 + (1 + 8/3) / 1/6
[177382] ['5/7', '5/6', '8/9', '3/2', '9'] -> 8/9 * 9 / (3/2 - 5/6 / 5/7)
[177383] ['1/4', '5/7', '7/6', '3/2', '7'] -> (5/7 + 7) / (3/2 * 1/4 / 7/6)
[177384] ['4/7', '5/6', '9/5', '7/2', '6'] -> 7/2 * (6 + 9/5 * 4/7 * 5/6)
[177385] ['4/5', '9/8', '9/4', '7/3', '4'] -> 4 / (9/4 / (4/5 * 9/8) - 7/3)
[177386] ['3/4', '7/6', '9/7', '3/2', '5'] -> 5 * (3/4 / (9/7 - 7/6) - 3/2)
[177387] ['2/3', '5/7', '5/4', '9/5', '2'] -> 2 / 5/7 / (2/3 + 5/4 - 9/5)
[177388] ['2/7', '7/5', '7/5', '5/2', '6'] -> 7/5 / (5/2 / (2/7 * 6) - 7/5)
[177389] ['3/8', '9/8', '8/7', '5/3', '7'] -> 7 * (5/3 / 3/8 - 8/7 / 9/8)
[177390] ['4/5', '9/8', '9/4', '4', '9/2'] -> (4/5 + 4) * (9/2 + 9/8 / 9/4)
[177391] ['4/7', '3/4', '7/9', '5/4', '3'] -> 4/7 * (5/4 / (7/9 - 3/4) - 3)
[177392] ['1/4', '5/7', '7/6', '5/3', '7'] -> 7 / 1/4 / (5/3 / 5/7 - 7/6)
[177393] ['1/6', '6/7', '1', '5/2', '9/2'] -> 9/2 / 1/6 - 6/7 * (1 + 5/2)
[177394] ['2/5', '5/6', '5/4', '5/4', '6'] -> (5/4 + 6 / (2/5 / 5/4)) / 5/6
[177395] ['1/9', '2/7', '3/8', '5/6', '9'] -> 5/6 / (3/8 / (2/7 * 9) - 1/9)
[177396] ['3/8', '9/8', '8/7', '7/2', '7'] -> 7 * (7/2 + 9/8 - 8/7) - 3/8
[177397] ['4/5', '9/8', '7/3', '5/2', '4'] -> 9/8 * 5/2 * (7/3 * 4 - 4/5)
[177398] ['1/6', '6/7', '1', '8/3', '8/3'] -> (8/3 - 1 / 6/7) / (1/6 / 8/3)
[177399] ['3/4', '7/6', '9/7', '9/5', '5'] -> (9/7 + 9/5) * 5 / (3/4 / 7/6)
[177400] ['7/8', '7/8', '8/5', '7/4', '3'] -> 7/8 / (7/4 / 3 - 7/8 / 8/5)
[177401] ['3/7', '4/7', '7/9', '7/8', '2'] -> 3/7 / (4/7 * 2 - 7/8 / 7/9)
[177402] ['4/7', '5/6', '9/4', '8/3', '6'] -> 6 / (9/4 - 4/7 * (5/6 + 8/3))
[177403] ['1/4', '5/7', '7/6', '9/4', '7'] -> 5/7 / (9/4 / 7 - 1/4 * 7/6)
[177404] ['2/3', '5/7', '5/4', '2', '9/2'] -> 5/4 / (5/7 - 2/3) - 9/2 / 2
[177405] ['3/8', '9/8', '7/6', '5/4', '7'] -> 7 / 7/6 / (3/8 + 9/8 - 5/4)
[177406] ['1/9', '2/7', '3/8', '7/8', '9'] -> 3/8 - 7/8 / 1/9 + 9 / 2/7
[177407] ['7/8', '7/8', '8/5', '9/5', '3'] -> 3 / (9/5 / 8/5 - 7/8 / 7/8)
[177408] ['1/6', '6/7', '1', '8/3', '7/2'] -> 8/3 * (6/7 * 7/2 + 1 / 1/6)
[177409] ['3/7', '4/7', '7/9', '8/9', '2'] -> 2 / (3/7 / 4/7) / (8/9 - 7/9)
[177410] ['3/4', '7/6', '9/7', '9/4', '5'] -> 5 / (7/6 * (3/4 - 9/7 / 9/4))
[177411] ['5/7', '5/6', '8/9', '5/2', '9'] -> (5/2 * 9 - 5/6 / 5/7) / 8/9
[177412] ['2/7', '7/5', '3/2', '5/2', '6'] -> 3/2 * 5/2 * (6 + 2/7 * 7/5)
[177413] ['1/4', '5/7', '7/6', '7/3', '7'] -> 7/6 * (5/7 + 7/3) * (7 - 1/4)
[177414] ['3/8', '9/8', '7/6', '9/7', '7'] -> (7/6 + 3/8 + 9/8) * 9/7 * 7
[177415] ['1/9', '2/7', '3/8', '8/9', '9'] -> (9 + 3/8 * 8/9) / (1/9 / 2/7)
[177416] ['1/6', '6/7', '1', '8/3', '9/2'] -> 6/7 * 8/3 * (9/2 + 1 / 1/6)
[177417] ['4/7', '5/8', '7/6', '7/5', '8'] -> 8 / (7/5 - 7/6 * 4/7 / 5/8)
[177418] ['2/5', '5/6', '5/4', '8/3', '6'] -> 6 * (2/5 * 5/4 + 5/6 + 8/3)
[177419] ['3/7', '4/7', '7/9', '9/8', '2'] -> 3/7 / (4/7 - 2 + 9/8 / 7/9)
[177420] ['3/4', '7/6', '9/7', '7/3', '5'] -> 5 / (3/4 * 7/3) / (9/7 - 7/6)
[177421] ['4/5', '9/8', '5/2', '5/2', '4'] -> (4/5 + 5/2 * 4) / (9/8 / 5/2)
[177422] ['5/7', '5/6', '8/9', '7/2', '9'] -> 8/9 * 7/2 * 9 * 5/7 / 5/6
[177423] ['4/7', '5/6', '7/3', '5/2', '6'] -> 7/3 * 5/2 * 6 * 4/7 / 5/6
[177424] ['4/7', '5/8', '7/6', '3/2', '8'] -> 3/2 * (4/7 + 8) / (5/8 / 7/6)
[177425] ['1/4', '5/7', '6/5', '5/4', '7'] -> 5/7 / (1/4 / 6/5 - 5/4 / 7)
[177426] ['4/5', '9/8', '5/2', '7/2', '4'] -> (7/2 - 4/5) * 4 / (9/8 / 5/2)
[177427] ['4/7', '5/8', '7/6', '8/5', '8'] -> 8 / (5/8 * 8/5 - 4/7 * 7/6)
[177428] ['1/9', '2/7', '3/8', '5/4', '9'] -> (5/4 / (2/7 * 3/8) - 9) / 1/9
[177429] ['7/8', '7/8', '8/5', '3', '7/2'] -> (7/8 + 7/2) * 3 / (7/8 / 8/5)
[177430] ['5/7', '5/6', '9/8', '9/8', '9'] -> 9 / 5/6 / (9/8 / 5/7 - 9/8)
[177431] ['4/7', '5/8', '7/6', '5/3', '8'] -> (7/6 + 8) / (4/7 * 5/8) - 5/3
[177432] ['2/7', '7/5', '8/5', '8/3', '6'] -> 2/7 / (6 / (7/5 * 8/5) - 8/3)
[177433] ['3/8', '9/8', '7/6', '7/4', '7'] -> 7 / (7/6 * (7/4 - (3/8 + 9/8)))
[177434] ['4/5', '9/8', '8/3', '7/2', '4'] -> 8/3 / (4 - 7/2 / (4/5 * 9/8))
[177435] ['4/7', '5/6', '5/2', '8/3', '6'] -> 6 / ((5/2 - 5/6) / 4/7 - 8/3)
[177436] ['1/4', '5/7', '6/5', '8/5', '7'] -> 6/5 / (8/5 / 7 - 1/4 * 5/7)
[177437] ['2/7', '7/5', '5/3', '5/3', '6'] -> 7/5 * 5/3 * (2/7 + 5/3 * 6)
[177438] ['3/8', '9/8', '7/6', '9/5', '7'] -> 7 / 7/6 / (9/8 / 9/5 - 3/8)
[177439] ['1/6', '7/8', '7/8', '1', '7/5'] -> 1 / (1/6 * (7/8 - 7/8 / 7/5))
[177440] ['4/7', '3/4', '7/9', '8/3', '3'] -> 3 / (4/7 * 3/4) / (7/9 / 8/3)
[177441] ['1/4', '5/7', '6/5', '5/3', '7'] -> 5/7 / (5/3 / 7 - 1/4 / 6/5)
[177442] ['3/7', '4/7', '7/9', '3/2', '2'] -> 4/7 / 3/7 / (7/9 * 2 - 3/2)
[177443] ['3/4', '7/6', '4/3', '9/4', '5'] -> 9/4 * (5 / (7/6 - 3/4) - 4/3)
[177444] ['2/7', '7/5', '5/3', '7/4', '6'] -> 7/4 * (6 * 7/5 * 5/3 - 2/7)
[177445] ['4/7', '5/6', '8/3', '7/2', '6'] -> 4/7 * 6 * (7/2 + 5/6 + 8/3)
[177446] ['2/3', '5/7', '4/3', '7/5', '2'] -> 2 / (7/5 * 5/7 / 4/3 - 2/3)
[177447] ['1/6', '7/8', '7/8', '1', '3/2'] -> 1 / 1/6 / (7/8 + 7/8 - 3/2)
[177448] ['4/7', '3/4', '7/9', '3', '7/2'] -> 7/2 * 4/7 / 3 / (7/9 - 3/4)
[177449] ['5/7', '5/6', '9/8', '4/3', '9'] -> 9 * (5/6 / 5/7 + 9/8 * 4/3)
[177450] ['7/8', '7/8', '5/3', '7/3', '3'] -> 3 / (7/3 / 7/8 - (7/8 + 5/3))
[177451] ['3/8', '9/8', '6/5', '5/4', '7'] -> 7 / (3/8 - 9/8 + 5/4 / 6/5)
[177452] ['3/4', '7/6', '4/3', '7/3', '5'] -> 5 / (7/6 * (3/4 - 4/3 / 7/3))
[177453] ['2/7', '7/5', '5/3', '9/4', '6'] -> 5/3 * 9/4 * (6 + 2/7 * 7/5)
[177454] ['5/7', '5/6', '9/8', '7/5', '9'] -> 9 / (7/5 * (9/8 - 5/7 / 5/6))
[177455] ['4/7', '5/8', '7/6', '7/2', '8'] -> (7/2 + 8 / 4/7) / (5/8 * 7/6)
[177456] ['1/6', '7/8', '7/8', '1', '5/3'] -> (7/8 + 5/3 * (7/8 + 1)) / 1/6
[177457] ['3/8', '9/8', '6/5', '9/7', '7'] -> (6/5 + 9/8 / 3/8) * (7 - 9/7)
[177458] ['4/7', '3/4', '4/5', '6/7', '3'] -> 3 / (3/4 - 6/7 / (4/7 + 4/5))
[177459] ['2/7', '7/5', '5/3', '9/2', '6'] -> 9/2 * (6 - 5/3 * 2/7 * 7/5)
[177460] ['2/5', '5/6', '9/7', '9/5', '6'] -> 9/7 * ((9/5 + 6) / 2/5 - 5/6)
[177461] ['4/7', '6/7', '6/7', '6/7', '6'] -> 4/7 * 6 / (6/7 / 6/7 - 6/7)
[177462] ['4/5', '8/7', '8/7', '8/5', '4'] -> (8/7 + 4) * 8/5 / (8/7 - 4/5)
[177463] ['5/7', '5/6', '9/8', '5/3', '9'] -> 9 / (5/3 / 5/7 - (5/6 + 9/8))
[177464] ['4/7', '5/8', '6/5', '6/5', '8'] -> (6/5 / 6/5 + 8 / 4/7) / 5/8
[177465] ['1/4', '5/7', '6/5', '8/3', '7'] -> (7 - 1/4) / (5/7 / 8/3) - 6/5
[177466] ['4/5', '8/7', '8/7', '5/3', '4'] -> 8/7 * 4 / (4/5 * 5/3 - 8/7)
[177467] ['2/7', '7/5', '7/4', '9/4', '6'] -> 7/4 * 6 / (2/7 * 7/5) - 9/4
[177468] ['5/7', '5/6', '9/8', '7/4', '9'] -> 9 / (7/4 * 5/7 / 5/6 - 9/8)
[177469] ['3/8', '9/8', '6/5', '3/2', '7'] -> 6/5 * (3/2 / 9/8 + 7 / 3/8)
[177470] ['3/7', '4/7', '7/9', '2', '5/2'] -> 4/7 / 3/7 / (2 - 7/9 * 5/2)
[177471] ['2/3', '5/7', '4/3', '2', '7/3'] -> 4/3 * 2 / (7/3 * (5/7 - 2/3))
[177472] ['4/7', '5/8', '6/5', '5/4', '8'] -> (5/8 + 5/4) * (8 / 4/7 - 6/5)
[177473] ['1/6', '7/8', '7/8', '1', '5/2'] -> (1 / 7/8 + 5/2 / 7/8) / 1/6
[177474] ['4/7', '6/7', '6/7', '6/5', '6'] -> 4/7 * 6 / (6/7 - 6/7 / 6/5)
[177475] ['2/7', '7/5', '7/4', '7/3', '6'] -> 6 / (7/4 / (7/5 * 7/3) - 2/7)
[177476] ['5/7', '5/6', '9/8', '9/5', '9'] -> 9 / (5/7 * 9/5) / (9/8 - 5/6)
[177477] ['1/4', '5/7', '6/5', '7/2', '7'] -> (7 / 5/7 - 7/2) / 1/4 - 6/5
[177478] ['7/8', '7/8', '7/4', '7/3', '3'] -> 3 / (7/8 / 7/4 - 7/8 / 7/3)
[177479] ['4/5', '8/7', '8/7', '9/5', '4'] -> 8/7 * 9/5 * 4 / (8/7 - 4/5)
[177480] ['3/8', '9/8', '6/5', '5/3', '7'] -> 6/5 * ((9/8 + 7) / 3/8 - 5/3)
[177481] ['4/7', '3/4', '4/5', '6/5', '3'] -> 3 / (6/5 / (4/7 + 4/5) - 3/4)
[177482] ['1/9', '2/7', '3/8', '8/3', '9'] -> (9 - 1/9) / 2/7 - 8/3 / 3/8
[177483] ['3/7', '4/7', '7/9', '2', '9/2'] -> (9/2 + 2 / 4/7) / (3/7 * 7/9)
[177484] ['5/7', '5/6', '9/8', '9/4', '9'] -> 9/8 + 9/4 * (9 + 5/6 / 5/7)
[177485] ['4/7', '6/7', '6/7', '7/5', '6'] -> 6/7 / (4/7 + 6/7 - 7/5) - 6
[177486] ['2/5', '5/6', '9/7', '9/2', '6'] -> 9/7 * (6 / 2/5 - (5/6 - 9/2))
[177487] ['1/6', '7/8', '7/8', '1', '9/2'] -> (9/2 / 7/8 - 1 / 7/8) / 1/6
[177488] ['5/7', '5/6', '9/8', '7/3', '9'] -> 9 / (5/7 / 5/6 - 9/8 / 7/3)
[177489] ['4/7', '5/8', '6/5', '8/5', '8'] -> (8/5 + 8 / 5/8) / 4/7 - 6/5
[177490] ['4/7', '6/7', '6/7', '8/5', '6'] -> 6 / (4/7 - 6/7 + 6/7 / 8/5)
[177491] ['3/8', '9/8', '6/5', '9/4', '7'] -> (7 + 9/8 / 9/4) / (3/8 / 6/5)
[177492] ['4/5', '8/7', '8/7', '5/2', '4'] -> 4 * (8/7 + 5/2 * (4/5 + 8/7))
[177493] ['2/3', '5/7', '4/3', '2', '9/2'] -> 9/2 * (2/3 + (4/3 + 2) / 5/7)
[177494] ['3/7', '4/9', '5/6', '6/7', '1'] -> 3/7 / (5/6 / 4/9 - (6/7 + 1))
[177495] ['2/5', '5/6', '4/3', '7/5', '6'] -> 6 * (7/5 / 2/5 - (5/6 - 4/3))
[177496] ['5/7', '5/6', '9/8', '5/2', '9'] -> 9/8 * (5/2 * 9 - 5/6 / 5/7)
[177497] ['4/7', '5/8', '6/5', '5/3', '8'] -> 5/3 * (6/5 / (5/8 - 4/7) - 8)
[177498] ['4/7', '6/7', '6/7', '5/3', '6'] -> (6/7 + 6/7 * 5/3) / (4/7 / 6)
[177499] ['1/4', '5/7', '5/4', '5/3', '7'] -> (5/7 + 5/4 / 1/4) / (5/3 / 7)
[177500] ['7/8', '7/8', '9/5', '5/2', '3'] -> 3 / (5/2 * (9/5 - (7/8 + 7/8)))
[177501] ['4/5', '8/7', '8/7', '4', '9/2'] -> 8/7 / 4/5 + 4 * (8/7 + 9/2)
[177502] ['3/4', '7/6', '7/5', '5/2', '5'] -> 5 / 5/2 / (7/6 / 7/5 - 3/4)
[177503] ['5/7', '5/6', '9/8', '8/3', '9'] -> 9 / (8/3 - (9/8 + 5/6 / 5/7))
[177504] ['1/9', '2/7', '2/5', '4/9', '9'] -> 1/9 / 2/7 + (4/9 + 9) / 2/5
[177505] ['4/7', '3/4', '4/5', '8/5', '3'] -> 3 / (4/5 / (4/7 * 8/5) - 3/4)
[177506] ['4/7', '6/7', '6/7', '9/4', '6'] -> 6 * (9/4 + 6/7 / (4/7 * 6/7))
[177507] ['2/3', '5/7', '7/5', '8/5', '2'] -> 8/5 / (2 - 7/5 * (2/3 + 5/7))
[177508] ['4/7', '5/8', '6/5', '7/4', '8'] -> (7/4 + 8 / 4/7) / 5/8 - 6/5
[177509] ['5/7', '5/6', '9/8', '7/2', '9'] -> 9 * 5/7 / 5/6 / (9/8 / 7/2)
[177510] ['2/7', '7/5', '9/5', '8/3', '6'] -> 2/7 + 6 * (8/3 + 9/5 / 7/5)
[177511] ['3/7', '4/7', '4/5', '9/8', '2'] -> 3/7 / (4/5 * (2 - 4/7) - 9/8)
[177512] ['3/8', '9/8', '6/5', '9/2', '7'] -> 9/2 * 7 / (3/8 + 9/8 / 6/5)
[177513] ['4/5', '8/7', '7/6', '5/4', '4'] -> 4 / (7/6 * (8/7 - 4/5 * 5/4))
[177514] ['2/5', '5/6', '7/5', '7/4', '6'] -> 6 / (7/4 - 5/6 * (2/5 + 7/5))
[177515] ['3/7', '4/9', '5/6', '1', '8/7'] -> 8/7 / ((3/7 + 4/9) / 5/6 - 1)
[177516] ['1/6', '7/8', '8/9', '1', '9/7'] -> 1 / (8/9 - (1/6 + 7/8 / 9/7))
[177517] ['3/7', '4/7', '4/5', '7/6', '2'] -> 2 / ((3/7 + 4/7) / 4/5 - 7/6)
[177518] ['3/4', '7/6', '7/5', '9/2', '5'] -> 5 * (9/2 / 3/4 - 7/5 / 7/6)
[177519] ['1/4', '5/7', '5/4', '8/3', '7'] -> 8/3 * (1/4 + 7 + 5/4 / 5/7)
[177520] ['3/8', '9/8', '5/4', '5/4', '7'] -> (7 + 5/4 / 5/4) / (3/8 / 9/8)
[177521] ['4/5', '8/7', '7/6', '9/7', '4'] -> 4 / 7/6 / (8/7 / 4/5 - 9/7)
[177522] ['5/7', '5/6', '8/7', '8/7', '9'] -> (8/7 + 8/7) * 9 / (5/7 / 5/6)
[177523] ['3/7', '4/9', '5/6', '1', '6/5'] -> 1 / (3/7 + 4/9 - 5/6) - 6/5
[177524] ['2/3', '5/7', '7/5', '2', '9/4'] -> 2 / (2/3 / 5/7 + 7/5 - 9/4)
[177525] ['2/7', '7/5', '9/4', '9/4', '6'] -> 7/5 * (6 / 2/7 - 9/4) - 9/4
[177526] ['5/7', '5/6', '8/7', '7/6', '9'] -> 8/7 * 9 * (7/6 + 5/6 / 5/7)
[177527] ['1/9', '2/7', '2/5', '3/5', '9'] -> 2/7 * ((2/5 + 9) / 1/9 - 3/5)
[177528] ['3/4', '7/6', '3/2', '8/5', '5'] -> 5 * (7/6 + 3/2 + 8/5 / 3/4)
[177529] ['7/8', '7/8', '9/4', '8/3', '3'] -> 9/4 * 8/3 * (3 + 7/8 / 7/8)
[177530] ['4/7', '3/4', '4/5', '9/4', '3'] -> 4/7 * (9/4 / (4/5 - 3/4) - 3)
[177531] ['4/7', '6/7', '7/8', '7/6', '6'] -> (4/7 + 6 / 7/8) / (7/6 - 6/7)
[177532] ['3/7', '4/7', '4/5', '4/3', '2'] -> 2 / (4/3 - (3/7 + 4/7) / 4/5)
[177533] ['4/5', '8/7', '7/6', '3/2', '4'] -> 4 / (7/6 / (4/5 / 8/7) - 3/2)
[177534] ['2/7', '7/5', '9/4', '7/3', '6'] -> 9/4 * 7/3 * (2/7 + 6 / 7/5)
[177535] ['4/7', '6/7', '7/8', '6/5', '6'] -> 6 / (6/5 * (7/8 - 4/7 / 6/7))
[177536] ['3/4', '7/6', '3/2', '9/5', '5'] -> (3/2 + 7/6 * 9/5) / (3/4 / 5)
