[78797] ['1/8', '2/9', '5/6', '8/7', '4'] -> (4 / ((5/6 / 8/7) - (1/8 / 2/9)))
[78848] ['1/9', '3/7', '3/7', '8/7', '7'] -> ((3/7 + ((7 * 3/7) / 1/9)) / 8/7)
[78849] ['1/8', '1/7', '2/9', '2/7', '4'] -> ((4 - 1/7) / (2/7 * (1/8 / 2/9)))
[78850] ['1/9', '7/9', '7/9', '7/8', '6'] -> (7/9 / ((7/9 / 6) - (1/9 * 7/8)))
[78851] ['1/6', '8/9', '8/7', '9/4', '9'] -> (8/7 * (9 + ((9/4 * 8/9) / 1/6)))
[78852] ['1/7', '5/9', '4/5', '5/3', '5'] -> (((5 + (5/3 / 1/7)) * 4/5) / 5/9)
[78853] ['3/7', '4/9', '4/9', '5/6', '3'] -> (4/9 / (3 - ((4/9 + 5/6) / 3/7)))
[78854] ['1/5', '5/6', '8/7', '5/2', '5'] -> (((5 + (5/2 / 1/5)) * 8/7) / 5/6)
[78855] ['1/5', '4/9', '9/7', '7/2', '8'] -> ((4/9 / 1/5) + ((8 * 7/2) / 9/7))
[78856] ['1/9', '5/7', '4/5', '6/5', '5'] -> ((4/5 / ((5/7 / 5) - 1/9)) - 6/5)
[78857] ['1/8', '1/7', '2/9', '1/3', '4'] -> (1/3 / ((2/9 * 4) - (1/8 / 1/7)))
[78858] ['1/3', '1/3', '7/9', '2', '7/3'] -> ((1/3 + 7/3) / (7/9 - (1/3 * 2)))
[78859] ['1/5', '5/6', '8/7', '8/3', '5'] -> (8/7 * (5 + (8/3 / (1/5 * 5/6))))
[78860] ['1/9', '7/9', '7/9', '9/8', '6'] -> (6 / (9/8 - (7/9 / (1/9 + 7/9))))
[78861] ['1/5', '5/6', '8/7', '7/2', '5'] -> ((8/7 * 7/2) / ((1/5 * 5) - 5/6))
[78862] ['1/9', '3/7', '3/7', '5/4', '7'] -> (((3/7 + (3/7 / 1/9)) * 7) / 5/4)
[78863] ['1/9', '7/9', '7/9', '8/7', '6'] -> (7/9 / ((7/9 / 6) - (1/9 / 8/7)))
[78864] ['1/8', '1/7', '2/9', '2/5', '4'] -> ((4 / (1/8 + 1/7)) / (2/9 + 2/5))
[78865] ['2/7', '2/5', '3/7', '2/3', '5'] -> ((5 + (2/7 / 2/5)) / (2/3 - 3/7))
[78866] ['1/6', '8/9', '8/7', '9/2', '9'] -> ((((8/9 * 9) - 9/2) * 8/7) / 1/6)
[78867] ['1/8', '2/9', '6/7', '9/7', '4'] -> ((((4 / 1/8) - 6/7) / 9/7) - 2/9)
[78868] ['1/5', '5/6', '8/7', '9/2', '5'] -> ((((9/2 / 1/5) - 5) * 8/7) / 5/6)
[78869] ['1/3', '1/3', '4/5', '4/5', '2'] -> ((4/5 * 2) / (1/3 - (1/3 * 4/5)))
[78870] ['2/5', '8/5', '9/4', '9/4', '4'] -> ((4 * (9/4 + (8/5 + 9/4))) - 2/5)
[78871] ['1/9', '5/7', '4/5', '4/3', '5'] -> ((5 - (4/3 / (5/7 * 4/5))) / 1/9)
[78872] ['1/9', '3/7', '3/7', '7/5', '7'] -> ((3/7 + (3/7 / 1/9)) * (7 - 7/5))
[78873] ['1/8', '1/7', '2/9', '3/7', '4'] -> ((3/7 + (4 * (1/7 / 2/9))) / 1/8)
[78874] ['1/9', '7/9', '7/9', '6/5', '6'] -> (6/5 * (6 + ((7/9 + 7/9) / 1/9)))
[78875] ['3/7', '4/9', '4/9', '8/7', '3'] -> ((3/7 + 3) / (8/7 - (4/9 / 4/9)))
[78876] ['4/7', '1', '7/4', '8/3', '7/2'] -> ((4/7 * 7/2) / ((1 + 7/4) - 8/3))
[78877] ['1/6', '8/9', '7/6', '6/5', '9'] -> ((7/6 + (1/6 + 8/9)) * (6/5 * 9))
[78878] ['2/7', '2/5', '3/7', '3/4', '5'] -> ((2/5 * 5) / (3/4 - (2/7 / 3/7)))
[78879] ['1/9', '3/7', '3/7', '3/2', '7'] -> (3/2 * (7 + (3/7 / (1/9 * 3/7))))
[78880] ['3/7', '4/9', '4/9', '7/6', '3'] -> ((4/9 * 3) / ((3/7 * 7/6) - 4/9))
[78881] ['4/7', '1', '7/4', '8/3', '9/2'] -> ((1 + (4/7 * 7/4)) * (8/3 * 9/2))
[78882] ['1/9', '7/9', '7/9', '9/7', '6'] -> (6 + (((7/9 + 7/9) * 9/7) / 1/9))
[78883] ['1/6', '8/9', '7/6', '9/7', '9'] -> (9/7 * (1/6 + (9 * (8/9 + 7/6))))
[78884] ['1/7', '5/9', '4/5', '8/3', '5'] -> (8/3 / ((4/5 * 5) - (5/9 / 1/7)))
[78885] ['1/9', '7/9', '7/9', '4/3', '6'] -> (4/3 / (((7/9 / 7/9) / 6) - 1/9))
[78886] ['2/5', '8/5', '4', '9/2', '9/2'] -> ((4 - (2/5 / 8/5)) + (9/2 * 9/2))
[78887] ['2/7', '2/5', '3/7', '4/5', '5'] -> ((2/7 + ((5 * 4/5) / 2/5)) / 3/7)
[78888] ['1/7', '5/9', '4/5', '7/2', '5'] -> ((7/2 - 4/5) * (5 + (5/9 / 1/7)))
[78889] ['1/6', '8/9', '7/6', '7/5', '9'] -> ((9 / (7/6 - 8/9)) - (7/5 / 1/6))
[78890] ['1/3', '1/3', '4/5', '7/6', '2'] -> (2 / (((1/3 / 1/3) / 4/5) - 7/6))
[78891] ['2/5', '5/3', '5/3', '9/5', '4'] -> (9/5 * ((5/3 + 5/3) + (4 / 2/5)))
[78892] ['1/9', '7/9', '7/9', '8/5', '6'] -> (8/5 * (6 + (7/9 / (1/9 * 7/9))))
[78893] ['1/8', '2/7', '5/8', '5/6', '3'] -> (3 + ((5/8 / 5/6) / (1/8 * 2/7)))
[78894] ['1/9', '7/9', '7/9', '7/4', '6'] -> ((7/9 / 7/4) / ((7/9 / 6) - 1/9))
[78895] ['1/6', '8/9', '7/6', '7/2', '9'] -> (8/9 * (9 + (7/2 / (1/6 * 7/6))))
[78896] ['1/9', '3/7', '3/7', '7/2', '7'] -> (7/2 * ((3/7 / 1/9) + (3/7 * 7)))
[78897] ['2/5', '5/3', '7/4', '7/4', '4'] -> (5/3 * (2/5 + (4 * (7/4 + 7/4))))
[78898] ['1/5', '5/6', '7/6', '7/2', '5'] -> ((5 + (7/2 / (1/5 * 7/6))) / 5/6)
[78899] ['1/3', '1/3', '4/5', '7/5', '2'] -> (4/5 / ((7/5 / 2) - (1/3 + 1/3)))
[78900] ['1/7', '5/9', '5/6', '8/9', '5'] -> (5 / (1/7 * (5/6 + (5/9 / 8/9))))
[78901] ['1/8', '2/7', '5/8', '6/5', '3'] -> (3 + ((5/8 * 6/5) / (1/8 * 2/7)))
[78902] ['2/5', '5/3', '7/4', '7/3', '4'] -> (7/3 + ((5/3 + (7/4 * 4)) / 2/5))
[78903] ['1/9', '3/7', '4/9', '4/9', '7'] -> ((4/9 + 4/9) * ((7 * 3/7) / 1/9))
[78904] ['1/8', '1/7', '2/9', '5/6', '4'] -> (((5/6 / 1/7) - (1/8 * 4)) / 2/9)
[78905] ['1/9', '7/9', '4/5', '4/5', '6'] -> ((6 * (1/9 * 4/5)) / (4/5 - 7/9))
[78906] ['1/7', '5/9', '5/6', '9/8', '5'] -> (5 / (1/7 * (5/6 + (5/9 * 9/8))))
[78907] ['1/5', '4/9', '3/2', '3/2', '8'] -> ((8 / 4/9) - (3/2 - (3/2 / 1/5)))
[78908] ['5/9', '8/7', '3/2', '7/3', '4'] -> (((4 + (8/7 * 3/2)) * 7/3) / 5/9)
[78909] ['1/9', '3/7', '4/9', '1/2', '7'] -> ((4/9 / 1/2) * ((7 * 3/7) / 1/9))
[78910] ['1/3', '1/3', '4/5', '9/5', '2'] -> (4/5 / (1/3 - ((1/3 * 9/5) / 2)))
[78911] ['2/7', '2/5', '3/7', '6/5', '5'] -> (((6/5 + (2/5 * 3/7)) * 5) / 2/7)
[78912] ['1/8', '2/7', '5/8', '5/4', '3'] -> ((1/8 + ((5/4 + 3) / 2/7)) / 5/8)
[78913] ['5/9', '8/7', '3/2', '5/2', '4'] -> (3/2 / (4 - (5/2 / (5/9 * 8/7))))
[78914] ['1/8', '1/7', '2/9', '7/8', '4'] -> ((4 / 2/9) - (1/8 - (7/8 / 1/7)))
[78915] ['1/5', '4/9', '3/2', '8/5', '8'] -> ((8 + (8/5 / 1/5)) / (4/9 * 3/2))
[78916] ['1/6', '8/9', '6/5', '3/2', '9'] -> ((6/5 * 9) * (3/2 - (1/6 - 8/9)))
[78917] ['1/9', '5/7', '4/5', '9/2', '5'] -> (4/5 + (9/2 * (5 + (1/9 / 5/7))))
[78918] ['2/5', '5/3', '7/4', '4', '9/2'] -> (4 / (2/5 - (7/4 / (5/3 * 9/2))))
[78919] ['2/7', '2/5', '3/7', '5/4', '5'] -> ((2/7 + (5 / (2/5 * 5/4))) / 3/7)
[78920] ['5/9', '8/7', '3/2', '7/2', '4'] -> (((8/7 + (4 / 3/2)) * 7/2) / 5/9)
[78921] ['1/8', '2/9', '7/8', '6/5', '4'] -> (4 / ((7/8 / 6/5) - (1/8 / 2/9)))
[78922] ['1/5', '4/9', '3/2', '5/3', '8'] -> (8 / ((4/9 * 3/2) - (1/5 * 5/3)))
[78923] ['4/7', '1', '9/5', '9/4', '7/3'] -> ((1 / ((4/7 + 9/5) - 7/3)) - 9/4)
[78924] ['1/6', '8/9', '6/5', '8/5', '9'] -> ((((8/5 / 6/5) - 8/9) * 9) / 1/6)
[78925] ['1/8', '1/7', '2/9', '8/9', '4'] -> (((4 - 2/9) / 1/8) - (8/9 / 1/7))
[78926] ['1/7', '5/9', '5/6', '9/7', '5'] -> ((1/7 + 5) / ((5/6 / 5/9) - 9/7))
[78927] ['3/7', '4/9', '4/9', '8/3', '3'] -> (((4/9 + 8/3) * (3/7 + 3)) / 4/9)
[78928] ['1/5', '4/9', '3/2', '7/4', '8'] -> (((8 * 7/4) / 4/9) - (3/2 / 1/5))
[78929] ['1/8', '2/7', '5/8', '7/5', '3'] -> (3 / ((7/5 * (2/7 * 5/8)) - 1/8))
[78930] ['1/9', '3/7', '4/9', '2/3', '7'] -> (((1/9 - 4/9) + (7 / 3/7)) / 2/3)
[78931] ['1/3', '1/3', '4/5', '2', '7/2'] -> (((7/2 / 1/3) - (2 / 4/5)) / 1/3)
[78932] ['2/5', '5/3', '9/5', '7/3', '4'] -> (4 * (7/3 + (5/3 * (2/5 + 9/5))))
[78933] ['3/7', '4/9', '4/9', '3', '7/2'] -> ((4/9 * 3) / (7/2 * (4/9 - 3/7)))
[78934] ['1/5', '5/6', '6/5', '8/3', '5'] -> ((5 / 5/6) / ((6/5 / 8/3) - 1/5))
[78935] ['1/9', '7/9', '4/5', '7/6', '6'] -> (6 / (7/6 - (7/9 + (1/9 / 4/5))))
[78936] ['3/7', '4/9', '4/9', '3', '9/2'] -> (9/2 * (3 + (4/9 / (3/7 * 4/9))))
[78937] ['1/6', '8/9', '6/5', '9/4', '9'] -> ((8/9 * 6/5) * (9 + (9/4 / 1/6)))
[78938] ['1/8', '2/9', '7/8', '7/5', '4'] -> (4 / (2/9 * (1/8 + (7/8 / 7/5))))
[78939] ['1/5', '5/6', '6/5', '9/2', '5'] -> ((5/6 * 9/2) * (5 + (1/5 + 6/5)))
[78940] ['2/5', '5/3', '9/4', '9/4', '4'] -> ((9/4 * (5/3 + (4 / 2/5))) - 9/4)
[78941] ['1/9', '7/9', '4/5', '5/4', '6'] -> ((6 * (1/9 / 5/4)) / (4/5 - 7/9))
[78942] ['1/6', '8/9', '6/5', '5/2', '9'] -> (8/9 * (9 + ((5/2 * 6/5) / 1/6)))
[78943] ['1/9', '3/7', '4/9', '5/6', '7'] -> ((3/7 * 4/9) / ((5/6 / 7) - 1/9))
[78944] ['2/7', '2/5', '3/7', '9/4', '5'] -> (2/7 / (3/7 - (9/4 / (2/5 + 5))))
[78945] ['1/9', '5/7', '5/6', '8/7', '5'] -> (8/7 / (5/7 - (5 * (1/9 / 5/6))))
[78946] ['2/5', '5/3', '7/3', '7/3', '4'] -> (((4 * 7/3) / 2/5) - (5/3 - 7/3))
[78947] ['1/9', '3/7', '4/9', '7/8', '7'] -> (7 / (7/8 - ((1/9 / 3/7) / 4/9)))
[78948] ['1/9', '7/9', '4/5', '7/5', '6'] -> ((4/5 / 7/5) * ((6 * 7/9) / 1/9))
[78949] ['1/7', '5/9', '5/6', '9/5', '5'] -> ((5/9 + (5 / (1/7 * 9/5))) / 5/6)
[78950] ['1/5', '5/6', '5/4', '4/3', '5'] -> ((5/4 + (5 / (1/5 * 4/3))) / 5/6)
[78951] ['1/8', '1/7', '2/9', '4/3', '4'] -> ((4/3 / (1/7 * 4)) / (2/9 - 1/8))
[78952] ['1/9', '5/7', '5/6', '7/6', '5'] -> ((5 - (7/6 + (5/6 / 5/7))) / 1/9)
[78953] ['4/7', '1', '9/5', '7/3', '8/3'] -> (8/3 / ((1 / 7/3) - (4/7 / 9/5)))
[78954] ['2/7', '2/5', '3/7', '5/2', '5'] -> (((2/7 - 5/2) + (5 / 2/5)) / 3/7)
[78955] ['1/8', '2/7', '5/8', '3', '7/2'] -> ((5/8 / (1/8 * 2/7)) + (3 + 7/2))
[78956] ['1/9', '3/7', '4/9', '8/9', '7'] -> (8/9 / ((4/9 / (3/7 * 7)) - 1/9))
[78957] ['2/5', '5/3', '5/2', '7/2', '4'] -> (4 / (5/2 - (7/2 * (2/5 * 5/3))))
[78958] ['1/5', '5/6', '5/4', '7/5', '5'] -> (5 / ((5/4 / (7/5 - 1/5)) - 5/6))
[78959] ['1/8', '2/9', '7/8', '9/4', '4'] -> (((7/8 * 4) - (2/9 * 9/4)) / 1/8)
[78960] ['1/8', '1/7', '2/9', '3/2', '4'] -> (3/2 / (4 - ((1/8 / 1/7) / 2/9)))
[78961] ['1/9', '7/9', '4/5', '5/3', '6'] -> (4/5 / (1/9 - ((7/9 / 5/3) / 6)))
[78962] ['1/8', '2/9', '7/8', '5/2', '4'] -> ((7/8 + 5/2) * ((4 * 2/9) / 1/8))
[78963] ['1/9', '5/7', '5/6', '4/3', '5'] -> (4/3 / (5/6 - (5 * (1/9 / 5/7))))
[78964] ['1/9', '3/7', '4/9', '8/7', '7'] -> (((8/7 + 7) / (4/9 - 1/9)) - 3/7)
[78965] ['2/5', '5/3', '7/2', '4', '9/2'] -> (((9/2 - (7/2 / 5/3)) * 4) / 2/5)
[78966] ['1/5', '5/6', '5/4', '7/4', '5'] -> ((5 + ((5/4 + 7/4) / 1/5)) / 5/6)
[78967] ['1/3', '1/3', '5/6', '2', '5/2'] -> ((((5/6 + 5/2) / 1/3) - 2) / 1/3)
[78968] ['1/6', '8/9', '5/4', '3/2', '9'] -> (9 / ((3/2 * (5/4 - 8/9)) - 1/6))
[78969] ['1/9', '7/9', '4/5', '9/5', '6'] -> ((4/5 / 9/5) / ((7/9 / 6) - 1/9))
[78970] ['1/8', '2/7', '2/3', '8/9', '3'] -> (3 + ((2/3 / 8/9) / (1/8 * 2/7)))
[78971] ['1/5', '4/9', '5/3', '5/2', '8'] -> (8 / ((4/9 / (5/2 - 5/3)) - 1/5))
[78972] ['1/9', '3/7', '4/9', '7/6', '7'] -> (7/6 * ((7 / (4/9 - 1/9)) - 3/7))
[78973] ['1/7', '5/9', '6/7', '6/7', '5'] -> ((((6/7 / 5/9) - 6/7) * 5) / 1/7)
[78974] ['1/6', '8/9', '5/4', '5/3', '9'] -> ((((5/3 / 5/4) - 8/9) * 9) / 1/6)
[78975] ['1/9', '5/7', '5/6', '3/2', '5'] -> (((5/7 * (5/6 + 5)) - 3/2) / 1/9)
[78976] ['5/9', '8/7', '5/3', '7/4', '4'] -> ((5/3 * 7/4) * ((4 * 8/7) / 5/9))
[78977] ['2/7', '2/5', '4/9', '3/5', '5'] -> ((5 + (2/5 / 2/7)) / (4/9 * 3/5))
[78978] ['1/5', '5/6', '9/7', '9/7', '5'] -> ((5 - (9/7 / 9/7)) / (1/5 * 5/6))
[78979] ['1/9', '7/9', '4/5', '7/3', '6'] -> (6 * (1/9 + ((7/9 + 7/3) / 4/5)))
[78980] ['1/7', '5/9', '6/7', '8/9', '5'] -> ((6/7 * 8/9) / (1/7 - (5/9 / 5)))
[78981] ['1/5', '4/9', '5/3', '9/2', '8'] -> ((5/3 * 8) * ((4/9 * 9/2) - 1/5))
[78982] ['1/3', '1/3', '6/7', '5/4', '2'] -> (2 / (5/4 - ((1/3 / 1/3) / 6/7)))
[78983] ['1/6', '8/9', '5/4', '7/3', '9'] -> ((7/3 / 1/6) + (9 * (8/9 * 5/4)))
[78984] ['1/5', '5/6', '9/7', '4/3', '5'] -> (4/3 / (5/6 - (5 * (1/5 / 9/7))))
[78985] ['2/5', '7/4', '7/4', '5/2', '4'] -> (((4 * 5/2) / 2/5) - (7/4 / 7/4))
[78986] ['1/8', '1/7', '2/9', '7/2', '4'] -> (((7/2 * 2/9) / 1/8) * (4 - 1/7))
[78987] ['5/9', '8/7', '5/3', '9/4', '4'] -> ((8/7 * 4) * (9/4 + (5/3 / 5/9)))
[78988] ['4/7', '1', '9/5', '8/3', '7/2'] -> (8/3 / ((7/2 * (4/7 / 9/5)) - 1))
[78989] ['1/8', '2/7', '2/3', '3/2', '3'] -> (3 * (1/8 + (3/2 / (2/7 * 2/3))))
[78990] ['1/9', '3/7', '4/9', '3/2', '7'] -> (3/2 * ((1/9 - 4/9) + (7 / 3/7)))
[78991] ['1/7', '5/9', '6/7', '9/8', '5'] -> ((6/7 / 9/8) / (1/7 - (5/9 / 5)))
[78992] ['1/9', '5/7', '5/6', '7/4', '5'] -> (((5 + (5/7 / 1/9)) * 7/4) / 5/6)
[78993] ['5/9', '8/7', '5/3', '7/3', '4'] -> (4 * ((7/3 * (8/7 + 5/3)) - 5/9))
[78994] ['1/6', '8/9', '5/4', '8/3', '9'] -> (((9 / 1/6) - 8/3) / (8/9 + 5/4))
[78995] ['1/8', '1/7', '2/9', '4', '9/2'] -> ((((9/2 * 2/9) / 1/7) - 4) / 1/8)
[78996] ['1/3', '1/3', '6/7', '7/5', '2'] -> (7/5 * ((2 / (1/3 * 1/3)) - 6/7))
[78997] ['2/5', '7/4', '7/4', '4', '9/2'] -> (4 + ((9/2 + (7/4 + 7/4)) / 2/5))
[78998] ['1/7', '5/9', '6/7', '8/7', '5'] -> (8/7 / (1/7 - ((5/9 * 6/7) / 5)))
[78999] ['1/5', '4/9', '7/4', '9/4', '8'] -> (8 * ((4/9 / 1/5) + (7/4 / 9/4)))
[79000] ['1/3', '1/3', '6/7', '3/2', '2'] -> ((2 / 3/2) / ((1/3 / 6/7) - 1/3))
[79001] ['1/9', '7/9', '5/6', '6/7', '6'] -> ((7/9 * 6/7) / ((5/6 / 6) - 1/9))
[79002] ['1/6', '8/9', '9/7', '9/7', '9'] -> (9/7 / ((1/6 * 9) - (9/7 / 8/9)))
[79003] ['1/5', '4/9', '7/4', '7/3', '8'] -> (7/3 + (((7/4 + 8) * 4/9) / 1/5))
[79004] ['1/9', '3/7', '4/9', '7/4', '7'] -> (((7 - (4/9 * 7/4)) * 3/7) / 1/9)
[79005] ['4/7', '1', '9/5', '7/2', '9/2'] -> ((1 + 9/5) * (9/2 + (4/7 + 7/2)))
[79006] ['1/9', '5/7', '5/6', '9/4', '5'] -> ((5/6 / ((5/7 / 5) - 1/9)) - 9/4)
[79007] ['5/9', '8/7', '5/3', '7/2', '4'] -> (((4 + (8/7 * 7/2)) * 5/3) / 5/9)
[79008] ['1/8', '1/7', '1/4', '3/8', '4'] -> ((3/8 / (1/8 * (1/4 - 1/7))) - 4)
[79009] ['1/8', '2/7', '2/3', '8/3', '3'] -> (((3 / (2/7 - 1/8)) - 8/3) / 2/3)
[79010] ['1/6', '8/9', '9/7', '4/3', '9'] -> (8/9 / (1/6 - (4/3 / (9/7 + 9))))
[79011] ['1/7', '5/9', '6/7', '6/5', '5'] -> (6/5 / ((6/7 / (5 - 5/9)) - 1/7))
[79012] ['1/5', '5/6', '9/7', '7/4', '5'] -> (((5 + (9/7 / 1/5)) * 7/4) / 5/6)
[79013] ['1/8', '2/9', '9/8', '7/6', '4'] -> (4 / ((7/6 * (2/9 * 9/8)) - 1/8))
[79014] ['1/7', '5/9', '6/7', '5/4', '5'] -> (6/7 / ((5 * (1/7 / 5/9)) - 5/4))
[79015] ['1/9', '5/7', '5/6', '9/2', '5'] -> (((5 * 9/2) / 5/7) - (5/6 / 1/9))
[79016] ['3/7', '4/9', '1/2', '9/4', '3'] -> (((9/4 / 3/7) + (3 / 4/9)) / 1/2)
[79017] ['1/3', '1/3', '6/7', '2', '8/3'] -> ((8/3 / 2) / ((1/3 / 6/7) - 1/3))
[79018] ['1/9', '3/7', '4/9', '9/2', '7'] -> ((4/9 - (1/9 - 3/7)) * (9/2 * 7))
[79019] ['1/5', '4/9', '9/5', '9/5', '8'] -> ((9/5 * 8) / ((4/9 * 9/5) - 1/5))
[79020] ['1/8', '2/9', '9/8', '9/7', '4'] -> ((4 / 2/9) / ((9/8 / 9/7) - 1/8))
[79021] ['1/8', '1/7', '1/4', '2/3', '4'] -> (4 / (1/7 * (2/3 + (1/8 / 1/4))))
[79022] ['1/3', '1/3', '6/7', '2', '7/2'] -> (((2 + (1/3 * 6/7)) * 7/2) / 1/3)
[79023] ['4/7', '1', '9/4', '9/4', '8/3'] -> ((9/4 * 8/3) * (9/4 + (1 / 4/7)))
[79024] ['1/8', '2/7', '5/7', '5/6', '3'] -> ((3 + (5/7 / 5/6)) / (2/7 - 1/8))
[79025] ['1/9', '3/7', '1/2', '5/9', '7'] -> ((7 / (3/7 * (1/9 + 5/9))) - 1/2)
