[59098] ['1/9', '1/7', '4/5', '9/5', '7'] -> (((7 - 4/5) / (1/7 * 9/5)) - 1/9)
[59138] ['2/7', '4/7', '4/3', '4/3', '2'] -> ((4/3 + 4/3) / (2/7 / (4/7 + 2)))
[59139] ['2/5', '4/9', '2/3', '6/5', '4'] -> ((2/3 * 4) / (4/9 - (2/5 / 6/5)))
[59140] ['1/7', '2/9', '5/7', '5/6', '5'] -> ((5/7 / 5/6) + ((1/7 + 5) / 2/9))
[59141] ['4/7', '4/7', '5/7', '1', '8/5'] -> ((4/7 + 5/7) / ((1 / 8/5) - 4/7))
[59142] ['1/9', '1/7', '5/6', '5/6', '7'] -> (((1/7 * 7) + (5/6 + 5/6)) / 1/9)
[59143] ['1/6', '2/7', '6/5', '9/2', '9'] -> (((9/2 / (2/7 - 1/6)) - 9) / 6/5)
[59144] ['1/5', '1/3', '6/7', '9/2', '6'] -> (9/2 * ((6 / 6/7) - (1/3 / 1/5)))
[59145] ['1/9', '5/9', '5/8', '6/7', '4'] -> ((4 - (5/9 / 5/8)) / (1/9 / 6/7))
[59146] ['1/2', '8/9', '9/8', '5/2', '4'] -> (4 * ((8/9 * 9/8) + (5/2 / 1/2)))
[59147] ['4/7', '4/7', '5/7', '1', '5/3'] -> ((4/7 + 4/7) / ((5/7 + 1) - 5/3))
[59148] ['2/5', '4/7', '5/7', '9/7', '3'] -> ((9/7 + (3 / 5/7)) / (2/5 * 4/7))
[59149] ['1/4', '3/5', '5/8', '4/3', '5'] -> (5 / ((5/8 * (4/3 - 3/5)) - 1/4))
[59150] ['1/5', '2/5', '3/7', '2/3', '5'] -> (2/3 + (5 / (3/7 * (1/5 / 2/5))))
[59151] ['1/9', '1/7', '5/6', '6/7', '7'] -> (((6/7 / (1/7 - 1/9)) - 7) / 5/6)
[59152] ['2/5', '4/9', '2/3', '5/3', '4'] -> ((2/5 + (4 / 2/3)) / (4/9 / 5/3))
[59153] ['1/9', '1/7', '5/6', '7/8', '7'] -> (7 / ((7/8 / (1/9 / 1/7)) - 5/6))
[59154] ['1/9', '5/9', '5/8', '8/7', '4'] -> (4 / ((1/9 / 8/7) - (5/9 - 5/8)))
[59155] ['2/7', '4/7', '4/3', '9/5', '2'] -> ((4/7 + 4/3) * (2 / (2/7 / 9/5)))
[59156] ['1/5', '1/3', '7/8', '8/7', '6'] -> ((8/7 / (1/5 * 1/3)) + (6 / 7/8))
[59157] ['1/9', '1/7', '5/6', '8/9', '7'] -> (1/7 / ((1/9 / 8/9) - (5/6 / 7)))
[59158] ['1/2', '8/9', '8/7', '7/6', '4'] -> (4 / (((8/9 / 8/7) / 7/6) - 1/2))
[59159] ['2/5', '4/9', '2/3', '7/4', '4'] -> (2/3 / ((2/5 * (4/9 + 4)) - 7/4))
[59160] ['1/5', '4/5', '4/5', '4/3', '4'] -> ((4/5 + 4/5) * (4 / (1/5 * 4/3)))
[59161] ['2/7', '4/7', '4/3', '2', '7/3'] -> (4/7 / (4/3 - ((2/7 + 7/3) / 2)))
[59162] ['2/5', '4/7', '5/7', '7/4', '3'] -> ((2/5 * 5/7) / ((7/4 / 3) - 4/7))
[59163] ['1/9', '7/9', '8/9', '8/5', '3'] -> (((8/5 * (3 - 7/9)) - 8/9) / 1/9)
[59164] ['1/4', '3/5', '5/8', '7/3', '5'] -> (5 / ((1/4 * 7/3) - (3/5 * 5/8)))
[59165] ['1/9', '1/7', '5/6', '9/8', '7'] -> (1/7 / ((1/9 * 9/8) - (5/6 / 7)))
[59166] ['1/6', '2/7', '5/4', '8/5', '9'] -> ((9 / (8/5 - 5/4)) - (2/7 / 1/6))
[59167] ['1/5', '2/5', '3/7', '4/5', '5'] -> ((((5 - 4/5) / 3/7) - 1/5) / 2/5)
[59168] ['1/5', '1/3', '7/8', '5/4', '6'] -> ((7/8 * 6) + (5/4 / (1/5 * 1/3)))
[59169] ['2/5', '4/7', '5/7', '9/4', '3'] -> ((9/4 + (3 / (4/7 * 5/7))) / 2/5)
[59170] ['1/9', '5/9', '5/8', '7/5', '4'] -> ((4 / 5/8) + ((5/9 + 7/5) / 1/9))
[59171] ['1/9', '1/7', '5/6', '8/7', '7'] -> (7 / ((1/7 / (1/9 * 8/7)) - 5/6))
[59172] ['3/8', '2/5', '4/7', '6/5', '8'] -> ((4/7 + 8) * ((6/5 / 3/8) - 2/5))
[59173] ['1/7', '2/9', '5/7', '6/5', '5'] -> ((5/7 * 6/5) + ((1/7 + 5) / 2/9))
[59174] ['1/5', '4/5', '4/5', '5/3', '4'] -> ((4/5 + (4 / 1/5)) / (5/3 - 4/5))
[59175] ['1/4', '3/5', '2/3', '5/7', '5'] -> ((3/5 + 5) * (5/7 / (1/4 * 2/3)))
[59176] ['1/9', '2/7', '9/4', '7/3', '5'] -> ((2/7 / 1/9) / (9/4 - (5 / 7/3)))
[59177] ['3/8', '2/5', '4/7', '5/4', '8'] -> (4/7 * ((5/4 / (2/5 - 3/8)) - 8))
[59178] ['1/9', '7/9', '8/9', '9/4', '3'] -> (8/9 / ((7/9 / (9/4 + 3)) - 1/9))
[59179] ['1/9', '2/7', '9/4', '5/2', '5'] -> ((5/2 / 2/7) - (5 - (9/4 / 1/9)))
[59180] ['1/4', '3/5', '2/3', '7/9', '5'] -> (2/3 / (7/9 - (5 * (1/4 * 3/5))))
[59181] ['2/5', '4/9', '5/7', '3/4', '4'] -> ((4 / 3/4) / ((4/9 / 5/7) - 2/5))
[59182] ['1/9', '5/9', '5/8', '9/5', '4'] -> (((4 / 9/5) - 5/9) / (1/9 * 5/8))
[59183] ['3/8', '2/5', '4/7', '4/3', '8'] -> ((2/5 + 8) * (4/3 + (4/7 / 3/8)))
[59184] ['1/5', '1/3', '7/8', '7/5', '6'] -> ((6 + (7/5 / 1/5)) / (7/8 - 1/3))
[59185] ['1/9', '2/7', '9/4', '8/3', '5'] -> ((5 / 1/9) - (8/3 / (2/7 / 9/4)))
[59186] ['3/8', '2/5', '4/7', '7/5', '8'] -> (((4/7 * 7/5) / (2/5 - 3/8)) - 8)
[59187] ['2/5', '4/7', '5/7', '3', '9/2'] -> ((9/2 / (5/7 - 4/7)) - (3 / 2/5))
[59188] ['1/7', '2/9', '5/7', '3/2', '5'] -> (((5/7 / 3/2) - (1/7 - 5)) / 2/9)
[59189] ['1/4', '3/5', '2/3', '7/8', '5'] -> (5 / ((1/4 / 3/5) + (2/3 - 7/8)))
[59190] ['3/8', '2/5', '4/7', '3/2', '8'] -> ((3/2 / (3/8 * 2/5)) + (8 / 4/7))
[59191] ['1/9', '2/7', '9/4', '7/2', '5'] -> ((5 + (2/7 * 7/2)) / (1/9 * 9/4))
[59192] ['1/5', '1/3', '7/8', '5/3', '6'] -> (6 * (7/8 + (5/3 / (1/5 + 1/3))))
[59193] ['4/7', '4/7', '3/4', '5/6', '1'] -> ((1 + (4/7 / 4/7)) / (5/6 - 3/4))
[59194] ['1/6', '2/7', '9/7', '8/3', '9'] -> ((8/3 / 1/6) + (9 + (2/7 - 9/7)))
[59195] ['1/2', '8/9', '8/7', '5/3', '4'] -> ((5/3 * 4) / ((8/9 / 8/7) - 1/2))
[59196] ['1/5', '2/5', '3/7', '9/7', '5'] -> (((2/5 + 5) / 1/5) - (9/7 / 3/7))
[59197] ['3/8', '2/5', '4/7', '8/5', '8'] -> ((2/5 + (8 / 4/7)) / (3/8 * 8/5))
[59198] ['1/5', '4/5', '5/6', '9/8', '4'] -> (4 / (((1/5 + 5/6) / 4/5) - 9/8))
[59199] ['1/4', '3/5', '2/3', '9/8', '5'] -> ((2/3 + (3/5 / 9/8)) / (1/4 / 5))
[59200] ['1/6', '2/7', '4/3', '4/3', '9'] -> ((2/7 * 9) * (4/3 + (4/3 / 1/6)))
[59201] ['1/7', '2/9', '5/7', '7/4', '5'] -> ((7/4 * (1/7 + 5/7)) + (5 / 2/9))
[59202] ['1/9', '5/9', '2/3', '7/8', '4'] -> (((7/8 * 4) - (5/9 / 2/3)) / 1/9)
[59203] ['1/9', '7/9', '9/8', '5/4', '3'] -> (((7/9 + 3) - (5/4 / 9/8)) / 1/9)
[59204] ['1/5', '4/5', '5/6', '8/7', '4'] -> (4/5 / ((5/6 / 4) - (1/5 / 8/7)))
[59205] ['1/9', '1/7', '5/6', '8/5', '7'] -> ((8/5 / 7) / (1/7 - (1/9 / 5/6)))
[59206] ['1/9', '2/7', '7/3', '5/2', '5'] -> (((2/7 * 7/3) + (5 / 5/2)) / 1/9)
[59207] ['2/7', '4/7', '7/5', '2', '7/3'] -> ((7/5 + 7/3) * ((2 / 2/7) - 4/7))
[59208] ['2/5', '4/9', '5/7', '8/9', '4'] -> ((8/9 / (5/7 * (4/9 - 2/5))) - 4)
[59209] ['3/8', '2/5', '4/7', '7/4', '8'] -> ((7/4 / 4/7) + ((3/8 + 8) / 2/5))
[59210] ['1/9', '5/9', '2/3', '8/7', '4'] -> (((4 / 8/7) - (5/9 / 2/3)) / 1/9)
[59211] ['2/5', '4/7', '3/4', '6/7', '3'] -> (3 / ((3/4 / (4/7 + 6/7)) - 2/5))
[59212] ['1/5', '1/3', '7/8', '7/2', '6'] -> ((7/2 / (7/8 * (1/3 - 1/5))) - 6)
[59213] ['3/8', '2/5', '4/7', '9/5', '8'] -> (8 * ((9/5 / 4/7) - (3/8 * 2/5)))
[59214] ['1/6', '2/7', '4/3', '5/3', '9'] -> ((9 / 2/7) - (5/3 / (1/6 * 4/3)))
[59215] ['1/5', '2/5', '3/7', '5/3', '5'] -> (2/5 * (5/3 + (5 / (1/5 * 3/7))))
[59216] ['2/7', '4/7', '7/5', '2', '8/3'] -> ((7/5 * 8/3) * ((2 / 2/7) - 4/7))
[59217] ['1/9', '7/9', '9/8', '5/3', '3'] -> (3 / ((9/8 - 5/3) - (1/9 - 7/9)))
[59218] ['1/7', '2/9', '5/7', '9/2', '5'] -> ((5 / (1/7 / 5/7)) - (2/9 * 9/2))
[59219] ['1/9', '5/9', '2/3', '7/4', '4'] -> (2/3 / ((4 * (5/9 - 1/9)) - 7/4))
[59220] ['2/5', '4/9', '5/7', '6/5', '4'] -> ((4 / (4/9 - (2/5 * 5/7))) - 6/5)
[59221] ['1/5', '2/5', '3/7', '9/4', '5'] -> (2/5 / ((1/5 / 3/7) - (9/4 / 5)))
[59222] ['1/2', '8/9', '8/7', '4', '9/2'] -> (9/2 * ((4 / (8/7 - 1/2)) - 8/9))
[59223] ['4/7', '4/7', '3/4', '1', '9/7'] -> ((4/7 + 4/7) / ((1 / 3/4) - 9/7))
[59224] ['1/7', '2/9', '3/4', '7/9', '5'] -> ((7/9 * (1/7 + 5)) / (2/9 * 3/4))
[59225] ['3/8', '2/5', '4/7', '5/2', '8'] -> ((8 / 2/5) - (3/8 - (5/2 / 4/7)))
[59226] ['2/7', '4/7', '3/2', '3/2', '2'] -> (4/7 / (((2/7 + 2) / 3/2) - 3/2))
[59227] ['1/6', '2/7', '7/5', '7/5', '9'] -> ((7/5 + (7/5 * 9)) / (1/6 / 2/7))
[59228] ['1/5', '1/3', '8/9', '6/5', '6'] -> (6 / ((6/5 * (1/3 / 8/9)) - 1/5))
[59229] ['1/4', '3/5', '5/7', '3/4', '5'] -> (5 * (3/5 + (3/4 / (1/4 * 5/7))))
[59230] ['2/5', '4/7', '3/4', '8/7', '3'] -> (3 / ((8/7 / 4/7) - (3/4 / 2/5)))
[59231] ['1/4', '3/5', '5/7', '7/9', '5'] -> (((5 / 7/9) - (3/5 * 5/7)) / 1/4)
[59232] ['1/7', '2/9', '3/4', '7/8', '5'] -> ((3/4 / 7/8) + ((1/7 + 5) / 2/9))
[59233] ['1/9', '5/9', '5/7', '4/5', '4'] -> (((4 / 5/7) - 4/5) / (1/9 / 5/9))
[59234] ['1/5', '2/5', '3/7', '7/2', '5'] -> (((5 - (2/5 / 7/2)) / 1/5) - 3/7)
[59235] ['2/5', '4/7', '3/4', '5/4', '3'] -> (3 / ((5/4 * (2/5 / 4/7)) - 3/4))
[59236] ['1/9', '1/3', '1/3', '2/5', '5'] -> (((1/3 + 1/3) + (2/5 * 5)) / 1/9)
[59237] ['1/2', '8/9', '7/6', '8/5', '4'] -> (4 / ((7/6 / 8/5) - (1/2 / 8/9)))
[59238] ['1/9', '5/9', '5/7', '5/6', '4'] -> (4 / ((1/9 + 5/6) - (5/9 / 5/7)))
[59239] ['1/6', '2/7', '7/5', '7/3', '9'] -> (((7/3 + (9 / 2/7)) / 7/5) - 1/6)
[59240] ['1/9', '1/7', '6/7', '9/8', '7'] -> (7 / ((1/9 * 9/8) + (1/7 / 6/7)))
[59241] ['3/8', '2/5', '4/7', '9/2', '8'] -> ((2/5 * 8) * ((9/2 / 4/7) - 3/8))
[59242] ['1/9', '7/9', '8/7', '7/6', '3'] -> ((3 - (7/9 / 7/6)) / (1/9 / 8/7))
[59243] ['1/9', '1/3', '1/3', '3/7', '5'] -> ((5 - ((1/3 / 1/3) / 3/7)) / 1/9)
[59244] ['1/9', '5/9', '5/7', '7/8', '4'] -> (4 / ((7/8 * (1/9 + 5/7)) - 5/9))
[59245] ['1/2', '8/9', '7/6', '7/4', '4'] -> (7/6 / ((1/2 - 8/9) + (7/4 / 4)))
[59246] ['1/5', '2/5', '4/9', '1/2', '5'] -> ((2/5 + 5) / (1/2 * (1/5 / 4/9)))
[59247] ['2/7', '4/7', '8/5', '5/3', '2'] -> ((4/7 + 2) * (5/3 / (2/7 / 8/5)))
[59248] ['1/7', '2/9', '3/4', '7/6', '5'] -> (3/4 + ((5 + (1/7 * 7/6)) / 2/9))
[59249] ['1/4', '3/5', '5/7', '7/6', '5'] -> ((5 / 7/6) / ((3/5 * 5/7) - 1/4))
[59250] ['1/2', '8/9', '7/6', '9/5', '4'] -> ((8/9 * 4) / ((7/6 / 9/5) - 1/2))
[59251] ['1/2', '8/9', '7/6', '9/4', '4'] -> (4 / (7/6 - (9/4 * (1/2 * 8/9))))
[59252] ['2/5', '4/7', '3/4', '7/4', '3'] -> ((3 / (2/5 * 7/4)) / (3/4 - 4/7))
[59253] ['1/9', '1/3', '1/3', '5/6', '5'] -> ((5/6 - 1/3) / (1/9 / (1/3 + 5)))
[59254] ['1/9', '1/7', '6/7', '5/4', '7'] -> ((6/7 / 1/9) / (1/7 + (5/4 / 7)))
[59255] ['1/6', '2/7', '3/2', '8/5', '9'] -> ((2/7 * 8/5) * ((9 / 1/6) - 3/2))
[59256] ['1/2', '8/9', '7/6', '7/3', '4'] -> (7/3 / ((8/9 - 1/2) - (7/6 / 4)))
[59257] ['1/7', '2/9', '3/4', '4/3', '5'] -> ((4/3 / 2/9) / ((3/4 / 1/7) - 5))
[59258] ['2/5', '4/7', '3/4', '9/4', '3'] -> (((9/4 / (3/4 - 4/7)) - 3) / 2/5)
[59259] ['1/5', '2/5', '4/9', '2/3', '5'] -> ((2/3 + (5 / (1/5 / 2/5))) / 4/9)
[59260] ['1/4', '3/5', '5/7', '3/2', '5'] -> ((3/5 + 5) * (3/2 / (1/4 / 5/7)))
[59261] ['3/8', '2/5', '3/5', '9/7', '8'] -> ((8 - (2/5 + 3/5)) / (3/8 / 9/7))
[59262] ['2/7', '4/7', '8/5', '2', '7/3'] -> ((8/5 * 7/3) * ((2 / 2/7) - 4/7))
[59263] ['1/5', '1/3', '9/8', '7/6', '6'] -> ((6 / (1/5 / 7/6)) / (1/3 + 9/8))
[59264] ['1/9', '5/9', '5/7', '9/7', '4'] -> (4 / ((5/9 / (5/7 + 9/7)) - 1/9))
[59265] ['1/2', '8/9', '6/5', '5/4', '4'] -> ((4 / 6/5) / ((1/2 + 8/9) - 5/4))
[59266] ['1/5', '2/5', '4/9', '3/4', '5'] -> ((3/4 + (5 / 4/9)) / (1/5 / 2/5))
[59267] ['1/4', '3/5', '5/7', '7/4', '5'] -> ((5/7 + 5) * (7/4 / (1/4 / 3/5)))
[59268] ['1/9', '1/7', '6/7', '8/5', '7'] -> ((6/7 + (1/7 / 1/9)) * (8/5 * 7))
[59269] ['1/9', '1/3', '1/3', '9/4', '5'] -> ((5 + (1/3 / 1/3)) / (1/9 * 9/4))
[59270] ['1/7', '2/9', '3/4', '5/3', '5'] -> ((5 - 5/3) / (1/7 * (2/9 + 3/4)))
[59271] ['1/5', '2/5', '4/9', '7/9', '5'] -> (((5 + (2/5 - 4/9)) / 1/5) - 7/9)
[59272] ['3/8', '2/5', '5/8', '5/7', '8'] -> ((5/7 * (2/5 + 8)) / (5/8 - 3/8))
[59273] ['1/9', '1/7', '6/7', '5/3', '7'] -> (((5/3 + 7) - (6/7 / 1/7)) / 1/9)
[59274] ['1/9', '5/9', '5/7', '5/3', '4'] -> (((5/9 + 5/3) / (1/9 * 5/7)) - 4)
[59275] ['1/9', '1/3', '1/3', '5/2', '5'] -> (((1/3 + 1/3) + (5 / 5/2)) / 1/9)
[59276] ['1/7', '2/9', '3/4', '7/4', '5'] -> ((5 + (7/4 * (1/7 / 3/4))) / 2/9)
[59277] ['1/6', '2/7', '8/5', '5/3', '9'] -> (8/5 * ((1/6 + 9) + (5/3 / 2/7)))
[59278] ['1/5', '2/5', '4/9', '4/5', '5'] -> ((2/5 + 5) * (4/9 + (4/5 / 1/5)))
[59279] ['1/2', '8/9', '6/5', '5/3', '4'] -> (4 / (6/5 - (1/2 + (8/9 / 5/3))))
[59280] ['2/7', '4/7', '5/3', '7/4', '2'] -> (2/7 / ((7/4 * (2 - 5/3)) - 4/7))
[59281] ['1/5', '4/5', '7/8', '8/5', '4'] -> (((4 * (7/8 * 8/5)) - 4/5) / 1/5)
[59282] ['1/9', '1/3', '3/8', '4/7', '5'] -> (5 / (((1/9 / 1/3) / 4/7) - 3/8))
[59283] ['1/9', '1/7', '6/7', '9/4', '7'] -> ((7 - (1/7 + 6/7)) / (1/9 * 9/4))
[59284] ['1/6', '2/7', '8/5', '9/4', '9'] -> ((8/5 * 9) * (9/4 - (1/6 / 2/7)))
[59285] ['1/5', '1/3', '9/8', '7/4', '6'] -> ((6 - (7/4 / (1/3 + 9/8))) / 1/5)
[59286] ['3/8', '2/5', '5/8', '8/9', '8'] -> (((3/8 / 5/8) + (8 / 8/9)) / 2/5)
[59287] ['1/9', '5/9', '5/7', '5/2', '4'] -> (4 / (5/9 - (5/2 * (1/9 / 5/7))))
[59288] ['1/2', '8/9', '6/5', '9/4', '4'] -> ((6/5 * 9/4) * (8/9 + (4 / 1/2)))
[59289] ['1/9', '1/7', '6/7', '5/2', '7'] -> (7 * ((1/7 / 1/9) + (6/7 * 5/2)))
[59290] ['1/9', '1/3', '3/8', '5/7', '5'] -> (5 / (5/7 * (1/3 - (1/9 * 3/8))))
[59291] ['1/5', '1/3', '9/8', '7/3', '6'] -> ((6 / (1/5 * 9/8)) - (1/3 + 7/3))
[59292] ['1/5', '4/5', '7/8', '9/5', '4'] -> (((4 / 1/5) - (4/5 - 9/5)) / 7/8)
[59293] ['3/8', '2/5', '5/8', '8/7', '8'] -> (8/7 * ((3/8 + 5/8) + (8 / 2/5)))
[59294] ['1/2', '8/9', '6/5', '7/3', '4'] -> (4 / ((7/3 / 6/5) - (8/9 / 1/2)))
[59295] ['1/9', '1/7', '6/7', '7/2', '7'] -> ((6/7 / 1/7) + (7 / (1/9 * 7/2)))
[59296] ['1/4', '3/5', '3/4', '7/8', '5'] -> ((3/5 * 5) / ((1/4 + 3/4) - 7/8))
[59297] ['1/9', '7/9', '7/6', '7/5', '3'] -> ((7/5 / (1/9 * 7/6)) * (3 - 7/9))
[59298] ['1/5', '1/3', '9/8', '5/2', '6'] -> (5/2 / (1/5 * (1/3 + (9/8 / 6))))
[59299] ['1/7', '2/9', '3/4', '9/2', '5'] -> ((1/7 + 5) * (9/2 + (2/9 * 3/4)))
[59300] ['1/6', '2/7', '8/5', '8/3', '9'] -> ((8/5 * (1/6 + 9)) + (8/3 / 2/7))
[59301] ['1/4', '3/5', '3/4', '8/9', '5'] -> ((3/5 + 3/4) * (5 / (1/4 / 8/9)))
[59302] ['1/5', '2/5', '4/9', '6/5', '5'] -> ((((5 - 1/5) / 4/9) - 6/5) / 2/5)
[59303] ['4/7', '4/7', '7/9', '1', '4/3'] -> ((4/7 + 4/7) / (4/3 - (1 / 7/9)))
[59304] ['1/9', '1/7', '7/8', '8/9', '7'] -> (((8/9 / (1/7 - 1/9)) - 7) / 7/8)
[59305] ['1/6', '2/7', '5/3', '5/3', '9'] -> ((5/3 + 9) * (5/3 + (1/6 / 2/7)))
[59306] ['1/5', '1/3', '9/8', '9/2', '6'] -> ((9/2 / (9/8 * (1/3 - 1/5))) - 6)
[59307] ['1/2', '8/9', '6/5', '4', '9/2'] -> ((6/5 * 9/2) * (4 + (1/2 * 8/9)))
[59308] ['2/5', '4/9', '3/4', '3/2', '4'] -> ((4 / 4/9) / ((3/4 / 2/5) - 3/2))
[59309] ['1/9', '1/3', '3/8', '7/5', '5'] -> ((7/5 * 5) / (1/3 - (1/9 * 3/8)))
[59310] ['1/9', '5/9', '3/4', '8/7', '4'] -> (4 / (3/4 - ((1/9 + 5/9) / 8/7)))
[59311] ['1/9', '7/9', '7/6', '9/5', '3'] -> ((1/9 + 3) / (7/9 - (7/6 / 9/5)))
[59312] ['1/4', '3/5', '3/4', '9/7', '5'] -> ((3/5 + 5) * (9/7 + (3/4 / 1/4)))
[59313] ['3/8', '2/5', '2/3', '2/3', '8'] -> (((2/3 / 2/5) - (2/3 - 8)) / 3/8)
[59314] ['1/5', '1/3', '8/7', '7/6', '6'] -> (((6 - 8/7) / 1/5) - (1/3 / 7/6))
[59315] ['1/7', '2/9', '7/9', '6/7', '5'] -> ((5 - (2/9 + 7/9)) / (1/7 / 6/7))
[59316] ['1/5', '2/5', '4/9', '7/5', '5'] -> ((7/5 + 5) / (4/9 * (1/5 + 2/5)))
[59317] ['1/2', '8/9', '5/4', '9/7', '4'] -> ((1/2 * 4) / ((5/4 / 9/7) - 8/9))
[59318] ['3/8', '2/5', '2/3', '5/7', '8'] -> ((2/5 + 8) * (5/7 / (3/8 * 2/3)))
[59319] ['1/5', '4/5', '8/9', '8/5', '4'] -> ((8/5 + (4 / 1/5)) / (4/5 / 8/9))
[59320] ['1/9', '1/7', '7/8', '7/6', '7'] -> (7 / ((7/6 / 1/7) - (7/8 / 1/9)))
[59321] ['1/5', '1/3', '8/7', '5/4', '6'] -> ((5/4 / (1/5 * 1/3)) + (6 / 8/7))
[59322] ['1/9', '7/9', '7/6', '5/2', '3'] -> ((5/2 / 1/9) + (3 - (7/6 / 7/9)))
[59323] ['1/7', '2/9', '7/9', '8/9', '5'] -> (8/9 * ((5 / (1/7 / 7/9)) - 2/9))
[59324] ['1/5', '4/5', '8/9', '7/4', '4'] -> ((4 + (4/5 * 7/4)) / (1/5 / 8/9))
[59325] ['1/9', '5/9', '3/4', '7/5', '4'] -> ((7/5 / (1/9 * 3/4)) + (4 / 5/9))
