[256088] ['2/5', '7/6', '5/4', '9/7', '8'] -> ((((8 * 7/6) / 2/5) * 9/7) / 5/4)
[256186] ['1/4', '5/9', '3/5', '9/7', '9'] -> (((9/7 * 5/9) / 1/4) * (9 - 3/5))
[256187] ['1/5', '7/8', '4/3', '2', '9/4'] -> (4/3 / (2 - (7/8 / (1/5 * 9/4))))
[256188] ['2/9', '3/7', '5/2', '8/3', '6'] -> ((5/2 / (2/9 * 3/7)) - (6 / 8/3))
[256189] ['1/5', '7/8', '4/3', '2', '7/3'] -> (2 * ((7/3 / (1/5 * 7/8)) - 4/3))
[256190] ['2/9', '3/7', '5/2', '7/2', '6'] -> (6 + ((5/2 + (3/7 * 7/2)) / 2/9))
[256191] ['1/6', '2/7', '1', '5/4', '5/3'] -> ((1/6 + (5/3 / 2/7)) / (5/4 - 1))
[256192] ['3/8', '3/4', '9/8', '7/5', '9'] -> (3/8 + ((3/4 + 9/8) * (7/5 * 9)))
[256193] ['2/5', '7/6', '3/2', '3/2', '8'] -> ((3/2 * (7/6 + 3/2)) + (8 / 2/5))
[256194] ['1/5', '7/8', '4/3', '2', '5/2'] -> (2 / ((7/8 / 5/2) - (1/5 * 4/3)))
[256195] ['1/6', '2/7', '1', '5/4', '9/5'] -> (5/4 * ((1 / (1/6 * 2/7)) - 9/5))
[256196] ['1/9', '1/7', '5/7', '9/5', '6'] -> (6 + ((9/5 + (1/7 / 5/7)) / 1/9))
[256197] ['4/9', '7/9', '9/8', '5/3', '7'] -> (7 / (5/3 - (9/8 * (4/9 + 7/9))))
[256198] ['2/9', '3/7', '5/2', '9/2', '6'] -> ((6 / 2/9) - (3/7 * (5/2 + 9/2)))
[256199] ['1/5', '1/5', '3/7', '8/9', '7'] -> ((1/5 + (7 / 3/7)) / (8/9 - 1/5))
[256200] ['1/4', '5/9', '3/5', '5/2', '9'] -> (9 / (5/2 * (3/5 - (1/4 / 5/9))))
[256201] ['1/9', '1/8', '7/4', '7/4', '9'] -> (9 / (1/9 * (7/4 - (1/8 - 7/4))))
[256202] ['4/9', '7/9', '9/8', '7/4', '7'] -> (7 / ((4/9 - 7/9) - (9/8 - 7/4)))
[256203] ['1/6', '2/7', '1', '5/4', '7/3'] -> (1 / (1/6 * (5/4 / 7/3)) - 2/7))
[256204] ['1/9', '1/7', '5/7', '9/4', '6'] -> (6 / (9/4 - (5/7 + (1/7 / 1/9))))
[256205] ['3/8', '3/4', '8/7', '5/4', '9'] -> (5/4 + ((3/4 + 9) / (3/8 * 8/7)))
[256206] ['1/5', '1/5', '3/7', '9/8', '7'] -> ((3/7 * 7) / (9/8 - (1/5 / 1/5)))
[256207] ['2/9', '3/7', '8/3', '8/3', '6'] -> ((3/7 * 6) * ((8/3 / 2/9) - 8/3))
[256208] ['1/5', '7/8', '7/5', '7/5', '2'] -> ((7/5 + (7/5 * 2)) / (1/5 * 7/8))
[256209] ['1/9', '3/7', '2/3', '7/8', '2'] -> (7/8 * (3/7 + (2 / (1/9 * 2/3))))
[256210] ['4/9', '4/9', '3/4', '4/5', '2'] -> (2 / (3/4 * (4/9 / 4/5)) - 4/9))
[256211] ['1/9', '1/8', '7/4', '9/5', '9'] -> (9 / ((1/9 * 9/5) * 1/8) + 7/4))
[256212] ['4/9', '7/9', '9/8', '9/5', '7'] -> (7 / ((4/9 - 7/9) + (9/8 / 9/5)))
[256213] ['1/5', '1/5', '3/7', '6/5', '7'] -> (7 * (3/7 + (6/5 / (1/5 + 1/5))))
[256214] ['1/6', '2/7', '1', '5/4', '8/3'] -> (((5/4 / 2/7) - (1 / 8/3)) / 1/6)
[256215] ['2/9', '3/7', '7/2', '7/2', '6'] -> ((6 / 2/9) - (3/7 * (7/2 + 7/2)))
[256216] ['1/9', '1/8', '7/4', '5/2', '9'] -> (9 / ((1/8 / 1/9) + (7/4 - 5/2)))
[256217] ['4/9', '4/9', '3/4', '8/9', '2'] -> (2 / (3/4 * (4/9 / 4/9)) - 8/9))
[256218] ['1/4', '5/9', '5/8', '5/8', '9'] -> (((5/9 * 9) + (5/8 / 5/8)) / 1/4)
[256219] ['1/9', '3/7', '2/3', '5/4', '2'] -> (2 / (2/3 - (3/7 * (1/9 + 5/4))))
[256220] ['1/5', '1/5', '3/7', '7/5', '7'] -> ((1/5 + 7/5) * ((7 * 3/7) / 1/5))
[256221] ['1/9', '1/7', '3/4', '6/7', '6'] -> (6 / ((1/9 * 3/4) + (1/7 / 6/7)))
[256222] ['2/9', '3/7', '9/2', '9/2', '6'] -> ((3/7 * (2/9 + 6)) * (9/2 + 9/2))
[256223] ['4/9', '4/9', '3/4', '8/7', '2'] -> (2 / ((4/9 - 3/4) + (4/9 / 8/7)))
[256224] ['2/7', '4/9', '7/9', '7/4', '3'] -> (2/7 / ((7/4 / 3) - (4/9 / 7/9)))
[256225] ['1/9', '1/8', '7/4', '7/2', '9'] -> (((1/9 * 9) + (7/2 / 7/4)) / 1/8)
[256226] ['1/9', '3/7', '2/3', '7/5', '2'] -> (((2 / (3/7 * 7/5)) - 2/3) / 1/9)
[256227] ['1/5', '1/5', '3/7', '8/5', '7'] -> (((1/5 + 8/5) + (3/7 * 7)) / 1/5)
[256228] ['2/5', '7/6', '7/4', '7/4', '8'] -> ((7/6 + 7/4) * (8 + (2/5 / 7/4)))
[256229] ['4/9', '4/9', '3/4', '7/6', '2'] -> (4/9 / ((2 * (4/9 / 3/4)) - 7/6))
[256230] ['1/5', '7/8', '7/5', '2', '8/3'] -> (7/5 / ((1/5 * (2 + 8/3)) - 7/8))
[256231] ['2/9', '4/7', '1', '6/5', '8/3'] -> (6/5 * ((8/3 / (2/9 * 4/7)) - 1))
[256232] ['8/9', '6/5', '6/5', '6/5', '2'] -> ((6/5 + 2) / (6/5 - (8/9 * 6/5)))
[256233] ['1/4', '5/9', '7/8', '1', '9/4'] -> (1 / (1/4 * (5/9 - (7/8 / 9/4))))
[256234] ['4/9', '7/9', '8/7', '6/5', '7'] -> ((7/9 + 7) * ((6/5 * 8/7) / 4/9))
[256235] ['1/9', '1/7', '3/4', '8/9', '6'] -> (6 / (1/7 * (8/9 + (1/9 + 3/4))))
[256236] ['4/9', '4/9', '3/4', '6/5', '2'] -> (2 / ((4/9 / (4/9 * /5)) - 3/4))
[256237] ['3/8', '3/4', '8/7', '7/2', '9'] -> (7/2 * ((9 / (3/8 + 3/4)) - 8/7))
[256238] ['1/5', '1/5', '3/7', '5/3', '7'] -> (((7 * (3/7 * 5/3)) - 1/5) / 1/5)
[256239] ['1/5', '7/8', '3/2', '3/2', '2'] -> (((2 * 3/2) / 1/5) / (3/2 - 7/8))
[256240] ['8/9', '6/5', '6/5', '5/4', '2'] -> ((6/5 * 2) / ((6/5 / 8/9) - 5/4))
[256241] ['2/9', '4/9', '4/9', '3/5', '6'] -> (((2/9 + 4/9) + (6 / 3/5)) / 4/9)
[256242] ['1/9', '1/7', '3/4', '9/8', '6'] -> ((6 / (1/9 + 1/7)) - (3/4 - 9/8))
[256243] ['2/7', '4/9', '7/9', '7/3', '3'] -> ((7/3 + 3) / (4/9 - (2/7 * 7/9)))
[256244] ['2/9', '4/9', '4/9', '5/8', '6'] -> ((6 + (2/9 + 4/9)) / (4/9 * 5/8))
[256245] ['4/9', '7/9', '8/7', '9/7', '7'] -> ((9/7 + (8/7 / 4/9)) * (7 - 7/9))
[256246] ['3/8', '3/4', '7/6', '8/5', '9'] -> ((7/6 + (3/8 / 3/4)) * (8/5 * 9))
[256247] ['1/9', '1/7', '3/4', '7/6', '6'] -> (6 / ((1/9 * 3/4) + (1/7 * 7/6)))
[256248] ['1/9', '1/8', '9/5', '8/3', '9'] -> (((8/3 - (1/9 * 9)) * 9/5) / 1/8)
[256249] ['1/5', '7/8', '3/2', '5/3', '2'] -> (3/2 / ((7/8 / (5/3 * )) - 1/5))
[256250] ['1/5', '1/5', '3/7', '9/4', '7'] -> ((7 / ((1/5 / 3/7) - 1/5)) - 9/4)
[256251] ['8/9', '6/5', '6/5', '7/5', '2'] -> (2 / ((7/5 / (6/5 * 6/5)) - 8/9))
[256252] ['3/8', '3/4', '7/6', '5/3', '9'] -> ((((9 - 3/4) * 7/6) / 3/8) - 5/3)
[256253] ['1/6', '2/7', '1', '9/7', '9/4'] -> ((9/7 / 2/7) + ((1 + 9/4) / 1/6))
[256254] ['2/5', '7/6', '9/5', '7/3', '8'] -> (((9/5 + 8) / 2/5) - (7/6 / 7/3))
[256255] ['4/9', '7/9', '8/7', '3/2', '7'] -> (((3/2 * 8/7) / 4/9) * (7 - 7/9))
[256256] ['8/9', '6/5', '6/5', '3/2', '2'] -> ((6/5 + 2) / ((8/9 * 3/2) - 6/5))
[256257] ['4/9', '4/9', '3/4', '7/4', '2'] -> (3/4 / (2 - (7/4 / (4/9 + 4/9))))
[256258] ['2/9', '4/7', '1', '5/4', '4/3'] -> ((5/4 + ((1 + 4/3) / 4/7)) / 2/9)
[256259] ['1/5', '7/8', '3/2', '2', '7/3'] -> (3/2 / ((2 / (7/3 - 1/5)) - 7/8))
[256260] ['4/9', '7/9', '8/7', '8/5', '7'] -> ((8/7 + 8/5) * (7 + (7/9 / 4/9)))
[256261] ['1/4', '5/9', '5/8', '9/8', '9'] -> (((9 + (9/8 / 5/8)) * 5/9) / 1/4)
[256262] ['1/4', '5/9', '8/9', '1', '8/7'] -> (1 / (((8/9 - 5/9) / 8/7) - 1/4))
[256263] ['1/9', '1/7', '3/4', '4/3', '6'] -> ((6 + (4/3 / 1/7)) / (3/4 - 1/9))
[256264] ['2/9', '4/9', '4/9', '5/6', '6'] -> ((2/9 * 6) / ((4/9 + 4/9) - 5/6))
[256265] ['2/9', '4/7', '1', '5/4', '7/5'] -> (4/7 / (2/9 * 1) - (5/4 / 7/5)))
[256266] ['1/5', '1/5', '3/7', '9/2', '7'] -> (7 * (9/2 - (3/7 / (1/5 + 1/5))))
[256267] ['1/9', '3/7', '2/3', '2', '9/2'] -> ((((2/3 + 9/2) * 2) / 3/7) - 1/9)
[256268] ['2/5', '7/6', '9/4', '9/4', '8'] -> (8 * ((9/4 / 2/5) - (7/6 * 9/4)))
[256269] ['2/9', '4/9', '4/9', '6/7', '6'] -> (6/7 * ((4/9 / 4/9) + (6 / 2/9)))
[256270] ['1/6', '2/7', '1', '4/3', '3/2'] -> (((4/3 / 2/7) - (1 / 3/2)) / 1/6)
[256271] ['1/9', '1/7', '3/4', '3/2', '6'] -> ((6 / 1/7) - (3/2 / (1/9 * 3/4)))
[256272] ['1/5', '7/8', '3/2', '2', '9/2'] -> ((3/2 * 2) / (9/2 - (7/8 / 1/5)))
[256273] ['4/9', '4/9', '3/4', '2', '5/2'] -> (2 / ((4/9 + 3/4) - (4/9 * 5/2)))
[256274] ['1/9', '1/8', '7/3', '5/2', '9'] -> ((1/9 * 9) / (5/2 - (1/8 + 7/3)))
[256275] ['2/9', '4/9', '4/9', '7/6', '6'] -> (((4/9 / 4/9) + (6 / 2/9)) / 7/6)
[256276] ['1/9', '3/7', '5/7', '3/4', '2'] -> (2 / ((1/9 * 3/7) - (5/7 - 3/4)))
[256277] ['4/9', '4/9', '3/4', '2', '7/2'] -> ((7/2 + (2 / 4/9)) / (4/9 * 3/4))
[256278] ['1/5', '7/8', '8/5', '5/3', '2'] -> (1/5 / ((7/8 - 5/3) + (8/5 / 2)))
[256279] ['1/6', '2/7', '1', '4/3', '7/4'] -> (7/4 * (((1 + 4/3) / 1/6) - 2/7))
[256280] ['8/9', '6/5', '6/5', '2', '8/3'] -> (8/3 / (2 - (8/9 + (6/5 / 6/5))))
[256281] ['1/9', '1/7', '3/4', '5/3', '6'] -> (6 / (1/7 * (5/3 + (1/9 * 3/4))))
[256282] ['4/9', '4/9', '3/4', '2', '9/2'] -> ((((4/9 + 2) * 9/2) / 4/9) - 3/4)
[256283] ['2/9', '4/9', '4/9', '5/4', '6'] -> (6 / (((2/9 + 4/9) / 4/9) - 5/4))
[256284] ['1/9', '3/7', '5/7', '4/5', '2'] -> ((5/7 * 4/5) * (2 / (1/9 * 3/7)))
[256285] ['1/5', '1/5', '4/9', '3/5', '7'] -> (((7 / 3/5) - (1/5 / 1/5)) / 4/9)
[256286] ['1/9', '1/7', '3/4', '7/4', '6'] -> (6 * (1/7 + (3/4 / (1/9 * 7/4))))
[256287] ['1/4', '5/9', '5/8', '3/2', '9'] -> (3/2 + ((5/8 + (5/9 * 9)) / 1/4))
[256288] ['8/9', '6/5', '6/5', '2', '7/2'] -> (6/5 / (7/2 - (6/5 + (2 / 8/9))))
[256289] ['1/9', '1/8', '7/2', '7/2', '9'] -> (((7/2 - 1/9) - (7/2 / 9)) / 1/8)
[256290] ['4/9', '7/9', '7/6', '6/5', '7'] -> (7 / ((7/9 / (4/9 * 6/5)) - 7/6))
[256291] ['4/9', '4/9', '7/9', '4/5', '2'] -> (2 / ((7/9 / 4/5) - (4/9 + 4/9)))
[256292] ['1/9', '3/7', '5/7', '7/8', '2'] -> (5/7 / ((3/7 * (1/9 + 2)) - 7/8))
[256293] ['2/5', '7/6', '7/3', '9/2', '8'] -> ((9/2 - (7/6 / 7/3)) + (8 / 2/5))
[256294] ['1/5', '7/8', '8/5', '9/5', '2'] -> (9/5 / (1/5 * (2 / 8/5)) - 7/8))
[256295] ['1/4', '5/9', '5/8', '8/5', '9'] -> (((5/9 * 9) + (5/8 * 8/5)) / 1/4)
[256296] ['4/9', '7/9', '7/6', '5/4', '7'] -> (7 / ((7/9 / 4/9) - (7/6 * 5/4)))
[256297] ['2/9', '4/9', '4/9', '8/5', '6'] -> (((6 + (2/9 + 4/9)) * 8/5) / 4/9)
[256298] ['1/4', '5/9', '8/9', '1', '7/4'] -> ((1 + (7/4 / 1/4)) / (8/9 - 5/9))
[256299] ['4/9', '4/9', '7/9', '6/7', '2'] -> (4/9 / ((7/9 / 6/7) - (4/9 * 2)))
[256300] ['1/5', '7/8', '8/5', '2', '9/4'] -> (2 + ((8/5 + 9/4) / (1/5 * 7/8)))
[256301] ['1/9', '1/7', '3/4', '5/2', '6'] -> ((1/9 * 6) + (5/2 / (1/7 * 3/4)))
[256302] ['4/9', '4/9', '7/9', '8/9', '2'] -> ((4/9 + 8/9) / (4/9 - (7/9 / 2)))
[256303] ['1/9', '1/7', '3/4', '7/2', '6'] -> ((7/2 / 1/7) - (6 * (1/9 * 3/4)))
[256304] ['1/9', '3/7', '5/7', '6/5', '2'] -> ((2 - (5/7 * 6/5)) / (1/9 * 3/7))
[256305] ['4/9', '7/9', '7/6', '3/2', '7'] -> (7 / (7/6 * (7/9 / 4/9)) - 3/2))
[256306] ['8/9', '6/5', '5/4', '7/5', '2'] -> ((6/5 + 2) / (8/9 * (7/5 - 5/4)))
[256307] ['1/9', '1/7', '1/7', '1/4', '9'] -> (((1/9 * 9) - 1/7) / (1/7 * 1/4))
[256308] ['1/5', '1/5', '4/9', '6/7', '7'] -> ((6/7 * 7) / ((1/5 / 4/9) - 1/5))
[256309] ['1/9', '3/7', '5/7', '5/4', '2'] -> ((5/7 / 5/4) * (2 / (1/9 * 3/7)))
[256310] ['1/6', '2/7', '1', '7/5', '5/3'] -> ((5/3 / (7/5 * (1/6 * 2/7))) - 1)
[256311] ['4/9', '7/9', '7/6', '8/5', '7'] -> ((7/9 + 7) * (8/5 / (4/9 * 7/6)))
[256312] ['1/5', '7/8', '8/5', '2', '9/2'] -> ((8/5 + 2) * (9/2 / (7/8 - 1/5)))
[256313] ['2/5', '7/6', '7/2', '7/2', '8'] -> (((8 + (7/2 / 7/6)) / 2/5) - 7/2)
[256314] ['3/8', '3/4', '9/7', '5/2', '9'] -> (9/7 * ((5/2 / 3/8) + (9 / 3/4)))
[256315] ['1/4', '5/9', '8/9', '1', '7/2'] -> (((1 + (7/2 / 1/4)) * 8/9) / 5/9)
[256316] ['4/9', '4/9', '7/9', '7/6', '2'] -> (4/9 / ((7/9 * 7/6) - (4/9 * 2)))
