[195031] ['3/4', '7/9', '8/7', '4/3', '8'] -> 8 / (3/4 * (4/3 - 7/9 * 8/7))
[195105] ['2/9', '4/7', '5/7', '7/8', '3'] -> (5/7 + 3 / 2/9) / 4/7 - 7/8
[195106] ['2/5', '3/5', '9/8', '7/2', '7'] -> (2/5 + 7/2 * (3/5 + 7)) / 9/8
[195107] ['3/7', '2/3', '5/7', '5/7', '6'] -> 6 * (2/3 + (5/7 + 5/7) / 3/7)
[195108] ['1/3', '4/5', '3/2', '7/2', '6'] -> 4/5 * (3/2 + (7/2 + 6) / 1/3)
[195109] ['1/9', '3/5', '3/4', '9/8', '9'] -> 9 / (3/5 * (3/4 - 1/9 * 9/8))
[195110] ['3/5', '8/7', '7/6', '3/2', '6'] -> 6 / (3/5 * 7/6) / (3/2 - 8/7)
[195111] ['1/5', '1/3', '8/9', '1', '7/3'] -> (7/3 + 8/9 / 1/3) / 1/5 - 1
[195112] ['3/7', '4/5', '1', '7/5', '9/2'] -> (1 + 7/5 / 3/7) / (4/5 / 9/2)
[195113] ['3/4', '7/9', '7/6', '8/5', '8'] -> 8 / (3/4 - 7/9 / 7/6 / 8/5)
[195114] ['2/5', '3/5', '8/7', '8/7', '7'] -> (8/7 + 8/7) * 7 / (2/5 / 3/5)
[195115] ['7/9', '6/7', '8/9', '5/4', '9'] -> (7/9 + 9) / (5/4 - 6/7) - 8/9
[195116] ['3/7', '2/3', '5/7', '4/5', '6'] -> 6 / (5/7 / 4/5 - 3/7 / 2/3)
[195117] ['1/5', '1/3', '8/9', '1', '5/2'] -> 8/9 / (1 / (1/5 + 5/2) - 1/3)
[195118] ['3/5', '8/7', '7/6', '8/5', '6'] -> 6 * (8/7 * 7/6 + 8/5 / 3/5)
[195119] ['2/9', '4/7', '5/7', '8/7', '3'] -> (4/7 + 8/7 / 2/9) / (5/7 / 3)
[195120] ['5/7', '8/9', '7/6', '3/2', '2'] -> 2 / (3/2 * (8/9 - 5/7 * 7/6))
[195121] ['3/4', '7/9', '7/6', '9/5', '8'] -> 8 / (7/6 / (9/5 - 3/4) - 7/9)
[195122] ['1/7', '5/9', '4/7', '5/4', '7'] -> (4/7 + 7 / 5/4) / (1/7 / 5/9)
[195123] ['1/3', '4/5', '5/3', '5/3', '6'] -> 4/5 * 5/3 / (1/3 - 5/3 / 6)
[195124] ['1/9', '3/5', '3/4', '6/5', '9'] -> 3/5 + 9 + 6/5 / (1/9 * 3/4)
[195125] ['3/7', '2/3', '5/7', '8/7', '6'] -> 2/3 + (8/7 + 6) / (3/7 * 5/7)
[195126] ['3/5', '8/7', '7/6', '7/4', '6'] -> 6 / (3/5 * (7/4 - 8/7 * 7/6))
[195127] ['2/9', '4/7', '5/7', '7/6', '3'] -> ((5/7 + 3) / 4/7 - 7/6) / 2/9
[195128] ['1/7', '1/6', '7/8', '1', '9/8'] -> (7/8 / 1/7 - (1 + 9/8)) / 1/6
[195129] ['3/7', '4/5', '1', '3/2', '7/4'] -> 3/2 / (1 - 7/4 * 3/7 / 4/5)
[195130] ['4/5', '8/9', '8/9', '9/4', '5'] -> 5 * (4/5 + 9/4 * (8/9 + 8/9))
[195131] ['3/5', '8/7', '7/6', '9/5', '6'] -> 7/6 * 9/5 * 6 / (3/5 / 8/7)
[195132] ['3/4', '7/9', '6/5', '6/5', '8'] -> (3/4 + 8) * (6/5 + 6/5 / 7/9)
[195133] ['2/5', '3/5', '8/7', '5/3', '7'] -> 8/7 / 5/3 * 7 / (3/5 - 2/5)
[195134] ['2/9', '4/7', '5/7', '6/5', '3'] -> 4/7 / (2/9 - 5/7 / 6/5 / 3)
[195135] ['5/7', '8/9', '7/6', '7/4', '2'] -> 2 / 7/4 / (8/9 / 7/6 - 5/7)
[195136] ['3/5', '7/9', '7/6', '5/3', '8'] -> 8 / (3/5 * 5/3 - 7/9 / 7/6)
[195137] ['7/9', '6/7', '8/9', '5/3', '9'] -> 8/9 * 9 * (6/7 + 5/3 / 7/9)
[195138] ['1/7', '1/6', '7/8', '1', '6/5'] -> 1 / (7/8 * (1/6 - 1/7 / 6/5))
[195139] ['7/9', '6/7', '8/9', '7/4', '9'] -> 9 / (7/4 / 6/7 - (7/9 + 8/9))
[195140] ['1/3', '4/5', '7/4', '7/3', '6'] -> 6 * (7/3 + 4/5 * (1/3 + 7/4))
[195141] ['2/9', '4/7', '5/7', '9/7', '3'] -> (5/7 + 3 / 9/7) / (2/9 * 4/7)
[195142] ['4/5', '8/9', '8/9', '9/2', '5'] -> 8/9 * 5 * (9/2 + 4/5 / 8/9)
[195143] ['1/9', '3/5', '3/4', '5/3', '9'] -> (9 + 5/3 / (1/9 / 3/5)) / 3/4
[195144] ['1/5', '1/3', '1', '9/8', '7/5'] -> 7/5 / (9/8 - (1 + 1/5 * 1/3))
[195145] ['1/3', '4/5', '7/4', '5/2', '6'] -> 7/4 / 1/3 + 6 / (4/5 / 5/2)
[195146] ['1/7', '5/9', '4/7', '9/4', '7'] -> (5/9 * 4/7 + 7 / 9/4) / 1/7
[195147] ['3/7', '2/3', '3/4', '8/9', '6'] -> 6 / 3/7 / (8/9 / 2/3 - 3/4)
[195148] ['2/5', '3/5', '7/6', '7/6', '7'] -> (7 / (2/5 * 3/5) - 7/6) / 7/6
[195149] ['1/9', '3/5', '3/4', '9/5', '9'] -> (9/5 / (1/9 * 3/5) - 9) / 3/4
[195150] ['1/7', '1/6', '7/8', '1', '4/3'] -> 1 / 1/7 / (4/3 - (1/6 + 7/8))
[195151] ['7/9', '6/7', '8/9', '7/3', '9'] -> 8/9 * 9 * (7/3 + 7/9 * 6/7)
[195152] ['3/5', '7/9', '7/6', '8/3', '8'] -> (8/3 + 8 / 3/5) / (7/9 / 7/6)
[195153] ['2/9', '4/7', '5/7', '8/5', '3'] -> 3 * (4/7 / 5/7 + 8/5 / 2/9)
[195154] ['1/5', '1/3', '1', '9/8', '7/4'] -> 1 / (1/5 * 1/3) / (7/4 - 9/8)
[195155] ['3/7', '7/6', '3/2', '5/3', '2'] -> 2 / (3/7 * 7/6) / (5/3 - 3/2)
[195156] ['4/5', '8/9', '9/8', '7/6', '5'] -> 4/5 * 5 / (7/6 - 8/9 * 9/8)
[195157] ['3/5', '8/7', '6/5', '6/5', '6'] -> 3/5 * 6 / (6/5 - 6/5 / 8/7)
[195158] ['1/9', '3/5', '3/4', '5/2', '9'] -> 9 / (1/9 * 5/2) / (3/5 + 3/4)
[195159] ['1/7', '1/6', '7/8', '1', '5/3'] -> 1 / (5/3 * 1/7 * 7/8 - 1/6)
[195160] ['3/4', '7/9', '6/5', '9/5', '8'] -> 8 * (7/9 * 9/5 + 6/5 / 3/4)
[195161] ['3/7', '4/5', '1', '8/5', '8/5'] -> 8/5 / (4/5 + 8/5 - 1 / 3/7)
[195162] ['3/4', '7/9', '6/5', '9/4', '8'] -> (3/4 + 7/9 * 9/4) * 6/5 * 8
[195163] ['3/7', '2/3', '3/4', '8/5', '6'] -> 6 / (2/3 - 3/7) - 3/4 * 8/5
[195164] ['2/5', '3/5', '7/6', '8/5', '7'] -> (7 / 3/5 - 8/5) / 2/5 - 7/6
[195165] ['3/5', '7/9', '6/5', '3/2', '8'] -> 8 / (6/5 / 3/2 - 3/5 * 7/9)
[195166] ['2/9', '4/7', '5/7', '9/4', '3'] -> 4/7 / 2/9 / (9/4 - 5/7 * 3)
[195167] ['7/9', '6/7', '9/8', '8/7', '9'] -> (6/7 + 9) / (9/8 * (8/7 - 7/9))
[195168] ['4/5', '8/9', '9/8', '9/7', '5'] -> 4/5 * 5 / (9/7 - 9/8) - 8/9
[195169] ['1/9', '3/5', '3/4', '9/2', '9'] -> (9/2 - 3/4) * 9 * (1/9 + 3/5)
[195170] ['3/7', '7/6', '3/2', '2', '9/4'] -> 2 / (3/2 / 3/7 - (7/6 + 9/4))
[195171] ['1/5', '1/3', '1', '9/8', '5/2'] -> 1/5 / (1/3 / 5/2 + 1 - 9/8)
[195172] ['3/7', '4/5', '1', '8/5', '7/4'] -> 8/5 / (4/5 / (3/7 * 7/4) - 1)
[195173] ['3/5', '8/7', '6/5', '7/5', '6'] -> 6 / (3/5 - 7/5 + 6/5 / 8/7)
[195174] ['4/5', '8/9', '9/8', '4/3', '5'] -> 4/3 / 5 / (4/5 * 9/8 - 8/9)
[195175] ['1/7', '5/9', '3/5', '5/8', '7'] -> 7 * 1/7 / 3/5 / (5/8 - 5/9)
[195176] ['3/7', '7/6', '3/2', '2', '7/3'] -> 2 / (7/3 - 7/6 * (3/7 + 3/2))
[195177] ['1/3', '4/5', '9/4', '8/3', '6'] -> 8/3 / (1/3 / 4/5) * (6 - 9/4)
[195178] ['3/7', '4/5', '1', '8/5', '7/3'] -> 4/5 / (7/3 / (3/7 + 1) - 8/5)
[195179] ['1/7', '1/6', '7/8', '1', '8/3'] -> 1 / (1/7 * 7/8) + 8/3 / 1/6
[195180] ['3/7', '2/3', '3/4', '5/2', '6'] -> (5/2 + 6 / 3/7) / 2/3 - 3/4
[195181] ['3/5', '7/9', '6/5', '7/4', '8'] -> 6/5 + 8 * (3/5 + 7/4 / 7/9)
[195182] ['1/9', '3/5', '7/9', '5/6', '9'] -> (7/9 + 9) / (5/6 * (3/5 - 1/9))
[195183] ['3/4', '7/9', '6/5', '8/3', '8'] -> 8 / (3/4 / 6/5 - 7/9 / 8/3)
[195184] ['1/3', '4/5', '7/3', '8/3', '6'] -> 7/3 * 6 + 8/3 / (1/3 * 4/5)
[195185] ['3/5', '8/7', '6/5', '5/3', '6'] -> 6 / (8/7 / 3/5 - 5/3) - 6/5
[195186] ['3/7', '7/6', '3/2', '2', '8/3'] -> 2 / 3/2 / (7/6 / 3/7 - 8/3)
[195187] ['1/7', '5/9', '3/5', '5/7', '7'] -> (7 - 5/7 / 5/9) / (1/7 / 3/5)
[195188] ['1/7', '1/6', '8/9', '8/9', '1'] -> 8/9 / (8/9 / (1/7 / 1/6) - 1)
[195189] ['2/9', '4/7', '5/7', '3', '7/2'] -> (5/7 / 2/9 + 3 * 7/2) / 4/7
[195190] ['7/9', '6/7', '9/8', '4/3', '9'] -> 9 / (7/9 * (9/8 - 6/7 / 4/3))
[195191] ['5/7', '8/9', '6/5', '7/5', '2'] -> 2 / (5/7 - 8/9 / 7/5) - 6/5
[195192] ['3/5', '7/9', '6/5', '9/4', '8'] -> 6/5 / 9/4 * 8 / (7/9 - 3/5)
[195193] ['3/4', '7/9', '6/5', '7/2', '8'] -> 8 * (7/2 / (7/9 * 6/5) - 3/4)
[195194] ['1/7', '1/6', '8/9', '1', '9/8'] -> 8/9 / (1/6 / (1/7 * 9/8) - 1)
[195195] ['1/3', '4/5', '5/2', '7/2', '6'] -> (6 - 4/5 * 7/2) / (1/3 / 5/2)
[195196] ['3/7', '2/3', '7/9', '4/5', '6'] -> 6 / (2/3 - 3/7 * 7/9 / 4/5)
[195197] ['3/5', '8/7', '6/5', '9/5', '6'] -> 9/5 * 6 / (6/5 / 8/7 - 3/5)
[195198] ['1/5', '1/3', '1', '8/7', '5/4'] -> 1 / (1/3 / 8/7 - 1/5 * 5/4)
[195199] ['2/9', '4/7', '3/4', '3/4', '3'] -> 3 / 2/9 / (3/4 / 4/7 - 3/4)
[195200] ['3/5', '7/9', '6/5', '7/2', '8'] -> 8 / (3/5 - 7/9 * 6/5 / 7/2)
[195201] ['2/5', '3/5', '6/5', '5/2', '7'] -> 6/5 * 5/2 * (7 + 2/5 + 3/5)
[195202] ['4/5', '8/9', '9/8', '9/5', '5'] -> 5 / (4/5 / 9/5 + 8/9 - 9/8)
[195203] ['1/3', '4/5', '7/2', '7/2', '6'] -> 6 * (7/2 / (4/5 - 1/3) - 7/2)
[195204] ['1/7', '1/6', '8/9', '1', '6/5'] -> 1 / (1/6 - 1/7 * 8/9) - 6/5
[195205] ['1/5', '1/3', '1', '8/7', '4/3'] -> 8/7 * (1 + 4/3 / (1/5 * 1/3))
[195206] ['3/7', '2/3', '7/9', '6/5', '6'] -> (2/3 + 6) * 6/5 / (3/7 * 7/9)
[195207] ['1/5', '1/3', '1', '8/7', '3/2'] -> 1 / (3/2 - 1/3 / (1/5 * 8/7))
[195208] ['3/7', '4/5', '1', '5/3', '9/5'] -> 5/3 / (4/5 / 3/7 - 9/5) - 1
[195209] ['1/3', '5/6', '5/6', '7/8', '6'] -> (6 + 5/6 / 5/6) / (1/3 * 7/8)
[195210] ['7/9', '6/7', '9/8', '5/3', '9'] -> (6/7 + 5/3 / 7/9) / (9/8 / 9)
[195211] ['3/5', '7/9', '5/4', '9/7', '8'] -> 8 / 7/9 / (9/7 / 5/4 - 3/5)
[195212] ['3/7', '2/3', '7/9', '7/5', '6'] -> (6 / 3/7 - 2/3) / (7/9 / 7/5)
[195213] ['2/9', '4/7', '3/4', '7/8', '3'] -> (4/7 + 3 / 7/8) / (2/9 * 3/4)
[195214] ['1/7', '5/9', '3/5', '8/9', '7'] -> (7 - 3/5) / (1/7 / 5/9) - 8/9
[195215] ['1/7', '1/6', '8/9', '1', '7/5'] -> 1 / (1/7 / 8/9 - 1/6 / 7/5)
[195216] ['3/4', '7/9', '5/4', '9/5', '8'] -> 8 / ((3/4 + 5/4) / 9/5 - 7/9)
[195217] ['1/3', '5/6', '5/6', '8/7', '6'] -> (6 + 5/6 / 5/6) / (1/3 / 8/7)
[195218] ['1/5', '1/3', '1', '8/7', '9/5'] -> (1 + 9/5) * 8/7 / (1/3 - 1/5)
[195219] ['4/5', '8/9', '9/8', '7/2', '5'] -> 5 * (4/5 + 8/9 + 7/2 / 9/8)
[195220] ['3/7', '4/5', '1', '5/3', '7/3'] -> 4/5 / (5/3 - 7/3 / (3/7 + 1))
[195221] ['2/5', '3/5', '5/4', '7/5', '7'] -> (7/5 + 7) / (3/5 * 5/4 - 2/5)
[195222] ['2/9', '4/7', '3/4', '8/9', '3'] -> (3/4 + 3 / 4/7) / (2/9 / 8/9)
[195223] ['3/5', '8/7', '5/4', '9/7', '6'] -> 6 / (8/7 + 5/4 - 9/7 / 3/5)
[195224] ['7/9', '6/7', '9/8', '9/5', '9'] -> 9 / (7/9 * 9/5) / (9/8 - 6/7)
[195225] ['1/7', '1/6', '8/9', '1', '3/2'] -> (3/2 + 1/6 / 1/7) / (1 - 8/9)
[195226] ['3/4', '7/9', '5/4', '9/4', '8'] -> (5/4 + 9/4 * 8) / 7/9 - 3/4
[195227] ['3/5', '7/9', '5/4', '7/5', '8'] -> 5/4 * 8 * (3/5 + 7/5 / 7/9)
[195228] ['5/7', '8/9', '6/5', '2', '8/3'] -> 8/3 / (5/7 / 2) / (6/5 - 8/9)
[195229] ['7/9', '6/7', '9/8', '7/3', '9'] -> (7/3 + 7/9 * 6/7) / (9/8 / 9)
[195230] ['1/9', '3/5', '7/9', '7/5', '9'] -> 9 * (7/9 + 7/5 - (1/9 - 3/5))
[195231] ['1/7', '5/9', '3/5', '8/7', '7'] -> (7 - (1/7 - 8/7)) / (5/9 * 3/5)
[195232] ['2/9', '4/7', '3/4', '5/4', '3'] -> (3 / 4/7 - 5/4) / (2/9 * 3/4)
[195233] ['2/5', '3/5', '5/4', '9/5', '7'] -> (9/5 * 7 - 3/5) / (2/5 * 5/4)
[195234] ['1/5', '1/3', '1', '8/7', '5/2'] -> 1 / (1/5 / 8/7 - 1/3 / 5/2)
[195235] ['3/5', '7/9', '5/4', '8/5', '8'] -> (8/5 + 8 / 3/5) / (7/9 / 5/4)
[195236] ['3/4', '7/9', '5/4', '5/2', '8'] -> (8 + 5/2 / 3/4) / (5/4 - 7/9)
[195237] ['1/7', '5/9', '3/5', '7/6', '7'] -> 7/6 / (5/9 * 3/5) * (7 - 1/7)
[195238] ['1/7', '1/6', '8/9', '1', '5/3'] -> 8/9 / 1/6 + (1 + 5/3) / 1/7
[195239] ['1/9', '3/5', '7/9', '8/5', '9'] -> (7/9 / 1/9 - (8/5 - 9)) / 3/5
[195240] ['3/7', '2/3', '7/9', '5/2', '6'] -> (2/3 + 5/2) / (7/9 / 6) - 3/7
[195241] ['2/5', '3/5', '5/4', '7/3', '7'] -> (3/5 + 7) / (5/4 - 2/5 * 7/3)
[195242] ['1/3', '5/6', '6/7', '6/7', '6'] -> (6 / 1/3 - 6/7) / (5/6 * 6/7)
[195243] ['3/4', '7/9', '9/7', '9/7', '8'] -> 8 / 7/9 / (9/7 / 3/4 - 9/7)
[195244] ['7/9', '6/7', '9/8', '9/2', '9'] -> 9 * 7/9 * 6/7 / (9/8 / 9/2)
[195245] ['1/5', '1/3', '1', '8/7', '9/2'] -> 8/7 * 9/2 * (1 / 1/5 - 1/3)
[195246] ['5/7', '8/9', '5/4', '9/7', '2'] -> 9/7 / (5/7 / 8/9 + 5/4 - 2)
[195247] ['2/5', '3/5', '5/4', '7/2', '7'] -> 5/4 + (7 + 3/5 * 7/2) / 2/5
[195248] ['3/5', '7/9', '5/4', '9/4', '8'] -> 8 / (5/4 / 3/5 - 7/9 * 9/4)
[195249] ['3/7', '2/3', '4/5', '4/5', '6'] -> (4/5 + 4/5 / 3/7) / (2/3 / 6)
[195250] ['3/7', '4/5', '1', '7/4', '9/5'] -> (1 + 9/5) / (4/5 / 3/7 - 7/4)
[195251] ['1/9', '3/5', '7/9', '9/5', '9'] -> 9 * (1/9 + 7/9) / (3/5 / 9/5)
[195252] ['3/7', '7/6', '5/3', '2', '9/4'] -> 2 / (9/4 - (5/3 + 3/7 * 7/6))
[195253] ['1/7', '1/6', '8/9', '1', '9/4'] -> (8/9 + 1 / (1/7 * 9/4)) / 1/6
[195254] ['1/7', '5/9', '3/5', '9/7', '7'] -> (9/7 - 1/7) * 7 / (5/9 * 3/5)
[195255] ['7/9', '6/7', '8/7', '8/7', '9'] -> 8/7 / (7/9 - 6/7 + 8/7 / 9)
[195256] ['1/5', '1/3', '1', '7/6', '7/6'] -> (1 + 7/6 + 7/6 / 1/5) / 1/3
[195257] ['3/7', '2/3', '4/5', '5/6', '6'] -> (6 / (3/7 * 5/6) - 4/5) / 2/3
[195258] ['3/4', '7/9', '9/7', '3/2', '8'] -> 8 * (7/9 * 9/7 + 3/2 / 3/4)
[195259] ['1/3', '5/6', '6/7', '7/6', '6'] -> (6 / 1/3 - 6/7) / (5/6 / 7/6)
[195260] ['7/9', '6/7', '8/7', '7/6', '9'] -> 9 * (7/9 / 7/6 + 6/7 + 8/7)
[195261] ['1/5', '1/3', '1', '7/6', '6/5'] -> (1 + 6/5 / (1/5 / 7/6)) / 1/3
[195262] ['1/7', '1/6', '8/9', '1', '7/3'] -> (1 + 7/3 / 1/7) / (8/9 - 1/6)
[195263] ['1/9', '3/5', '7/9', '9/4', '9'] -> 9/4 * 9 * (7/9 / 3/5 - 1/9)
[195264] ['3/5', '8/7', '5/4', '7/3', '6'] -> 6 / (8/7 - 5/4 / (3/5 * 7/3))
[195265] ['2/9', '4/7', '3/4', '5/3', '3'] -> (3 / (4/7 * 3/4) - 5/3) / 2/9
[195266] ['1/5', '1/3', '1', '7/6', '5/4'] -> 1 / (1/3 - 5/4 * 1/5 * 7/6)
