[345736] ['1/5', '1/4', '5/9', '5/8', '8'] -> 8 / (5/9 * (1/5 + 1/4 / 5/8))
[345814] ['3/8', '5/8', '7/9', '8/7', '5'] -> 5 / (3/8 * 5/8) / (7/9 * 8/7)
[345815] ['5/8', '7/9', '9/8', '3/2', '7'] -> 7 * (5/8 / 7/9 + 9/8 + 3/2)
[345816] ['1/9', '1/7', '4/5', '8/9', '8'] -> 8 / (8/9 / 4/5 - 1/9 / 1/7)
[345817] ['8/9', '8/9', '1', '7/3', '7/2'] -> 8/9 / (8/9 * (7/2 - 7/3) - 1)
[345818] ['1/5', '1/4', '4/7', '8/3', '8'] -> 8 / (1/5 * 4/7) / (1/4 + 8/3)
[345819] ['3/8', '5/8', '7/9', '6/5', '5'] -> 5 / (6/5 * 5/8 * 7/9 - 3/8)
[345820] ['1/5', '1/4', '4/7', '7/2', '8'] -> (4/7 + 8) * 7/2 * 1/5 / 1/4
[345821] ['1/5', '1/4', '4/7', '9/2', '8'] -> 9/2 / (1/5 + 1/4) + 8 / 4/7
[345822] ['2/9', '5/9', '5/7', '7/3', '3'] -> 7/3 * ((3 - 5/9) / 2/9 - 5/7)
[345823] ['1/9', '1/7', '4/5', '6/5', '8'] -> 4/5 * 8 / (1/9 + 1/7) - 6/5
[345824] ['1/2', '4/5', '9/7', '7/3', '5'] -> 9/7 * 7/3 * 5 / (1/2 / 4/5)
[345825] ['1/5', '1/4', '3/5', '5/7', '8'] -> (8 - (1/5 - 3/5)) / (1/4 / 5/7)
[345826] ['2/9', '5/9', '5/7', '8/3', '3'] -> 8/3 / (5/9 / 5/7 - 2/9 * 3)
[345827] ['1/5', '1/4', '3/5', '7/9', '8'] -> 8 / (1/5 / 1/4 - 3/5 * 7/9)
[345828] ['1/2', '4/5', '9/7', '8/3', '5'] -> (8/3 - 4/5) * 5 / (1/2 / 9/7)
[345829] ['8/9', '8/9', '1', '7/2', '9/2'] -> 8/9 * (7/2 / (1 - 8/9) - 9/2)
[345830] ['2/9', '5/9', '5/7', '3', '9/2'] -> 3 * (9/2 + 5/9 / (2/9 * 5/7))
[345831] ['3/8', '5/8', '7/9', '9/5', '5'] -> 5 / (3/8 * (9/5 - 7/9 / 5/8))
[345832] ['1/2', '4/5', '9/7', '9/2', '5'] -> 5 * (1/2 + 4/5 + 9/2 / 9/7)
[345833] ['2/9', '5/9', '3/4', '4/5', '3'] -> 3 * 2/9 / 5/9 / (4/5 - 3/4)
[345834] ['1/9', '1/7', '4/5', '3/2', '8'] -> 4/5 * (8 / (1/9 + 1/7) - 3/2)
[345835] ['1/2', '4/5', '4/3', '3/2', '5'] -> 5 * (4/5 + 3/2 / (1/2 / 4/3))
[345836] ['3/8', '5/8', '7/9', '5/2', '5'] -> (5 + 5/2 / 3/8) / (5/8 * 7/9)
[345837] ['1/5', '1/4', '3/5', '9/7', '8'] -> 8 / (1/5 / 1/4 - 3/5 / 9/7)
[345838] ['5/8', '7/9', '8/7', '7/6', '7'] -> (7/9 + 7/6) * (8/7 + 7 / 5/8)
[345839] ['1/2', '4/5', '4/3', '8/5', '5'] -> 5 / (4/3 / 8/5 - 1/2 / 4/5)
[345840] ['3/8', '5/8', '7/9', '8/3', '5'] -> (5 / (3/8 * 5/8) - 8/3) / 7/9
[345841] ['1/9', '1/7', '4/5', '5/3', '8'] -> 8 / (4/5 - 1/9 / 1/7 / 5/3)
[345842] ['2/9', '5/9', '3/4', '6/7', '3'] -> 3 / (5/9 / (6/7 - 2/9) - 3/4)
[345843] ['3/8', '5/8', '7/9', '7/2', '5'] -> 7/2 * ((5/8 + 5) / 7/9 - 3/8)
[345844] ['2/9', '5/9', '3/4', '7/8', '3'] -> (2/9 + 3) / (7/8 - 5/9 / 3/4)
[345845] ['1/2', '4/5', '7/5', '7/5', '5'] -> 5 * ((7/5 + 7/5) / 1/2 - 4/5)
[345846] ['1/2', '4/5', '7/5', '3/2', '5'] -> (7/5 + 5) * 3/2 / (1/2 * 4/5)
[345847] ['5/8', '7/9', '8/7', '9/7', '7'] -> (8/7 + 7/9 * 9/7) / (5/8 / 7)
[345848] ['3/8', '5/8', '4/5', '6/7', '5'] -> 5 / (5/8 * 4/5 / 6/7 - 3/8)
[345849] ['3/8', '5/8', '4/5', '8/9', '5'] -> 5 / (5/8 - 8/9 * 3/8 / 4/5)
[345850] ['2/9', '5/9', '3/4', '9/7', '3'] -> 2/9 * 3 / (3/4 / 9/7 - 5/9)
[345851] ['8/9', '1', '9/8', '9/8', '9/4'] -> 8/9 / (9/8 - 1) * (9/8 + 9/4)
[345852] ['3/8', '5/8', '4/5', '9/7', '5'] -> 5 / (5/8 * 4/5 - 3/8 / 9/7)
[345853] ['8/9', '1', '9/8', '9/8', '7/3'] -> 8/9 / (7/3 / (9/8 + 9/8) - 1)
[345854] ['3/8', '5/8', '4/5', '7/5', '5'] -> 5 * (7/5 / (5/8 - 3/8) - 4/5)
[345855] ['2/9', '5/9', '3/4', '9/5', '3'] -> (3 + 5/9 * 9/5) / (2/9 * 3/4)
[345856] ['1/9', '1/7', '5/6', '7/8', '8'] -> 8 / (1/7 / 1/9 - 5/6 / 7/8)
[345857] ['1/2', '4/5', '8/5', '9/4', '5'] -> 4/5 + (9/4 + 5) / (1/2 / 8/5)
[345858] ['8/9', '1', '9/8', '9/8', '7/2'] -> 7/2 / (9/8 * (9/8 - 1)) - 8/9
[345859] ['1/5', '1/4', '2/3', '7/9', '8'] -> (8 - 2/3 / 1/5) / (1/4 * 7/9)
[345860] ['5/8', '7/9', '8/7', '5/2', '7'] -> 7/9 * 5/2 * (8/7 + 7 / 5/8)
[345861] ['1/9', '1/7', '5/6', '8/7', '8'] -> 8 / (1/7 / 1/9 - 5/6 * 8/7)
[345862] ['1/2', '4/5', '5/3', '9/2', '5'] -> 9/2 / (1/2 / 4/5) * (5 - 5/3)
[345863] ['2/9', '5/9', '7/9', '5/6', '3'] -> (5/9 + 7/9) / (5/6 / 3 - 2/9)
[345864] ['3/8', '5/8', '4/5', '5/2', '5'] -> 4/5 / (5/8 - 3/8) * (5/2 + 5)
[345865] ['1/2', '4/5', '7/4', '7/4', '5'] -> 5 * (1/2 + 4/5 + 7/4 + 7/4)
[345866] ['1/5', '1/4', '2/3', '6/7', '8'] -> (8 / 6/7 - 2/3 / 1/5) / 1/4
[345867] ['2/9', '5/9', '7/9', '6/7', '3'] -> (5/9 + 3) / (6/7 * 2/9 * 7/9)
[345868] ['1/5', '1/4', '2/3', '9/7', '8'] -> (8 - 2/3 / 1/5) / (1/4 / 9/7)
[345869] ['2/9', '5/9', '7/9', '7/6', '3'] -> (5/9 + 3) * 7/6 / (2/9 * 7/9)
[345870] ['3/8', '5/8', '5/6', '8/9', '5'] -> (5/6 + 5) / (3/8 * 5/8) - 8/9
[345871] ['5/8', '7/9', '7/6', '6/5', '7'] -> 7 / (5/8 * 6/5) / (7/6 - 7/9)
[345872] ['5/8', '7/9', '7/6', '5/4', '7'] -> 7 / (7/9 * (5/8 + 5/4) - 7/6)
[345873] ['1/9', '1/7', '5/6', '7/5', '8'] -> 8 / (1/9 / 5/6 + 1/7 * 7/5)
[345874] ['8/9', '1', '9/8', '8/7', '4/3'] -> 8/9 / (4/3 / (9/8 * 8/7) - 1)
[345875] ['1/5', '1/4', '2/3', '7/2', '8'] -> (1/4 + 8) / (1/5 / 2/3) - 7/2
[345876] ['3/8', '5/8', '5/6', '7/6', '5'] -> 5 / (3/8 + 7/6 - 5/6 / 5/8)
[345877] ['1/9', '1/7', '5/6', '8/5', '8'] -> (8/5 / 1/7 - 8) / (1/9 / 5/6)
[345878] ['1/2', '4/5', '9/4', '9/4', '5'] -> 5 * (9/4 + 9/4 - (1/2 - 4/5))
[345879] ['1/5', '1/4', '5/7', '5/7', '8'] -> 8 * (1/5 * 5/7 + 5/7 / 1/4)
[345880] ['8/9', '1', '9/8', '8/7', '3/2'] -> 1 / (3/2 * 8/9 / 8/7 - 9/8)
[345881] ['3/8', '5/8', '5/6', '9/7', '5'] -> 5 / (5/8 / 5/6 / 9/7 - 3/8)
[345882] ['1/2', '4/5', '9/4', '7/3', '5'] -> 5 * 1/2 * 4/5 / (7/3 - 9/4)
[345883] ['1/9', '1/7', '5/6', '7/4', '8'] -> (5/6 / 7/4 - 1/7) / (1/9 / 8)
[345884] ['5/8', '7/9', '7/6', '5/3', '7'] -> 7 / (7/9 / 7/6 - 5/8 / 5/3)
[345885] ['2/9', '5/9', '7/9', '8/5', '3'] -> 5/9 * 8/5 / (7/9 / 3 - 2/9)
[345886] ['1/2', '4/5', '9/4', '9/2', '5'] -> 5 * (4/5 + 9/2 / (1/2 * 9/4))
[345887] ['1/5', '1/4', '5/7', '4/5', '8'] -> 5/7 * (4/5 + (1/5 + 8) / 1/4)
[345888] ['5/8', '7/9', '7/6', '9/5', '7'] -> 7 / (7/6 - 9/5 * 5/8 * 7/9)
[345889] ['1/9', '1/7', '5/6', '9/4', '8'] -> 5/6 * 8 / (1/9 + 1/7) - 9/4
[345890] ['2/9', '5/9', '7/9', '9/5', '3'] -> (7/9 + 5/9 * 9/5) / (2/9 / 3)
[345891] ['5/8', '7/9', '7/6', '5/2', '7'] -> 7 / (7/9 * (5/2 - 5/8) - 7/6)
[345892] ['8/9', '1', '9/8', '8/7', '9/4'] -> 1 / 9/4 / (8/7 - 9/8) - 8/9
[345893] ['1/2', '4/5', '7/3', '9/2', '5'] -> 4/5 * 5 / (7/3 / 1/2 - 9/2)
[345894] ['3/8', '5/8', '6/7', '8/9', '5'] -> 5 / (6/7 * 3/8 * 5/8) - 8/9
[345895] ['1/5', '1/4', '5/7', '8/9', '8'] -> 8 / (5/7 * (1/5 + 1/4)) - 8/9
[345896] ['5/8', '7/9', '6/5', '6/5', '7'] -> 7 / 7/9 / (6/5 / 6/5 - 5/8)
[345897] ['2/9', '5/9', '7/9', '3', '7/2'] -> 3 + (5/9 + 7/9) / (2/9 / 7/2)
[345898] ['3/8', '5/8', '6/7', '9/8', '5'] -> 5 / ((9/8 - 5/8) / 6/7 - 3/8)
[345899] ['5/8', '7/9', '6/5', '5/4', '7'] -> 7 / (7/9 - 5/8 / 5/4) - 6/5
[345900] ['1/2', '5/6', '5/6', '5/6', '5'] -> 5 / (5/6 - 5/6 / (1/2 + 5/6))
[345901] ['1/2', '5/6', '5/6', '6/7', '5'] -> 5 / (5/6 * (5/6 - 1/2 / 6/7))
[345902] ['8/9', '1', '9/8', '7/6', '7/6'] -> 8/9 * (7/6 / (7/6 - 9/8) - 1)
[345903] ['1/9', '1/7', '6/7', '6/5', '8'] -> 8 / (6/5 * (1/9 + 1/7 / 6/7))
[345904] ['3/8', '5/8', '6/7', '6/5', '5'] -> (5 - 5/8) / (3/8 / (6/7 + 6/5))
[345905] ['5/8', '7/9', '6/5', '4/3', '7'] -> 7 / (5/8 + 7/9 - 4/3 / 6/5)
[345906] ['1/2', '5/6', '5/6', '7/8', '5'] -> 1/2 * 5 / (5/6 - 5/6 * 7/8)
[345907] ['8/9', '1', '9/8', '7/6', '5/4'] -> (1 + 8/9 * 9/8) / (5/4 - 7/6)
[345908] ['1/2', '5/6', '5/6', '8/9', '5'] -> 1/2 * 5 / (5/6 / 8/9 - 5/6)
[345909] ['5/8', '7/9', '6/5', '7/5', '7'] -> 7 / (5/8 * (7/5 - 7/9 * 6/5))
[345910] ['1/2', '5/6', '5/6', '9/8', '5'] -> 1/2 * 5 / (5/6 * 9/8 - 5/6)
[345911] ['8/9', '1', '9/8', '7/6', '4/3'] -> (7/6 + 9/8 * 4/3) / (1 - 8/9)
[345912] ['3/8', '5/8', '6/7', '7/5', '5'] -> 6/7 * 7/5 * 5 / (5/8 - 3/8)
[345913] ['1/2', '5/6', '5/6', '8/7', '5'] -> 1/2 * 5 / (5/6 - 5/6 / 8/7)
[345914] ['8/9', '1', '9/8', '7/6', '7/5'] -> 1 / (9/8 / 7/5 - 8/9 / 7/6)
[345915] ['2/9', '5/9', '4/5', '7/6', '3'] -> 4/5 / (3 * 2/9 / 5/9 - 7/6)
[345916] ['1/5', '1/4', '5/7', '5/3', '8'] -> 8 / (1/5 + 5/3) / (1/4 * 5/7)
[345917] ['8/9', '1', '9/8', '7/6', '3/2'] -> (7/6 + 3/2) / (8/9 * (9/8 - 1))
[345918] ['1/9', '1/7', '6/7', '9/5', '8'] -> (6/7 / 9/5 - 1/7) / (1/9 / 8)
[345919] ['2/9', '5/9', '4/5', '6/5', '3'] -> (5/9 + 3) * 6/5 / (2/9 * 4/5)
[345920] ['1/5', '1/4', '5/7', '7/4', '8'] -> 8 * (1/5 + (1/4 + 7/4) / 5/7)
[345921] ['5/8', '7/9', '6/5', '7/4', '7'] -> 7/4 * 7 / (5/8 * 7/9) - 6/5
[345922] ['1/5', '1/4', '5/7', '9/5', '8'] -> 5/7 * (8 / 1/4 - (1/5 - 9/5))
[345923] ['1/2', '5/6', '5/6', '8/5', '5'] -> 5 / (5/6 / (1/2 * 8/5) - 5/6)
[345924] ['5/8', '7/9', '6/5', '9/4', '7'] -> 7 * (9/4 / (5/8 * 7/9) - 6/5)
[345925] ['2/9', '5/9', '4/5', '4/3', '3'] -> (4/3 + 5/9 * 4/5) / (2/9 / 3)
[345926] ['1/2', '5/6', '5/6', '9/5', '5'] -> (5 + 5/6 + 5/6) / (1/2 / 9/5)
[345927] ['1/2', '5/6', '5/6', '9/4', '5'] -> 5 / (5/6 * 9/4 - 5/6 / 1/2)
[345928] ['3/8', '5/8', '6/7', '9/4', '5'] -> (3/8 + 9/4 / 6/7) / (5/8 / 5)
[345929] ['1/9', '1/7', '7/8', '8/9', '8'] -> 8/9 / (7/8 * (1/7 - 1/9)) - 8
[345930] ['2/9', '5/9', '4/5', '7/5', '3'] -> 3 * ((5/9 + 7/5) / 2/9 - 4/5)
[345931] ['1/2', '5/6', '5/6', '7/3', '5'] -> (7/3 + 5/6 / 1/2) / (5/6 / 5)
[345932] ['8/9', '1', '9/8', '7/6', '7/3'] -> 8/9 / ((7/3 - 7/6) / 9/8 - 1)
[345933] ['3/8', '5/8', '6/7', '8/3', '5'] -> 5 / (5/8 - 3/8 / 6/7) - 8/3
[345934] ['8/9', '1', '9/8', '7/6', '5/2'] -> 9/8 * (5/2 / (1 - 8/9) - 7/6)
[345935] ['5/8', '7/9', '6/5', '7/2', '7'] -> (7/2 + 7 / 7/9) / (5/8 / 6/5)
[345936] ['2/9', '5/9', '4/5', '5/3', '3'] -> (5/9 + 5/3) * 3 / (2/9 / 4/5)
[345937] ['2/9', '5/9', '4/5', '7/4', '3'] -> 4/5 / 2/9 / (7/4 / 5/9 - 3)
[345938] ['1/5', '1/4', '3/4', '6/7', '8'] -> 6/7 * 8 * (3/4 / 1/5 - 1/4)
[345939] ['5/8', '7/9', '5/4', '5/4', '7'] -> 7 / 7/9 / (5/4 / 5/4 - 5/8)
[345940] ['3/8', '5/8', '7/8', '9/7', '5'] -> 7/8 * 9/7 * 5 / (3/8 * 5/8)
[345941] ['2/9', '5/9', '4/5', '7/3', '3'] -> (7/3 + 3) / (5/9 * 4/5 - 2/9)
[345942] ['8/9', '1', '9/8', '6/5', '4/3'] -> 4/3 / (8/9 * (1 - 9/8 / 6/5))
[345943] ['3/8', '5/8', '7/8', '4/3', '5'] -> 5 / (3/8 - 5/8 - (7/8 - 4/3))
[345944] ['5/8', '7/9', '5/4', '7/5', '7'] -> 7 / (7/9 * (5/4 - 5/8 * 7/5))
[345945] ['1/2', '5/6', '6/7', '5/4', '5'] -> 5 / (5/6 / 1/2 - 5/4 / 6/7)
[345946] ['2/9', '5/9', '4/5', '5/2', '3'] -> 5/2 / (2/9 * 5/9) + 3 / 4/5
[345947] ['5/8', '7/9', '5/4', '3/2', '7'] -> 7 / 7/9 / (5/8 + 5/4 - 3/2)
[345948] ['8/9', '1', '9/8', '6/5', '3/2'] -> 3/2 / (9/8 * (8/9 - 1 / 6/5))
[345949] ['8/9', '1', '9/8', '6/5', '5/3'] -> 5/3 / (8/9 * (6/5 - 9/8)) - 1
[345950] ['5/8', '7/9', '5/4', '5/3', '7'] -> 7 / (7/9 / 5/3) / (5/4 - 5/8)
[345951] ['1/2', '5/6', '6/7', '3/2', '5'] -> 3/2 * (1/2 / (6/7 - 5/6) - 5)
[345952] ['2/9', '5/9', '5/6', '8/9', '3'] -> (3 + 5/9 + 8/9) / (2/9 * 5/6)
[345953] ['5/8', '7/9', '5/4', '7/4', '7'] -> 7 / (7/4 - 7/9 * (5/8 + 5/4))
[345954] ['1/9', '1/7', '7/8', '9/4', '8'] -> (8 / 9/4 - 1/9 / 7/8) / 1/7
[345955] ['2/9', '5/9', '5/6', '8/7', '3'] -> 3 / (5/6 - (2/9 + 5/9 / 8/7))
[345956] ['1/2', '5/6', '6/7', '9/5', '5'] -> (5/6 + 5 / 6/7) / (1/2 / 9/5)
[345957] ['1/9', '1/7', '7/8', '5/2', '8'] -> 8 / (1/9 * (1/7 + 5/2 / 7/8))
[345958] ['1/5', '1/4', '7/9', '6/7', '8'] -> (8 / 7/9 - 6/7 / 1/5) / 1/4
[345959] ['8/9', '1', '9/8', '6/5', '5/2'] -> 5/2 / (1 - 8/9) / (9/8 / 6/5)
[345960] ['3/8', '5/8', '8/9', '7/4', '5'] -> 8/9 / (5/8 - 3/8) * (7/4 + 5)
[345961] ['5/8', '7/9', '5/4', '9/2', '7'] -> 7 * 7/9 * 9/2 - 5/8 / 5/4
[345962] ['1/9', '1/7', '8/9', '8/9', '8'] -> (8/9 + 8 - 8/9 / 1/7) / 1/9
[345963] ['1/5', '1/4', '7/9', '9/8', '8'] -> 8 / (1/4 / (1/5 * 9/8) - 7/9)
[345964] ['2/9', '5/9', '5/6', '8/5', '3'] -> 8/5 * (5/6 / 5/9 + 3 / 2/9)
[345965] ['5/8', '7/9', '9/7', '4/3', '7'] -> 7 / (5/8 - 4/3 + 7/9 * 9/7)
[345966] ['3/8', '5/8', '8/9', '8/3', '5'] -> (8/3 + 3/8 * 8/9) / (5/8 / 5)
[345967] ['2/9', '5/9', '5/6', '7/4', '3'] -> 3 * (7/4 + (5/9 + 5/6) / 2/9)
[345968] ['1/9', '1/7', '8/9', '6/5', '8'] -> 6/5 * (8/9 / (1/7 - 1/9) - 8)
[345969] ['3/8', '5/8', '8/9', '7/2', '5'] -> 3/8 / (5 * 5/8 / 8/9 - 7/2)
[345970] ['1/9', '1/7', '8/9', '5/4', '8'] -> 8 / (8/9 * 5/4 - 1/9 / 1/7)
[345971] ['5/8', '7/9', '9/7', '3/2', '7'] -> (7/9 + 7) * 3/2 / (5/8 / 9/7)
