[106381] ['2/9', '9/8', '7/4', '7/2', '4'] -> (4 + 7/2 / 7/4) / (2/9 * 9/8)
[106425] ['1/8', '1/8', '1/3', '5/9', '7'] -> (1/3 + 7) / (5/9 - (1/8 + 1/8))
[106426] ['2/9', '9/8', '9/4', '7/2', '4'] -> 4 * (2/9 * 9/8 + 9/4 + 7/2)
[106427] ['1/5', '5/8', '5/8', '5/3', '9'] -> (9 - 5/8 / 5/8) / (1/5 * 5/3)
[106428] ['1/8', '2/5', '9/7', '4/3', '6'] -> 2/5 * 9/7 * (6 / 1/8 - 4/3)
[106429] ['3/5', '3/4', '5/4', '3/2', '4'] -> 4 / (3/4 + 3/2 - 5/4 / 3/5)
[106430] ['4/9', '1/2', '5/8', '8/9', '3'] -> 4/9 * 3 / (5/8 * 8/9 - 1/2)
[106431] ['2/9', '3/8', '6/7', '7/6', '8'] -> (8 - 7/6 / (3/8 / 6/7)) / 2/9
[106432] ['1/7', '1/6', '3/5', '5/7', '3'] -> (1/7 + 5/7 / 3/5) / (1/6 / 3)
[106433] ['5/8', '6/5', '4/3', '5/3', '3'] -> (6/5 + 3) / (4/3 / 5/3 - 5/8)
[106434] ['4/7', '9/8', '7/3', '7/3', '5'] -> 5 / (7/3 * (4/7 - 9/8 / 7/3))
[106435] ['3/8', '3/8', '3/5', '4/5', '2'] -> 3/5 * 2 / (4/5 - (3/8 + 3/8))
[106436] ['1/8', '1/8', '1/3', '7/9', '7'] -> (7 / 7/9 - 1/8 / 1/8) / 1/3
[106437] ['4/9', '1/2', '5/8', '6/5', '3'] -> (6/5 + 3 / (4/9 * 5/8)) / 1/2
[106438] ['5/8', '7/8', '1', '7/6', '9/4'] -> 5/8 / (7/6 - 1 / 7/8) - 9/4
[106439] ['5/9', '5/8', '9/7', '7/5', '9'] -> 9 / (7/5 * 5/9 * 9/7 - 5/8)
[106440] ['2/9', '9/8', '7/3', '5/2', '4'] -> (7/3 + 4 / 9/8) / 2/9 - 5/2
[106441] ['2/7', '1/2', '2/3', '9/8', '7'] -> 2/3 + (1/2 + 7) / (2/7 * 9/8)
[106442] ['5/8', '6/5', '4/3', '9/4', '3'] -> 9/4 / (5/8 * (4/3 - 6/5)) - 3
[106443] ['1/8', '6/5', '9/7', '9/7', '4'] -> (4 / (6/5 / 9/7) - 9/7) / 1/8
[106444] ['1/7', '1/6', '3/5', '7/9', '3'] -> (1/7 + 3 / 3/5) / (1/6 / 7/9)
[106445] ['1/5', '4/5', '9/7', '9/5', '7'] -> (7 - (4/5 + 9/5 / 9/7)) / 1/5
[106446] ['4/9', '1/2', '5/8', '5/4', '3'] -> 3 / 4/9 / (5/8 * 5/4 - 1/2)
[106447] ['5/8', '6/5', '4/3', '7/3', '3'] -> 3 / 5/8 / (6/5 + 4/3 - 7/3)
[106448] ['2/9', '3/8', '6/7', '7/5', '8'] -> 8 / (3/8 * 7/5) / (6/7 - 2/9)
[106449] ['5/8', '6/5', '4/3', '5/2', '3'] -> 3 / (5/2 / 6/5 - (5/8 + 4/3))
[106450] ['3/8', '3/8', '3/5', '8/9', '2'] -> 2 / (3/5 * (8/9 - (3/8 + 3/8)))
[106451] ['5/9', '5/8', '9/7', '5/3', '9'] -> 9 / (9/7 * (5/8 - 5/9 / 5/3))
[106452] ['1/5', '5/8', '2/3', '7/9', '9'] -> 9 / (5/8 / 7/9) / (2/3 - 1/5)
[106453] ['2/7', '1/2', '2/3', '8/5', '7'] -> 2/7 * 7 / (1/2 - 2/3 / 8/5)
[106454] ['2/9', '8/7', '8/7', '8/7', '4'] -> 4 * (8/7 + 8/7 / 2/9) - 8/7
[106455] ['5/8', '7/8', '1', '6/5', '5/4'] -> 1 / (5/8 - 7/8 / 6/5 / 5/4)
[106456] ['3/5', '3/4', '9/7', '8/5', '4'] -> 8/5 / 4 / (3/5 - 3/4 / 9/7)
[106457] ['5/8', '6/5', '4/3', '8/3', '3'] -> (4/3 + 8/3) * (6/5 + 3 / 5/8)
[106458] ['2/9', '8/7', '8/7', '7/6', '4'] -> (7/6 + 4 / 8/7) / (2/9 / 8/7)
[106459] ['2/7', '1/2', '2/3', '9/5', '7'] -> 7 * (2/7 + 2/3) / (1/2 / 9/5)
[106460] ['5/8', '6/5', '4/3', '3', '7/2'] -> 4/3 * (6/5 + 7/2 / (5/8 / 3))
[106461] ['3/8', '3/8', '3/5', '7/6', '2'] -> 2 / ((3/8 + 3/8) / 3/5 - 7/6)
[106462] ['3/5', '3/4', '9/7', '5/3', '4'] -> 3/5 / (9/7 / 5/3 - 3/4) - 4
[106463] ['1/7', '1/6', '3/5', '8/7', '3'] -> (1/7 - 8/7 + 3 / 3/5) / 1/6
[106464] ['1/5', '5/8', '2/3', '8/9', '9'] -> (9 / (5/8 * 8/9) - 1/5) / 2/3
[106465] ['1/8', '1/8', '3/8', '2/5', '7'] -> (7 + 1/8 + 3/8) / (1/8 / 2/5)
[106466] ['5/8', '6/5', '7/5', '7/5', '3'] -> 3 / (5/8 * (6/5 - 7/5 / 7/5))
[106467] ['1/5', '4/5', '4/3', '7/2', '7'] -> 4/5 / 7/2 / (1/5 - 4/3 / 7)
[106468] ['4/9', '1/2', '5/8', '9/5', '3'] -> 3 / (5/8 / 9/5 - 4/9 * 1/2)
[106469] ['5/8', '7/8', '1', '6/5', '7/5'] -> 5/8 / (7/8 * 7/5 - 6/5) - 1
[106470] ['1/8', '1/8', '3/8', '4/9', '7'] -> (7 + 1/8 - 3/8) / (1/8 / 4/9)
[106471] ['4/7', '9/8', '8/3', '9/2', '5'] -> 8/3 * (9/8 / 9/2 + 5 / 4/7)
[106472] ['4/9', '1/2', '5/8', '7/3', '3'] -> (7/3 + 3) / (1/2 - 4/9 * 5/8)
[106473] ['2/9', '3/8', '6/7', '9/4', '8'] -> 8 / (6/7 * (2/9 + 3/8 / 9/4))
[106474] ['5/8', '7/8', '1', '6/5', '3/2'] -> (1 + 3/2) / (7/8 / 6/5 - 5/8)
[106475] ['3/5', '3/4', '9/7', '9/5', '4'] -> 9/5 / (3/5 + 3/4 - 9/7) - 4
[106476] ['1/5', '4/5', '7/5', '3/2', '7'] -> ((7/5 + 7) / 3/2 - 4/5) / 1/5
[106477] ['1/5', '5/8', '2/3', '7/6', '9'] -> 9 / (7/6 - (2/3 + 1/5 * 5/8))
[106478] ['3/8', '3/8', '3/5', '4/3', '2'] -> 2 / (4/3 - (3/8 + 3/8) / 3/5)
[106479] ['2/7', '1/2', '5/7', '8/9', '7'] -> (2/7 + 7) / (5/7 / 8/9 - 1/2)
[106480] ['2/9', '3/8', '6/7', '5/2', '8'] -> 8 * (2/9 * 3/8 + 5/2 / 6/7)
[106481] ['1/8', '1/8', '3/8', '4/7', '7'] -> 7 * ((1/8 + 3/8) / 1/8 - 4/7)
[106482] ['4/9', '1/2', '5/8', '3', '7/2'] -> 3 * (7/2 / 4/9 - (1/2 - 5/8))
[106483] ['5/8', '7/8', '1', '6/5', '5/3'] -> 1 / (5/3 - (7/8 + 5/8 * 6/5))
[106484] ['1/5', '5/8', '2/3', '5/4', '9'] -> 9 + 5/4 / (2/3 * 1/5 * 5/8)
[106485] ['5/9', '5/8', '9/7', '7/2', '9'] -> 7/2 * 5/9 / 5/8 * (9 - 9/7)
[106486] ['4/7', '9/8', '7/2', '9/2', '5'] -> 7/2 * (4/7 * 5 + 9/2 / 9/8)
[106487] ['1/5', '4/5', '7/5', '9/5', '7'] -> 4/5 - 9/5 + 7 / (1/5 * 7/5)
[106488] ['5/8', '6/5', '7/5', '9/4', '3'] -> 3 / ((9/4 - 6/5) / 7/5 - 5/8)
[106489] ['5/8', '7/8', '1', '6/5', '7/4'] -> 1 / (5/8 + 7/8 - 7/4 / 6/5)
[106490] ['3/8', '3/8', '3/5', '3/2', '2'] -> 3/2 / (3/8 - 3/8 / 3/5 / 2)
[106491] ['2/9', '8/7', '8/7', '7/4', '4'] -> 4 / (2/9 * (7/4 - 8/7 / 8/7))
[106492] ['1/8', '2/5', '4/3', '9/4', '6'] -> 4/3 / (1/8 * 2/5) - 6 / 9/4
[106493] ['1/8', '1/8', '3/8', '5/7', '7'] -> 5/7 * 7 / (1/8 / 3/8 - 1/8)
[106494] ['1/5', '5/8', '2/3', '9/7', '9'] -> 9 / (5/8 * 9/7) / (2/3 - 1/5)
[106495] ['3/5', '3/4', '9/7', '5/2', '4'] -> 4 / (3/5 / 9/7 - 3/4 / 5/2)
[106496] ['5/8', '6/5', '7/5', '7/3', '3'] -> 3 / (5/8 - 7/5 / (6/5 * 7/3))
[106497] ['2/7', '1/2', '5/7', '7/6', '7'] -> 1/2 + (5/7 + 7 / 7/6) / 2/7
[106498] ['1/8', '2/5', '4/3', '7/3', '6'] -> 6 / (1/8 + 4/3) / (2/5 / 7/3)
[106499] ['2/9', '3/8', '7/8', '7/8', '8'] -> (8 - 7/8 / (3/8 * 7/8)) / 2/9
[106500] ['1/7', '1/6', '3/5', '5/3', '3'] -> (5/3 / (1/7 / 3/5) - 3) / 1/6
[106501] ['5/9', '5/8', '4/3', '7/4', '9'] -> 5/9 * 9 / (5/8 + 4/3 - 7/4)
[106502] ['5/8', '6/5', '7/5', '8/3', '3'] -> 7/5 * 3 / (5/8 - 6/5 / 8/3)
[106503] ['1/8', '2/5', '4/3', '5/2', '6'] -> 6 / (2/5 / 4/3 - 1/8 / 5/2)
[106504] ['2/7', '1/2', '5/7', '4/3', '7'] -> 4/3 * (1/2 + 7 / (2/7 / 5/7))
[106505] ['1/5', '4/5', '7/5', '7/2', '7'] -> 7/2 * 7 - 4/5 / (1/5 + 7/5)
[106506] ['4/7', '8/7', '8/7', '6/5', '5'] -> (8/7 + 8/7) * 5 / (4/7 / 6/5)
[106507] ['5/8', '7/8', '1', '6/5', '8/3'] -> 1 / (5/8 * (8/3 - 6/5) - 7/8)
[106508] ['3/5', '3/4', '9/7', '7/2', '4'] -> 7/2 * (4 + 9/7 / (3/5 * 3/4))
[106509] ['2/9', '8/7', '8/7', '5/2', '4'] -> 8/7 + 5/2 * (4 + 8/7 / 2/9)
[106510] ['5/9', '5/8', '4/3', '9/4', '9'] -> 4/3 * 9/4 * 9 * 5/9 / 5/8
[106511] ['1/7', '1/6', '3/5', '7/4', '3'] -> 3 / 7/4 / (1/7 / 3/5 - 1/6)
[106512] ['1/8', '1/8', '3/8', '7/5', '7'] -> 7 / 7/5 / (1/8 / 3/8 - 1/8)
[106513] ['3/8', '3/8', '3/5', '2', '5/2'] -> (2 + 3/5 / 3/8) / (3/8 / 5/2)
[106514] ['1/5', '5/8', '2/3', '9/4', '9'] -> 2/3 * 9 + 9/4 / (1/5 * 5/8)
[106515] ['2/7', '1/2', '5/7', '5/3', '7'] -> 5/3 * (2/7 / 5/7 + 7 / 1/2)
[106516] ['5/8', '7/8', '1', '5/4', '5/4'] -> (1 + 5/4) / (7/8 - 5/8 * 5/4)
[106517] ['4/9', '1/2', '2/3', '6/5', '3'] -> 4/9 * 3 / (2/3 / 6/5 - 1/2)
[106518] ['2/9', '3/8', '7/8', '5/4', '8'] -> (8 - 5/4 / 3/8) / (2/9 * 7/8)
[106519] ['1/8', '1/8', '3/8', '8/5', '7'] -> (1/8 + 7) / (3/8 - 1/8 / 8/5)
[106520] ['5/8', '6/5', '7/5', '3', '9/2'] -> 7/5 / (6/5 / 9/2 - 5/8 / 3)
[106521] ['1/8', '2/5', '4/3', '7/2', '6'] -> 7/2 / (1/8 * (4/3 - 2/5)) - 6
[106522] ['1/8', '6/5', '4/3', '9/5', '4'] -> 6/5 * 4 + 9/5 / (1/8 / 4/3)
[106523] ['5/9', '5/8', '4/3', '7/2', '9'] -> (5/8 * 4/3 + 7/2 + 9) / 5/9
[106524] ['3/5', '3/4', '4/3', '4/3', '4'] -> 4 / (3/4 - 3/5) - (4/3 + 4/3)
[106525] ['2/7', '1/2', '5/7', '9/5', '7'] -> (9/5 + (2/7 + 7) / 5/7) / 1/2
[106526] ['1/7', '1/6', '3/5', '7/3', '3'] -> 7/3 / (1/6 / 3/5) * (3 - 1/7)
[106527] ['2/9', '3/8', '7/8', '9/7', '8'] -> 8 / (2/9 * (3/8 + 7/8 * 9/7))
[106528] ['2/7', '1/2', '5/7', '9/4', '7'] -> (5/7 + 7) / (9/4 * 2/7 * 1/2)
[106529] ['1/8', '6/5', '4/3', '7/3', '4'] -> 6/5 * (4/3 / 1/8 + 7/3 * 4)
[106530] ['5/8', '7/8', '1', '5/4', '7/5'] -> 5/8 / (5/4 - 7/8 * 7/5) - 1
[106531] ['5/8', '6/5', '3/2', '9/4', '3'] -> 6/5 * 3 / (3/2 / 5/8 - 9/4)
[106532] ['1/8', '2/5', '7/5', '7/5', '6'] -> (6 - (2/5 + 7/5)) / (1/8 * 7/5)
[106533] ['4/7', '8/7', '8/7', '7/5', '5'] -> (8/7 + 8/7 * 7/5) / (4/7 / 5)
[106534] ['3/5', '3/4', '4/3', '8/5', '4'] -> 8/5 / 4 / (3/5 + 3/4 - 4/3)
[106535] ['1/8', '1/8', '2/5', '2/5', '7'] -> (7 - 2/5 / 2/5) / (1/8 + 1/8)
[106536] ['1/5', '5/8', '5/7', '5/7', '9'] -> 9 / (1/5 / 5/7) / (5/8 + 5/7)
[106537] ['4/7', '8/7', '8/7', '3/2', '5'] -> 5 * (4/7 + 8/7) / (3/2 - 8/7)
[106538] ['2/9', '8/7', '7/6', '5/4', '4'] -> (5/4 + 4 / (8/7 / 7/6)) / 2/9
[106539] ['5/8', '7/8', '1', '5/4', '8/5'] -> 8/5 * (5/8 + 5/4) / (1 - 7/8)
[106540] ['1/8', '6/5', '4/3', '5/2', '4'] -> (5/2 / 6/5 - 4/3) / (1/8 / 4)
[106541] ['5/9', '5/8', '7/5', '3/2', '9'] -> 9 / (3/2 - 5/9 * (5/8 + 7/5))
[106542] ['3/5', '3/4', '4/3', '7/4', '4'] -> 4 / (3/5 * (3/4 + 7/4) - 4/3)
[106543] ['1/7', '1/6', '3/5', '3', '7/2'] -> (3 + 3/5 / 1/7) * (7/2 - 1/6)
[106544] ['1/5', '4/5', '8/5', '7/3', '7'] -> 8/5 / (4/5 * 7/3 / 7 - 1/5)
[106545] ['4/7', '8/7', '8/7', '8/5', '5'] -> (8/7 + 8/5) * 5 / (8/7 - 4/7)
[106546] ['1/5', '5/8', '5/7', '7/9', '9'] -> 9 / (7/9 * (5/8 - 1/5 * 5/7))
[106547] ['5/9', '5/8', '7/5', '8/5', '9'] -> (7/5 + 8/5) * 9 * 5/9 / 5/8
[106548] ['3/8', '3/8', '5/8', '5/6', '2'] -> (3/8 + 5/8) / (5/6 / 2 - 3/8)
[106549] ['3/5', '3/4', '4/3', '9/5', '4'] -> 9/5 * 4 / (3/4 - 3/5 / 4/3)
[106550] ['2/7', '1/2', '3/4', '5/6', '7'] -> 2/7 / (5/6 - (3/4 + 1/2 / 7))
[106551] ['4/7', '8/7', '8/7', '5/3', '5'] -> 8/7 / (4/7 * 5 - (8/7 + 5/3))
[106552] ['1/7', '1/6', '5/8', '5/8', '3'] -> (5/8 / (1/7 * 5/8) - 3) / 1/6
[106553] ['5/8', '7/8', '1', '5/4', '7/3'] -> 1 / (7/8 * 7/3 - 5/4 / 5/8)
[106554] ['1/8', '2/5', '3/2', '8/3', '6'] -> 6 / (3/2 / 8/3 - 1/8 / 2/5)
[106555] ['1/5', '5/8', '5/7', '4/5', '9'] -> 1/5 * 9 / (5/8 / 5/7 - 4/5)
[106556] ['4/9', '1/2', '5/7', '7/9', '3'] -> 4/9 * 3 / (5/7 * 7/9 - 1/2)
[106557] ['1/8', '6/5', '4/3', '4', '9/2'] -> (6/5 * (4/3 + 9/2) - 4) / 1/8
[106558] ['3/8', '3/8', '5/8', '7/8', '2'] -> 3/8 / (3/8 * 7/8 - 5/8 / 2)
[106559] ['4/7', '8/7', '8/7', '7/4', '5'] -> (8/7 + 8/7) * (7/4 + 5 / 4/7)
[106560] ['3/5', '3/4', '4/3', '7/3', '4'] -> 7/3 / (4/3 - 3/4 / 3/5) - 4
[106561] ['2/9', '8/7', '7/6', '3/2', '4'] -> 4 / (3/2 - (8/7 + 2/9 / 7/6))
[106562] ['5/8', '6/5', '8/5', '5/3', '3'] -> (6/5 / (5/3 - 8/5) - 3) / 5/8
[106563] ['5/8', '7/8', '1', '5/4', '5/2'] -> (5/2 + 5/8 / 5/4) / (1 - 7/8)
[106564] ['3/5', '3/4', '4/3', '5/2', '4'] -> (4/3 + 4 / (3/5 / 5/2)) / 3/4
[106565] ['3/8', '3/8', '5/8', '8/7', '2'] -> 3/8 / (3/8 / 8/7 - 5/8 / 2)
[106566] ['1/8', '1/8', '2/5', '2/3', '7'] -> 7 / (2/3 * (1/8 + 1/8 / 2/5))
[106567] ['2/7', '1/2', '3/4', '8/9', '7'] -> 8/9 * (3/4 + (1/2 + 7) / 2/7)
[106568] ['2/9', '8/7', '7/6', '8/5', '4'] -> 8/5 / (2/9 / 7/6) * (4 - 8/7)
[106569] ['1/5', '4/5', '5/3', '7/2', '7'] -> (7/2 + 1/5 + 4/5) * (7 - 5/3)
[106570] ['5/8', '7/8', '1', '5/4', '8/3'] -> (1 + 5/4) * 8/3 / (7/8 - 5/8)
[106571] ['1/7', '1/6', '5/8', '5/6', '3'] -> ((3 - 5/6) / 1/7 - 1/6) / 5/8
[106572] ['4/9', '1/2', '5/7', '6/7', '3'] -> 6/7 / (5/7 / (4/9 * 3) - 1/2)
[106573] ['2/9', '3/8', '8/9', '6/5', '8'] -> (8 - 2/9) / (3/8 / 6/5) - 8/9
[106574] ['5/9', '5/8', '7/5', '9/4', '9'] -> 9 / (5/9 * 9/4 - 5/8 * 7/5)
[106575] ['2/7', '1/2', '3/4', '9/8', '7'] -> (3/4 + (1/2 + 7) / 2/7) / 9/8
[106576] ['5/8', '6/5', '8/5', '7/3', '3'] -> 3 / (5/8 * 7/3 - 8/5 / 6/5)
[106577] ['1/8', '1/8', '2/5', '3/4', '7'] -> 7 / (1/8 / 2/5 / 3/4 - 1/8)
[106578] ['3/5', '3/4', '4/3', '7/2', '4'] -> (7/2 / 3/5 - 4/3) / (3/4 / 4)
[106579] ['2/9', '3/8', '8/9', '9/7', '8'] -> 9/7 * (8 + 8/9 / (2/9 * 3/8))
[106580] ['3/8', '3/8', '5/8', '5/4', '2'] -> 3/8 / (5/8 * 5/4 / 2 - 3/8)
[106581] ['1/5', '4/5', '7/4', '9/5', '7'] -> (7 - 7/4) / 1/5 - 9/5 / 4/5
[106582] ['3/8', '3/8', '5/8', '9/7', '2'] -> (5/8 + 2) * 9/7 / (3/8 * 3/8)
[106583] ['2/7', '1/2', '3/4', '5/4', '7'] -> (5/4 - (2/7 - 3/4)) / (1/2 / 7)
[106584] ['1/5', '5/8', '5/7', '7/6', '9'] -> 9 / (5/8 * 7/6) / (5/7 - 1/5)
[106585] ['5/9', '5/8', '7/5', '8/3', '9'] -> (8/3 + 9) / (7/5 * 5/9 * 5/8)
[106586] ['2/9', '8/7', '7/6', '7/2', '4'] -> 8/7 * (7/2 / 7/6 + 4 / 2/9)
[106587] ['1/7', '1/6', '5/8', '8/9', '3'] -> 1/7 / (1/6 - 5/8 / (8/9 + 3))
[106588] ['4/9', '1/2', '5/7', '8/7', '3'] -> 8/7 / (5/7 - 3 * 4/9 * 1/2)
[106589] ['1/5', '5/8', '5/7', '6/5', '9'] -> 9 / (5/7 * (1/5 + 6/5) - 5/8)
[106590] ['4/7', '8/7', '7/6', '6/5', '5'] -> (4/7 + 8/7 / 5) / (6/5 - 7/6)
[106591] ['1/5', '4/5', '7/4', '7/3', '7'] -> 1/5 + (4/5 + 7/4) * (7/3 + 7)
[106592] ['3/5', '3/4', '7/5', '7/5', '4'] -> 7/5 / (7/5 - (3/5 + 3/4)) - 4
[106593] ['3/8', '3/8', '5/8', '8/5', '2'] -> 3/8 / 5/8 / (2 - (3/8 + 8/5))
[106594] ['2/9', '3/8', '8/9', '9/5', '8'] -> (9/5 + 8 / (2/9 + 8/9)) / 3/8
[106595] ['1/3', '1', '9/8', '8/7', '3/2'] -> 8/7 / (1 / (9/8 + 3/2) - 1/3)
[106596] ['1/5', '5/8', '5/7', '5/4', '9'] -> (5/8 + 5/4) * (1/5 + 9 / 5/7)
[106597] ['3/8', '3/8', '5/8', '5/3', '2'] -> (3/8 + 5/8) / (3/8 + 5/3 - 2)
[106598] ['5/8', '6/5', '5/3', '9/4', '3'] -> 5/3 * 3 * (6/5 + 9/4 / 5/8)
[106599] ['2/9', '8/7', '6/5', '5/4', '4'] -> 8/7 * 5/4 * (4 / 2/9 - 6/5)
[106600] ['4/7', '8/7', '7/6', '4/3', '5'] -> (8/7 + 4/7 * 5) / (4/3 - 7/6)
[106601] ['3/8', '3/8', '5/8', '9/5', '2'] -> 9/5 / (3/8 - 3/8 / 5/8 / 2)
[106602] ['2/9', '3/8', '8/9', '5/2', '8'] -> (5/2 + 8) / 3/8 - 8/9 / 2/9
[106603] ['1/5', '5/8', '5/7', '4/3', '9'] -> (4/3 / 5/7 - 1/5) / (5/8 / 9)
[106604] ['3/5', '3/4', '7/5', '5/3', '4'] -> 4 / (5/3 - 3/4 * (3/5 + 7/5))
[106605] ['1/5', '4/5', '7/4', '8/3', '7'] -> 8/3 * (1/5 / 4/5 + 7/4 + 7)
[106606] ['5/9', '5/8', '3/2', '8/5', '9'] -> (9 / 5/8 - 8/5 / 3/2) / 5/9
[106607] ['1/8', '1/8', '2/5', '7/6', '7'] -> 7 / (2/5 * (7/6 - 1/8) - 1/8)
[106608] ['3/8', '3/8', '5/8', '2', '7/3'] -> (3/8 + 5/8) / (3/8 + 2 - 7/3)
[106609] ['1/5', '5/8', '5/7', '7/5', '9'] -> 9 / (1/5 * 7/5) / (5/8 + 5/7)
[106610] ['2/9', '8/7', '6/5', '4/3', '4'] -> (4/3 + 4 / 6/5) / (2/9 / 8/7)
[106611] ['1/3', '1', '9/8', '8/7', '5/3'] -> 1 / ((5/3 - 1/3) / 8/7 - 9/8)
[106612] ['4/7', '8/7', '7/6', '3/2', '5'] -> 8/7 * 5 / (4/7 + 7/6 - 3/2)
[106613] ['4/9', '1/2', '5/7', '9/7', '3'] -> 4/9 * 3 / (5/7 / 9/7 - 1/2)
[106614] ['1/8', '2/5', '7/4', '7/3', '6'] -> 6 / 2/5 / (7/4 / 7/3 - 1/8)
[106615] ['2/7', '1/2', '3/4', '9/5', '7'] -> 2/7 * 7 / (1/2 - 3/4 / 9/5)
[106616] ['1/8', '1/8', '2/5', '9/7', '7'] -> (7 - 9/7) / (1/8 / (1/8 + 2/5))
