[257086] ['4/9', '4/5', '7/8', '8/3', '7'] -> (7 + 8/3 / 4/5) / (7/8 - 4/9)
[257107] ['1/5', '1/5', '7/9', '3/2', '7'] -> 3/2 + 7 / (7/9 * (1/5 + 1/5))
[257108] ['2/7', '4/9', '7/5', '5/3', '3'] -> (5/3 + 3 / 7/5) / (4/9 - 2/7)
[257109] ['1/5', '8/9', '8/5', '8/5', '2'] -> (8/5 + 8/9 * (8/5 + 2)) / 1/5
[257110] ['2/5', '7/5', '8/5', '9/4', '8'] -> 2/5 - 8/5 + 8 * 7/5 * 9/4
[257111] ['1/6', '1/3', '5/8', '1', '9/7'] -> 1/3 / (1/6 + 5/8 - 1 / 9/7)
[257112] ['3/8', '7/9', '8/5', '7/2', '9'] -> 7/2 * (9 / (7/9 * 8/5) - 3/8)
[257113] ['8/9', '9/7', '9/7', '2', '5/2'] -> 2 / (5/2 / (9/7 + 9/7) - 8/9)
[257114] ['1/9', '1/7', '2/7', '7/2', '9'] -> 2/7 * (7/2 + 9 / 1/9) - 1/7
[257115] ['1/5', '8/9', '8/5', '7/4', '2'] -> 2 / (7/4 / (1/5 + 8/5) - 8/9)
[257116] ['1/9', '3/7', '6/5', '2', '9/4'] -> 2 / (3/7 / 9/4 - 1/9) - 6/5
[257117] ['1/6', '1/3', '5/8', '1', '7/5'] -> 1 / ((5/8 - 1/3) / 7/5 - 1/6)
[257118] ['4/9', '4/9', '7/5', '3/2', '2'] -> (4/9 + 2) / (3/2 - 7/5) - 4/9
[257119] ['3/8', '7/9', '8/5', '9/2', '9'] -> 9/2 * (9 / 8/5 - 3/8 * 7/9)
[257120] ['2/5', '7/5', '5/3', '9/4', '8'] -> 9/4 * (5/3 + 8 - (2/5 - 7/5))
[257121] ['8/9', '9/7', '9/7', '2', '7/2'] -> 9/7 / (7/2 - (2 + 9/7 / 8/9))
[257122] ['1/9', '1/7', '2/7', '9/2', '9'] -> 1/9 * (9 / (1/7 * 2/7) - 9/2)
[257123] ['4/9', '4/9', '7/5', '8/5', '2'] -> 8/5 / (7/5 - (4/9 + 4/9 * 2))
[257124] ['1/9', '3/7', '6/5', '2', '7/3'] -> (3/7 * 7/3 + 2 / 6/5) / 1/9
[257125] ['2/9', '4/9', '7/6', '8/5', '6'] -> (7/6 - 4/9 / 8/5) / (2/9 / 6)
[257126] ['1/9', '1/7', '7/5', '8/3', '6'] -> 8/3 / (1/7 * 7/5 - 1/9) - 6
[257127] ['1/5', '1/5', '7/9', '9/5', '7'] -> (7 / (7/9 * 9/5) - 1/5) / 1/5
[257128] ['1/6', '1/3', '5/8', '1', '9/5'] -> (1 + 9/5 / 1/3) / (1/6 / 5/8)
[257129] ['1/4', '5/9', '6/5', '8/5', '9'] -> (9 - 1/4) / (5/9 / 8/5) - 6/5
[257130] ['1/5', '1/5', '7/9', '9/4', '7'] -> (7 - 9/4 * (1/5 + 7/9)) / 1/5
[257131] ['2/9', '3/5', '3/4', '3/4', '1'] -> 2/9 / (3/4 - 1 / (3/5 + 3/4))
[257132] ['2/7', '4/9', '7/5', '7/3', '3'] -> (7/3 + 3) / (7/5 * (4/9 - 2/7))
[257133] ['8/9', '9/7', '4/3', '4/3', '2'] -> 4/3 / (2 / 9/7 - 4/3 / 8/9)
[257134] ['1/5', '8/9', '8/5', '2', '7/2'] -> (2 * 7/2 - 8/5) / (1/5 / 8/9)
[257135] ['1/6', '1/3', '2/3', '5/7', '1'] -> 2/3 / (1/3 / (5/7 + 1) - 1/6)
[257136] ['1/4', '5/9', '6/5', '7/2', '9'] -> 9 / (7/2 * 1/4 / 5/9 - 6/5)
[257137] ['8/9', '9/7', '4/3', '3/2', '2'] -> 4/3 / (8/9 - 2 + 3/2 / 9/7)
[257138] ['2/9', '3/5', '3/4', '5/6', '1'] -> 5/6 / (2/9 * (3/4 - 3/5)) - 1
[257139] ['1/6', '1/3', '2/3', '6/7', '1'] -> 1 / (1/3 - 1/6 / 2/3 / 6/7)
[257140] ['2/7', '4/9', '7/5', '8/3', '3'] -> 7/5 * 3 * (8/3 / 4/9 - 2/7)
[257141] ['1/5', '8/9', '5/3', '7/4', '2'] -> 1/5 * 5/3 / (8/9 - 7/4 / 2)
[257142] ['1/5', '1/5', '4/5', '5/6', '7'] -> (1/5 + 7) * 5/6 / (1/5 / 4/5)
[257143] ['1/4', '5/9', '5/4', '5/4', '9'] -> (5/9 * 9 + 5/4 / 5/4) / 1/4
[257144] ['1/9', '1/7', '1/3', '5/6', '9'] -> (1/3 / 1/7 - 1/9) / (5/6 / 9)
[257145] ['1/9', '1/7', '3/2', '5/3', '6'] -> (5/3 / 1/7 - 3/2 * 6) / 1/9
[257146] ['8/9', '9/7', '4/3', '5/3', '2'] -> 2 / (5/3 / (9/7 * 4/3) - 8/9)
[257147] ['1/6', '1/3', '2/3', '1', '6/5'] -> (2/3 + 1 / 1/6) / (1/3 / 6/5)
[257148] ['1/5', '8/9', '5/3', '2', '9/4'] -> 2 / (8/9 / 5/3 - 1/5 * 9/4)
[257149] ['1/9', '3/7', '5/4', '7/5', '2'] -> 2 / (1/9 * 3/7) / (5/4 * 7/5)
[257150] ['1/5', '1/5', '4/5', '7/8', '7'] -> (4/5 - 1/5) * 7 / (1/5 * 7/8)
[257151] ['1/9', '1/7', '3/2', '7/4', '6'] -> (3/2 + 1/7 / 6) / (1/9 / 7/4)
[257152] ['1/6', '1/3', '2/3', '1', '9/7'] -> 9/7 * (2/3 + 1 / (1/6 * 1/3))
[257153] ['1/9', '1/7', '1/3', '8/9', '9'] -> 1/3 / (1/9 - 8/9 / (1/7 + 9))
[257154] ['4/9', '4/5', '8/9', '9/4', '7'] -> 7 / (4/5 * 8/9 - 4/9) - 9/4
[257155] ['1/5', '8/9', '5/3', '2', '7/3'] -> (7/3 + 5/3 / 1/5) / (8/9 / 2)
[257156] ['2/7', '4/9', '3/2', '3/2', '3'] -> 3/2 / (4/9 / 2/7 - 3/2) - 3
[257157] ['1/5', '1/5', '4/5', '8/7', '7'] -> (4/5 - 1/5) * 7 / (1/5 / 8/7)
[257158] ['1/6', '1/3', '2/3', '1', '7/5'] -> 2/3 / (1/6 - 1/3 / (1 + 7/5))
[257159] ['2/9', '4/9', '6/5', '9/2', '6'] -> (9/2 + 2/9 / 4/9) * (6 - 6/5)
[257160] ['1/4', '4/7', '5/8', '3/4', '1'] -> 1 / (5/8 - 1/4 / 4/7 / 3/4)
[257161] ['4/9', '4/5', '8/9', '5/2', '7'] -> 5/2 * (8/9 + 7 * (4/9 + 4/5))
[257162] ['4/9', '4/9', '3/2', '8/5', '2'] -> (4/9 + 2) / (8/5 - 3/2) - 4/9
[257163] ['1/4', '5/9', '5/4', '9/5', '9'] -> 5/9 * (9 / (1/4 / 5/4) - 9/5)
[257164] ['1/9', '1/7', '1/3', '6/5', '9'] -> 6/5 * 9 * (1/3 / 1/7 - 1/9)
[257165] ['2/7', '4/9', '3/2', '7/4', '3'] -> 3/2 / (2/7 * 7/4 - 4/9) - 3
[257166] ['2/5', '7/5', '5/2', '5/2', '8'] -> 8 + (5/2 + 7/5 + 5/2) / 2/5
[257167] ['4/9', '4/9', '3/2', '5/3', '2'] -> 4/9 / (3/2 - 2 * 4/9 * 5/3)
[257168] ['2/9', '4/9', '5/4', '5/4', '6'] -> (6 - 4/9) / 2/9 - 5/4 / 5/4
[257169] ['1/5', '1/5', '4/5', '4/3', '7'] -> (7 + 1/5 - 4/5) / (1/5 * 4/3)
[257170] ['1/9', '1/7', '1/3', '5/4', '9'] -> (9 + 1/3 / (1/9 * 1/7)) / 5/4
[257171] ['2/9', '3/5', '3/4', '1', '6/5'] -> (3/5 + 6/5 / 2/9) / (1 - 3/4)
[257172] ['4/9', '4/5', '8/9', '8/3', '7'] -> (8/9 + 8/3 * 7) / 4/5 - 4/9
[257173] ['8/9', '9/7', '4/3', '2', '5/2'] -> 4/3 / (5/2 - (8/9 + 2 / 9/7))
[257174] ['1/5', '8/9', '7/4', '9/5', '2'] -> (2 + 9/5 * 8/9 * 7/4) / 1/5
[257175] ['2/7', '4/9', '3/2', '9/4', '3'] -> 3 / 9/4 / (4/9 / 2/7 - 3/2)
[257176] ['2/9', '3/5', '3/4', '1', '5/4'] -> 1 / (2/9 * 5/4) / (3/4 - 3/5)
[257177] ['1/4', '4/7', '5/8', '7/8', '1'] -> (1 + 1/4 / 7/8) / (5/8 - 4/7)
[257178] ['1/6', '1/3', '5/7', '7/9', '1'] -> (5/7 + 1) * 7/9 / (1/6 * 1/3)
[257179] ['1/5', '1/5', '4/5', '7/3', '7'] -> (1/5 + 7) * (7/3 + 1/5 + 4/5)
[257180] ['1/6', '1/3', '5/7', '4/5', '1'] -> 1 / (1/3 - 1/6 / 5/7 / 4/5)
[257181] ['1/9', '3/7', '5/4', '2', '7/2'] -> 3/7 * 7/2 + 2 / (1/9 / 5/4)
[257182] ['1/5', '1/5', '4/5', '8/3', '7'] -> 8/3 * (7 + 4/5 / (1/5 + 1/5))
[257183] ['2/9', '3/5', '3/4', '1', '7/5'] -> (1 + 7/5) / (3/4 * 2/9 * 3/5)
[257184] ['2/5', '3/2', '3/2', '3/2', '8'] -> 3/2 + (8 + 3/2 / 3/2) / 2/5
[257185] ['1/9', '1/7', '8/5', '9/5', '6'] -> 8/5 / (1/9 * 1/7) / (6 - 9/5)
[257186] ['1/6', '1/3', '5/7', '5/6', '1'] -> (1 + 5/6 / (1/6 * 5/7)) / 1/3
[257187] ['1/5', '1/5', '4/5', '7/2', '7'] -> 7/2 * 7 - (1/5 + 1/5) / 4/5
[257188] ['1/4', '4/7', '5/8', '1', '7/6'] -> 4/7 / (7/6 - 1 / (1/4 + 5/8))
[257189] ['3/8', '7/9', '9/4', '5/2', '9'] -> 9 / (5/2 - (3/8 + 7/9 * 9/4))
[257190] ['2/9', '4/9', '9/7', '3/2', '6'] -> (4/9 * 3/2 + 6 / 9/7) / 2/9
[257191] ['1/4', '5/9', '9/7', '9/5', '9'] -> (9 / 9/7 - 5/9 * 9/5) / 1/4
[257192] ['2/9', '3/5', '3/4', '1', '8/5'] -> 8/5 / (2/9 * 3/4) / (1 - 3/5)
[257193] ['1/5', '8/9', '7/4', '2', '7/2'] -> (7/4 + 7/2) / 1/5 - 2 / 8/9
[257194] ['1/6', '1/3', '5/7', '7/8', '1'] -> 1 / (7/8 * 1/3 * 5/7 - 1/6)
[257195] ['3/8', '7/9', '9/4', '8/3', '9'] -> 8/3 / (7/9 - 9/4 / (3/8 * 9))
[257196] ['1/5', '1/5', '5/6', '6/7', '7'] -> (7 * 5/6 * 6/7 - 1/5) / 1/5
[257197] ['2/7', '4/9', '8/5', '5/3', '3'] -> 3 + 8/5 * 5/3 / (2/7 * 4/9)
[257198] ['1/5', '8/9', '9/5', '9/5', '2'] -> (9/5 + 9/5 * 2) / (1/5 / 8/9)
[257199] ['1/5', '1/5', '5/6', '7/8', '7'] -> 7 / (1/5 + 1/5) / (5/6 * 7/8)
[257200] ['4/9', '4/9', '8/5', '5/3', '2'] -> 4/9 / (5/3 / (8/5 + 2) - 4/9)
[257201] ['3/8', '7/9', '9/4', '7/2', '9'] -> 3/8 + 9/4 * (7/2 + 7/9 * 9)
[257202] ['2/9', '3/5', '3/4', '1', '7/4'] -> (3/4 + (1 + 7/4) / 3/5) / 2/9
[257203] ['1/4', '5/9', '9/7', '7/3', '9'] -> 5/9 / (1/4 - 7/3 / (9/7 + 9))
[257204] ['8/9', '9/7', '7/5', '7/4', '2'] -> 2 / (7/4 / (9/7 * 7/5) - 8/9)
[257205] ['1/5', '1/5', '5/6', '8/9', '7'] -> 7 / (1/5 / 1/5 / 8/9 - 5/6)
[257206] ['2/9', '4/9', '9/7', '7/4', '6'] -> 6 / (9/7 * 7/4 - 4/9 / 2/9)
[257207] ['2/9', '3/5', '3/4', '1', '9/4'] -> 2/9 / (3/4 - 1 / (3/5 * 9/4))
[257208] ['1/6', '1/3', '5/7', '1', '6/5'] -> 1 / (5/7 * 1/6 * 1/3) - 6/5
[257209] ['1/5', '1/5', '5/6', '8/7', '7'] -> 7 / (1/5 + 1/5) / (5/6 / 8/7)
[257210] ['3/8', '7/9', '7/3', '5/2', '9'] -> 7/3 / (3/8 * 9 - (7/9 + 5/2))
[257211] ['2/5', '3/2', '7/4', '7/4', '8'] -> 3/2 + (8 + 7/4 / 7/4) / 2/5
[257212] ['4/9', '4/5', '9/8', '3/2', '7'] -> 7 / (9/8 - 3/2 * 4/9 / 4/5)
[257213] ['2/9', '3/5', '3/4', '1', '7/3'] -> (7/3 + 1 / 3/5) / (2/9 * 3/4)
[257214] ['1/6', '1/3', '5/7', '1', '5/4'] -> 1 / (1/3 - 5/4 * 1/6 / 5/7)
[257215] ['1/5', '1/5', '5/6', '5/4', '7'] -> (1/5 + 7) / (5/4 * 1/5 / 5/6)
[257216] ['2/9', '4/9', '9/7', '9/4', '6'] -> 6 / (4/9 / 2/9 - 9/4 / 9/7)
[257217] ['4/9', '4/5', '9/8', '8/5', '7'] -> (4/5 + 8/5 * 7) / (4/9 * 9/8)
[257218] ['1/5', '8/9', '2', '9/4', '9/4'] -> 8/9 * 2 * (9/4 + 9/4 / 1/5)
[257219] ['2/5', '3/2', '7/4', '8/3', '8'] -> 7/4 * 8 + 8/3 / (2/5 / 3/2)
[257220] ['2/7', '4/9', '8/5', '5/2', '3'] -> 5/2 * (8/5 / (2/7 * 4/9) - 3)
[257221] ['2/9', '4/9', '9/7', '5/2', '6'] -> 4/9 + (2/9 + 6) * (9/7 + 5/2)
[257222] ['4/9', '4/9', '8/5', '2', '8/3'] -> 8/3 / (2 * 4/9 / 8/5 - 4/9)
[257223] ['1/9', '1/7', '5/3', '9/4', '6'] -> 5/3 / 1/7 / (1/9 + 9/4 / 6)
[257224] ['2/5', '3/2', '7/4', '7/2', '8'] -> (3/2 + 7/2) / (7/4 / (2/5 + 8))
[257225] ['1/4', '5/9', '4/3', '7/5', '9'] -> (9 / 1/4 - 4/3 / 5/9) / 7/5
[257226] ['1/5', '1/5', '5/6', '3/2', '7'] -> (3/2 - 5/6) / (1/5 / (1/5 + 7))
[257227] ['2/9', '4/9', '4/3', '7/5', '6'] -> 4/9 / 2/9 / (7/5 - 4/3) - 6
[257228] ['1/6', '1/3', '5/7', '1', '5/3'] -> (5/3 / 5/7 - 1) / (1/6 * 1/3)
[257229] ['4/9', '4/5', '9/8', '9/4', '7'] -> 7 / (4/5 / 9/8 - 4/9) - 9/4
[257230] ['1/5', '1/5', '5/6', '8/5', '7'] -> 7 / (1/5 * 5/6 + 1/5 / 8/5)
[257231] ['1/5', '8/9', '2', '7/3', '7/3'] -> ((7/3 + 7/3) / 1/5 - 2) / 8/9
[257232] ['2/5', '3/2', '9/5', '7/3', '8'] -> (8 - 7/3) / (2/5 / 9/5) - 3/2
[257233] ['1/6', '1/3', '5/7', '1', '7/4'] -> (1 / 1/3 - 5/7) / (1/6 / 7/4)
[257234] ['1/4', '4/7', '5/8', '1', '7/2'] -> (1 + 7/2) / (5/8 - 1/4 / 4/7)
[257235] ['1/4', '5/9', '7/5', '7/5', '9'] -> (5/9 * 9 + 7/5 / 7/5) / 1/4
[257236] ['8/9', '9/7', '3/2', '3/2', '2'] -> 8/9 * 3/2 / (2 / 9/7 - 3/2)
[257237] ['1/9', '3/7', '4/3', '2', '9/4'] -> (4/3 + 2 / 3/7) / (1/9 * 9/4)
[257238] ['2/9', '4/9', '7/5', '7/5', '6'] -> (6 - 4/9) / 2/9 - 7/5 / 7/5
[257239] ['4/9', '4/9', '5/3', '9/5', '2'] -> 4/9 / (5/3 / 9/5 / 2 - 4/9)
[257240] ['1/4', '4/7', '2/3', '2/3', '1'] -> (2/3 / (2/3 - 4/7) - 1) / 1/4
[257241] ['1/6', '1/3', '5/7', '1', '9/5'] -> (9/5 / 1/3 - 1 / 5/7) / 1/6
[257242] ['1/9', '1/7', '3/8', '8/9', '9'] -> 3/8 * (1/9 + 8/9 + 9 / 1/7)
[257243] ['1/5', '1/5', '5/6', '7/3', '7'] -> (1/5 + 7) / (1/5 * (7/3 - 5/6))
[257244] ['2/7', '4/9', '5/3', '9/4', '3'] -> 3 + (9/4 + 5/3 / 4/9) / 2/7
[257245] ['8/9', '9/7', '3/2', '5/3', '2'] -> 8/9 / (2 / 3/2 - 5/3 / 9/7)
[257246] ['1/9', '1/7', '7/4', '7/3', '6'] -> 7/4 * ((7/3 - 1/7) / 1/9 - 6)
[257247] ['1/4', '5/9', '7/5', '5/3', '9'] -> (5/9 * 9 - 7/5) / (1/4 / 5/3)
[257248] ['1/4', '4/7', '2/3', '3/4', '1'] -> (1/4 + 1 / 4/7) / (3/4 - 2/3)
[257249] ['1/5', '1/5', '5/6', '7/2', '7'] -> (1/5 + 7) * (7/2 - 1/5 * 5/6)
[257250] ['1/5', '8/9', '2', '7/3', '9/2'] -> (9/2 / 1/5 - 7/3 / 2) / 8/9
[257251] ['2/7', '4/9', '5/3', '5/2', '3'] -> 3 * (5/3 / (4/9 - 2/7) - 5/2)
[257252] ['2/5', '3/2', '7/3', '7/3', '8'] -> 3/2 + (8 + 7/3 / 7/3) / 2/5
[257253] ['8/9', '9/7', '3/2', '7/4', '2'] -> 2 / 7/4 / (8/9 * 3/2 - 9/7)
[257254] ['1/4', '5/9', '7/5', '7/4', '9'] -> 9 * (7/4 + 5/9 * (1/4 + 7/5))
[257255] ['4/9', '4/5', '9/8', '9/2', '7'] -> 4/5 * 9/2 * (4/9 + 7 / 9/8)
[257256] ['1/6', '1/3', '5/7', '1', '8/3'] -> (8/3 - 1/3) / (1/6 / (5/7 + 1))
[257257] ['1/5', '8/9', '2', '5/2', '5/2'] -> 8/9 * (2 + (5/2 + 5/2) / 1/5)
[257258] ['2/9', '4/9', '7/5', '9/5', '6'] -> (7/5 - 4/9) / (2/9 / 6) - 9/5
[257259] ['1/5', '1/5', '6/7', '6/7', '7'] -> (6/7 - 1/5 * 6/7) / (1/5 / 7)
[257260] ['1/4', '5/9', '7/5', '9/5', '9'] -> (7/5 * 9 - 9/5) / (1/4 / 5/9)
[257261] ['1/9', '1/7', '9/5', '9/5', '6'] -> 6 / 1/7 - (9/5 + 9/5 / 1/9)
[257262] ['2/7', '4/9', '5/3', '3', '7/2'] -> 3 + (7/2 + 5/3 / 2/7) / 4/9
[257263] ['1/6', '1/3', '5/7', '1', '9/2'] -> (5/7 + 1) / (1/3 / (1/6 + 9/2))
[257264] ['1/5', '1/5', '6/7', '7/8', '7'] -> 7 / (1/5 / 1/5 / 6/7 - 7/8)
[257265] ['1/4', '4/7', '2/3', '5/6', '1'] -> 1 / ((5/6 - 2/3) / 4/7 - 1/4)
[257266] ['2/5', '3/2', '8/3', '7/2', '8'] -> 2/5 * 8 * (7/2 + 3/2 * 8/3)
[257267] ['4/9', '4/9', '7/4', '9/5', '2'] -> 2 / (7/4 / 9/5 - (4/9 + 4/9))
[257268] ['1/6', '1/3', '3/4', '4/5', '1'] -> 1 / (1/3 * 3/4 - 1/6 / 4/5)
[257269] ['3/8', '4/5', '5/6', '9/8', '9'] -> 9 / (9/8 * 4/5 * 5/6 - 3/8)
[257270] ['8/9', '9/7', '3/2', '2', '5/2'] -> 8/9 * 3/2 / (2 - 5/2 / 9/7)
[257271] ['1/9', '1/7', '3/8', '3/2', '9'] -> 3/8 + 9 / (3/2 * (1/9 + 1/7))
[257272] ['1/5', '8/9', '2', '8/3', '7/2'] -> (8/3 - 8/9) * (7/2 + 2 / 1/5)
[257273] ['2/9', '4/9', '7/5', '5/2', '6'] -> 6 * (2/9 / 4/9 + 7/5 * 5/2)
[257274] ['2/7', '4/9', '7/4', '9/4', '3'] -> 3 / 9/4 / (2/7 * 7/4 - 4/9)
[257275] ['1/4', '5/9', '7/5', '7/2', '9'] -> (1/4 + 7/2) * (7/5 + 5/9 * 9)
[257276] ['8/9', '9/7', '3/2', '2', '8/3'] -> 2 * 8/3 / (3/2 - 9/7) - 8/9
[257277] ['1/9', '3/7', '7/5', '2', '7/3'] -> ((2 + 7/3) / 7/5 - 3/7) / 1/9
[257278] ['2/7', '4/9', '7/4', '7/3', '3'] -> (7/3 + 3) / (7/4 * 2/7 * 4/9)
[257279] ['1/6', '1/3', '3/4', '1', '7/6'] -> (7/6 / 1/6 - 1) / (1/3 * 3/4)
[257280] ['1/5', '8/9', '2', '7/2', '9/2'] -> 2 / 1/5 + 9/2 * 8/9 * 7/2
[257281] ['2/7', '4/9', '7/4', '5/2', '3'] -> 5/2 / 4/9 + 3 / (2/7 / 7/4)
[257282] ['1/4', '4/7', '2/3', '1', '4/3'] -> 1 / 1/4 / (4/3 - 2/3 / 4/7)
[257283] ['4/9', '4/5', '8/7', '5/3', '7'] -> 8/7 * 5/3 * 7 / (4/9 / 4/5)
[257284] ['1/9', '1/7', '9/4', '5/2', '6'] -> 5/2 / 6 / (1/9 * 1/7) - 9/4
[257285] ['2/7', '4/9', '7/4', '8/3', '3'] -> 3 / (7/4 / 2/7 - 8/3 / 4/9)
[257286] ['1/6', '1/3', '3/4', '1', '9/7'] -> 1 / 1/6 / (3/4 / 9/7 - 1/3)
[257287] ['2/5', '5/3', '5/3', '7/4', '8'] -> 2/5 * 5/3 + 8 * 5/3 * 7/4
[257288] ['1/4', '5/9', '3/2', '7/4', '9'] -> 9 * (7/4 - (5/9 - 3/2)) - 1/4
[257289] ['1/9', '1/7', '9/4', '8/3', '6'] -> 9/4 * 6 + 8/3 / (1/9 + 1/7)
[257290] ['1/5', '1/5', '6/7', '7/4', '7'] -> (1/5 + 7) / (7/4 * 1/5 * 6/7)
[257291] ['2/9', '3/5', '7/9', '1', '9/5'] -> (7/9 + 1) * 9/5 / (2/9 * 3/5)
[257292] ['2/7', '4/9', '7/4', '3', '7/2'] -> 3 / 2/7 / (7/4 / 4/9 - 7/2)
[257293] ['1/9', '3/7', '7/5', '2', '9/2'] -> (2 - 3/7 / 9/2) / (1/9 / 7/5)
[257294] ['3/8', '4/5', '5/6', '7/2', '9'] -> 5/6 * 9 * (7/2 - 3/8 * 4/5)
[257295] ['1/4', '4/7', '2/3', '1', '3/2'] -> 1 / (2/3 / 1/4 - 3/2 / 4/7)
[257296] ['2/5', '5/3', '5/3', '7/3', '8'] -> 5/3 * 8 * (2/5 + 7/3 / 5/3)
[257297] ['2/9', '4/9', '8/5', '7/4', '6'] -> (6 - 4/9 / 8/5) / 2/9 - 7/4
[257298] ['1/5', '1/5', '6/7', '9/4', '7'] -> 6/7 * 7 / (1/5 * 9/4 - 1/5)
[257299] ['2/5', '5/3', '5/3', '5/2', '8'] -> 8 / 2/5 / (5/3 + 5/3 - 5/2)
[257300] ['1/9', '1/7', '7/3', '8/3', '6'] -> 8/3 * (6 + 7/3 / (1/9 / 1/7))
[257301] ['4/9', '4/9', '9/5', '2', '8/3'] -> 8/3 / (2 / 9/5 - 4/9 / 4/9)
[257302] ['2/9', '4/9', '8/5', '9/4', '6'] -> 8/5 * 9/4 * (6 + 2/9 + 4/9)
[257303] ['1/4', '5/9', '8/5', '7/4', '9'] -> 1/4 + 9 * (7/4 + 5/9 * 8/5)
[257304] ['1/9', '1/7', '7/3', '9/2', '6'] -> 9/2 * 6 - 7/3 / (1/9 / 1/7)
[257305] ['1/9', '3/7', '3/2', '5/3', '2'] -> (3/2 / 3/7 - 5/3 / 2) / 1/9
[257306] ['2/9', '4/9', '8/5', '7/3', '6'] -> 7/3 * 6 / (4/9 + 2/9 / 8/5)
[257307] ['1/6', '1/3', '7/9', '4/5', '1'] -> 1/3 / (1 - (7/9 + 1/6 / 4/5))
[257308] ['1/4', '4/7', '2/3', '1', '9/4'] -> (9/4 + 1 / 4/7) / (1/4 * 2/3)
[257309] ['1/4', '4/7', '2/3', '1', '7/3'] -> 2/3 + (1 + 7/3) / (1/4 * 4/7)
[257310] ['1/4', '5/9', '8/5', '9/5', '9'] -> 9 / (9/5 * 5/9 / 8/5 - 1/4)
[257311] ['1/6', '1/3', '7/9', '6/7', '1'] -> 6/7 + 1 / (7/9 * 1/6 * 1/3)
[257312] ['1/5', '9/8', '9/8', '7/5', '2'] -> (7/5 + 9/8 / 9/8) / (1/5 / 2)
[257313] ['2/9', '4/9', '8/5', '7/2', '6'] -> 6 * (2/9 + 7/2 + 4/9 / 8/5)
[257314] ['2/5', '5/3', '7/4', '9/2', '8'] -> 2/5 * 5/3 / (8 / 9/2 - 7/4)
[257315] ['1/6', '1/3', '7/9', '7/8', '1'] -> 1 / (7/8 - (7/9 + 1/6 * 1/3))
[257316] ['1/9', '3/7', '3/2', '2', '9/4'] -> 3/2 / 1/9 + 9/4 / (3/7 / 2)
[257317] ['2/7', '4/9', '9/5', '8/3', '3'] -> 8/3 / (3 / 9/5 - 4/9 / 2/7)
[257318] ['1/5', '9/8', '9/8', '8/5', '2'] -> (2 + 9/8 / 9/8) / (1/5 / 8/5)
[257319] ['4/9', '4/5', '8/7', '9/2', '7'] -> 7 * (4/9 * 9/2 + 8/7 / 4/5)
[257320] ['2/5', '5/3', '9/5', '7/2', '8'] -> (8 + 5/3 * 9/5) / 2/5 - 7/2
[257321] ['1/9', '3/7', '3/2', '2', '7/3'] -> (2 + 7/3 * 3/7 / 3/2) / 1/9
[257322] ['1/9', '1/7', '7/2', '7/2', '6'] -> 1/7 * 6 * (7/2 / 1/9 - 7/2)
