[141841] ['3/4', '9/7', '7/5', '8/5', '3'] -> 8/5 / (7/5 / (3 - 9/7) - 3/4)
[141891] ['5/8', '4/3', '9/5', '7/3', '5'] -> 9/5 * 5 / (7/3 - (5/8 + 4/3))
[141892] ['1/8', '5/7', '6/7', '5/2', '7'] -> (7 - 5/2 / 5/7) / (1/8 / 6/7)
[141893] ['5/7', '3/4', '7/9', '7/8', '4'] -> 4 * 3/4 / 7/9 / (7/8 - 5/7)
[141894] ['2/7', '3/8', '3/8', '4/7', '4'] -> (2/7 + 4) / (3/8 + 3/8 - 4/7)
[141895] ['2/5', '3/7', '3/2', '2', '9/2'] -> (3/2 / (3/7 - 2/5) - 9/2) / 2
[141896] ['5/8', '4/3', '9/5', '7/2', '5'] -> 9/5 * 5 * (7/2 - 5/8 * 4/3)
[141897] ['1/2', '6/7', '6/7', '7/4', '3'] -> 3 / (6/7 / 6/7 - 1/2 * 7/4)
[141898] ['1/7', '2/7', '5/6', '9/5', '6'] -> (1/7 + 6) / (2/7 * 5/6) - 9/5
[141899] ['3/5', '5/7', '9/8', '8/5', '9'] -> (9/8 * 8/5 + 9 / 5/7) / 3/5
[141900] ['2/9', '4/7', '5/4', '9/7', '9'] -> 9/7 / (5/4 / (2/9 * 9) - 4/7)
[141901] ['1/7', '4/5', '7/4', '3', '7/2'] -> 3 + 4/5 * (7/4 + 7/2 / 1/7)
[141902] ['2/7', '3/8', '3/8', '5/8', '4'] -> (3/8 / 3/8 + 4 / 2/7) / 5/8
[141903] ['2/9', '5/8', '7/6', '7/2', '7'] -> (7/2 - 7/6 / 7) / (2/9 * 5/8)
[141904] ['1/4', '4/9', '6/7', '4/3', '8'] -> (8 - (4/9 + 4/3 / 6/7)) / 1/4
[141905] ['2/9', '4/7', '5/4', '4/3', '9'] -> (9 - 4/3 / 4/7) / (2/9 * 5/4)
[141906] ['1/7', '2/3', '9/5', '5/2', '4'] -> 4 / (2/3 / 1/7 - 9/5 * 5/2)
[141907] ['1/7', '4/5', '9/5', '9/5', '3'] -> 9/5 + 3 * (9/5 + 4/5 / 1/7)
[141908] ['1/2', '6/7', '6/7', '7/3', '3'] -> (6/7 + 6/7) * 3 / (1/2 / 7/3)
[141909] ['1/8', '5/7', '7/8', '9/8', '7'] -> (5/7 * 7 - (7/8 + 9/8)) / 1/8
[141910] ['2/9', '5/8', '7/6', '9/2', '7'] -> 9/2 / 2/9 + 7 * 5/8 / 7/6
[141911] ['3/5', '5/7', '9/8', '7/4', '9'] -> 9 / (9/8 - 7/4 * 3/5 * 5/7)
[141912] ['2/7', '3/8', '3/8', '5/7', '4'] -> (5/7 + 3/8 / 3/8) / (2/7 / 4)
[141913] ['5/8', '4/3', '7/3', '7/3', '5'] -> 5 / (5/8 * (4/3 - 7/3 / 7/3))
[141914] ['1/2', '6/7', '6/7', '5/2', '3'] -> 6/7 / 1/2 / (6/7 * 3 - 5/2)
[141915] ['2/5', '3/7', '8/5', '2', '9/4'] -> (8/5 / (3/7 - 2/5) - 2) / 9/4
[141916] ['5/7', '3/4', '7/9', '5/4', '4'] -> 4 / 7/9 / (5/7 + 3/4 - 5/4)
[141917] ['2/9', '4/7', '5/4', '3/2', '9'] -> 5/4 / 2/9 + (3/2 + 9) / 4/7
[141918] ['1/8', '5/7', '7/8', '8/7', '7'] -> (8/7 / 1/8 + 7 / 7/8) / 5/7
[141919] ['2/7', '3/8', '3/8', '3/4', '4'] -> (3/4 / 2/7 - 3/8) / (3/8 / 4)
[141920] ['2/5', '3/7', '8/5', '2', '7/3'] -> 8/5 / (2 - 7/3 * (2/5 + 3/7))
[141921] ['5/7', '3/4', '7/9', '7/5', '4'] -> 4 / 3/4 / (5/7 * 7/5 - 7/9)
[141922] ['1/3', '3/5', '8/9', '9/4', '7'] -> 8/9 * 9/4 * (1/3 + 7 / 3/5)
[141923] ['3/5', '5/7', '9/8', '5/2', '9'] -> (9 - 3/5) / (9/8 / (5/7 + 5/2))
[141924] ['5/8', '4/3', '7/3', '7/2', '5'] -> 7/3 + 5 * (7/2 + 5/8 * 4/3)
[141925] ['1/7', '2/3', '9/5', '4', '9/2'] -> 9/5 * (4 * 9/2 - 2/3 / 1/7)
[141926] ['1/7', '4/5', '9/5', '8/3', '3'] -> 8/3 / (4/5 / (1/7 * 9/5) - 3)
[141927] ['2/7', '3/8', '3/8', '7/9', '4'] -> 4 / (2/7 * 7/9) / (3/8 + 3/8)
[141928] ['3/4', '9/7', '3/2', '3', '7/2'] -> (3/2 + 9/7 * 7/2) / (3/4 / 3)
[141929] ['3/5', '5/7', '9/8', '8/3', '9'] -> 9/8 * 8/3 + 9 / (3/5 * 5/7)
[141930] ['2/5', '3/7', '8/5', '2', '8/3'] -> 2 * (8/3 + 8/5 / (2/5 * 3/7))
[141931] ['1/4', '4/9', '6/7', '5/3', '8'] -> 6/7 * 8 * (5/3 / 4/9 - 1/4)
[141932] ['1/8', '5/7', '7/8', '5/4', '7'] -> (7 + 5/4 / (1/8 * 5/7)) / 7/8
[141933] ['1/2', '6/7', '7/8', '6/5', '3'] -> 3 / (6/7 * 7/8 / 6/5 - 1/2)
[141934] ['3/5', '5/7', '9/8', '7/2', '9'] -> 9 / (7/2 * 3/5 * 5/7 - 9/8)
[141935] ['2/5', '3/7', '8/5', '2', '7/2'] -> (2/5 + 2) / (8/5 - 3/7 * 7/2)
[141936] ['1/8', '5/7', '7/8', '9/7', '7'] -> 7 / 7/8 + (5/7 + 9/7) / 1/8
[141937] ['1/2', '6/7', '7/8', '5/4', '3'] -> 3 / (6/7 * 7/8 - 1/2 * 5/4)
[141938] ['5/8', '4/3', '9/2', '9/2', '5'] -> 5 / (5/8 * (4/3 - 9/2 / 9/2))
[141939] ['3/5', '5/7', '9/8', '9/2', '9'] -> 9/2 * 5/7 / 9/8 * (9 - 3/5)
[141940] ['1/4', '4/9', '6/7', '9/4', '8'] -> (8 - 4/9 * 9/4) / (1/4 / 6/7)
[141941] ['2/9', '5/8', '6/5', '8/5', '7'] -> (8/5 + 7) / (5/8 - 2/9 * 6/5)
[141942] ['1/7', '4/5', '9/4', '7/3', '3'] -> 4/5 * 9/4 * (7/3 / 1/7 - 3)
[141943] ['2/9', '4/7', '5/4', '9/4', '9'] -> 9 / (5/4 - 9/4 * 2/9 / 4/7)
[141944] ['1/2', '6/7', '7/8', '7/5', '3'] -> 3 / ((1/2 + 7/8) / 7/5 - 6/7)
[141945] ['2/7', '3/8', '3/8', '6/7', '4'] -> 6/7 / (2/7 - 3/8 / 3/8 / 4)
[141946] ['2/5', '3/7', '5/3', '9/5', '2'] -> 9/5 * (5/3 + 2 / (2/5 * 3/7))
[141947] ['3/5', '5/7', '8/7', '8/7', '9'] -> 8/7 * 9 * (8/7 + 5/7 / 3/5)
[141948] ['1/7', '2/3', '5/2', '4', '9/2'] -> 9/2 * (5/2 * 4 - 2/3 / 1/7)
[141949] ['2/9', '4/7', '5/4', '7/3', '9'] -> 2/9 * 9 / (4/7 * 7/3 - 5/4)
[141950] ['2/9', '5/8', '6/5', '7/4', '7'] -> 7 / (2/9 * 5/8) / (6/5 * 7/4)
[141951] ['1/8', '5/7', '7/8', '7/5', '7'] -> (7/5 / 1/8 + 7 / 5/7) / 7/8
[141952] ['3/4', '9/7', '8/5', '9/4', '3'] -> 3 / (9/7 / 3/4 - 8/5) - 9/4
[141953] ['1/7', '2/7', '7/8', '7/6', '6'] -> 6 / (7/8 / 7/6 - 1/7 / 2/7)
[141954] ['2/5', '2/5', '3/7', '1', '6/5'] -> (2/5 + 6/5) / (1 - 2/5 / 3/7)
[141955] ['1/3', '3/5', '9/8', '8/7', '7'] -> (9/8 / 3/5 + 7 / 8/7) / 1/3
[141956] ['5/8', '7/5', '7/5', '8/5', '5'] -> 8/5 + (7/5 + 7/5) / (5/8 / 5)
[141957] ['5/7', '3/4', '7/9', '7/3', '4'] -> 5/7 / (7/9 - 3/4) - 4 / 7/3
[141958] ['1/3', '3/5', '9/8', '7/6', '7'] -> 7 / (7/6 - 3/5 * (1/3 + 9/8))
[141959] ['1/7', '2/3', '4', '9/2', '9/2'] -> (2/3 + 4) * (9/2 + 1/7 * 9/2)
[141960] ['1/4', '4/9', '7/8', '9/8', '8'] -> 8 * (7/8 / 1/4 - 4/9 * 9/8)
[141961] ['5/8', '7/5', '7/5', '5/3', '5'] -> 7/5 / (5/8 * 5 - (7/5 + 5/3))
[141962] ['5/7', '3/4', '7/9', '5/2', '4'] -> 4 / (5/7 * 3/4) / (7/9 / 5/2)
[141963] ['1/2', '6/7', '7/8', '5/3', '3'] -> 3 / (6/7 * (5/3 - 1/2) - 7/8)
[141964] ['2/9', '4/7', '5/4', '7/2', '9'] -> 4/7 * 7/2 / (2/9 - 5/4 / 9)
[141965] ['2/7', '3/8', '3/8', '8/7', '4'] -> (8/7 + 4) / (2/7 * (3/8 + 3/8))
[141966] ['1/7', '5/7', '5/7', '3/4', '4'] -> (4 - (5/7 + 5/7)) / (1/7 * 3/4)
[141967] ['1/7', '2/7', '7/8', '9/7', '6'] -> (9/7 + 2/7 * 6) / (1/7 * 7/8)
[141968] ['5/7', '3/4', '7/9', '8/3', '4'] -> 8/3 / (3/4 - 5/7) / (7/9 * 4)
[141969] ['1/4', '4/9', '7/8', '8/7', '8'] -> 8 / 4/9 / (7/8 * 8/7 - 1/4)
[141970] ['2/9', '4/7', '5/4', '9/2', '9'] -> 9/2 / (5/4 / 4/7 - 2/9 * 9)
[141971] ['3/4', '9/7', '8/5', '3', '7/2'] -> 8/5 / (7/2 / (9/7 + 3) - 3/4)
[141972] ['5/8', '7/5', '7/5', '9/5', '5'] -> 9/5 * 5 / (7/5 / 7/5 - 5/8)
[141973] ['1/7', '2/7', '7/8', '4/3', '6'] -> (6 * 7/8 * 4/3 - 1/7) / 2/7
[141974] ['2/9', '5/8', '6/5', '7/2', '7'] -> (7 - 7/2) / (2/9 * 5/8) - 6/5
[141975] ['5/7', '3/4', '7/9', '7/2', '4'] -> 4 / (3/4 * 7/2) / (7/9 - 5/7)
[141976] ['1/7', '4/5', '7/3', '8/3', '3'] -> 8/3 / (1/7 * 4/5) - (7/3 - 3)
[141977] ['1/7', '5/7', '5/7', '5/6', '4'] -> 5/7 / 5/6 / (5/7 / 4 - 1/7)
[141978] ['2/5', '3/7', '5/3', '2', '9/2'] -> 9/2 * (2/5 * 5/3 + 2 / 3/7)
[141979] ['2/7', '3/8', '3/8', '5/4', '4'] -> 3/8 * 4 / (3/8 / 2/7 - 5/4)
[141980] ['3/5', '5/7', '8/7', '7/4', '9'] -> 8/7 * 7/4 * (9 / 5/7 - 3/5)
[141981] ['2/9', '5/8', '6/5', '9/2', '7'] -> 9/2 / (2/9 * 5/8) - 6/5 * 7
[141982] ['1/4', '4/9', '7/8', '6/5', '8'] -> 8 / (4/9 * 6/5) / (7/8 - 1/4)
[141983] ['5/8', '7/5', '7/5', '7/3', '5'] -> 5 / (7/3 / (7/5 + 7/5) - 5/8)
[141984] ['1/3', '3/5', '9/8', '5/3', '7'] -> 7 / (1/3 * 5/3) / (9/8 - 3/5)
[141985] ['1/7', '5/7', '5/7', '7/8', '4'] -> (4 - 5/7 / 5/7) / (1/7 * 7/8)
[141986] ['5/7', '3/4', '4/5', '4/5', '4'] -> 4/5 / 4/5 / (3/4 - 5/7) - 4
[141987] ['2/7', '3/8', '3/8', '4/3', '4'] -> 4 / (2/7 * (4/3 - (3/8 + 3/8)))
[141988] ['2/9', '5/8', '5/4', '5/4', '7'] -> (7 - 5/4) / 2/9 - (5/8 + 5/4)
[141989] ['1/7', '4/5', '7/3', '3', '9/2'] -> (3 - 1/7) * 9/2 * 4/5 * 7/3
[141990] ['5/8', '7/5', '7/5', '5/2', '5'] -> (5 + 7/5 / 7/5) / (5/8 / 5/2)
[141991] ['1/7', '5/7', '5/7', '8/9', '4'] -> 8/9 * (4 / 1/7 - 5/7 / 5/7)
[141992] ['2/9', '5/8', '5/4', '9/7', '7'] -> 7 / (2/9 * 9/7) - 5/8 / 5/4
[141993] ['1/7', '4/5', '5/2', '5/2', '3'] -> 5/2 + 5/2 * (3 + 4/5 / 1/7)
[141994] ['5/7', '3/4', '4/5', '6/7', '4'] -> 6/7 * 4 / (5/7 / 4/5 - 3/4)
[141995] ['2/9', '4/7', '9/7', '7/4', '9'] -> 7/4 + 9 * (2/9 + 9/7 / 4/7)
[141996] ['2/7', '3/8', '3/8', '3/2', '4'] -> 4 * (3/8 + 3/8 + 3/2 / 2/7)
[141997] ['1/2', '6/7', '8/9', '8/7', '3'] -> 8/7 / (1/2 * 3) / (8/9 - 6/7)
[141998] ['1/7', '5/7', '5/7', '9/8', '4'] -> (4 / 1/7 - 5/7 / 5/7) / 9/8
[141999] ['1/3', '3/5', '9/8', '9/4', '7'] -> (1/3 + 7 / 3/5) / (9/8 / 9/4)
[142000] ['3/5', '5/7', '8/7', '7/2', '9'] -> 7/2 * 5/7 * 8/7 * (9 - 3/5)
[142001] ['2/7', '3/8', '3/8', '8/5', '4'] -> 8/5 * (3/8 / 3/8 + 4 / 2/7)
[142002] ['1/4', '4/9', '7/8', '8/5', '8'] -> 8 / (7/8 - 1/4 / 4/9) - 8/5
[142003] ['1/7', '5/7', '5/7', '6/5', '4'] -> 5/7 * 6/5 / (5/7 / 4 - 1/7)
[142004] ['1/7', '4/5', '5/2', '3', '7/2'] -> 4/5 * (5/2 + 3 + 7/2 / 1/7)
[142005] ['1/8', '5/7', '8/9', '5/4', '7'] -> 8/9 / (5/4 / (5/7 + 7) - 1/8)
[142006] ['2/9', '5/8', '5/4', '8/5', '7'] -> (8/5 + 7 / (5/8 + 5/4)) / 2/9
[142007] ['1/7', '5/7', '5/7', '5/4', '4'] -> (5/7 / 5/4 + 5/7 * 4) / 1/7
[142008] ['2/5', '2/5', '3/7', '1', '7/2'] -> (2/5 + 1 / 7/2) / (3/7 - 2/5)
[142009] ['1/4', '4/9', '7/8', '7/4', '8'] -> 8 / (4/9 * (1/4 + 7/8 / 7/4))
[142010] ['3/4', '9/7', '5/3', '3', '9/2'] -> (5/3 + 3 / 9/7) / (3/4 / 9/2)
[142011] ['5/8', '7/5', '3/2', '7/4', '5'] -> 5 / (7/4 / (7/5 * 3/2) - 5/8)
[142012] ['2/9', '5/8', '5/4', '5/3', '7'] -> (5/8 + 7 / (2/9 / 5/4)) / 5/3
[142013] ['2/9', '4/7', '9/7', '9/2', '9'] -> (9/7 + 9) / (2/9 * 9/2 - 4/7)
[142014] ['3/5', '5/7', '7/6', '7/6', '9'] -> 9 * ((7/6 + 7/6) / 5/7 - 3/5)
[142015] ['2/5', '3/7', '7/4', '2', '7/2'] -> (7/4 + 7/2) * (2 / 2/5 - 3/7)
[142016] ['1/8', '5/7', '8/9', '4/3', '7'] -> 5/7 / (1/8 - 8/9 / 4/3 / 7)
[142017] ['1/7', '5/7', '5/7', '9/7', '4'] -> (5/7 * 4 - (5/7 - 9/7)) / 1/7
[142018] ['5/7', '3/4', '4/5', '7/6', '4'] -> 4 / 7/6 / (5/7 / 4/5 - 3/4)
[142019] ['2/9', '4/7', '4/3', '7/5', '9'] -> (4/7 * 9 - 4/3) / (2/9 / 7/5)
[142020] ['2/5', '2/5', '4/9', '4/9', '1'] -> 4/9 / (2/5 * (4/9 - 2/5)) - 1
[142021] ['1/7', '5/7', '5/7', '4/3', '4'] -> (4 - (5/7 + 5/7)) / (1/7 / 4/3)
[142022] ['2/5', '3/7', '7/4', '2', '9/2'] -> 2 * (3/7 * 7/4 + 9/2 / 2/5)
[142023] ['2/9', '5/8', '5/4', '9/5', '7'] -> 7 / (2/9 - 5/8 + 5/4 / 9/5)
[142024] ['2/7', '3/8', '3/8', '5/2', '4'] -> 4 * (5/2 + 3/8 / (2/7 * 3/8))
[142025] ['3/5', '5/7', '7/6', '5/4', '9'] -> 9 / (3/5 * 7/6) / (5/4 - 5/7)
[142026] ['1/7', '4/5', '3', '7/2', '7/2'] -> 3 / 1/7 / (7/2 / 4/5 - 7/2)
[142027] ['1/4', '4/9', '7/8', '7/2', '8'] -> 8 * (7/2 - 4/9 * (1/4 + 7/8))
[142028] ['5/8', '7/5', '3/2', '5/2', '5'] -> 3/2 / (5/2 * (5/8 + 7/5) - 5)
[142029] ['2/9', '4/7', '4/3', '5/3', '9'] -> (9 - (4/3 - 5/3)) / (2/9 / 4/7)
[142030] ['1/7', '5/7', '5/7', '5/3', '4'] -> (5/7 + 5/7) * 4 / (1/7 * 5/3)
[142031] ['3/5', '5/7', '7/6', '4/3', '9'] -> 9 / (3/5 * 5/7) / (7/6 / 4/3)
[142032] ['1/7', '2/7', '8/9', '9/7', '6'] -> (8/9 + 6) / 2/7 - 1/7 / 9/7
[142033] ['5/7', '3/4', '4/5', '3/2', '4'] -> 3/2 * 4 / (3/4 / 5/7 - 4/5)
[142034] ['3/4', '9/7', '7/4', '3', '9/2'] -> 9/2 * (3/4 / 9/7 + 7/4 + 3)
[142035] ['3/5', '5/7', '7/6', '7/5', '9'] -> 7/5 * (5/7 + 9) / (7/6 - 3/5)
[142036] ['5/8', '7/5', '8/5', '7/4', '5'] -> (8/5 + 5) / (5/8 + 7/5 - 7/4)
[142037] ['1/4', '4/9', '8/9', '8/7', '8'] -> (8 / 8/7 - 8/9) / 1/4 - 4/9
[142038] ['1/8', '5/7', '8/9', '5/3', '7'] -> 7 / 5/7 / (8/9 / 5/3 - 1/8)
[142039] ['1/7', '2/7', '8/9', '7/5', '6'] -> 6 / 7/5 / (2/7 / 8/9 - 1/7)
[142040] ['2/7', '3/8', '2/5', '3/7', '4'] -> (4 + 3/7 / (3/8 * 2/5)) / 2/7
[142041] ['2/9', '5/8', '9/7', '9/7', '7'] -> 7 / ((9/7 - 5/8) / 9/7 - 2/9)
[142042] ['2/5', '3/7', '9/5', '2', '7/2'] -> (9/5 - 3/7) * 7/2 / (2/5 / 2)
[142043] ['3/4', '9/7', '9/5', '7/3', '3'] -> (9/7 + 3) * 7/3 / (3/4 / 9/5)
[142044] ['2/5', '2/5', '4/9', '3/4', '1'] -> 2/5 / (3/4 * (1 - 4/9) - 2/5)
[142045] ['5/7', '3/4', '4/5', '9/4', '4'] -> 4 / (5/7 / 3/4 - 4/5) - 9/4
[142046] ['1/7', '2/7', '8/9', '8/5', '6'] -> (6 / 8/5 - 2/7 / 8/9) / 1/7
[142047] ['1/7', '5/7', '5/7', '5/2', '4'] -> (4 - (5/7 + 5/7) / 5/2) / 1/7
[142048] ['5/8', '7/5', '8/5', '7/3', '5'] -> 5 / (7/3 * (7/5 - 5/8) - 8/5)
[142049] ['1/2', '6/7', '8/9', '7/3', '3'] -> 7/3 / 3 / (8/9 - 6/7) - 1/2
[142050] ['1/3', '3/5', '8/7', '7/4', '7'] -> 8/7 * 7/4 * (1/3 + 7 / 3/5)
[142051] ['1/7', '5/6', '5/6', '9/7', '3'] -> 3 * (9/7 / 1/7 - 5/6 / 5/6)
[142052] ['2/9', '5/8', '9/7', '4/3', '7'] -> (9/7 * 7 + 4/3 / 2/9) / 5/8
[142053] ['2/5', '3/7', '9/5', '2', '9/2'] -> (9/2 / 3/7 - 9/5 / 2) / 2/5
[142054] ['1/7', '2/7', '8/9', '5/3', '6'] -> (8/9 * 6 - (1/7 - 5/3)) / 2/7
[142055] ['5/7', '3/4', '4/5', '7/3', '4'] -> 7/3 * (5/7 / (4/5 - 3/4) - 4)
[142056] ['2/7', '3/8', '2/5', '5/8', '4'] -> (2/5 + 4 / 2/7) / (3/8 / 5/8)
[142057] ['2/5', '3/7', '2', '9/4', '9/4'] -> 2 * 9/4 / (2/5 * 3/7) - 9/4
[142058] ['5/8', '7/5', '8/5', '8/3', '5'] -> 5 / 5/8 / (7/5 + 8/5 - 8/3)
[142059] ['3/5', '5/7', '7/6', '9/5', '9'] -> 7/6 * 9 * (9/5 / 3/5 - 5/7)
[142060] ['1/7', '2/7', '8/9', '7/4', '6'] -> 6 * (7/4 + 2/7 / (1/7 * 8/9))
[142061] ['1/8', '5/7', '8/9', '5/2', '7'] -> 7 * (1/8 + 5/2 + 5/7 / 8/9)
[142062] ['1/7', '5/7', '5/7', '4', '9/2'] -> (4 * 9/2 - (1/7 + 5/7)) / 5/7
[142063] ['3/4', '9/7', '9/5', '3', '7/2'] -> 3 / 7/2 / (3/4 - 9/7 / 9/5)
[142064] ['1/7', '2/7', '8/9', '9/5', '6'] -> (6 / 9/5 - 2/7) / (1/7 * 8/9)
[142065] ['2/5', '3/7', '2', '9/4', '7/3'] -> 9/4 * 7/3 * (2 / 2/5 - 3/7)
[142066] ['1/8', '5/7', '8/9', '7/2', '7'] -> 8/9 * (7 + 7/2 / (1/8 / 5/7))
[142067] ['1/3', '3/5', '8/7', '5/2', '7'] -> 8/7 / (1/3 / 5/2 - 3/5 / 7)
[142068] ['1/7', '5/6', '5/6', '8/5', '3'] -> 8/5 * 3 * (5/6 / 1/7 - 5/6)
[142069] ['3/4', '9/7', '9/5', '3', '9/2'] -> 3 * (9/2 / (9/5 - 9/7) - 3/4)
[142070] ['2/5', '3/7', '2', '9/4', '8/3'] -> 2 / 8/3 / (3/7 - 2/5) - 9/4
[142071] ['1/7', '5/7', '3/4', '4/5', '4'] -> (4 + 5/7 * 4/5) / (1/7 / 3/4)
[142072] ['1/2', '6/7', '9/8', '7/6', '3'] -> (1/2 + 3) / (9/8 / 6/7 - 7/6)
[142073] ['5/7', '3/4', '5/6', '5/6', '4'] -> 5/6 / 5/6 / (3/4 - 5/7) - 4
[142074] ['2/9', '4/7', '7/5', '5/3', '9'] -> (4/7 - 5/3 + 9 / 7/5) / 2/9
[142075] ['2/7', '3/8', '2/5', '4/5', '4'] -> 2/5 / (3/8 * 4/5 - 2/7) - 4
[142076] ['3/5', '5/7', '6/5', '6/5', '9'] -> 6/5 * 9 / (3/5 * 5/7) - 6/5
