[328006] ['1/6', '3/8', '5/7', '5/4', '8'] -> 8 / (5/7 * (1/6 + 3/8 / 5/4))
[328043] ['4/7', '4/5', '6/7', '5/4', '2'] -> 6/7 / (2 - (5/4 + 4/7 / 4/5))
[328044] ['1/8', '3/8', '1', '6/5', '7/3'] -> (7/3 + 1 / (1/8 * 6/5)) / 3/8
[328045] ['1/8', '5/9', '7/5', '5/3', '8'] -> (8 + 7/5 * 5/3) / (5/9 - 1/8)
[328046] ['9/8', '7/6', '9/7', '5/3', '7'] -> 7 / (5/3 * 9/8 / 9/7 - 7/6)
[328047] ['4/7', '9/8', '7/5', '5/3', '7'] -> 7 / (5/3 - (4/7 + 9/8 / 7/5))
[328048] ['1/5', '4/5', '5/6', '8/7', '3'] -> (1/5 + 3) / (5/6 - 4/5 / 8/7)
[328049] ['1/6', '3/8', '3/4', '8/9', '8'] -> 8 / (3/4 * (8/9 - 1/6 / 3/8))
[328050] ['1/6', '1/5', '3/5', '9/7', '2'] -> (2 + 3/5 / (1/6 * 9/7)) / 1/5
[328051] ['4/5', '8/9', '1', '8/7', '7/6'] -> 8/7 / (1 - 8/9 / (4/5 * 7/6))
[328052] ['9/8', '7/6', '9/7', '9/5', '7'] -> 7 / (9/8 - 7/6 * 9/7 / 9/5)
[328053] ['1/6', '3/8', '3/4', '8/7', '8'] -> (8 - 1/6 * 3/4) / (3/8 / 8/7)
[328054] ['4/7', '4/5', '6/7', '5/3', '2'] -> 4/7 / (6/7 + 5/3 - 2 / 4/5)
[328055] ['1/8', '3/8', '1', '6/5', '7/2'] -> (1 + 7/2) / (3/8 / 6/5 - 1/8)
[328056] ['1/3', '5/8', '6/7', '9/4', '5'] -> (9/4 + 5) / (5/8 - 1/3) - 6/7
[328057] ['1/3', '5/7', '7/9', '1', '9/5'] -> (1/3 + 9/5) / (7/9 / 5/7 - 1)
[328058] ['1/8', '5/9', '7/5', '9/4', '8'] -> 5/9 * 9/4 * (8 + 7/5 / 1/8)
[328059] ['4/9', '2/3', '6/7', '7/5', '5'] -> (2/3 + 6/7) * 5 / (4/9 / 7/5)
[328060] ['1/8', '3/8', '1', '5/4', '9/7'] -> (5/4 / 3/8 - 1) / (1/8 / 9/7)
[328061] ['4/7', '4/5', '6/7', '7/4', '2'] -> 6/7 / ((2 - 4/7) / 4/5 - 7/4)
[328062] ['1/5', '4/5', '5/6', '5/2', '3'] -> (3 + 5/2 / 5/6) / (1/5 / 4/5)
[328063] ['9/8', '7/6', '9/7', '7/2', '7'] -> 9/7 * 7/2 * 7 / (9/8 * 7/6)
[328064] ['1/6', '3/8', '3/4', '8/5', '8'] -> 8 / (8/5 * (3/4 - (1/6 + 3/8)))
[328065] ['4/9', '2/3', '6/7', '8/5', '5'] -> 8/5 * 5 / (2/3 / 6/7 - 4/9)
[328066] ['4/7', '9/8', '7/5', '8/3', '7'] -> 7 / (8/3 - 7/5 * (4/7 + 9/8))
[328067] ['1/8', '3/8', '1', '5/4', '8/5'] -> (5/4 - (3/8 - 1)) / (1/8 / 8/5)
[328068] ['1/6', '3/8', '3/4', '9/5', '8'] -> 8 / (1/6 * 3/4 + 3/8 / 9/5)
[328069] ['1/8', '5/9', '7/5', '8/3', '8'] -> 8/3 / 5/9 + 8 + 7/5 / 1/8
[328070] ['4/7', '9/8', '7/5', '7/2', '7'] -> (7/5 + 7) * (7/2 - 4/7 * 9/8)
[328071] ['1/3', '5/8', '7/8', '8/9', '5'] -> (1/3 + 5) / (8/9 * (7/8 - 5/8))
[328072] ['4/7', '4/5', '6/7', '2', '7/3'] -> 4/7 / (6/7 - 7/3 / (4/5 + 2))
[328073] ['1/6', '1/5', '5/8', '7/8', '2'] -> 2 / (1/5 * (7/8 + 1/6 - 5/8))
[328074] ['4/7', '9/8', '7/5', '9/2', '7'] -> 7 * (4/7 + 9/2 / (9/8 * 7/5))
[328075] ['1/8', '3/8', '1', '5/4', '9/5'] -> 1 / (3/8 / 5/4 / 9/5 - 1/8)
[328076] ['4/5', '8/9', '1', '8/7', '8/5'] -> 8/5 / 8/9 / (1 / 8/7 - 4/5)
[328077] ['1/5', '4/5', '6/7', '7/6', '3'] -> (4/5 + 3 + 6/7 * 7/6) / 1/5
[328078] ['4/9', '2/3', '6/7', '7/3', '5'] -> (2/3 + 5 * 6/7 * 7/3) / 4/9
[328079] ['4/7', '9/8', '3/2', '8/5', '7'] -> (3/2 + 4/7 * 9/8) * 8/5 * 7
[328080] ['9/8', '7/6', '4/3', '5/3', '7'] -> 7 / (9/8 - 7/6 - (4/3 - 5/3))
[328081] ['1/6', '3/8', '7/9', '8/7', '8'] -> 8/7 * ((1/6 + 8) / 3/8 - 7/9)
[328082] ['1/8', '5/9', '3/2', '7/4', '8'] -> (7/4 - 1/8 / 3/2) / (5/9 / 8)
[328083] ['4/7', '9/8', '3/2', '5/3', '7'] -> 7 / (5/3 / 4/7 - (9/8 + 3/2))
[328084] ['1/3', '5/7', '4/5', '6/7', '1'] -> 6/7 / 1/3 / (1 - 5/7 / 4/5)
[328085] ['1/6', '1/5', '5/8', '7/6', '2'] -> (2 - (1/6 - 7/6)) / (1/5 * 5/8)
[328086] ['4/9', '2/3', '6/7', '8/3', '5'] -> (4/9 + 5 / (6/7 / 8/3)) / 2/3
[328087] ['1/5', '4/5', '6/7', '9/7', '3'] -> (1/5 + 3) / (4/5 - 6/7 / 9/7)
[328088] ['1/3', '5/8', '7/8', '7/2', '5'] -> (7/2 + 5) / 1/3 - (5/8 + 7/8)
[328089] ['9/8', '7/6', '4/3', '9/4', '7'] -> 7 * (9/8 * 4/3 + 9/4 / 7/6)
[328090] ['1/8', '3/8', '1', '9/7', '3/2'] -> 3/2 / (1/8 / (9/7 - 1) - 3/8)
[328091] ['4/7', '9/8', '3/2', '9/5', '7'] -> (4/7 + 3/2 / 9/8) * 9/5 * 7
[328092] ['4/5', '8/9', '1', '8/7', '7/3'] -> 8/7 * 7/3 / (8/9 / 4/5 - 1)
[328093] ['1/6', '1/5', '5/8', '5/3', '2'] -> (5/3 - 1/6) * 2 / (1/5 * 5/8)
[328094] ['9/8', '7/6', '7/5', '7/5', '7'] -> 7/5 * 7 / (9/8 * 7/5 - 7/6)
[328095] ['1/3', '5/7', '4/5', '1', '8/7'] -> 8/7 / (1/3 * 5/7) / (1 - 4/5)
[328096] ['1/8', '5/9', '8/5', '7/4', '8'] -> (1/8 + 7/4) * (8 / 5/9 - 8/5)
[328097] ['1/3', '5/8', '8/9', '7/6', '5'] -> 5 / ((7/6 - 8/9) / 1/3 - 5/8)
[328098] ['4/9', '2/3', '7/8', '9/8', '5'] -> (2/3 + 5 * (7/8 + 9/8)) / 4/9
[328099] ['1/8', '3/8', '1', '9/7', '7/4'] -> 1 / (3/8 / 9/7 / 7/4 - 1/8)
[328100] ['4/7', '4/5', '7/8', '6/5', '2'] -> 2 / 7/8 / (4/5 / 6/5 - 4/7)
[328101] ['4/5', '8/9', '1', '8/7', '8/3'] -> 8/3 / (1 / 4/5 - 8/7) - 8/9
[328102] ['1/3', '5/8', '8/9', '5/4', '5'] -> 1/3 / (8/9 - 5/8 - 5/4 / 5)
[328103] ['1/8', '5/9', '8/5', '9/4', '8'] -> 8 + 8/5 * 9/4 / (1/8 / 5/9)
[328104] ['9/8', '7/6', '7/5', '5/3', '7'] -> 7 / (9/8 - 5/3 + 7/6 / 7/5)
[328105] ['1/6', '1/5', '2/3', '2/3', '2'] -> 2 / (1/5 * (2/3 - 1/6 / 2/3))
[328106] ['4/9', '2/3', '7/8', '7/6', '5'] -> 5 / ((7/6 - 4/9) / 2/3 - 7/8)
[328107] ['1/6', '3/8', '4/5', '7/8', '8'] -> 7/8 / (1/6 * 3/8) + 8 / 4/5
[328108] ['9/8', '7/6', '7/5', '9/5', '7'] -> 7 / (7/6 - 9/8 * 7/5 / 9/5)
[328109] ['1/3', '5/8', '8/9', '7/5', '5'] -> 5 / (8/9 / (7/5 - 1/3) - 5/8)
[328110] ['4/9', '2/3', '7/8', '6/5', '5'] -> (2/3 + 6/5) * 5 / (4/9 * 7/8)
[328111] ['1/8', '3/8', '1', '9/7', '7/3'] -> (9/7 / 3/8 - 1 / 7/3) / 1/8
[328112] ['1/6', '3/8', '4/5', '8/9', '8'] -> 8 / (8/9 - 1/6 / 3/8 / 4/5)
[328113] ['1/5', '4/5', '6/7', '3', '7/2'] -> (3 + 6/7 * 7/2) / (1/5 / 4/5)
[328114] ['1/6', '3/8', '4/5', '9/8', '8'] -> (8 - 9/8 / 3/8) / (1/6 / 4/5)
[328115] ['1/8', '5/9', '5/3', '7/2', '8'] -> 8 * (7/2 - 1/8) - 5/3 / 5/9
[328116] ['1/6', '1/5', '2/3', '7/8', '2'] -> 2 / 1/5 / (2/3 * 7/8 - 1/6)
[328117] ['1/3', '5/8', '8/9', '7/4', '5'] -> (5/8 + 7/4 + 5 / 8/9) / 1/3
[328118] ['9/8', '7/6', '7/5', '5/2', '7'] -> 7 / (7/5 * (5/2 - (9/8 + 7/6)))
[328119] ['4/7', '9/8', '8/5', '7/3', '7'] -> 7 / (9/8 - 7/3 * 4/7 / 8/5)
[328120] ['4/9', '2/3', '7/8', '9/7', '5'] -> (2/3 + 5) / (7/8 / 9/7 - 4/9)
[328121] ['1/6', '1/5', '2/3', '9/8', '2'] -> 2 / (1/6 / 1/5 - 2/3 * 9/8)
[328122] ['1/8', '3/8', '1', '9/7', '9/2'] -> (9/2 / 9/7 - 3/8) / 1/8 - 1
[328123] ['9/8', '7/6', '7/5', '8/3', '7'] -> 7 / (9/8 * (7/5 - 7/6)) - 8/3
[328124] ['1/5', '4/5', '7/8', '9/7', '3'] -> 3 / (7/8 * 9/7 - (1/5 + 4/5))
[328125] ['4/5', '8/9', '1', '7/6', '5/3'] -> 4/5 / (7/6 - (8/9 + 1) / 5/3)
[328126] ['9/8', '7/6', '7/5', '7/2', '7'] -> 7 / (7/2 - 7/5 * (9/8 + 7/6))
[328127] ['1/5', '4/5', '7/8', '8/5', '3'] -> 3 / (1/5 - 4/5 - (7/8 - 8/5))
[328128] ['4/7', '9/8', '8/5', '7/2', '7'] -> (7/2 + 4/7 / 8/5) / (9/8 / 7)
[328129] ['1/6', '3/8', '4/5', '4/3', '8'] -> (4/3 - 1/6 / 4/5) / (3/8 / 8)
[328130] ['1/8', '3/8', '1', '4/3', '8/5'] -> (4/3 + 1 / (3/8 * 8/5)) / 1/8
[328131] ['1/3', '5/8', '9/8', '7/6', '5'] -> 5 / ((7/6 - 1/3) / 5/8 - 9/8)
[328132] ['1/6', '1/5', '2/3', '7/4', '2'] -> (2/3 + 7/4) / (1/5 / 2) - 1/6
[328133] ['4/7', '4/5', '7/8', '9/5', '2'] -> (4/7 + 4/5) / (9/5 / 7/8 - 2)
[328134] ['4/5', '8/9', '1', '7/6', '7/4'] -> 7/6 / ((7/4 - 1) / 4/5 - 8/9)
[328135] ['9/8', '7/6', '7/5', '9/2', '7'] -> 9/8 * (7 / (7/5 / 9/2) - 7/6)
[328136] ['1/8', '3/8', '1', '4/3', '7/4'] -> 4/3 * (1 + (3/8 + 7/4) / 1/8)
[328137] ['9/8', '7/6', '3/2', '3/2', '7'] -> 7 / (7/6 / 3/2) / (3/2 - 9/8)
[328138] ['1/3', '5/8', '9/8', '9/7', '5'] -> (5/8 + 9/8) * (5 / 1/3 - 9/7)
[328139] ['1/8', '5/9', '7/4', '9/2', '8'] -> 7/4 * 8 / (5/9 + 1/8 / 9/2)
[328140] ['1/8', '5/9', '9/5', '9/5', '8'] -> 8 + (9/5 + 9/5) / (1/8 / 5/9)
[328141] ['1/3', '5/8', '9/8', '7/5', '5'] -> 9/8 + (5/8 + 7/5 * 5) / 1/3
[328142] ['1/6', '3/8', '5/6', '6/7', '8'] -> 8 / (6/7 * (5/6 - 1/6 / 3/8))
[328143] ['1/6', '1/5', '5/7', '5/6', '2'] -> 1/5 + (5/6 + 2) / (1/6 * 5/7)
[328144] ['4/5', '8/9', '1', '6/5', '6/5'] -> (6/5 + 6/5) / (1 - 4/5 / 8/9)
[328145] ['4/9', '2/3', '8/9', '8/9', '5'] -> (8/9 + 8/9 * 5) / (2/3 - 4/9)
[328146] ['1/8', '3/8', '1', '7/5', '7/4'] -> (7/4 / (1/8 * 7/5) - 1) / 3/8
[328147] ['9/8', '7/6', '8/5', '5/3', '7'] -> (9/8 + 7/6) * 8/5 * 7 - 5/3
[328148] ['1/6', '3/8', '5/6', '8/7', '8'] -> 8 / (8/7 * (5/6 - (1/6 + 3/8)))
[328149] ['1/5', '4/5', '8/9', '5/4', '3'] -> 3 / (5/4 - (1/5 + 4/5) / 8/9)
[328150] ['1/3', '5/7', '5/6', '6/7', '1'] -> 1/3 * (5/7 + 1) / (6/7 - 5/6)
[328151] ['1/8', '5/9', '9/5', '7/3', '8'] -> (8 - 5/9 * 9/5) / (1/8 * 7/3)
[328152] ['4/7', '9/8', '5/3', '7/3', '7'] -> 7 / (5/3 / 4/7 - 9/8 * 7/3)
[328153] ['4/5', '8/9', '1', '6/5', '4/3'] -> 4/3 * (4/5 + 6/5) / (1 - 8/9)
[328154] ['4/9', '2/3', '8/9', '5/4', '5'] -> 5 / (5/4 * (2/3 - 4/9 / 8/9))
[328155] ['9/8', '7/6', '8/5', '9/4', '7'] -> 9/4 * (7 + 8/5 * (9/8 + 7/6))
[328156] ['4/7', '9/8', '5/3', '7/2', '7'] -> 7 / (9/8 - 5/3 / (4/7 * 7/2))
[328157] ['1/3', '5/7', '5/6', '1', '8/7'] -> 8/7 / (1/3 * (1 - 5/7 / 5/6))
[328158] ['4/5', '8/9', '1', '6/5', '8/5'] -> 8/5 / (4/5 / 8/9 - 1 / 6/5)
[328159] ['1/3', '5/8', '8/7', '7/5', '5'] -> (5 + 5/8 * 8/7) / (1/3 / 7/5)
[328160] ['1/8', '5/9', '9/4', '9/4', '8'] -> (8 - 5/9 * 9/4) / (1/8 * 9/4)
[328161] ['4/7', '9/8', '5/3', '9/2', '7'] -> 7 * (9/2 - 5/3 * 4/7 * 9/8)
[328162] ['1/6', '1/5', '5/7', '7/6', '2'] -> 1/5 + (7/6 + 2 / 5/7) / 1/6
[328163] ['1/8', '3/8', '1', '7/5', '7/2'] -> 1 + (3/8 + 7/2 / 7/5) / 1/8
[328164] ['4/9', '2/3', '8/9', '5/3', '5'] -> 8/9 / (5/3 / 5 - 4/9 * 2/3)
[328165] ['1/5', '4/5', '8/9', '9/5', '3'] -> 8/9 * 9/5 / (4/5 / 3 - 1/5)
[328166] ['1/3', '5/8', '8/7', '3/2', '5'] -> 3/2 * (5 / (5/8 - 1/3) - 8/7)
[328167] ['1/8', '5/9', '9/4', '7/3', '8'] -> (7/3 - 5/9) / (1/8 / 9/4) - 8
[328168] ['1/6', '1/5', '5/7', '5/4', '2'] -> 2 / (5/4 - 1/6 / 1/5 / 5/7)
[328169] ['1/3', '5/7', '5/6', '1', '6/5'] -> 1 / (1/3 * (5/6 - 5/7)) - 6/5
[328170] ['4/9', '2/3', '8/9', '7/4', '5'] -> 5 / (7/4 * 4/9 / 8/9 - 2/3)
[328171] ['1/5', '4/5', '8/9', '9/4', '3'] -> 8/9 * 9/4 * 3 / (1/5 / 4/5)
[328172] ['4/5', '8/9', '1', '6/5', '7/4'] -> 4/5 / (6/5 * (7/4 - 8/9) - 1)
[328173] ['1/8', '5/9', '9/4', '7/2', '8'] -> 8 * (1/8 / 9/4 - (5/9 - 7/2))
[328174] ['1/3', '5/8', '8/7', '7/4', '5'] -> (5 + 8/7 * 7/4) / (5/8 - 1/3)
[328175] ['1/5', '4/5', '8/9', '3', '7/2'] -> 3 * (7/2 + 4/5 / (1/5 * 8/9))
[328176] ['1/8', '3/8', '1', '3/2', '9/5'] -> 1 / (1/8 / (9/5 - 3/2) - 3/8)
[328177] ['1/6', '1/5', '5/7', '3/2', '2'] -> (2 / (5/7 / 3/2) - 1/5) / 1/6
[328178] ['1/6', '3/8', '6/7', '7/5', '8'] -> 7/5 * (8 / (1/6 / 3/8) - 6/7)
[328179] ['1/3', '5/7', '5/6', '1', '4/3'] -> 4/3 / 1/3 / (5/6 / 5/7 - 1)
[328180] ['4/7', '9/8', '7/4', '5/2', '7'] -> 7 * (5/2 / (7/4 - 9/8) - 4/7)
[328181] ['4/5', '8/9', '1', '6/5', '9/4'] -> 4/5 * 9/4 / (6/5 - 1 / 8/9)
[328182] ['1/6', '1/5', '5/7', '8/5', '2'] -> 8/5 / 2 / (1/6 / 5/7 - 1/5)
[328183] ['4/7', '9/8', '7/4', '8/3', '7'] -> 9/8 * 8/3 * (7 + 4/7 * 7/4)
[328184] ['1/6', '3/8', '6/7', '8/5', '8'] -> 8 / (3/8 / 6/7 - 1/6 / 8/5)
[328185] ['4/9', '2/3', '9/8', '7/6', '5'] -> 9/8 * (5 / (2/3 - 4/9) - 7/6)
[328186] ['1/8', '5/9', '7/3', '7/2', '8'] -> (8 + 7/3 / (1/8 * 7/2)) / 5/9
[328187] ['9/8', '7/6', '5/3', '9/4', '7'] -> 7 * (5/3 / 7/6 + 9/4 / 9/8)
[328188] ['1/8', '3/8', '1', '8/5', '7/3'] -> (1 + 3/8 * 7/3) / (1/8 / 8/5)
[328189] ['1/6', '1/5', '5/7', '7/4', '2'] -> 2 / (7/4 * 1/5 * 5/7 - 1/6)
[328190] ['4/5', '8/9', '1', '6/5', '7/2'] -> 4/5 * 7/2 / (1 - 8/9) - 6/5
[328191] ['1/5', '4/5', '9/8', '9/7', '3'] -> 3 / (1/5 + 4/5 - 9/8 / 9/7)
[328192] ['1/6', '3/8', '6/7', '5/3', '8'] -> (5/3 + 3/8 * 8) / (1/6 / 6/7)
[328193] ['4/9', '2/3', '9/8', '5/4', '5'] -> 5 / (5/4 * (2/3 - 4/9 * 9/8))
[328194] ['1/3', '5/8', '8/7', '5/2', '5'] -> (8/7 + 5/2 / 5/8) * (5 - 1/3)
[328195] ['9/8', '7/6', '5/3', '7/3', '7'] -> 7 / (9/8 - 7/6 * 5/3 / 7/3)
[328196] ['1/6', '3/8', '6/7', '7/4', '8'] -> (8 - 7/4 / (3/8 / 6/7)) / 1/6
[328197] ['1/3', '5/8', '8/7', '8/3', '5'] -> 8/7 * (5 / (5/8 / 8/3) - 1/3)
[328198] ['4/7', '9/8', '9/5', '7/3', '7'] -> 7/3 / (9/8 / 9/5) * (7 - 4/7)
[328199] ['1/5', '4/5', '9/8', '9/5', '3'] -> 9/5 / 9/8 / (4/5 / 3 - 1/5)
[328200] ['1/6', '3/8', '6/7', '9/4', '8'] -> 6/7 * (9/4 / (1/6 * 3/8) - 8)
[328201] ['1/8', '5/9', '5/2', '9/2', '8'] -> (8 - (5/2 + 5/9 * 9/2)) / 1/8
[328202] ['4/7', '9/8', '9/5', '5/2', '7'] -> 7 * (5/2 / (9/8 / 9/5) - 4/7)
[328203] ['4/9', '2/3', '9/8', '5/3', '5'] -> 5/3 / 5 / (9/8 - (4/9 + 2/3))
[328204] ['1/6', '3/8', '6/7', '5/2', '8'] -> (5/2 - 1/6) * (8 + 6/7 / 3/8)
[328205] ['1/3', '5/8', '7/6', '7/5', '5'] -> 7/5 / (5/8 - 1/3 - 7/6 / 5)
[328206] ['1/5', '4/5', '8/7', '7/6', '3'] -> (4/5 + 3 * 8/7 * 7/6) / 1/5
[328207] ['4/7', '9/8', '9/5', '7/2', '7'] -> 7 * (4/7 / 9/5 + 7/2 / 9/8)
[328208] ['1/8', '5/9', '7/2', '9/2', '8'] -> (8 + 5/9 * 9/2) / (1/8 * 7/2)
[328209] ['1/6', '1/5', '5/7', '2', '9/2'] -> 9/2 / 1/6 - (1/5 + 2 / 5/7)
[328210] ['9/8', '7/6', '7/4', '9/5', '7'] -> 7 / (9/8 - 7/4 / (7/6 * 9/5))
[328211] ['4/9', '2/3', '9/8', '5/2', '5'] -> 2/3 / 5 / (9/8 / 5/2 - 4/9)
[328212] ['1/6', '3/8', '6/7', '9/2', '8'] -> 8 * (9/2 / 6/7 - 3/8 / 1/6)
[328213] ['1/8', '4/7', '4/7', '4/7', '8'] -> 8 + (4/7 + 4/7) / (1/8 * 4/7)
[328214] ['1/5', '4/5', '8/7', '6/5', '3'] -> (6/5 / 8/7 + 3 / 4/5) / 1/5
[328215] ['1/6', '1/5', '3/4', '7/9', '2'] -> 2 / 1/5 / (3/4 * 7/9 - 1/6)
[328216] ['9/8', '7/6', '7/4', '5/2', '7'] -> 7 / (7/6 / 5/2) / (7/4 - 9/8)
[328217] ['4/9', '2/3', '9/8', '7/2', '5'] -> (4/9 + 5 / (9/8 / 7/2)) / 2/3
[328218] ['4/7', '9/8', '9/4', '9/4', '7'] -> 7 * ((9/4 + 9/4) / 9/8 - 4/7)
[328219] ['1/3', '5/8', '7/6', '7/4', '5'] -> 5 / 5/8 / (7/6 / 7/4 - 1/3)
[328220] ['1/5', '4/5', '8/7', '5/4', '3'] -> 3 / (5/4 - 8/7) - 4/5 / 1/5
[328221] ['1/6', '1/5', '3/4', '5/6', '2'] -> 2 / 5/6 / (1/5 / 3/4 - 1/6)
[328222] ['1/6', '3/8', '7/8', '9/7', '8'] -> (8 - 9/7 / 3/8) / (1/6 / 7/8)
[328223] ['1/8', '3/8', '1', '9/5', '9/4'] -> (9/4 / (1/8 * 9/5) - 1) / 3/8
[328224] ['4/7', '9/8', '9/4', '7/3', '7'] -> (4/7 + 9/4 / 9/8) * (7/3 + 7)
[328225] ['4/7', '4/5', '9/8', '8/7', '2'] -> 4/5 * (4/7 / (8/7 - 9/8) - 2)
[328226] ['1/5', '4/5', '8/7', '7/5', '3'] -> 8/7 * 7/5 / (4/5 / 3 - 1/5)
[328227] ['1/6', '3/8', '7/8', '7/5', '8'] -> 7/8 / 7/5 * 8 / (3/8 - 1/6)
[328228] ['4/9', '2/3', '8/7', '6/5', '5'] -> (2/3 + 6/5) * 5 / (4/9 / 8/7)
[328229] ['4/7', '9/8', '9/4', '5/2', '7'] -> 7 * (4/7 * 5/2 + 9/4 / 9/8)
[328230] ['1/3', '5/8', '6/5', '9/7', '5'] -> 5 / (5/8 / 9/7 - 1/3 / 6/5)
[328231] ['1/6', '1/5', '3/4', '7/8', '2'] -> (7/8 / 1/5 - 3/4 / 2) / 1/6
[328232] ['1/5', '4/5', '8/7', '3/2', '3'] -> (3 + 4/5 * 3/2) / (1/5 / 8/7)
[328233] ['9/8', '7/6', '9/5', '7/3', '7'] -> 7 / (7/3 * 9/8 / 9/5 - 7/6)
[328234] ['4/7', '9/8', '9/4', '7/2', '7'] -> 7 * (9/8 / 9/4 - (4/7 - 7/2))
[328235] ['1/3', '5/7', '6/7', '1', '7/5'] -> 6/7 / (1/3 - 5/7 / (1 + 7/5))
[328236] ['1/8', '4/7', '4/7', '9/8', '8'] -> 9/8 / 1/8 + (4/7 + 8) / 4/7
[328237] ['4/9', '2/3', '8/7', '4/3', '5'] -> 4/3 * 5 / (2/3 - 4/9 / 8/7)
[328238] ['1/5', '4/5', '8/7', '7/3', '3'] -> 8/7 * 3 / (4/5 / 7/3 - 1/5)
[328239] ['1/3', '5/8', '6/5', '9/5', '5'] -> 5 / 5/8 / (6/5 / 9/5 - 1/3)
[328240] ['4/5', '8/9', '1', '9/7', '8/5'] -> 8/5 / (1 / 9/7 - 4/5 * 8/9)
[328241] ['1/5', '4/5', '8/7', '5/2', '3'] -> (5/2 + 3 - 4/5 / 8/7) / 1/5
