[157593] ['2/7', '5/8', '4/5', '3/2', '4'] -> (((3/2 + (4 / 2/7)) / 5/8) - 4/5)
[157611] ['1/4', '1/4', '7/9', '9/2', '7'] -> ((7 * (7/9 * 9/2)) - (1/4 + 1/4))
[157612] ['1/7', '1/6', '5/7', '4/5', '7'] -> (7 / (1/7 + ((1/6 * 5/7) / 4/5)))
[157613] ['3/4', '6/7', '9/7', '8/5', '4'] -> ((9/7 * 4) / (3/4 - (6/7 / 8/5)))
[157614] ['2/7', '5/8', '4/5', '5/2', '4'] -> (((4 / (2/7 * 4/5)) - 5/2) / 5/8)
[157615] ['3/8', '3/7', '3/7', '8/9', '7'] -> ((7 + (3/7 / 3/7)) / (3/8 * 8/9))
[157616] ['1/6', '2/7', '3/4', '6/5', '3'] -> (2/7 / ((3/4 / (6/5 + 3)) - 1/6))
[157617] ['1/4', '1/4', '4/5', '5/6', '7'] -> (((7 + (1/4 * 4/5)) * 5/6) / 1/4)
[157618] ['3/4', '6/7', '9/7', '7/4', '4'] -> (6/7 / ((9/7 + 7/4) - (3/4 * 4)))
[157619] ['1/7', '1/6', '5/7', '7/8', '7'] -> (1/7 / ((7/8 / 7) - (1/6 * 5/7)))
[157620] ['5/8', '5/6', '7/5', '7/2', '9'] -> ((((7/2 / 7/5) - 5/6) * 9) / 5/8)
[157621] ['2/9', '4/3', '8/5', '7/3', '9'] -> (8/5 * ((7/3 * 9) - (4/3 / 2/9)))
[157622] ['2/5', '7/9', '7/8', '2', '7/3'] -> (7/3 / ((7/9 / (2/5 * 2)) - 7/8))
[157623] ['5/9', '4/5', '7/6', '5/2', '6'] -> (5/2 * ((7/6 / 5/9) + (6 / 4/5)))
[157624] ['2/5', '5/8', '1', '8/7', '7/2'] -> (((8/7 + (1 / 5/8)) * 7/2) / 2/5)
[157625] ['2/7', '4/9', '5/8', '4/3', '6'] -> ((4/3 + 6) / (2/7 * (4/9 + 5/8)))
[157626] ['3/8', '3/7', '3/7', '7/6', '7'] -> ((3/7 * 7) / ((3/7 * 7/6) - 3/8))
[157627] ['4/5', '7/8', '8/3', '3', '9/2'] -> ((3 * (8/3 + (9/2 / 4/5))) - 7/8)
[157628] ['2/7', '4/9', '5/8', '7/5', '6'] -> ((2/7 / 6) / ((5/8 / 7/5) - 4/9))
[157629] ['5/9', '4/5', '6/5', '5/4', '6'] -> (6 / ((5/4 / 5/9) - (4/5 + 6/5)))
[157630] ['1/7', '1/6', '5/7', '9/8', '7'] -> (7 / (9/8 - ((5/7 * 1/6) / 1/7)))
[157631] ['5/9', '4/7', '3/4', '9/8', '8'] -> (((8 / 4/7) - (3/4 / 9/8)) / 5/9)
[157632] ['1/6', '2/7', '3/4', '5/2', '3'] -> (((5/2 / (2/7 - 1/6)) - 3) / 3/4)
[157633] ['3/8', '3/7', '3/7', '5/4', '7'] -> (3/7 / ((5/4 / 7) - (3/8 * 3/7)))
[157634] ['5/9', '3/4', '8/9', '5/4', '3'] -> (3 / ((5/9 / 8/9) + (3/4 - 5/4)))
[157635] ['3/4', '6/7', '9/7', '5/2', '4'] -> (6/7 / (4 - (3/4 + (9/7 * 5/2))))
[157636] ['2/5', '7/9', '7/8', '2', '7/2'] -> ((7/2 / 7/9) / ((7/8 / 2/5) - 2))
[157637] ['2/7', '5/8', '5/6', '6/7', '4'] -> ((2/7 + 4) / (6/7 * (5/6 - 5/8)))
[157638] ['5/8', '5/6', '3/2', '9/2', '9'] -> (((9/2 + (3/2 * 9)) * 5/6) / 5/8)
[157639] ['5/9', '4/5', '6/5', '7/5', '6'] -> ((6/5 / ((4/5 / 5/9) - 7/5)) - 6)
[157640] ['1/7', '1/6', '5/7', '5/4', '7'] -> (7 / (1/7 + (5/4 * (1/6 * 5/7))))
[157641] ['2/9', '4/3', '7/4', '7/4', '9'] -> ((9 * (7/4 - (2/9 - 4/3))) - 7/4)
[157642] ['4/5', '8/9', '8/9', '9/8', '3'] -> (3 / ((8/9 / (4/5 * 8/9)) - 9/8))
[157643] ['2/5', '5/8', '1', '7/6', '4/3'] -> ((1 / (2/5 * 5/8)) / (4/3 - 7/6))
[157644] ['3/4', '6/7', '4/3', '7/5', '4'] -> ((6/7 + 4) / ((4/3 / 7/5) - 3/4))
[157645] ['5/9', '3/4', '8/9', '7/5', '3'] -> (3 / ((7/5 * (5/9 / 8/9)) - 3/4))
[157646] ['5/9', '4/5', '6/5', '3/2', '6'] -> ((6 / 5/9) / ((3/2 / 6/5) - 4/5))
[157647] ['2/5', '5/8', '1', '7/6', '3/2'] -> ((1 / 5/8) / ((2/5 + 7/6) - 3/2))
[157648] ['1/4', '1/4', '4/5', '9/7', '7'] -> (((7 - 9/7) * (1/4 + 4/5)) / 1/4)
[157649] ['5/9', '4/7', '3/4', '4/3', '8'] -> ((8 / (4/7 * 3/4)) / (4/3 - 5/9))
[157650] ['3/8', '3/7', '3/7', '5/3', '7'] -> (7 / (5/3 - (3/8 + (3/7 / 3/7))))
[157651] ['5/8', '5/6', '8/5', '7/4', '9'] -> (8/5 * ((7/4 * 9) - (5/8 / 5/6)))
[157652] ['5/9', '3/4', '8/9', '8/5', '3'] -> (((5/9 + 3) / (8/9 - 3/4)) - 8/5)
[157653] ['1/7', '1/6', '5/7', '7/5', '7'] -> ((7 - 5/7) / (1/7 + (1/6 / 7/5)))
[157654] ['1/6', '2/7', '7/9', '6/7', '3'] -> (((2/7 + (3 / 7/9)) / 1/6) - 6/7)
[157655] ['5/9', '4/5', '6/5', '8/5', '6'] -> (((6/5 + (6 / 5/9)) * 8/5) / 4/5)
[157656] ['2/7', '5/8', '5/6', '7/6', '4'] -> ((7/6 * (2/7 + 4)) / (5/6 - 5/8))
[157657] ['5/9', '4/7', '3/4', '7/5', '8'] -> ((8 / (5/9 * 4/7)) / (3/4 * 7/5))
[157658] ['3/8', '3/7', '3/7', '7/4', '7'] -> (7 / (((3/8 / 3/7) / 3/7) - 7/4))
[157659] ['2/5', '7/9', '8/9', '8/7', '2'] -> (2 / (2/5 * (8/9 - (7/9 / 8/7))))
[157660] ['4/5', '8/9', '8/9', '6/5', '3'] -> (3 / (4/5 - (6/5 / (8/9 + 8/9))))
[157661] ['1/6', '2/7', '7/9', '7/8', '3'] -> (3 / (7/8 - ((1/6 / 2/7) / 7/9)))
[157662] ['5/9', '4/5', '6/5', '7/4', '6'] -> ((4/5 / 6) / ((5/9 + 6/5) - 7/4))
[157663] ['5/8', '5/6', '8/5', '8/3', '9'] -> (8/5 + ((8/3 + 9) / (5/8 * 5/6)))
[157664] ['5/9', '4/7', '3/4', '3/2', '8'] -> ((8 / 3/2) / ((5/9 / 4/7) - 3/4))
[157665] ['3/8', '3/7', '3/7', '9/5', '7'] -> (7 / ((3/7 / 9/5) - (3/8 - 3/7)))
[157666] ['2/7', '5/8', '5/6', '6/5', '4'] -> (((5/6 * 6/5) + (4 / 2/7)) / 5/8)
[157667] ['5/9', '3/4', '8/9', '9/4', '3'] -> ((8/9 / (3/4 - 5/9)) * (9/4 + 3))
[157668] ['1/6', '2/7', '7/9', '8/9', '3'] -> (((8/9 + (3 / 1/6)) / 7/9) - 2/7)
[157669] ['5/8', '5/6', '5/3', '5/3', '9'] -> (9 / (5/8 - (5/6 / (5/3 + 5/3))))
[157670] ['2/5', '5/8', '1', '7/6', '9/5'] -> (9/5 / ((7/6 * (1 - 2/5)) - 5/8))
[157671] ['2/9', '4/3', '9/5', '9/4', '9'] -> ((2/9 * 9) / (4/3 - (9/4 / 9/5)))
[157672] ['1/4', '1/4', '4/5', '7/4', '7'] -> (4/5 * ((1/4 + 7/4) + (7 / 1/4)))
[157673] ['2/5', '7/9', '8/9', '6/5', '2'] -> (2 / ((7/9 / (6/5 - 2/5)) - 8/9))
[157674] ['3/4', '6/7', '4/3', '7/3', '4'] -> (4 / ((7/3 * (3/4 * 6/7)) - 4/3))
[157675] ['2/7', '5/8', '5/6', '5/4', '4'] -> (((5/8 + (5/4 / 2/7)) * 4) / 5/6)
[157676] ['5/9', '4/5', '6/5', '7/2', '6'] -> ((4/5 / 6/5) / ((7/2 / 6) - 5/9))
[157677] ['1/7', '1/6', '5/7', '9/2', '7'] -> ((1/6 + 9/2) * (1/7 + (5/7 * 7)))
[157678] ['4/5', '8/9', '8/9', '7/5', '3'] -> (8/9 / (4/5 - ((8/9 + 7/5) / 3)))
[157679] ['5/9', '4/7', '3/4', '9/5', '8'] -> ((8 / (5/9 * 4/7)) / (9/5 - 3/4))
[157680] ['3/4', '6/7', '4/3', '8/3', '4'] -> (4 / (3/4 - (4/3 / (6/7 * 8/3))))
[157681] ['5/8', '5/6', '7/4', '7/4', '9'] -> ((9 + (7/4 + 7/4)) / (5/8 * 5/6))
[157682] ['2/5', '5/8', '1', '7/6', '5/2'] -> ((1 / 5/8) / ((7/6 / 5/2) - 2/5))
[157683] ['1/4', '1/4', '4/5', '8/3', '7'] -> ((7 / (1/4 * (1/4 + 4/5))) - 8/3)
[157684] ['5/9', '3/4', '8/9', '3', '9/2'] -> ((9/2 * (5/9 + 3)) / (3/4 * 8/9))
[157685] ['1/7', '1/6', '3/4', '4/5', '7'] -> (((3/4 - (1/7 / 4/5)) * 7) / 1/6)
[157686] ['1/6', '2/7', '7/9', '5/4', '3'] -> ((3 / (1/6 * 7/9)) / (5/4 - 2/7))
[157687] ['3/8', '3/7', '4/9', '1/2', '7'] -> (7 * (3/7 + (1/2 / (3/8 * 4/9))))
[157688] ['5/9', '4/7', '3/4', '7/3', '8'] -> (8 / (3/4 - ((5/9 / 4/7) / 7/3)))
[157689] ['5/8', '5/6', '7/4', '5/2', '9'] -> (((9 * 5/2) / 5/6) / (7/4 - 5/8))
[157690] ['5/9', '3/4', '9/8', '9/8', '3'] -> ((3 / 9/8) / ((3/4 / 9/8) - 5/9))
[157691] ['1/7', '1/6', '3/4', '5/6', '7'] -> (1/7 / ((1/6 * 3/4) - (5/6 / 7)))
[157692] ['2/5', '7/9', '8/9', '3/2', '2'] -> ((8/9 * 3/2) / (2 - (7/9 / 2/5)))
[157693] ['2/7', '5/8', '5/6', '5/3', '4'] -> ((5/3 / (2/7 * (5/6 - 5/8))) - 4)
[157694] ['2/5', '5/8', '1', '7/6', '9/2'] -> (1 / (7/6 - (9/2 * (2/5 * 5/8))))
[157695] ['5/9', '4/5', '5/4', '7/5', '6'] -> (6 * ((5/4 / 5/9) + (7/5 / 4/5)))
[157696] ['3/8', '3/7', '4/9', '5/9', '7'] -> ((7 * (3/7 * 5/9)) / (4/9 - 3/8))
[157697] ['1/4', '1/4', '5/6', '5/6', '7'] -> ((7 / 1/4) - (5/6 / (1/4 * 5/6)))
[157698] ['3/4', '6/7', '7/5', '8/5', '4'] -> (((7/5 + 8/5) / (6/7 - 3/4)) - 4)
[157699] ['5/9', '4/7', '3/4', '5/2', '8'] -> ((4/7 * 8) * (3/4 + (5/2 / 5/9)))
[157700] ['2/7', '4/9', '2/3', '4/5', '6'] -> (6 / ((2/3 / (4/9 + 4/5)) - 2/7))
[157701] ['1/7', '1/6', '3/4', '7/8', '7'] -> ((1/7 * 7) / ((1/6 + 3/4) - 7/8))
[157702] ['5/8', '5/6', '9/5', '8/3', '9'] -> ((8/3 + 9) / (5/6 - (5/8 / 9/5)))
[157703] ['1/4', '1/4', '5/6', '6/7', '7'] -> (7 / (5/6 - (1/4 + (1/4 / 6/7))))
[157704] ['4/5', '8/9', '8/9', '7/3', '3'] -> ((7/3 + 3) / ((8/9 / 4/5) - 8/9))
[157705] ['5/9', '4/7', '3/4', '7/2', '8'] -> ((8 + (4/7 * 7/2)) / (5/9 * 3/4))
[157706] ['2/5', '7/9', '8/9', '9/5', '2'] -> (9/5 / ((7/9 / 8/9) - (2/5 * 2)))
[157707] ['5/9', '3/4', '9/8', '6/5', '3'] -> (3 / (5/9 * (9/8 - (3/4 * 6/5))))
[157708] ['1/6', '2/7', '7/9', '9/4', '3'] -> ((3 / 9/4) / ((2/7 * 7/9) - 1/6))
[157709] ['5/9', '3/4', '9/8', '5/4', '3'] -> (3 / ((5/9 * 9/8) + (3/4 - 5/4)))
[157710] ['1/7', '1/6', '3/4', '9/8', '7'] -> (7 / (1/7 * (9/8 + (1/6 + 3/4))))
[157711] ['2/7', '5/8', '5/6', '8/3', '4'] -> (((5/6 + 8/3) * (2/7 + 4)) / 5/8)
[157712] ['2/9', '7/5', '7/5', '5/3', '9'] -> (9 * ((7/5 + 7/5) - (2/9 / 5/3)))
[157713] ['5/8', '5/6', '7/3', '7/3', '9'] -> ((7/3 * 9) / (7/3 - (5/8 + 5/6)))
[157714] ['2/5', '5/8', '1', '6/5', '3/2'] -> ((6/5 / 2/5) / ((5/8 + 1) - 3/2))
[157715] ['1/4', '1/4', '5/6', '8/7', '7'] -> ((8/7 * 7) / (5/6 - (1/4 + 1/4)))
[157716] ['2/7', '5/8', '5/6', '7/2', '4'] -> ((4 + (2/7 * 7/2)) / (5/6 - 5/8))
[157717] ['5/8', '5/6', '7/3', '7/2', '9'] -> (9 / ((5/8 * (5/6 + 7/2)) - 7/3))
[157718] ['1/4', '1/4', '5/6', '6/5', '7'] -> ((7 / 1/4) - ((6/5 * 5/6) / 1/4))
[157719] ['3/4', '6/7', '7/5', '7/3', '4'] -> ((7/5 + 7/3) * (4 * (3/4 + 6/7)))
[157720] ['2/7', '4/9', '2/3', '5/4', '6'] -> (6 * ((2/3 / (2/7 * 4/9)) - 5/4))
[157721] ['4/5', '8/9', '9/8', '9/8', '3'] -> (3 / (((9/8 * 8/9) / 4/5) - 9/8))
[157722] ['2/7', '5/8', '6/7', '7/8', '4'] -> ((6/7 + (4 * (5/8 + 7/8))) / 2/7)
[157723] ['1/4', '1/4', '5/6', '5/4', '7'] -> (((7 + (1/4 / 5/4)) * 5/6) / 1/4)
[157724] ['3/8', '3/7', '4/9', '5/6', '7'] -> (4/9 + (((3/7 + 5/6) * 7) / 3/8))
[157725] ['2/5', '5/8', '1', '6/5', '7/3'] -> (1 / ((6/5 / 2/5) - (5/8 + 7/3)))
[157726] ['2/5', '7/9', '8/9', '2', '9/2'] -> (9/2 / ((7/9 / (2/5 * 8/9)) - 2))
[157727] ['3/4', '6/7', '7/5', '7/2', '4'] -> (6/7 / ((3/4 / 7/5) + (7/2 - 4)))
[157728] ['5/8', '5/6', '7/2', '7/2', '9'] -> ((7/2 + (7/2 * 9)) / (5/8 + 5/6))
[157729] ['2/7', '4/9', '2/3', '5/3', '6'] -> (6 * (5/3 + (4/9 / (2/7 * 2/3))))
[157730] ['5/9', '3/4', '9/8', '5/2', '3'] -> (9/8 / (3/4 - (5/2 / (5/9 + 3))))
[157731] ['5/8', '6/7', '6/7', '6/7', '9'] -> ((6/7 * 9) / (6/7 - (5/8 * 6/7)))
[157732] ['3/8', '3/7', '4/9', '8/9', '7'] -> ((3/7 * 7) / ((4/9 / 8/9) - 3/8))
[157733] ['3/4', '6/7', '3/2', '3/2', '4'] -> (((3/2 + 3/2) / (6/7 - 3/4)) - 4)
[157734] ['2/7', '4/9', '2/3', '9/4', '6'] -> (((6 + (2/3 / 4/9)) / 2/7) - 9/4)
[157735] ['5/9', '4/7', '7/9', '3/2', '8'] -> (8 / ((5/9 / 7/9) - (4/7 / 3/2)))
[157736] ['4/5', '8/9', '9/8', '9/7', '3'] -> ((3 / ((9/8 / 4/5) - 9/7)) - 8/9)
[157737] ['3/8', '3/7', '4/9', '9/8', '7'] -> ((3/7 * 7) / ((4/9 * 9/8) - 3/8))
[157738] ['2/7', '5/8', '6/7', '7/5', '4'] -> (((6/7 + (4 / 5/8)) / 2/7) - 7/5)
[157739] ['1/6', '2/7', '4/5', '7/6', '3'] -> (3 / ((2/7 * 7/6) - (1/6 / 4/5)))
[157740] ['5/9', '3/4', '9/8', '3', '7/2'] -> (3 / (7/2 - ((3/4 + 9/8) / 5/9)))
[157741] ['5/8', '6/7', '6/7', '6/5', '9'] -> (6/7 + (9 * (6/5 + (6/7 / 5/8))))
[157742] ['2/7', '4/9', '2/3', '5/2', '6'] -> (2/3 + (((5/2 * 6) * 4/9) / 2/7))
[157743] ['5/7', '7/9', '5/6', '5/6', '5'] -> ((5/7 + 5) / ((5/6 / 7/9) - 5/6))
[157744] ['5/9', '4/5', '9/7', '8/5', '6'] -> (((8/5 + (4/5 / 9/7)) * 6) / 5/9)
[157745] ['3/4', '6/7', '3/2', '7/4', '4'] -> (6/7 / ((4 / 7/4) - (3/4 + 3/2)))
[157746] ['5/9', '3/4', '9/8', '3', '9/2'] -> (((9/2 * (5/9 + 3)) * 9/8) / 3/4)
[157747] ['5/8', '6/7', '6/7', '5/4', '9'] -> (9 / ((5/8 - 5/4) + (6/7 / 6/7)))
[157748] ['1/6', '2/7', '4/5', '5/4', '3'] -> (3 + ((4/5 * 5/4) / (1/6 * 2/7)))
[157749] ['2/5', '5/8', '1', '5/4', '7/5'] -> ((1 + 7/5) / ((5/8 / 5/4) - 2/5))
[157750] ['3/8', '3/7', '4/9', '7/6', '7'] -> (7 * ((3/8 + 3/7) + (7/6 / 4/9)))
[157751] ['1/4', '1/4', '6/7', '9/8', '7'] -> ((6/7 * 7) + (9/8 / (1/4 * 1/4)))
[157752] ['2/7', '5/8', '6/7', '7/4', '4'] -> ((7/4 * 4) / (5/8 - (2/7 / 6/7)))
[157753] ['5/8', '6/7', '6/7', '4/3', '9'] -> ((6/7 + (4/3 * 9)) / (5/8 * 6/7))
[157754] ['2/5', '5/8', '1', '5/4', '3/2'] -> ((3/2 / (2/5 * 5/8)) / (5/4 - 1))
[157755] ['1/6', '2/7', '4/5', '9/7', '3'] -> (4/5 * (3 + (9/7 / (1/6 * 2/7))))
[157756] ['1/7', '1/6', '3/4', '9/2', '7'] -> ((3/4 * (1/6 + 9/2)) * (7 - 1/7))
[157757] ['5/7', '7/9', '5/6', '8/9', '5'] -> (5 / (5/6 - ((5/7 * 7/9) / 8/9)))
[157758] ['2/7', '4/9', '5/7', '5/7', '6'] -> (6 / (((5/7 - 2/7) / 4/9) - 5/7))
[157759] ['5/9', '4/7', '7/9', '9/5', '8'] -> ((8 / 7/9) / ((5/9 * 9/5) - 4/7))
[157760] ['2/5', '7/9', '9/8', '4/3', '2'] -> ((4/3 + 2) / (2/5 * (9/8 - 7/9)))
[157761] ['5/8', '6/7', '6/7', '8/5', '9'] -> (9 / (5/8 * (8/5 - (6/7 / 6/7))))
[157762] ['3/4', '6/7', '3/2', '8/3', '4'] -> (4 / (8/3 - (3/4 + (3/2 / 6/7))))
[157763] ['1/4', '1/4', '6/7', '9/7', '7'] -> (7 * (6/7 + (9/7 / (1/4 + 1/4))))
[157764] ['2/7', '5/8', '6/7', '5/2', '4'] -> (((4 + (5/2 / 5/8)) * 6/7) / 2/7)
[157765] ['5/9', '4/7', '7/9', '9/4', '8'] -> (8 / (9/4 - (5/9 + (7/9 / 4/7))))
[157766] ['2/5', '7/9', '9/8', '3/2', '2'] -> ((3/2 / 9/8) / (2 - (7/9 / 2/5)))
[157767] ['2/9', '7/5', '8/5', '8/5', '9'] -> (8/5 * ((9 * (2/9 + 8/5)) - 7/5))
[157768] ['2/5', '5/8', '1', '5/4', '9/4'] -> ((9/4 / 5/8) / ((2/5 + 1) - 5/4))
[157769] ['1/6', '2/7', '4/5', '8/5', '3'] -> (((8/5 / (2/7 * 4/5)) - 3) / 1/6)
[157770] ['5/9', '3/4', '8/7', '7/5', '3'] -> (3 / ((3/4 / 5/9) - (7/5 / 8/7)))
[157771] ['5/8', '6/7', '6/7', '9/4', '9'] -> (((6/7 + (9/4 * 9)) / 6/7) - 5/8)
[157772] ['2/9', '7/5', '8/5', '5/3', '9'] -> ((9 * (5/3 - (2/9 - 7/5))) - 8/5)
[157773] ['2/5', '7/9', '9/8', '8/5', '2'] -> (8/5 / (7/9 - (2 * (2/5 / 9/8))))
[157774] ['5/9', '4/5', '9/7', '8/3', '6'] -> ((9/7 * 6) * (8/3 + (5/9 * 4/5)))
[157775] ['4/5', '8/9', '9/8', '5/2', '3'] -> ((5/2 / (8/9 - 4/5)) - (9/8 + 3))
[157776] ['5/7', '7/9', '5/6', '4/3', '5'] -> ((4/3 * 5) / (5/6 - (5/7 * 7/9)))
[157777] ['3/4', '6/7', '8/5', '7/3', '4'] -> ((8/5 * 7/3) * (4 * (3/4 + 6/7)))
[157778] ['2/5', '5/8', '1', '5/4', '5/2'] -> ((5/2 / ((5/8 / 5/4) - 2/5)) - 1)
[157779] ['5/9', '4/7', '4/5', '4/5', '8'] -> ((8 / 5/9) / ((4/5 / 4/7) - 4/5))
[157780] ['2/5', '7/9', '9/8', '5/3', '2'] -> (((2 * 5/3) / 2/5) / (9/8 - 7/9))
[157781] ['2/7', '5/8', '7/8', '9/8', '4'] -> ((5/8 + 7/8) / (4 - (9/8 / 2/7)))
[157782] ['3/8', '3/7', '4/9', '9/5', '7'] -> ((7 * (3/7 / 9/5)) / (4/9 - 3/8))
[157783] ['1/7', '1/6', '7/9', '7/8', '7'] -> (1/7 / (1/6 - (7/8 / (7/9 * 7))))
[157784] ['2/5', '5/8', '1', '5/4', '8/3'] -> ((1 + 5/4) * (8/3 / (2/5 * 5/8)))
[157785] ['5/9', '4/7', '4/5', '5/6', '8'] -> (((8 / 4/7) - (4/5 * 5/6)) / 5/9)
[157786] ['5/8', '6/7', '7/8', '7/8', '9'] -> (9 * (5/8 + ((7/8 + 7/8) / 6/7)))
[157787] ['2/5', '7/9', '9/8', '9/5', '2'] -> (9/5 / ((7/9 * 9/8) - (2/5 * 2)))
[157788] ['2/5', '5/8', '1', '5/4', '7/2'] -> ((2/5 + (7/2 / 5/8)) / (5/4 - 1))
[157789] ['2/9', '7/5', '8/5', '5/2', '9'] -> (8/5 / ((7/5 / 9) - (2/9 / 5/2)))
[157790] ['3/4', '6/7', '8/5', '8/3', '4'] -> ((8/5 + 4) * (8/3 * (3/4 + 6/7)))
[157791] ['2/7', '5/8', '7/8', '7/6', '4'] -> (4 / (7/6 - (2/7 + (5/8 / 7/8))))
[157792] ['3/8', '3/7', '4/9', '9/2', '7'] -> ((9/2 / (3/8 * 4/9)) - (3/7 * 7))
[157793] ['5/9', '4/7', '4/5', '6/7', '8'] -> (((8 / 5/9) - (4/5 * 6/7)) / 4/7)
[157794] ['1/4', '1/4', '6/7', '9/4', '7'] -> (6/7 / (((9/4 - 1/4) / 7) - 1/4))
[157795] ['5/9', '3/4', '8/7', '9/5', '3'] -> (3 / ((9/5 * (5/9 / 8/7)) - 3/4))
[157796] ['5/9', '4/5', '4/3', '3/2', '6'] -> ((4/5 + (4/3 / 5/9)) * (3/2 + 6))
[157797] ['2/5', '5/8', '1', '9/7', '9/7'] -> (9/7 / ((5/8 * (2/5 + 9/7)) - 1))
[157798] ['1/7', '1/6', '7/9', '6/5', '7'] -> ((7 / (1/6 + (1/7 * 7/9))) - 6/5)
[157799] ['2/9', '7/5', '8/5', '7/2', '9'] -> (((7/5 - 7/2) + (9 / 2/9)) / 8/5)
[157800] ['1/4', '1/4', '6/7', '7/3', '7'] -> (7 / ((1/4 * 7/3) - (1/4 / 6/7)))
[157801] ['3/8', '3/7', '1/2', '5/9', '7'] -> (7 / (3/7 * (5/9 - (3/8 - 1/2))))
[157802] ['2/7', '5/8', '7/8', '5/4', '4'] -> ((4 + (5/4 / 5/8)) / (2/7 * 7/8))
[157803] ['2/7', '4/9', '5/7', '7/4', '6'] -> (6 * (7/4 + ((2/7 + 5/7) / 4/9)))
[157804] ['1/4', '1/4', '6/7', '5/2', '7'] -> ((1/4 + 1/4) + (7 * (6/7 + 5/2)))
[157805] ['5/9', '4/5', '4/3', '5/3', '6'] -> ((6 / 5/9) / ((5/3 / 4/3) - 4/5))
[157806] ['2/9', '7/5', '8/5', '9/2', '9'] -> ((7/5 + 8/5) * (9 - (2/9 * 9/2)))
[157807] ['5/8', '6/7', '7/8', '5/4', '9'] -> (((9 / (5/8 * 6/7)) * 5/4) / 7/8)
[157808] ['5/9', '3/4', '8/7', '7/3', '3'] -> ((7/3 + 3) / (8/7 * (3/4 - 5/9)))
[157809] ['5/9', '4/7', '4/5', '8/9', '8'] -> (8 * ((4/5 / 4/7) + (8/9 / 5/9)))
[157810] ['3/8', '3/7', '1/2', '3/5', '7'] -> ((3/7 * 7) / ((3/8 / 3/5) - 1/2))
[157811] ['3/4', '6/7', '5/3', '7/4', '4'] -> ((6/7 + 4) / ((5/3 / 7/4) - 3/4))
[157812] ['2/7', '4/9', '5/7', '9/5', '6'] -> ((4/9 * 6) / ((5/7 / 9/5) - 2/7))
[157813] ['1/6', '2/7', '5/6', '5/6', '3'] -> (3 + ((5/6 / 5/6) / (1/6 * 2/7)))
[157814] ['5/7', '7/9', '5/6', '9/4', '5'] -> ((5 / (7/9 * 9/4)) / (5/6 - 5/7))
[157815] ['2/7', '5/8', '7/8', '3/2', '4'] -> (4 / ((5/8 / 3/2) - (2/7 * 7/8)))
[157816] ['5/8', '6/7', '7/8', '4/3', '9'] -> (9 / ((4/3 * (6/7 * 7/8)) - 5/8))
[157817] ['5/9', '4/5', '4/3', '9/4', '6'] -> ((4/3 + (5/9 * 4/5)) * (9/4 * 6))
[157818] ['3/4', '6/7', '5/3', '9/5', '4'] -> (((5/3 * 9/5) / (6/7 - 3/4)) - 4)
[157819] ['1/7', '1/6', '7/9', '7/5', '7'] -> (((1/7 + (7 / 7/5)) * 7/9) / 1/6)
[157820] ['2/7', '5/8', '7/8', '8/5', '4'] -> ((4 / (7/8 * (2/7 * 5/8))) - 8/5)
[157821] ['5/9', '4/5', '4/3', '7/3', '6'] -> (4/3 / ((5/9 * 4/5) - (7/3 / 6)))
