[39399] ['8/7', '6/5', '4/3', '9/4', '6'] -> ((6 / (6/5 * (4/3 - 8/7))) - 9/4)
[39476] ['3/8', '3/4', '5/4', '5/4', '3'] -> (3 / ((3/8 + 3/4) - (5/4 / 5/4)))
[39477] ['2/9', '6/5', '5/4', '7/2', '5'] -> ((7/2 / (5/4 - (2/9 * 5))) - 6/5)
[39478] ['1/5', '1/3', '7/9', '8/3', '4'] -> (8/3 / (1/5 * (1/3 * 4)) - 7/9))
[39479] ['1/6', '5/6', '7/5', '9/5', '5'] -> ((7/5 + 9/5) * (5 / (5/6 - 1/6)))
[39480] ['1/7', '3/4', '8/5', '9/2', '9'] -> ((9/2 / 1/7) - (9 / (3/4 * 8/5)))
[39481] ['3/8', '4/7', '6/5', '4/3', '4'] -> (6/5 * (4/3 + (4 / (3/8 * 4/7))))
[39482] ['1/8', '3/4', '7/5', '7/5', '5'] -> (((5 - (7/5 / 7/5)) * 3/4) / 1/8)
[39483] ['3/8', '3/4', '5/4', '9/7', '3'] -> (9/7 / ((3/4 / (3 - 5/4)) - 3/8))
[39484] ['3/8', '4/7', '6/5', '7/5', '4'] -> (((7/5 + 4) / (3/8 * 4/7)) - 6/5)
[39485] ['1/6', '5/6', '7/5', '7/3', '5'] -> ((5 - (7/3 / 7/5)) / (1/6 * 5/6))
[39486] ['1/6', '5/8', '6/7', '4/3', '6'] -> (((4/3 / 1/6) + (6 / 6/7)) / 5/8)
[39487] ['1/7', '3/4', '5/3', '5/3', '9'] -> ((5/3 - 1/7) * (3/4 + (5/3 * 9)))
[39488] ['1/3', '1/3', '3/5', '7/3', '8'] -> (8 * (((7/3 - 1/3) / 3/5) - 1/3))
[39489] ['1/8', '3/4', '7/5', '3/2', '5'] -> ((((3/2 / 3/4) - 7/5) * 5) / 1/8)
[39490] ['1/4', '3/2', '7/4', '7/4', '2'] -> (3/2 * (2 + ((7/4 + 7/4) / 1/4)))
[39491] ['1/9', '1/9', '8/5', '7/2', '5'] -> (((5 - 1/9) / (1/9 * 8/5)) - 7/2)
[39492] ['5/9', '4/7', '7/8', '8/9', '1'] -> (1 / (7/8 * (5/9 - (4/7 * 8/9))))
[39493] ['2/9', '6/5', '9/7', '7/5', '5'] -> (((7/5 * 9/7) / 6/5) + (5 / 2/9))
[39494] ['8/7', '6/5', '8/5', '7/3', '6'] -> (6 * ((8/7 * 7/3) + (8/5 / 6/5)))
[39495] ['1/9', '1/3', '3/7', '1/2', '3'] -> (((1/2 + 3) * (1/3 + 3/7)) / 1/9)
[39496] ['1/7', '3/4', '5/3', '9/5', '9'] -> (((9/5 / 1/7) + (9 / 5/3)) / 3/4)
[39497] ['5/9', '4/7', '7/8', '1', '9/8'] -> (1 / (7/8 * (5/9 - (4/7 / 9/8))))
[39498] ['1/3', '1/3', '3/5', '9/2', '8'] -> (9/2 * (1/3 + (3/5 * (1/3 + 8))))
[39499] ['1/5', '1/3', '4/5', '9/8', '4'] -> (((4 + (1/3 * 4/5)) * 9/8) / 1/5)
[39500] ['4/9', '4/5', '9/7', '4', '9/2'] -> ((4/9 + 4/5) * (9/7 + (4 * 9/2)))
[39501] ['3/8', '4/7', '6/5', '5/3', '4'] -> (((6/5 * 5/3) + (4 / 4/7)) / 3/8)
[39502] ['2/9', '6/5', '9/7', '3/2', '5'] -> (((3/2 / 9/7) + (5 / 6/5)) / 2/9)
[39503] ['1/8', '3/4', '7/5', '7/3', '5'] -> (7/5 / (7/3 * (3/4 / 5)) - 1/8))
[39504] ['1/9', '1/5', '1/5', '1/4', '4'] -> (((1/5 / 1/9) + (1/5 + 4)) / 1/4)
[39505] ['1/9', '1/9', '5/3', '9/2', '5'] -> (((5 / 9/2) - (1/9 - 5/3)) / 1/9)
[39506] ['1/4', '3/2', '9/5', '2', '8/3'] -> ((2 / (1/4 * (9/5 - 3/2))) - 8/3)
[39507] ['5/9', '4/7', '7/8', '1', '7/6'] -> (1 / (7/8 - (5/9 / (4/7 * /6)))
)[39508] ['1/8', '3/4', '7/5', '5/2', '5'] -> (5/2 * ((3/4 / 1/8) - (7/5 - 5)))
[39509] ['1/5', '1/3', '4/5', '9/7', '4'] -> (((4 - (1/3 * 4/5)) * 9/7) / 1/5)
[39510] ['1/7', '3/4', '5/3', '8/3', '9'] -> (((5/3 / 1/7) - (8/3 - 9)) / 3/4)
[39511] ['4/9', '4/5', '4/3', '7/5', '4'] -> (((4/5 + (4/3 * 7/5)) * 4) / 4/9)
[39512] ['2/9', '6/5', '9/7', '5/3', '5'] -> ((9/7 * 5) * ((6/5 / 2/9) - 5/3))
[39513] ['8/7', '6/5', '5/3', '9/4', '6'] -> (6 * (9/4 + ((5/3 * 6/5) / 8/7)))
[39514] ['3/8', '4/7', '6/5', '9/5', '4'] -> (4 / (4/7 * (6/5 / 9/5)) - 3/8))
[39515] ['1/8', '3/4', '7/5', '8/3', '5'] -> ((((3/4 * 8/3) - 7/5) * 5) / 1/8)
[39516] ['4/9', '4/5', '4/3', '3/2', '4'] -> (4/3 / (4/5 * 4/9) - (3/2 / 4)))
[39517] ['3/8', '3/4', '9/7', '5/3', '3'] -> ((5/3 * 3) / ((3/4 / 9/7) - 3/8))
[39518] ['1/3', '1/3', '5/8', '8/7', '8'] -> ((8 / (5/8 - 1/3)) - (8/7 / 1/3))
[39519] ['1/5', '1/3', '5/6', '5/6', '4'] -> (4 / (5/6 * (1/3 / 5/6)) - 1/5))
[39520] ['1/9', '1/5', '1/5', '2/5', '4'] -> (2/5 / (1/9 * (1/5 - (1/5 / 4))))
[39521] ['1/6', '5/6', '5/3', '9/4', '5'] -> (5 / (5/6 - (9/4 * (1/6 * 5/3))))
[39522] ['2/9', '6/5', '9/7', '7/4', '5'] -> (6/5 / ((7/4 / (9/7 * 5)) - 2/9))
[39523] ['1/9', '1/9', '7/4', '7/3', '5'] -> ((7/3 + 5) / (1/9 + (1/9 * 7/4)))
[39524] ['3/8', '3/4', '9/7', '9/5', '3'] -> (3 / ((3/4 / 9/5) - (3/8 / 9/7)))
[39525] ['5/9', '4/7', '7/8', '1', '9/7'] -> (1 / ((5/9 * 7/8) - (4/7 / 9/7)))
[39526] ['1/5', '1/3', '5/6', '6/7', '4'] -> (4 / ((1/3 / 5/6) - (1/5 / 6/7)))
[39527] ['2/9', '6/5', '9/7', '9/5', '5'] -> ((5 + (9/5 / 9/7)) / (2/9 * 6/5))
[39528] ['1/9', '1/5', '1/5', '3/7', '4'] -> (((1/5 + (1/5 / 3/7)) * 4) / 1/9)
[39529] ['1/3', '1/3', '5/8', '7/6', '8'] -> ((8 * (7/6 + (5/8 / 1/3))) - 1/3)
[39530] ['1/9', '1/9', '7/4', '5/2', '5'] -> (5 / (5/2 * (1/9 * 7/4)) - 1/9))
[39531] ['3/8', '4/7', '6/5', '5/2', '4'] -> (5/2 * (4 + (6/5 / (3/8 * 4/7))))
[39532] ['1/4', '8/5', '8/5', '8/5', '2'] -> ((((8/5 + 8/5) * 2) / 1/4) - 8/5)
[39533] ['5/9', '4/7', '7/8', '1', '7/5'] -> (1 / (5/9 * (7/8 - (4/7 * 7/5))))
[39534] ['1/9', '1/3', '3/7', '9/8', '3'] -> (((1/9 + (3 / 3/7)) * 9/8) / 1/3)
[39535] ['4/9', '4/5', '4/3', '8/3', '4'] -> (8/3 / ((4/9 * 4) - (4/3 / 4/5)))
[39536] ['1/8', '3/4', '8/5', '8/5', '5'] -> (((5 - (8/5 / 8/5)) * 3/4) / 1/8)
[39537] ['1/9', '1/9', '7/4', '8/3', '5'] -> (1/9 + (5 * (1/9 + (7/4 * 8/3))))
[39538] ['2/9', '6/5', '9/7', '7/3', '5'] -> (((5 * 6/5) / 2/9) - (9/7 * 7/3))
[39539] ['8/7', '6/5', '5/3', '9/2', '6'] -> ((5/3 * (8/7 * 6/5)) * (9/2 + 6))
[39540] ['1/9', '1/3', '3/7', '6/5', '3'] -> (((3 - (1/3 / 3/7)) * 6/5) / 1/9)
[39541] ['2/9', '6/5', '9/7', '5/2', '5'] -> (6/5 * (5/2 + (5 / (2/9 * 9/7))))
[39542] ['1/9', '1/9', '7/4', '7/2', '5'] -> (5 + ((1/9 + (7/2 / 7/4)) / 1/9))
[39543] ['1/6', '5/8', '7/8', '8/9', '6'] -> (((6 - (5/8 + 7/8)) * 8/9) / 1/6)
[39544] ['4/9', '4/5', '7/5', '7/4', '4'] -> ((7/5 / ((4/5 / 4/9) - 7/4)) - 4)
[39545] ['1/7', '3/4', '9/5', '7/2', '9'] -> (((1/7 + (9 / 9/5)) * 7/2) / 3/4)
[39546] ['1/9', '1/3', '3/7', '9/7', '3'] -> ((9/7 + ((3 * 1/3) / 1/9)) / 3/7)
[39547] ['8/7', '6/5', '7/4', '7/3', '6'] -> (6 * (7/3 + (7/4 * (8/7 / 6/5))))
[39548] ['3/8', '4/7', '5/4', '9/7', '4'] -> ((4 * (3/8 * 4/7)) / (9/7 - 5/4))
[39549] ['3/8', '3/4', '4/3', '8/5', '3'] -> (3 / (4/3 * (3/4 / 8/5)) - 3/8))
[39550] ['5/9', '4/7', '7/8', '1', '7/4'] -> (1 / ((4/7 - 5/9) * 7/8) + 7/4))
[39551] ['1/6', '5/8', '7/8', '8/7', '6'] -> (8/7 / (1/6 - (5/8 / (7/8 * )))
)[39552] ['3/8', '4/7', '5/4', '4/3', '4'] -> (4 / (4/7 * (3/8 + 5/4)) - 4/3))
[39553] ['1/9', '1/9', '9/5', '7/3', '5'] -> (5 * ((7/3 / 1/9) - (9/5 / 1/9)))
[39554] ['1/3', '1/3', '2/3', '5/6', '8'] -> (8 * ((1/3 / 2/3) + (5/6 / 1/3)))
[39555] ['1/8', '3/4', '7/4', '7/4', '5'] -> (((5 - (7/4 / 7/4)) * 3/4) / 1/8)
[39556] ['4/9', '4/5', '7/5', '7/3', '4'] -> (((4 + (4/5 / 7/5)) * 7/3) / 4/9)
[39557] ['1/9', '1/9', '9/5', '5/2', '5'] -> (1/9 + ((1/9 + 9/5) * (5/2 * 5)))
[39558] ['1/5', '1/3', '5/6', '7/4', '4'] -> (1/3 + (4 * (7/4 + (5/6 / 1/5))))
[39559] ['1/4', '8/5', '7/4', '2', '7/3'] -> (1/4 / (((7/4 + 2) / 8/5) - 7/3))
[39560] ['1/6', '5/8', '7/8', '9/7', '6'] -> ((6 - (9/7 + (5/8 / 7/8))) / 1/6)
[39561] ['4/9', '4/5', '7/5', '5/2', '4'] -> (5/2 * ((4 / 4/9) - (4/5 - 7/5)))
[39562] ['1/9', '1/5', '1/5', '7/8', '4'] -> (1/5 / (1/9 * 7/8) - (1/5 * 4)))
[39563] ['1/4', '8/5', '7/4', '2', '5/2'] -> (8/5 * (((7/4 + 5/2) / 1/4) - 2))
[39564] ['3/8', '4/7', '5/4', '8/5', '4'] -> (((5/4 * 8/5) + (4 / 4/7)) / 3/8)
[39565] ['3/8', '3/4', '7/5', '7/4', '3'] -> (3 / ((7/4 / 7/5) - (3/8 + 3/4)))
[39566] ['1/9', '1/5', '1/5', '9/8', '4'] -> ((4 - (1/5 / 1/5)) / (1/9 * 9/8))
[39567] ['1/7', '3/4', '7/3', '7/3', '9'] -> (((7/3 - (1/7 * 7/3)) * 9) / 3/4)
[39568] ['1/9', '1/9', '9/4', '9/4', '5'] -> (((1/9 + 9/4) / 1/9) - (9/4 - 5))
[39569] ['1/3', '1/3', '2/3', '9/7', '8'] -> ((1/3 + (2/3 / 1/3)) * (9/7 * 8))
[39570] ['8/7', '6/5', '9/5', '9/4', '6'] -> (6 / ((6/5 / 8/7) - (9/5 / 9/4)))
[39571] ['1/6', '6/7', '6/7', '7/5', '5'] -> (((5 / (1/6 * 7/5)) - 6/7) / 6/7)
[39572] ['4/9', '4/5', '7/5', '7/2', '4'] -> ((7/5 + (4/5 / 4/9)) * (7/2 + 4))
[39573] ['1/9', '1/9', '9/4', '5/2', '5'] -> ((5 + (1/9 / 1/9)) / (5/2 - 9/4))
[39574] ['2/9', '6/5', '4/3', '9/5', '5'] -> ((4/3 * 5) * ((6/5 / 2/9) - 9/5))
[39575] ['3/8', '3/4', '7/5', '9/4', '3'] -> (9/4 / ((3/4 / (3 - 7/5)) - 3/8))
[39576] ['1/9', '1/3', '3/7', '5/2', '3'] -> (((3 / 3/7) - 1/3) / (1/9 * 5/2))
[39577] ['1/8', '3/4', '7/3', '7/3', '5'] -> (((5 - (7/3 / 7/3)) * 3/4) / 1/8)
[39578] ['4/9', '4/5', '3/2', '3/2', '4'] -> (4 / (4/9 * (3/2 / 4/5)) - 3/2))
[39579] ['1/4', '8/5', '9/5', '2', '9/4'] -> (9/5 / (((9/4 - 8/5) / 2) - 1/4))
[39580] ['1/9', '1/9', '9/4', '7/2', '5'] -> ((7/2 / (1/9 + (1/9 / 5))) - 9/4)
[39581] ['3/8', '3/4', '7/5', '7/3', '3'] -> (3 / (3/4 - (7/3 * (3/8 / 7/5))))
[39582] ['1/7', '3/4', '7/3', '7/2', '9'] -> (7/2 * ((1/7 / 3/4) - (7/3 - 9)))
[39583] ['1/3', '1/3', '2/3', '7/4', '8'] -> (1/3 + (8 * (1/3 + (7/4 / 2/3))))
[39584] ['2/9', '6/5', '4/3', '9/4', '5'] -> (((5 * 6/5) / 2/9) - (4/3 * 9/4))
[39585] ['5/9', '4/7', '8/9', '1', '7/6'] -> (1 / ((4/7 * 7/6) - (5/9 / 8/9)))
[39586] ['3/8', '4/7', '5/4', '9/4', '4'] -> ((3/8 * 4) / (9/4 - (5/4 / 4/7)))
[39587] ['1/7', '3/4', '7/3', '9/2', '9'] -> (((1/7 + (9 / 7/3)) * 9/2) / 3/4)
[39588] ['1/9', '1/9', '9/4', '9/2', '5'] -> (5 + ((1/9 + (9/2 / 9/4)) / 1/9))
[39589] ['3/8', '4/7', '5/4', '7/3', '4'] -> (5/4 + ((7/3 + (4 / 3/8)) / 4/7))
[39590] ['1/8', '7/9', '7/9', '7/9', '5'] -> ((5 - ((7/9 + 7/9) / 7/9)) / 1/8)
[39591] ['1/5', '1/3', '6/7', '6/5', '4'] -> (4 / ((1/3 * 6/5) - (1/5 / 6/7)))
[39592] ['3/8', '3/4', '7/5', '8/3', '3'] -> ((3/4 + 3) * (8/3 + (7/5 / 3/8)))
[39593] ['1/4', '8/5', '9/5', '2', '5/2'] -> (2 + (5/2 * (8/5 + (9/5 / 1/4))))
[39594] ['1/9', '1/9', '7/3', '7/3', '5'] -> (1/9 + (5 * (7/3 + (1/9 + 7/3))))
[39595] ['1/9', '1/5', '1/5', '9/7', '4'] -> (((9/7 * (4 - 1/9)) - 1/5) / 1/5)
[39596] ['1/7', '3/4', '5/2', '5/2', '9'] -> (9 + (3/4 * (5/2 + (5/2 / 1/7))))
[39597] ['1/6', '6/7', '6/7', '9/4', '5'] -> (5 / (1/6 * (9/4 - (6/7 / 6/7))))
[39598] ['1/6', '5/8', '8/9', '7/6', '6'] -> ((((6 * 5/8) / 1/6) - 7/6) / 8/9)
[39599] ['4/9', '4/5', '3/2', '7/3', '4'] -> (7/3 / ((3/2 / 4/5) - (4/9 * 4)))
[39600] ['1/9', '1/3', '4/9', '3/5', '3'] -> (4/9 / (1/9 - (1/3 / (3/5 + 3))))
[39601] ['1/8', '7/9', '7/9', '4/5', '5'] -> (((4/5 * 5) - (7/9 / 7/9)) / 1/8)
[39602] ['1/9', '1/9', '7/3', '7/2', '5'] -> ((7/2 / 7/3) + (5 / (1/9 + 1/9)))
[39603] ['1/5', '1/3', '6/7', '5/4', '4'] -> (6/7 / (1/3 - (5/4 / (1/5 + 4))))
[39604] ['8/7', '6/5', '7/3', '7/3', '6'] -> ((7/3 + (8/7 * 7/3)) * (6 - 6/5))
[39605] ['1/6', '6/7', '6/7', '7/3', '5'] -> (6/7 * ((5 / 1/6) - (6/7 * 7/3)))
[39606] ['2/9', '6/5', '7/5', '7/5', '5'] -> ((((7/5 * 5) - 7/5) / 2/9) - 6/5)
[39607] ['4/9', '4/5', '3/2', '5/2', '4'] -> (4 * (3/2 + ((5/2 * 4/5) / 4/9)))
[39608] ['3/8', '3/4', '7/5', '3', '9/2'] -> (3/8 + ((3/4 + 3) * (7/5 * 9/2)))
[39609] ['1/8', '7/9', '7/9', '5/6', '5'] -> (7/9 / (7/9 * (5/6 / 5)) - 1/8))
[39610] ['1/9', '1/5', '1/5', '8/5', '4'] -> (8/5 / (1/9 * (1/5 * 4)) - 1/5))
[39611] ['3/8', '4/7', '5/4', '7/2', '4'] -> (4 * ((7/2 * (4/7 + 5/4)) - 3/8))
[39612] ['1/4', '8/5', '2', '9/4', '7/3'] -> ((8/5 + 2) * ((9/4 / 1/4) - 7/3))
[39613] ['1/6', '6/7', '6/7', '5/2', '5'] -> (5 * ((6/7 / 1/6) - (6/7 / 5/2)))
[39614] ['1/5', '1/3', '6/7', '4/3', '4'] -> ((6/7 * 4) * (1/3 + (4/3 / 1/5)))
[39615] ['3/8', '3/4', '3/2', '8/5', '3'] -> ((3/4 + 3) * ((8/5 * 3/2) / 3/8))
[39616] ['4/9', '4/5', '3/2', '4', '9/2'] -> ((4/5 * 3/2) * (9/2 * (4/9 + 4)))
[39617] ['8/7', '6/5', '7/3', '9/2', '6'] -> (7/3 * (6 + (9/2 * (8/7 / 6/5))))
[39618] ['1/7', '3/4', '8/3', '7/2', '9'] -> (7/2 * (9 - (1/7 + (3/4 * 8/3))))
[39619] ['1/5', '1/3', '6/7', '7/5', '4'] -> (4 / (1/3 - (1/5 / (6/7 * /5)))
)[39620] ['1/4', '8/5', '2', '9/4', '5/2'] -> (((2 / 8/5) + (9/4 + 5/2)) / 1/4)
[39621] ['2/9', '6/5', '7/5', '9/4', '5'] -> (((7/5 * 5) / (2/9 * 6/5)) - 9/4)
[39622] ['3/8', '3/4', '8/5', '8/5', '3'] -> (3 / ((3/8 + 3/4) - (8/5 / 8/5)))
[39623] ['8/7', '6/5', '5/2', '5/2', '6'] -> ((8/7 * 6/5) * (5/2 + (5/2 * 6)))
[39624] ['4/9', '4/5', '8/5', '8/5', '4'] -> (4 * ((4/5 + 8/5) + (8/5 / 4/9)))
[39625] ['1/8', '7/9', '7/9', '9/8', '5'] -> (((5 - (7/9 + 9/8)) / 1/8) - 7/9)
[39626] ['1/9', '1/9', '7/2', '7/2', '5'] -> (((1/9 + 7/2) / 1/9) - (7/2 + 5))
[39627] ['3/8', '4/7', '9/7', '4/3', '4'] -> (4 / ((3/8 * 4/7) + (9/7 - 4/3)))
