[239356] ['1/6', '5/9', '8/9', '3/2', '7'] -> 8/9 * 3/2 * 7 / (5/9 - 1/6)
[239381] ['2/9', '1/3', '5/9', '1', '3/2'] -> (5/9 + 1 / 1/3) / (2/9 / 3/2)
[239382] ['1/9', '1/6', '9/7', '2', '9/4'] -> (2 + 1/6 / 9/4) / (1/9 / 9/7)
[239383] ['3/7', '8/5', '7/4', '7/3', '7'] -> 8/5 * (7 / 3/7 - 7/3 / 7/4)
[239384] ['8/7', '6/5', '8/5', '9/2', '8'] -> (8 - 8/5) / (8/7 / 9/2) - 6/5
[239385] ['1/5', '1/2', '4/7', '7/8', '2'] -> (4/7 + 2 / (1/5 * 7/8)) / 1/2
[239386] ['7/9', '7/9', '7/9', '7/6', '6'] -> 6 * (7/9 + 7/9) / (7/6 - 7/9)
[239387] ['7/6', '7/3', '7/3', '7/2', '5'] -> (7/3 + 7/2 * (7/3 + 5)) / 7/6
[239388] ['1/6', '5/9', '9/8', '9/8', '7'] -> 7 / (1/6 * (9/8 + 5/9 * 9/8))
[239389] ['2/9', '1/3', '5/9', '1', '7/4'] -> 2/9 / 1/3 / (1 - 5/9 * 7/4)
[239390] ['6/7', '6/7', '8/9', '5/3', '2'] -> 2 / (5/3 / (6/7 + 6/7) - 8/9)
[239391] ['1/2', '4/5', '7/4', '7/2', '6'] -> 6 / (4/5 / 7/2) - (1/2 + 7/4)
[239392] ['7/6', '7/3', '5/2', '5/2', '5'] -> 7/3 + 5/2 * (5 + 7/6 + 5/2)
[239393] ['1/9', '1/6', '9/7', '2', '5/2'] -> (1/9 + 5/2 / (9/7 / 2)) / 1/6
[239394] ['1/8', '5/9', '7/6', '7/2', '9'] -> 5/9 * 9 / (7/6 / 7/2 - 1/8)
[239395] ['3/7', '8/5', '7/4', '8/3', '7'] -> (8/5 + 3/7 * 8/3) * (7/4 + 7)
[239396] ['8/7', '6/5', '5/3', '7/4', '8'] -> 7/4 * 6/5 * 5/3 * (8 - 8/7)
[239397] ['6/5', '9/7', '4/3', '5/3', '9'] -> 4/3 * (9 / (5/3 - 6/5) - 9/7)
[239398] ['1/7', '7/8', '1', '3/2', '7/3'] -> (7/3 + 1 / 3/2) / (1/7 * 7/8)
[239399] ['7/9', '7/9', '7/9', '5/4', '6'] -> 7/9 * 6 / (7/9 * 5/4 - 7/9)
[239400] ['2/9', '1/3', '5/9', '1', '9/4'] -> (1/3 + 1) / (5/9 - 2/9 * 9/4)
[239401] ['1/5', '8/7', '7/6', '9/7', '6'] -> 9/7 / (7/6 - 8/7) - 6 / 1/5
[239402] ['1/9', '1/6', '9/7', '2', '8/3'] -> 9/7 * (2 + (1/9 + 8/3) / 1/6)
[239403] ['7/6', '7/3', '5/2', '7/2', '5'] -> 7/3 * (5/2 + 7/2 + 5 / 7/6)
[239404] ['1/5', '1/2', '4/7', '7/6', '2'] -> 7/6 * (4/7 + 2 / (1/5 * 1/2))
[239405] ['2/5', '4/9', '5/7', '5/4', '8'] -> (2/5 + 8) * (5/4 + 5/7 / 4/9)
[239406] ['2/9', '1/3', '5/9', '1', '5/2'] -> (1/3 + 1 / 5/9) / (2/9 / 5/2)
[239407] ['7/9', '7/9', '7/9', '4/3', '6'] -> 7/9 * 6 / (7/9 - 7/9 / 4/3)
[239408] ['1/8', '5/9', '6/5', '5/4', '9'] -> 9 + 5/4 / (6/5 * 1/8 * 5/9)
[239409] ['3/7', '8/5', '7/4', '9/2', '7'] -> 8/5 * 7 * (9/2 / 7/4 - 3/7)
[239410] ['1/6', '5/9', '9/8', '6/5', '7'] -> 7 / (9/8 - (1/6 + 5/9 * 6/5))
[239411] ['6/5', '9/7', '4/3', '9/5', '9'] -> (9/5 / (4/3 - 9/7) - 9) / 6/5
[239412] ['8/7', '6/5', '5/3', '5/2', '8'] -> 5/3 * 8/7 * 6/5 * (5/2 + 8)
[239413] ['7/6', '7/3', '9/2', '9/2', '5'] -> 7/6 * (9/2 * 5 - 9/2 / 7/3)
[239414] ['1/5', '8/7', '7/6', '7/5', '6'] -> (6 + 1/5 / 7/6) / (7/5 - 8/7)
[239415] ['1/7', '7/8', '1', '8/5', '7/4'] -> 8/5 * (1 + 7/4 / (1/7 * 7/8))
[239416] ['2/5', '4/9', '5/7', '4/3', '8'] -> (8 / 5/7 - 2/5 * 4/3) / 4/9
[239417] ['1/5', '1/2', '4/7', '4/3', '2'] -> 4/3 * (1/2 + 2 / (1/5 * 4/7))
[239418] ['3/7', '8/5', '9/5', '5/2', '7'] -> 5/2 * (9/5 / 3/7 - (8/5 - 7))
[239419] ['7/6', '5/2', '5/2', '7/2', '5'] -> (7/6 + 5/2) * (5/2 + 5) - 7/2
[239420] ['1/2', '4/5', '7/3', '7/2', '6'] -> 7/2 + 6 * (1/2 + 7/3 / 4/5)
[239421] ['7/9', '7/9', '7/9', '5/3', '6'] -> 6 * (7/9 + 7/9 + 7/9 + 5/3)
[239422] ['2/9', '1/3', '4/7', '5/8', '1'] -> 1/3 / (2/9 / 4/7 + 5/8 - 1)
[239423] ['2/5', '4/9', '5/7', '8/5', '8'] -> 2/5 - 8/5 + 8 / (4/9 * 5/7)
[239424] ['1/4', '7/8', '7/8', '8/5', '3'] -> 3 / (8/5 * (7/8 - 1/4) - 7/8)
[239425] ['7/6', '5/2', '8/3', '8/3', '5'] -> 8/3 * (8/3 + 5 - (7/6 - 5/2))
[239426] ['1/5', '1/2', '4/7', '5/3', '2'] -> 2 / (5/3 * 1/5 / 4/7 - 1/2)
[239427] ['1/8', '5/9', '6/5', '3/2', '9'] -> 9 / 5/9 / (6/5 / 3/2 - 1/8)
[239428] ['2/9', '1/3', '4/7', '2/3', '1'] -> 2/3 / (1 - (2/9 + 1/3) / 4/7)
[239429] ['1/6', '5/9', '9/8', '3/2', '7'] -> 7 / (5/9 - 1/6) / (9/8 / 3/2)
[239430] ['1/4', '7/8', '7/8', '5/3', '3'] -> (7/8 / 7/8 + 5/3 * 3) / 1/4
[239431] ['7/9', '7/9', '7/9', '7/3', '6'] -> 6 * (7/9 / 7/9 + 7/3 / 7/9)
[239432] ['1/5', '8/7', '7/6', '7/3', '6'] -> 8/7 * 6 * (7/6 / 1/5 - 7/3)
[239433] ['7/6', '5/2', '7/2', '7/2', '5'] -> 5 * (5/2 + 7/2 / 7/6) - 7/2
[239434] ['8/7', '6/5', '7/4', '8/3', '8'] -> 7/4 * 8 * (8/3 - 8/7 / 6/5)
[239435] ['3/7', '8/5', '9/4', '7/3', '7'] -> 8/5 * 7 * (7/3 - 3/7 / 9/4)
[239436] ['1/2', '4/5', '7/2', '7/2', '6'] -> 6 / ((7/2 - 1/2) / 4/5 - 7/2)
[239437] ['1/8', '5/9', '6/5', '5/3', '9'] -> (5/9 * 9 - 6/5 * 5/3) / 1/8
[239438] ['7/9', '7/9', '7/9', '8/3', '6'] -> (6 + 7/9 / 7/9) / (7/9 / 8/3)
[239439] ['6/7', '6/7', '9/8', '4/3', '2'] -> 6/7 / 2 / (6/7 * 4/3 - 9/8)
[239440] ['8/7', '6/5', '7/4', '9/2', '8'] -> 6/5 * 8 * (9/2 - 8/7 * 7/4)
[239441] ['1/2', '5/6', '5/6', '5/6', '6'] -> (5/6 + 5/6) * 6 / (1/2 * 5/6)
[239442] ['3/7', '8/5', '9/4', '5/2', '7'] -> 7 * (8/5 * 9/4 - 3/7 / 5/2)
[239443] ['1/5', '8/7', '7/6', '8/3', '6'] -> 6 * (7/6 / (1/5 / 8/7) - 8/3)
[239444] ['1/7', '7/8', '1', '5/3', '5/3'] -> (5/3 + 5/3 / 7/8) / 1/7 - 1
[239445] ['7/6', '8/3', '7/2', '7/2', '5'] -> 8/3 + 5 + 7/2 * (7/6 + 7/2)
[239446] ['1/5', '1/2', '4/7', '2', '7/3'] -> 7/3 * (1/2 * 4/7 + 2 / 1/5)
[239447] ['7/9', '7/9', '7/9', '7/2', '6'] -> 6 * (7/2 + 7/9 / (7/9 + 7/9))
[239448] ['1/8', '5/9', '6/5', '7/4', '9'] -> 9 / (5/9 * (7/4 + 1/8 - 6/5))
[239449] ['2/9', '1/3', '4/7', '5/6', '1'] -> 1 / (1/3 / 2/9 - 5/6 / 4/7)
[239450] ['7/9', '7/9', '7/9', '9/2', '6'] -> 6 * (9/2 - 7/9 / (7/9 + 7/9))
[239451] ['1/4', '7/8', '7/8', '8/3', '3'] -> 3 / (7/8 / 7/8 / 8/3 - 1/4)
[239452] ['1/6', '5/9', '9/8', '7/3', '7'] -> (5/9 + 7 / 7/3) / (1/6 / 9/8)
[239453] ['7/6', '7/2', '7/2', '7/2', '5'] -> 7/2 * 5 + 7/2 + 7/2 / 7/6
[239454] ['6/7', '6/7', '9/8', '3/2', '2'] -> 3/2 * 2 / (9/8 - 6/7 / 6/7)
[239455] ['1/9', '1/6', '7/5', '2', '7/2'] -> (7/5 * (7/2 - 1/6) - 2) / 1/9
[239456] ['1/7', '7/8', '1', '5/3', '9/4'] -> 1 / 1/7 / (7/8 + 5/3 - 9/4)
[239457] ['1/8', '5/9', '6/5', '9/4', '9'] -> 9/4 / 1/8 + 9 * 5/9 * 6/5
[239458] ['7/9', '7/9', '4/5', '4/5', '6'] -> 4/5 * 6 / (7/9 / 7/9 - 4/5)
[239459] ['1/5', '8/7', '6/5', '6/5', '6'] -> (6 / 1/5 - 6/5) / 8/7 - 6/5
[239460] ['1/6', '5/9', '9/8', '5/2', '7'] -> 7 / (9/8 + 5/2 - 5/9 / 1/6)
[239461] ['7/9', '7/9', '4/5', '5/6', '6'] -> 7/9 / 7/9 / (5/6 - 4/5) - 6
[239462] ['6/5', '6/5', '6/5', '6/5', '5'] -> 5 * (6/5 + 6/5 + 6/5 + 6/5)
[239463] ['1/6', '5/9', '9/8', '8/3', '7'] -> (8/3 + 7) / (9/8 - (1/6 + 5/9))
[239464] ['2/9', '1/3', '4/7', '8/9', '1'] -> (1 + 8/9 / (2/9 * 4/7)) / 1/3
[239465] ['1/2', '5/6', '5/6', '9/7', '6'] -> 6 / 9/7 / (5/6 * 5/6 - 1/2)
[239466] ['7/9', '7/9', '4/5', '6/7', '6'] -> 7/9 * 6/7 / (4/5 - 7/9) - 6
[239467] ['1/7', '7/8', '1', '5/3', '7/2'] -> 1 / (7/8 - 7/2 * 1/7 * 5/3)
[239468] ['1/5', '8/7', '6/5', '7/5', '6'] -> (6/5 + 6 / 7/5) / (1/5 * 8/7)
[239469] ['3/7', '8/5', '7/3', '7/2', '7'] -> (7/3 - 3/7) * (7 + 8/5 * 7/2)
[239470] ['2/9', '1/3', '4/7', '1', '9/8'] -> 1 / (2/9 / 1/3 / 4/7 - 9/8)
[239471] ['6/5', '9/7', '3/2', '5/3', '9'] -> 9 / (5/3 * (3/2 - 9/7)) - 6/5
[239472] ['6/5', '6/5', '6/5', '4/3', '5'] -> (6/5 + 6/5 + 6/5) * 4/3 * 5
[239473] ['2/5', '4/9', '5/7', '9/2', '8'] -> 5/7 * (9/2 * (8 - 4/9) - 2/5)
[239474] ['1/7', '7/8', '1', '7/4', '7/4'] -> (7/4 + (1 + 7/4) / 1/7) / 7/8
[239475] ['1/8', '5/9', '5/4', '9/7', '9'] -> 9 / (5/4 - 9/7 * (1/8 + 5/9))
[239476] ['6/5', '6/5', '6/5', '8/5', '5'] -> 6/5 * 5 * (8/5 + 6/5 + 6/5)
[239477] ['6/5', '9/7', '3/2', '7/4', '9'] -> 9 / (7/4 / (6/5 / 9/7) - 3/2)
[239478] ['6/7', '6/7', '9/8', '2', '7/3'] -> 6/7 / 6/7 / (7/3 / 2 - 9/8)
[239479] ['1/5', '8/7', '6/5', '8/5', '6'] -> (6/5 / 8/7 + 6 / 8/5) / 1/5
[239480] ['1/2', '5/6', '5/6', '9/5', '6'] -> 6 / (5/6 * (9/5 - 1/2) - 5/6)
[239481] ['8/7', '6/5', '9/4', '8/3', '8'] -> 8/7 * 9/4 * (8/3 + 8 / 6/5)
[239482] ['3/7', '8/5', '5/2', '5/2', '7'] -> (5/2 + 5/2) * 7 * 3/7 * 8/5
[239483] ['6/5', '6/5', '6/5', '7/4', '5'] -> (6/5 + 5) / (7/4 / 6/5 - 6/5)
[239484] ['1/8', '5/9', '5/4', '7/5', '9'] -> 9 / (1/8 / 5/9 - (5/4 - 7/5))
[239485] ['1/5', '1/2', '3/5', '8/9', '2'] -> 3/5 / (1/2 / 2 - 1/5 / 8/9)
[239486] ['1/2', '5/6', '5/6', '7/3', '6'] -> (7/3 + 6) / (5/6 * 1/2 * 5/6)
[239487] ['1/5', '8/7', '6/5', '5/3', '6'] -> (1/5 + 6) / (5/3 / 8/7 - 6/5)
[239488] ['6/5', '9/7', '3/2', '9/4', '9'] -> 9 / (6/5 - 9/7 / 3/2) - 9/4
[239489] ['6/5', '6/5', '6/5', '9/5', '5'] -> 5 * (6/5 + 6/5 * (6/5 + 9/5))
[239490] ['8/7', '6/5', '9/4', '7/2', '8'] -> 9/4 * (8/7 * 7/2 + 8 / 6/5)
[239491] ['3/7', '8/5', '5/2', '8/3', '7'] -> 5/2 * (8/5 + 7 * 3/7 * 8/3)
[239492] ['1/8', '5/9', '5/4', '3/2', '9'] -> 5/4 / (1/8 * 5/9) + 9 / 3/2
[239493] ['1/4', '7/8', '8/9', '3/2', '3'] -> 1/4 * 3/2 / (8/9 - 7/8) - 3
[239494] ['1/2', '5/6', '5/6', '8/3', '6'] -> (1/2 + 5/6 / 5/6) * 8/3 * 6
[239495] ['2/9', '1/3', '4/7', '1', '9/7'] -> (1 + 9/7) / (2/9 / 1/3 - 4/7)
[239496] ['1/7', '7/8', '1', '7/4', '8/3'] -> 8/3 * (1 / 1/7 + 7/4 / 7/8)
[239497] ['8/7', '6/5', '7/3', '7/3', '8'] -> 8/7 * 7/3 * (7/3 + 8 / 6/5)
[239498] ['1/5', '8/7', '6/5', '9/5', '6'] -> 8/7 * (6 + (6/5 + 9/5) / 1/5)
[239499] ['2/5', '4/9', '3/4', '5/6', '8'] -> (5/6 / 2/5 - 3/4) / (4/9 / 8)
[239500] ['7/9', '7/9', '4/5', '5/4', '6'] -> 6 / 5/4 / (7/9 / 7/9 - 4/5)
[239501] ['6/5', '9/7', '3/2', '8/3', '9'] -> (6/5 + 9/7 / 3/2) * (8/3 + 9)
[239502] ['1/9', '1/6', '5/3', '9/5', '2'] -> (5/3 * 9/5 - 1/6 * 2) / 1/9
[239503] ['6/5', '6/5', '6/5', '7/3', '5'] -> 6/5 * 5 * (6/5 + 6/5 * 7/3)
[239504] ['1/6', '5/9', '8/7', '9/7', '7'] -> ((7 - 8/7) / 9/7 - 5/9) / 1/6
[239505] ['1/4', '7/8', '8/9', '8/5', '3'] -> 8/5 * (1/4 / (8/9 - 7/8) - 3)
[239506] ['1/8', '5/9', '5/4', '7/4', '9'] -> 9 / (5/4 / 5/9 - (1/8 + 7/4))
[239507] ['1/2', '5/6', '6/7', '7/8', '6'] -> 6 / (5/6 - 1/2) / (6/7 * 7/8)
[239508] ['7/9', '7/9', '4/5', '9/7', '6'] -> 6 / 9/7 / (7/9 / 4/5 - 7/9)
[239509] ['8/7', '6/5', '7/3', '9/2', '8'] -> 6/5 * (8 + 9/2 * 8/7 * 7/3)
[239510] ['1/4', '7/8', '8/9', '9/5', '3'] -> 3 / (1/4 / 9/5 + 7/8 - 8/9)
[239511] ['1/6', '5/9', '8/7', '7/5', '7'] -> 8/7 * (7/5 / 1/6 + 7 / 5/9)
[239512] ['1/8', '5/9', '5/4', '7/3', '9'] -> (9 / 5/4 - 7/3 / 5/9) / 1/8
[239513] ['3/7', '8/5', '8/3', '9/2', '7'] -> 8/5 * (3/7 * 7 + 8/3 * 9/2)
[239514] ['6/7', '6/7', '8/7', '6/5', '2'] -> 8/7 / (6/7 + 6/7 - 2 / 6/5)
[239515] ['1/5', '1/2', '3/5', '2', '7/3'] -> (2 + 7/3 / (1/2 / 3/5)) / 1/5
[239516] ['1/5', '8/7', '5/4', '9/7', '6'] -> 6 * (9/7 / (1/5 * 5/4) - 8/7)
[239517] ['6/7', '6/7', '8/7', '4/3', '2'] -> 8/7 / (4/3 - (6/7 + 6/7 / 2))
[239518] ['1/4', '7/8', '8/9', '5/2', '3'] -> (3 + 8/9 * (7/8 + 5/2)) / 1/4
[239519] ['1/9', '1/6', '9/5', '2', '9/4'] -> (1/6 + 9/4 / (9/5 / 2)) / 1/9
[239520] ['1/8', '5/9', '5/4', '7/2', '9'] -> 7/2 / 1/8 - 9 * 5/9 / 5/4
[239521] ['3/7', '8/5', '9/2', '9/2', '7'] -> 9/2 / (3/7 * 7 - 9/2 / 8/5)
[239522] ['1/6', '5/9', '8/7', '8/5', '7'] -> 8/5 / 1/6 + 7 / (5/9 / 8/7)
[239523] ['8/7', '6/5', '5/2', '7/2', '8'] -> 7/2 + 5/2 * (6/5 + 8 / 8/7)
[239524] ['1/5', '1/2', '3/5', '2', '8/3'] -> 3/5 / 2 / (1/5 - 1/2 / 8/3)
[239525] ['7/9', '7/9', '4/5', '9/5', '6'] -> 6 * (7/9 + (7/9 + 9/5) / 4/5)
[239526] ['1/2', '5/6', '6/7', '4/3', '6'] -> (6/7 + 6) * (5/6 + 4/3 / 1/2)
[239527] ['2/5', '4/9', '3/4', '5/4', '8'] -> (8 + 2/5 / 3/4) / (4/9 / 5/4)
[239528] ['1/9', '1/6', '9/5', '2', '7/3'] -> 2 / (1/9 * 9/5) + 7/3 / 1/6
[239529] ['1/5', '8/7', '5/4', '7/5', '6'] -> 6 / (1/5 / 7/5 - (8/7 - 5/4))
[239530] ['1/7', '7/8', '1', '9/5', '8/3'] -> 9/5 / (1/7 * 7/8) * (8/3 - 1)
[239531] ['6/7', '6/7', '8/7', '3/2', '2'] -> 6/7 / ((6/7 + 3/2) / 2 - 8/7)
[239532] ['7/9', '7/9', '4/5', '9/4', '6'] -> 6 * (7/9 / 4/5 + 7/9 + 9/4)
[239533] ['1/4', '7/8', '8/9', '3', '7/2'] -> (3 / 8/9 - (7/8 - 7/2)) / 1/4
[239534] ['1/2', '5/6', '6/7', '7/5', '6'] -> 7/5 * (6 / (5/6 - 1/2) - 6/7)
[239535] ['1/8', '5/9', '9/7', '9/7', '9'] -> (5/9 * (9 - 9/7) - 9/7) / 1/8
[239536] ['1/5', '1/2', '5/8', '2/3', '2'] -> 2 / 5/8 / (1/2 * 2/3 - 1/5)
[239537] ['6/5', '9/7', '8/5', '9/2', '9'] -> 6/5 * 8/5 * (9 + 9/2 / 9/7)
[239538] ['8/7', '6/5', '8/3', '8/3', '8'] -> 8/3 * (8/3 / 8/7 + 8 / 6/5)
[239539] ['6/7', '6/7', '8/7', '8/5', '2'] -> 6/7 / (8/7 / 2 - 6/7 / 8/5)
[239540] ['2/9', '1/3', '4/7', '1', '7/2'] -> (7/2 / (2/9 / 4/7) - 1) / 1/3
[239541] ['3/7', '5/3', '5/3', '9/5', '7'] -> 5/3 * 7 * (9/5 + 3/7 / 5/3)
[239542] ['1/4', '7/8', '8/9', '3', '9/2'] -> 3 / (9/2 * 1/4 * 8/9 - 7/8)
[239543] ['6/5', '6/5', '9/7', '4/3', '5'] -> 9/7 * 5 * (4/3 + 6/5 + 6/5)
[239544] ['1/2', '5/6', '6/7', '8/5', '6'] -> 8/5 * (1/2 / (6/7 - 5/6) - 6)
[239545] ['6/5', '9/7', '5/3', '5/3', '9'] -> 9/7 * (5/3 + 5/3 * (6/5 + 9))
[239546] ['6/7', '6/7', '8/7', '5/3', '2'] -> 8/7 / 6/7 / (2 - 5/3 / 6/7)
[239547] ['6/5', '6/5', '9/7', '7/5', '5'] -> (7/5 + 5) / (6/5 - 6/5 / 9/7)
[239548] ['1/4', '7/8', '9/8', '6/5', '3'] -> (3 + 7/8 + 9/8) / (1/4 / 6/5)
[239549] ['6/7', '6/7', '8/7', '9/5', '2'] -> 8/7 / (6/7 / 9/5 - 6/7 / 2)
[239550] ['1/7', '7/8', '1', '9/4', '5/2'] -> 7/8 + 5/2 * (9/4 + 1 / 1/7)
[239551] ['1/8', '5/9', '9/7', '8/5', '9'] -> (9 / 9/7 - 8/5) / (1/8 / 5/9)
[239552] ['6/5', '9/7', '5/3', '9/5', '9'] -> (9/7 + 9) * (5/3 + 6/5 / 9/5)
[239553] ['1/5', '8/7', '5/4', '7/4', '6'] -> 8/7 * (6 + (5/4 + 7/4) / 1/5)
[239554] ['6/7', '6/7', '8/7', '2', '7/3'] -> 6/7 / 6/7 / (7/3 / 8/7 - 2)
[239555] ['6/5', '6/5', '9/7', '8/5', '5'] -> 5 * (6/5 + 9/7 * (6/5 + 8/5))
[239556] ['1/2', '5/6', '6/7', '9/4', '6'] -> 6 / 6/7 / (1/2 * 9/4 - 5/6)
[239557] ['7/9', '7/9', '5/6', '6/7', '6'] -> 7/9 * 6 / (5/6 / 6/7 - 7/9)
[239558] ['1/5', '8/7', '5/4', '9/5', '6'] -> 6 / (1/5 * 8/7) - 5/4 * 9/5
[239559] ['1/7', '7/8', '1', '9/4', '9/2'] -> (1 + 9/2 / 9/4) / (1/7 * 7/8)
[239560] ['3/7', '5/3', '5/3', '9/2', '7'] -> 7 * (3/7 / 9/2 + 5/3 + 5/3)
[239561] ['1/5', '1/2', '5/8', '9/8', '2'] -> ((5/8 + 2) / 1/5 - 9/8) / 1/2
[239562] ['1/5', '8/7', '5/4', '9/4', '6'] -> (6 - 9/4 / 5/4) / (1/5 / 8/7)
[239563] ['6/5', '6/5', '9/7', '7/4', '5'] -> (6/5 + 6/5 * 9/7) * 7/4 * 5
[239564] ['7/9', '7/9', '5/6', '9/8', '6'] -> (6 + 7/9 / 7/9) / (9/8 - 5/6)
[239565] ['1/4', '7/8', '9/8', '7/3', '3'] -> (3 + 7/3 / (7/8 / 9/8)) / 1/4
[239566] ['1/2', '5/6', '7/8', '8/9', '6'] -> 1/2 * 5/6 / (8/9 - 7/8) - 6
[239567] ['2/9', '1/3', '3/5', '5/6', '1'] -> (3/5 + 1) / (1/3 - 2/9 / 5/6)
[239568] ['1/8', '5/9', '9/7', '9/5', '9'] -> (9/5 - 5/9) * (9 + 9/7 / 1/8)
[239569] ['6/5', '9/7', '7/4', '7/4', '9'] -> 9 / (9/7 * (7/4 - 7/4 / 6/5))
[239570] ['2/5', '4/9', '3/4', '7/2', '8'] -> (7/2 + 8) / 4/9 - 3/4 / 2/5
[239571] ['1/6', '5/9', '7/6', '5/4', '7'] -> (5/4 / 1/6 - (7/6 - 7)) / 5/9
[239572] ['1/5', '1/2', '5/8', '7/6', '2'] -> 2 / (1/5 * 5/8) / (7/6 - 1/2)
[239573] ['6/5', '6/5', '9/7', '9/4', '5'] -> (6/5 + 6/5 / 9/7) * 9/4 * 5
[239574] ['1/7', '7/8', '1', '5/2', '5/2'] -> (1 + 5/2 + 5/2 / 1/7) / 7/8
[239575] ['8/7', '5/4', '5/4', '9/5', '8'] -> (5/4 + 5/4 * 9/5) * (8 - 8/7)
[239576] ['1/9', '1/5', '1/5', '3/7', '2'] -> (1/5 / 3/7 + 1/5 + 2) / 1/9
[239577] ['7/9', '7/9', '5/6', '7/6', '6'] -> 7/9 * 6 / (5/6 * 7/6 - 7/9)
[239578] ['3/7', '5/3', '7/4', '5/2', '7'] -> (5/3 + 7 / 3/7) / (5/2 - 7/4)
[239579] ['1/5', '8/7', '5/4', '5/2', '6'] -> 6 / 8/7 + (5/4 + 5/2) / 1/5
[239580] ['6/7', '6/7', '7/6', '6/5', '2'] -> 6/7 / (6/5 - 7/6) - 6/7 * 2
[239581] ['6/5', '6/5', '9/7', '7/3', '5'] -> 5 * (6/5 + 7/3 * 6/5 * 9/7)
[239582] ['2/5', '4/9', '3/4', '9/2', '8'] -> (8 / 2/5 - 4/9 * 9/2) / 3/4
[239583] ['1/8', '5/9', '9/7', '7/3', '9'] -> 9 / (1/8 + 5/9) / (9/7 / 7/3)
[239584] ['1/9', '1/5', '1/5', '4/9', '2'] -> 1/5 + (2 + 1/5 + 4/9) / 1/9
[239585] ['1/5', '1/2', '5/8', '4/3', '2'] -> 2 / (1/5 * 1/2) / (5/8 * 4/3)
[239586] ['3/7', '5/3', '7/4', '7/2', '7'] -> 7 / (7/4 * (5/3 - 3/7 * 7/2))
[239587] ['1/2', '5/6', '7/8', '8/5', '6'] -> 6 / (7/8 / 5/6 - 1/2 * 8/5)
[239588] ['2/9', '1/3', '3/5', '1', '8/7'] -> 1 / 3/5 / (1/3 / 8/7 - 2/9)
[239589] ['1/5', '8/7', '5/4', '8/3', '6'] -> (5/4 - 1/5) * 6 * (8/7 + 8/3)
[239590] ['1/8', '5/9', '9/7', '5/2', '9'] -> 5/2 / (1/8 * 9/7) - (5/9 - 9)
[239591] ['6/7', '6/7', '7/6', '4/3', '2'] -> 6/7 / 2 / (7/6 / 4/3 - 6/7)
