[276714] ['(2-i)', '(3-6i)', '3', '(4+9i)'] -> ((2-i) + ((4+9i) * ((3-6i) / 3)))
[276874] ['(2-i)', '(3-6i)', '(3+6i)', '(6-9i)'] -> ((6-9i) + ((3+6i) / ((2-i) / (3-6i))))
[276875] ['(2-i)', '(3-6i)', '(3+6i)', '(6-i)'] -> (((3-6i) + (3+6i)) * ((6-i) - (2-i)))
[276879] ['(2-i)', '(3-6i)', '(3+6i)', '(6+7i)'] -> ((3+3i) * (-3i + ((2+8i) / 2i)))
[276881] ['(2-i)', '(3-6i)', '(3+6i)', '(7+4i)'] -> (((3+6i) + ((3-6i) * (7+4i))) / (2-i))
[276883] ['(2-i)', '(3-6i)', '(3+6i)', '(8-4i)'] -> (((3+4i) * ((2-3i) + (3-i))) - (7+8i))
[276886] ['(2-i)', '(3-6i)', '(3+6i)', '(9-9i)'] -> (((3+6i) * ((3-6i) - (2-i))) - (9-9i))
[276892] ['(2-i)', '(3-6i)', '(3+6i)', '(9+4i)'] -> (((2-9i) + (6-i)) + ((8+i) + (8+9i)))
[276908] ['(2-i)', '(3-6i)', '(3+7i)', '(8-5i)'] -> ((3+6i) - (-3i * (2i - (2+9i))))
[276912] ['(2-i)', '(3-6i)', '(3+7i)', '(9-4i)'] -> (((2-i) * ((3+7i) + (9-4i))) - (3-6i))
[276929] ['(2-i)', '(3-6i)', '(3+8i)', '(6-6i)'] -> (((3-6i) + (3+8i)) / ((2-i) / (6-6i)))
[276935] ['(2-i)', '(3-6i)', '(3+8i)', '(7-7i)'] -> (((2-i) * (3+8i)) + ((3-6i) + (7-7i)))
[276938] ['(2-i)', '(3-6i)', '(3+8i)', '(7+7i)'] -> ((3+8i) + ((2-i) * ((3-6i) + (7+7i))))
[276950] ['(2-i)', '(3-6i)', '(3+8i)', '(9-5i)'] -> (((2-i) * ((3+8i) + (9-5i))) - (3-6i))
[276969] ['(2-i)', '(3-6i)', '(3+9i)', '(6-9i)'] -> (((2-i) * (3+9i)) + ((3-6i) + (6-9i)))
[276984] ['(2-i)', '(3-6i)', '(3+9i)', '(8+8i)'] -> ((8+8i) * ((2-i) + ((3-6i) / (3+9i))))
[276989] ['(2-i)', '(3-6i)', '(3+9i)', '(9-6i)'] -> (((2-i) * ((3+9i) + (9-6i))) - (3-6i))
[276991] ['(2-i)', '(3-6i)', '(3+9i)', '9'] -> (9 + ((2-i) * ((3-6i) + (3+9i))))
[276992] ['(2-i)', '(3-6i)', '(3+9i)', '(9+5i)'] -> (((2-i) * (9+5i)) - ((3+9i) / (3-6i)))
[277039] ['(2-i)', '(3-6i)', '(4-8i)', '(4+4i)'] -> ((-9i - (6+3i)) / ((3-4i) / (4+8i)))
[277071] ['(2-i)', '(3-6i)', '(4-7i)', '(9+5i)'] -> (((2-i) * (9+5i)) - ((3-6i) - (4-7i)))
[277090] ['(2-i)', '(3-6i)', '(4-6i)', '(8+9i)'] -> (((2-i) * ((4-6i) + (8+9i))) - (3-6i))
[277099] ['(2-i)', '(3-6i)', '(4-5i)', '(5-4i)'] -> (((2-i) + (4-5i)) * ((5-4i) - (3-6i)))
[277111] ['(2-i)', '(3-6i)', '(4-5i)', '8'] -> (8 * ((4-5i) + ((2-i) - (3-6i))))
[277113] ['(2-i)', '(3-6i)', '(4-5i)', '(8+8i)'] -> (((2-i) * ((4-5i) + (8+8i))) - (3-6i))
[277119] ['(2-i)', '(3-6i)', '(4-4i)', '(4-2i)'] -> ((4-4i) * ((4-2i) + ((2-i) - (3-6i))))
[277133] ['(2-i)', '(3-6i)', '(4-4i)', '(6+9i)'] -> (((3-i) * ((2-3i) + (7+4i))) - (4-6i))
[277138] ['(2-i)', '(3-6i)', '(4-4i)', '(8-4i)'] -> ((4-4i) * ((8-4i) - ((2-i) + (3-6i))))
[277140] ['(2-i)', '(3-6i)', '(4-4i)', '(8+7i)'] -> (((2-i) * ((4-4i) + (8+7i))) - (3-6i))
[277147] ['(2-i)', '(3-6i)', '(4-3i)', '(5+7i)'] -> (6 * ((9+i) + ((2-9i) - (7-8i))))
[277149] ['(2-i)', '(3-6i)', '(4-3i)', '(6+3i)'] -> ((6+3i) * ((2-i) + ((3-6i) / (4-3i))))
[277158] ['(2-i)', '(3-6i)', '(4-3i)', '(8+6i)'] -> (((2-i) * ((4-3i) + (8+6i))) - (3-6i))
[277164] ['(2-i)', '(3-6i)', '(4-3i)', '(9+9i)'] -> ((9+9i) * ((2-i) - ((4-3i) / (3-6i))))
[277166] ['(2-i)', '(3-6i)', '(4-2i)', '(4+i)'] -> (((4+i) * ((2-i) + (4-2i))) - (3-6i))
[277184] ['(2-i)', '(3-6i)', '(4-2i)', '(8+5i)'] -> (((2-i) * ((4-2i) + (8+5i))) - (3-6i))
[277188] ['(2-i)', '(3-6i)', '(4-2i)', '(9+6i)'] -> (((3-6i) + (9+6i)) / ((2-i) / (4-2i)))
[277194] ['(2-i)', '(3-6i)', '(4-i)', '6'] -> (6 * (((2-i) * (4-i)) - (3-6i)))
[277203] ['(2-i)', '(3-6i)', '(4-i)', '(8+4i)'] -> (((2-i) * ((4-i) + (8+4i))) - (3-6i))
[277214] ['(2-i)', '(3-6i)', '(4-i)', '(9+6i)'] -> (((3-6i) + (9+6i)) * ((4-i) - (2-i)))
[277215] ['(2-i)', '(3-6i)', '(4-i)', '(9+7i)'] -> (((2-i) * (9+7i)) + ((3-6i) - (4-i)))
[277225] ['(2-i)', '(3-6i)', '4', '(5+5i)'] -> (4 * ((5+5i) - ((2-i) - (3-6i))))
[277229] ['(2-i)', '(3-6i)', '4', '(7-5i)'] -> (4 * ((7-5i) + ((2-i) - (3-6i))))
[277238] ['(2-i)', '(3-6i)', '4', '(8+3i)'] -> (((2-i) * (4 + (8+3i))) - (3-6i))
[277241] ['(2-i)', '(3-6i)', '4', '9'] -> (((3-6i) + 9) / ((2-i) / 4))
[277261] ['(2-i)', '(3-6i)', '(4+i)', '(7-6i)'] -> (2i + ((3+i) * (-3i + 7)))
[277273] ['(2-i)', '(3-6i)', '(4+i)', '(8-4i)'] -> (((4+i) * ((8-4i) - (2-i))) - (3-6i))
[277276] ['(2-i)', '(3-6i)', '(4+i)', '(8+2i)'] -> (((2-i) * ((4+i) + (8+2i))) - (3-6i))
[277290] ['(2-i)', '(3-6i)', '(4+2i)', '(6+5i)'] -> (((2-3i) - (4-i)) * ((3-i) - (9-7i)))
[277300] ['(2-i)', '(3-6i)', '(4+2i)', '(8+i)'] -> (((2-i) * ((4+2i) + (8+i))) - (3-6i))
[277319] ['(2-i)', '(3-6i)', '(4+3i)', '6'] -> (((3-6i) * ((4+3i) - (2-i))) - 6)
[277327] ['(2-i)', '(3-6i)', '(4+3i)', '8'] -> (((2-i) * ((4+3i) + 8)) - (3-6i))
[277332] ['(2-i)', '(3-6i)', '(4+3i)', '9'] -> ((-i + 7) + ((8+4i) + (9-3i)))
[277356] ['(2-i)', '(3-6i)', '(4+4i)', '(8-i)'] -> (((2-i) * ((4+4i) + (8-i))) - (3-6i))
[277359] ['(2-i)', '(3-6i)', '(4+4i)', '(8+9i)'] -> (((2-i) * (8+9i)) + ((3-6i) - (4+4i)))
[277360] ['(2-i)', '(3-6i)', '(4+4i)', '(9+2i)'] -> (((2-9i) + 6) + ((7+8i) + (9+i)))
[277378] ['(2-i)', '(3-6i)', '(4+5i)', '(6+8i)'] -> ((4+5i) + ((2-i) * ((3-6i) + (6+8i))))
[277383] ['(2-i)', '(3-6i)', '(4+5i)', '(8-2i)'] -> (((2-i) * ((4+5i) + (8-2i))) - (3-6i))
[277384] ['(2-i)', '(3-6i)', '(4+5i)', '8'] -> (((2-i) * (4+5i)) + ((3-6i) + 8))
[277388] ['(2-i)', '(3-6i)', '(4+5i)', '9'] -> (((3-6i) * (4+5i)) - ((2-i) * 9))
[277398] ['(2-i)', '(3-6i)', '(4+6i)', '(7-2i)'] -> (((2-i) * (4+6i)) + ((3-6i) + (7-2i)))
[277403] ['(2-i)', '(3-6i)', '(4+6i)', '(8-3i)'] -> (((2-i) * ((4+6i) + (8-3i))) - (3-6i))
[277409] ['(2-i)', '(3-6i)', '(4+7i)', '(5-8i)'] -> (((2-i) + (4+7i)) * ((5-8i) - (3-6i)))
[277417] ['(2-i)', '(3-6i)', '(4+7i)', '(6-4i)'] -> (((2-i) * (4+7i)) + ((3-6i) + (6-4i)))
[277421] ['(2-i)', '(3-6i)', '(4+7i)', '(7+3i)'] -> (((2-i) * (7+3i)) + ((3-6i) + (4+7i)))
[277423] ['(2-i)', '(3-6i)', '(4+7i)', '(8-4i)'] -> (((2-i) * ((4+7i) + (8-4i))) - (3-6i))
[277427] ['(2-i)', '(3-6i)', '(4+7i)', '(9+5i)'] -> ((9+5i) + ((2-i) * ((3-6i) + (4+7i))))
[277428] ['(2-i)', '(3-6i)', '(4+8i)', '(5-6i)'] -> (((2-i) * (4+8i)) + ((3-6i) + (5-6i)))
[277435] ['(2-i)', '(3-6i)', '(4+8i)', '(8-5i)'] -> (((2-i) * ((4+8i) + (8-5i))) - (3-6i))
[277436] ['(2-i)', '(3-6i)', '(4+8i)', '(8+3i)'] -> ((8+3i) + ((2-i) * ((3-6i) + (4+8i))))
[277448] ['(2-i)', '(3-6i)', '(4+9i)', '(7+i)'] -> ((7+i) + ((2-i) * ((3-6i) + (4+9i))))
[277453] ['(2-i)', '(3-6i)', '(4+9i)', '(8-6i)'] -> (((2-i) * ((4+9i) + (8-6i))) - (3-6i))
[277495] ['(2-i)', '(3-6i)', '(5-6i)', '(7+9i)'] -> (((2-i) * ((5-6i) + (7+9i))) - (3-6i))
[277501] ['(2-i)', '(3-6i)', '(5-5i)', '6'] -> (6 * ((5-5i) + ((2-i) - (3-6i))))
[277509] ['(2-i)', '(3-6i)', '(5-5i)', '(7+8i)'] -> (((2-i) * ((5-5i) + (7+8i))) - (3-6i))
[277514] ['(2-i)', '(3-6i)', '(5-5i)', '(8+8i)'] -> (((2-i) * (3-6i)) / ((5-5i) / (8+8i)))
[277518] ['(2-i)', '(3-6i)', '(5-5i)', '(9+4i)'] -> ((5-3i) - ((5-7i) * ((2-3i) - (3-i))))
[277525] ['(2-i)', '(3-6i)', '(5-4i)', '(7+7i)'] -> (((2-i) * ((5-4i) + (7+7i))) - (3-6i))
[277542] ['(2-i)', '(3-6i)', '(5-3i)', '(7+6i)'] -> (((2-i) * ((5-3i) + (7+6i))) - (3-6i))
[277564] ['(2-i)', '(3-6i)', '(5-2i)', '(7+5i)'] -> (2i - ((5+2i) * (-3i - (4-5i))))
[277570] ['(2-i)', '(3-6i)', '(5-2i)', '(8+8i)'] -> (((3-6i) * (8+8i)) / ((5-2i) - (2-i)))
[277574] ['(2-i)', '(3-6i)', '(5-2i)', '9'] -> (((3-6i) + ((5-2i) * 9)) / (2-i))
[277576] ['(2-i)', '(3-6i)', '(5-i)', '5'] -> ((-3i * 2i) * ((8-5i) - (4-5i)))
[277585] ['(2-i)', '(3-6i)', '(5-i)', '(7+4i)'] -> (((2-i) * ((5-i) + (7+4i))) - (3-6i))
[277587] ['(2-i)', '(3-6i)', '(5-i)', '(9-2i)'] -> (((9-2i) * ((5-i) - (2-i))) - (3-6i))
[277593] ['(2-i)', '(3-6i)', '5', '(7+3i)'] -> (((2-i) * (5 + (7+3i))) - (3-6i))
[277600] ['(2-i)', '(3-6i)', '5', '(9+6i)'] -> ((2-i) * ((9+6i) + ((3-6i) / 5)))
[277606] ['(2-i)', '(3-6i)', '(5+i)', '(7+2i)'] -> (((2-i) * ((5+i) + (7+2i))) - (3-6i))
[277612] ['(2-i)', '(3-6i)', '(5+i)', '(9+8i)'] -> (((2-i) * (9+8i)) + ((3-6i) - (5+i)))
[277613] ['(2-i)', '(3-6i)', '(5+2i)', '(5+9i)'] -> ((5+2i) + ((2-i) * ((3-6i) + (5+9i))))
[277614] ['(2-i)', '(3-6i)', '(5+2i)', '(6-9i)'] -> (((3-6i) * (5+2i)) - ((2-i) * (6-9i)))
[277617] ['(2-i)', '(3-6i)', '(5+2i)', '6'] -> (((3-6i) + (5+2i)) / ((2-i) / 6))
[277623] ['(2-i)', '(3-6i)', '(5+2i)', '(7+i)'] -> (((2-i) * ((5+2i) + (7+i))) - (3-6i))
[277634] ['(2-i)', '(3-6i)', '(5+2i)', '(9+7i)'] -> (((2-i) * (5+2i)) + ((3-6i) + (9+7i)))
[277638] ['(2-i)', '(3-6i)', '(5+3i)', '7'] -> (((2-i) * ((5+3i) + 7)) - (3-6i))
[277642] ['(2-i)', '(3-6i)', '(5+3i)', '(8+5i)'] -> (((1-3i) * ((4+4i) - (3-6i))) - (7+7i))
[277645] ['(2-i)', '(3-6i)', '(5+3i)', '(9-6i)'] -> (((3-6i) * ((5+3i) - (2-i))) - (9-6i))
[277652] ['(2-i)', '(3-6i)', '(5+4i)', '(6+4i)'] -> (((2-i) * (6+4i)) + ((3-6i) + (5+4i)))
[277655] ['(2-i)', '(3-6i)', '(5+4i)', '(7-i)'] -> (((2-i) * ((5+4i) + (7-i))) - (3-6i))
[277656] ['(2-i)', '(3-6i)', '(5+4i)', '(7+3i)'] -> (((2-i) * (5+4i)) + ((3-6i) + (7+3i)))
[277659] ['(2-i)', '(3-6i)', '(5+4i)', '(9-6i)'] -> (((9-6i) + ((3-6i) * (5+4i))) / (2-i))
[277670] ['(2-i)', '(3-6i)', '(5+5i)', '(6+i)'] -> (((2-i) * (5+5i)) + ((3-6i) + (6+i)))
[277673] ['(2-i)', '(3-6i)', '(5+5i)', '(7-2i)'] -> (((2-i) * ((5+5i) + (7-2i))) - (3-6i))
[277679] ['(2-i)', '(3-6i)', '(5+6i)', '(6-3i)'] -> (((3-6i) + (5+6i)) / ((2-i) / (6-3i)))
[277684] ['(2-i)', '(3-6i)', '(5+6i)', '(7-3i)'] -> (((2-i) * ((5+6i) + (7-3i))) - (3-6i))
[277688] ['(2-i)', '(3-6i)', '(5+6i)', '(8+8i)'] -> ((8+8i) + ((2-i) * ((3-6i) + (5+6i))))
[277697] ['(2-i)', '(3-6i)', '(5+7i)', '(6+7i)'] -> ((5+7i) + ((2-i) * ((3-6i) + (6+7i))))
[277699] ['(2-i)', '(3-6i)', '(5+7i)', '(7-4i)'] -> (((2-i) * ((5+7i) + (7-4i))) - (3-6i))
[277701] ['(2-i)', '(3-6i)', '(5+7i)', '(7+6i)'] -> ((7+6i) + ((2-i) * ((3-6i) + (5+7i))))
[277707] ['(2-i)', '(3-6i)', '(5+8i)', '(6+4i)'] -> (((8-6i) + (9+3i)) - (-i - (7+2i)))
[277712] ['(2-i)', '(3-6i)', '(5+8i)', '(7-5i)'] -> (((2-i) * ((5+8i) + (7-5i))) - (3-6i))
[277733] ['(2-i)', '(3-6i)', '(5+9i)', '(7-6i)'] -> (((2-i) * ((5+9i) + (7-6i))) - (3-6i))
[277735] ['(2-i)', '(3-6i)', '(5+9i)', '(7+2i)'] -> (((8-2i) + (9-i)) - (-i - (7+2i)))
[277754] ['(2-i)', '(3-6i)', '(6-9i)', '(8+5i)'] -> ((-i + (7+2i)) + ((8+i) + (9-2i)))
[277768] ['(2-i)', '(3-6i)', '(6-8i)', '(8+5i)'] -> (((2-i) * (8+5i)) - ((3-6i) - (6-8i)))
[277793] ['(2-i)', '(3-6i)', '(6-6i)', '(6+i)'] -> (((2-i) + (6+i)) * ((6-6i) - (3-6i)))
[277794] ['(2-i)', '(3-6i)', '(6-6i)', '(6+9i)'] -> (((2-i) * ((6-6i) + (6+9i))) - (3-6i))
[277795] ['(2-i)', '(3-6i)', '(6-6i)', '(7-5i)'] -> ((6-6i) * ((7-5i) - ((2-i) + (3-6i))))
[277801] ['(2-i)', '(3-6i)', '(6-6i)', '(9-4i)'] -> (((9-4i) - (3-6i)) / ((2-i) / (6-6i)))
[277803] ['(2-i)', '(3-6i)', '(6-5i)', '(6+8i)'] -> (((2-i) * ((6-5i) + (6+8i))) - (3-6i))
[277813] ['(2-i)', '(3-6i)', '(6-4i)', '(6+7i)'] -> (((2-i) * ((6-4i) + (6+7i))) - (3-6i))
[277818] ['(2-i)', '(3-6i)', '(6-3i)', '6'] -> (((6-3i) * (6 - (2-i))) - (3-6i))
[277819] ['(2-i)', '(3-6i)', '(6-3i)', '(6+2i)'] -> ((6+2i) * ((6-3i) - ((3-6i) / (2-i))))
[277820] ['(2-i)', '(3-6i)', '(6-3i)', '(6+6i)'] -> (((2-i) * ((6-3i) + (6+6i))) - (3-6i))
[277823] ['(2-i)', '(3-6i)', '(6-3i)', '(7+2i)'] -> (((3-i) + (7-i)) / ((2-3i) / (6-6i)))
[277827] ['(2-i)', '(3-6i)', '(6-3i)', '(9-2i)'] -> (((1-8i) - (1+4i)) * ((1-5i) - (1-7i)))
[277828] ['(2-i)', '(3-6i)', '(6-3i)', '(9+3i)'] -> ((3-i) - ((2-3i) * ((6-6i) - (9-i))))
[277832] ['(2-i)', '(3-6i)', '(6-2i)', '(6+5i)'] -> (((2-i) * ((6-2i) + (6+5i))) - (3-6i))
[277838] ['(2-i)', '(3-6i)', '(6-i)', '(6+4i)'] -> (((2-i) * ((6-i) + (6+4i))) - (3-6i))
[277844] ['(2-i)', '(3-6i)', '6', '(6+3i)'] -> (((2-i) * (6 + (6+3i))) - (3-6i))
[277845] ['(2-i)', '(3-6i)', '6', '(6+4i)'] -> ((6 + ((3-6i) * (6+4i))) / (2-i))
[277849] ['(2-i)', '(3-6i)', '6', '(8+6i)'] -> (((8+6i) / ((2-i) / (3-6i))) - 6)
[277850] ['(2-i)', '(3-6i)', '6', '(9-7i)'] -> (6 * ((9-7i) - ((2-i) + (3-6i))))
[277859] ['(2-i)', '(3-6i)', '(6+i)', '(6+2i)'] -> (((1-7i) * ((1-4i) - (1-8i))) - (4+4i))
[277868] ['(2-i)', '(3-6i)', '(6+2i)', '(6+6i)'] -> ((6+6i) + ((6+2i) / ((2-i) / (3-6i))))
[277870] ['(2-i)', '(3-6i)', '(6+2i)', '(6+9i)'] -> ((6+2i) * ((3-6i) + ((6+9i) / (2-i))))
[277875] ['(2-i)', '(3-6i)', '(6+2i)', '(7+8i)'] -> (((2-i) * (6+2i)) + ((3-6i) + (7+8i)))
[277897] ['(2-i)', '(3-6i)', '(6+3i)', '(9+9i)'] -> (((2-i) * (9+9i)) + ((3-6i) - (6+3i)))
[277920] ['(2-i)', '(3-6i)', '(6+6i)', '(6+6i)'] -> ((((3-6i) * (6+6i)) - (6+6i)) / (2-i))
[277921] ['(2-i)', '(3-6i)', '(6+6i)', '(6+9i)'] -> ((6+9i) + ((2-i) * ((3-6i) + (6+6i))))
[277922] ['(2-i)', '(3-6i)', '(6+6i)', '(7-9i)'] -> ((6+6i) * ((7-9i) - ((2-i) + (3-6i))))
[277960] ['(2-i)', '(3-6i)', '(6+9i)', '(8+8i)'] -> (-3i * ((5+7i) - (2i + (5-3i))))
[278002] ['(2-i)', '(3-6i)', '(7-6i)', '(8+4i)'] -> (((2-i) * (8+4i)) - ((3-6i) - (7-6i)))
[278031] ['(2-i)', '(3-6i)', '(7-i)', '(9+2i)'] -> ((-i * (7+9i)) + ((7+4i) + (8+3i)))
[278081] ['(2-i)', '(3-6i)', '(7+3i)', '(9+9i)'] -> (((9+9i) + ((3-6i) * (7+3i))) / (2-i))
[278086] ['(2-i)', '(3-6i)', '(7+4i)', '(9-7i)'] -> (((2-i) * (7+4i)) - ((3-6i) - (9-7i)))
[278093] ['(2-i)', '(3-6i)', '(7+5i)', '(8-9i)'] -> (((2-i) * (7+5i)) - ((3-6i) - (8-9i)))
[278103] ['(2-i)', '(3-6i)', '(7+6i)', '9'] -> ((((3-6i) * (7+6i)) - 9) / (2-i))
[278126] ['(2-i)', '(3-6i)', '(7+9i)', '(9+9i)'] -> ((3-3i) + ((3+3i) * (-9i + (4+6i))))
[278146] ['(2-i)', '(3-6i)', '(8-8i)', '(9-6i)'] -> ((1-6i) - ((7-8i) * ((2+7i) - (3+9i))))
[278175] ['(2-i)', '(3-6i)', '(8-4i)', '(8+3i)'] -> (((2-i) * (8+3i)) - ((3-6i) - (8-4i)))
[278179] ['(2-i)', '(3-6i)', '(8-4i)', '(9-6i)'] -> (((9-6i) - (3-6i)) / ((2-i) / (8-4i)))
[278197] ['(2-i)', '(3-6i)', '(8-i)', '9'] -> (9 * ((2-i) + ((8-i) / (3-6i))))
[278202] ['(2-i)', '(3-6i)', '8', '(9-9i)'] -> (((9-9i) - (3-6i)) / ((2-i) / 8))
[278204] ['(2-i)', '(3-6i)', '8', '(9-3i)'] -> (8 * ((2-i) + ((9-3i) / (3-6i))))
[278214] ['(2-i)', '(3-6i)', '(8+i)', '(9+i)'] -> (-3i * ((6+3i) - (2i + (6-7i))))
[278219] ['(2-i)', '(3-6i)', '(8+2i)', '(9-2i)'] -> (((2-i) * (8+2i)) - ((3-6i) - (9-2i)))
[278274] ['(2-i)', '(3-6i)', '9', '(9+3i)'] -> (((2-i) * 9) - ((3-6i) - (9+3i)))
[278323] ['(2-i)', '(3-5i)', '(3-4i)', '(6+6i)'] -> ((6+6i) * (((2-i) + (3-5i)) - (3-4i)))
[278334] ['(2-i)', '(3-5i)', '(3-3i)', '(3+i)'] -> (((3-3i) * (4-8i)) - (-9i * (4-4i)))
[278337] ['(2-i)', '(3-5i)', '(3-3i)', '(3+8i)'] -> (((8+3i) + (9-9i)) - (-i - (7+5i)))
[278342] ['(2-i)', '(3-5i)', '(3-3i)', '(5-9i)'] -> ((3-3i) * ((5-9i) - ((2-i) * (3-5i))))
[278344] ['(2-i)', '(3-5i)', '(3-3i)', '5'] -> ((3-3i) * (5 + ((2-i) - (3-5i))))
[278356] ['(2-i)', '(3-5i)', '(3-3i)', '(9-2i)'] -> ((3-3i) * ((9-2i) - ((2-i) + (3-5i))))
[278360] ['(2-i)', '(3-5i)', '(3-3i)', '(9+9i)'] -> (((3-5i) + (9+9i)) / ((2-i) / (3-3i)))
[278361] ['(2-i)', '(3-5i)', '(3-2i)', '(3+4i)'] -> (((3-5i) * (3+4i)) - ((2-i) + (3-2i)))
[278366] ['(2-i)', '(3-5i)', '(3-2i)', '(5+4i)'] -> (((3-2i) * ((2-i) + (5+4i))) - (3-5i))
[278367] ['(2-i)', '(3-5i)', '(3-2i)', '(6-6i)'] -> ((6-6i) * ((3-2i) + ((2-i) - (3-5i))))
[278378] ['(2-i)', '(3-5i)', '(3-2i)', '(9+2i)'] -> (((3-2i) * ((9+2i) - (2-i))) - (3-5i))
[278380] ['(2-i)', '(3-5i)', '(3-2i)', '(9+6i)'] -> (((2-i) * (9+6i)) + ((3-5i) - (3-2i)))
[278384] ['(2-i)', '(3-5i)', '(3-i)', '(4+i)'] -> (((3-5i) + (3-i)) * ((4+i) - (2-i)))
[278386] ['(2-i)', '(3-5i)', '(3-i)', '(5+i)'] -> (((5+i) * ((2-i) + (3-i))) - (3-5i))
[278391] ['(2-i)', '(3-5i)', '(3-i)', '(6+2i)'] -> (((3-5i) + (3-i)) / ((2-i) / (6+2i)))
[278394] ['(2-i)', '(3-5i)', '(3-i)', '(6+6i)'] -> (((2-i) * (6+6i)) + ((3-5i) + (3-i)))
