[1] ['1/9', '1/9', '1/6', '3'] -> ((1/9 / 1/9) + 3) / 1/6
[92] ['1/9', '2/5', '8/5', '9'] -> 8/5 / (1/9 - (2/5 / 9))
[93] ['1/4', '1/2', '4/5', '9'] -> 9 / ((1/2 / 4/5) - 1/4)
[94] ['1/4', '1/2', '5/6', '4'] -> 4 / ((1/2 * 5/6) - 1/4)
[95] ['1/4', '1/2', '6/7', '5'] -> 5 / (1/2 - (1/4 / 6/7))
[96] ['1/4', '1/2', '6/7', '8'] -> 8 / ((1/2 / 6/7) - 1/4)
[97] ['1/4', '1/2', '7/8', '5'] -> ((5 + 7/8) / 1/4) + 1/2
[98] ['1/4', '1/2', '7/8', '6'] -> ((7/8 / 1/4) + 1/2) * 6
[99] ['1/4', '1/2', '7/8', '8'] -> ((7/8 / 1/4) - 1/2) * 8
[100] ['1/4', '1/2', '7/8', '9'] -> 9 / (7/8 - (1/4 / 1/2))
[101] ['1/4', '1/2', '1', '5/2'] -> ((5/2 / 1/2) + 1) / 1/4
[102] ['1/4', '1/2', '1', '7/2'] -> ((7/2 / 1/2) - 1) / 1/4
[103] ['1/4', '1/2', '9/8', '5'] -> ((5 + 9/8) / 1/4) - 1/2
[104] ['1/4', '1/2', '9/8', '6'] -> ((9/8 / 1/4) - 1/2) * 6
[105] ['1/4', '1/2', '7/6', '5'] -> 5 / (1/2 - (1/4 * 7/6))
[106] ['1/4', '1/2', '7/6', '8'] -> 8 / ((1/2 * 7/6) - 1/4)
[107] ['1/9', '2/5', '5/3', '8'] -> 8 / (2/5 - (1/9 / 5/3))
[108] ['1/4', '1/2', '6/5', '4'] -> 4 / ((1/2 / 6/5) - 1/4)
[109] ['1/4', '1/2', '6/5', '7'] -> 7 / (1/2 - (1/4 / 6/5))
[110] ['1/4', '1/2', '5/4', '9'] -> 9 / ((1/2 * 5/4) - 1/4)
[111] ['1/4', '1/2', '4/3', '3'] -> 3 / ((1/2 / 4/3) - 1/4)
[112] ['1/4', '1/2', '5/3', '2'] -> 2 / (1/2 - (1/4 * 5/3))
[113] ['1/4', '1/2', '5/3', '8'] -> 8 / ((1/2 / 1/4) - 5/3)
[114] ['1/4', '1/2', '7/4', '5'] -> ((7/4 / 1/4) + 5) / 1/2
[115] ['1/4', '1/2', '7/4', '7'] -> ((7 * 7/4) - 1/4) / 1/2
[116] ['1/4', '1/2', '2', '7/3'] -> 2 / ((1/4 * 7/3) - 1/2)
[117] ['1/4', '1/2', '9/4', '3'] -> ((9/4 / 1/4) + 3) / 1/2
[118] ['1/9', '2/5', '9/5', '8'] -> 8 / ((2/5 / 9/5) + 1/9)
[119] ['1/4', '1/2', '7/3', '8'] -> 8 / (7/3 - (1/2 / 1/4))
[120] ['1/4', '1/2', '8/3', '4'] -> 4 / ((1/4 * 8/3) - 1/2)
[121] ['1/4', '1/2', '8/3', '7'] -> ((1/2 / 1/4) + 7) * 8/3
[122] ['1/4', '1/2', '7/2', '6'] -> ((1/4 / 1/2) + 7/2) * 6
[123] ['1/4', '3/7', '2/3', '2'] -> 2 / (2/3 - (1/4 / 3/7))
[124] ['1/9', '2/5', '2', '7/3'] -> ((2 / 2/5) - 7/3) / 1/9
[125] ['1/4', '3/7', '5/7', '9'] -> ((5/7 * 9) - 3/7) / 1/4
[126] ['1/4', '3/7', '3/4', '4'] -> 4 / (3/4 - (1/4 / 3/7))
[127] ['1/4', '3/7', '3/4', '7'] -> ((3/4 / 1/4) + 3/7) * 7
[128] ['1/4', '3/7', '3/4', '9'] -> (3/4 / 1/4) + (9 / 3/7)
[129] ['1/4', '3/7', '7/9', '5'] -> ((5 / 7/9) - 3/7) / 1/4
[130] ['1/4', '3/7', '6/7', '2'] -> 6/7 / (1/4 - (3/7 / 2))
[131] ['1/4', '3/7', '6/7', '4'] -> ((6/7 / 3/7) + 4) / 1/4
[132] ['1/4', '3/7', '6/7', '6'] -> 6 / ((3/7 / 6/7) - 1/4)
[133] ['1/4', '3/7', '7/8', '3'] -> 3 / ((3/7 * 7/8) - 1/4)
[134] ['1/4', '3/7', '7/8', '7'] -> 7 / (7/8 - (1/4 / 3/7))
[135] ['1/4', '3/7', '8/7', '3'] -> 3 / ((3/7 / 8/7) - 1/4)
[136] ['1/4', '3/7', '7/6', '6'] -> 6 / ((3/7 * 7/6) - 1/4)
[137] ['1/4', '3/7', '5/4', '9'] -> ((5/4 / 3/7) - 1/4) * 9
[138] ['1/4', '3/7', '9/7', '5'] -> ((5 * 9/7) - 3/7) / 1/4
[139] ['1/4', '3/7', '9/7', '8'] -> ((3/7 / 1/4) + 9/7) * 8
[140] ['1/4', '3/7', '9/7', '9'] -> (9 - (9/7 / 3/7)) / 1/4
[141] ['1/4', '3/7', '4/3', '2'] -> ((2 / 3/7) + 4/3) / 1/4
[142] ['1/4', '3/7', '4/3', '8'] -> (4/3 / 1/4) + (8 / 3/7)
[143] ['1/4', '3/7', '7/5', '9'] -> ((9 / 7/5) - 3/7) / 1/4
[144] ['1/9', '3/7', '7/8', '3'] -> ((3 / 1/9) + 3/7) * 7/8
[145] ['1/4', '4/9', '9/4', '5'] -> ((4/9 * 9/4) + 5) / 1/4
[146] ['1/4', '4/9', '9/4', '7'] -> (7 - (4/9 * 9/4)) / 1/4
[147] ['1/4', '4/9', '9/4', '8'] -> 8 / (4/9 - (1/4 / 9/4))
[148] ['1/4', '4/9', '9/4', '9'] -> ((4/9 + 9/4) * 9) - 1/4
[149] ['1/4', '4/9', '4', '9/2'] -> ((4/9 * 9/2) + 4) / 1/4
[150] ['1/4', '4/9', '9/2', '8'] -> (8 - (4/9 * 9/2)) / 1/4
[151] ['1/9', '3/7', '1', '9/7'] -> ((1 / 1/9) + 9/7) / 3/7
[152] ['1/4', '1/2', '4/7', '7'] -> ((7 / 4/7) - 1/4) / 1/2
[153] ['1/4', '1/2', '3/5', '2'] -> 2 / (1/2 - (1/4 / 3/5))
[154] ['1/4', '1/2', '5/8', '8'] -> ((5/8 / 1/4) + 1/2) * 8
[155] ['1/4', '1/2', '2/3', '3'] -> 3 / (1/2 - (1/4 / 2/3))
[156] ['1/4', '1/2', '3/4', '3'] -> 3 / ((1/2 * 3/4) - 1/4)
[157] ['1/4', '3/7', '7/3', '5'] -> ((3/7 * 7/3) + 5) / 1/4
[158] ['1/9', '3/7', '8/7', '3'] -> ((3 / 1/9) + 3/7) / 8/7
[159] ['1/4', '3/7', '7/3', '7'] -> (7 - (3/7 * 7/3)) / 1/4
[160] ['1/4', '3/7', '5/2', '6'] -> (5/2 / 1/4) + (6 / 3/7)
[161] ['1/4', '4/9', '4/9', '5'] -> ((4/9 / 4/9) + 5) / 1/4
[162] ['1/4', '4/9', '4/9', '7'] -> (7 - (4/9 / 4/9)) / 1/4
[163] ['1/4', '4/9', '4/9', '8'] -> 8 / (4/9 - (1/4 * 4/9))
[164] ['1/4', '4/9', '5/9', '9'] -> ((5/9 / 1/4) + 4/9) * 9
[165] ['1/4', '4/9', '2/3', '8'] -> ((2/3 / 1/4) + 8) / 4/9
[166] ['1/4', '5/9', '5/9', '5'] -> ((5/9 / 5/9) + 5) / 1/4
[167] ['1/4', '5/9', '5/9', '7'] -> (7 - (5/9 / 5/9)) / 1/4
[168] ['1/4', '5/9', '3/5', '3'] -> ((3 / 5/9) + 3/5) / 1/4
[169] ['1/4', '5/9', '2/3', '2'] -> 2/3 / ((5/9 / 2) - 1/4)
[170] ['1/9', '3/7', '7/6', '8'] -> 8 / (3/7 - (1/9 / 7/6))
[171] ['1/4', '5/9', '3/4', '4'] -> 4 / ((3/4 * 5/9) - 1/4)
[172] ['1/4', '5/9', '7/9', '7'] -> ((7 * 7/9) + 5/9) / 1/4
[173] ['1/4', '5/9', '8/9', '9'] -> 9 / ((5/9 / 8/9) - 1/4)
[174] ['1/4', '4/9', '3/4', '3'] -> ((3 / 4/9) - 3/4) / 1/4
[175] ['1/9', '3/7', '6/5', '8'] -> (8 / (3/7 - 1/9)) - 6/5
[176] ['1/4', '4/9', '7/9', '9'] -> ((7/9 / 1/4) - 4/9) * 9
[177] ['1/4', '4/9', '5/6', '9'] -> ((9 / 4/9) - 1/4) / 5/6
[178] ['1/4', '4/9', '8/9', '4'] -> ((8/9 / 4/9) + 4) / 1/4
[179] ['1/4', '4/9', '8/9', '5'] -> ((5 + 8/9) / 1/4) + 4/9
[180] ['1/4', '4/9', '8/9', '7'] -> ((7 - 8/9) / 1/4) - 4/9
[181] ['1/4', '4/9', '8/9', '9'] -> ((4/9 / 1/4) + 8/9) * 9
[182] ['1/4', '4/9', '9/8', '6'] -> 6 / ((4/9 * 9/8) - 1/4)
[183] ['1/4', '4/9', '7/6', '6'] -> ((7/6 / 1/4) + 6) / 4/9
[184] ['1/4', '4/9', '6/5', '9'] -> ((9 / 4/9) - 1/4) * 6/5
[185] ['1/4', '4/9', '4/3', '9'] -> (9 - (4/3 / 4/9)) / 1/4
[186] ['1/4', '4/9', '3/2', '2'] -> ((2 / 4/9) + 3/2) / 1/4
[187] ['1/4', '4/9', '3/2', '8'] -> (3/2 / 1/4) + (8 / 4/9)
[188] ['1/4', '4/9', '5/3', '3'] -> (3 + 5/3) / (4/9 - 1/4)
[189] ['1/4', '4/9', '5/3', '4'] -> ((5/3 / 1/4) + 4) / 4/9
[190] ['1/4', '4/9', '5/3', '6'] -> ((5/3 / 4/9) + 1/4) * 6
[191] ['1/4', '5/9', '9/8', '8'] -> 8 / (5/9 - (1/4 / 9/8))
[192] ['1/4', '5/9', '9/8', '9'] -> 9 / ((5/9 * 9/8) - 1/4)
[193] ['1/4', '5/9', '9/7', '7'] -> ((7 / 9/7) + 5/9) / 1/4
[194] ['1/4', '5/9', '4/3', '3'] -> ((3 / 1/4) + 4/3) / 5/9
[195] ['1/4', '5/9', '4/3', '4'] -> 4 / ((5/9 / 4/3) - 1/4)
[196] ['1/4', '5/9', '4/3', '6'] -> (4/3 + 6) / (5/9 - 1/4)
[197] ['1/4', '5/9', '4/3', '8'] -> ((4/3 / 1/4) + 8) / 5/9
[198] ['1/9', '3/7', '9/7', '2'] -> ((9/7 / 1/9) + 3/7) * 2
[199] ['1/4', '5/9', '5/3', '3'] -> ((5/3 / 5/9) + 3) / 1/4
[200] ['1/4', '5/9', '9/5', '5'] -> ((5/9 * 9/5) + 5) / 1/4
[201] ['1/4', '5/9', '9/5', '7'] -> (7 - (5/9 * 9/5)) / 1/4
[202] ['1/4', '5/9', '7/3', '4'] -> ((7/3 / 1/4) + 4) / 5/9
[203] ['1/9', '3/7', '9/7', '4'] -> ((4 - 9/7) / 1/9) - 3/7
[204] ['1/4', '5/9', '7/3', '5'] -> (5 + 7/3) / (5/9 - 1/4)
[205] ['1/4', '4/7', '4/7', '5'] -> ((4/7 / 4/7) + 5) / 1/4
[206] ['1/4', '4/7', '4/7', '7'] -> (7 - (4/7 / 4/7)) / 1/4
[207] ['1/4', '4/7', '5/3', '9'] -> ((5/3 / 4/7) - 1/4) * 9
[208] ['1/4', '4/7', '7/4', '5'] -> ((4/7 * 7/4) + 5) / 1/4
[209] ['1/4', '4/7', '7/4', '7'] -> (7 - (4/7 * 7/4)) / 1/4
[210] ['1/4', '4/7', '2', '5/2'] -> ((2 / 4/7) + 5/2) / 1/4
[211] ['1/9', '3/7', '4/3', '8'] -> ((4/3 / 3/7) - 1/9) * 8
[212] ['1/4', '4/7', '8/3', '5'] -> ((5 / 4/7) + 1/4) * 8/3
[213] ['1/4', '4/7', '7/2', '4'] -> ((4/7 * 7/2) + 4) / 1/4
[214] ['1/4', '4/7', '7/2', '8'] -> (8 - (4/7 * 7/2)) / 1/4
[215] ['1/9', '3/7', '4/3', '9'] -> ((4/3 + 9) / 3/7) - 1/9
[216] ['1/4', '3/5', '3/5', '7'] -> (7 - (3/5 / 3/5)) / 1/4
[217] ['1/4', '3/5', '3/5', '8'] -> ((3/5 / 1/4) + 3/5) * 8
[218] ['1/4', '3/5', '5/8', '3'] -> 3 / ((3/5 * 5/8) - 1/4)
[219] ['1/4', '3/5', '5/8', '5'] -> 5 / (5/8 - (1/4 / 3/5))
[220] ['1/4', '3/5', '2/3', '4'] -> ((4 / 3/5) - 2/3) / 1/4
[221] ['1/4', '3/5', '3/4', '8'] -> 8 / (3/4 - (1/4 / 3/5))
[222] ['1/4', '3/5', '5/6', '6'] -> 6 / ((3/5 * 5/6) - 1/4)
[223] ['1/4', '4/7', '2/3', '9'] -> ((9 / 4/7) + 1/4) / 2/3
[224] ['1/4', '4/7', '5/7', '8'] -> ((4/7 / 1/4) + 5/7) * 8
[225] ['1/4', '4/7', '3/4', '3'] -> ((3 / 4/7) + 3/4) / 1/4
[226] ['1/4', '4/7', '6/7', '2'] -> 6/7 / ((4/7 / 2) - 1/4)
[227] ['1/4', '4/7', '6/7', '6'] -> ((6/7 / 1/4) + 4/7) * 6
[228] ['1/4', '4/7', '6/7', '7'] -> ((7 - 6/7) / 1/4) - 4/7
[229] ['1/4', '4/7', '7/8', '6'] -> 6 / ((4/7 * 7/8) - 1/4)
[230] ['1/4', '4/7', '7/8', '7'] -> ((7 / 1/4) - 4/7) * 7/8
[231] ['1/4', '4/7', '8/9', '8'] -> (8 / (4/7 - 1/4)) - 8/9
[232] ['1/4', '4/7', '8/7', '4'] -> ((8/7 / 4/7) + 4) / 1/4
[233] ['1/4', '4/7', '8/7', '5'] -> ((5 + 8/7) / 1/4) - 4/7
[234] ['1/4', '4/7', '8/7', '8'] -> (8 - (8/7 / 4/7)) / 1/4
[235] ['1/4', '4/7', '7/6', '5'] -> ((5 / 1/4) + 4/7) * 7/6
[236] ['1/9', '3/7', '5/3', '6'] -> ((5/3 / 3/7) + 1/9) * 6
[237] ['1/4', '3/5', '9/8', '5'] -> 3/5 / (1/4 - (9/8 / 5))
[238] ['1/4', '3/5', '6/5', '2'] -> 6/5 / ((3/5 / 2) - 1/4)
[239] ['1/4', '3/5', '6/5', '4'] -> ((6/5 / 3/5) + 4) / 1/4
[240] ['1/4', '3/5', '6/5', '6'] -> 6 / ((3/5 / 6/5) - 1/4)
[241] ['1/4', '3/5', '7/5', '7'] -> (7 + 7/5) / (3/5 - 1/4)
[242] ['1/4', '3/5', '8/5', '3'] -> 3 / ((3/5 / 8/5) - 1/4)
[243] ['1/4', '3/5', '8/5', '4'] -> ((4 / 1/4) - 8/5) / 3/5
[244] ['1/4', '3/5', '8/5', '8'] -> ((8/5 / 1/4) + 8) / 3/5
[245] ['1/4', '3/5', '5/3', '5'] -> ((3/5 * 5/3) + 5) / 1/4
[246] ['1/4', '3/5', '5/3', '7'] -> (7 - (3/5 * 5/3)) / 1/4
[247] ['1/4', '3/5', '5/3', '9'] -> ((9 / 5/3) + 3/5) / 1/4
[248] ['1/4', '3/5', '7/4', '9'] -> ((7/4 / 3/5) - 1/4) * 9
[249] ['1/4', '3/5', '9/5', '7'] -> ((3/5 * 7) + 9/5) / 1/4
[250] ['1/4', '3/5', '9/5', '8'] -> 3/5 / (1/4 - (9/5 / 8))
[251] ['1/4', '3/5', '9/5', '9'] -> (9 - (9/5 / 3/5)) / 1/4
[252] ['1/4', '3/5', '2', '8/3'] -> ((2 / 3/5) + 8/3) / 1/4
[253] ['1/4', '3/5', '9/4', '6'] -> ((9/4 / 3/5) + 1/4) * 6
[254] ['1/4', '3/5', '7/3', '5'] -> ((5 / 3/5) - 7/3) / 1/4
[255] ['1/4', '3/5', '8/3', '8'] -> (8 / 3/5) + (8/3 / 1/4)
[256] ['1/4', '3/5', '7/2', '6'] -> (6 / 3/5) + (7/2 / 1/4)
[257] ['1/4', '3/5', '7/2', '7'] -> (1/4 + 7/2) * (7 - 3/5)
[258] ['1/4', '5/8', '5/8', '5'] -> ((5/8 / 5/8) + 5) / 1/4
[259] ['1/4', '5/8', '5/8', '7'] -> (7 - (5/8 / 5/8)) / 1/4
[260] ['1/4', '5/8', '3/4', '7'] -> 7 / (5/8 - (1/4 / 3/4))
[261] ['1/4', '5/8', '4/5', '6'] -> 6 / ((4/5 * 5/8) - 1/4)
[262] ['1/4', '5/8', '6/7', '8'] -> 8 / (5/8 - (1/4 / 6/7))
[263] ['1/4', '5/8', '1', '7/3'] -> 1 / (5/8 - (1/4 * 7/3))
[264] ['1/4', '5/8', '1', '8/3'] -> 1 / ((1/4 * 8/3) - 5/8)
[265] ['1/4', '5/8', '1', '7/2'] -> ((7/2 / 1/4) + 1) / 5/8
[266] ['1/4', '5/8', '7/6', '8'] -> 8 / (5/8 - (1/4 * 7/6))
[267] ['1/4', '5/8', '6/5', '3'] -> ((3 / 5/8) + 6/5) / 1/4
[268] ['1/4', '5/8', '5/4', '4'] -> ((5/4 / 5/8) + 4) / 1/4
[269] ['1/4', '5/8', '5/4', '6'] -> 6 / ((5/8 / 5/4) - 1/4)
[270] ['1/4', '5/8', '5/4', '8'] -> (8 - (5/4 / 5/8)) / 1/4
[271] ['1/4', '5/8', '4/3', '7'] -> 7 / (5/8 - (1/4 * 4/3))
[272] ['1/4', '5/8', '3/2', '2'] -> 3/2 / ((5/8 / 2) - 1/4)
[273] ['1/4', '5/8', '3/2', '4'] -> 4 / ((5/8 / 3/2) - 1/4)
[274] ['1/4', '5/8', '3/2', '5'] -> ((5 + 5/8) / 1/4) + 3/2
[275] ['1/4', '5/8', '3/2', '7'] -> ((7 - 5/8) / 1/4) - 3/2
[276] ['1/4', '5/8', '8/5', '5'] -> ((5/8 * 8/5) + 5) / 1/4
[277] ['1/4', '5/8', '8/5', '7'] -> (7 - (5/8 * 8/5)) / 1/4
[278] ['1/4', '5/8', '5/3', '3'] -> 3 / ((5/8 / 5/3) - 1/4)
[279] ['1/4', '5/8', '5/3', '5'] -> 5 / (5/8 - (1/4 * 5/3))
[280] ['1/4', '5/8', '7/4', '8'] -> ((7/4 / 1/4) + 8) / 5/8
[281] ['1/4', '5/8', '2', '5/2'] -> ((5/2 / 5/8) + 2) / 1/4
[282] ['1/4', '5/8', '7/3', '4'] -> 4 / ((5/8 / 1/4) - 7/3)
[283] ['1/4', '5/8', '5/2', '7'] -> (7 / 1/4) - (5/2 / 5/8)
[284] ['1/4', '5/8', '8/3', '4'] -> 4 / (8/3 - (5/8 / 1/4))
[285] ['1/9', '1/2', '1/2', '6'] -> ((1/2 / 1/9) - 1/2) * 6
[286] ['1/4', '5/8', '3', '9/2'] -> ((9/2 / 1/4) - 3) / 5/8
[287] ['1/9', '1/2', '5/9', '7'] -> ((5/9 / 1/9) + 7) / 1/2
[288] ['1/4', '2/3', '2/3', '3'] -> 2/3 / (1/4 - (2/3 / 3))
[289] ['1/4', '2/3', '2/3', '5'] -> ((2/3 / 2/3) + 5) / 1/4
[290] ['1/4', '2/3', '3/4', '5'] -> ((5 / 3/4) - 2/3) / 1/4
[291] ['1/4', '2/3', '3/4', '6'] -> 6 / ((2/3 * 3/4) - 1/4)
[292] ['1/4', '2/3', '3/4', '9'] -> 9 / (3/4 - (1/4 / 2/3))
[293] ['1/4', '2/3', '7/9', '3'] -> 2/3 / (7/9 - (1/4 * 3))
[294] ['1/4', '2/3', '5/6', '3'] -> 2/3 / ((5/6 / 3) - 1/4)
[295] ['1/4', '2/3', '5/6', '5'] -> ((5 + 5/6) / 1/4) + 2/3
