[71609] ['5/9', '5/8', '8/5', '9', '9'] -> (8/5 + ((9 + (5/9 * 9)) / 5/8))
[71717] ['7/9', '4/5', '8/3', '5', '6'] -> (8/3 / (7/9 - ((4/5 * 5) / 6)))
[71718] ['5/7', '5/7', '1', '7/3', '9'] -> ((5/7 * 9) * (7/3 + (1 / 5/7)))
[71719] ['2/7', '5/9', '7/9', '1', '5'] -> (((5/9 + 5) / (2/7 * 7/9)) - 1)
[71720] ['1/2', '1', '9/7', '7/5', '2'] -> ((2 / (1 - (9/7 / 7/5))) - 1/2)
[71721] ['5/7', '1', '1', '9/8', '9/7'] -> ((9/7 + (5/7 + 1)) / (9/8 - 1))
[71722] ['7/9', '4/5', '7/2', '5', '6'] -> (6 + ((7/2 * 5) / (7/9 / 4/5)))
[71723] ['5/7', '5/7', '1', '7/2', '9'] -> ((7/2 * (5/7 + (5/7 * 9))) - 1)
[71724] ['1/2', '1', '9/7', '3/2', '2'] -> ((2 / 1/2) / ((3/2 / 9/7) - 1))
[71725] ['4/9', '5/8', '5/6', '5', '8'] -> ((5/8 + 5) * (8 * (4/9 / 5/6)))
[71726] ['4/7', '9/8', '7/6', '6', '6'] -> (6 * ((6 / (9/8 * 7/6)) - 4/7))
[71727] ['7/8', '8/7', '7/5', '4', '6'] -> ((7/5 + (7/8 * 8/7)) * (4 + 6))
[71728] ['7/9', '4/5', '9/2', '5', '6'] -> ((4/5 * 5) / ((7/9 * 6) - 9/2))
[71729] ['5/9', '5/7', '5/6', '9', '9'] -> (5/6 * ((9 / 5/9) + (9 / 5/7)))
[71730] ['2/7', '5/9', '5/6', '1', '5'] -> (((1 / 2/7) - 5/6) / (5/9 / 5))
[71731] ['1/9', '3/5', '1', '8/7', '7'] -> (((7 / (1 + 8/7)) - 3/5) / 1/9)
[71732] ['4/9', '5/8', '7/8', '5', '8'] -> (8 / (4/9 * (7/8 - (5/8 / 5))))
[71733] ['1/2', '1', '9/7', '5/3', '2'] -> (2 / ((1/2 / (9/7 - 1)) - 5/3))
[71734] ['7/8', '8/7', '5/3', '4', '6'] -> (8/7 / ((6 / (7/8 * 4)) - 5/3))
[71735] ['5/7', '3/4', '4/5', '1', '9'] -> (9 * (4/5 + (1 / (5/7 * 3/4))))
[71736] ['1/5', '3/7', '5/4', '7', '7'] -> ((7 + 7) / (5/4 * (1/5 / 3/7)))
[71737] ['5/9', '5/7', '8/9', '9', '9'] -> (9 + (9 * (8/9 + (5/9 / 5/7))))
[71738] ['1/2', '1', '9/7', '7/4', '2'] -> (2 / (((7/4 - 1) / 9/7) - 1/2))
[71739] ['4/7', '9/8', '4/3', '6', '6'] -> ((4/7 * 9/8) * (4/3 + (6 * 6)))
[71740] ['7/8', '8/7', '9/5', '4', '6'] -> ((8/7 + (4 / 7/8)) * (6 - 9/5))
[71741] ['5/7', '1', '1', '9/8', '8/5'] -> ((8/5 + (1 / 5/7)) / (9/8 - 1))
[71742] ['5/7', '3/4', '5/6', '1', '9'] -> ((1 + 9) / ((5/6 / 5/7) - 3/4))
[71743] ['2/5', '6/5', '2', '2', '8/3'] -> (6/5 / ((2/5 * 2) - (2 / 8/3)))
[71744] ['1/7', '5/9', '3/5', '4', '4'] -> ((4 / 5/9) + (4 / (1/7 / 3/5)))
[71745] ['4/9', '5/8', '6/5', '5', '8'] -> ((5/8 + 5) * (8 * (4/9 * 6/5)))
[71746] ['3/4', '3/4', '1', '8/7', '7'] -> ((7 * (3/4 * 8/7)) / (1 - 3/4))
[71747] ['2/5', '6/5', '2', '2', '7/2'] -> (6/5 / (2 - ((2/5 + 7/2) / 2)))
[71748] ['3/4', '3/4', '1', '7/6', '7'] -> ((1 + 7) / ((3/4 + 3/4) - 7/6))
[71749] ['5/7', '1', '1', '9/8', '7/4'] -> ((7/4 * (5/7 + 1)) / (9/8 - 1))
[71750] ['5/9', '5/7', '8/7', '9', '9'] -> (8/7 + ((5/9 + 5/7) * (9 + 9)))
[71751] ['4/9', '5/8', '9/7', '5', '8'] -> ((8 + (9/7 * (4/9 + 5))) / 5/8)
[71752] ['2/9', '6/7', '1', '5/4', '6'] -> (6 * ((1 / (2/9 * 6/7)) - 5/4))
[71753] ['1/7', '5/9', '2/3', '4', '4'] -> ((2/3 * 4) / (4 - (5/9 / 1/7)))
[71754] ['4/9', '4/9', '7/5', '2', '5'] -> ((7/5 + (4/9 / 4/9)) * (2 * 5))
[71755] ['7/9', '5/6', '5/4', '5', '6'] -> ((5/6 / 5/4) + (6 * (7/9 * 5)))
[71756] ['4/7', '9/8', '5/3', '6', '6'] -> ((4/7 * 6) * (5/3 + (6 / 9/8)))
[71757] ['2/7', '5/9', '1', '7/6', '5'] -> (((5 / 5/9) - 1) / (2/7 * 7/6))
[71758] ['5/9', '5/7', '7/6', '9', '9'] -> (7/6 * (9 + (9 / (5/9 / 5/7))))
[71759] ['7/8', '7/6', '6/5', '4', '6'] -> ((4 / ((7/6 / 7/8) - 6/5)) - 6)
[71760] ['1/7', '5/9', '5/7', '4', '4'] -> (5/9 * (4 + (4 / (1/7 * 5/7))))
[71761] ['3/4', '3/4', '1', '9/7', '7'] -> ((1 + 9/7) * (7 * (3/4 + 3/4)))
[71762] ['4/9', '4/9', '8/5', '2', '5'] -> ((8/5 * 5) * (2 + (4/9 / 4/9)))
[71763] ['2/9', '6/7', '1', '7/5', '6'] -> ((7/5 * 6) * ((6/7 / 2/9) - 1))
[71764] ['7/9', '5/6', '3/2', '5', '6'] -> ((6 * (7/9 * 5)) - (5/6 - 3/2))
[71765] ['2/7', '5/9', '1', '6/5', '5'] -> (((5 - 1) / (2/7 * 5/9)) - 6/5)
[71766] ['2/9', '6/7', '1', '3/2', '6'] -> ((1 + (6 / 6/7)) / (2/9 * 3/2))
[71767] ['5/7', '3/4', '1', '5/4', '9'] -> ((9 * (1 + (5/4 / 5/7))) - 3/4)
[71768] ['1/5', '3/7', '5/2', '7', '7'] -> (7 * ((1/5 + 3/7) + (7 / 5/2)))
[71769] ['4/9', '5/8', '7/4', '5', '8'] -> ((4/9 * 5) * (8 + (7/4 / 5/8)))
[71770] ['2/7', '5/9', '1', '9/7', '5'] -> (((5/9 + 5) / (2/7 / 9/7)) - 1)
[71771] ['5/7', '3/4', '1', '4/3', '9'] -> ((1 + 9) / (5/7 * (4/3 - 3/4)))
[71772] ['1/9', '3/5', '1', '9/5', '7'] -> ((1 + 7) / (9/5 * (1/9 / 3/5)))
[71773] ['1/5', '3/7', '8/3', '7', '7'] -> ((7 + (3/7 / 1/5)) / (8/3 / 7))
[71774] ['2/5', '5/4', '9/5', '2', '2'] -> (2 / (((2/5 + 2) / 9/5) - 5/4))
[71775] ['4/9', '5/8', '9/5', '5', '8'] -> ((5 + (8 / (4/9 * 9/5))) / 5/8)
[71776] ['7/8', '7/6', '9/5', '4', '6'] -> ((9/5 / (7/8 / 7/6)) * (4 + 6))
[71777] ['5/7', '3/4', '1', '7/5', '9'] -> ((1 + (5/7 * 7/5)) / (3/4 / 9))
[71778] ['3/4', '3/4', '1', '9/5', '7'] -> ((1 + 7) / (3/4 - (3/4 / 9/5)))
[71779] ['4/9', '5/8', '9/4', '5', '8'] -> ((8 * (5/8 * 5)) - (4/9 * 9/4))
[71780] ['4/7', '9/8', '8/3', '6', '6'] -> ((9/8 * 8/3) + ((6 + 6) / 4/7))
[71781] ['4/9', '4/9', '2', '9/2', '5'] -> ((4/9 + (4/9 * 5)) * (2 * 9/2))
[71782] ['1/7', '5/9', '6/7', '4', '4'] -> ((4 + 4) / ((5/9 * 6/7) - 1/7))
[71783] ['1/2', '1', '4/3', '2', '7/3'] -> (1 / ((1/2 / 4/3) + (2 - 7/3)))
[71784] ['5/7', '3/4', '1', '3/2', '9'] -> ((3/2 + 9) / (3/4 / (5/7 + 1)))
[71785] ['7/8', '7/6', '5/2', '4', '6'] -> (4 + ((5/2 * 6) / (7/8 / 7/6)))
[71786] ['1/9', '3/5', '1', '7/3', '7'] -> ((1/9 + (7/3 / 3/5)) * (7 - 1))
[71787] ['2/5', '5/4', '2', '2', '7/3'] -> ((2 / 5/4) / ((2/5 + 2) - 7/3))
[71788] ['1/5', '4/9', '4/9', '7', '7'] -> ((4/9 / 1/5) + (7 * (4/9 * 7)))
[71789] ['5/9', '5/7', '3/2', '9', '9'] -> (3/2 * (9 + (9 * (5/9 / 5/7))))
[71790] ['2/7', '5/9', '1', '3/2', '5'] -> (5 * ((1 / (2/7 * 5/9)) - 3/2))
[71791] ['2/9', '6/7', '1', '5/2', '6'] -> ((6 / 2/9) - (6/7 * (1 + 5/2)))
[71792] ['1/9', '3/5', '1', '5/2', '7'] -> ((3/5 * 5/2) * (7 + (1 / 1/9)))
[71793] ['1/5', '4/9', '1/2', '7', '7'] -> ((4/9 * (1/5 + 7)) * (1/2 + 7))
[71794] ['4/9', '1/2', '3/5', '2', '5'] -> (5 * ((1/2 * 3/5) + (2 / 4/9)))
[71795] ['7/9', '6/7', '9/8', '5', '6'] -> ((5 + 6) / (9/8 - (7/9 * 6/7)))
[71796] ['2/5', '5/4', '2', '2', '8/3'] -> ((2 + (2 / 5/4)) / (2/5 / 8/3))
[71797] ['2/9', '7/8', '7/8', '1', '6'] -> (6 / ((7/8 / (1 - 2/9)) - 7/8))
[71798] ['3/4', '7/9', '6/7', '1', '7'] -> ((7 / 3/4) / ((1 / 6/7) - 7/9))
[71799] ['2/7', '5/9', '1', '5/3', '5'] -> ((5/3 / 5/9) + ((1 + 5) / 2/7))
[71800] ['4/7', '8/7', '7/5', '6', '6'] -> ((6 / (7/5 / 6)) - (4/7 + 8/7))
[71801] ['5/7', '3/4', '1', '9/5', '9'] -> ((1 + 9/5) * (9 * (5/7 / 3/4)))
[71802] ['1/2', '1', '7/5', '9/5', '2'] -> ((1 + 7/5) / (1/2 * (2 - 9/5)))
[71803] ['1/7', '5/9', '8/7', '4', '4'] -> (4 + ((8/7 + 4) / (1/7 / 5/9)))
[71804] ['1/9', '3/5', '1', '9/2', '7'] -> ((3/5 + (1 / 1/9)) * (7 - 9/2))
[71805] ['2/5', '5/4', '2', '2', '9/2'] -> (2 * ((9/2 / 2/5) - (5/4 - 2)))
[71806] ['3/4', '7/9', '1', '8/7', '7'] -> (7 / ((1 / 8/7) - (3/4 * 7/9)))
[71807] ['2/9', '7/8', '1', '7/6', '6'] -> (7/6 / (7/8 * (2/9 - (1 / 6))))
[71808] ['1/7', '5/9', '7/6', '4', '4'] -> ((4 + 4) / ((5/9 / 7/6) - 1/7))
[71809] ['7/9', '6/7', '5/4', '5', '6'] -> (6/7 / (((6 - 5) / 7/9) - 5/4))
[71810] ['4/7', '8/7', '9/5', '6', '6'] -> ((6 / ((8/7 / 4/7) - 9/5)) - 6)
[71811] ['4/9', '1/2', '4/5', '2', '5'] -> (5 * ((2 / 4/9) - (1/2 - 4/5)))
[71812] ['5/7', '1', '1', '8/7', '8/5'] -> ((1 + 8/7) / (5/7 - (1 / 8/5)))
[71813] ['3/4', '7/9', '1', '6/5', '7'] -> (7 / (7/9 * (1 - (3/4 / 6/5))))
[71814] ['1/5', '4/9', '2/3', '7', '7'] -> (((7 + 7) - (2/3 / 1/5)) / 4/9)
[71815] ['7/9', '6/7', '7/5', '5', '6'] -> ((5 - 7/5) * (6 + (7/9 * 6/7)))
[71816] ['4/9', '1/2', '6/7', '2', '5'] -> (((5 / 6/7) - 1/2) / (4/9 / 2))
[71817] ['3/4', '7/9', '1', '4/3', '7'] -> ((4/3 + (1 / 3/4)) / (7/9 / 7))
[71818] ['5/7', '1', '1', '8/7', '9/5'] -> (8/7 / (1 - ((5/7 + 1) / 9/5)))
[71819] ['1/7', '5/9', '7/5', '4', '4'] -> (5/9 * (4 + (4 / (1/7 / 7/5))))
[71820] ['7/8', '5/4', '9/7', '4', '6'] -> (5/4 + ((7/8 + 4) / (9/7 / 6)))
[71821] ['4/9', '1/2', '8/7', '2', '5'] -> (4/9 / ((2 / (5 - 8/7)) - 1/2))
[71822] ['5/7', '7/9', '7/9', '1', '9'] -> ((7/9 + 7/9) * (9 * (5/7 + 1)))
[71823] ['2/7', '5/9', '1', '8/3', '5'] -> (((8/3 / 2/7) - (1 - 5)) / 5/9)
[71824] ['1/2', '1', '7/5', '2', '9/2'] -> ((1 + 7/5) * (2 * (1/2 + 9/2)))
[71825] ['7/9', '6/7', '9/5', '5', '6'] -> (5 * (6 - (9/5 * (7/9 * 6/7))))
[71826] ['1/5', '4/9', '7/9', '7', '7'] -> ((4/9 / 7/9) * (7 + (7 / 1/5)))
[71827] ['1/2', '1', '3/2', '3/2', '2'] -> (2 / ((1/2 * 3/2) - (1 / 3/2)))
[71828] ['1/9', '5/8', '7/8', '1', '7'] -> ((5/8 + 7/8) * (7 + (1 / 1/9)))
[71829] ['4/7', '7/6', '8/5', '6', '6'] -> (8/5 * (6 + (6 / (4/7 * 7/6))))
[71830] ['1/5', '4/9', '4/5', '7', '7'] -> ((4/5 + 7) + ((1/5 + 7) / 4/9))
[71831] ['7/9', '6/7', '9/4', '5', '6'] -> ((5 / 6/7) + (6 * (7/9 + 9/4)))
[71832] ['1/9', '5/8', '1', '9/8', '7'] -> ((7 + (1 / (1/9 * 9/8))) / 5/8)
[71833] ['5/7', '1', '1', '8/7', '8/3'] -> (8/7 / ((5/7 + 1) + (1 - 8/3)))
[71834] ['5/9', '3/4', '4/5', '9', '9'] -> ((4/5 * (3/4 + 9)) + (9 / 5/9))
[71835] ['3/4', '7/9', '1', '5/3', '7'] -> ((1 + 7) * (7/9 + (5/3 / 3/4)))
[71836] ['7/9', '6/7', '5/2', '5', '6'] -> (5 + (6 * (5/2 + (7/9 * 6/7))))
[71837] ['4/7', '7/6', '7/2', '6', '6'] -> ((7/2 / 7/6) + ((6 + 6) / 4/7))
[71838] ['2/7', '4/7', '4/7', '1', '5'] -> ((1 + 5) / (2/7 / (4/7 + 4/7)))
[71839] ['1/2', '1', '3/2', '2', '5/2'] -> ((3/2 + 5/2) / (1/2 / (1 + 2)))
[71840] ['3/4', '7/9', '1', '9/5', '7'] -> ((1 + (7 / 7/9)) / (3/4 / 9/5))
[71841] ['2/7', '4/7', '3/5', '1', '5'] -> ((1 + (5 * (4/7 + 3/5))) / 2/7)
[71842] ['7/9', '6/7', '9/2', '5', '6'] -> (((9/2 * 6) - (5 / 7/9)) / 6/7)
[71843] ['1/2', '1', '8/5', '8/5', '2'] -> (8/5 / ((8/5 / (2 - 1/2)) - 1))
[71844] ['5/7', '7/9', '1', '9/8', '9'] -> (9 / (1 - (9/8 * (5/7 * 7/9))))
[71845] ['7/9', '7/8', '7/8', '5', '6'] -> (6 * ((7/8 / (7/8 - 7/9)) - 5))
[71846] ['3/4', '7/9', '1', '5/2', '7'] -> (7 / ((3/4 * (5/2 - 7/9)) - 1))
[71847] ['5/9', '3/4', '7/8', '9', '9'] -> (9 / (5/9 - ((3/4 + 7/8) / 9)))
[71848] ['4/7', '6/5', '9/7', '6', '6'] -> ((6 + 6) / ((9/7 / 6/5) - 4/7))
[71849] ['4/9', '5/7', '5/6', '5', '8'] -> ((5 / (5/6 - 5/7)) - (8 / 4/9))
[71850] ['4/9', '1/2', '9/5', '2', '5'] -> (5 * ((4/9 * 9/5) + (2 / 1/2)))
[71851] ['2/9', '8/9', '1', '7/5', '6'] -> ((1 + 7/5) * (6 + (8/9 / 2/9)))
[71852] ['5/7', '1', '1', '7/6', '6/5'] -> ((5/7 / ((6/5 / 7/6) - 1)) - 1)
[71853] ['3/4', '7/9', '1', '8/3', '7'] -> (7 / (7/9 * (3/4 - (1 / 8/3))))
