[26854] ['1/7', '3/7', '1', '5/2', '5'] -> (((3/7 + 1) + (5 / 5/2)) / 1/7)
[26875] ['1/7', '5/6', '5/4', '7', '8'] -> (8 / ((1/7 * 7) - (5/6 / 5/4)))
[26876] ['2/7', '3/5', '4/5', '7', '7'] -> (((7 + (3/5 / 7)) / 2/7) - 4/5)
[26877] ['1/6', '2/7', '6/5', '3', '4'] -> ((6/5 + 3) * (4 + (2/7 / 1/6)))
[26878] ['2/7', '3/5', '2', '7/2', '6'] -> ((7/2 * (3/5 * 2)) * (6 - 2/7))
[26879] ['4/7', '7/8', '5/3', '6', '7'] -> ((5/3 * 6) + (7 / (4/7 * 7/8)))
[26880] ['3/8', '2/5', '5/7', '5', '7'] -> (((2/5 * 5) - 5/7) / (3/8 / 7))
[26881] ['1/7', '5/6', '9/7', '7', '8'] -> (7 / ((9/7 / (1/7 * 8)) - 5/6))
[26882] ['5/7', '1', '7/6', '7/5', '8'] -> ((8 / (5/7 * 7/6)) / (7/5 - 1))
[26883] ['1/3', '7/9', '4/5', '7', '9'] -> ((7 + ((1/3 + 9) / 4/5)) / 7/9)
[26884] ['2/5', '5/8', '5/7', '2', '3'] -> ((3 / 5/7) / ((2/5 * 2) - 5/8))
[26885] ['5/7', '1', '7/6', '8/5', '8'] -> (8 / ((8/5 * (5/7 * 7/6)) - 1))
[26886] ['1/6', '4/3', '7/5', '5', '5'] -> ((5 * (7/5 + 5)) - (4/3 / 1/6))
[26887] ['1/7', '5/6', '7/5', '7', '8'] -> (8 / (5/6 * (7/5 - (1/7 * 7))))
[26888] ['1/2', '7/9', '7/4', '2', '8'] -> (2 + (8 * (1/2 + (7/4 / 7/9))))
[26889] ['5/7', '1', '7/6', '7/4', '8'] -> (1 + ((5/7 + 7/4) * (7/6 * 8)))
[26890] ['1/7', '8/9', '9/7', '2', '7'] -> ((8/9 * 9/7) * (7 + (2 / 1/7)))
[26891] ['2/7', '5/8', '7/9', '2', '6'] -> ((6 + (2 / (2/7 * 7/9))) / 5/8)
[26892] ['4/7', '7/9', '9/2', '8', '9'] -> (7/9 * ((9/2 * 8) - (4/7 * 9)))
[26893] ['1/6', '2/7', '8/3', '3', '4'] -> ((1/6 + 4) + ((8/3 + 3) / 2/7))
[26894] ['2/7', '5/9', '5/7', '2', '9'] -> ((2/7 + 5/7) + (9 * (5/9 + 2)))
[26895] ['1/7', '4/9', '3/4', '1', '5'] -> ((5 / (1/7 / 3/4)) - (1 / 4/9))
[26896] ['1/7', '5/6', '5/3', '7', '8'] -> (8 * ((1/7 * 7) + (5/3 / 5/6)))
[26897] ['2/7', '5/8', '4/5', '2', '6'] -> (6 / (2 - (4/5 / (2/7 / 5/8))))
[26898] ['4/7', '4/5', '4/5', '8', '9'] -> ((8 / 4/7) + (9 + (4/5 / 4/5)))
[26899] ['3/8', '7/5', '5/3', '4', '5'] -> (5 / (((7/5 * 5/3) / 4) - 3/8))
[26900] ['1/6', '2/7', '3', '4', '9/2'] -> (9/2 * (3 + (4 * (1/6 / 2/7))))
[26901] ['2/7', '5/8', '5/6', '2', '6'] -> (6 / ((5/8 / (2 - 5/6)) - 2/7))
[26902] ['2/5', '5/8', '7/8', '2', '3'] -> (3 / ((5/8 * (2 - 2/5)) - 7/8))
[26903] ['1/3', '7/9', '7/5', '7', '9'] -> (9 * ((7 / 7/5) - (7/9 / 1/3)))
[26904] ['5/7', '1', '6/5', '6/5', '8'] -> (8 * ((6/5 / (1 - 5/7)) - 6/5))
[26905] ['2/7', '3/5', '7/6', '7', '7'] -> ((3/5 * 7) * ((7 / 7/6) - 2/7))
[26906] ['4/7', '4/5', '6/7', '8', '9'] -> (9 + ((6/7 * 8) / (4/7 * 4/5)))
[26907] ['1/7', '5/6', '7/3', '7', '8'] -> ((5/6 * 8) + (7 * (1/7 + 7/3)))
[26908] ['1/6', '7/5', '9/5', '5', '5'] -> ((5 + 5) / (1/6 / (9/5 - 7/5)))
[26909] ['2/5', '5/8', '8/9', '2', '3'] -> (3 * ((2 / (5/8 - 2/5)) - 8/9))
[26910] ['3/8', '2/5', '7/6', '5', '7'] -> ((2/5 + 7) * (5 / (3/8 + 7/6)))
[26911] ['5/7', '1', '6/5', '5/4', '8'] -> (((1 + 5/4) / (5/7 / 8)) - 6/5)
[26912] ['1/6', '1/3', '5/7', '3', '4'] -> (((1/3 + 3) / (1/6 * 5/7)) - 4)
[26913] ['3/8', '7/5', '9/4', '4', '5'] -> ((7/5 + 5) * (9/4 + (3/8 * 4)))
[26914] ['2/7', '3/5', '6/5', '7', '7'] -> ((7 + 7) * ((6/5 / 3/5) - 2/7))
[26915] ['1/7', '8/9', '5/3', '2', '7'] -> ((5/3 - 1/7) * (7 / (8/9 / 2)))
[26916] ['1/6', '7/5', '9/4', '5', '5'] -> (7/5 / ((9/4 / (5 + 5)) - 1/6))
[26917] ['4/7', '8/9', '3/2', '6', '7'] -> (7 * ((8/9 * (6 - 3/2)) - 4/7))
[26918] ['3/8', '7/5', '7/3', '4', '5'] -> (5 / (4 - (7/5 * (3/8 + 7/3))))
[26919] ['2/7', '3/5', '5/4', '7', '7'] -> (7 / ((5/4 / (2/7 * 3/5)) - 7))
[26920] ['1/3', '7/9', '5/2', '7', '9'] -> ((9 - (1/3 / 7/9)) / (5/2 / 7))
[26921] ['2/7', '5/9', '7/8', '2', '9'] -> (2/7 + (9 * (2 + (5/9 / 7/8))))
[26922] ['1/6', '7/5', '7/3', '5', '5'] -> ((5 - (5 / 7/3)) / (1/6 / 7/5))
[26923] ['5/7', '1', '6/5', '3/2', '8'] -> (8 / (3/2 - (1 / (5/7 * 6/5))))
[26924] ['4/7', '4/5', '7/6', '8', '9'] -> (9 + (8 / (7/6 * (4/7 * 4/5))))
[26925] ['1/7', '8/9', '9/5', '2', '7'] -> ((8/9 * 9/5) * (7 * (1/7 + 2)))
[26926] ['1/7', '6/7', '8/9', '7', '8'] -> (6/7 / (((1/7 + 7) / 8/9) - 8))
[26927] ['1/6', '7/5', '5/2', '5', '5'] -> (((5/2 * (5 - 7/5)) - 5) / 1/6)
[26928] ['3/8', '7/5', '4', '9/2', '5'] -> (5 * ((7/5 * 9/2) - (3/8 * 4)))
[26929] ['1/7', '4/9', '1', '9/8', '5'] -> ((5 + (1 / 1/7)) / (4/9 * 9/8))
[26930] ['1/6', '1/3', '7/5', '3', '4'] -> (((1/3 + 3) / (1/6 / 7/5)) - 4)
[26931] ['1/7', '6/7', '6/5', '7', '8'] -> ((6/7 / 1/7) + (6/5 * (7 + 8)))
[26932] ['5/7', '1', '6/5', '7/4', '8'] -> ((8 * (7/4 + (1 / 5/7))) - 6/5)
[26933] ['1/7', '8/9', '2', '5/2', '7'] -> (8/9 * (5/2 + (7 / (1/7 * 2))))
[26934] ['1/6', '7/5', '7/2', '5', '5'] -> ((5 + 5) / (7/2 * (1/6 / 7/5)))
[26935] ['5/7', '1', '6/5', '9/5', '8'] -> ((6/5 * 8) / (9/5 - (1 / 5/7)))
[26936] ['3/8', '8/5', '7/4', '4', '5'] -> ((4 * (5 + (7/4 / 8/5))) - 3/8)
[26937] ['1/7', '6/7', '7/5', '7', '8'] -> (6/7 + ((1/7 + 7/5) * (7 + 8)))
[26938] ['1/7', '8/9', '2', '7/2', '7'] -> (8/9 * (2 + (7/2 * (1/7 + 7))))
[26939] ['2/7', '3/5', '7/4', '7', '7'] -> ((7/4 + (2/7 * 7)) * (7 - 3/5))
[26940] ['2/5', '5/8', '7/4', '2', '3'] -> ((2 + ((7/4 + 3) / 5/8)) / 2/5)
[26941] ['1/7', '4/9', '1', '5/4', '5'] -> (((5 - 5/4) / 1/7) - (1 / 4/9))
[26942] ['4/7', '4/5', '3/2', '8', '9'] -> (4/5 * (9 + (8 / (4/7 / 3/2))))
[26943] ['1/7', '8/9', '2', '9/2', '7'] -> (((2 + (7 / 9/2)) / 1/7) - 8/9)
[26944] ['1/3', '4/5', '9/8', '7', '9'] -> (7 / ((1/3 / 4/5) - (9/8 / 9)))
[26945] ['2/7', '3/5', '9/5', '7', '7'] -> ((2/7 * 7) * ((9/5 * 7) - 3/5))
[26946] ['5/7', '1', '6/5', '9/2', '8'] -> ((9/2 - 1) * (8 * (5/7 * 6/5)))
[26947] ['1/7', '6/7', '9/5', '7', '8'] -> (((9/5 - 1/7) * (7 + 8)) - 6/7)
[26948] ['2/7', '5/8', '2', '7/3', '6'] -> (6 / (((5/8 * 2) / 7/3) - 2/7))
[26949] ['1/6', '8/5', '7/4', '5', '5'] -> (5 / (1/6 * (8/5 - (7/4 / 5))))
[26950] ['2/7', '5/8', '2', '5/2', '6'] -> (((2 + 6) / 2/7) - (5/2 / 5/8))
[26951] ['1/7', '4/9', '1', '7/5', '5'] -> ((4/9 * 5) * (1 + (7/5 / 1/7)))
[26952] ['5/7', '1', '5/4', '4/3', '8'] -> (8 / ((1 / 5/7) - (4/3 / 5/4)))
[26953] ['1/3', '4/5', '7/6', '7', '9'] -> ((7 + 9) / (4/5 * (7/6 - 1/3)))
[26954] ['4/7', '4/5', '7/4', '8', '9'] -> ((9 / 4/7) - (7/4 - (8 / 4/5)))
[26955] ['5/7', '1', '5/4', '7/5', '8'] -> ((5/4 * 7/5) * (8 * (5/7 + 1)))
[26956] ['1/2', '6/7', '9/5', '2', '8'] -> (9/5 * ((2 / 1/2) + (8 / 6/7)))
[26957] ['2/7', '3/5', '5/2', '7', '7'] -> (5/2 * ((2/7 * 7) + (3/5 + 7)))
[26958] ['1/7', '9/8', '9/7', '2', '7'] -> ((7 + (2 / 1/7)) / (9/8 / 9/7))
[26959] ['1/6', '8/5', '9/4', '5', '5'] -> ((((5 + 5) / 8/5) - 9/4) / 1/6)
[26960] ['4/7', '4/5', '9/5', '8', '9'] -> ((8 / 4/7) + (9 - (4/5 - 9/5)))
[26961] ['3/8', '3/7', '3/5', '5', '7'] -> ((3/5 * 5) * (7 / (3/8 / 3/7)))
[26962] ['1/6', '3/8', '6/7', '3', '4'] -> ((3 - 3/8) * (4 + (6/7 / 1/6)))
[26963] ['5/7', '1', '5/4', '5/3', '8'] -> (8 / (5/4 * (5/3 - (1 / 5/7))))
[26964] ['1/3', '4/5', '3/2', '7', '9'] -> ((4/5 * 3/2) * ((9 / 1/3) - 7))
[26965] ['3/8', '7/4', '9/5', '4', '5'] -> (9/5 / (((4 - 7/4) / 5) - 3/8))
[26966] ['1/7', '7/8', '8/7', '7', '8'] -> ((7 / 7/8) + (8 + (8/7 / 1/7)))
[26967] ['1/7', '9/8', '4/3', '2', '7'] -> ((2 + (9/8 * 4/3)) * (7 - 1/7))
[26968] ['3/8', '3/7', '2/3', '5', '7'] -> ((3/7 / 3/8) / ((5 / 7) - 2/3))
[26969] ['1/3', '4/5', '7/4', '7', '9'] -> (9 + (7 / (7/4 * (1/3 * 4/5))))
[26970] ['1/2', '7/8', '6/5', '2', '8'] -> ((1/2 + (7/8 * 8)) * (6/5 + 2))
[26971] ['3/8', '7/4', '7/3', '4', '5'] -> ((4 + 5) / ((7/4 / 7/3) - 3/8))
[26972] ['2/5', '2/3', '7/8', '2', '3'] -> ((3 / 2/3) / ((7/8 / 2/5) - 2))
[26973] ['5/7', '1', '5/4', '9/5', '8'] -> ((1 + 9/5) * (8 + (5/7 / 5/4)))
[26974] ['2/7', '5/8', '5/8', '7', '7'] -> ((7 - ((5/8 / 5/8) / 7)) / 2/7)
[26975] ['1/6', '7/4', '7/4', '5', '5'] -> ((5 / 1/6) - (5 + (7/4 / 7/4)))
[26976] ['4/7', '4/5', '9/2', '8', '9'] -> ((4/7 + 8) * (4/5 + (9 / 9/2)))
[26977] ['2/5', '2/3', '8/9', '2', '3'] -> (3 / (2 - (2/3 / (2/5 * 8/9))))
[26978] ['1/7', '7/8', '7/5', '7', '8'] -> ((8 - (7 / 7/5)) / (1/7 * 7/8))
[26979] ['1/6', '3/8', '7/5', '3', '4'] -> ((3 + 4) / (7/5 * (3/8 - 1/6)))
[26980] ['2/7', '2/3', '8/5', '2', '6'] -> ((2/3 + 6) * ((8/5 / 2/7) - 2))
[26981] ['4/7', '5/6', '5/6', '8', '9'] -> ((8 / 4/7) + (9 + (5/6 / 5/6)))
[26982] ['4/7', '9/8', '3/2', '6', '7'] -> (7 * (((6 - 3/2) / 9/8) - 4/7))
[26983] ['1/7', '9/8', '9/5', '2', '7'] -> ((7 * (1/7 + 2)) / (9/8 / 9/5))
[26984] ['1/7', '7/8', '5/3', '7', '8'] -> (8 / (7/8 * (1/7 + (5/3 / 7))))
[26985] ['2/7', '5/8', '3/4', '7', '7'] -> (7 / ((2/7 / 3/4) - (5/8 / 7)))
[26986] ['2/7', '5/9', '2', '7/3', '9'] -> (7/3 * (2/7 + (9 * (5/9 * 2))))
[26987] ['3/8', '9/5', '7/2', '4', '5'] -> (5 * ((9/5 * 7/2) - (3/8 * 4)))
[26988] ['1/7', '9/8', '2', '9/4', '7'] -> ((7 / (1/7 * 2)) - (9/8 / 9/4))
[26989] ['1/7', '4/9', '1', '5/2', '5'] -> (1 / ((5/2 / (1/7 + 5)) - 4/9))
[26990] ['2/7', '5/8', '7/9', '7', '7'] -> (7 / (7/9 * (2/7 + (5/8 / 7))))
[26991] ['1/2', '8/9', '7/6', '2', '8'] -> ((2 - (1/2 - 7/6)) / (8/9 / 8))
[26992] ['1/7', '9/8', '2', '5/2', '7'] -> ((5/2 + (7 / (1/7 * 2))) / 9/8)
[26993] ['3/8', '3/7', '5/4', '5', '7'] -> ((3/7 * 7) / (3/8 - (5/4 / 5)))
[26994] ['5/7', '1', '9/7', '9/7', '8'] -> ((9/7 * 8) / ((5/7 + 1) - 9/7))
[26995] ['2/7', '5/9', '2', '8/3', '9'] -> (((2 / 2/7) - (8/3 - 9)) / 5/9)
[26996] ['2/7', '5/8', '4/5', '7', '7'] -> ((2/7 * 7) * (4/5 + (7 / 5/8)))
[26997] ['4/7', '9/8', '7/4', '6', '7'] -> ((4/7 * 7/4) / ((7 / 6) - 9/8))
[26998] ['1/6', '9/5', '9/4', '5', '5'] -> ((9/5 + 5) / ((9/4 / 5) - 1/6))
[26999] ['1/7', '7/8', '5/2', '7', '8'] -> (((1/7 * 7) + (5/2 * 8)) / 7/8)
[27000] ['4/7', '5/6', '7/6', '8', '9'] -> (4/7 / (((9 - 8) / 7/6) - 5/6))
[27001] ['1/7', '9/8', '2', '7/2', '7'] -> ((2 + (7/2 * (1/7 + 7))) / 9/8)
[27002] ['2/7', '5/9', '2', '7/2', '9'] -> ((2/7 * 7/2) + (9 * (5/9 + 2)))
[27003] ['1/2', '8/9', '7/5', '2', '8'] -> ((8/9 + 8) * (2 + (1/2 * 7/5)))
[27004] ['1/3', '5/6', '9/7', '7', '9'] -> ((9/7 * (1/3 + 5/6)) * (7 + 9))
[27005] ['2/7', '5/8', '7/8', '7', '7'] -> ((7 / 2/7) - (5/8 - (7/8 / 7)))
[27006] ['2/5', '2/3', '5/3', '2', '3'] -> (2/3 + ((5/3 + 3) / (2/5 / 2)))
[27007] ['1/7', '4/9', '1', '9/2', '5'] -> ((4/9 * 9/2) * (5 + (1 / 1/7)))
[27008] ['5/7', '1', '4/3', '3/2', '8'] -> ((4/3 + 8) * (3/2 * (5/7 + 1)))
[27009] ['4/7', '5/6', '6/5', '8', '9'] -> ((8 / 4/7) + (9 + (5/6 * 6/5)))
[27010] ['2/7', '5/9', '2', '9/2', '9'] -> ((2 + 9/2) + (9 / (2/7 / 5/9)))
[27011] ['1/6', '2/5', '6/7', '3', '4'] -> (6/7 * ((3 / 1/6) + (4 / 2/5)))
[27012] ['4/7', '5/6', '5/4', '8', '9'] -> ((8 / (4/7 * 5/6)) + (9 / 5/4))
[27013] ['2/7', '3/4', '7/9', '2', '6'] -> ((6 - 2) / (7/9 * (2/7 * 3/4)))
[27014] ['1/7', '8/7', '6/5', '2', '7'] -> (8/7 + ((1/7 + 7) * (6/5 + 2)))
[27015] ['5/7', '1', '4/3', '5/3', '8'] -> (8 * ((4/3 / (1 - 5/7)) - 5/3))
[27016] ['2/7', '5/8', '8/7', '7', '7'] -> (8/7 + ((7 + (2/7 + 7)) / 5/8))
[27017] ['3/8', '3/7', '5/3', '5', '7'] -> ((7 / (3/8 / 3/7)) / (5/3 / 5))
[27018] ['1/2', '9/8', '7/6', '2', '8'] -> ((9/8 * 8) * (2 - (1/2 - 7/6)))
[27019] ['4/7', '5/6', '4/3', '8', '9'] -> ((8 / 4/7) + (9 * (5/6 * 4/3)))
[27020] ['2/7', '3/4', '4/5', '2', '6'] -> (4/5 * (2 + (6 / (2/7 * 3/4))))
[27021] ['2/5', '2/3', '2', '5/2', '3'] -> ((2/5 + (2 * 3)) / (2/3 / 5/2))
[27022] ['2/5', '2/3', '2', '3', '7/2'] -> ((7/2 + ((2 + 3) / 2/5)) / 2/3)
[27023] ['1/7', '1/2', '3/4', '1', '5'] -> ((1/2 / 3/4) * (1 + (5 / 1/7)))
[27024] ['5/7', '1', '4/3', '8/3', '8'] -> ((8 / (1 - 5/7)) - (4/3 + 8/3))
[27025] ['2/5', '5/7', '5/7', '2', '3'] -> ((5/7 + (2 / 2/5)) / (5/7 / 3))
[27026] ['2/7', '3/4', '7/6', '2', '6'] -> (6 / ((3/4 / (2/7 * 7/6)) - 2))
[27027] ['1/7', '7/6', '6/5', '2', '7'] -> (6/5 * ((2 / 1/7) + (7 / 7/6)))
[27028] ['3/8', '3/7', '8/3', '5', '7'] -> (8/3 + ((5 + (3/7 * 7)) / 3/8))
[27029] ['4/7', '5/6', '5/3', '8', '9'] -> (8 * ((4/7 * (9 - 5/6)) - 5/3))
[27030] ['1/7', '8/9', '5/4', '7', '8'] -> ((8 / (1/7 + (5/4 / 7))) - 8/9)
[27031] ['2/7', '4/7', '2', '9/4', '9'] -> (((9 / 9/4) - 4/7) / (2/7 / 2))
[27032] ['5/7', '1', '7/5', '7/5', '8'] -> (8 * (1 + (5/7 * (7/5 + 7/5))))
[27033] ['1/2', '9/8', '2', '7/3', '8'] -> ((9/8 * 8) * ((7/3 / 1/2) - 2))
[27034] ['3/8', '3/7', '7/2', '5', '7'] -> (((7/2 * (5 - 3/7)) - 7) / 3/8)
[27035] ['1/6', '2/5', '7/3', '3', '4'] -> ((((3 * 4) - 7/3) / 2/5) - 1/6)
[27036] ['2/5', '5/7', '7/9', '2', '3'] -> ((2 / (7/9 - 5/7)) - (3 / 2/5))
[27037] ['2/5', '2/5', '7/8', '4', '5'] -> (((2/5 / 2/5) + (4 * 5)) / 7/8)
[27038] ['1/3', '6/7', '7/4', '7', '9'] -> ((7 + 9) / (6/7 - (1/3 / 7/4)))
[27039] ['2/7', '3/4', '7/5', '2', '6'] -> (6 / (7/5 * (3/4 - (2/7 * 2))))
[27040] ['5/7', '1', '7/5', '7/4', '8'] -> ((1 + 7/5) * (8 * (5/7 * 7/4)))
[27041] ['2/7', '5/8', '3/2', '7', '7'] -> ((7 * (2/7 + 7)) / (5/8 + 3/2))
[27042] ['1/5', '1/5', '3/8', '5', '5'] -> (((5 + 5) - (1/5 / 1/5)) / 3/8)
[27043] ['3/8', '4/9', '4/9', '5', '7'] -> (((4/9 + (5 / 3/8)) / 4/9) - 7)
[27044] ['4/7', '7/6', '7/5', '6', '7'] -> (4/7 / ((6 / 7) - (7/6 / 7/5)))
[27045] ['4/7', '5/6', '9/5', '8', '9'] -> ((8 / (4/7 * 5/6)) - (9/5 - 9))
[27046] ['1/7', '8/9', '4/3', '7', '8'] -> (8 / ((1/7 * 7) - (8/9 / 4/3)))
[27047] ['1/3', '6/7', '9/5', '7', '9'] -> (9 + ((1/3 + 6/7) * (9/5 * 7)))
[27048] ['5/7', '1', '7/5', '9/4', '8'] -> (9/4 * ((8 / (7/5 - 5/7)) - 1))
[27049] ['2/7', '3/4', '8/5', '2', '6'] -> (8/5 * ((2 / 2/7) + (6 / 3/4)))
[27050] ['1/6', '2/5', '3', '7/2', '4'] -> ((7/2 + (1/6 + 3)) * (4 - 2/5))
[27051] ['1/5', '1/5', '3/7', '5', '5'] -> (1/5 + ((5 + (1/5 + 5)) / 3/7))
[27052] ['1/7', '8/9', '7/5', '7', '8'] -> (8/9 * ((7 / (1/7 * 7/5)) - 8))
[27053] ['1/3', '6/7', '9/4', '7', '9'] -> (6/7 * (7 + (9/4 * (1/3 + 9))))
[27054] ['2/5', '5/7', '5/6', '2', '3'] -> (2 / (3 - (5/6 / (2/5 * 5/7))))
[27055] ['4/7', '7/6', '8/5', '6', '7'] -> ((7 + (6 / 4/7)) / (7/6 / 8/5))
[27056] ['4/7', '5/6', '8/3', '8', '9'] -> ((8 * (8/3 + (5/6 / 4/7))) - 9)
[27057] ['1/7', '1/2', '1', '7/6', '5'] -> ((7/6 - 1/2) * (1 + (5 / 1/7)))
[27058] ['2/7', '3/4', '5/3', '2', '6'] -> ((3/4 * 6) * ((2 / 2/7) - 5/3))
[27059] ['1/6', '2/5', '3', '4', '9/2'] -> ((3 * (1/6 + 9/2)) + (4 / 2/5))
[27060] ['2/5', '2/5', '8/7', '4', '5'] -> (8/7 * ((2/5 / 2/5) + (4 * 5)))
[27061] ['2/5', '5/7', '7/8', '2', '3'] -> ((3 / (2/5 * 5/7)) / (7/8 / 2))
[27062] ['1/5', '1/5', '5/9', '5', '5'] -> ((5 - 5/9) * (5 + (1/5 + 1/5)))
[27063] ['2/7', '5/8', '9/5', '7', '7'] -> ((5/8 * 7) * (7 + (2/7 - 9/5)))
[27064] ['2/7', '3/5', '5/6', '2', '9'] -> (((9 - 2) / 2/7) - (3/5 * 5/6))
[27065] ['4/7', '6/7', '8/9', '8', '9'] -> ((8 + (8/9 * 9)) / (4/7 / 6/7))
[27066] ['1/7', '1/2', '1', '5/4', '5'] -> ((1 + 5) / (1/7 * (1/2 + 5/4)))
[27067] ['4/7', '6/5', '4/3', '6', '7'] -> (((4/7 * 7) / (4/3 - 6/5)) - 6)
[27068] ['1/5', '1/5', '5/8', '5', '5'] -> ((5 + (1/5 + 5)) / (5/8 - 1/5))
[27069] ['2/7', '5/8', '5/2', '7', '7'] -> (((7 / 2/7) - (5/2 + 7)) / 5/8)
[27070] ['4/7', '6/7', '9/8', '8', '9'] -> ((8 + (9 / 9/8)) / (4/7 / 6/7))
[27071] ['2/7', '3/5', '7/8', '2', '9'] -> ((7/8 * 9) * ((2 / 3/5) - 2/7))
[27072] ['5/7', '1', '3/2', '5/3', '8'] -> (8 * ((1 / 3/2) + (5/3 / 5/7)))
[27073] ['2/5', '5/7', '8/7', '2', '3'] -> ((8/7 * 2) * (3 / (2/5 * 5/7)))
[27074] ['1/7', '8/9', '9/5', '7', '8'] -> (8 / (8/9 - (7 * (1/7 / 9/5))))
[27075] ['1/6', '3/7', '5/8', '3', '4'] -> ((4 + (3 / 3/7)) / (5/8 - 1/6))
[27076] ['1/7', '1/2', '1', '7/4', '5'] -> ((1 + 5) / (1/2 - (1/7 * 7/4)))
[27077] ['5/7', '1', '3/2', '9/5', '8'] -> ((1 + 9/5) * (8 * (5/7 * 3/2)))
[27078] ['1/7', '6/5', '3/2', '2', '7'] -> ((6/5 * 7) * ((3/2 * 2) - 1/7))
[27079] ['1/3', '7/8', '7/5', '7', '9'] -> (7/8 * ((7 / 1/3) + (9 / 7/5)))
[27080] ['1/7', '1/2', '1', '9/5', '5'] -> ((1/2 + (1 / 1/7)) * (5 - 9/5))
[27081] ['3/8', '4/9', '7/8', '5', '7'] -> (3/8 + ((5 + 7) / (4/9 / 7/8)))
[27082] ['5/7', '1', '3/2', '9/4', '8'] -> (8 * ((3/2 / (1 - 5/7)) - 9/4))
[27083] ['1/7', '1/2', '1', '9/4', '5'] -> ((1 + 5) / (1/7 * (9/4 - 1/2)))
[27084] ['4/7', '6/5', '5/2', '6', '7'] -> (6/5 * ((5/2 + 7) + (6 / 4/7)))
[27085] ['4/7', '6/7', '5/3', '8', '9'] -> (8 + ((5/3 + 9) / (4/7 / 6/7)))
[27086] ['2/5', '5/7', '9/7', '2', '3'] -> ((3 + (9/7 / 5/7)) / (2/5 / 2))
[27087] ['1/7', '6/5', '7/4', '2', '7'] -> ((7 - 2) / (7/4 * (1/7 / 6/5)))
[27088] ['3/8', '4/9', '8/7', '5', '7'] -> (3/8 + ((5 + 7) / (4/9 * 8/7)))
[27089] ['1/2', '9/7', '7/5', '2', '8'] -> (((9/7 + 8) / (1/2 / 7/5)) - 2)
[27090] ['1/7', '8/9', '9/2', '7', '8'] -> (8 * ((8/9 * 9/2) - (1/7 * 7)))
[27091] ['4/7', '6/5', '9/2', '6', '7'] -> (6 / ((4/7 * 7) - (9/2 / 6/5)))
[27092] ['2/7', '3/5', '4/3', '2', '9'] -> (3/5 * ((9 / (2/7 / 4/3)) - 2))
[27093] ['1/5', '1/5', '7/8', '5', '5'] -> ((((1/5 + 5) / 1/5) - 5) / 7/8)
[27094] ['2/7', '7/9', '6/5', '2', '6'] -> (((6 / 7/9) - 2) / (2/7 / 6/5))
[27095] ['1/7', '9/8', '9/8', '7', '8'] -> ((9/8 + 7) + (8 + (9/8 / 1/7)))
[27096] ['1/7', '6/5', '2', '9/4', '7'] -> ((9/4 * 7) * ((2 / 6/5) - 1/7))
[27097] ['2/5', '3/7', '5/8', '4', '5'] -> ((5 / (3/7 - (2/5 * 5/8))) - 4)
[27098] ['1/3', '7/8', '9/2', '7', '9'] -> (((9/2 * (7 - 1/3)) - 9) / 7/8)
