[98462] ['7/9', '8/7', '4', '4', '9/2'] -> ((7/9 * 9/2) * (4 - (8/7 - 4)))
[98494] ['1/7', '4/5', '9/4', '8', '9'] -> ((9 / ((1/7 * 8) - 4/5)) - 9/4)
[98495] ['1/6', '5/9', '8/5', '5', '9'] -> ((8/5 * 9) * (5 - (5/9 / 1/6)))
[98496] ['7/9', '7/6', '9/5', '4', '4'] -> ((9/5 * 4) * (4 - (7/9 / 7/6)))
[98497] ['1/3', '3/5', '8/7', '6', '7'] -> (((8/7 * 7) / (3/5 - 1/3)) - 6)
[98498] ['3/7', '7/9', '7/4', '3', '9'] -> (3 + (7/4 * (3/7 + (9 / 7/9))))
[98499] ['5/7', '4/5', '7/5', '3', '8'] -> (8 / ((4/5 / 7/5) - (5/7 / 3)))
[98500] ['1/4', '5/8', '4/5', '1', '2'] -> ((1 + 2) / (4/5 * (1/4 * 5/8)))
[98501] ['1/5', '2/3', '3/4', '1', '1'] -> (1 / (2/3 - (3/4 / (1/5 + 1))))
[98502] ['1/2', '5/7', '1', '7/4', '3'] -> ((3 / 1/2) / ((5/7 * 7/4) - 1))
[98503] ['1/4', '7/9', '9/2', '8', '8'] -> (8 / (7/9 - (8 * (1/4 / 9/2))))
[98504] ['4/9', '3/4', '9/7', '6', '9'] -> ((4/9 * (9/7 + 9)) * (6 - 3/4))
[98505] ['1/3', '3/5', '4/3', '6', '7'] -> (4/3 * ((1/3 + 6) + (7 / 3/5)))
[98506] ['5/7', '4/5', '8/5', '3', '8'] -> (8/5 * ((4/5 + 3) + (8 / 5/7)))
[98507] ['3/7', '7/9', '5/2', '3', '9'] -> ((3/7 + (9 / 7/9)) / (3 - 5/2))
[98508] ['1/7', '4/5', '8/3', '8', '9'] -> (4/5 * (9 + (8 / (1/7 * 8/3))))
[98509] ['1/6', '4/7', '2/3', '5', '9'] -> ((1/6 - 2/3) + ((5 + 9) / 4/7))
[98510] ['1/3', '3/5', '7/4', '6', '7'] -> ((7/4 + (1/3 * 6)) * (7 - 3/5))
[98511] ['4/9', '3/4', '8/5', '6', '9'] -> (8/5 * ((3/4 - 6) + (9 / 4/9)))
[98512] ['9/8', '8/7', '7/6', '5', '9'] -> (9 * ((5 / (9/8 * 7/6)) - 8/7))
[98513] ['1/2', '5/7', '1', '5/2', '3'] -> (3 * (1 + (5/2 / (1/2 * 5/7))))
[98514] ['1/4', '5/8', '1', '6/5', '2'] -> ((6/5 + ((1 + 2) / 5/8)) / 1/4)
[98515] ['1/7', '4/5', '9/2', '8', '9'] -> ((8 / 4/5) + (9 / (1/7 * 9/2)))
[98516] ['1/3', '3/5', '9/4', '6', '7'] -> (7 / ((9/4 / (3/5 * 6)) - 1/3))
[98517] ['5/7', '4/5', '5/2', '3', '8'] -> ((4/5 + (8 / 5/7)) / (3 - 5/2))
[98518] ['9/8', '8/7', '6/5', '5', '9'] -> (9 / (5 * (9/8 - (6/5 / 8/7))))
[98519] ['1/4', '4/7', '5/4', '5', '6'] -> ((((5 / 4/7) - 5/4) / 1/4) - 6)
[98520] ['4/9', '7/9', '4/5', '6', '9'] -> ((6 + 9) / (7/9 / (4/9 + 4/5)))
[98521] ['1/4', '5/8', '1', '7/5', '2'] -> ((7/5 + (1 / 5/8)) / (1/4 / 2))
[98522] ['1/4', '4/5', '8/7', '8', '8'] -> (8/7 + (8 / (1/4 + (4/5 / 8))))
[98523] ['5/7', '4/5', '3', '7/2', '8'] -> ((4/5 + (8 / 5/7)) / (7/2 - 3))
[98524] ['1/5', '2/3', '1', '1', '8/7'] -> ((1 / 1/5) / ((1 / 8/7) - 2/3))
[98525] ['1/2', '3/4', '6/7', '1', '3'] -> ((1 + 3) / (3/4 - (1/2 / 6/7)))
[98526] ['1/3', '5/8', '5/7', '6', '7'] -> ((6 + 7) / ((5/8 / 5/7) - 1/3))
[98527] ['9/8', '8/7', '9/7', '5', '9'] -> ((5 - 8/7) * (9 / (9/8 * 9/7)))
[98528] ['3/7', '4/5', '7/6', '3', '9'] -> ((3 * (4/5 * 7/6)) * (9 - 3/7))
[98529] ['1/5', '2/3', '1', '1', '7/6'] -> (2/3 / (1 - (7/6 / (1/5 + 1))))
[98530] ['1/4', '4/7', '8/5', '5', '6'] -> (8/5 * ((1/4 + 6) + (5 / 4/7)))
[98531] ['1/4', '5/8', '1', '9/5', '2'] -> (((1 + 9/5) + (2 / 5/8)) / 1/4)
[98532] ['9/8', '8/7', '4/3', '5', '9'] -> ((4/3 * (9/8 * 8/7)) * (5 + 9))
[98533] ['1/5', '2/3', '1', '1', '6/5'] -> ((6/5 + (1 + 1)) / (1/5 * 2/3))
[98534] ['3/7', '4/5', '4/3', '3', '9'] -> ((9 / (3/7 * 4/5)) - (3 / 4/3))
[98535] ['5/6', '7/4', '7/4', '2', '4'] -> (4 / (2 - (5/6 + (7/4 / 7/4))))
[98536] ['1/4', '4/7', '5/3', '5', '6'] -> (5 + (6 * (1/4 + (5/3 / 4/7))))
[98537] ['1/7', '5/6', '6/5', '8', '9'] -> ((6/5 / (1/7 / 5/6)) + (8 + 9))
[98538] ['1/4', '4/5', '9/4', '8', '8'] -> (8 + ((1/4 + 9/4) * (4/5 * 8)))
[98539] ['1/4', '4/7', '9/5', '5', '6'] -> (4/7 * (6 + (5 / (1/4 / 9/5))))
[98540] ['7/9', '6/5', '4', '4', '9/2'] -> (4 / ((7/9 * 9/2) - (4 / 6/5)))
[98541] ['1/4', '2/3', '6/7', '1', '2'] -> (1 / ((2/3 / 2) - (1/4 / 6/7)))
[98542] ['1/4', '4/5', '7/3', '8', '8'] -> ((8 * 8) / ((7/3 / 4/5) - 1/4))
[98543] ['1/4', '4/7', '7/3', '5', '6'] -> (6 * (1/4 + (5 / (4/7 * 7/3))))
[98544] ['1/4', '4/5', '8/3', '8', '8'] -> (4/5 * (8 + (8/3 * (1/4 + 8))))
[98545] ['1/4', '2/3', '1', '8/7', '2'] -> (1 / (((2/3 / 8/7) / 2) - 1/4))
[98546] ['5/7', '5/6', '5/3', '3', '8'] -> ((3 - 5/7) * (8 + (5/6 + 5/3)))
[98547] ['7/9', '5/4', '9/7', '4', '4'] -> (4 * ((7/9 * 9/7) + (5/4 * 4)))
[98548] ['1/5', '2/3', '1', '1', '5/3'] -> ((5/3 / (1/5 * (1 - 2/3))) - 1)
[98549] ['3/7', '4/5', '5/2', '3', '9'] -> ((3/7 + 3) * (9 - (4/5 * 5/2)))
[98550] ['1/3', '5/8', '9/7', '6', '7'] -> ((6 - (9/7 / 1/3)) / (5/8 / 7))
[98551] ['1/4', '4/7', '8/3', '5', '6'] -> (8/3 * (6 + (4/7 * (1/4 + 5))))
[98552] ['4/9', '4/5', '7/8', '6', '9'] -> ((4/5 / 7/8) * (6 + (9 / 4/9)))
[98553] ['3/7', '4/5', '8/3', '3', '9'] -> ((4/5 * (8/3 + 9)) * (3 - 3/7))
[98554] ['1/3', '5/8', '7/5', '6', '7'] -> ((6 + 7) / ((5/8 * 7/5) - 1/3))
[98555] ['4/9', '4/5', '8/7', '6', '9'] -> ((4/5 * 8/7) * (6 + (9 / 4/9)))
[98556] ['5/7', '5/6', '9/4', '3', '8'] -> (3 + ((9/4 * 8) / (5/7 / 5/6)))
[98557] ['1/2', '7/9', '6/7', '1', '3'] -> ((1 + 3) / ((7/9 * 6/7) - 1/2))
[98558] ['1/5', '2/3', '1', '1', '9/4'] -> (9/4 * (2/3 + ((1 + 1) / 1/5)))
[98559] ['1/4', '5/6', '9/8', '8', '8'] -> ((8 / 8) / (9/8 - (1/4 + 5/6)))
[98560] ['1/7', '5/6', '9/5', '8', '9'] -> ((5/6 * 8) * ((9/5 / 1/7) - 9))
[98561] ['6/7', '6/7', '9/8', '2', '4'] -> (6/7 / (4 - (2 * (6/7 + 9/8))))
[98562] ['1/7', '5/6', '9/4', '8', '9'] -> (((9 / (1/7 * 9/4)) - 8) / 5/6)
[98563] ['4/9', '4/5', '9/7', '6', '9'] -> ((9/7 * (4/9 + 4/5)) * (6 + 9))
[98564] ['1/3', '5/8', '9/2', '6', '7'] -> (7 / (1/3 * (6 - (5/8 + 9/2))))
[98565] ['7/9', '5/4', '7/4', '4', '4'] -> ((4 / (7/4 - (5/4 / 7/9))) - 4)
[98566] ['1/4', '3/5', '6/7', '5', '6'] -> ((1/4 + 5) * (6 - (6/7 / 3/5)))
[98567] ['9/8', '8/7', '9/2', '5', '9'] -> (9 / ((5 / 8/7) - (9/2 / 9/8)))
[98568] ['1/7', '5/6', '7/3', '8', '9'] -> (9 / ((1/7 / 8) + (5/6 / 7/3)))
[98569] ['5/7', '6/7', '7/6', '3', '8'] -> ((3 - 5/7) * (7/6 + (8 / 6/7)))
[98570] ['3/7', '5/6', '9/8', '3', '9'] -> ((9 / (3/7 * 3)) / (9/8 - 5/6))
[98571] ['6/7', '6/7', '5/4', '2', '4'] -> ((2 + 4) / (5/4 - (6/7 / 6/7)))
[98572] ['9/8', '7/6', '6/5', '5', '9'] -> (((5 / 6/5) - 7/6) / (9/8 / 9))
[98573] ['4/9', '4/5', '8/5', '6', '9'] -> ((4/5 + 8/5) * (6 + (4/9 * 9)))
[98574] ['1/5', '5/7', '3/4', '1', '1'] -> ((1/5 + 1) / ((3/4 / 5/7) - 1))
[98575] ['1/4', '6/7', '8/9', '8', '8'] -> (6/7 * ((8 / (1/4 * 8/9)) - 8))
[98576] ['1/7', '5/6', '8/3', '8', '9'] -> (((1/7 + 9) * (5/6 + 8/3)) - 8)
[98577] ['1/4', '5/7', '5/6', '1', '2'] -> (2 / ((1/4 + 1) - (5/6 / 5/7)))
[98578] ['9/8', '7/6', '9/7', '5', '9'] -> (((5 / 7/6) - 9/7) / (9/8 / 9))
[98579] ['3/7', '5/6', '5/4', '3', '9'] -> ((9 + (3 / 3/7)) / (5/6 / 5/4))
[98580] ['6/7', '6/7', '5/3', '2', '4'] -> (4 / ((6/7 / 6/7) - (5/3 / 2)))
[98581] ['1/2', '7/9', '1', '3/2', '3'] -> (((3 / (1 - 7/9)) - 3/2) / 1/2)
[98582] ['9/8', '7/6', '7/5', '5', '9'] -> ((9 / 5) / ((7/5 / 7/6) - 9/8))
[98583] ['1/6', '4/7', '5/2', '5', '9'] -> ((9 - (5 / 5/2)) / (1/6 / 4/7))
[98584] ['7/9', '5/4', '8/3', '4', '4'] -> (8/3 / (4 - (4 * (7/9 * 5/4))))
[98585] ['3/7', '5/6', '8/5', '3', '9'] -> ((5/6 * 8/5) * ((9 / 3/7) - 3))
[98586] ['1/2', '7/9', '1', '8/5', '3'] -> ((1 / 3) / (1/2 - (7/9 / 8/5)))
[98587] ['1/3', '5/7', '8/9', '6', '7'] -> ((8/9 * 7) * (6 - (5/7 / 1/3)))
[98588] ['1/4', '3/5', '9/5', '5', '6'] -> (((5 * (3/5 + 9/5)) - 6) / 1/4)
[98589] ['1/5', '5/7', '6/7', '1', '1'] -> (((5/7 / 1/5) / (1 - 6/7)) - 1)
[98590] ['9/8', '7/6', '5/3', '5', '9'] -> (9 / ((5/3 / 5) - (9/8 - 7/6)))
[98591] ['4/9', '5/6', '6/7', '6', '9'] -> ((6/7 + 6) * (9 * (5/6 - 4/9)))
[98592] ['3/7', '5/6', '5/3', '3', '9'] -> ((3/7 + 3) * (9 - (5/3 / 5/6)))
[98593] ['1/3', '5/7', '9/8', '6', '7'] -> ((6 - (5/7 / 1/3)) / (9/8 / 7))
[98594] ['5/7', '7/8', '5/4', '3', '8'] -> (3 + (8 * (7/8 + (5/4 / 5/7))))
[98595] ['7/9', '9/7', '9/7', '4', '4'] -> (4 * (4 + (7/9 * (9/7 + 9/7))))
[98596] ['1/2', '7/9', '1', '7/4', '3'] -> (3 / ((7/4 * (1/2 / 7/9)) - 1))
[98597] ['1/7', '6/7', '5/2', '8', '9'] -> (((8 - 5/2) / (1/7 / 6/7)) - 9)
[98598] ['1/4', '6/7', '7/5', '8', '8'] -> (8 + (7/5 * (8 + (6/7 / 1/4))))
[98599] ['1/4', '3/5', '8/3', '5', '6'] -> ((8/3 * (1/4 + 5)) + (6 / 3/5))
[98600] ['9/8', '7/6', '5/2', '5', '9'] -> (9/8 * ((9 * (5 - 5/2)) - 7/6))
[98601] ['1/6', '3/5', '7/8', '5', '9'] -> (9 / (7/8 - (5 * (1/6 * 3/5))))
[98602] ['7/9', '9/7', '8/5', '4', '4'] -> (8/5 * ((4 * 4) - (7/9 * 9/7)))
[98603] ['1/2', '7/9', '1', '5/2', '3'] -> (3 * ((5/2 / (7/9 - 1/2)) - 1))
[98604] ['1/5', '5/7', '1', '1', '8/7'] -> (((5/7 / 1/5) / (8/7 - 1)) - 1)
[98605] ['3/7', '5/6', '8/3', '3', '9'] -> ((5/6 + 8/3) * (3 + (3/7 * 9)))
[98606] ['1/7', '7/8', '9/8', '8', '9'] -> ((9/8 / 1/7) + (9 - (7/8 - 8)))
[98607] ['1/2', '7/9', '1', '3', '7/2'] -> (3 * ((7/2 / (1/2 * 7/9)) - 1))
[98608] ['1/3', '5/7', '7/4', '6', '7'] -> (6 / ((7/4 / 1/3) - (5/7 * 7)))
[98609] ['1/4', '5/7', '1', '3/2', '2'] -> ((3/2 + 2) / (1/4 / (5/7 + 1)))
[98610] ['1/2', '7/9', '1', '3', '9/2'] -> (3 * (1 + (9/2 / (1/2 / 7/9))))
[98611] ['1/4', '6/7', '5/2', '8', '8'] -> ((8 * 8) / ((5/2 / 6/7) - 1/4))
[98612] ['1/4', '5/7', '1', '8/5', '2'] -> ((8/5 + (1 / 5/7)) / (1/4 / 2))
[98613] ['1/6', '3/5', '9/7', '5', '9'] -> (((9 / 9/7) - (3/5 * 5)) / 1/6)
[98614] ['1/4', '5/7', '1', '5/3', '2'] -> (2 / (((1/4 + 1) / 5/7) - 5/3))
[98615] ['1/6', '3/5', '4/3', '5', '9'] -> ((4/3 / 5) * (9 / (1/6 * 3/5)))
[98616] ['4/9', '6/7', '9/8', '6', '9'] -> ((4/9 * (6/7 + 6)) * (9 - 9/8))
[98617] ['1/2', '4/5', '7/8', '1', '3'] -> (3 / ((1/2 + 7/8) - (1 / 4/5)))
[98618] ['1/4', '5/7', '1', '7/4', '2'] -> ((5/7 + 1) * (2 / (1/4 / 7/4)))
[98619] ['9/8', '6/5', '7/3', '5', '9'] -> (((6/5 * 5) + (7/3 * 9)) / 9/8)
[98620] ['7/9', '4/3', '4/3', '4', '4'] -> (((4/3 + 4/3) + (4 * 4)) / 7/9)
[98621] ['6/7', '7/8', '5/3', '2', '4'] -> (4 / (5/3 - (2 * (6/7 * 7/8))))
[98622] ['1/4', '5/7', '1', '9/5', '2'] -> ((9/5 + ((1 + 2) / 5/7)) / 1/4)
[98623] ['1/7', '7/8', '8/5', '8', '9'] -> ((7/8 * 8/5) * (9 + (1/7 + 8)))
[98624] ['4/9', '6/7', '6/5', '6', '9'] -> ((6/7 + 6/5) * (9 + (4/9 * 6)))
[98625] ['7/9', '4/3', '7/5', '4', '4'] -> ((4/3 + (7/9 * 4)) * (7/5 + 4))
[98626] ['9/8', '6/5', '7/2', '5', '9'] -> ((6/5 + 9) / (9/8 - (7/2 / 5)))
[98627] ['1/4', '7/8', '8/5', '8', '8'] -> (((8 + 8) / (7/8 - 1/4)) - 8/5)
[98628] ['5/7', '8/9', '4/3', '3', '8'] -> ((3 - 5/7) / (8/9 / (4/3 + 8)))
[98629] ['1/7', '7/8', '7/4', '8', '9'] -> (9 + (8 * (7/4 + (1/7 * 7/8))))
[98630] ['1/2', '4/5', '1', '7/6', '3'] -> (1 / ((1/2 * 3) - (7/6 / 4/5)))
[98631] ['1/4', '5/7', '1', '2', '5/2'] -> (((5/2 / (5/7 / 2)) - 1) / 1/4)
[98632] ['1/7', '7/8', '9/5', '8', '9'] -> ((8 - (9 / 9/5)) / (1/7 * 7/8))
[98633] ['4/9', '6/7', '4/3', '6', '9'] -> (6 + (9 * (4/9 + (4/3 / 6/7))))
[98634] ['1/2', '4/5', '1', '5/4', '3'] -> ((3 / (1/2 * 5/4)) / (1 - 4/5))
[98635] ['1/6', '5/8', '5/7', '5', '9'] -> (((5 / 1/6) - 9) / (5/8 / 5/7))
[98636] ['3/7', '7/8', '9/5', '3', '9'] -> (9 / ((7/8 / 3/7) - (3 / 9/5)))
[98637] ['7/9', '4/3', '9/4', '4', '4'] -> (4 / (((4 - 7/9) / 4/3) - 9/4))
[98638] ['1/3', '7/9', '6/5', '6', '7'] -> ((6 / (1/3 * 6/5)) + (7 / 7/9))
[98639] ['1/7', '7/8', '5/2', '8', '9'] -> ((8 * 9) / (1/7 + (5/2 / 7/8)))
[98640] ['1/6', '5/8', '7/9', '5', '9'] -> ((7/9 * 9) / (1/6 + (5/8 / 5)))
[98641] ['9/8', '5/4', '7/3', '5', '9'] -> ((7/3 * 9) / (9/8 - (5/4 / 5)))
[98642] ['1/5', '5/7', '1', '1', '9/5'] -> ((1 + 9/5) / (1/5 / (5/7 + 1)))
[98643] ['1/2', '4/5', '1', '4/3', '3'] -> (3 / ((1 / 4/3) - (1/2 / 4/5)))
[98644] ['1/3', '7/9', '5/4', '6', '7'] -> (6 / ((1/3 / 7/9) - (5/4 / 7)))
[98645] ['1/7', '7/8', '7/2', '8', '9'] -> ((7/2 * (9 - 1/7)) - (7/8 * 8))
[98646] ['1/4', '8/9', '7/6', '8', '8'] -> (((8 / (1/4 * 8/9)) - 8) / 7/6)
[98647] ['1/5', '5/7', '1', '1', '9/4'] -> (9/4 / ((1 / (1/5 + 5/7)) - 1))
[98648] ['1/6', '5/8', '6/7', '5', '9'] -> (((1/6 + 9) + (5 / 6/7)) / 5/8)
[98649] ['9/8', '9/7', '9/7', '5', '9'] -> ((9/7 * 5) * (9 / (9/8 + 9/7)))
[98650] ['1/3', '7/9', '7/5', '6', '7'] -> ((7 + (1/3 + 6)) / (7/9 / 7/5))
[98651] ['6/7', '8/9', '7/6', '2', '4'] -> ((2 + (4 / 6/7)) / (7/6 - 8/9))
[98652] ['1/2', '4/5', '1', '9/4', '3'] -> (3 / ((1 / 4/5) - (1/2 * 9/4)))
[98653] ['1/7', '8/9', '9/8', '8', '9'] -> ((9/8 / (1/7 / 8/9)) + (8 + 9))
[98654] ['5/7', '8/9', '7/3', '3', '8'] -> (8 / (8/9 - ((5/7 * 7/3) / 3)))
[98655] ['6/7', '8/9', '6/5', '2', '4'] -> (2 * ((4 / (6/5 - 8/9)) - 6/7))
[98656] ['7/9', '7/5', '5/3', '4', '4'] -> ((5/3 / (7/9 / 7/5)) * (4 + 4))
[98657] ['1/7', '8/9', '7/6', '8', '9'] -> (9 * (8 - (8/9 / (1/7 * 7/6))))
[98658] ['1/3', '7/9', '7/4', '6', '7'] -> (6 / (7 - (7/4 / (1/3 * 7/9))))
[98659] ['1/6', '5/8', '9/7', '5', '9'] -> (9 / (9/7 * (1/6 + (5/8 / 5))))
[98660] ['1/2', '4/5', '1', '8/3', '3'] -> (8/3 * ((3 / (4/5 - 1/2)) - 1))
[98661] ['7/9', '7/5', '7/4', '4', '4'] -> ((7/5 + 4) * (4 + (7/9 / 7/4)))
[98662] ['5/7', '8/9', '5/2', '3', '8'] -> (5/2 * ((8 / (5/7 * 8/9)) - 3))
[98663] ['3/7', '8/9', '7/5', '3', '9'] -> ((3/7 + 7/5) * (3 + (9 / 8/9)))
[98664] ['6/7', '8/9', '5/4', '2', '4'] -> (4 / (2 - (6/7 * (8/9 + 5/4))))
[98665] ['9/8', '9/7', '8/5', '5', '9'] -> (((9 / 9/7) - 8/5) / (9/8 / 5))
[98666] ['1/4', '3/4', '1', '9/7', '2'] -> (1 / (((3/4 / 9/7) / 2) - 1/4))
[98667] ['5/7', '8/9', '3', '7/2', '8'] -> (7/2 * ((8 / 8/9) - (5/7 * 3)))
[98668] ['1/3', '7/9', '5/2', '6', '7'] -> (((5/2 - 7/9) / (1/3 / 6)) - 7)
[98669] ['1/2', '5/6', '5/6', '1', '3'] -> ((3 * (1/2 + 5/6)) / (1 - 5/6))
[98670] ['7/9', '7/5', '7/3', '4', '4'] -> ((4 + (7/3 * 4)) / (7/9 / 7/5))
[98671] ['1/4', '8/9', '8/5', '8', '8'] -> (8/9 * ((8 / 1/4) - (8 / 8/5)))
[98672] ['1/7', '8/9', '9/7', '8', '9'] -> (8 + (8/9 * (9 + (9/7 / 1/7))))
[98673] ['1/4', '5/7', '9/7', '5', '6'] -> ((5 / 1/4) + (6 - (5/7 + 9/7)))
[98674] ['1/2', '5/6', '1', '8/7', '3'] -> ((8/7 * (1/2 + 3)) / (1 - 5/6))
[98675] ['4/9', '7/8', '7/6', '6', '9'] -> ((7/8 * 9) + ((7/6 + 6) / 4/9))
[98676] ['1/4', '8/9', '5/3', '8', '8'] -> (((5/3 * 8) - 8) / (1/4 * 8/9))
[98677] ['3/7', '8/9', '9/5', '3', '9'] -> (((9 + (3 / 9/5)) / 3/7) - 8/9)
[98678] ['4/9', '7/8', '6/5', '6', '9'] -> (((6 / 4/9) + (9 / 6/5)) / 7/8)
[98679] ['7/9', '7/5', '8/3', '4', '4'] -> (((4 * 4) - 8/3) / (7/9 / 7/5))
[98680] ['9/8', '9/7', '9/4', '5', '9'] -> ((5 + (9 / 9/7)) / (9/8 / 9/4))
[98681] ['1/2', '5/6', '1', '7/5', '3'] -> ((5/6 / (1/2 - (7/5 / 3))) - 1)
[98682] ['1/3', '4/5', '9/8', '6', '7'] -> (6 * ((7 / (1/3 + 9/8)) - 4/5))
[98683] ['3/7', '8/9', '5/2', '3', '9'] -> ((9 / 3/7) / ((3 / 8/9) - 5/2))
[98684] ['1/6', '2/3', '8/7', '5', '9'] -> (9 / ((5 / 8/7) - (2/3 / 1/6)))
[98685] ['9/8', '9/7', '5/2', '5', '9'] -> (9 / ((9/8 / 9/7) - (5/2 / 5)))
[98686] ['1/4', '8/9', '7/3', '8', '8'] -> (8 / ((7/3 / 1/4) - (8 / 8/9)))
[98687] ['1/2', '5/6', '1', '5/3', '3'] -> ((1 + 5/3) * (3 / (5/6 - 1/2)))
[98688] ['1/3', '4/5', '7/6', '6', '7'] -> (6 / ((1/3 / 4/5) - (7/6 / 7)))
[98689] ['6/7', '8/9', '5/3', '2', '4'] -> (4 / ((5/3 / 6/7) - (8/9 * 2)))
[98690] ['7/9', '7/5', '4', '4', '9/2'] -> ((7/9 * 9/2) * (4 + (4 / 7/5)))
[98691] ['4/9', '7/8', '8/5', '6', '9'] -> (8/5 * ((9 / 4/9) - (7/8 * 6)))
[98692] ['1/5', '3/4', '1', '1', '9/8'] -> ((1 / 1/5) / ((1 / 3/4) - 9/8))
[98693] ['5/7', '9/8', '4/3', '3', '8'] -> ((9/8 * (4/3 + 8)) * (3 - 5/7))
[98694] ['6/7', '8/9', '7/4', '2', '4'] -> (6/7 / ((4 / 7/4) - (2 / 8/9)))
[98695] ['1/2', '5/6', '1', '9/5', '3'] -> ((1 / (1/2 - (5/6 / 9/5))) - 3)
[98696] ['1/4', '7/9', '5/6', '1', '2'] -> ((2 + (5/6 / 1/4)) / (1 - 7/9))
[98697] ['1/4', '5/7', '9/4', '5', '6'] -> (6 * (9/4 + (5 * (1/4 / 5/7))))
[98698] ['5/7', '9/8', '3/2', '3', '8'] -> ((3/2 + (9/8 * 8)) * (3 - 5/7))
[98699] ['1/7', '8/9', '9/5', '8', '9'] -> (8/9 * ((9 / (1/7 * 9/5)) - 8))
[98700] ['1/5', '3/4', '1', '1', '7/6'] -> ((1 + 1) / (1/5 * (7/6 - 3/4)))
[98701] ['5/7', '9/8', '8/5', '3', '8'] -> ((3 - 9/8) * (8/5 + (8 / 5/7)))
[98702] ['1/3', '4/5', '7/4', '6', '7'] -> ((6 + (7 / 7/4)) / (1/3 / 4/5))
[98703] ['9/8', '4/3', '7/3', '5', '9'] -> ((9/8 * 4/3) * ((7/3 * 9) - 5))
[98704] ['4/9', '7/8', '9/5', '6', '9'] -> ((9 + (4/9 * 6)) / (7/8 / 9/5))
[98705] ['6/7', '8/9', '2', '7/3', '4'] -> (4 / ((8/9 + 2) - (7/3 / 6/7)))
[98706] ['3/7', '9/8', '5/3', '3', '9'] -> (((3 + (9 / 9/8)) / 3/7) - 5/3)
