[1] ['1', '1', '1', '1', '7'] -> (((1 + 1) + 1) * (1 + 7))
[40] ['1', '1', '1', '18', '26'] -> (((1 + 1) + 1) * (26 - 18))
[41] ['1', '1', '1', '18', '27'] -> ((1 - ((1 + 1) / 18)) * 27)
[42] ['1', '1', '1', '18', '28'] -> (((18 + 28) / (1 + 1)) + 1)
[43] ['1', '1', '5', '16', '25'] -> (((1 + 1) * (25 - 5)) - 16)
[44] ['1', '1', '7', '11', '23'] -> (((11 + 23) / (1 + 1)) + 7)
[45] ['1', '1', '5', '13', '25'] -> (((13 + 25) / (1 + 1)) + 5)
[46] ['1', '1', '5', '14', '23'] -> ((14 * 5) - ((1 + 1) * 23))
[47] ['1', '1', '6', '14', '29'] -> (((1 + 1) * (29 - 14)) - 6)
[48] ['1', '1', '9', '13', '13'] -> (((13 + 9) / (1 + 1)) + 13)
[49] ['1', '1', '8', '13', '23'] -> ((((1 + 1) * 13) - 23) * 8)
[50] ['1', '1', '8', '13', '25'] -> ((((1 + 25) / 13) + 1) * 8)
[51] ['1', '1', '9', '10', '19'] -> (((19 + 9) / (1 + 1)) + 10)
[52] ['1', '1', '7', '22', '30'] -> (((1 + 1) * (30 - 7)) - 22)
[53] ['1', '1', '10', '11', '16'] -> (((10 + 16) / (1 + 1)) + 11)
[54] ['1', '1', '10', '11', '28'] -> (((1 + 1) * (28 - 11)) - 10)
[55] ['1', '1', '9', '18', '29'] -> ((((1 + 29) / 18) + 1) * 9)
[56] ['1', '1', '10', '10', '18'] -> (((10 + 18) / (1 + 1)) + 10)
[57] ['1', '1', '11', '20', '28'] -> (((28 / 20) + 1) * (11 - 1))
[58] ['1', '1', '10', '19', '28'] -> (((28 / (1 + 19)) + 1) * 10)
[59] ['1', '1', '13', '14', '19'] -> (14 / ((19 / (13 - 1)) - 1))
[60] ['1', '1', '11', '11', '15'] -> (((11 + 15) / (1 + 1)) + 11)
[61] ['1', '1', '15', '15', '30'] -> (((15 / 30) + 1) * (1 + 15))
[62] ['1', '1', '15', '16', '29'] -> (((15 / (1 + 29)) + 1) * 16)
[63] ['1', '1', '11', '17', '22'] -> (((11 / 22) + 1) * (17 - 1))
[64] ['1', '1', '11', '18', '27'] -> ((1 + 11) / ((27 / 18) - 1))
[65] ['1', '1', '14', '15', '28'] -> (((14 / 28) + 1) * (1 + 15))
[66] ['1', '1', '12', '19', '27'] -> (12 / ((27 / (19 - 1)) - 1))
[67] ['1', '1', '12', '20', '29'] -> (12 / (((1 + 29) / 20) - 1))
[68] ['1', '1', '12', '22', '30'] -> ((((22 / 12) - 1) * 30) - 1)
[69] ['1', '1', '16', '16', '29'] -> ((16 - (29 / (1 + 1))) * 16)
[70] ['1', '3', '3', '29', '29'] -> (29 - ((1 + 29) / (3 + 3)))
[71] ['1', '3', '13', '13', '30'] -> (30 - (((13 / 13) + 1) * 3))
[72] ['1', '3', '13', '17', '20'] -> ((((17 * 3) + 1) / 13) + 20)
[73] ['1', '3', '15', '25', '25'] -> (((25 / 25) + 1) * (15 - 3))
[74] ['1', '3', '30', '30', '30'] -> (30 - (((30 / 30) + 1) * 3))
[75] ['1', '4', '4', '4', '17'] -> (((17 * 4) + 4) / (4 - 1))
[76] ['1', '3', '23', '23', '30'] -> (30 - (((23 / 23) + 1) * 3))
[77] ['1', '4', '10', '23', '23'] -> ((((23 / 23) + 1) * 10) + 4)
[78] ['1', '4', '17', '28', '28'] -> (((1 / 4) + (17 / 28)) * 28)
[79] ['1', '5', '5', '18', '21'] -> ((((5 / 5) + 1) * 21) - 18)
[80] ['1', '5', '5', '19', '22'] -> (((1 + 19) / (5 + 5)) + 22)
[81] ['1', '4', '13', '23', '27'] -> ((1 - (4 / (13 + 23))) * 27)
[82] ['1', '4', '13', '25', '29'] -> ((25 + 29) / ((13 / 4) - 1))
[83] ['1', '5', '11', '11', '13'] -> (((11 * 13) + 1) / (11 - 5))
[84] ['1', '5', '11', '17', '28'] -> ((((28 - 17) * 11) - 1) / 5)
[85] ['1', '5', '12', '29', '29'] -> ((29 + 5) / ((29 / 12) - 1))
[86] ['1', '5', '13', '13', '14'] -> ((((13 / 13) + 1) * 5) + 14)
[87] ['1', '5', '14', '29', '29'] -> ((((29 / 29) + 1) * 5) + 14)
[88] ['1', '5', '15', '19', '19'] -> (((19 * 5) + 1) / (19 - 15))
[89] ['1', '5', '14', '14', '14'] -> ((((14 / 14) + 1) * 5) + 14)
[90] ['1', '5', '18', '19', '26'] -> (((1 + 5) * (26 - 19)) - 18)
[91] ['1', '5', '15', '23', '24'] -> (((1 + 5) * (23 - 15)) - 24)
[92] ['1', '5', '15', '28', '29'] -> ((((28 + 29) / 15) + 1) * 5)
[93] ['1', '5', '12', '24', '25'] -> ((((25 / 5) - 1) * 12) - 24)
[94] ['1', '6', '7', '7', '13'] -> ((((6 + 7) * 13) - 1) / 7)
[95] ['1', '5', '19', '23', '27'] -> (((19 * 5) + 1) / (27 - 23))
[96] ['1', '5', '21', '24', '29'] -> (((1 + 5) * (29 - 21)) - 24)
[97] ['1', '6', '7', '17', '17'] -> (((1 + 17) * 7) - (17 * 6))
[98] ['1', '6', '12', '17', '17'] -> ((((17 / 17) + 1) * 6) + 12)
[99] ['1', '6', '8', '23', '30'] -> (((23 * 6) + 30) / (8 - 1))
[100] ['1', '6', '13', '13', '27'] -> (27 - (6 / ((13 / 13) + 1)))
[101] ['1', '6', '9', '23', '23'] -> ((((23 / 23) + 1) * 9) + 6)
[102] ['1', '6', '9', '25', '25'] -> ((((25 / 25) + 1) * 9) + 6)
[103] ['1', '6', '9', '28', '28'] -> ((((28 / 28) + 1) * 9) + 6)
[104] ['1', '6', '9', '29', '29'] -> ((((29 / 29) + 1) * 9) + 6)
[105] ['1', '5', '22', '30', '30'] -> (22 / (1 - (5 / (30 + 30))))
[106] ['1', '6', '15', '15', '22'] -> (((15 * 22) + 6) / (15 - 1))
[107] ['1', '6', '14', '14', '27'] -> (27 - (6 / ((14 / 14) + 1)))
[108] ['1', '6', '18', '20', '25'] -> (((18 * 25) + 6) / (20 - 1))
[109] ['1', '6', '10', '25', '25'] -> ((((25 + 25) / 10) - 1) * 6)
[110] ['1', '6', '20', '20', '27'] -> (27 - (6 / ((20 / 20) + 1)))
[111] ['1', '6', '15', '25', '25'] -> ((((25 / 25) + 1) * 15) - 6)
[112] ['1', '6', '15', '29', '29'] -> ((((29 / 29) + 1) * 15) - 6)
[113] ['1', '6', '19', '20', '26'] -> ((((19 * 26) + 6) / 20) - 1)
[114] ['1', '7', '7', '7', '8'] -> ((((7 + 7) / 7) + 1) * 8)
[115] ['1', '7', '7', '8', '8'] -> ((((7 / 7) + 1) * 8) + 8)
[116] ['1', '6', '21', '22', '22'] -> ((6 / ((22 / 22) + 1)) + 21)
[117] ['1', '6', '21', '23', '23'] -> ((6 / ((23 / 23) + 1)) + 21)
[118] ['1', '7', '7', '26', '27'] -> (26 - ((1 + 27) / (7 + 7)))
[119] ['1', '7', '8', '10', '25'] -> ((((1 + 25) * 7) + 10) / 8)
[120] ['1', '7', '7', '13', '20'] -> ((((20 - 7) * 13) - 1) / 7)
[121] ['1', '7', '8', '18', '18'] -> (8 / ((7 / 18) - (1 / 18)))
[122] ['1', '7', '7', '11', '18'] -> (18 / ((7 / (11 - 7)) - 1))
[123] ['1', '7', '7', '11', '19'] -> (((19 * 7) + 11) / (7 - 1))
[124] ['1', '7', '10', '10', '14'] -> ((((10 / 7) + 1) * 14) - 10)
[125] ['1', '6', '25', '25', '27'] -> (27 - (6 / ((25 / 25) + 1)))
[126] ['1', '6', '26', '26', '27'] -> (27 - (6 / ((26 / 26) + 1)))
[127] ['1', '7', '11', '13', '13'] -> (((11 * 13) + 1) / (13 - 7))
[128] ['1', '7', '9', '29', '30'] -> (30 / ((9 / (29 + 7)) + 1))
[129] ['1', '7', '9', '30', '30'] -> (((30 * 7) + 30) / (1 + 9))
[130] ['1', '7', '7', '16', '17'] -> (((1 + 7) * 17) - (16 * 7))
[131] ['1', '7', '7', '17', '29'] -> (((7 / 7) + 1) * (29 - 17))
[132] ['1', '7', '7', '18', '18'] -> (((18 * 7) + 18) / (7 - 1))
[133] ['1', '6', '21', '29', '29'] -> ((6 / ((29 / 29) + 1)) + 21)
[134] ['1', '6', '22', '27', '28'] -> (28 - (22 / ((27 / 6) + 1)))
[135] ['1', '6', '22', '29', '30'] -> ((((1 + 22) * 30) + 6) / 29)
[136] ['1', '7', '10', '25', '25'] -> ((((25 / 25) + 1) * 7) + 10)
[137] ['1', '7', '10', '29', '29'] -> ((((29 / 29) + 1) * 7) + 10)
[138] ['1', '7', '13', '13', '20'] -> ((((13 * 20) - 1) / 7) - 13)
[139] ['1', '7', '8', '27', '27'] -> (((27 * 7) + 27) / (1 + 8))
[140] ['1', '7', '11', '19', '30'] -> ((((19 - 1) * 11) - 30) / 7)
[141] ['1', '7', '14', '14', '14'] -> ((((14 - 1) * 14) - 14) / 7)
[142] ['1', '7', '14', '15', '23'] -> (((14 / 7) + 1) * (23 - 15))
[143] ['1', '7', '15', '23', '30'] -> (((15 / 30) + 1) * (23 - 7))
[144] ['1', '8', '8', '9', '9'] -> ((((9 / 9) + 1) * 8) + 8)
[145] ['1', '8', '8', '19', '19'] -> ((((19 / 19) + 1) * 8) + 8)
[146] ['1', '8', '8', '15', '15'] -> ((((15 / 15) + 1) * 8) + 8)
[147] ['1', '8', '8', '17', '17'] -> ((((17 / 17) + 1) * 8) + 8)
[148] ['1', '7', '15', '17', '23'] -> (((17 * 23) - 7) / (1 + 15))
[149] ['1', '7', '14', '17', '18'] -> (((7 / (17 - 14)) - 1) * 18)
[150] ['1', '7', '14', '19', '19'] -> (14 / ((19 / (19 - 7)) - 1))
[151] ['1', '7', '17', '17', '22'] -> (((17 * 7) + 1) / (22 - 17))
[152] ['1', '7', '11', '29', '29'] -> (29 - ((11 + 29) / (1 + 7)))
[153] ['1', '7', '19', '21', '25'] -> (((21 / 7) + 1) * (25 - 19))
[154] ['1', '8', '8', '29', '29'] -> ((((29 / 29) + 1) * 8) + 8)
[155] ['1', '8', '8', '30', '30'] -> ((((30 / 30) + 1) * 8) + 8)
[156] ['1', '8', '9', '9', '9'] -> ((((9 + 9) / 9) + 1) * 8)
[157] ['1', '8', '9', '30', '30'] -> (8 / ((1 / 30) + (9 / 30)))
[158] ['1', '8', '15', '17', '26'] -> ((((1 + 15) * 26) - 8) / 17)
[159] ['1', '8', '17', '17', '28'] -> (28 - (8 / ((17 / 17) + 1)))
[160] ['1', '8', '19', '19', '19'] -> ((((19 + 19) / 19) + 1) * 8)
[161] ['1', '8', '19', '19', '26'] -> (((19 + 26) / (1 + 8)) + 19)
[162] ['1', '8', '19', '19', '28'] -> (28 - (8 / ((19 / 19) + 1)))
[163] ['1', '7', '23', '27', '30'] -> (30 - (((23 * 7) + 1) / 27))
[164] ['1', '8', '11', '30', '30'] -> (8 / ((11 / 30) - (1 / 30)))
[165] ['1', '8', '25', '25', '26'] -> ((25 + 26) / ((25 / 8) - 1))
[166] ['1', '8', '26', '26', '26'] -> ((((26 + 26) / 26) + 1) * 8)
[167] ['1', '8', '28', '29', '29'] -> (28 - (8 / ((29 / 29) + 1)))
[168] ['1', '8', '29', '29', '29'] -> ((((29 + 29) / 29) + 1) * 8)
[169] ['1', '8', '13', '13', '13'] -> ((((13 + 13) / 13) + 1) * 8)
[170] ['1', '9', '9', '10', '18'] -> ((((9 / 18) + 1) * 10) + 9)
[171] ['1', '9', '9', '10', '19'] -> ((10 / ((9 / 9) + 1)) + 19)
[172] ['1', '9', '9', '10', '28'] -> ((28 / ((9 / 9) + 1)) + 10)
[173] ['1', '9', '9', '10', '29'] -> (29 - (10 / ((9 / 9) + 1)))
[174] ['1', '9', '10', '10', '18'] -> ((((10 / 18) + 1) * 9) + 10)
[175] ['1', '7', '22', '29', '30'] -> ((((22 * 30) + 7) / 29) + 1)
[176] ['1', '9', '14', '14', '22'] -> (((1 + 9) * 22) - (14 * 14))
[177] ['1', '9', '14', '14', '30'] -> ((30 / ((14 / 14) + 1)) + 9)
[178] ['1', '9', '11', '16', '25'] -> (((9 - 1) * 25) - (11 * 16))
[179] ['1', '9', '11', '20', '20'] -> (((11 * 20) + 20) / (1 + 9))
[180] ['1', '9', '11', '28', '29'] -> (28 - ((11 + 29) / (1 + 9)))
[181] ['1', '9', '10', '23', '26'] -> (((1 + 10) * (26 - 23)) - 9)
[182] ['1', '9', '10', '25', '27'] -> ((27 + 9) / ((25 / 10) - 1))
[183] ['1', '9', '11', '14', '14'] -> ((((14 * 14) + 11) / 9) + 1)
[184] ['1', '9', '11', '14', '23'] -> ((((11 - 1) * 23) - 14) / 9)
[185] ['1', '9', '16', '16', '30'] -> ((30 / ((16 / 16) + 1)) + 9)
[186] ['1', '9', '15', '17', '25'] -> (((15 * 25) + 9) / (17 - 1))
[187] ['1', '8', '23', '23', '28'] -> (28 - (8 / ((23 / 23) + 1)))
[188] ['1', '8', '23', '28', '30'] -> (((28 / (30 - 23)) - 1) * 8)
[189] ['1', '8', '23', '29', '30'] -> (((1 + 8) * (29 - 23)) - 30)
[190] ['1', '9', '12', '29', '30'] -> (12 / ((30 / (29 - 9)) - 1))
[191] ['1', '9', '13', '13', '30'] -> ((30 / ((13 / 13) + 1)) + 9)
[192] ['1', '9', '17', '17', '30'] -> ((30 / ((17 / 17) + 1)) + 9)
[193] ['1', '8', '22', '22', '22'] -> ((((22 + 22) / 22) + 1) * 8)
[194] ['1', '8', '22', '23', '23'] -> ((22 + 23) / ((23 / 8) - 1))
[195] ['1', '8', '22', '28', '29'] -> (((28 / (29 - 22)) - 1) * 8)
[196] ['1', '9', '19', '25', '25'] -> (((25 + 25) / (1 + 9)) + 19)
[197] ['1', '10', '10', '10', '17'] -> ((((10 / 10) + 1) * 17) - 10)
[198] ['1', '10', '10', '10', '19'] -> ((10 / ((10 / 10) + 1)) + 19)
[199] ['1', '10', '10', '10', '29'] -> (29 - (10 / ((10 / 10) + 1)))
[200] ['1', '10', '10', '13', '14'] -> (((1 + 10) * 14) - (10 * 13))
[201] ['1', '9', '19', '19', '30'] -> ((30 / ((19 / 19) + 1)) + 9)
[202] ['1', '10', '13', '13', '29'] -> (29 - (10 / ((13 / 13) + 1)))
[203] ['1', '9', '21', '21', '30'] -> ((30 / ((21 / 21) + 1)) + 9)
[204] ['1', '9', '21', '23', '23'] -> (((23 / 23) + 1) * (21 - 9))
[205] ['1', '9', '17', '18', '25'] -> (((18 / 9) + 1) * (25 - 17))
[206] ['1', '9', '21', '25', '25'] -> (((25 / 25) + 1) * (21 - 9))
[207] ['1', '9', '29', '29', '30'] -> ((30 / ((29 / 29) + 1)) + 9)
[208] ['1', '10', '11', '17', '18'] -> (((1 + 11) * 17) - (10 * 18))
[209] ['1', '10', '11', '18', '18'] -> (((11 * 18) + 18) / (10 - 1))
[210] ['1', '9', '20', '20', '20'] -> (((20 + 20) / (1 + 9)) + 20)
[211] ['1', '9', '20', '20', '21'] -> (((20 / 20) + 1) * (21 - 9))
[212] ['1', '10', '14', '14', '17'] -> ((((14 / 14) + 1) * 17) - 10)
[213] ['1', '10', '11', '26', '27'] -> (27 - ((10 + 26) / (1 + 11)))
[214] ['1', '10', '16', '16', '27'] -> (((1 + 27) * 10) - (16 * 16))
[215] ['1', '10', '11', '11', '17'] -> ((((11 / 11) + 1) * 17) - 10)
[216] ['1', '10', '11', '11', '28'] -> ((28 / ((11 / 11) + 1)) + 10)
[217] ['1', '10', '11', '11', '29'] -> (29 - (10 / ((11 / 11) + 1)))
[218] ['1', '10', '14', '14', '29'] -> (29 - (10 / ((14 / 14) + 1)))
[219] ['1', '10', '19', '23', '23'] -> ((10 / ((23 / 23) + 1)) + 19)
[220] ['1', '10', '17', '23', '23'] -> ((((23 / 23) + 1) * 17) - 10)
[221] ['1', '10', '19', '28', '28'] -> ((10 / ((28 / 28) + 1)) + 19)
[222] ['1', '10', '20', '21', '21'] -> ((((21 * 21) - 1) / 10) - 20)
[223] ['1', '10', '17', '29', '29'] -> ((((29 / 29) + 1) * 17) - 10)
[224] ['1', '10', '18', '18', '19'] -> ((10 / ((18 / 18) + 1)) + 19)
[225] ['1', '9', '25', '25', '29'] -> (29 - ((25 + 25) / (1 + 9)))
[226] ['1', '10', '18', '28', '29'] -> (28 / (((10 + 29) / 18) - 1))
[227] ['1', '10', '22', '23', '23'] -> (((23 / 23) + 1) * (22 - 10))
[228] ['1', '10', '22', '25', '25'] -> (((25 / 25) + 1) * (22 - 10))
[229] ['1', '10', '28', '28', '28'] -> ((28 / ((28 / 28) + 1)) + 10)
[230] ['1', '11', '11', '19', '29'] -> ((19 + 29) / ((11 / 11) + 1))
[231] ['1', '10', '17', '17', '26'] -> (((17 * 26) - 10) / (1 + 17))
[232] ['1', '10', '17', '17', '28'] -> ((28 / ((17 / 17) + 1)) + 10)
[233] ['1', '10', '17', '18', '18'] -> ((((18 / 18) + 1) * 17) - 10)
[234] ['1', '10', '17', '19', '25'] -> ((17 + 19) / ((25 / 10) - 1))
[235] ['1', '11', '12', '12', '29'] -> (12 / (((29 - 11) / 12) - 1))
[236] ['1', '11', '16', '16', '26'] -> ((26 / ((16 / 16) + 1)) + 11)
[237] ['1', '11', '11', '12', '30'] -> (30 - (12 / ((11 / 11) + 1)))
[238] ['1', '10', '26', '26', '29'] -> (29 - (10 / ((26 / 26) + 1)))
[239] ['1', '10', '27', '27', '28'] -> ((28 / ((27 / 27) + 1)) + 10)
[240] ['1', '11', '17', '18', '29'] -> (((1 + 29) * 11) - (17 * 18))
[241] ['1', '11', '19', '30', '30'] -> (((30 + 30) / (1 + 11)) + 19)
[242] ['1', '12', '13', '13', '30'] -> (30 - (12 / ((13 / 13) + 1)))
[243] ['1', '11', '13', '23', '29'] -> (((11 * 13) + 1) / (29 - 23))
[244] ['1', '11', '18', '18', '29'] -> (((1 + 11) * 29) - (18 * 18))
[245] ['1', '11', '29', '30', '30'] -> (29 - ((30 + 30) / (1 + 11)))
[246] ['1', '12', '12', '12', '20'] -> (12 / ((12 / (20 - 12)) - 1))
[247] ['1', '12', '12', '13', '21'] -> (12 / ((12 / (21 - 13)) - 1))
[248] ['1', '12', '12', '13', '29'] -> (((12 * 29) - 12) / (1 + 13))
[249] ['1', '11', '21', '24', '25'] -> (((1 + 11) * (25 - 21)) - 24)
[250] ['1', '12', '20', '23', '23'] -> ((((23 * 23) - 1) / 12) - 20)
[251] ['1', '11', '19', '23', '24'] -> (((1 + 11) * (23 - 19)) - 24)
[252] ['1', '11', '24', '25', '29'] -> (((1 + 11) * (29 - 25)) - 24)
[253] ['1', '12', '23', '23', '30'] -> (30 - (12 / ((23 / 23) + 1)))
[254] ['1', '12', '25', '25', '28'] -> ((((25 * 25) - 1) / 12) - 28)
[255] ['1', '12', '25', '25', '30'] -> (30 - (12 / ((25 / 25) + 1)))
[256] ['1', '11', '25', '25', '26'] -> ((26 / ((25 / 25) + 1)) + 11)
[257] ['1', '11', '26', '27', '27'] -> ((26 / ((27 / 27) + 1)) + 11)
[258] ['1', '12', '17', '25', '26'] -> ((((25 + 26) / 17) - 1) * 12)
[259] ['1', '13', '14', '30', '30'] -> (((13 * 30) - 30) / (1 + 14))
[260] ['1', '13', '13', '14', '19'] -> ((((13 / 13) + 1) * 19) - 14)
[261] ['1', '13', '13', '16', '26'] -> (16 / (1 - (13 / (13 + 26))))
[262] ['1', '13', '16', '16', '17'] -> (((16 * 17) + 16) / (13 - 1))
[263] ['1', '13', '13', '19', '28'] -> (28 / ((13 / (19 - 13)) - 1))
[264] ['1', '13', '13', '19', '29'] -> ((19 + 29) / ((13 / 13) + 1))
[265] ['1', '13', '17', '25', '26'] -> (((26 / 13) + 1) * (25 - 17))
[266] ['1', '14', '16', '21', '30'] -> (((1 / 14) + (30 / 21)) * 16)
[267] ['1', '13', '17', '18', '29'] -> ((((1 + 29) * 13) + 18) / 17)
[268] ['1', '14', '14', '15', '28'] -> ((15 / ((14 / 28) + 1)) + 14)
[269] ['1', '14', '15', '15', '17'] -> ((14 / ((15 / 15) + 1)) + 17)
[270] ['1', '14', '15', '15', '30'] -> ((15 / ((15 / 30) + 1)) + 14)
[271] ['1', '13', '21', '21', '22'] -> ((22 / ((21 / 21) + 1)) + 13)
[272] ['1', '13', '21', '23', '28'] -> ((((21 * 28) - 13) / 23) - 1)
[273] ['1', '13', '22', '23', '23'] -> ((22 / ((23 / 23) + 1)) + 13)
[274] ['1', '13', '17', '21', '30'] -> ((((21 * 30) - 1) / 17) - 13)
[275] ['1', '13', '17', '22', '25'] -> ((17 * 22) - ((1 + 13) * 25))
[276] ['1', '14', '15', '28', '29'] -> (29 - (15 / ((28 / 14) + 1)))
[277] ['1', '15', '15', '21', '22'] -> (((15 / (22 - 15)) - 1) * 21)
[278] ['1', '14', '14', '14', '16'] -> (((14 / (14 + 14)) + 1) * 16)
[279] ['1', '15', '15', '16', '16'] -> ((16 / ((15 / 15) + 1)) + 16)
[280] ['1', '14', '19', '23', '23'] -> ((((23 / 23) + 1) * 19) - 14)
[281] ['1', '14', '19', '25', '25'] -> ((((25 / 25) + 1) * 19) - 14)
[282] ['1', '14', '19', '27', '27'] -> ((((27 / 27) + 1) * 19) - 14)
[283] ['1', '14', '20', '25', '25'] -> ((20 / ((25 / 25) + 1)) + 14)
[284] ['1', '14', '17', '23', '23'] -> ((14 / ((23 / 23) + 1)) + 17)
[285] ['1', '14', '17', '23', '27'] -> (((17 / (23 - 14)) - 1) * 27)
[286] ['1', '14', '17', '25', '25'] -> ((14 / ((25 / 25) + 1)) + 17)
[287] ['1', '14', '17', '26', '26'] -> ((14 / ((26 / 26) + 1)) + 17)
[288] ['1', '14', '17', '30', '30'] -> ((14 / ((30 / 30) + 1)) + 17)
[289] ['1', '15', '17', '17', '18'] -> ((18 / ((17 / 17) + 1)) + 15)
[290] ['1', '15', '15', '29', '30'] -> (29 - (15 / ((30 / 15) + 1)))
[291] ['1', '15', '18', '23', '23'] -> ((18 / ((23 / 23) + 1)) + 15)
[292] ['1', '15', '18', '25', '25'] -> ((18 / ((25 / 25) + 1)) + 15)
[293] ['1', '14', '26', '26', '30'] -> ((((26 * 26) + 14) / 30) + 1)
[294] ['1', '14', '27', '27', '28'] -> ((((27 * 27) - 1) / 14) - 28)
[295] ['1', '15', '15', '15', '16'] -> (((15 / (15 + 15)) + 1) * 16)
[296] ['1', '16', '16', '19', '30'] -> (30 / ((1 / 16) + (19 / 16)))
[297] ['1', '16', '16', '22', '22'] -> ((16 / ((22 / 22) + 1)) + 16)
[298] ['1', '15', '16', '26', '26'] -> (((26 / (26 - 16)) - 1) * 15)
[299] ['1', '14', '25', '25', '26'] -> (((25 / 25) + 1) * (26 - 14))
[300] ['1', '15', '20', '27', '28'] -> (27 - ((20 + 28) / (1 + 15)))
[301] ['1', '15', '21', '21', '29'] -> (21 / ((15 / (29 - 21)) - 1))
[302] ['1', '15', '22', '23', '23'] -> (((23 / 15) - 1) * (22 + 23))
[303] ['1', '16', '16', '26', '26'] -> ((16 / ((26 / 26) + 1)) + 16)
[304] ['1', '16', '16', '27', '27'] -> ((16 / ((27 / 27) + 1)) + 16)
[305] ['1', '16', '17', '17', '17'] -> (((17 / (17 + 17)) + 1) * 16)
[306] ['1', '16', '17', '17', '20'] -> ((((17 / 17) + 1) * 20) - 16)
[307] ['1', '16', '18', '28', '28'] -> (((28 / (28 - 16)) - 1) * 18)
[308] ['1', '16', '19', '19', '19'] -> (((19 / (19 + 19)) + 1) * 16)
[309] ['1', '15', '30', '30', '30'] -> (30 / ((15 / (30 + 30)) + 1))
[310] ['1', '16', '16', '17', '17'] -> ((16 / ((17 / 17) + 1)) + 16)
[311] ['1', '16', '16', '17', '29'] -> (((16 / 16) + 1) * (29 - 17))
[312] ['1', '15', '17', '23', '28'] -> (((23 / 15) - 1) * (17 + 28))
[313] ['1', '15', '25', '25', '27'] -> (((25 / 25) + 1) * (27 - 15))
[314] ['1', '15', '25', '29', '30'] -> ((15 + 29) / ((25 / 30) + 1))
[315] ['1', '15', '27', '28', '28'] -> (((28 / 28) + 1) * (27 - 15))
[316] ['1', '16', '20', '29', '29'] -> ((((29 / 29) + 1) * 20) - 16)
[317] ['1', '16', '21', '21', '21'] -> (((21 / (21 + 21)) + 1) * 16)
