[913612] ['1/7', '1/8', '2/9', '7/6', '9/2'] -> ((2/9 / ((1/7 * 7/6) - 1/8)) * 9/2)
[914032] ['1/7', '1/8', '3/2', '5/6', '7/3'] -> (7/3 / (1/7 * (1/8 + (5/6 / 3/2))))
[914035] ['1/7', '1/8', '3/2', '5/6', '7/6'] -> ((5/6 / (1/8 - (1/7 / 3/2))) / 7/6)
[914050] ['1/7', '1/8', '3/2', '5/7', '6/5'] -> ((3/2 / ((1/7 / 5/7) - 1/8)) * 6/5)
[914052] ['1/7', '1/8', '3/2', '5/7', '7/2'] -> (((3/2 * (5/7 - 1/7)) / 1/8) * 7/2)
[914053] ['1/7', '1/8', '3/2', '5/7', '7/3'] -> ((((1/7 + 5/7) * 3/2) / 1/8) * 7/3)
[914057] ['1/7', '1/8', '3/2', '5/7', '7/8'] -> (((3/2 / (5/7 - 1/7)) / 1/8) / 7/8)
[914068] ['1/7', '1/8', '3/2', '5/8', '5/8'] -> ((1/8 + ((3/2 + 5/8) / 1/7)) / 5/8)
[914072] ['1/7', '1/8', '3/2', '5/8', '7/2'] -> ((((3/2 - 5/8) / 1/8) - 1/7) * 7/2)
[914074] ['1/7', '1/8', '3/2', '5/8', '7/4'] -> ((3/2 / (1/8 - (1/7 * 5/8))) / 7/4)
[914079] ['1/7', '1/8', '3/2', '5/8', '8/3'] -> ((((3/2 - 1/8) / 1/7) - 5/8) * 8/3)
[914080] ['1/7', '1/8', '3/2', '5/8', '8/5'] -> ((1/8 + ((3/2 + 5/8) / 1/7)) * 8/5)
[914082] ['1/7', '1/8', '3/2', '5/8', '8/9'] -> (((3/2 / (5/8 - 1/7)) / 1/8) - 8/9)
[914084] ['1/7', '1/8', '3/2', '5/8', '9/4'] -> ((3/2 / ((1/8 / 5/8) - 1/7)) - 9/4)
[914086] ['1/7', '1/8', '3/2', '5/8', '9/7'] -> (9/7 / (3/2 * (1/8 - (1/7 * 5/8))))
[914091] ['1/7', '1/8', '3/2', '5/9', '7/2'] -> (7/2 / ((1/7 * 3/2) * (1/8 + 5/9)))
[914104] ['1/7', '1/8', '3/2', '5/9', '9/5'] -> (9/5 / (((1/8 / 1/7) / 5/9) - 3/2))
[914105] ['1/7', '1/8', '3/2', '5/9', '9/7'] -> ((9/7 * 5/9) / (1/8 - (1/7 / 3/2)))
[914121] ['1/7', '1/8', '3/2', '6/5', '9/4'] -> ((3/2 / (6/5 - (1/7 / 1/8))) - 9/4)
[914122] ['1/7', '1/8', '3/2', '6/5', '9/5'] -> (9/5 / ((1/8 / 1/7) - (6/5 / 3/2)))
[914126] ['1/7', '1/8', '3/2', '6/7', '7/2'] -> ((3/2 / ((1/8 / 1/7) - 6/7)) / 7/2)
[914127] ['1/7', '1/8', '3/2', '6/7', '7/3'] -> (7/3 / ((1/7 / (3/2 - 6/7)) - 1/8))
[914128] ['1/7', '1/8', '3/2', '6/7', '7/4'] -> ((3/2 / (1/7 - (1/8 * 6/7))) / 7/4)
[914138] ['1/7', '1/8', '3/2', '6/7', '9/4'] -> (((3/2 - (1/7 / 6/7)) / 1/8) * 9/4)
[914139] ['1/7', '1/8', '3/2', '6/7', '9/5'] -> (((3/2 + (1/7 / 6/7)) / 1/8) * 9/5)
[914145] ['1/7', '1/8', '3/2', '7/2', '7/5'] -> ((((1/7 + 7/2) - 3/2) / 1/8) * 7/5)
[914147] ['1/7', '1/8', '3/2', '7/2', '7/8'] -> (((1/8 + (7/2 / 1/7)) - 3/2) + 7/8)
[914158] ['1/7', '1/8', '3/2', '7/3', '7/3'] -> (7/3 / (((1/7 * 7/3) / 3/2) - 1/8))
[914176] ['1/7', '1/8', '3/2', '7/4', '7/8'] -> ((3/2 / (1/7 - (1/8 / 7/4))) / 7/8)
[914180] ['1/7', '1/8', '3/2', '7/4', '8/7'] -> ((3/2 / (1/7 - (1/8 / 7/4))) * 8/7)
[914182] ['1/7', '1/8', '3/2', '7/4', '9/2'] -> (9/2 / (3/2 * ((1/7 * 7/4) - 1/8)))
[914187] ['1/7', '1/8', '3/2', '7/5', '7/5'] -> (7/5 / ((7/5 / 3/2) - (1/8 / 1/7)))
[914188] ['1/7', '1/8', '3/2', '7/5', '7/6'] -> ((3/2 / (1/7 - (1/8 / 7/5))) / 7/6)
[914208] ['1/7', '1/8', '3/2', '7/6', '9/4'] -> (((3/2 - (1/7 * 7/6)) / 1/8) * 9/4)
[914209] ['1/7', '1/8', '3/2', '7/6', '9/5'] -> (((3/2 + (1/7 * 7/6)) / 1/8) * 9/5)
[914214] ['1/7', '1/8', '3/2', '7/8', '8/3'] -> ((3/2 * ((7/8 / 1/7) - 1/8)) * 8/3)
[914231] ['1/7', '1/8', '3/2', '7/9', '9/7'] -> (9/7 / ((1/7 * 3/2) - (1/8 / 7/9)))
[914235] ['1/7', '1/8', '3/2', '8/3', '8/7'] -> ((3/2 / (1/8 - (1/7 / 8/3))) * 8/7)
[914240] ['1/7', '1/8', '3/2', '8/3', '9/7'] -> ((((3/2 * 8/3) - 1/7) / 1/8) / 9/7)
[914243] ['1/7', '1/8', '3/2', '8/5', '8/7'] -> (8/7 / ((1/8 - (1/7 / 3/2)) * 8/5))
[914246] ['1/7', '1/8', '3/2', '8/5', '9/4'] -> ((3/2 / ((1/8 * 8/5) - 1/7)) - 9/4)
[914248] ['1/7', '1/8', '3/2', '8/5', '9/7'] -> (9/7 / (3/2 * (1/8 - (1/7 / 8/5))))
[914258] ['1/7', '1/8', '3/2', '8/9', '9/2'] -> ((3/2 / (8/9 - (1/8 / 1/7))) / 9/2)
[914261] ['1/7', '1/8', '3/2', '8/9', '9/7'] -> (9/7 / (3/2 * ((1/7 / 8/9) - 1/8)))
[914263] ['1/7', '1/8', '3/2', '9/2', '9/2'] -> (((9/2 / 1/7) - (3/2 / 1/8)) + 9/2)
[914270] ['1/7', '1/8', '3/2', '9/4', '9/7'] -> (((3/2 * (9/4 - 1/7)) / 1/8) - 9/7)
[914272] ['1/7', '1/8', '3/2', '9/5', '9/5'] -> (9/5 / (((1/8 * 9/5) / 1/7) - 3/2))
[914273] ['1/7', '1/8', '3/2', '9/5', '9/7'] -> (9/7 / ((1/8 - (1/7 / 3/2)) * 9/5))
[914281] ['1/7', '1/8', '3/4', '3/4', '3/8'] -> (((3/4 / 1/7) + 3/4) / (3/8 - 1/8))
[914289] ['1/7', '1/8', '3/4', '3/4', '5/6'] -> ((3/4 / 3/4) / ((1/8 / 1/7) - 5/6))
[914297] ['1/7', '1/8', '3/4', '3/4', '7/4'] -> ((3/4 / (1/8 - (1/7 * 3/4))) / 7/4)
[914299] ['1/7', '1/8', '3/4', '3/4', '7/6'] -> ((3/4 / 3/4) / ((1/7 * 7/6) - 1/8))
[914304] ['1/7', '1/8', '3/4', '3/4', '8/7'] -> ((3/4 / 1/8) / ((8/7 - 1/7) - 3/4))
[914312] ['1/7', '1/8', '3/4', '3/5', '3/7'] -> (3/7 / ((1/8 / 3/5) - (1/7 / 3/4)))
[914322] ['1/7', '1/8', '3/4', '3/5', '5/7'] -> ((3/5 / (1/8 - (1/7 * 3/4))) * 5/7)
[914330] ['1/7', '1/8', '3/4', '3/5', '7/5'] -> ((3/5 / (1/8 - (1/7 * 3/4))) / 7/5)
[914344] ['1/7', '1/8', '3/4', '3/7', '3/8'] -> (((3/4 / 1/8) + (3/7 / 1/7)) / 3/8)
[914346] ['1/7', '1/8', '3/4', '3/7', '4/5'] -> (((3/4 + (3/7 / 1/7)) / 1/8) * 4/5)
[914353] ['1/7', '1/8', '3/4', '3/7', '5/7'] -> (5/7 / (1/8 * (3/7 - (1/7 / 3/4))))
[914357] ['1/7', '1/8', '3/4', '3/7', '6/7'] -> (6/7 / ((3/4 + 3/7) - (1/7 / 1/8)))
[914363] ['1/7', '1/8', '3/4', '3/7', '7/8'] -> (((3/4 / (3/7 - 1/7)) / 1/8) / 7/8)
[914365] ['1/7', '1/8', '3/4', '3/7', '8/3'] -> (((3/4 / 1/8) + (3/7 / 1/7)) * 8/3)
[914367] ['1/7', '1/8', '3/4', '3/7', '8/7'] -> (((3/4 / (3/7 - 1/7)) / 1/8) * 8/7)
[914384] ['1/7', '1/8', '3/4', '3/8', '5/8'] -> ((((3/8 / 1/7) - 3/4) / 1/8) / 5/8)
[914391] ['1/7', '1/8', '3/4', '3/8', '7/5'] -> (((1/7 + (3/4 / 3/8)) / 1/8) * 7/5)
[914396] ['1/7', '1/8', '3/4', '3/8', '8/5'] -> ((((3/8 / 1/7) - 3/4) / 1/8) * 8/5)
[914398] ['1/7', '1/8', '3/4', '3/8', '8/9'] -> (((3/4 + (3/8 / 1/7)) / 1/8) * 8/9)
[914419] ['1/7', '1/8', '3/4', '4/3', '7/4'] -> ((3/4 / (1/8 - (1/7 / 4/3))) / 7/4)
[914443] ['1/7', '1/8', '3/4', '4/5', '6/5'] -> (6/5 / (3/4 - ((1/8 * 4/5) / 1/7)))
[914484] ['1/7', '1/8', '3/4', '4/7', '9/4'] -> (9/4 / (3/4 * ((1/7 / 4/7) - 1/8)))
[914486] ['1/7', '1/8', '3/4', '4/7', '9/7'] -> (9/7 / (3/4 * (1/7 - (1/8 * 4/7))))
[914493] ['1/7', '1/8', '3/4', '4/9', '5/7'] -> (5/7 / (1/7 * ((3/4 * 4/9) - 1/8)))
[914508] ['1/7', '1/8', '3/4', '4/9', '8/9'] -> ((4/9 / (1/8 - (1/7 * 3/4))) - 8/9)
[914516] ['1/7', '1/8', '3/4', '5/2', '5/4'] -> (((3/4 / 1/7) + (5/2 / 1/8)) - 5/4)
[914527] ['1/7', '1/8', '3/4', '5/2', '7/6'] -> (((5/2 / (3/4 - 1/8)) / 1/7) / 7/6)
[914531] ['1/7', '1/8', '3/4', '5/2', '8/5'] -> (((5/2 / (1/7 + 3/4)) / 1/8) + 8/5)
[914532] ['1/7', '1/8', '3/4', '5/2', '8/7'] -> ((((5/2 - 1/7) / 1/8) / 3/4) - 8/7)
[914537] ['1/7', '1/8', '3/4', '5/2', '9/7'] -> ((9/7 * ((1/8 / 3/4) + 5/2)) / 1/7)
[914538] ['1/7', '1/8', '3/4', '5/2', '9/8'] -> ((1/8 + ((3/4 + 5/2) / 1/7)) + 9/8)
[914542] ['1/7', '1/8', '3/4', '5/3', '5/7'] -> (5/7 / ((1/8 - (1/7 * 3/4)) * 5/3))
[914568] ['1/7', '1/8', '3/4', '5/4', '6/5'] -> (6/5 / (3/4 - ((1/8 / 1/7) / 5/4)))
[914587] ['1/7', '1/8', '3/4', '5/6', '5/7'] -> (5/7 / (1/7 * ((1/8 + 5/6) - 3/4)))
[914591] ['1/7', '1/8', '3/4', '5/6', '6/7'] -> (6/7 / (1/8 - ((1/7 * 3/4) * 5/6)))
[914592] ['1/7', '1/8', '3/4', '5/6', '7/2'] -> (((1/7 / 3/4) + (5/6 / 1/8)) * 7/2)
[914594] ['1/7', '1/8', '3/4', '5/6', '7/4'] -> (((1/7 / (5/6 - 3/4)) / 1/8) * 7/4)
[914601] ['1/7', '1/8', '3/4', '5/6', '8/7'] -> (8/7 / ((1/8 / 3/4) - (1/7 * 5/6)))
[914613] ['1/7', '1/8', '3/4', '5/7', '7/2'] -> (((1/7 + (3/4 / 1/8)) + 5/7) * 7/2)
[914633] ['1/7', '1/8', '3/4', '5/8', '7/2'] -> (((1/7 + (5/8 / 1/8)) / 3/4) * 7/2)
[914638] ['1/7', '1/8', '3/4', '5/8', '7/8'] -> ((3/4 / (1/8 - (1/7 * 5/8))) / 7/8)
[914642] ['1/7', '1/8', '3/4', '5/8', '8/7'] -> ((3/4 / (1/8 - (1/7 * 5/8))) * 8/7)
[914644] ['1/7', '1/8', '3/4', '5/8', '9/2'] -> (9/2 / (3/4 * ((1/8 / 1/7) - 5/8)))
[914647] ['1/7', '1/8', '3/4', '5/8', '9/7'] -> (9/7 / ((1/7 * 3/4) * (5/8 - 1/8)))
[914654] ['1/7', '1/8', '3/4', '5/9', '7/4'] -> (7/4 / ((1/7 * 3/4) * (1/8 + 5/9)))
[914665] ['1/7', '1/8', '3/4', '5/9', '9/5'] -> (9/5 / (1/7 * (3/4 - (1/8 / 5/9))))
[914669] ['1/7', '1/8', '3/4', '6/5', '6/7'] -> (6/7 / (1/8 - ((1/7 * 3/4) / 6/5)))
[914673] ['1/7', '1/8', '3/4', '6/5', '7/5'] -> ((((3/4 / 1/8) - 6/5) / 1/7) / 7/5)
[914679] ['1/7', '1/8', '3/4', '6/5', '8/7'] -> (8/7 / ((1/8 / 3/4) - (1/7 / 6/5)))
[914692] ['1/7', '1/8', '3/4', '6/7', '7/8'] -> ((3/4 / (1/7 - (1/8 * 6/7))) / 7/8)
[914696] ['1/7', '1/8', '3/4', '6/7', '8/7'] -> ((3/4 / (1/7 - (1/8 * 6/7))) * 8/7)
[914717] ['1/7', '1/8', '3/4', '7/2', '9/7'] -> (9/7 / ((1/7 + 1/8) - (3/4 / 7/2)))
[914721] ['1/7', '1/8', '3/4', '7/3', '7/5'] -> ((7/5 * (7/3 - (1/7 / 3/4))) / 1/8)
[914735] ['1/7', '1/8', '3/4', '7/4', '7/5'] -> ((((7/4 - 1/7) / 1/8) / 3/4) * 7/5)
[914736] ['1/7', '1/8', '3/4', '7/4', '7/6'] -> ((((3/4 / 1/7) - 7/4) / 1/8) / 7/6)
[914741] ['1/7', '1/8', '3/4', '7/4', '8/7'] -> (8/7 / (1/7 - ((1/8 / 3/4) / 7/4)))
[914744] ['1/7', '1/8', '3/4', '7/4', '9/4'] -> (9/4 / (3/4 * ((1/7 * 7/4) - 1/8)))
[914746] ['1/7', '1/8', '3/4', '7/4', '9/7'] -> (9/7 / (3/4 * (1/7 - (1/8 / 7/4))))
[914758] ['1/7', '1/8', '3/4', '7/5', '9/5'] -> (9/5 / (1/7 * ((7/5 - 1/8) - 3/4)))
[914762] ['1/7', '1/8', '3/4', '7/6', '7/8'] -> ((3/4 / (1/7 - (1/8 / 7/6))) / 7/8)
[914766] ['1/7', '1/8', '3/4', '7/6', '8/7'] -> ((3/4 / (1/7 - (1/8 / 7/6))) * 8/7)
[914768] ['1/7', '1/8', '3/4', '7/6', '9/2'] -> (9/2 / (3/4 * (1/7 + (1/8 / 7/6))))
[914779] ['1/7', '1/8', '3/4', '7/8', '9/2'] -> (9/2 / (3/4 * (1/8 + (1/7 * 7/8))))
[914792] ['1/7', '1/8', '3/4', '7/9', '9/7'] -> (9/7 / ((1/8 / 7/9) - (1/7 * 3/4)))
[914804] ['1/7', '1/8', '3/4', '8/5', '8/7'] -> ((3/4 / (1/8 - (1/7 / 8/5))) * 8/7)
[914813] ['1/7', '1/8', '3/4', '8/7', '9/2'] -> (9/2 / (3/4 * (1/8 + (1/7 / 8/7))))
[914815] ['1/7', '1/8', '3/4', '8/7', '9/5'] -> (((1/7 + (8/7 / 3/4)) / 1/8) * 9/5)
[914824] ['1/7', '1/8', '3/4', '9/2', '9/2'] -> (9/2 / (1/7 * (3/4 + (1/8 * 9/2))))
[914833] ['1/7', '1/8', '3/4', '9/5', '9/5'] -> (9/5 / (1/7 * (3/4 - (1/8 * 9/5))))
[914836] ['1/7', '1/8', '3/4', '9/7', '9/7'] -> (9/7 / ((1/8 * 9/7) - (1/7 * 3/4)))
[914839] ['1/7', '1/8', '3/5', '3/5', '3/5'] -> ((((3/5 / 1/7) - 3/5) - 3/5) / 1/8)
[914841] ['1/7', '1/8', '3/5', '3/5', '3/8'] -> (((3/5 / 1/7) + (3/5 / 1/8)) / 3/8)
[914850] ['1/7', '1/8', '3/5', '3/5', '5/7'] -> (5/7 / ((1/7 / 3/5) - (1/8 / 3/5)))
[914851] ['1/7', '1/8', '3/5', '3/5', '5/8'] -> ((((3/5 / 1/7) + 3/5) / 1/8) * 5/8)
[914853] ['1/7', '1/8', '3/5', '3/5', '6/5'] -> ((((3/5 / 1/7) - 3/5) / 1/8) / 6/5)
[914854] ['1/7', '1/8', '3/5', '3/5', '6/7'] -> ((3/5 / 3/5) / ((1/7 / 6/7) - 1/8))
[914855] ['1/7', '1/8', '3/5', '3/5', '7/2'] -> ((((3/5 / 3/5) - 1/7) / 1/8) * 7/2)
[914859] ['1/7', '1/8', '3/5', '3/5', '7/6'] -> ((3/5 / 3/5) / ((1/7 * 7/6) - 1/8))
[914862] ['1/7', '1/8', '3/5', '3/5', '8/3'] -> (((3/5 / 1/7) + (3/5 / 1/8)) * 8/3)
