[1425746] ['2/5', '4/3', '4/7', '5/4', '7/5'] -> 7/5 / (2/5 * (4/3 - 5/4) / 4/7)
[1426035] ['2/5', '4/3', '4/9', '4/9', '9/5'] -> 4/3 * 4/9 / (4/9 - 2/5) * 9/5
[1426054] ['2/5', '4/3', '4/9', '5/2', '8/3'] -> 8/3 / (2/5 * 5/2 - (4/3 - 4/9))
[1426078] ['2/5', '4/3', '4/9', '5/3', '8/3'] -> 8/3 / ((2/5 - 4/9 / 4/3) * 5/3)
[1426087] ['2/5', '4/3', '4/9', '5/4', '5/4'] -> 4/3 / (2/5 - 4/9 / 5/4) / 5/4
[1426091] ['2/5', '4/3', '4/9', '5/4', '5/9'] -> 4/9 / (4/3 - 5/4) / 2/5 / 5/9
[1426092] ['2/5', '4/3', '4/9', '5/4', '6/5'] -> 6/5 / (5/4 - 2/5 * 4/3 / 4/9)
[1426101] ['2/5', '4/3', '4/9', '5/4', '8/3'] -> 8/3 / ((2/5 * 4/3 - 4/9) * 5/4)
[1426107] ['2/5', '4/3', '4/9', '5/4', '9/5'] -> 4/9 / (4/3 - 5/4) / 2/5 * 9/5
[1426110] ['2/5', '4/3', '4/9', '5/6', '5/6'] -> 4/3 / (2/5 / 4/9 - 5/6) / 5/6
[1426114] ['2/5', '4/3', '4/9', '5/6', '6/5'] -> 4/3 / (2/5 / 4/9 - 5/6) * 6/5
[1426123] ['2/5', '4/3', '4/9', '5/6', '8/3'] -> 4/3 / 2/5 / 4/9 / 5/6 * 8/3
[1426127] ['2/5', '4/3', '4/9', '5/6', '9/2'] -> (4/3 + 4/9) / 2/5 / 5/6 * 9/2
[1426139] ['2/5', '4/3', '4/9', '5/7', '7/4'] -> 4/3 / (4/9 - 2/5) / 5/7 / 7/4
[1426145] ['2/5', '4/3', '4/9', '5/7', '8/5'] -> 8/5 / (4/9 / 4/3 / 5/7 - 2/5)
[1426154] ['2/5', '4/3', '4/9', '5/8', '5/9'] -> 4/3 / (5/8 - 2/5) / 4/9 / 5/9
[1426155] ['2/5', '4/3', '4/9', '5/8', '6/5'] -> 6/5 / (2/5 / 4/3 / 4/9 - 5/8)
[1426157] ['2/5', '4/3', '4/9', '5/8', '7/2'] -> 7/2 / ((4/9 - 2/5 * 5/8) / 4/3)
[1426164] ['2/5', '4/3', '4/9', '5/8', '8/3'] -> 8/3 / (4/9 - 2/5 * 4/3 * 5/8)
[1426165] ['2/5', '4/3', '4/9', '5/8', '8/5'] -> 8/5 / (2/5 / 4/9 - 4/3 * 5/8)
[1426167] ['2/5', '4/3', '4/9', '5/8', '8/9'] -> 8/9 / (4/3 * (4/9 - 2/5) * 5/8)
[1426170] ['2/5', '4/3', '4/9', '5/8', '9/5'] -> 4/3 / (5/8 - 2/5) / 4/9 * 9/5
[1426174] ['2/5', '4/3', '4/9', '5/9', '6/5'] -> 4/9 / (5/9 - 2/5 * 4/3) * 6/5
[1426184] ['2/5', '4/3', '4/9', '5/9', '8/5'] -> 8/5 / (2/5 + 4/9 + 5/9 - 4/3)
[1426186] ['2/5', '4/3', '4/9', '5/9', '8/9'] -> 8/9 / ((2/5 - 4/9 / 4/3) * 5/9)
[1426187] ['2/5', '4/3', '4/9', '5/9', '9/2'] -> (4/3 + 4/9 / 5/9) / 2/5 * 9/2
[1426192] ['2/5', '4/3', '4/9', '6/5', '6/5'] -> (4/3 / (4/9 - 2/5) - 6/5) / 6/5
[1426202] ['2/5', '4/3', '4/9', '6/5', '8/5'] -> 4/3 / (6/5 - 4/9 / 2/5) * 8/5
[1426205] ['2/5', '4/3', '4/9', '6/5', '9/2'] -> (4/3 + 4/9) * 6/5 / 2/5 * 9/2
[1426221] ['2/5', '4/3', '4/9', '6/7', '8/9'] -> 8/9 / (4/3 - 4/9 / 2/5 / 6/7)
[1426239] ['2/5', '4/3', '4/9', '7/2', '9/4'] -> 4/3 * 7/2 / 2/5 / 4/9 - 9/4
[1426254] ['2/5', '4/3', '4/9', '7/3', '9/4'] -> 7/3 / (2/5 * 4/3 - 4/9) - 9/4
[1426255] ['2/5', '4/3', '4/9', '7/3', '9/5'] -> (4/3 / 4/9 + 7/3) / 2/5 * 9/5
[1426259] ['2/5', '4/3', '4/9', '7/4', '7/5'] -> 7/5 / ((4/9 - 2/5) * 7/4 / 4/3)
[1426263] ['2/5', '4/3', '4/9', '7/4', '8/3'] -> 4/9 / (7/4 - 2/5 - 4/3) - 8/3
[1426268] ['2/5', '4/3', '4/9', '7/4', '9/4'] -> 7/4 / (2/5 - 4/9 / 4/3) - 9/4
[1426274] ['2/5', '4/3', '4/9', '7/5', '7/8'] -> 7/5 / (2/5 - 4/9 / 4/3) / 7/8
[1426277] ['2/5', '4/3', '4/9', '7/5', '8/5'] -> 8/5 / (4/9 * 7/5 / 4/3 - 2/5)
[1426291] ['2/5', '4/3', '4/9', '7/6', '8/9'] -> 8/9 / (4/3 - 4/9 * 7/6 / 2/5)
[1426304] ['2/5', '4/3', '4/9', '7/8', '9/4'] -> 4/3 * 7/8 / (4/9 - 2/5) - 9/4
[1426310] ['2/5', '4/3', '4/9', '7/9', '8/5'] -> 8/5 / (7/9 - 2/5 * (4/3 + 4/9))
[1426322] ['2/5', '4/3', '4/9', '8/3', '9/2'] -> (4/9 + 8/3 / 2/5) / 4/3 * 9/2
[1426327] ['2/5', '4/3', '4/9', '8/5', '8/5'] -> 8/5 / (2/5 / 4/9 - 4/3 / 8/5)
[1426329] ['2/5', '4/3', '4/9', '8/5', '8/9'] -> 8/5 / (4/9 - 2/5) / 4/3 * 8/9
[1426334] ['2/5', '4/3', '4/9', '8/5', '9/8'] -> 8/5 / (4/9 - 2/5) / 4/3 / 9/8
[1426338] ['2/5', '4/3', '4/9', '8/7', '9/4'] -> 4/3 / (4/9 - 2/5) / 8/7 - 9/4
[1426346] ['2/5', '4/3', '4/9', '8/9', '9/7'] -> (8/9 / (4/9 - 2/5) - 4/3) * 9/7
[1426354] ['2/5', '4/3', '4/9', '9/4', '9/5'] -> 4/3 / (4/9 - 2/5) / 9/4 * 9/5
[1426359] ['2/5', '4/3', '4/9', '9/5', '9/8'] -> 9/5 / (2/5 - 4/9 / 4/3) / 9/8
[1426365] ['2/5', '4/3', '5/2', '5/2', '5/4'] -> 2/5 * (5/2 + 5/2) / (4/3 - 5/4)
[1426383] ['2/5', '4/3', '5/2', '5/2', '9/2'] -> (5/2 + 5/2) * (2/5 / 4/3 + 9/2)
[1426403] ['2/5', '4/3', '5/2', '5/3', '8/3'] -> 8/3 / 2/5 / (5/2 - 4/3 * 5/3)
[1426404] ['2/5', '4/3', '5/2', '5/3', '8/5'] -> 8/5 / 2/5 / (5/2 / 5/3 - 4/3)
[1426407] ['2/5', '4/3', '5/2', '5/3', '9/2'] -> (5/2 + 5/3 / 2/5 - 4/3) * 9/2
[1426416] ['2/5', '4/3', '5/2', '5/4', '5/9'] -> 4/3 / (5/4 / 5/2 - 2/5) / 5/9
[1426432] ['2/5', '4/3', '5/2', '5/4', '9/5'] -> 4/3 / (5/4 / 5/2 - 2/5) * 9/5
[1426435] ['2/5', '4/3', '5/2', '5/6', '5/6'] -> 4/3 / (2/5 - 5/6 / 5/2) / 5/6
[1426439] ['2/5', '4/3', '5/2', '5/6', '6/5'] -> 4/3 / (2/5 - 5/6 / 5/2) * 6/5
[1426449] ['2/5', '4/3', '5/2', '5/6', '8/5'] -> 8/5 / (2/5 + 4/3 + 5/6 - 5/2)
[1426461] ['2/5', '4/3', '5/2', '5/7', '6/7'] -> 6/7 / (2/5 * 5/2 / 4/3 - 5/7)
[1426470] ['2/5', '4/3', '5/2', '5/7', '8/5'] -> 8/5 / (2/5 * 5/2 / 5/7 - 4/3)
[1426480] ['2/5', '4/3', '5/2', '5/8', '6/5'] -> 6/5 / (2/5 / 4/3 - 5/8 / 5/2)
[1426490] ['2/5', '4/3', '5/2', '5/8', '8/5'] -> 8/5 / (2/5 - 4/3 * 5/8 / 5/2)
[1426508] ['2/5', '4/3', '5/2', '5/9', '8/3'] -> 8/3 / (4/3 - 2/5 * (5/2 + 5/9))
[1426509] ['2/5', '4/3', '5/2', '5/9', '8/5'] -> 4/3 * 5/2 / 2/5 / 5/9 * 8/5
[1426544] ['2/5', '4/3', '5/2', '6/7', '8/5'] -> 8/5 / (4/3 / 5/2 - 2/5 / 6/7)
[1426561] ['2/5', '4/3', '5/2', '7/2', '8/7'] -> 8/7 / (5/2 * (2/5 - 4/3 / 7/2))
[1426570] ['2/5', '4/3', '5/2', '7/3', '7/5'] -> 7/5 / (7/3 - 5/2 / 4/3 - 2/5)
[1426579] ['2/5', '4/3', '5/2', '7/3', '9/4'] -> (4/3 * 5/2 / 2/5 + 7/3) * 9/4
[1426593] ['2/5', '4/3', '5/2', '7/4', '9/4'] -> 4/3 * (5/2 / 2/5 + 7/4) * 9/4
[1426603] ['2/5', '4/3', '5/2', '7/5', '8/7'] -> 8/7 / (2/5 * 5/2 - 4/3 / 7/5)
[1426607] ['2/5', '4/3', '5/2', '7/5', '9/5'] -> 9/5 / (5/2 / 4/3 - 2/5 - 7/5)
[1426624] ['2/5', '4/3', '5/2', '7/8', '8/3'] -> 4/3 / (2/5 - 7/8 / 5/2) - 8/3
[1426629] ['2/5', '4/3', '5/2', '7/8', '9/4'] -> 4/3 / (2/5 * 5/2 - 7/8) * 9/4
[1426635] ['2/5', '4/3', '5/2', '7/9', '8/5'] -> 4/3 / (2/5 - 7/9 / 5/2) * 8/5
[1426636] ['2/5', '4/3', '5/2', '7/9', '8/7'] -> 8/7 / (4/3 - 2/5 * 5/2 / 7/9)
[1426637] ['2/5', '4/3', '5/2', '7/9', '8/9'] -> 8/9 / (4/3 * 7/9 - 2/5 * 5/2)
[1426674] ['2/5', '4/3', '5/2', '9/2', '9/4'] -> (4/3 / 2/5 + 5/2) * 9/2 - 9/4
[1426675] ['2/5', '4/3', '5/2', '9/2', '9/5'] -> 9/5 / (5/2 / 4/3 - 2/5 * 9/2)
[1426704] ['2/5', '4/3', '5/3', '5/3', '8/5'] -> 8/5 / (2/5 + 5/3 / 5/3 - 4/3)
[1426738] ['2/5', '4/3', '5/3', '5/6', '5/9'] -> 4/3 / (5/6 / 5/3 - 2/5) / 5/9
[1426752] ['2/5', '4/3', '5/3', '5/6', '9/2'] -> (4/3 / 2/5 + 5/3 / 5/6) * 9/2
[1426754] ['2/5', '4/3', '5/3', '5/6', '9/5'] -> 4/3 / (5/6 / 5/3 - 2/5) * 9/5
[1426761] ['2/5', '4/3', '5/3', '5/7', '6/7'] -> 4/3 / (5/7 - 2/5 * 5/3) * 6/7
[1426766] ['2/5', '4/3', '5/3', '5/7', '7/6'] -> 4/3 / (5/7 - 2/5 * 5/3) / 7/6
[1426770] ['2/5', '4/3', '5/3', '5/7', '8/5'] -> 8/5 / ((5/3 - 4/3) / 5/7 - 2/5)
[1426779] ['2/5', '4/3', '5/3', '5/8', '5/9'] -> (4/3 + 5/3) / (5/8 - 2/5) / 5/9
[1426790] ['2/5', '4/3', '5/3', '5/8', '8/5'] -> 8/5 / (4/3 / 5/8 - 2/5 - 5/3)
[1426793] ['2/5', '4/3', '5/3', '5/8', '9/2'] -> (5/3 / 2/5 / 5/8 - 4/3) * 9/2
[1426799] ['2/5', '4/3', '5/3', '5/9', '6/5'] -> 4/3 / (2/5 - 5/9 / 5/3) * 6/5
[1426809] ['2/5', '4/3', '5/3', '5/9', '8/5'] -> 8/5 / ((4/3 - 5/9) / 5/3 - 2/5)
[1426830] ['2/5', '4/3', '5/3', '6/5', '9/2'] -> (4/3 / 2/5 + 5/3 * 6/5) * 9/2
[1426845] ['2/5', '4/3', '5/3', '6/7', '8/7'] -> 8/7 / (4/3 - 6/7 / 2/5 / 5/3)
[1426865] ['2/5', '4/3', '5/3', '7/2', '9/5'] -> (5/3 + 4/3 * 7/2 / 2/5) * 9/5
[1426875] ['2/5', '4/3', '5/3', '7/3', '8/5'] -> 8/5 / (2/5 - 4/3 / (5/3 + 7/3))
[1426893] ['2/5', '4/3', '5/3', '7/4', '9/4'] -> 7/4 / (2/5 + 4/3 - 5/3) - 9/4
[1426899] ['2/5', '4/3', '5/3', '7/5', '7/8'] -> 7/5 / (2/5 + 4/3 - 5/3) / 7/8
[1426901] ['2/5', '4/3', '5/3', '7/5', '8/3'] -> (4/3 + (5/3 + 7/5) / 2/5) * 8/3
[1426913] ['2/5', '4/3', '5/3', '7/6', '8/3'] -> 8/3 / (2/5 * 5/3 * (4/3 - 7/6))
[1426919] ['2/5', '4/3', '5/3', '7/6', '9/5'] -> 4/3 / (5/3 - 2/5 - 7/6) * 9/5
[1426929] ['2/5', '4/3', '5/3', '7/8', '9/4'] -> 4/3 / (7/8 / 5/3 - 2/5) * 9/4
[1426930] ['2/5', '4/3', '5/3', '7/8', '9/5'] -> 9/5 / ((5/3 - 2/5) / 4/3 - 7/8)
[1426953] ['2/5', '4/3', '5/3', '8/5', '8/7'] -> 8/7 / (8/5 / (4/3 - 2/5) - 5/3)
[1426955] ['2/5', '4/3', '5/3', '8/5', '9/2'] -> (5/3 * 8/5 / 2/5 - 4/3) * 9/2
[1426962] ['2/5', '4/3', '5/3', '8/7', '9/2'] -> (5/3 / 2/5 + 4/3 / 8/7) * 9/2
[1426970] ['2/5', '4/3', '5/3', '8/9', '9/5'] -> 8/9 / (2/5 + 4/3 - 5/3) * 9/5
[1426974] ['2/5', '4/3', '5/3', '9/2', '9/4'] -> 5/3 * (2/5 + 4/3 * 9/2) * 9/4
[1426975] ['2/5', '4/3', '5/3', '9/2', '9/5'] -> (4/3 * 9/2 / 2/5 - 5/3) * 9/5
[1426984] ['2/5', '4/3', '5/3', '9/5', '9/8'] -> 9/5 / (2/5 + 4/3 - 5/3) / 9/8
[1426993] ['2/5', '4/3', '5/4', '5/4', '6/5'] -> (2/5 + 6/5) / ((4/3 - 5/4) / 5/4)
[1427003] ['2/5', '4/3', '5/4', '5/4', '8/5'] -> 8/5 / (2/5 + 5/4 / 5/4 - 4/3)
[1427015] ['2/5', '4/3', '5/4', '5/6', '6/5'] -> 6/5 / (2/5 + 5/4 - 4/3 / 5/6)
[1427025] ['2/5', '4/3', '5/4', '5/6', '8/5'] -> 8/5 / (2/5 * (5/4 / 5/6 - 4/3))
[1427037] ['2/5', '4/3', '5/4', '5/7', '6/7'] -> 6/7 / (5/7 / 4/3 - 2/5 * 5/4)
[1427055] ['2/5', '4/3', '5/4', '5/8', '5/9'] -> 4/3 / (5/8 / 5/4 - 2/5) / 5/9
[1427070] ['2/5', '4/3', '5/4', '5/8', '9/4'] -> 4/3 / (5/8 - 2/5 * 5/4) * 9/4
[1427071] ['2/5', '4/3', '5/4', '5/8', '9/5'] -> 4/3 / (5/8 / 5/4 - 2/5) * 9/5
[1427077] ['2/5', '4/3', '5/4', '5/9', '7/2'] -> 7/2 / (5/4 * (5/9 - 2/5) / 4/3)
[1427085] ['2/5', '4/3', '5/4', '5/9', '8/5'] -> 8/5 / (2/5 - 5/9 / 4/3 / 5/4)
[1427094] ['2/5', '4/3', '5/4', '6/5', '6/7'] -> 6/7 / (6/5 / (4/3 - 2/5) - 5/4)
[1427107] ['2/5', '4/3', '5/4', '6/5', '9/4'] -> 2/5 * 4/3 / (5/4 - 6/5) * 9/4
[1427160] ['2/5', '4/3', '5/4', '7/4', '7/5'] -> 7/5 / (2/5 * (4/3 - 5/4) * 7/4)
[1427170] ['2/5', '4/3', '5/4', '7/4', '9/5'] -> 4/3 / (7/4 - 2/5 - 5/4) * 9/5
[1427178] ['2/5', '4/3', '5/4', '7/5', '8/5'] -> 8/5 / (2/5 + 4/3 / 5/4 - 7/5)
[1427181] ['2/5', '4/3', '5/4', '7/5', '9/2'] -> 4/3 / (2/5 + 5/4 - 7/5) * 9/2
[1427193] ['2/5', '4/3', '5/4', '7/6', '9/2'] -> (4/3 * 5/4 / 2/5 + 7/6) * 9/2
[1427195] ['2/5', '4/3', '5/4', '7/6', '9/5'] -> 9/5 / (5/4 - (2/5 + 7/6) / 4/3)
[1427205] ['2/5', '4/3', '5/4', '7/8', '9/4'] -> 7/8 / (4/3 - 5/4) / 2/5 - 9/4
[1427206] ['2/5', '4/3', '5/4', '7/8', '9/5'] -> 9/5 / (5/4 - 2/5 / 4/3 - 7/8)
[1427211] ['2/5', '4/3', '5/4', '7/9', '8/5'] -> 8/5 / (7/9 / 4/3 / 5/4 - 2/5)
[1427220] ['2/5', '4/3', '5/4', '8/3', '8/5'] -> 8/5 / (2/5 / 8/3 - (4/3 - 5/4))
[1427223] ['2/5', '4/3', '5/4', '8/3', '9/2'] -> (4/3 / 2/5 / 5/4 + 8/3) * 9/2
[1427231] ['2/5', '4/3', '5/4', '8/5', '9/2'] -> (4/3 / 2/5 + 5/4 * 8/5) * 9/2
[1427254] ['2/5', '4/3', '5/4', '9/4', '9/4'] -> 9/4 / (5/4 / 2/5 / 4/3 - 9/4)
[1427261] ['2/5', '4/3', '5/4', '9/7', '9/7'] -> 9/7 / (5/4 / (4/3 - 2/5) - 9/7)
[1427264] ['2/5', '4/3', '5/6', '5/6', '5/6'] -> 4/3 / (5/6 - 5/6 * 5/6) / 2/5
[1427277] ['2/5', '4/3', '5/6', '5/6', '8/3'] -> 8/3 / 2/5 / (4/3 * 5/6 - 5/6)
[1427281] ['2/5', '4/3', '5/6', '5/6', '9/2'] -> 9/2 / ((5/6 / 4/3 - 2/5) * 5/6)
[1427295] ['2/5', '4/3', '5/6', '5/7', '7/6'] -> 4/3 / (5/6 - 5/7) / 2/5 / 7/6
[1427299] ['2/5', '4/3', '5/6', '5/7', '8/5'] -> 8/5 / (2/5 * (4/3 - 5/6 / 5/7))
[1427300] ['2/5', '4/3', '5/6', '5/7', '8/7'] -> 8/7 / (2/5 * (4/3 * 5/7 - 5/6))
[1427311] ['2/5', '4/3', '5/6', '5/8', '7/2'] -> 7/2 / (2/5 * (5/6 - 5/8 / 4/3))
[1427318] ['2/5', '4/3', '5/6', '5/8', '8/3'] -> 8/3 / (2/5 * 4/3 * (5/6 - 5/8))
[1427322] ['2/5', '4/3', '5/6', '5/8', '9/2'] -> 9/2 / ((5/6 - 2/5 * 4/3) * 5/8)
[1427331] ['2/5', '4/3', '5/6', '5/9', '7/3'] -> 4/3 / (5/9 - 2/5) / 5/6 * 7/3
[1427340] ['2/5', '4/3', '5/6', '5/9', '8/9'] -> 8/9 / (2/5 * (5/6 - 4/3 * 5/9))
[1427355] ['2/5', '4/3', '5/6', '6/5', '8/3'] -> 8/3 / 2/5 / (4/3 / 6/5 - 5/6)
[1427359] ['2/5', '4/3', '5/6', '6/5', '9/2'] -> 6/5 / (5/6 / 4/3 - 2/5) * 9/2
[1427364] ['2/5', '4/3', '5/6', '6/7', '6/7'] -> 6/7 / (5/6 / (4/3 - 2/5) - 6/7)
[1427390] ['2/5', '4/3', '5/6', '7/2', '8/7'] -> 8/7 / (4/3 / 7/2 - 2/5 * 5/6)
[1427392] ['2/5', '4/3', '5/6', '7/2', '9/2'] -> ((7/2 - 5/6) / 2/5 - 4/3) * 9/2
[1427409] ['2/5', '4/3', '5/6', '7/3', '9/5'] -> 4/3 / (2/5 * 7/3 - 5/6) * 9/5
[1427421] ['2/5', '4/3', '5/6', '7/4', '9/2'] -> 9/2 / (7/4 - 5/6 / 2/5 / 4/3)
[1427423] ['2/5', '4/3', '5/6', '7/4', '9/5'] -> 9/5 / (2/5 * 7/4 - 5/6 / 4/3)
[1427430] ['2/5', '4/3', '5/6', '7/5', '8/3'] -> 8/3 / (2/5 + 4/3 * 5/6 - 7/5)
[1427431] ['2/5', '4/3', '5/6', '7/5', '8/5'] -> 8/5 / (2/5 * (4/3 - 5/6 * 7/5))
[1427432] ['2/5', '4/3', '5/6', '7/5', '8/7'] -> 8/7 / (2/5 * (4/3 / 7/5 - 5/6))
[1427443] ['2/5', '4/3', '5/6', '7/6', '8/5'] -> 8/5 / (2/5 - 5/6 / (4/3 + 7/6))
[1427446] ['2/5', '4/3', '5/6', '7/6', '9/2'] -> (4/3 / 2/5 + 5/6 + 7/6) * 9/2
[1427454] ['2/5', '4/3', '5/6', '7/8', '8/5'] -> 8/5 / (2/5 + 5/6 - 4/3 * 7/8)
[1427463] ['2/5', '4/3', '5/6', '7/9', '8/3'] -> 8/3 / (2/5 * (5/6 + 7/9 - 4/3))
[1427464] ['2/5', '4/3', '5/6', '7/9', '8/5'] -> 8/5 / (2/5 + 7/9 - 4/3 * 5/6)
[1427476] ['2/5', '4/3', '5/6', '8/3', '9/2'] -> (2/5 + 4/3 / 5/6) * 8/3 * 9/2
[1427478] ['2/5', '4/3', '5/6', '8/3', '9/5'] -> 8/3 / (4/3 - 5/6) / 2/5 * 9/5
[1427484] ['2/5', '4/3', '5/6', '8/5', '9/2'] -> 8/5 / (5/6 - 2/5 * 4/3) * 9/2
[1427489] ['2/5', '4/3', '5/6', '8/7', '8/7'] -> 8/7 / (4/3 - 5/6 * (2/5 + 8/7))
[1427496] ['2/5', '4/3', '5/6', '8/9', '8/9'] -> 8/9 / (5/6 * (4/3 - 2/5 - 8/9))
[1427502] ['2/5', '4/3', '5/6', '9/2', '9/2'] -> 5/6 * (2/5 + 4/3 * 9/2) * 9/2
[1427530] ['2/5', '4/3', '5/7', '5/7', '8/5'] -> 8/5 / (2/5 + 5/7 / 5/7 - 4/3)
[1427541] ['2/5', '4/3', '5/7', '5/8', '6/7'] -> 6/7 / (2/5 * (5/8 - 5/7 / 4/3))
[1427545] ['2/5', '4/3', '5/7', '5/8', '7/5'] -> 7/5 / (4/3 - 5/8 / 5/7 - 2/5)
[1427566] ['2/5', '4/3', '5/7', '5/9', '7/8'] -> 4/3 / (5/7 - 5/9) / 2/5 / 7/8
[1427568] ['2/5', '4/3', '5/7', '5/9', '8/3'] -> 8/3 / ((4/3 - 2/5) * 5/7 - 5/9)
[1427570] ['2/5', '4/3', '5/7', '5/9', '8/7'] -> 4/3 / (5/7 - 5/9) / 2/5 * 8/7
[1427588] ['2/5', '4/3', '5/7', '6/5', '8/7'] -> 8/7 / (2/5 * 4/3 + 5/7 - 6/5)
[1427620] ['2/5', '4/3', '5/7', '7/2', '8/5'] -> 8/5 / (2/5 + 4/3 / 7/2 - 5/7)
[1427621] ['2/5', '4/3', '5/7', '7/2', '8/7'] -> 8/7 / (5/7 * (2/5 * 7/2 - 4/3))
[1427650] ['2/5', '4/3', '5/7', '7/4', '8/7'] -> 8/7 / (4/3 * (5/7 / 2/5 - 7/4))
[1427675] ['2/5', '4/3', '5/7', '7/6', '8/7'] -> 8/7 / (2/5 * 5/7 * (4/3 - 7/6))
[1427688] ['2/5', '4/3', '5/7', '7/8', '9/2'] -> 4/3 / 2/5 / 5/7 / 7/8 * 9/2
[1427705] ['2/5', '4/3', '5/7', '8/3', '8/7'] -> 8/7 / (5/7 + 8/3 - 4/3 / 2/5)
[1427708] ['2/5', '4/3', '5/7', '8/3', '9/4'] -> (4/3 + 8/3 / 2/5 / 5/7) * 9/4
[1427745] ['2/5', '4/3', '5/7', '9/7', '9/7'] -> 9/7 / (5/7 / 2/5 / 4/3 - 9/7)
[1427763] ['2/5', '4/3', '5/8', '5/8', '9/2'] -> 9/2 / 4/3 / ((5/8 - 2/5) * 5/8)
[1427773] ['2/5', '4/3', '5/8', '5/9', '7/4'] -> 4/3 / (5/9 - 2/5) / 5/8 * 7/4
[1427778] ['2/5', '4/3', '5/8', '5/9', '8/3'] -> 8/3 / (2/5 * (4/3 * 5/8 - 5/9))
[1427781] ['2/5', '4/3', '5/8', '5/9', '8/9'] -> 8/9 / (2/5 * 4/3 * (5/8 - 5/9))
[1427783] ['2/5', '4/3', '5/8', '5/9', '9/4'] -> 4/3 / (5/8 - 2/5) / 5/9 * 9/4
[1427814] ['2/5', '4/3', '5/8', '6/7', '8/5'] -> 8/5 - 2/5 / (5/8 - 6/7 / 4/3)
[1427815] ['2/5', '4/3', '5/8', '6/7', '8/7'] -> 8/7 / (5/8 * (4/3 - 2/5 - 6/7))
[1427834] ['2/5', '4/3', '5/8', '7/2', '9/4'] -> (7/2 / 5/8 - 4/3) / 2/5 * 9/4
[1427836] ['2/5', '4/3', '5/8', '7/2', '9/7'] -> 9/7 / (2/5 * 5/8 / 4/3 / 7/2)
