[1019617] ['1/7', '5/4', '7/4', '8/5', '9/5'] -> (7/4 + 8/5) / 1/7 - 5/4 + 9/5
)[1020156] ['1/7', '5/6', '5/6', '5/8', '7/9'] -> (5/6 + 5/6) / 1/7 / 5/8 / 7/9
[1020162] ['1/7', '5/6', '5/6', '5/8', '9/4'] -> (5/6 / 1/7 + 5/6) / 5/8 * 9/4
[1020176] ['1/7', '5/6', '5/6', '5/9', '8/3'] -> (5/6 / 1/7 - 5/6) / 5/9 * 8/3
[1020195] ['1/7', '5/6', '5/6', '6/5', '8/5'] -> (8/5 / (1/7 * (5/6 + 5/6)) - 6/5))
[1020196] ['1/7', '5/6', '5/6', '6/5', '8/7'] -> 8/7 / (5/6 * (6/5 - 1/7) - 5/6)
[1020202] ['1/7', '5/6', '5/6', '6/5', '9/8'] -> 5/6 * 6/5 / 1/7 / (9/8 - 5/6)
[1020209] ['1/7', '5/6', '5/6', '6/7', '7/8'] -> (5/6 + 1/7 / 6/7) / (7/8 - 5/6)
[1020224] ['1/7', '5/6', '5/6', '7/2', '7/6'] -> 7/2 / 1/7 - 5/6 - 5/6 + 7/6
[1020232] ['1/7', '5/6', '5/6', '7/2', '9/4'] -> (5/6 + 5/6 * 7/2) / 1/7 - 9/4
[1020239] ['1/7', '5/6', '5/6', '7/3', '7/6'] -> (5/6 + 5/6 + 7/3) / 1/7 / 7/6
[1020245] ['1/7', '5/6', '5/6', '7/3', '8/9'] -> ((5/6 + 7/3) / 1/7 - 5/6) / 8/9
[1020250] ['1/7', '5/6', '5/6', '7/3', '9/8'] -> ((5/6 + 7/3) / 1/7 - 5/6) * 9/8
[1020269] ['1/7', '5/6', '5/6', '7/5', '8/3'] -> (5/6 + 5/6 * 7/5 / 1/7) * 8/3
[1020271] ['1/7', '5/6', '5/6', '7/5', '8/7'] -> (8/7 / (1/7 * (5/6 * 7/5)) - 5/6))
[1020279] ['1/7', '5/6', '5/6', '7/6', '7/8'] -> (5/6 + 1/7 * 7/6) / (7/8 - 5/6)
[1020289] ['1/7', '5/6', '5/6', '7/6', '9/8'] -> (5/6 / 1/7 + 7/6) / (9/8 - 5/6)
[1020298] ['1/7', '5/6', '5/6', '7/8', '9/5'] -> (5/6 + 5/6) / 1/7 / 7/8 * 9/5
[1020303] ['1/7', '5/6', '5/6', '7/9', '8/5'] -> (5/6 + 5/6) / 1/7 / 7/9 * 8/5
[1020308] ['1/7', '5/6', '5/6', '7/9', '9/5'] -> (5/6 + 5/6 / 7/9) / 1/7 * 9/5
[1020311] ['1/7', '5/6', '5/6', '8/3', '8/3'] -> ((5/6 + 5/6) / 1/7 - 8/3) * 8/3
[1020317] ['1/7', '5/6', '5/6', '8/3', '9/5'] -> (5/6 / 1/7 - 5/6) * 8/3 * 9/5
[1020324] ['1/7', '5/6', '5/6', '8/5', '9/4'] -> (5/6 / 1/7 + 5/6) * 8/5 * 9/4
[1020326] ['1/7', '5/6', '5/6', '8/5', '9/7'] -> (5/6 + 5/6) * 8/5 / 1/7 * 9/7
[1020332] ['1/7', '5/6', '5/6', '8/7', '9/5'] -> (5/6 + 5/6) * 8/7 / 1/7 * 9/5
[1020341] ['1/7', '5/6', '5/6', '9/2', '9/2'] -> 9/2 / 1/7 - (5/6 + 5/6) * 9/2
[1020346] ['1/7', '5/6', '5/6', '9/4', '9/4'] -> (5/6 + 5/6) * 9/4 / 1/7 - 9/4
[1020361] ['1/7', '5/6', '5/7', '5/7', '7/2'] -> (5/7 / 1/7 + 5/7) / 5/6 * 7/2
[1020363] ['1/7', '5/6', '5/7', '5/7', '7/4'] -> 5/7 / (((5/6 - 5/7) * /7) * /4
)[1020376] ['1/7', '5/6', '5/7', '5/7', '9/8'] -> (5/7 / ((1/7 * /7) * 9/8) - 5/6))
[1020390] ['1/7', '5/6', '5/7', '5/8', '8/7'] -> 8/7 / ((5/6 - 5/7) / 5/8 - 1/7)
[1020393] ['1/7', '5/6', '5/7', '5/8', '9/4'] -> 5/8 / (1/7 + 5/7 - 5/6) - 9/4
[1020408] ['1/7', '5/6', '5/7', '5/9', '8/5'] -> 8/5 / (1/7 / (5/7 - 5/9) - 5/6)
[1020409] ['1/7', '5/6', '5/7', '5/9', '8/7'] -> 8/7 / ((5/7 - 5/9) / 5/6 - 1/7)
[1020412] ['1/7', '5/6', '5/7', '5/9', '9/4'] -> (5/7 + 5/9) / 1/7 / 5/6 * 9/4
[1020434] ['1/7', '5/6', '5/7', '6/7', '6/7'] -> 5/7 / (6/7 - 5/6) - 6/7 / 1/7
[1020444] ['1/7', '5/6', '5/7', '6/7', '8/7'] -> 8/7 / (1/7 / 6/7 - (5/6 - 5/7))
[1020456] ['1/7', '5/6', '5/7', '7/2', '7/8'] -> 5/7 * 7/2 / 1/7 / 5/6 / 7/8
[1020460] ['1/7', '5/6', '5/7', '7/2', '8/7'] -> 5/7 * 7/2 / 1/7 / 5/6 * 8/7
[1020464] ['1/7', '5/6', '5/7', '7/2', '9/5'] -> 5/7 * (7/2 - 5/6) / 1/7 * 9/5
[1020496] ['1/7', '5/6', '5/7', '7/5', '7/5'] -> 7/5 / (5/6 / (5/7 - 1/7) - 7/5)
[1020504] ['1/7', '5/6', '5/7', '7/5', '9/2'] -> 5/6 * (5/7 / 1/7 + 7/5) * 9/2
[1020512] ['1/7', '5/6', '5/7', '7/6', '8/3'] -> (5/6 + 7/6 - 5/7) / 1/7 * 8/3
[1020513] ['1/7', '5/6', '5/7', '7/6', '8/5'] -> 5/7 / ((7/6 - 5/6) * /7) * 8/5
[1020514] ['1/7', '5/6', '5/7', '7/6', '8/7'] -> 8/7 / (1/7 * 7/6 - (5/6 - 5/7))
[1020527] ['1/7', '5/6', '5/7', '7/8', '9/2'] -> 9/2 / (7/8 / (1/7 + 5/7) - 5/6)
[1020552] ['1/7', '5/6', '5/7', '8/5', '8/7'] -> 8/7 / ((5/6 - 5/7) * 8/5 - 1/7)
[1020567] ['1/7', '5/6', '5/7', '8/9', '9/2'] -> 5/7 * 8/9 / 1/7 / 5/6 * 9/2
[1020568] ['1/7', '5/6', '5/7', '8/9', '9/4'] -> 5/6 / (8/9 - 1/7 - 5/7) - 9/4
[1020573] ['1/7', '5/6', '5/7', '9/2', '9/4'] -> (5/6 + 5/7 / 1/7) * 9/2 - 9/4
[1020576] ['1/7', '5/6', '5/7', '9/2', '9/8'] -> 5/7 * 9/2 / 1/7 / 5/6 / 9/8
[1020577] ['1/7', '5/6', '5/7', '9/4', '9/4'] -> (5/7 / 5/6 + 9/4) / 1/7 + 9/4
[1020579] ['1/7', '5/6', '5/7', '9/4', '9/7'] -> 9/7 / ((1/7 + 5/7 - 5/6) * 9/4)
[1020587] ['1/7', '5/6', '5/8', '5/8', '5/8'] -> (5/8 / 1/7 + 5/8) / (5/6 - 5/8)
[1020596] ['1/7', '5/6', '5/8', '5/8', '7/8'] -> 5/8 / (((5/6 - 5/8) * /7) * /8
)[1020600] ['1/7', '5/6', '5/8', '5/8', '8/7'] -> 5/8 / ((5/6 - 5/8) * /7) * 8/7
[1020606] ['1/7', '5/6', '5/8', '5/8', '9/8'] -> (5/8 / ((1/7 * /8) * 9/8) - 5/6))
[1020607] ['1/7', '5/6', '5/8', '5/9', '5/9'] -> 5/9 / (1/7 * (5/8 - 5/6 * 5/9))
[1020610] ['1/7', '5/6', '5/8', '5/9', '7/2'] -> 5/6 / (((5/8 - 5/9) * /7) * /2
)[1020617] ['1/7', '5/6', '5/8', '5/9', '8/3'] -> 8/3 / (1/7 * (5/6 / 5/8 - 5/9))
[1020624] ['1/7', '5/6', '5/8', '5/9', '9/7'] -> 9/7 * 5/9 / (1/7 * (5/6 - 5/8))
[1020627] ['1/7', '5/6', '5/8', '6/5', '6/7'] -> 6/7 / (1/7 * (5/6 - 5/8) * 6/5)
[1020642] ['1/7', '5/6', '5/8', '6/5', '9/7'] -> 9/7 / (1/7 * (5/6 * 6/5 - 5/8))
[1020659] ['1/7', '5/6', '5/8', '6/7', '9/7'] -> 9/7 / (1/7 + 5/8 - 5/6 * 6/7)
[1020661] ['1/7', '5/6', '5/8', '7/2', '7/2'] -> 7/2 / (5/6 * 5/8 / 1/7 - 7/2)
[1020684] ['1/7', '5/6', '5/8', '7/3', '8/5'] -> (7/3 / 1/7 - 5/6 / 5/8) * 8/5
[1020687] ['1/7', '5/6', '5/8', '7/3', '9/2'] -> 9/2 / (5/6 * 5/8 - 1/7 * 7/3)
[1020701] ['1/7', '5/6', '5/8', '7/4', '9/2'] -> 5/6 / (1/7 * /8 * /4) * 9/2
[1020706] ['1/7', '5/6', '5/8', '7/5', '7/5'] -> 7/5 / ((5/6 - 5/8) / 1/7 - 7/5)
[1020723] ['1/7', '5/6', '5/8', '7/6', '8/5'] -> (5/6 + 7/6) / 1/7 / 5/8 + 8/5
[1020729] ['1/7', '5/6', '5/8', '7/6', '9/7'] -> 9/7 / (1/7 + 5/8 - 5/6 / 7/6)
[1020735] ['1/7', '5/6', '5/8', '7/8', '8/7'] -> 8/7 / (1/7 * 5/8 + 5/6 - 7/8)
[1020738] ['1/7', '5/6', '5/8', '7/8', '9/4'] -> 5/6 / (1/7 * /8 * /8) * 9/4
[1020755] ['1/7', '5/6', '5/8', '8/3', '8/9'] -> 5/6 * 8/3 / 1/7 / 5/8 - 8/9
[1020760] ['1/7', '5/6', '5/8', '8/3', '9/8'] -> 5/8 + (5/6 + 8/3) / 1/7 - 9/8
[1020762] ['1/7', '5/6', '5/8', '8/5', '8/7'] -> 8/7 / (1/7 * (5/6 - 5/8) * 8/5)
[1020769] ['1/7', '5/6', '5/8', '8/7', '8/7'] -> 8/7 / (5/6 / 5/8 - 1/7 - 8/7)
[1020772] ['1/7', '5/6', '5/8', '8/7', '9/4'] -> 5/6 * 8/7 / 1/7 / 5/8 * 9/4
[1020783] ['1/7', '5/6', '5/8', '9/2', '9/4'] -> (9/2 - 5/8 / 5/6) / 1/7 - 9/4
[1020792] ['1/7', '5/6', '5/8', '9/5', '9/7'] -> 9/7 / (1/7 * (5/6 - 5/8) * 9/5)
[1020811] ['1/7', '5/6', '5/9', '5/9', '9/2'] -> (5/9 / 1/7 + 5/9) / 5/6 * 9/2
[1020815] ['1/7', '5/6', '5/9', '5/9', '9/8'] -> (5/9 / ((1/7 * /9) * 9/8) - 5/6))
[1020827] ['1/7', '5/6', '5/9', '6/5', '8/7'] -> 8/7 / (1/7 * (5/6 - 5/9) * 6/5)
[1020844] ['1/7', '5/6', '5/9', '6/7', '8/7'] -> 8/7 / (6/7 - 5/9 / 5/6 - 1/7)
[1020846] ['1/7', '5/6', '5/9', '6/7', '9/2'] -> (6/7 / 1/7 - 5/9 / 5/6) * 9/2
[1020847] ['1/7', '5/6', '5/9', '6/7', '9/4'] -> (5/9 / 5/6 + 6/7) / 1/7 * 9/4
[1020854] ['1/7', '5/6', '5/9', '7/2', '7/5'] -> (7/2 - 5/6) / 1/7 / 5/9 / 7/5
[1020855] ['1/7', '5/6', '5/9', '7/2', '7/6'] -> 5/9 / 5/6 + 7/2 / 1/7 - 7/6
[1020857] ['1/7', '5/6', '5/9', '7/2', '7/9'] -> 5/6 + 7/2 / 1/7 - 5/9 - 7/9
[1020860] ['1/7', '5/6', '5/9', '7/2', '8/7'] -> 8/7 / (5/9 / (5/6 * /2) - 1/7)
[1020871] ['1/7', '5/6', '5/9', '7/3', '7/8'] -> (5/9 / 5/6 + 7/3) / 1/7 / 7/8
[1020874] ['1/7', '5/6', '5/9', '7/3', '8/5'] -> 8/5 / (5/9 / 7/3 - 1/7 / 5/6)
[1020875] ['1/7', '5/6', '5/9', '7/3', '8/7'] -> (5/9 / 5/6 + 7/3) / 1/7 * 8/7
[1020914] ['1/7', '5/6', '5/9', '7/6', '8/7'] -> 8/7 / (1/7 * (5/6 / 5/9 - 7/6))
[1020919] ['1/7', '5/6', '5/9', '7/6', '9/7'] -> 9/7 * (5/6 / 5/9 + 7/6) / 1/7
[1020927] ['1/7', '5/6', '5/9', '7/8', '9/2'] -> 5/9 / (1/7 * /6 * /8) * 9/2
[1020938] ['1/7', '5/6', '5/9', '7/9', '9/4'] -> 5/6 / ((7/9 - 5/9) * /7) - 9/4
[1020943] ['1/7', '5/6', '5/9', '8/3', '8/5'] -> (5/6 * 8/3 / 1/7 - 5/9) * 8/5
[1020961] ['1/7', '5/6', '5/9', '8/7', '9/2'] -> 5/9 * 8/7 / 1/7 / 5/6 * 9/2
[1020977] ['1/7', '5/6', '5/9', '9/4', '9/4'] -> (5/6 / 5/9 + 9/4) / 1/7 - 9/4
[1020998] ['1/7', '5/6', '6/5', '6/5', '8/7'] -> 8/7 / ((6/5 - 1/7) / 6/5 - 5/6)
[1021004] ['1/7', '5/6', '6/5', '6/5', '9/8'] -> (6/5 / ((1/7 * /5) * 9/8) - 5/6))
[1021027] ['1/7', '5/6', '6/5', '7/2', '7/8'] -> (7/2 / 5/6 - 6/5) / 1/7 / 7/8
[1021031] ['1/7', '5/6', '6/5', '7/2', '8/7'] -> (7/2 / 5/6 - 6/5) / 1/7 * 8/7
[1021034] ['1/7', '5/6', '6/5', '7/2', '9/4'] -> (5/6 + 7/2 / 6/5) / 1/7 - 9/4
[1021041] ['1/7', '5/6', '6/5', '7/3', '7/6'] -> (6/5 + 7/3 / 5/6) / 1/7 / 7/6
[1021059] ['1/7', '5/6', '6/5', '7/4', '8/5'] -> 8/5 / ((6/5 - 5/6) / 7/4 - 1/7)
[1021071] ['1/7', '5/6', '6/5', '7/5', '8/3'] -> (5/6 + 7/5 / (1/7 * /5)) * 8/3
[1021084] ['1/7', '5/6', '6/5', '7/6', '8/5'] -> (5/6 + 6/5 + 7/6) / 1/7 + 8/5
[1021108] ['1/7', '5/6', '6/5', '7/9', '9/2'] -> (7/9 / (1/7 * /6) - 6/5) * 9/2
[1021123] ['1/7', '5/6', '6/5', '8/5', '8/7'] -> 8/7 / (1/7 * 5/6 * (8/5 - 6/5))
[1021137] ['1/7', '5/6', '6/5', '8/9', '8/9'] -> 8/9 / (1/7 * 5/6 * (6/5 - 8/9))
[1021161] ['1/7', '5/6', '6/7', '6/7', '7/4'] -> (1/7 + 6/7) / (6/7 - 5/6) / 7/4
[1021163] ['1/7', '5/6', '6/7', '6/7', '7/6'] -> (6/7 + 6/7) / 1/7 * (5/6 + 7/6)
[1021166] ['1/7', '5/6', '6/7', '6/7', '8/3'] -> (6/7 / 1/7 + 6/7) * (5/6 + 8/3)
[1021174] ['1/7', '5/6', '6/7', '6/7', '9/8'] -> (6/7 / ((1/7 * /7) * 9/8) - 5/6))
[1021182] ['1/7', '5/6', '6/7', '7/2', '8/3'] -> 6/7 / (5/6 / 7/2 - 1/7) * 8/3
[1021197] ['1/7', '5/6', '6/7', '7/3', '8/3'] -> 6/7 * (7/3 - 5/6) / 1/7 * 8/3
[1021200] ['1/7', '5/6', '6/7', '7/3', '8/9'] -> (5/6 + 7/3 / 6/7) / 1/7 - 8/9
[1021205] ['1/7', '5/6', '6/7', '7/3', '9/8'] -> 9/8 * (5/6 * 6/7 + 7/3) / 1/7
[1021211] ['1/7', '5/6', '6/7', '7/4', '8/3'] -> 8/3 / (1/7 * (7/4 - 5/6 / 6/7))
[1021237] ['1/7', '5/6', '6/7', '7/6', '8/5'] -> (5/6 + (6/7 + 7/6) / 1/7) * 8/5
[1021241] ['1/7', '5/6', '6/7', '7/6', '9/4'] -> ((5/6 + 6/7) / 1/7 - 7/6) * 9/4
[1021242] ['1/7', '5/6', '6/7', '7/6', '9/5'] -> ((6/7 + 7/6) / 1/7 - 5/6) * 9/5
[1021249] ['1/7', '5/6', '6/7', '7/8', '8/7'] -> 8/7 / (1/7 + 6/7 - 5/6 / 7/8)
[1021258] ['1/7', '5/6', '6/7', '7/9', '8/5'] -> 8/5 / (1/7 + 6/7 - 7/9 / 5/6)
[1021261] ['1/7', '5/6', '6/7', '7/9', '9/2'] -> 6/7 / (((5/6 - 7/9) * /7) * /2
)[1021268] ['1/7', '5/6', '6/7', '8/3', '8/7'] -> (5/6 + 8/3) * 6/7 / 1/7 * 8/7
[1021272] ['1/7', '5/6', '6/7', '8/3', '9/5'] -> 5/6 * 6/7 * 8/3 / 1/7 * 9/5
[1021283] ['1/7', '5/6', '6/7', '8/7', '8/7'] -> 8/7 / (1/7 + 6/7 - 5/6 * 8/7)
[1021290] ['1/7', '5/6', '6/7', '8/9', '8/9'] -> 8/9 / ((8/9 - 1/7) / 6/7 - 5/6)
[1021314] ['1/7', '5/6', '7/2', '7/2', '7/5'] -> (7/2 / 1/7 + 7/2) / 5/6 / 7/5
[1021316] ['1/7', '5/6', '7/2', '7/2', '7/8'] -> 1/7 * (7/2 + 7/2) / (7/8 - 5/6)
[1021318] ['1/7', '5/6', '7/2', '7/2', '8/3'] -> (7/2 + 7/2 - 1/7) * (5/6 + 8/3)
[1021322] ['1/7', '5/6', '7/2', '7/2', '9/2'] -> (7/2 - 5/6) / 1/7 / 7/2 * 9/2
[1021326] ['1/7', '5/6', '7/2', '7/2', '9/8'] -> (7/2 / ((1/7 * /2) * 9/8) - 5/6))
[1021330] ['1/7', '5/6', '7/2', '7/3', '7/6'] -> ((5/6 + 7/2) / 1/7 - 7/3) / 7/6
[1021336] ['1/7', '5/6', '7/2', '7/3', '8/9'] -> (7/2 + 5/6 / 7/3) / 1/7 * 8/9
[1021341] ['1/7', '5/6', '7/2', '7/3', '9/8'] -> (7/2 + 5/6 / 7/3) / 1/7 / 9/8
[1021348] ['1/7', '5/6', '7/2', '7/4', '8/5'] -> 7/2 / 1/7 - 7/4 / 5/6 + 8/5
[1021349] ['1/7', '5/6', '7/2', '7/4', '8/7'] -> 8/7 / (1/7 * (5/6 - 7/4 / 7/2))
[1021352] ['1/7', '5/6', '7/2', '7/4', '9/4'] -> (7/2 - 5/6) / 1/7 / 7/4 * 9/4
[1021357] ['1/7', '5/6', '7/2', '7/5', '7/6'] -> (7/2 / (1/7 * /6) - 7/5) / 7/6
[1021358] ['1/7', '5/6', '7/2', '7/5', '7/8'] -> 7/2 / (((1/7 * /6) * /5) * /8
)[1021361] ['1/7', '5/6', '7/2', '7/5', '8/5'] -> 8/5 / (7/5 - 1/7 * 7/2 - 5/6)
[1021362] ['1/7', '5/6', '7/2', '7/5', '8/7'] -> 7/2 / (1/7 * /6 * /5) * 8/7
[1021366] ['1/7', '5/6', '7/2', '7/5', '9/5'] -> (7/2 - 5/6) / 1/7 / 7/5 * 9/5
[1021369] ['1/7', '5/6', '7/2', '7/6', '7/6'] -> (7/2 / 1/7 - 7/6) / 5/6 / 7/6
[1021372] ['1/7', '5/6', '7/2', '7/6', '8/3'] -> 8/3 / ((5/6 / 7/2 - 1/7) * 7/6)
[1021385] ['1/7', '5/6', '7/2', '7/8', '8/7'] -> 8/7 / (5/6 / (7/2 + 7/8) - 1/7)
[1021388] ['1/7', '5/6', '7/2', '7/8', '9/4'] -> (5/6 / 1/7 + 7/2) / 7/8 * 9/4
[1021391] ['1/7', '5/6', '7/2', '7/8', '9/8'] -> 9/8 * (7/2 - 5/6) / (1/7 * 7/8)
[1021393] ['1/7', '5/6', '7/2', '7/9', '8/3'] -> 1/7 * 7/2 / (5/6 - 7/9) * 8/3
[1021398] ['1/7', '5/6', '7/2', '7/9', '9/4'] -> 5/6 * 7/2 / 1/7 / 7/9 - 9/4
[1021402] ['1/7', '5/6', '7/2', '8/3', '8/3'] -> (7/2 * (1/7 + 8/3) - 5/6) * 8/3
[1021405] ['1/7', '5/6', '7/2', '8/3', '8/9'] -> (5/6 / 1/7 + 7/2) * 8/3 - 8/9
[1021406] ['1/7', '5/6', '7/2', '8/3', '9/2'] -> 9/2 / (1/7 * 7/2 - 5/6 / 8/3)
[1021407] ['1/7', '5/6', '7/2', '8/3', '9/4'] -> (5/6 + 7/2 * (1/7 + 8/3)) * 9/4
[1021409] ['1/7', '5/6', '7/2', '8/3', '9/7'] -> 9/7 / (1/7 - 5/6 / (7/2 * /3)
)[1021411] ['1/7', '5/6', '7/2', '8/5', '8/5'] -> 8/5 / (5/6 / (1/7 * /2) - 8/5)
[1021415] ['1/7', '5/6', '7/2', '8/5', '9/4'] -> 5/6 * (7/2 / 1/7 + 8/5) + 9/4
[1021419] ['1/7', '5/6', '7/2', '8/7', '8/7'] -> 7/2 / (8/7 - 1/7 - 5/6) * 8/7
[1021425] ['1/7', '5/6', '7/2', '8/7', '9/8'] -> 9/8 * 8/7 * (7/2 - 5/6) / 1/7
