[1399766] ['2/5', '3/2', '5/4', '7/8', '9/5'] -> (9/5 / ((2/5 + 7/8) - (3/2 / 5/4)))
[1399977] ['2/5', '3/2', '5/6', '7/4', '8/3'] -> (((3/2 + (7/4 / 5/6)) / 2/5) * 8/3)
[1399981] ['2/5', '3/2', '5/6', '7/4', '9/2'] -> (((3/2 + (5/6 / 2/5)) + 7/4) * 9/2)
[1399991] ['2/5', '3/2', '5/6', '7/5', '8/5'] -> (8/5 / ((2/5 + (5/6 * 7/5)) - 3/2))
[1400002] ['2/5', '3/2', '5/6', '7/6', '8/3'] -> (8/3 / ((2/5 * 5/6) * (3/2 - 7/6)))
[1400003] ['2/5', '3/2', '5/6', '7/6', '8/5'] -> (8/5 / ((7/6 - (2/5 / 3/2)) - 5/6))
[1400017] ['2/5', '3/2', '5/6', '7/8', '9/2'] -> (9/2 / (5/6 * ((3/2 - 2/5) - 7/8)))
[1400032] ['2/5', '3/2', '5/6', '8/3', '8/3'] -> (((3/2 + 5/6) + (8/3 / 2/5)) * 8/3)
[1400033] ['2/5', '3/2', '5/6', '8/3', '8/5'] -> (8/5 / (((2/5 + 3/2) + 5/6) - 8/3))
[1400036] ['2/5', '3/2', '5/6', '8/3', '9/2'] -> ((((8/3 / 2/5) / 3/2) / 5/6) * 9/2)
[1400062] ['2/5', '3/2', '5/6', '9/2', '9/2'] -> ((5/6 * ((2/5 + 3/2) + 9/2)) * 9/2)
[1400104] ['2/5', '3/2', '5/7', '5/8', '7/4'] -> (((3/2 / (5/7 - 5/8)) / 2/5) / 7/4)
[1400111] ['2/5', '3/2', '5/7', '5/8', '8/7'] -> (8/7 / (((5/7 / 3/2) - 2/5) * 5/8))
[1400116] ['2/5', '3/2', '5/7', '5/8', '9/7'] -> (9/7 / ((2/5 * 3/2) * (5/7 - 5/8)))
[1400130] ['2/5', '3/2', '5/7', '5/9', '8/7'] -> (8/7 / (2/5 * ((3/2 * 5/9) - 5/7)))
[1400138] ['2/5', '3/2', '5/7', '6/5', '6/7'] -> (6/7 / (((3/2 - 6/5) / 2/5) - 5/7))
[1400155] ['2/5', '3/2', '5/7', '6/7', '6/7'] -> (6/7 / ((5/7 / 2/5) - (3/2 / 6/7)))
[1400168] ['2/5', '3/2', '5/7', '6/7', '9/4'] -> (((3/2 / (6/7 - 5/7)) / 2/5) - 9/4)
[1400195] ['2/5', '3/2', '5/7', '7/3', '8/5'] -> (8/5 / (2/5 * ((5/7 * 7/3) - 3/2)))
[1400196] ['2/5', '3/2', '5/7', '7/3', '8/7'] -> (8/7 / (2/5 * ((7/3 - 3/2) - 5/7)))
[1400203] ['2/5', '3/2', '5/7', '7/4', '7/4'] -> ((3/2 / ((5/7 / 2/5) - 7/4)) / 7/4)
[1400215] ['2/5', '3/2', '5/7', '7/4', '9/7'] -> (9/7 / (3/2 * ((5/7 / 2/5) - 7/4)))
[1400234] ['2/5', '3/2', '5/7', '7/6', '8/5'] -> (8/5 / (((3/2 - 7/6) / 5/7) - 2/5))
[1400245] ['2/5', '3/2', '5/7', '7/8', '8/5'] -> (8/5 / (((5/7 / 3/2) - 2/5) * 7/8))
[1400254] ['2/5', '3/2', '5/7', '7/9', '8/3'] -> (8/3 / (3/2 - ((5/7 * 7/9) / 2/5)))
[1400280] ['2/5', '3/2', '5/7', '8/7', '8/7'] -> (8/7 / (((5/7 / 2/5) / 3/2) - 8/7))
[1400293] ['2/5', '3/2', '5/7', '9/2', '9/2'] -> (((3/2 + (9/2 / 5/7)) / 2/5) + 9/2)
[1400315] ['2/5', '3/2', '5/8', '5/8', '7/5'] -> (7/5 / (((2/5 + 5/8) / 3/2) - 5/8))
[1400331] ['2/5', '3/2', '5/8', '5/9', '7/2'] -> (7/2 / ((3/2 * 5/8) * (5/9 - 2/5)))
[1400342] ['2/5', '3/2', '5/8', '5/9', '9/2'] -> (9/2 / ((3/2 * (5/8 - 2/5)) * 5/9))
[1400347] ['2/5', '3/2', '5/8', '6/5', '6/5'] -> (6/5 / ((3/2 - (2/5 * 5/8)) - 6/5))
[1400356] ['2/5', '3/2', '5/8', '6/5', '8/3'] -> ((((3/2 / 5/8) + 6/5) / 2/5) * 8/3)
[1400368] ['2/5', '3/2', '5/8', '6/7', '7/4'] -> ((6/7 / ((5/8 / 2/5) - 3/2)) * 7/4)
[1400377] ['2/5', '3/2', '5/8', '6/7', '9/2'] -> (9/2 / ((3/2 / 6/7) - (5/8 / 2/5)))
[1400379] ['2/5', '3/2', '5/8', '6/7', '9/5'] -> (9/5 / (((2/5 * 3/2) / 6/7) - 5/8))
[1400380] ['2/5', '3/2', '5/8', '6/7', '9/7'] -> (9/7 / (((5/8 / 2/5) - 3/2) * 6/7))
[1400385] ['2/5', '3/2', '5/8', '7/2', '7/5'] -> (7/5 / (((5/8 / 3/2) - 2/5) * 7/2))
[1400387] ['2/5', '3/2', '5/8', '7/2', '7/8'] -> ((((3/2 * 7/2) / 2/5) / 5/8) / 7/8)
[1400389] ['2/5', '3/2', '5/8', '7/2', '8/3'] -> ((3/2 * (2/5 + (7/2 / 5/8))) * 8/3)
[1400391] ['2/5', '3/2', '5/8', '7/2', '8/7'] -> ((((3/2 * 7/2) / 2/5) / 5/8) * 8/7)
[1400393] ['2/5', '3/2', '5/8', '7/2', '9/2'] -> (((7/2 / 5/8) - (2/5 / 3/2)) * 9/2)
[1400415] ['2/5', '3/2', '5/8', '7/4', '7/6'] -> ((7/4 / ((5/8 / 2/5) - 3/2)) / 7/6)
[1400423] ['2/5', '3/2', '5/8', '7/4', '9/4'] -> (9/4 / (5/8 * ((2/5 + 3/2) - 7/4)))
[1400435] ['2/5', '3/2', '5/8', '7/5', '9/2'] -> (9/2 / (5/8 * ((2/5 + 7/5) - 3/2)))
[1400447] ['2/5', '3/2', '5/8', '7/6', '9/2'] -> (9/2 / ((3/2 * 7/6) - (5/8 / 2/5)))
[1400448] ['2/5', '3/2', '5/8', '7/6', '9/4'] -> ((((3/2 + 7/6) / 2/5) / 5/8) * 9/4)
[1400450] ['2/5', '3/2', '5/8', '7/6', '9/7'] -> ((9/7 * 7/6) / ((5/8 / 2/5) - 3/2))
[1400464] ['2/5', '3/2', '5/8', '7/9', '8/3'] -> (8/3 / (5/8 * (7/9 - (2/5 * 3/2))))
[1400477] ['2/5', '3/2', '5/8', '8/3', '9/2'] -> ((((3/2 / 5/8) - 2/5) * 8/3) * 9/2)
[1400482] ['2/5', '3/2', '5/8', '8/5', '8/5'] -> ((8/5 / ((5/8 / 2/5) - 3/2)) - 8/5)
[1400485] ['2/5', '3/2', '5/8', '8/5', '9/2'] -> (9/2 / (5/8 * ((2/5 + 3/2) - 8/5)))
[1400486] ['2/5', '3/2', '5/8', '8/5', '9/4'] -> (((3/2 * 8/5) / (5/8 - 2/5)) * 9/4)
[1400498] ['2/5', '3/2', '5/8', '8/9', '9/2'] -> ((((3/2 * 8/9) / 2/5) / 5/8) * 9/2)
[1400504] ['2/5', '3/2', '5/8', '9/2', '9/4'] -> (((3/2 + (9/2 / 5/8)) / 2/5) + 9/4)
[1400507] ['2/5', '3/2', '5/8', '9/2', '9/8'] -> ((((3/2 * 9/2) / 2/5) / 5/8) / 9/8)
[1400508] ['2/5', '3/2', '5/8', '9/4', '9/4'] -> (9/4 / (((3/2 * 5/8) / 2/5) - 9/4))
[1400515] ['2/5', '3/2', '5/8', '9/7', '9/7'] -> (9/7 / ((2/5 * 5/8) * (3/2 - 9/7)))
[1400528] ['2/5', '3/2', '5/9', '5/9', '8/3'] -> ((8/3 / 2/5) / ((3/2 * 5/9) - 5/9))
[1400546] ['2/5', '3/2', '5/9', '6/5', '8/3'] -> (8/3 / (((6/5 - 5/9) / 2/5) - 3/2))
[1400550] ['2/5', '3/2', '5/9', '6/5', '9/2'] -> ((3/2 * (5/9 + (6/5 / 2/5))) * 9/2)
[1400554] ['2/5', '3/2', '5/9', '6/5', '9/8'] -> ((6/5 / ((2/5 * 3/2) - 5/9)) / 9/8)
[1400564] ['2/5', '3/2', '5/9', '6/7', '8/5'] -> (8/5 / ((2/5 / (3/2 - 6/7)) - 5/9))
[1400577] ['2/5', '3/2', '5/9', '7/2', '7/8'] -> (((7/2 / (5/9 - 2/5)) - 3/2) / 7/8)
[1400579] ['2/5', '3/2', '5/9', '7/2', '8/3'] -> ((((7/2 - 3/2) / 2/5) / 5/9) * 8/3)
[1400580] ['2/5', '3/2', '5/9', '7/2', '8/5'] -> (((7/2 / (5/9 - 2/5)) / 3/2) * 8/5)
[1400581] ['2/5', '3/2', '5/9', '7/2', '8/7'] -> (((7/2 / (5/9 - 2/5)) - 3/2) * 8/7)
[1400583] ['2/5', '3/2', '5/9', '7/2', '9/2'] -> (((3/2 + (7/2 / 5/9)) / 2/5) + 9/2)
[1400592] ['2/5', '3/2', '5/9', '7/3', '7/8'] -> ((7/3 / (3/2 - (5/9 / 2/5))) / 7/8)
[1400595] ['2/5', '3/2', '5/9', '7/3', '8/5'] -> (8/5 / (((2/5 * 7/3) / 3/2) - 5/9))
[1400596] ['2/5', '3/2', '5/9', '7/3', '8/7'] -> ((7/3 / (3/2 - (5/9 / 2/5))) * 8/7)
[1400634] ['2/5', '3/2', '5/9', '7/6', '8/5'] -> (8/5 / ((2/5 + (3/2 * 5/9)) - 7/6))
[1400636] ['2/5', '3/2', '5/9', '7/6', '8/9'] -> (8/9 / (5/9 * ((2/5 + 7/6) - 3/2)))
[1400638] ['2/5', '3/2', '5/9', '7/6', '9/4'] -> ((7/6 / ((2/5 * 3/2) - 5/9)) - 9/4)
[1400648] ['2/5', '3/2', '5/9', '7/8', '9/2'] -> ((2/5 / ((7/8 / 5/9) - 3/2)) * 9/2)
[1400654] ['2/5', '3/2', '5/9', '7/9', '8/3'] -> (8/3 / ((3/2 + 5/9) - (7/9 / 2/5)))
[1400659] ['2/5', '3/2', '5/9', '7/9', '9/4'] -> ((7/9 / (2/5 - (5/9 / 3/2))) - 9/4)
[1400687] ['2/5', '3/2', '5/9', '8/9', '8/9'] -> (8/9 / (((5/9 / 2/5) / 3/2) - 8/9))
[1400694] ['2/5', '3/2', '5/9', '9/2', '9/4'] -> ((3/2 + ((9/2 / 2/5) / 5/9)) + 9/4)
[1400695] ['2/5', '3/2', '5/9', '9/2', '9/5'] -> ((((3/2 * 5/9) + 9/2) / 2/5) * 9/5)
[1400697] ['2/5', '3/2', '5/9', '9/2', '9/8'] -> ((((3/2 + 9/2) / 2/5) / 5/9) / 9/8)
[1400708] ['2/5', '3/2', '6/5', '6/5', '6/5'] -> ((6/5 + 6/5) / ((2/5 + 6/5) - 3/2))
[1400710] ['2/5', '3/2', '6/5', '6/5', '7/2'] -> ((6/5 + 6/5) / (3/2 - (2/5 * 7/2)))
[1400712] ['2/5', '3/2', '6/5', '6/5', '7/4'] -> (((6/5 + 6/5) / 2/5) / (7/4 - 3/2))
[1400715] ['2/5', '3/2', '6/5', '6/5', '7/8'] -> ((3/2 * 6/5) / ((2/5 + 7/8) - 6/5))
[1400721] ['2/5', '3/2', '6/5', '6/5', '9/2'] -> (((2/5 + 6/5) * 9/2) / (3/2 - 6/5))
[1400723] ['2/5', '3/2', '6/5', '6/5', '9/5'] -> ((6/5 + 6/5) / ((2/5 + 3/2) - 9/5))
[1400725] ['2/5', '3/2', '6/5', '6/5', '9/8'] -> (((2/5 * 3/2) + 6/5) / (6/5 - 9/8))
[1400739] ['2/5', '3/2', '6/5', '6/7', '9/4'] -> ((3/2 / ((2/5 + 6/7) - 6/5)) - 9/4)
[1400745] ['2/5', '3/2', '6/5', '7/2', '7/4'] -> ((6/5 / ((3/2 / 7/2) - 2/5)) / 7/4)
[1400750] ['2/5', '3/2', '6/5', '7/2', '8/3'] -> ((((6/5 * 7/2) / 2/5) - 3/2) * 8/3)
[1400751] ['2/5', '3/2', '6/5', '7/2', '8/5'] -> ((((3/2 + 7/2) * 6/5) / 2/5) * 8/5)
[1400755] ['2/5', '3/2', '6/5', '7/2', '9/4'] -> ((3/2 / (2/5 - (6/5 / 7/2))) - 9/4)
[1400765] ['2/5', '3/2', '6/5', '7/3', '8/3'] -> (8/3 / (((7/3 - 2/5) / 6/5) - 3/2))
[1400766] ['2/5', '3/2', '6/5', '7/3', '8/5'] -> (8/5 / ((3/2 * (2/5 + 6/5)) - 7/3))
[1400779] ['2/5', '3/2', '6/5', '7/4', '8/3'] -> (((3/2 + (6/5 * 7/4)) / 2/5) * 8/3)
[1400796] ['2/5', '3/2', '6/5', '7/5', '9/2'] -> (((6/5 + (7/5 / 3/2)) / 2/5) * 9/2)
[1400804] ['2/5', '3/2', '6/5', '7/6', '8/3'] -> (((6/5 / (3/2 - 7/6)) / 2/5) * 8/3)
[1400834] ['2/5', '3/2', '6/5', '8/3', '8/3'] -> ((8/3 / ((2/5 + 6/5) - 3/2)) - 8/3)
[1400838] ['2/5', '3/2', '6/5', '8/3', '9/2'] -> ((((6/5 * 8/3) / 2/5) / 3/2) * 9/2)
[1400840] ['2/5', '3/2', '6/5', '8/3', '9/5'] -> (9/5 / (3/2 * ((6/5 / 8/3) - 2/5)))
[1400848] ['2/5', '3/2', '6/5', '8/5', '9/5'] -> (((8/5 / (3/2 - 6/5)) / 2/5) * 9/5)
[1400864] ['2/5', '3/2', '6/5', '9/2', '9/2'] -> ((((2/5 + 3/2) + 9/2) / 6/5) * 9/2)
[1400869] ['2/5', '3/2', '6/5', '9/4', '9/4'] -> (9/4 / (3/2 - (9/4 / (2/5 + 6/5))))
[1400873] ['2/5', '3/2', '6/5', '9/5', '9/5'] -> (9/5 / ((3/2 / (6/5 - 2/5)) - 9/5))
[1400903] ['2/5', '3/2', '6/7', '7/2', '8/3'] -> ((3/2 + ((6/7 * 7/2) / 2/5)) * 8/3)
[1400938] ['2/5', '3/2', '6/7', '7/4', '9/5'] -> (9/5 / (((7/4 - 2/5) / 6/7) - 3/2))
[1400959] ['2/5', '3/2', '6/7', '7/6', '8/7'] -> (8/7 / (2/5 * ((3/2 * 6/7) - 7/6)))
[1400979] ['2/5', '3/2', '6/7', '7/9', '8/5'] -> (8/5 / ((6/7 * 7/9) - (2/5 * 3/2)))
[1400980] ['2/5', '3/2', '6/7', '7/9', '8/7'] -> (8/7 / ((2/5 * 3/2) * (6/7 - 7/9)))
[1401018] ['2/5', '3/2', '6/7', '9/2', '9/4'] -> ((9/2 / ((6/7 / 3/2) - 2/5)) - 9/4)
[1401039] ['2/5', '3/2', '7/2', '7/2', '8/3'] -> ((((3/2 + 7/2) / 2/5) - 7/2) * 8/3)
[1401043] ['2/5', '3/2', '7/2', '7/2', '9/2'] -> (((2/5 + 7/2) * (3/2 + 7/2)) + 9/2)
[1401093] ['2/5', '3/2', '7/2', '7/6', '8/3'] -> ((3/2 + ((7/2 / 2/5) / 7/6)) * 8/3)
[1401094] ['2/5', '3/2', '7/2', '7/6', '8/5'] -> (8/5 / ((7/6 / 7/2) - (2/5 / 3/2)))
[1401098] ['2/5', '3/2', '7/2', '7/6', '9/4'] -> (((7/2 / (3/2 - 7/6)) / 2/5) - 9/4)
[1401105] ['2/5', '3/2', '7/2', '7/8', '8/5'] -> ((((3/2 * 7/2) / 2/5) / 7/8) * 8/5)
[1401108] ['2/5', '3/2', '7/2', '7/8', '9/2'] -> (9/2 / ((3/2 + (7/8 / 2/5)) - 7/2))
[1401127] ['2/5', '3/2', '7/2', '8/3', '9/2'] -> (((2/5 * (3/2 + 7/2)) * 8/3) * 9/2)
[1401128] ['2/5', '3/2', '7/2', '8/3', '9/4'] -> ((8/3 / ((3/2 / 2/5) - 7/2)) * 9/4)
[1401133] ['2/5', '3/2', '7/2', '8/5', '8/7'] -> ((((3/2 * 7/2) * 8/5) / 2/5) * 8/7)
[1401135] ['2/5', '3/2', '7/2', '8/5', '9/2'] -> (((7/2 * 8/5) - (2/5 / 3/2)) * 9/2)
[1401136] ['2/5', '3/2', '7/2', '8/5', '9/4'] -> ((3/2 / ((8/5 / 7/2) - 2/5)) - 9/4)
[1401148] ['2/5', '3/2', '7/2', '8/9', '9/2'] -> (9/2 / ((7/2 / 8/9) - (3/2 / 2/5)))
[1401150] ['2/5', '3/2', '7/2', '8/9', '9/5'] -> (9/5 / (((2/5 * 7/2) / 8/9) - 3/2))
[1401153] ['2/5', '3/2', '7/2', '9/2', '9/2'] -> (((3/2 / 2/5) + (7/2 * 9/2)) + 9/2)
[1401155] ['2/5', '3/2', '7/2', '9/2', '9/5'] -> ((((7/2 + 9/2) / 2/5) / 3/2) * 9/5)
[1401189] ['2/5', '3/2', '7/3', '7/4', '8/5'] -> (8/5 / (2/5 * (3/2 - (7/3 / 7/4))))
[1401202] ['2/5', '3/2', '7/3', '7/5', '8/5'] -> (8/5 / (2/5 * ((7/3 / 7/5) - 3/2)))
[1401213] ['2/5', '3/2', '7/3', '7/6', '8/3'] -> ((7/3 + ((3/2 + 7/6) / 2/5)) * 8/3)
[1401234] ['2/5', '3/2', '7/3', '7/9', '8/3'] -> ((3/2 + ((7/3 / 2/5) / 7/9)) * 8/3)
[1401235] ['2/5', '3/2', '7/3', '7/9', '8/5'] -> (8/5 / ((7/9 / 7/3) - (2/5 / 3/2)))
[1401244] ['2/5', '3/2', '7/3', '8/3', '8/5'] -> (8/5 / ((8/3 - (2/5 / 3/2)) - 7/3))
[1401252] ['2/5', '3/2', '7/3', '8/5', '8/5'] -> (8/5 / (8/5 - (2/5 * (3/2 + 7/3))))
[1401255] ['2/5', '3/2', '7/3', '8/5', '9/2'] -> ((7/3 + (3/2 * (2/5 + 8/5))) * 9/2)
[1401306] ['2/5', '3/2', '7/4', '7/5', '8/3'] -> ((7/4 + ((3/2 + 7/5) / 2/5)) * 8/3)
[1401312] ['2/5', '3/2', '7/4', '7/5', '9/5'] -> (9/5 / (3/2 * ((2/5 + 7/5) - 7/4)))
[1401319] ['2/5', '3/2', '7/4', '7/6', '8/5'] -> (8/5 / ((7/6 / 7/4) - (2/5 * 3/2)))
[1401323] ['2/5', '3/2', '7/4', '7/6', '9/4'] -> ((7/4 / ((2/5 + 7/6) - 3/2)) - 9/4)
[1401324] ['2/5', '3/2', '7/4', '7/6', '9/5'] -> (9/5 / (((7/4 - 2/5) * 7/6) - 3/2))
[1401329] ['2/5', '3/2', '7/4', '7/8', '8/3'] -> ((((3/2 + 7/4) / 2/5) + 7/8) * 8/3)
[1401335] ['2/5', '3/2', '7/4', '7/8', '9/5'] -> (9/5 / (((2/5 * 7/4) + 7/8) - 3/2))
[1401340] ['2/5', '3/2', '7/4', '7/9', '8/5'] -> (8/5 / (3/2 * ((7/9 / 7/4) - 2/5)))
[1401348] ['2/5', '3/2', '7/4', '8/3', '8/3'] -> (((8/3 / (7/4 - 3/2)) / 2/5) - 8/3)
[1401352] ['2/5', '3/2', '7/4', '8/3', '9/2'] -> ((((3/2 / 2/5) - 7/4) * 8/3) * 9/2)
[1401361] ['2/5', '3/2', '7/4', '8/5', '9/4'] -> ((8/5 / ((2/5 + 3/2) - 7/4)) * 9/4)
[1401369] ['2/5', '3/2', '7/4', '8/7', '9/5'] -> (9/5 / (7/4 * ((2/5 + 8/7) - 3/2)))
[1401373] ['2/5', '3/2', '7/4', '8/9', '9/2'] -> (9/2 / (2/5 * ((7/4 / 8/9) - 3/2)))
[1401380] ['2/5', '3/2', '7/4', '9/2', '9/5'] -> (9/5 / (3/2 * ((2/5 * 9/2) - 7/4)))
[1401384] ['2/5', '3/2', '7/4', '9/4', '9/5'] -> (9/5 / (((2/5 * 7/4) * 9/4) - 3/2))
[1401407] ['2/5', '3/2', '7/5', '7/6', '7/8'] -> ((7/5 / ((2/5 + 7/6) - 3/2)) / 7/8)
[1401409] ['2/5', '3/2', '7/5', '7/6', '8/3'] -> ((3/2 / ((2/5 + 7/6) - 7/5)) * 8/3)
[1401410] ['2/5', '3/2', '7/5', '7/6', '8/5'] -> (8/5 / ((7/5 * (3/2 - 7/6)) - 2/5))
[1401444] ['2/5', '3/2', '7/5', '8/3', '9/4'] -> (((2/5 * 8/3) / (3/2 - 7/5)) * 9/4)
[1401451] ['2/5', '3/2', '7/5', '8/5', '9/2'] -> ((8/5 / ((2/5 + 7/5) - 3/2)) * 9/2)
[1401460] ['2/5', '3/2', '7/5', '8/7', '9/5'] -> (9/5 / (((2/5 + 7/5) / 8/7) - 3/2))
[1401464] ['2/5', '3/2', '7/5', '8/9', '9/2'] -> ((2/5 / ((7/5 / 8/9) - 3/2)) * 9/2)
[1401489] ['2/5', '3/2', '7/6', '7/6', '8/7'] -> ((8/7 / 2/5) / ((3/2 / 7/6) - 7/6))
[1401499] ['2/5', '3/2', '7/6', '7/8', '8/5'] -> (8/5 / (2/5 * (3/2 - (7/6 / 7/8))))
[1401509] ['2/5', '3/2', '7/6', '7/9', '8/5'] -> (8/5 / ((7/9 / 7/6) - (2/5 * 3/2)))
[1401518] ['2/5', '3/2', '7/6', '8/3', '8/5'] -> ((3/2 / (7/6 - (2/5 * 8/3))) * 8/5)
[1401523] ['2/5', '3/2', '7/6', '8/3', '9/5'] -> ((((3/2 + 7/6) + 8/3) / 2/5) * 9/5)
[1401529] ['2/5', '3/2', '7/6', '8/5', '9/2'] -> (((3/2 + 7/6) * (2/5 + 8/5)) * 9/2)
[1401558] ['2/5', '3/2', '7/6', '9/5', '9/8'] -> ((9/5 / ((2/5 + 7/6) - 3/2)) / 9/8)
[1401568] ['2/5', '3/2', '7/8', '7/8', '9/2'] -> (9/2 / ((3/2 + 7/8) - (7/8 / 2/5)))
[1401570] ['2/5', '3/2', '7/8', '7/8', '9/5'] -> (9/5 / ((2/5 * (3/2 + 7/8)) - 7/8))
[1401588] ['2/5', '3/2', '7/8', '8/3', '9/4'] -> (((8/3 / (3/2 - 7/8)) / 2/5) * 9/4)
[1401610] ['2/5', '3/2', '7/8', '8/9', '9/5'] -> (((2/5 * 3/2) / (8/9 - 7/8)) / 9/5)
[1401613] ['2/5', '3/2', '7/8', '9/2', '9/2'] -> (9/2 / ((7/8 * 9/2) - (3/2 / 2/5)))
[1401614] ['2/5', '3/2', '7/8', '9/2', '9/4'] -> (((9/2 / 2/5) - (7/8 / 3/2)) * 9/4)
[1401615] ['2/5', '3/2', '7/8', '9/2', '9/5'] -> (9/5 / (((2/5 * 7/8) * 9/2) - 3/2))
[1401618] ['2/5', '3/2', '7/8', '9/4', '9/4'] -> (9/4 / (3/2 * (9/4 - (7/8 / 2/5))))
[1401622] ['2/5', '3/2', '7/8', '9/5', '9/5'] -> (9/5 / ((2/5 + 7/8) - (9/5 / 3/2)))
[1401687] ['2/5', '3/2', '8/3', '8/3', '9/2'] -> (((8/3 / 2/5) - 8/3) * (3/2 + 9/2))
[1401688] ['2/5', '3/2', '8/3', '8/3', '9/4'] -> (((3/2 * 8/3) + (8/3 / 2/5)) * 9/4)
[1401696] ['2/5', '3/2', '8/3', '8/5', '9/4'] -> (((2/5 * 8/3) / (8/5 - 3/2)) * 9/4)
[1401705] ['2/5', '3/2', '8/3', '8/7', '9/7'] -> ((9/7 * 8/3) / (2/5 * (3/2 - 8/7)))
[1401710] ['2/5', '3/2', '8/3', '8/9', '9/5'] -> (((3/2 * (8/3 + 8/9)) / 2/5) * 9/5)
[1401714] ['2/5', '3/2', '8/3', '9/2', '9/4'] -> ((((8/3 * 9/2) - 3/2) / 2/5) - 9/4)
[1401715] ['2/5', '3/2', '8/3', '9/2', '9/5'] -> (9/5 / (2/5 * ((9/2 / 8/3) - 3/2)))
[1401722] ['2/5', '3/2', '8/3', '9/5', '9/5'] -> (9/5 / ((9/5 / 8/3) - (2/5 * 3/2)))
[1401732] ['2/5', '3/2', '8/5', '8/5', '9/4'] -> (((8/5 * 8/5) / 2/5) * (3/2 + 9/4))
[1401739] ['2/5', '3/2', '8/5', '8/7', '9/4'] -> ((3/2 / ((8/5 - 2/5) - 8/7)) - 9/4)
[1401750] ['2/5', '3/2', '8/5', '9/2', '9/4'] -> (((3/2 + (8/5 * 9/2)) / 2/5) + 9/4)
[1401754] ['2/5', '3/2', '8/5', '9/4', '9/4'] -> (9/4 / (((3/2 / 2/5) / 8/5) - 9/4))
[1401758] ['2/5', '3/2', '8/5', '9/5', '9/5'] -> (((8/5 / (9/5 - 3/2)) / 2/5) * 9/5)
[1401761] ['2/5', '3/2', '8/5', '9/7', '9/7'] -> ((9/7 * 8/5) / (2/5 * (3/2 - 9/7)))
[1401766] ['2/5', '3/2', '8/7', '8/7', '9/2'] -> (((8/7 / 2/5) + 8/7) * (3/2 + 9/2))
[1401774] ['2/5', '3/2', '8/7', '8/9', '9/5'] -> (9/5 / ((2/5 / (8/7 - 8/9)) - 3/2))
[1401777] ['2/5', '3/2', '8/7', '9/2', '9/2'] -> (9/2 / ((9/2 / 8/7) - (3/2 / 2/5)))
[1401779] ['2/5', '3/2', '8/7', '9/2', '9/5'] -> (9/5 / (((2/5 * 9/2) / 8/7) - 3/2))
[1401807] ['2/5', '3/2', '8/9', '9/5', '9/5'] -> (9/5 / (((9/5 - 2/5) / 8/9) - 3/2))
