[1502197] ['2/7', '3/8', '3/8', '4/7', '9/8'] -> 9/8 / 3/8 / (2/7 / 4/7 - 3/8)
[1502967] ['2/7', '3/8', '4/3', '8/9', '9/7'] -> 9/7 / (2/7 * 4/3 / 8/9 - 3/8)
[1502970] ['2/7', '3/8', '4/3', '9/2', '9/4'] -> 9/4 / ((4/3 - 3/8 / 2/7) * 9/2)
[1502974] ['2/7', '3/8', '4/3', '9/4', '9/4'] -> (4/3 / 2/7 + 9/4 / 3/8) * 9/4
[1502977] ['2/7', '3/8', '4/3', '9/4', '9/8'] -> 9/8 / ((4/3 - 3/8 / 2/7) * 9/4)
[1502987] ['2/7', '3/8', '4/5', '4/5', '5/2'] -> (4/5 / 2/7 + 4/5) / 3/8 * 5/2
[1502995] ['2/7', '3/8', '4/5', '4/5', '6/7'] -> 4/5 / 4/5 / (3/8 - 2/7 / 6/7)
[1502997] ['2/7', '3/8', '4/5', '4/5', '7/3'] -> 4/5 / (3/8 * 4/5 - 2/7) / 7/3
[1503001] ['2/7', '3/8', '4/5', '4/5', '7/8'] -> 4/5 / (4/5 - 2/7 / 3/8) / 7/8
[1503005] ['2/7', '3/8', '4/5', '4/5', '8/7'] -> 4/5 / (4/5 - 2/7 / 3/8) * 8/7
[1503007] ['2/7', '3/8', '4/5', '4/5', '9/2'] -> (4/5 / 2/7 - 4/5) / 3/8 * 9/2
[1503015] ['2/7', '3/8', '4/5', '4/7', '5/3'] -> 4/7 / (3/8 * 4/5 - 2/7) / 5/3
[1503019] ['2/7', '3/8', '4/5', '4/7', '5/8'] -> 4/7 / (4/5 - 2/7 / 3/8) / 5/8
[1503021] ['2/7', '3/8', '4/5', '4/7', '6/5'] -> 6/5 / (4/5 - 3/8 * 4/7 / 2/7)
[1503031] ['2/7', '3/8', '4/5', '4/7', '8/5'] -> 4/7 / (4/5 - 2/7 / 3/8) * 8/5
[1503032] ['2/7', '3/8', '4/5', '4/7', '8/7'] -> 8/7 / (2/7 / 3/8 - 4/7 / 4/5)
[1503036] ['2/7', '3/8', '4/5', '4/7', '9/5'] -> 9/5 / (2/7 / 4/7 - (4/5 - 3/8))
[1503037] ['2/7', '3/8', '4/5', '4/7', '9/7'] -> 9/7 / (4/7 / 4/5 - 2/7 - 3/8)
[1503056] ['2/7', '3/8', '4/5', '4/9', '8/3'] -> 8/3 / ((3/8 - 2/7) * (4/5 + 4/9))
[1503058] ['2/7', '3/8', '4/5', '4/9', '8/7'] -> 8/7 / (3/8 * 4/5 * (4/9 - 2/7))
[1503059] ['2/7', '3/8', '4/5', '4/9', '8/9'] -> 4/9 / (3/8 - 2/7 / 4/5) - 8/9
[1503073] ['2/7', '3/8', '4/5', '5/2', '6/7'] -> 6/7 / ((3/8 * 4/5 - 2/7) * 5/2)
[1503087] ['2/7', '3/8', '4/5', '5/2', '9/5'] -> 9/5 / (3/8 + 5/2 - 4/5 / 2/7)
[1503088] ['2/7', '3/8', '4/5', '5/2', '9/7'] -> 9/7 / (2/7 * 3/8 / 4/5 / 5/2)
[1503093] ['2/7', '3/8', '4/5', '5/3', '5/7'] -> 5/7 / ((3/8 - 2/7 / 4/5) * 5/3)
[1503094] ['2/7', '3/8', '4/5', '5/3', '5/8'] -> 5/8 / (5/3 - 3/8 / 2/7 / 4/5)
[1503096] ['2/7', '3/8', '4/5', '5/3', '6/5'] -> 6/5 / (2/7 * (4/5 - 3/8 * 5/3))
[1503119] ['2/7', '3/8', '4/5', '5/4', '6/5'] -> 6/5 / (4/5 * (3/8 / 2/7 - 5/4))
[1503130] ['2/7', '3/8', '4/5', '5/4', '8/7'] -> 8/7 / ((4/5 - 2/7 / 3/8) * 5/4)
[1503142] ['2/7', '3/8', '4/5', '5/6', '6/7'] -> 6/7 / (2/7 - 3/8 * 4/5 * 5/6)
[1503143] ['2/7', '3/8', '4/5', '5/6', '7/2'] -> 7/2 / ((3/8 - 2/7) * (4/5 + 5/6))
[1503153] ['2/7', '3/8', '4/5', '5/6', '8/9'] -> 4/5 / (3/8 - 2/7 / 5/6) - 8/9
[1503175] ['2/7', '3/8', '4/5', '5/7', '9/2'] -> 4/5 * 5/7 / 2/7 / 3/8 * 9/2
[1503183] ['2/7', '3/8', '4/5', '5/8', '6/7'] -> 6/7 / (2/7 * (4/5 * 5/8 - 3/8))
[1503197] ['2/7', '3/8', '4/5', '5/8', '9/5'] -> 9/5 / ((5/8 - 3/8) / 2/7 - 4/5)
[1503202] ['2/7', '3/8', '4/5', '5/9', '6/7'] -> 6/7 / (2/7 * (4/5 - 3/8 / 5/9))
[1503212] ['2/7', '3/8', '4/5', '5/9', '8/7'] -> 8/7 / (2/7 * 3/8 * 4/5 * 5/9)
[1503221] ['2/7', '3/8', '4/5', '6/5', '7/2'] -> 6/5 / (3/8 * 4/5 - 2/7) / 7/2
[1503231] ['2/7', '3/8', '4/5', '6/5', '8/9'] -> 4/5 / (3/8 - 2/7 * 6/5) - 8/9
[1503232] ['2/7', '3/8', '4/5', '6/5', '9/2'] -> 9/2 / (6/5 / 4/5 - 3/8 / 2/7)
[1503233] ['2/7', '3/8', '4/5', '6/5', '9/4'] -> (4/5 / 2/7 + 6/5) / 3/8 * 9/4
[1503234] ['2/7', '3/8', '4/5', '6/5', '9/5'] -> (4/5 + 6/5 / 2/7) / 3/8 * 9/5
[1503237] ['2/7', '3/8', '4/5', '6/7', '6/7'] -> 6/7 / (2/7 / 4/5 - 3/8 * 6/7)
[1503249] ['2/7', '3/8', '4/5', '6/7', '9/2'] -> 9/2 / (3/8 * (6/7 - 2/7 / 4/5))
[1503251] ['2/7', '3/8', '4/5', '6/7', '9/5'] -> 2/7 / (6/7 - 4/5) / 3/8 * 9/5
[1503254] ['2/7', '3/8', '4/5', '7/2', '7/2'] -> 4/5 * (7/2 - 2/7) / 3/8 * 7/2
[1503255] ['2/7', '3/8', '4/5', '7/2', '7/3'] -> (2/7 / 4/5 + 7/2) / 3/8 * 7/3
[1503267] ['2/7', '3/8', '4/5', '7/2', '9/5'] -> 9/5 / (3/8 * (2/7 * 7/2 - 4/5))
[1503291] ['2/7', '3/8', '4/5', '7/4', '8/5'] -> 8/5 / ((4/5 - 2/7 / 3/8) * 7/4)
[1503296] ['2/7', '3/8', '4/5', '7/4', '9/5'] -> 9/5 / (2/7 * 7/4 - (4/5 - 3/8))
[1503307] ['2/7', '3/8', '4/5', '7/5', '9/2'] -> 4/5 / 2/7 / 3/8 / 7/5 * 9/2
[1503326] ['2/7', '3/8', '4/5', '7/8', '8/3'] -> (7/8 / (3/8 - 2/7) - 4/5) * 8/3
[1503337] ['2/7', '3/8', '4/5', '7/9', '8/5'] -> 8/5 / (2/7 * 3/8 * 4/5 * 7/9)
[1503347] ['2/7', '3/8', '4/5', '8/3', '8/7'] -> 8/7 / ((3/8 - 2/7 / 4/5) * 8/3)
[1503350] ['2/7', '3/8', '4/5', '8/3', '9/4'] -> 3/8 / (4/5 / 8/3 - 2/7) - 9/4
[1503380] ['2/7', '3/8', '4/5', '9/4', '9/4'] -> 9/4 / 2/7 / 3/8 / 4/5 - 9/4
[1503391] ['2/7', '3/8', '4/7', '4/7', '4/9'] -> (4/7 + 4/7) / 2/7 / 3/8 / 4/9
[1503396] ['2/7', '3/8', '4/7', '4/7', '5/7'] -> (4/7 + 4/7) / (2/7 / 3/8 - 5/7)
[1503400] ['2/7', '3/8', '4/7', '4/7', '6/7'] -> 4/7 / 4/7 / (3/8 - 2/7 / 6/7)
[1503401] ['2/7', '3/8', '4/7', '4/7', '7/2'] -> (4/7 / 2/7 + 4/7) / 3/8 * 7/2
[1503403] ['2/7', '3/8', '4/7', '4/7', '7/4'] -> (2/7 + 7/4) / (3/8 / 4/7 - 4/7)
[1503405] ['2/7', '3/8', '4/7', '4/7', '7/6'] -> 4/7 / 4/7 / (3/8 - 2/7 * 7/6)
[1503410] ['2/7', '3/8', '4/7', '4/7', '8/7'] -> (4/7 + 8/7) / (2/7 - 3/8 * 4/7)
[1503411] ['2/7', '3/8', '4/7', '4/7', '8/9'] -> (4/7 + 4/7) / (3/8 * 8/9 - 2/7)
[1503412] ['2/7', '3/8', '4/7', '4/7', '9/2'] -> 4/7 / (4/7 - 2/7) / 3/8 * 9/2
[1503413] ['2/7', '3/8', '4/7', '4/7', '9/4'] -> (4/7 + 4/7) / 2/7 / 3/8 * 9/4
[1503416] ['2/7', '3/8', '4/7', '4/7', '9/8'] -> (4/7 + 4/7) / (3/8 / 9/8 - 2/7)
[1503418] ['2/7', '3/8', '4/7', '4/9', '5/2'] -> 5/2 / (3/8 * (4/9 - 2/7) / 4/7)
[1503421] ['2/7', '3/8', '4/7', '4/9', '5/6'] -> 4/7 / (4/9 - 3/8) / 2/7 * 5/6
[1503425] ['2/7', '3/8', '4/7', '4/9', '6/5'] -> 4/7 / (4/9 - 3/8) / 2/7 / 6/5
[1503436] ['2/7', '3/8', '4/7', '4/9', '8/7'] -> 8/7 / (3/8 * (4/7 - 2/7) * 4/9)
[1503439] ['2/7', '3/8', '4/7', '4/9', '9/4'] -> 9/4 / (3/8 - 2/7 / (4/7 + 4/9))
[1503446] ['2/7', '3/8', '4/7', '5/2', '5/6'] -> 5/2 / (2/7 / 4/7 - 3/8) / 5/6
[1503449] ['2/7', '3/8', '4/7', '5/2', '5/9'] -> 4/7 * 5/2 / 2/7 / 3/8 / 5/9
[1503450] ['2/7', '3/8', '4/7', '5/2', '6/5'] -> 5/2 / (2/7 / 4/7 - 3/8) * 6/5
[1503456] ['2/7', '3/8', '4/7', '5/2', '7/6'] -> 5/2 / (2/7 + 3/8 - 4/7) / 7/6
[1503465] ['2/7', '3/8', '4/7', '5/2', '9/5'] -> 4/7 * 5/2 / 2/7 / 3/8 * 9/5
[1503466] ['2/7', '3/8', '4/7', '5/2', '9/7'] -> 9/7 / (3/8 * (2/7 * 5/2 - 4/7))
[1503467] ['2/7', '3/8', '4/7', '5/2', '9/8'] -> 9/8 / (2/7 / (5/2 / 3/8 - 4/7))
[1503473] ['2/7', '3/8', '4/7', '5/3', '5/9'] -> 5/3 / (2/7 / 4/7 - 3/8) / 5/9
[1503475] ['2/7', '3/8', '4/7', '5/3', '6/7'] -> 6/7 / (3/8 * (4/7 - 2/7 * 5/3))
[1503487] ['2/7', '3/8', '4/7', '5/3', '9/2'] -> 2/7 / (3/8 * 5/3 - 4/7) * 9/2
[1503488] ['2/7', '3/8', '4/7', '5/3', '9/4'] -> 4/7 * 5/3 / (3/8 - 2/7) * 9/4
[1503498] ['2/7', '3/8', '4/7', '5/4', '6/7'] -> 6/7 / (4/7 * (3/8 / 2/7 - 5/4))
[1503508] ['2/7', '3/8', '4/7', '5/4', '8/7'] -> 8/7 / (2/7 / 3/8 - 4/7 * 5/4)
[1503511] ['2/7', '3/8', '4/7', '5/4', '9/4'] -> 9/4 / (5/4 - (2/7 + 3/8) / 4/7)
[1503513] ['2/7', '3/8', '4/7', '5/4', '9/7'] -> 9/7 / (4/7 * 5/4 - 2/7 - 3/8)
[1503536] ['2/7', '3/8', '4/7', '5/6', '9/8'] -> 9/8 / ((3/8 * 5/6 - 2/7) / 4/7)
[1503553] ['2/7', '3/8', '4/7', '5/7', '9/2'] -> 2/7 / (5/7 - 4/7) / 3/8 * 9/2
[1503554] ['2/7', '3/8', '4/7', '5/7', '9/4'] -> 4/7 / (5/7 - 2/7 - 3/8) * 9/4
[1503576] ['2/7', '3/8', '4/7', '5/8', '9/7'] -> 9/7 / (2/7 * 3/8 + 4/7 - 5/8)
[1503577] ['2/7', '3/8', '4/7', '5/8', '9/8'] -> 9/8 / (3/8 * (5/8 - 2/7 / 4/7))
[1503614] ['2/7', '3/8', '4/7', '6/5', '9/8'] -> 9/8 / ((3/8 / 6/5 - 2/7) / 4/7)
[1503616] ['2/7', '3/8', '4/7', '6/7', '7/2'] -> 6/7 / (2/7 / 4/7 - 3/8) * 7/2
[1503618] ['2/7', '3/8', '4/7', '6/7', '7/4'] -> 4/7 / (3/8 - 2/7 / 6/7) * 7/4
[1503629] ['2/7', '3/8', '4/7', '6/7', '9/5'] -> (4/7 + 6/7) / 2/7 / 3/8 * 9/5
[1503630] ['2/7', '3/8', '4/7', '6/7', '9/7'] -> 9/7 / (2/7 * 6/7 / 4/7 - 3/8)
[1503636] ['2/7', '3/8', '4/7', '7/2', '7/6'] -> 7/2 / (2/7 / 4/7 - 3/8) / 7/6
[1503640] ['2/7', '3/8', '4/7', '7/2', '8/5'] -> (7/2 - 2/7) / 3/8 / 4/7 * 8/5
[1503643] ['2/7', '3/8', '4/7', '7/2', '9/2'] -> 9/2 / (7/2 - (3/8 + 4/7) / 2/7)
[1503652] ['2/7', '3/8', '4/7', '7/3', '7/8'] -> 7/8 / (7/3 - 3/8 / 2/7 / 4/7)
[1503656] ['2/7', '3/8', '4/7', '7/3', '8/7'] -> 8/7 / (7/3 - (2/7 + 4/7) / 3/8)
[1503658] ['2/7', '3/8', '4/7', '7/3', '9/2'] -> (2/7 + 4/7) * 7/3 / 3/8 * 9/2
