[1683872] ['3/4', '3/4', '3/5', '7/5', '9/5'] -> (3/5 + 9/5) / (3/4 + 3/4 - 7/5)
[1683964] ['3/4', '3/4', '3/7', '3/7', '5/8'] -> 3/7 / ((3/4 + 3/4) * 3/7 - 5/8)
[1683990] ['3/4', '3/4', '3/7', '3/8', '5/3'] -> 3/4 / 3/8 / (3/4 / 3/7 - 5/3)
[1683995] ['3/4', '3/4', '3/7', '3/8', '5/9'] -> 3/4 / 3/7 / 3/8 / (3/4 - 5/9)
[1684001] ['3/4', '3/4', '3/7', '3/8', '7/5'] -> (3/4 + 3/4 / 7/5) / (3/7 - 3/8)
[1684002] ['3/4', '3/4', '3/7', '3/8', '7/6'] -> (3/4 + 3/4) / (3/7 - 3/8) / 7/6
[1684004] ['3/4', '3/4', '3/7', '3/8', '7/9'] -> 3/4 / (3/7 - 3/8) / 3/4 / 7/9
[1684009] ['3/4', '3/4', '3/7', '3/8', '9/2'] -> (9/2 / 3/7 - 3/4 - 3/4) / 3/8
[1684054] ['3/4', '3/4', '3/7', '4/5', '6/7'] -> 6/7 / (3/4 - 3/7 / 3/4 / 4/5)
[1684072] ['3/4', '3/4', '3/7', '4/7', '4/9'] -> 4/7 / (3/4 + 3/4) / (4/9 - 3/7)
[1684091] ['3/4', '3/4', '3/7', '4/7', '8/7'] -> 8/7 / (3/7 - 4/7 / (3/4 + 3/4))
[1684107] ['3/4', '3/4', '3/7', '4/9', '6/7'] -> 6/7 / (3/4 / 3/4 - 3/7 / 4/9)
[1684131] ['3/4', '3/4', '3/7', '5/2', '6/5'] -> 6/5 / (3/4 - 3/4 / 3/7 / 5/2)
[1684139] ['3/4', '3/4', '3/7', '5/2', '7/9'] -> 5/2 / (3/4 * 3/4 - 3/7) / 7/9
[1684150] ['3/4', '3/4', '3/7', '5/3', '5/4'] -> (3/4 + 5/4) / (3/4 / 3/7 - 5/3)
[1684162] ['3/4', '3/4', '3/7', '5/3', '7/8'] -> 3/4 / (3/4 - 3/7 * 5/3) / 7/8
[1684164] ['3/4', '3/4', '3/7', '5/3', '8/3'] -> 3/4 * 8/3 / (3/4 / 3/7 - 5/3)
[1684166] ['3/4', '3/4', '3/7', '5/3', '8/7'] -> 3/4 * 8/7 / (3/4 - 3/7 * 5/3)
[1684176] ['3/4', '3/4', '3/7', '5/4', '5/8'] -> (3/4 / 3/7 + 5/4) / (3/4 - 5/8)
[1684177] ['3/4', '3/4', '3/7', '5/4', '5/9'] -> (3/4 + 5/4) / 3/7 / (3/4 - 5/9)
[1684179] ['3/4', '3/4', '3/7', '5/4', '6/7'] -> 6/7 / (3/4 - 3/7 * 5/4 / 3/4)
[1684185] ['3/4', '3/4', '3/7', '5/4', '7/8'] -> (3/4 / 3/7 + 5/4) / (7/8 - 3/4)
[1684202] ['3/4', '3/4', '3/7', '5/6', '7/2'] -> 3/7 / (5/6 - 3/4) / 3/4 * 7/2
[1684207] ['3/4', '3/4', '3/7', '5/6', '7/8'] -> 3/4 / (5/6 - 3/4) / 3/7 / 7/8
[1684211] ['3/4', '3/4', '3/7', '5/6', '8/7'] -> 3/4 / (5/6 - 3/4) / 3/7 * 8/7
[1684218] ['3/4', '3/4', '3/7', '5/7', '5/7'] -> 3/4 * (3/7 + 5/7) / (3/4 - 5/7)
[1684221] ['3/4', '3/4', '3/7', '5/7', '6/5'] -> 6/5 / (3/7 / 3/4 / 5/7 - 3/4)
[1684225] ['3/4', '3/4', '3/7', '5/7', '7/4'] -> (3/7 + 3/4 / 7/4) / (3/4 - 5/7)
[1684227] ['3/4', '3/4', '3/7', '5/7', '7/6'] -> (3/4 / (3/4 - 5/7) - 3/7) * 7/6
[1684234] ['3/4', '3/4', '3/7', '5/7', '9/2'] -> 5/7 / (3/4 * 3/4 - 3/7) * 9/2
[1684235] ['3/4', '3/4', '3/7', '5/7', '9/4'] -> 9/4 / (3/4 - 3/4 / (3/7 + 5/7))
[1684242] ['3/4', '3/4', '3/7', '5/8', '6/7'] -> 6/7 / 3/7 / (5/8 / 3/4 - 3/4)
[1684243] ['3/4', '3/4', '3/7', '5/8', '7/2'] -> 3/7 * 7/2 / (5/8 - 3/4 * 3/4)
[1684249] ['3/4', '3/4', '3/7', '5/8', '7/9'] -> 3/4 / (3/4 * 5/8 - 3/7) / 7/9
[1684254] ['3/4', '3/4', '3/7', '5/8', '9/2'] -> (3/4 + 9/2 / 3/7) / (3/4 * 5/8)
[1684269] ['3/4', '3/4', '3/7', '5/9', '8/3'] -> 3/4 / (3/4 - 5/9) / 3/7 * 8/3
[1684296] ['3/4', '3/4', '3/7', '6/7', '6/7'] -> 6/7 / (3/4 + 3/7 - 6/7 / 3/4)
[1684300] ['3/4', '3/4', '3/7', '6/7', '7/5'] -> 6/7 / (3/7 / 3/4 - 3/4 / 7/5)
[1684303] ['3/4', '3/4', '3/7', '6/7', '7/9'] -> 3/7 / 3/4 / 6/7 / (7/9 - 3/4)
[1684307] ['3/4', '3/4', '3/7', '6/7', '8/9'] -> 6/7 / 3/7 / (3/4 - 3/4 * 8/9)
[1684312] ['3/4', '3/4', '3/7', '6/7', '9/8'] -> 6/7 / 3/7 / (3/4 - 3/4 / 9/8)
[1684325] ['3/4', '3/4', '3/7', '7/2', '9/4'] -> (3/4 + (3/4 + 7/2) / 3/7) * 9/4
[1684366] ['3/4', '3/4', '3/7', '7/5', '9/2'] -> 9/2 / ((3/4 * 3/4 - 3/7) * 7/5)
[1684373] ['3/4', '3/4', '3/7', '7/6', '7/9'] -> 3/7 * 7/6 / 3/4 / (7/9 - 3/4)
[1684378] ['3/4', '3/4', '3/7', '7/6', '9/2'] -> 9/2 / 3/4 / (3/4 - 3/7 * 7/6)
[1684387] ['3/4', '3/4', '3/7', '7/8', '8/7'] -> 3/4 / 7/8 / (3/4 + 3/7 - 8/7)
[1684389] ['3/4', '3/4', '3/7', '7/8', '9/2'] -> 9/2 / (3/4 * 3/4 - 3/7 * 7/8)
[1684402] ['3/4', '3/4', '3/7', '7/9', '9/7'] -> 3/4 / (7/9 - 3/4) - 9/7 / 3/7
[1684409] ['3/4', '3/4', '3/7', '8/3', '9/4'] -> 9/4 / (3/4 - 3/4 / 3/7 / 8/3)
[1684411] ['3/4', '3/4', '3/7', '8/3', '9/7'] -> 9/7 / (3/7 - 3/4 / 3/4 / 8/3)
[1684419] ['3/4', '3/4', '3/7', '8/5', '9/7'] -> 3/4 * 9/7 / (3/4 / 8/5 - 3/7)
[1684421] ['3/4', '3/4', '3/7', '8/7', '8/7'] -> 3/4 * 8/7 / (3/4 + 3/7 - 8/7)
[1684422] ['3/4', '3/4', '3/7', '8/7', '8/9'] -> 8/7 / 3/7 / (3/4 / 3/4 - 8/9)
[1684423] ['3/4', '3/4', '3/7', '8/7', '9/2'] -> 9/2 / (3/4 * 3/4 - 3/7 / 8/7)
[1684435] ['3/4', '3/4', '3/7', '9/2', '9/4'] -> (3/4 / 3/7 + 9/4) / (3/4 / 9/2)
[1684438] ['3/4', '3/4', '3/7', '9/2', '9/8'] -> 9/2 / (3/4 * 3/4 / 3/7 - 9/8)
[1684451] ['3/4', '3/4', '3/8', '3/8', '4/5'] -> 3/4 / (3/8 / 3/4 - 3/8 / 4/5)
[1684453] ['3/4', '3/4', '3/8', '3/8', '4/9'] -> (3/4 + 3/4) / 3/8 / 3/8 / 4/9
[1684456] ['3/4', '3/4', '3/8', '3/8', '5/4'] -> 3/4 / (3/8 / 3/4 - 3/8 * 5/4)
[1684462] ['3/4', '3/4', '3/8', '3/8', '6/7'] -> (3/4 + 3/4) / (3/8 / 6/7 - 3/8)
[1684463] ['3/4', '3/4', '3/8', '3/8', '7/2'] -> (3/4 + 3/4 * 7/2) / 3/8 / 3/8
[1684467] ['3/4', '3/4', '3/8', '3/8', '7/6'] -> (3/4 + 3/4) / (3/8 * 7/6 - 3/8)
[1684468] ['3/4', '3/4', '3/8', '3/8', '7/8'] -> (3/4 + 3/8) / (7/8 - 3/4) / 3/8
[1684473] ['3/4', '3/4', '3/8', '3/8', '8/9'] -> 3/4 / (3/8 - 3/8 * 8/9) / 3/4
[1684478] ['3/4', '3/4', '3/8', '3/8', '9/8'] -> 3/4 / (3/8 - 3/8 / 9/8) / 3/4
[1684489] ['3/4', '3/4', '3/8', '4/3', '5/9'] -> 3/4 * 4/3 / (3/4 * 5/9 - 3/8)
[1684496] ['3/4', '3/4', '3/8', '4/3', '7/6'] -> 3/4 * 4/3 / (7/6 - 3/4 - 3/8)
[1684502] ['3/4', '3/4', '3/8', '4/3', '8/9'] -> (3/4 / 3/8 + 4/3) / (8/9 - 3/4)
[1684505] ['3/4', '3/4', '3/8', '4/3', '9/5'] -> 3/4 * 4/3 / (3/4 / 9/5 - 3/8)
[1684507] ['3/4', '3/4', '3/8', '4/3', '9/8'] -> 9/8 / (3/4 * 3/4 / 4/3 - 3/8)
[1684512] ['3/4', '3/4', '3/8', '4/5', '5/3'] -> 3/4 / (4/5 - 3/4) / 3/8 / 5/3
[1684523] ['3/4', '3/4', '3/8', '4/5', '7/5'] -> 7/5 / (3/4 + 3/8 - 4/5 / 3/4)
[1684531] ['3/4', '3/4', '3/8', '4/5', '9/2'] -> 9/2 / (3/4 + 3/8 - 3/4 / 4/5)
[1684532] ['3/4', '3/4', '3/8', '4/5', '9/4'] -> 9/4 / (3/4 * 3/4 - 3/8 / 4/5)
[1684549] ['3/4', '3/4', '3/8', '4/7', '7/4'] -> 3/8 / (4/7 - 3/4 * 3/4) / 7/4
[1684558] ['3/4', '3/4', '3/8', '4/7', '9/2'] -> 9/2 / (3/4 / 4/7 - 3/4 - 3/8)
[1684570] ['3/4', '3/4', '3/8', '4/9', '5/9'] -> 3/8 * 4/9 / (3/4 * 3/4 - 5/9)
[1684579] ['3/4', '3/4', '3/8', '4/9', '7/9'] -> 7/9 / ((3/4 - 4/9) / 3/4 - 3/8)
[1684594] ['3/4', '3/4', '3/8', '5/2', '5/8'] -> (3/8 / 3/4 + 5/2) / (3/4 - 5/8)
[1684596] ['3/4', '3/4', '3/8', '5/2', '6/5'] -> 6/5 / (3/4 / 3/8 / 5/2 - 3/4)
[1684603] ['3/4', '3/4', '3/8', '5/2', '7/8'] -> (3/8 / 3/4 + 5/2) / (7/8 - 3/4)
[1684612] ['3/4', '3/4', '3/8', '5/2', '9/7'] -> 9/7 / (3/4 / (5/2 - 3/4) - 3/8)
[1684613] ['3/4', '3/4', '3/8', '5/2', '9/8'] -> 9/8 / (3/4 - 3/4 * 3/8 * 5/2)
[1684620] ['3/4', '3/4', '3/8', '5/3', '6/5'] -> 6/5 / (3/8 / 3/4 - 3/4 / 5/3)
[1684632] ['3/4', '3/4', '3/8', '5/3', '8/9'] -> 3/4 * 5/3 / 3/8 / (8/9 - 3/4)
[1684639] ['3/4', '3/4', '3/8', '5/4', '5/6'] -> 3/4 / 3/8 / (3/4 - 5/6 / 5/4)
[1684641] ['3/4', '3/4', '3/8', '5/4', '5/8'] -> 3/4 / (3/4 * (5/4 - 3/8) - 5/8)
[1684642] ['3/4', '3/4', '3/8', '5/4', '5/9'] -> 5/4 / (3/4 - 3/4 * (3/8 + 5/9))
[1684647] ['3/4', '3/4', '3/8', '5/4', '7/4'] -> 3/4 / 3/8 / (7/4 - 5/4 / 3/4)
[1684650] ['3/4', '3/4', '3/8', '5/4', '7/8'] -> 3/4 / 3/8 / (5/4 - 7/8 / 3/4)
[1684658] ['3/4', '3/4', '3/8', '5/4', '9/5'] -> 9/5 / (3/4 * 3/4 / 5/4 - 3/8)
[1684660] ['3/4', '3/4', '3/8', '5/4', '9/8'] -> 3/4 / (5/4 - 3/4 * 9/8 - 3/8)
[1684672] ['3/4', '3/4', '3/8', '5/6', '7/8'] -> (3/4 + 3/8 + 7/8) / (5/6 - 3/4)
[1684686] ['3/4', '3/4', '3/8', '5/7', '6/5'] -> 6/5 / (3/4 - 3/8 / 3/4 / 5/7)
[1684687] ['3/4', '3/4', '3/8', '5/7', '6/7'] -> 6/7 / (3/4 * 5/7 - 3/8 / 3/4)
[1684689] ['3/4', '3/4', '3/8', '5/7', '7/3'] -> 3/4 / (3/4 - 5/7) / 3/8 / 7/3
[1684701] ['3/4', '3/4', '3/8', '5/7', '9/5'] -> 9/5 / (3/4 + 3/8 - 3/4 / 5/7)
[1684702] ['3/4', '3/4', '3/8', '5/7', '9/7'] -> 9/7 / ((3/4 + 3/8) * 5/7 - 3/4)
[1684706] ['3/4', '3/4', '3/8', '5/8', '6/5'] -> 6/5 / (3/8 / 3/4 / 5/8 - 3/4)
[1684715] ['3/4', '3/4', '3/8', '5/8', '8/3'] -> (3/4 + 3/8) * 8/3 / (3/4 - 5/8)
[1684721] ['3/4', '3/4', '3/8', '5/8', '9/5'] -> 9/5 / (3/4 / 5/8 - 3/4 - 3/8)
[1684727] ['3/4', '3/4', '3/8', '5/9', '7/2'] -> (3/4 + 3/4 + 7/2) / (3/8 * 5/9)
[1684728] ['3/4', '3/4', '3/8', '5/9', '7/3'] -> 3/4 / (3/4 - 5/9) / 3/8 * 7/3
[1684738] ['3/4', '3/4', '3/8', '5/9', '9/2'] -> (9/2 - 3/4) / 3/4 / (3/8 * 5/9)
[1684739] ['3/4', '3/4', '3/8', '5/9', '9/4'] -> 3/8 / (3/4 * 3/4 - 5/9) / 9/4
[1684753] ['3/4', '3/4', '3/8', '6/5', '8/5'] -> 6/5 / (3/8 * 8/5 / 3/4 - 3/4)
[1684757] ['3/4', '3/4', '3/8', '6/5', '9/4'] -> 9/4 / (3/4 * 3/4 / 6/5 - 3/8)
[1684760] ['3/4', '3/4', '3/8', '6/5', '9/8'] -> 9/8 / (3/4 - 3/4 / 6/5) / 3/8
[1684768] ['3/4', '3/4', '3/8', '6/7', '7/9'] -> 3/4 / (6/7 - 3/4) / 3/8 / 7/9
[1684777] ['3/4', '3/4', '3/8', '6/7', '9/8'] -> 9/8 / 3/8 / (3/4 / 6/7 - 3/4)
[1684784] ['3/4', '3/4', '3/8', '7/2', '7/9'] -> 7/2 / (3/4 * 3/4 - 3/8) / 7/9
[1684785] ['3/4', '3/4', '3/8', '7/2', '8/3'] -> (3/4 + 3/4 * 7/2) / 3/8 * 8/3
[1684791] ['3/4', '3/4', '3/8', '7/2', '9/5'] -> (3/4 + 3/4 + 7/2) / 3/8 * 9/5
[1684816] ['3/4', '3/4', '3/8', '7/4', '8/7'] -> 3/4 / 7/4 / (8/7 - 3/4 - 3/8)
[1684833] ['3/4', '3/4', '3/8', '7/5', '9/5'] -> 9/5 / (3/4 + 3/8 - 3/4 * 7/5)
[1684834] ['3/4', '3/4', '3/8', '7/5', '9/7'] -> 9/7 / ((3/4 + 3/8) / 7/5 - 3/4)
[1684847] ['3/4', '3/4', '3/8', '7/6', '9/8'] -> 9/8 / 3/8 / (3/4 * 7/6 - 3/4)
[1684850] ['3/4', '3/4', '3/8', '7/8', '8/3'] -> (3/4 + 3/8) * 8/3 / (7/8 - 3/4)
[1684864] ['3/4', '3/4', '3/8', '7/9', '9/2'] -> (3/4 + 9/2) / 3/4 / (3/8 * 7/9)
[1684868] ['3/4', '3/4', '3/8', '7/9', '9/8'] -> 3/4 / (7/9 - 3/4) - 9/8 / 3/8
[1684882] ['3/4', '3/4', '3/8', '8/5', '9/4'] -> 9/4 / (3/4 / 8/5 - (3/4 - 3/8))
[1684883] ['3/4', '3/4', '3/8', '8/5', '9/5'] -> 9/5 / (3/4 * 8/5 - 3/4 - 3/8)
[1684885] ['3/4', '3/4', '3/8', '8/5', '9/8'] -> 9/8 / (3/4 - (3/4 + 3/8) / 8/5)
[1684891] ['3/4', '3/4', '3/8', '8/7', '9/7'] -> 9/7 / 3/8 / (8/7 - 3/4 / 3/4)
[1684901] ['3/4', '3/4', '3/8', '9/2', '9/5'] -> (9/2 - 3/4) / 3/4 / 3/8 * 9/5
[1684902] ['3/4', '3/4', '3/8', '9/2', '9/7'] -> (3/4 + 9/2) / 3/4 / 3/8 * 9/7
[1684920] ['3/4', '3/4', '4/3', '4/3', '5/4'] -> (3/4 + 3/4) * 4/3 / (4/3 - 5/4)
[1684926] ['3/4', '3/4', '4/3', '4/3', '6/7'] -> 4/3 / (4/3 / 6/7 - 3/4 - 3/4)
[1684931] ['3/4', '3/4', '4/3', '4/3', '7/6'] -> 4/3 / (4/3 * 7/6 - 3/4 - 3/4)
[1684934] ['3/4', '3/4', '4/3', '4/3', '8/3'] -> (4/3 + 8/3) / (3/4 + 3/4 - 4/3)
[1684935] ['3/4', '3/4', '4/3', '4/3', '8/5'] -> 3/4 / (4/3 - (3/4 + 4/3) / 8/5)
[1684937] ['3/4', '3/4', '4/3', '4/3', '8/9'] -> (4/3 + 4/3) / (3/4 / 3/4 - 8/9)
[1684946] ['3/4', '3/4', '4/3', '4/5', '5/2'] -> 5/2 / (3/4 + 4/3) / (4/5 - 3/4)
[1684949] ['3/4', '3/4', '4/3', '4/5', '5/6'] -> 3/4 * 4/3 / (4/5 - 3/4) / 5/6
[1684970] ['3/4', '3/4', '4/3', '4/5', '9/8'] -> 9/8 / (3/4 - 3/4 / 4/3 / 4/5)
[1684982] ['3/4', '3/4', '4/3', '4/7', '7/2'] -> 3/4 / (4/7 - 3/4 / 4/3) / 7/2
[1684987] ['3/4', '3/4', '4/3', '4/7', '7/8'] -> 4/7 / (4/3 / 7/8 - 3/4 - 3/4)
[1684991] ['3/4', '3/4', '4/3', '4/7', '8/7'] -> 4/7 / (4/3 * 8/7 - 3/4 - 3/4)
[1684999] ['3/4', '3/4', '4/3', '4/9', '5/2'] -> 5/2 / 3/4 / (4/3 - 3/4 - 4/9)
[1685002] ['3/4', '3/4', '4/3', '4/9', '5/6'] -> 4/3 / 4/9 / (3/4 - 3/4 * 5/6)
[1685006] ['3/4', '3/4', '4/3', '4/9', '6/5'] -> 4/3 / 4/9 / (3/4 - 3/4 / 6/5)
[1685007] ['3/4', '3/4', '4/3', '4/9', '6/7'] -> 4/3 / 4/9 / (3/4 / 6/7 - 3/4)
[1685008] ['3/4', '3/4', '4/3', '4/9', '7/2'] -> 7/2 / ((3/4 + 4/9) / 4/3 - 3/4)
[1685012] ['3/4', '3/4', '4/3', '4/9', '7/6'] -> 4/3 / 4/9 / (3/4 * 7/6 - 3/4)
[1685013] ['3/4', '3/4', '4/3', '4/9', '7/8'] -> 4/3 / 4/9 / (3/4 / 3/4 - 7/8)
[1685020] ['3/4', '3/4', '4/3', '4/9', '9/4'] -> 9/4 / (3/4 / (4/3 - 4/9) - 3/4)
[1685023] ['3/4', '3/4', '4/3', '4/9', '9/8'] -> 4/3 / 4/9 / (9/8 - 3/4 / 3/4)
[1685025] ['3/4', '3/4', '4/3', '5/2', '5/3'] -> 5/2 / (5/3 - 3/4 * (3/4 + 4/3))
[1685029] ['3/4', '3/4', '4/3', '5/2', '5/8'] -> 5/2 / (3/4 + 3/4 - 4/3) / 5/8
[1685034] ['3/4', '3/4', '4/3', '5/2', '7/3'] -> 7/3 / (3/4 * 5/2 - 4/3 / 3/4)
[1685035] ['3/4', '3/4', '4/3', '5/2', '7/4'] -> 7/4 / (3/4 * 3/4 * 5/2 - 4/3)
[1685038] ['3/4', '3/4', '4/3', '5/2', '7/8'] -> 5/2 / (3/4 * 3/4 + 7/8 - 4/3)
[1685040] ['3/4', '3/4', '4/3', '5/2', '8/3'] -> 5/2 / (3/4 * (8/3 - 3/4) - 4/3)
[1685041] ['3/4', '3/4', '4/3', '5/2', '8/5'] -> 5/2 / (3/4 + 3/4 - 4/3) * 8/5
[1685046] ['3/4', '3/4', '4/3', '5/2', '9/5'] -> 5/2 / (3/4 - 3/4 / 4/3) * 9/5
[1685048] ['3/4', '3/4', '4/3', '5/2', '9/8'] -> 5/2 / (3/4 / 9/8 - 3/4 / 4/3)
[1685053] ['3/4', '3/4', '4/3', '5/3', '5/8'] -> 3/4 / (4/3 / 5/3 - 3/4) / 5/8
[1685062] ['3/4', '3/4', '4/3', '5/3', '7/8'] -> (4/3 + 5/3) / (3/4 / 3/4 - 7/8)
[1685065] ['3/4', '3/4', '4/3', '5/3', '8/5'] -> 3/4 * 8/5 / (4/3 / 5/3 - 3/4)
[1685072] ['3/4', '3/4', '4/3', '5/3', '9/8'] -> (4/3 + 5/3) / (9/8 - 3/4 / 3/4)
[1685078] ['3/4', '3/4', '4/3', '5/4', '6/5'] -> 6/5 / (3/4 * 4/3 / 5/4 - 3/4)
[1685079] ['3/4', '3/4', '4/3', '5/4', '6/7'] -> 6/7 / (3/4 / (4/3 - 3/4) - 5/4)
[1685085] ['3/4', '3/4', '4/3', '5/4', '7/8'] -> (4/3 + 5/4 / 3/4) / (7/8 - 3/4)
[1685087] ['3/4', '3/4', '4/3', '5/4', '8/3'] -> 8/3 / (4/3 / 3/4 - 5/4 / 3/4)
[1685102] ['3/4', '3/4', '4/3', '5/6', '7/2'] -> 7/2 / (4/3 - 3/4 * (3/4 + 5/6))
[1685113] ['3/4', '3/4', '4/3', '5/6', '9/2'] -> 9/2 / 3/4 / (3/4 + 5/6 - 4/3)
[1685115] ['3/4', '3/4', '4/3', '5/6', '9/5'] -> 9/5 / (3/4 - 3/4 / 4/3 / 5/6)
[1685121] ['3/4', '3/4', '4/3', '5/7', '6/5'] -> 6/5 / (3/4 / 5/7 - 3/4 * 4/3)
[1685127] ['3/4', '3/4', '4/3', '5/7', '7/6'] -> 3/4 * 4/3 / (3/4 - 5/7) / 7/6
[1685143] ['3/4', '3/4', '4/3', '5/8', '7/2'] -> 7/2 / (4/3 - 3/4 * 3/4 - 5/8)
[1685146] ['3/4', '3/4', '4/3', '5/8', '7/5'] -> 3/4 / 3/4 / 5/8 / (7/5 - 4/3)
[1685165] ['3/4', '3/4', '4/3', '5/9', '7/5'] -> 4/3 / 5/9 / (3/4 + 3/4 - 7/5)
[1685170] ['3/4', '3/4', '4/3', '5/9', '8/5'] -> 4/3 / 5/9 / (8/5 - 3/4 - 3/4)
[1685172] ['3/4', '3/4', '4/3', '5/9', '8/9'] -> 3/4 * 8/9 / (4/3 - 3/4 - 5/9)
[1685177] ['3/4', '3/4', '4/3', '5/9', '9/8'] -> 3/4 / (4/3 - 3/4 - 5/9) / 9/8
[1685187] ['3/4', '3/4', '4/3', '6/5', '8/3'] -> 8/3 / (4/3 / 6/5 - 3/4 / 3/4)
[1685188] ['3/4', '3/4', '4/3', '6/5', '8/5'] -> 6/5 / (8/5 / 3/4 - 3/4 - 4/3)
[1685192] ['3/4', '3/4', '4/3', '6/5', '9/4'] -> 4/3 * 9/4 / (3/4 - 3/4 / 6/5)
[1685203] ['3/4', '3/4', '4/3', '6/7', '7/9'] -> 6/7 / (3/4 * 4/3 - 3/4 / 7/9)
[1685206] ['3/4', '3/4', '4/3', '6/7', '8/7'] -> 8/7 / (4/3 - (3/4 + 3/4) * 6/7)
[1685215] ['3/4', '3/4', '4/3', '7/2', '7/4'] -> 7/2 / (3/4 * 3/4 + 4/3 - 7/4)
[1685217] ['3/4', '3/4', '4/3', '7/2', '7/6'] -> 7/2 / (3/4 + 3/4 / 4/3 - 7/6)
[1685218] ['3/4', '3/4', '4/3', '7/2', '7/8'] -> 7/2 / (3/4 + 3/4 - 4/3) / 7/8
[1685222] ['3/4', '3/4', '4/3', '7/2', '8/7'] -> 7/2 / (3/4 + 3/4 - 4/3) * 8/7
[1685227] ['3/4', '3/4', '4/3', '7/2', '9/7'] -> 7/2 / (3/4 - 3/4 / 4/3) * 9/7
[1685228] ['3/4', '3/4', '4/3', '7/2', '9/8'] -> (3/4 + 3/4 + 7/2) / (4/3 - 9/8)
[1685243] ['3/4', '3/4', '4/3', '7/3', '9/8'] -> 7/3 / (3/4 + 9/8 - 4/3 / 3/4)
[1685251] ['3/4', '3/4', '4/3', '7/4', '8/7'] -> 7/4 / (3/4 + 3/4 / 8/7 - 4/3)
[1685254] ['3/4', '3/4', '4/3', '7/4', '9/4'] -> (7/4 + 9/4) / (3/4 + 3/4 - 4/3)
[1685268] ['3/4', '3/4', '4/3', '7/5', '9/5'] -> 4/3 * 9/5 / (3/4 + 3/4 - 7/5)
[1685276] ['3/4', '3/4', '4/3', '7/6', '8/7'] -> 8/7 / (4/3 - (3/4 + 3/4) / 7/6)
[1685277] ['3/4', '3/4', '4/3', '7/6', '8/9'] -> (4/3 + 7/6) / 3/4 / (8/9 - 3/4)
[1685285] ['3/4', '3/4', '4/3', '7/8', '8/3'] -> 3/4 * (4/3 + 8/3) / (7/8 - 3/4)
[1685292] ['3/4', '3/4', '4/3', '7/8', '9/7'] -> 3/4 / 3/4 / 7/8 / (4/3 - 9/7)
[1685294] ['3/4', '3/4', '4/3', '7/9', '7/9'] -> 4/3 / (7/9 + 7/9 - 3/4 - 3/4)
[1685299] ['3/4', '3/4', '4/3', '7/9', '9/2'] -> 9/2 / (4/3 - 3/4 * (3/4 + 7/9))
[1685300] ['3/4', '3/4', '4/3', '7/9', '9/4'] -> 3/4 / (7/9 - 3/4) - 4/3 * 9/4
[1685304] ['3/4', '3/4', '4/3', '8/3', '8/3'] -> 8/3 / ((3/4 + 4/3) / 3/4 - 8/3)
[1685305] ['3/4', '3/4', '4/3', '8/3', '8/5'] -> 3/4 * 8/3 / (4/3 / 8/5 - 3/4)
[1685309] ['3/4', '3/4', '4/3', '8/3', '9/4'] -> 8/3 * 9/4 / (3/4 * 4/3 - 3/4)
[1685311] ['3/4', '3/4', '4/3', '8/3', '9/7'] -> (4/3 + 8/3) / (3/4 - 3/4 / 9/7)
[1685312] ['3/4', '3/4', '4/3', '8/3', '9/8'] -> 8/3 / 4/3 / (3/4 - 3/4 / 9/8)
[1685315] ['3/4', '3/4', '4/3', '8/5', '8/9'] -> (3/4 + 4/3) * 8/5 / (8/9 - 3/4)
