[2000011] ['5/2', '5/2', '5/2', '5/2', '5/8'] -> ((((5/2 + 5/2) * 5/2) + 5/2) / 5/8)
[2000459] ['5/2', '5/2', '5/3', '5/9', '9/8'] -> ((5/3 / 5/9) / (9/8 - (5/2 / 5/2)))
[2000463] ['5/2', '5/2', '5/3', '6/5', '7/3'] -> (((5/2 + 5/2) * 6/5) * (5/3 + 7/3))
[2000502] ['5/2', '5/2', '5/3', '7/2', '8/3'] -> (((5/2 * (5/2 + 7/2)) / 5/3) * 8/3)
[2000504] ['5/2', '5/2', '5/3', '7/2', '8/7'] -> (8/7 / ((5/2 / 7/2) - (5/3 / 5/2)))
[2000506] ['5/2', '5/2', '5/3', '7/2', '9/2'] -> (((5/2 + 7/2) - (5/3 / 5/2)) * 9/2)
[2000508] ['5/2', '5/2', '5/3', '7/2', '9/5'] -> (((5/2 * (5/2 + 7/2)) - 5/3) * 9/5)
[2000513] ['5/2', '5/2', '5/3', '7/3', '7/5'] -> ((5/3 + 7/3) * (5/2 + (5/2 * 7/5)))
[2000514] ['5/2', '5/2', '5/3', '7/3', '7/6'] -> ((5/3 + 7/3) / (7/6 - (5/2 / 5/2)))
[2000522] ['5/2', '5/2', '5/3', '7/3', '9/4'] -> ((((5/2 + 5/2) * 5/3) + 7/3) * 9/4)
[2000533] ['5/2', '5/2', '5/3', '7/4', '8/7'] -> (8/7 / ((5/2 / 5/2) - (5/3 / 7/4)))
[2000535] ['5/2', '5/2', '5/3', '7/4', '9/2'] -> ((5/2 + (7/4 / 5/2)) * (5/3 * 9/2))
[2000540] ['5/2', '5/2', '5/3', '7/5', '7/5'] -> (((5/2 + 5/2) + 7/5) / (5/3 - 7/5))
[2000542] ['5/2', '5/2', '5/3', '7/5', '7/8'] -> ((5/2 / ((5/2 / 7/5) - 5/3)) / 7/8)
[2000544] ['5/2', '5/2', '5/3', '7/5', '8/3'] -> ((5/2 + (5/3 * (5/2 + 7/5))) * 8/3)
[2000545] ['5/2', '5/2', '5/3', '7/5', '8/5'] -> ((5/2 * 8/5) / (5/2 - (5/3 * 7/5)))
[2000546] ['5/2', '5/2', '5/3', '7/5', '8/7'] -> ((5/2 * 8/7) / ((5/2 / 7/5) - 5/3))
[2000548] ['5/2', '5/2', '5/3', '7/5', '9/2'] -> ((((5/2 + 5/2) * 7/5) - 5/3) * 9/2)
[2000549] ['5/2', '5/2', '5/3', '7/5', '9/4'] -> (((5/2 + 5/2) + 7/5) * (5/3 * 9/4))
[2000560] ['5/2', '5/2', '5/3', '7/6', '9/2'] -> ((5/2 * (5/3 + (7/6 / 5/2))) * 9/2)
[2000571] ['5/2', '5/2', '5/3', '7/8', '9/2'] -> ((5/3 * 9/2) / (5/2 - (5/2 * 7/8)))
[2000573] ['5/2', '5/2', '5/3', '7/8', '9/5'] -> ((5/3 * 9/5) / ((5/2 / 5/2) - 7/8))
[2000586] ['5/2', '5/2', '5/3', '8/3', '8/3'] -> (((5/2 * 8/3) / (8/3 - 5/2)) / 5/3)
[2000589] ['5/2', '5/2', '5/3', '8/3', '8/9'] -> (8/3 / ((5/2 - (5/2 / 5/3)) - 8/9))
[2000591] ['5/2', '5/2', '5/3', '8/3', '9/4'] -> (((5/2 + (5/2 / 5/3)) * 8/3) * 9/4)
[2000593] ['5/2', '5/2', '5/3', '8/3', '9/7'] -> ((5/2 * 8/3) / ((5/2 / 9/7) - 5/3))
[2000597] ['5/2', '5/2', '5/3', '8/5', '8/9'] -> ((5/3 * 8/5) / ((5/2 / 5/2) - 8/9))
[2000600] ['5/2', '5/2', '5/3', '8/5', '9/5'] -> ((((5/2 + 5/2) * 5/3) * 8/5) * 9/5)
[2000605] ['5/2', '5/2', '5/3', '8/7', '9/2'] -> ((5/3 * 9/2) / (5/2 - (5/2 / 8/7)))
[2000611] ['5/2', '5/2', '5/3', '8/9', '9/2'] -> ((5/3 * 9/2) / ((5/2 / 8/9) - 5/2))
[2000617] ['5/2', '5/2', '5/3', '9/2', '9/4'] -> (((5/2 / 5/3) + 9/2) / (5/2 - 9/4))
[2000627] ['5/2', '5/2', '5/3', '9/5', '9/8'] -> ((5/3 * 9/5) / (9/8 - (5/2 / 5/2)))
[2000637] ['5/2', '5/2', '5/4', '5/4', '6/7'] -> ((5/2 + 5/2) / ((5/4 / 6/7) - 5/4))
[2000653] ['5/2', '5/2', '5/4', '5/4', '9/8'] -> ((5/2 + (5/4 / 5/2)) / (5/4 - 9/8))
[2000654] ['5/2', '5/2', '5/4', '5/6', '5/6'] -> ((5/2 + 5/2) / ((5/4 * 5/6) - 5/6))
[2000657] ['5/2', '5/2', '5/4', '5/6', '5/9'] -> ((5/2 + 5/6) / ((5/2 * 5/9) - 5/4))
[2000660] ['5/2', '5/2', '5/4', '5/6', '7/2'] -> ((5/2 + (5/4 / 5/6)) * (5/2 + 7/2))
[2000661] ['5/2', '5/2', '5/4', '5/6', '7/3'] -> ((5/2 + (5/4 / 5/6)) / (5/2 - 7/3))
[2000662] ['5/2', '5/2', '5/4', '5/6', '7/4'] -> ((5/2 / 5/4) / ((5/6 + 7/4) - 5/2))
[2000668] ['5/2', '5/2', '5/4', '5/6', '8/5'] -> (((5/2 * 5/2) * 8/5) / (5/4 - 5/6))
[2000673] ['5/2', '5/2', '5/4', '5/6', '9/5'] -> ((5/2 + 5/6) / ((5/2 / 9/5) - 5/4))
[2000675] ['5/2', '5/2', '5/4', '5/6', '9/8'] -> ((5/2 / ((5/2 - 5/4) - 9/8)) / 5/6)
[2000680] ['5/2', '5/2', '5/4', '5/7', '6/7'] -> (6/7 / (((5/2 + 5/7) / 5/2) - 5/4))
[2000690] ['5/2', '5/2', '5/4', '5/7', '8/7'] -> (8/7 / (5/7 - (5/2 / (5/2 + 5/4))))
[2000697] ['5/2', '5/2', '5/4', '5/8', '5/8'] -> (((5/2 * (5/2 + 5/4)) / 5/8) / 5/8)
[2000699] ['5/2', '5/2', '5/4', '5/8', '6/5'] -> ((5/2 * 6/5) / (5/8 - (5/4 / 5/2)))
[2000701] ['5/2', '5/2', '5/4', '5/8', '7/2'] -> ((5/2 * (5/2 + 7/2)) / (5/4 - 5/8))
[2000703] ['5/2', '5/2', '5/4', '5/8', '7/4'] -> (((5/2 + 5/2) * (5/4 + 7/4)) / 5/8)
[2000709] ['5/2', '5/2', '5/4', '5/8', '8/5'] -> (((5/2 * (5/2 + 5/4)) * 8/5) / 5/8)
[2000712] ['5/2', '5/2', '5/4', '5/8', '9/2'] -> (((5/2 + 5/4) + (5/2 * 9/2)) / 5/8)
[2000719] ['5/2', '5/2', '5/4', '5/9', '6/7'] -> (6/7 / ((5/2 / (5/2 - 5/9)) - 5/4))
[2000720] ['5/2', '5/2', '5/4', '5/9', '7/2'] -> ((5/2 + 7/2) / (5/2 - (5/4 / 5/9)))
[2000725] ['5/2', '5/2', '5/4', '5/9', '7/8'] -> (((5/2 + 5/2) / 5/9) / (5/4 - 7/8))
[2000738] ['5/2', '5/2', '5/4', '6/5', '7/2'] -> ((5/2 + (5/4 * 6/5)) * (5/2 + 7/2))
[2000739] ['5/2', '5/2', '5/4', '6/5', '7/3'] -> ((5/2 + (5/4 * 6/5)) / (5/2 - 7/3))
[2000749] ['5/2', '5/2', '5/4', '6/5', '9/2'] -> ((5/4 * 6/5) + ((5/2 + 5/2) * 9/2))
[2000772] ['5/2', '5/2', '5/4', '7/2', '7/3'] -> (((5/4 / 5/2) + 7/2) / (5/2 - 7/3))
[2000773] ['5/2', '5/2', '5/4', '7/2', '7/4'] -> ((5/2 + 7/2) / ((5/2 / 5/4) - 7/4))
[2000775] ['5/2', '5/2', '5/4', '7/2', '7/6'] -> ((5/2 / (5/4 - 7/6)) - (5/2 + 7/2))
[2000784] ['5/2', '5/2', '5/4', '7/2', '9/5'] -> ((5/2 + 7/2) / (5/2 - (5/4 * 9/5)))
[2000791] ['5/2', '5/2', '5/4', '7/3', '7/8'] -> (((5/2 * 5/4) + 7/8) / (5/2 - 7/3))
[2000802] ['5/2', '5/2', '5/4', '7/4', '7/4'] -> (((5/2 * 5/2) + 7/4) * (5/4 + 7/4))
[2000805] ['5/2', '5/2', '5/4', '7/4', '7/8'] -> ((5/4 + 7/4) / ((5/2 / 5/2) - 7/8))
[2000808] ['5/2', '5/2', '5/4', '7/4', '8/5'] -> (((5/2 + 5/2) * (5/4 + 7/4)) * 8/5)
[2000815] ['5/2', '5/2', '5/4', '7/4', '9/8'] -> ((5/4 + 7/4) / (9/8 - (5/2 / 5/2)))
[2000833] ['5/2', '5/2', '5/4', '7/6', '8/5'] -> (8/5 / ((5/2 / 5/2) - (7/6 / 5/4)))
[2000839] ['5/2', '5/2', '5/4', '7/6', '9/7'] -> (((5/2 / 5/2) / 7/6) / (9/7 - 5/4))
[2000843] ['5/2', '5/2', '5/4', '7/8', '8/3'] -> (((5/2 * 5/4) + 7/8) / (8/3 - 5/2))
[2000847] ['5/2', '5/2', '5/4', '7/8', '9/2'] -> (9/2 / ((5/2 * 7/8) - (5/2 / 5/4)))
[2000848] ['5/2', '5/2', '5/4', '7/8', '9/4'] -> (9/4 / ((5/4 * 7/8) - (5/2 / 5/2)))
[2000863] ['5/2', '5/2', '5/4', '8/3', '8/5'] -> (((5/2 + (5/2 * 5/4)) * 8/3) * 8/5)
[2000881] ['5/2', '5/2', '5/4', '8/7', '9/2'] -> (9/2 / ((5/2 / 8/7) - (5/2 / 5/4)))
[2000882] ['5/2', '5/2', '5/4', '8/7', '9/4'] -> (9/4 / ((5/4 / 8/7) - (5/2 / 5/2)))
[2000892] ['5/2', '5/2', '5/4', '9/2', '9/2'] -> (((5/2 + 5/2) + (9/2 * 9/2)) - 5/4)
[2000893] ['5/2', '5/2', '5/4', '9/2', '9/4'] -> (((5/2 + 5/4) * (5/2 + 9/2)) - 9/4)
[2000897] ['5/2', '5/2', '5/4', '9/4', '9/4'] -> (((5/2 + 5/4) + 9/4) / (5/2 - 9/4))
[2000909] ['5/2', '5/2', '5/6', '5/6', '5/8'] -> (5/2 / ((5/6 + 5/6) - (5/2 * 5/8)))
[2000914] ['5/2', '5/2', '5/6', '5/6', '7/3'] -> (((5/2 + 5/6) / (5/2 - 7/3)) / 5/6)
[2000919] ['5/2', '5/2', '5/6', '5/6', '7/9'] -> (((5/2 + 5/6) / 5/2) / (5/6 - 7/9))
[2000921] ['5/2', '5/2', '5/6', '5/6', '8/5'] -> (5/2 / ((5/6 + 5/6) - (5/2 / 8/5)))
[2000923] ['5/2', '5/2', '5/6', '5/6', '8/9'] -> (((5/2 + 5/6) / 5/2) / (8/9 - 5/6))
[2000933] ['5/2', '5/2', '5/6', '5/7', '6/7'] -> (6/7 / ((5/2 / (5/2 + 5/6)) - 5/7))
[2000934] ['5/2', '5/2', '5/6', '5/7', '7/2'] -> ((((5/2 + 5/2) + 5/7) / 5/6) * 7/2)
[2000936] ['5/2', '5/2', '5/6', '5/7', '7/4'] -> (((5/2 + 5/2) / (5/6 - 5/7)) / 7/4)
[2000949] ['5/2', '5/2', '5/6', '5/7', '9/8'] -> (((5/2 + 5/2) / 5/7) / (9/8 - 5/6))
[2000951] ['5/2', '5/2', '5/6', '5/8', '5/9'] -> (((5/2 * (5/2 + 5/6)) / 5/8) / 5/9)
[2000954] ['5/2', '5/2', '5/6', '5/8', '7/2'] -> ((5/2 / 5/8) / ((7/2 - 5/2) - 5/6))
[2000958] ['5/2', '5/2', '5/6', '5/8', '7/6'] -> (((5/2 + 5/2) / (7/6 - 5/6)) / 5/8)
[2000961] ['5/2', '5/2', '5/6', '5/8', '8/3'] -> ((((5/2 + 5/6) + 8/3) * 5/2) / 5/8)
[2000966] ['5/2', '5/2', '5/6', '5/8', '9/4'] -> ((5/2 / 5/8) / (9/4 - (5/2 * 5/6)))
[2000967] ['5/2', '5/2', '5/6', '5/8', '9/5'] -> (((5/2 * (5/2 + 5/6)) / 5/8) * 9/5)
[2000970] ['5/2', '5/2', '5/6', '5/9', '5/9'] -> ((5/2 * (5/6 + (5/2 / 5/9))) / 5/9)
[2000981] ['5/2', '5/2', '5/6', '5/9', '8/5'] -> (((5/2 * (5/2 + 5/6)) / 5/9) * 8/5)
[2000985] ['5/2', '5/2', '5/6', '5/9', '9/4'] -> (((5/2 + 5/6) / 5/9) / (5/2 - 9/4))
[2000988] ['5/2', '5/2', '5/6', '5/9', '9/8'] -> ((5/2 + (5/2 / 5/9)) / (9/8 - 5/6))
[2000991] ['5/2', '5/2', '5/6', '6/5', '7/2'] -> (((5/2 + 5/6) * 6/5) * (5/2 + 7/2))
[2000992] ['5/2', '5/2', '5/6', '6/5', '7/3'] -> (((5/2 + 5/6) * 6/5) / (5/2 - 7/3))
[2001002] ['5/2', '5/2', '5/6', '6/5', '9/2'] -> (((5/2 + 5/6) - 6/5) * (5/2 * 9/2))
[2001008] ['5/2', '5/2', '5/6', '6/7', '7/2'] -> ((((5/2 + 5/2) / 5/6) + 6/7) * 7/2)
[2001010] ['5/2', '5/2', '5/6', '6/7', '7/4'] -> (((5/2 / (6/7 - 5/6)) / 5/2) / 7/4)
[2001030] ['5/2', '5/2', '5/6', '7/2', '7/9'] -> (((5/2 + (5/2 / 7/9)) * 7/2) / 5/6)
[2001031] ['5/2', '5/2', '5/6', '7/2', '8/3'] -> (((5/2 + (5/2 / 5/6)) + 7/2) * 8/3)
[2001032] ['5/2', '5/2', '5/6', '7/2', '8/5'] -> ((5/2 * 8/5) / ((7/2 - 5/2) - 5/6))
[2001036] ['5/2', '5/2', '5/6', '7/2', '9/4'] -> ((((5/2 * 5/2) * 7/2) / 5/6) - 9/4)
[2001038] ['5/2', '5/2', '5/6', '7/2', '9/7'] -> (((5/2 + (5/2 * 9/7)) * 7/2) / 5/6)
[2001050] ['5/2', '5/2', '5/6', '7/3', '9/2'] -> (((5/2 + 5/2) * 9/2) - (5/6 - 7/3))
[2001051] ['5/2', '5/2', '5/6', '7/3', '9/4'] -> (((5/2 * (5/2 + 5/6)) + 7/3) * 9/4)
[2001057] ['5/2', '5/2', '5/6', '7/4', '7/6'] -> (((5/2 * 5/2) + 7/4) / (7/6 - 5/6))
[2001074] ['5/2', '5/2', '5/6', '7/5', '8/5'] -> (8/5 / (7/5 - ((5/2 + 5/6) / 5/2)))
[2001077] ['5/2', '5/2', '5/6', '7/5', '9/2'] -> (((5/2 + 5/2) + 7/5) * (5/6 * 9/2))
[2001081] ['5/2', '5/2', '5/6', '7/5', '9/8'] -> (((5/2 + 5/2) * 7/5) / (9/8 - 5/6))
[2001086] ['5/2', '5/2', '5/6', '7/6', '8/5'] -> (((5/2 + 5/2) * 8/5) / (7/6 - 5/6))
[2001098] ['5/2', '5/2', '5/6', '7/8', '8/7'] -> (8/7 / ((5/2 / 5/2) - (5/6 / 7/8)))
[2001100] ['5/2', '5/2', '5/6', '7/8', '9/2'] -> (((5/2 / 5/6) / 7/8) * (5/2 + 9/2))
[2001107] ['5/2', '5/2', '5/6', '7/9', '8/5'] -> (8/5 / ((5/2 / 5/2) - (7/9 / 5/6)))
[2001110] ['5/2', '5/2', '5/6', '7/9', '9/2'] -> (((5/2 + (5/2 * 7/9)) / 5/6) * 9/2)
[2001115] ['5/2', '5/2', '5/6', '8/3', '8/3'] -> ((5/2 * 8/3) / (5/2 - (5/6 * 8/3)))
[2001116] ['5/2', '5/2', '5/6', '8/3', '8/5'] -> (((5/2 + 5/6) + 8/3) * (5/2 * 8/5))
[2001124] ['5/2', '5/2', '5/6', '8/5', '8/5'] -> (((5/2 * 5/2) * (8/5 + 8/5)) / 5/6)
[2001129] ['5/2', '5/2', '5/6', '8/5', '9/5'] -> (((5/2 * (5/2 + 5/6)) * 8/5) * 9/5)
[2001132] ['5/2', '5/2', '5/6', '8/7', '8/7'] -> (8/7 / ((5/2 / 5/2) - (5/6 * 8/7)))
[2001134] ['5/2', '5/2', '5/6', '8/7', '9/2'] -> (((5/2 * 8/7) / 5/6) * (5/2 + 9/2))
[2001146] ['5/2', '5/2', '5/6', '9/2', '9/4'] -> ((((5/2 + 5/2) + 5/6) * 9/2) - 9/4)
[2001148] ['5/2', '5/2', '5/6', '9/2', '9/7'] -> (((5/2 + (5/2 / 9/7)) * 9/2) / 5/6)
[2001151] ['5/2', '5/2', '5/6', '9/4', '9/5'] -> (((5/2 + 5/6) / (5/2 - 9/4)) * 9/5)
[2001154] ['5/2', '5/2', '5/6', '9/5', '9/5'] -> ((5/2 * (5/6 + (5/2 * 9/5))) * 9/5)
[2001156] ['5/2', '5/2', '5/6', '9/5', '9/8'] -> ((5/2 + (5/2 * 9/5)) / (9/8 - 5/6))
[2001181] ['5/2', '5/2', '5/7', '5/8', '5/8'] -> ((5/2 / (5/7 - 5/8)) - (5/2 / 5/8))
[2001186] ['5/2', '5/2', '5/7', '5/8', '7/3'] -> (((5/2 + 5/2) / (5/7 - 5/8)) / 7/3)
[2001193] ['5/2', '5/2', '5/7', '5/8', '8/5'] -> ((5/2 / (5/7 - 5/8)) - (5/2 * 8/5))
[2001194] ['5/2', '5/2', '5/7', '5/8', '8/7'] -> (((5/2 / 5/2) + 8/7) / (5/7 - 5/8))
[2001205] ['5/2', '5/2', '5/7', '5/9', '7/3'] -> ((((5/2 + 5/2) + 5/7) / 5/9) * 7/3)
[2001222] ['5/2', '5/2', '5/7', '6/5', '7/2'] -> ((((5/2 + 5/2) + 5/7) * 6/5) * 7/2)
