[1755806] ['3/5', '3/8', '5/3', '7/8', '8/5'] -> 8/5 / (7/8 / 3/8 - 3/5 - 5/3)
[1756089] ['3/5', '3/8', '5/4', '7/8', '9/8'] -> 9/8 / (3/8 * (7/8 - 3/5 * 5/4))
[1756101] ['3/5', '3/8', '5/4', '8/3', '8/5'] -> 8/5 / (5/4 / 3/8 - 3/5 - 8/3)
[1756105] ['3/5', '3/8', '5/4', '8/3', '9/4'] -> 9/4 / (3/8 - 3/5 * 5/4 / 8/3)
[1756106] ['3/5', '3/8', '5/4', '8/3', '9/5'] -> 9/5 / (3/8 / 5/4 - 3/5 / 8/3)
[1756112] ['3/5', '3/8', '5/4', '8/5', '9/2'] -> 8/5 / (3/5 - 3/8 / 5/4) * 9/2
[1756119] ['3/5', '3/8', '5/4', '8/7', '9/2'] -> 9/2 / (5/4 * (3/5 / 8/7 - 3/8))
[1756127] ['3/5', '3/8', '5/4', '8/9', '9/5'] -> 3/5 / (((3/8 + 8/9) - 5/4) * /5
)[1756132] ['3/5', '3/8', '5/4', '9/2', '9/5'] -> (3/5 + 5/4) * 9/2 / 3/8 + 9/5
[1756135] ['3/5', '3/8', '5/4', '9/4', '9/4'] -> 9/4 / (3/8 * 9/4 - 3/5 * 5/4)
[1756142] ['3/5', '3/8', '5/4', '9/7', '9/7'] -> 9/7 / (9/7 / 5/4 - 3/5 - 3/8)
[1756153] ['3/5', '3/8', '5/6', '5/6', '7/4'] -> (7/4 / (3/8 * (5/6 - 3/5)) * 5/6))
[1756159] ['3/5', '3/8', '5/6', '5/6', '8/5'] -> 8/5 / (5/6 + 5/6 - 3/5 / 3/8)
[1756162] ['3/5', '3/8', '5/6', '5/6', '9/2'] -> 9/2 / (3/5 * 5/6 - 3/8 * 5/6)
[1756164] ['3/5', '3/8', '5/6', '5/6', '9/5'] -> (5/6 / (5/6 * 3/8) - (3/5 / 9/5)))
[1756204] ['3/5', '3/8', '5/6', '5/8', '9/4'] -> 9/4 / ((3/5 - 3/8 / 5/6) * 5/8)
[1756209] ['3/5', '3/8', '5/6', '5/9', '6/5'] -> 5/6 / (3/8 - 3/5 * 5/9) * 6/5
[1756211] ['3/5', '3/8', '5/6', '5/9', '7/2'] -> 7/2 / (3/5 * (5/9 - 3/8 * 5/6))
[1756212] ['3/5', '3/8', '5/6', '5/9', '7/3'] -> 7/3 / (3/8 - 3/5 * 5/6 * 5/9)
[1756214] ['3/5', '3/8', '5/6', '5/9', '7/5'] -> 7/5 / (3/5 * (3/8 + 5/9 - 5/6))
[1756215] ['3/5', '3/8', '5/6', '5/9', '7/6'] -> 7/6 / (3/8 * (5/6 - 3/5) * 5/9)
[1756219] ['3/5', '3/8', '5/6', '5/9', '8/5'] -> 8/5 / ((5/6 - 3/5) / 3/8 - 5/9)
[1756222] ['3/5', '3/8', '5/6', '5/9', '9/2'] -> 9/2 / (3/8 * (5/6 - 3/5 * 5/9))
[1756231] ['3/5', '3/8', '5/6', '6/5', '7/4'] -> 6/5 / ((5/6 - 3/5) * /8) * 7/4
[1756246] ['3/5', '3/8', '5/6', '6/7', '7/2'] -> 7/2 * 6/7 / (3/5 * 5/6 - 3/8)
[1756258] ['3/5', '3/8', '5/6', '6/7', '9/4'] -> 3/8 / ((6/7 - 5/6) * /5) - 9/4
[1756266] ['3/5', '3/8', '5/6', '7/2', '7/6'] -> 7/2 / (((3/5 * 5/6) - 3/8) * /6
)[1756274] ['3/5', '3/8', '5/6', '7/2', '9/4'] -> (3/5 * 5/6 + 7/2) / 3/8 * 9/4
[1756275] ['3/5', '3/8', '5/6', '7/2', '9/5'] -> (7/2 / 3/5 - 5/6) / 3/8 * 9/5
[1756280] ['3/5', '3/8', '5/6', '7/3', '7/5'] -> 3/5 / ((3/8 - (5/6 / 7/3)) * /5
)[1756284] ['3/5', '3/8', '5/6', '7/3', '8/3'] -> 7/3 / ((5/6 - 3/5) * /8) - 8/3
[1756285] ['3/5', '3/8', '5/6', '7/3', '8/5'] -> 8/5 / (3/5 * (7/3 - 5/6 / 3/8))
[1756291] ['3/5', '3/8', '5/6', '7/3', '9/7'] -> 9/7 * 7/3 / (3/5 * 5/6 - 3/8)
[1756294] ['3/5', '3/8', '5/6', '7/4', '7/5'] -> 7/5 / (3/5 + 3/8 + 5/6 - 7/4)
[1756302] ['3/5', '3/8', '5/6', '7/4', '9/2'] -> 9/2 / (3/8 * 7/4 / 5/6 - 3/5)
[1756306] ['3/5', '3/8', '5/6', '7/4', '9/8'] -> 9/8 / (5/6 * (3/8 * 7/4 - 3/5))
[1756307] ['3/5', '3/8', '5/6', '7/5', '7/5'] -> 7/5 / (3/8 / 3/5 + 5/6 - 7/5)
[1756311] ['3/5', '3/8', '5/6', '7/5', '8/3'] -> 8/3 / (7/5 / 3/5 - 5/6 / 3/8)
[1756312] ['3/5', '3/8', '5/6', '7/5', '8/5'] -> 8/5 / (7/5 - 3/5 * 5/6 / 3/8)
[1756327] ['3/5', '3/8', '5/6', '7/6', '9/2'] -> (3/5 + 7/6 / 5/6) / 3/8 * 9/2
[1756330] ['3/5', '3/8', '5/6', '7/6', '9/7'] -> 9/7 / (3/5 * 5/6 / 7/6 - 3/8)
[1756357] ['3/5', '3/8', '5/6', '8/3', '9/2'] -> 9/2 / (3/8 - 3/5 * 5/6 / 8/3)
[1756361] ['3/5', '3/8', '5/6', '8/3', '9/8'] -> 9/8 * 8/3 / (3/5 * 5/6 - 3/8)
[1756366] ['3/5', '3/8', '5/6', '8/5', '9/4'] -> 8/5 / (3/5 - 3/8 / 5/6) * 9/4
[1756374] ['3/5', '3/8', '5/6', '8/7', '9/5'] -> 9/5 / (3/5 / 8/7 - 3/8 / 5/6)
[1756379] ['3/5', '3/8', '5/6', '8/9', '9/4'] -> 9/4 / (3/5 - 3/8 / (5/6 * /9)
)[1756384] ['3/5', '3/8', '5/6', '9/2', '9/4'] -> (9/2 - 3/5 * 5/6) / 3/8 * 9/4
[1756385] ['3/5', '3/8', '5/6', '9/2', '9/5'] -> (3/5 * 5/6 + 9/2) / 3/8 * 9/5
[1756417] ['3/5', '3/8', '5/7', '5/7', '9/7'] -> 9/7 / ((3/5 - 3/8 / 5/7) * 5/7)
[1756422] ['3/5', '3/8', '5/7', '5/8', '6/7'] -> 6/7 / (3/5 * 5/8 - (5/7 - 3/8))
[1756428] ['3/5', '3/8', '5/7', '5/8', '7/8'] -> 3/8 / (((5/8 - 3/5) * /7) * /8
)[1756438] ['3/5', '3/8', '5/7', '5/8', '9/8'] -> 9/8 / ((3/5 - 3/8 / 5/7) * 5/8)
[1756443] ['3/5', '3/8', '5/7', '5/9', '7/3'] -> 5/7 / (3/8 / 3/5 - 5/9) * 7/3
[1756445] ['3/5', '3/8', '5/7', '5/9', '7/5'] -> 7/5 * 5/7 / (3/8 - 3/5 * 5/9)
[1756450] ['3/5', '3/8', '5/7', '5/9', '8/5'] -> 8/5 / (3/8 * (5/9 / 5/7 - 3/5))
[1756451] ['3/5', '3/8', '5/7', '5/9', '8/7'] -> 8/7 / (3/8 * (5/9 - 3/5 * 5/7))
[1756456] ['3/5', '3/8', '5/7', '5/9', '9/7'] -> 9/7 / (5/7 * (3/8 / 5/9 - 3/5))
[1756464] ['3/5', '3/8', '5/7', '6/5', '7/6'] -> 6/5 / (((5/7 - 3/5) * /8) * /6
)[1756473] ['3/5', '3/8', '5/7', '6/5', '9/5'] -> 9/5 / (6/5 - 3/8 / 5/7 - 3/5)
[1756474] ['3/5', '3/8', '5/7', '6/5', '9/7'] -> 9/7 / (5/7 * (6/5 - 3/5) - 3/8)
[1756489] ['3/5', '3/8', '5/7', '6/7', '9/4'] -> 3/8 / (5/7 - 3/5 / 6/7) - 9/4
[1756491] ['3/5', '3/8', '5/7', '6/7', '9/7'] -> 9/7 / (6/7 - 3/5 * 5/7 - 3/8)
[1756504] ['3/5', '3/8', '5/7', '7/2', '9/2'] -> 9/2 / ((3/5 * 5/7 - 3/8) * 7/2)
[1756516] ['3/5', '3/8', '5/7', '7/3', '8/5'] -> 8/5 / (5/7 * 7/3 - 3/5 / 3/8)
[1756534] ['3/5', '3/8', '5/7', '7/4', '9/4'] -> 9/4 / ((3/5 * 5/7 - 3/8) * 7/4)
[1756559] ['3/5', '3/8', '5/7', '7/6', '9/4'] -> 3/8 / (5/7 - 3/5 * 7/6) - 9/4
[1756560] ['3/5', '3/8', '5/7', '7/6', '9/5'] -> 9/5 / (3/8 * (5/7 - 3/5 / 7/6))
[1756566] ['3/5', '3/8', '5/7', '7/8', '8/5'] -> 3/8 / (5/7 * 7/8 - 3/5) * 8/5
[1756573] ['3/5', '3/8', '5/7', '7/8', '9/8'] -> 9/8 / ((3/5 * 5/7 - 3/8) * 7/8)
[1756577] ['3/5', '3/8', '5/7', '7/9', '8/7'] -> 8/7 / (3/8 * 5/7 * (7/9 - 3/5))
[1756581] ['3/5', '3/8', '5/7', '7/9', '9/5'] -> 9/5 / (3/8 / (5/7 * /9) - 3/5)
[1756582] ['3/5', '3/8', '5/7', '7/9', '9/7'] -> 9/7 / (3/8 / 7/9 - 3/5 * 5/7)
[1756588] ['3/5', '3/8', '5/7', '8/3', '9/2'] -> (3/5 / 3/8 + 8/3 / 5/7) * 9/2
[1756600] ['3/5', '3/8', '5/7', '8/5', '9/8'] -> 9/8 * 8/5 / (3/5 - 3/8 / 5/7)
[1756607] ['3/5', '3/8', '5/7', '8/7', '9/8'] -> 9/8 * 8/7 / (3/5 * 5/7 - 3/8)
[1756624] ['3/5', '3/8', '5/7', '9/5', '9/7'] -> 9/7 / (5/7 * (3/8 * 9/5 - 3/5))
[1756640] ['3/5', '3/8', '5/8', '5/8', '8/3'] -> 5/8 / (5/8 - 3/5) - 3/8 * 8/3
[1756646] ['3/5', '3/8', '5/8', '5/8', '9/5'] -> (5/8 / (5/8 * 3/8) - (3/5 / 9/5)))
[1756662] ['3/5', '3/8', '5/8', '5/9', '8/9'] -> 3/8 / ((5/8 - 3/5) * /9) * 8/9
[1756678] ['3/5', '3/8', '5/8', '6/5', '8/5'] -> 3/8 / (3/5 + 5/8 - 6/5) * 8/5
[1756682] ['3/5', '3/8', '5/8', '6/5', '9/4'] -> 9/4 / (5/8 * (3/5 - 3/8 * 6/5))
[1756685] ['3/5', '3/8', '5/8', '6/5', '9/8'] -> 9/8 / (3/8 * (5/8 - 3/5 / 6/5))
[1756716] ['3/5', '3/8', '5/8', '7/2', '9/5'] -> (7/2 / 5/8 - 3/5) / 3/8 * 9/5
[1756725] ['3/5', '3/8', '5/8', '7/3', '8/3'] -> (5/8 / 3/5 + 7/3) / 3/8 * 8/3
[1756729] ['3/5', '3/8', '5/8', '7/3', '9/2'] -> (3/5 / 3/8 + 7/3 / 5/8) * 9/2
[1756735] ['3/5', '3/8', '5/8', '7/4', '7/5'] -> 3/5 / ((3/8 - (5/8 / 7/4)) * /5
)[1756750] ['3/5', '3/8', '5/8', '7/5', '7/8'] -> 3/8 * 7/5 / (5/8 - 3/5) / 7/8
[1756754] ['3/5', '3/8', '5/8', '7/5', '8/7'] -> 3/8 * 7/5 / (5/8 - 3/5) * 8/7
[1756756] ['3/5', '3/8', '5/8', '7/5', '9/2'] -> 9/2 / (3/8 * 5/8 * (7/5 - 3/5))
[1756760] ['3/5', '3/8', '5/8', '7/5', '9/8'] -> 9/8 / (5/8 * (3/5 - 3/8 * 7/5))
[1756772] ['3/5', '3/8', '5/8', '7/6', '9/8'] -> 9/8 / (3/8 * (7/6 - 5/8 / 3/5))
[1756776] ['3/5', '3/8', '5/8', '7/8', '8/5'] -> 8/5 / ((7/8 - 5/8) / 3/8 - 3/5)
[1756780] ['3/5', '3/8', '5/8', '7/8', '9/4'] -> 9/4 / (5/8 * (3/5 * 7/8 - 3/8))
[1756785] ['3/5', '3/8', '5/8', '7/9', '8/3'] -> 8/3 / (3/8 + 7/9 - 5/8 / 3/5)
[1756799] ['3/5', '3/8', '5/8', '8/3', '9/4'] -> 9/4 / (5/8 * (3/8 - 3/5 / 8/3))
[1756806] ['3/5', '3/8', '5/8', '8/5', '9/2'] -> ((5/8 + 8/5) / 3/8 - 3/5) * 9/2
[1756814] ['3/5', '3/8', '5/8', '8/7', '9/4'] -> 9/4 / (5/8 * (3/5 / 8/7 - 3/8))
[1756819] ['3/5', '3/8', '5/8', '8/9', '9/2'] -> 9/2 / (5/8 * (3/5 / 8/9 - 3/8))
[1756836] ['3/5', '3/8', '5/8', '9/7', '9/7'] -> 9/7 / (5/8 * (9/7 - 3/5) - 3/8)
[1756839] ['3/5', '3/8', '5/9', '5/9', '5/9'] -> 5/9 / ((3/8 - (3/5 * 5/9)) * /9
)[1756858] ['3/5', '3/8', '5/9', '6/5', '6/5'] -> 6/5 / ((3/8 - (3/5 * 5/9)) * /5
)[1756860] ['3/5', '3/8', '5/9', '6/5', '7/2'] -> 7/2 / (3/5 * (5/9 - 3/8 / 6/5))
[1756861] ['3/5', '3/8', '5/9', '6/5', '7/3'] -> 7/3 / (3/8 - 3/5 * 5/9 / 6/5)
[1756863] ['3/5', '3/8', '5/9', '6/5', '7/5'] -> 7/5 / (3/8 * (5/9 + 6/5) - 3/5)
[1756876] ['3/5', '3/8', '5/9', '6/7', '6/7'] -> 6/7 / ((3/8 - (3/5 * 5/9)) * /7
)[1756881] ['3/5', '3/8', '5/9', '6/7', '7/6'] -> 6/7 / (3/8 - 3/5 * 5/9) * 7/6
[1756888] ['3/5', '3/8', '5/9', '6/7', '9/2'] -> 9/2 / (3/8 / (5/9 * /7) - 3/5)
[1756891] ['3/5', '3/8', '5/9', '6/7', '9/7'] -> 9/7 / (3/8 * 5/9 * (6/7 - 3/5))
[1756893] ['3/5', '3/8', '5/9', '7/2', '7/2'] -> 7/2 / ((3/8 - (3/5 * 5/9)) * /2
)[1756896] ['3/5', '3/8', '5/9', '7/2', '7/5'] -> 7/5 / ((3/5 - 5/9) * 3/8 * 7/2)
[1756900] ['3/5', '3/8', '5/9', '7/2', '8/3'] -> (7/2 / 3/8 - 3/5 * 5/9) * 8/3
[1756909] ['3/5', '3/8', '5/9', '7/3', '7/3'] -> 7/3 / ((3/8 - 3/5 * 5/9) * 7/3)
[1756911] ['3/5', '3/8', '5/9', '7/3', '7/5'] -> 7/3 / (((3/8 / 3/5) - 5/9) * /5
)[1756916] ['3/5', '3/8', '5/9', '7/3', '8/5'] -> 8/5 / (3/8 * (7/3 - 5/9) - 3/5)
[1756919] ['3/5', '3/8', '5/9', '7/3', '9/2'] -> (7/3 - 3/5 * 5/9) / 3/8 * 9/2
[1756924] ['3/5', '3/8', '5/9', '7/4', '7/4'] -> 7/4 / ((3/8 - (3/5 * 5/9)) * /4
)[1756929] ['3/5', '3/8', '5/9', '7/4', '8/3'] -> (3/5 + 7/4 / (3/8 * /9)) * 8/3
[1756938] ['3/5', '3/8', '5/9', '7/5', '7/5'] -> 7/5 / ((3/8 - (3/5 * 5/9)) * /5
)[1756942] ['3/5', '3/8', '5/9', '7/5', '8/3'] -> 8/3 / (5/9 * (3/5 / 3/8 - 7/5))
[1756943] ['3/5', '3/8', '5/9', '7/5', '8/5'] -> 8/5 / (3/8 * (5/9 * 7/5 - 3/5))
[1756944] ['3/5', '3/8', '5/9', '7/5', '8/7'] -> 8/7 / (3/8 * (5/9 - 3/5 / 7/5))
[1756949] ['3/5', '3/8', '5/9', '7/5', '9/7'] -> 9/7 * 7/5 / (3/8 / 5/9 - 3/5)
[1756951] ['3/5', '3/8', '5/9', '7/6', '7/6'] -> 7/6 / ((3/8 - (3/5 * 5/9)) * /6
)[1756958] ['3/5', '3/8', '5/9', '7/6', '9/2'] -> 9/2 / (3/8 * 7/6 / 5/9 - 3/5)
[1756963] ['3/5', '3/8', '5/9', '7/8', '7/8'] -> 7/8 / ((3/8 - (3/5 * 5/9)) * /8
)[1756967] ['3/5', '3/8', '5/9', '7/8', '8/7'] -> 7/8 / (3/8 - 3/5 * 5/9) * 8/7
[1756974] ['3/5', '3/8', '5/9', '7/9', '7/9'] -> 7/9 / ((3/8 - 3/5 * 5/9) * 7/9)
[1756975] ['3/5', '3/8', '5/9', '7/9', '8/3'] -> 8/3 / (3/5 * 5/9 / 3/8 - 7/9)
[1756978] ['3/5', '3/8', '5/9', '7/9', '8/9'] -> 8/9 / (3/8 * 5/9 * (7/9 - 3/5))
[1756979] ['3/5', '3/8', '5/9', '7/9', '9/2'] -> (3/5 + 7/9 / 5/9) / 3/8 * 9/2
[1756984] ['3/5', '3/8', '5/9', '8/3', '8/3'] -> 8/3 / ((3/8 - 3/5 * 5/9) * 8/3)
[1756990] ['3/5', '3/8', '5/9', '8/3', '9/5'] -> (5/9 + 8/3 / 3/5) / 3/8 * 9/5
[1756993] ['3/5', '3/8', '5/9', '8/5', '8/5'] -> 8/5 / ((3/8 - (3/5 * 5/9)) * /5
)[1757000] ['3/5', '3/8', '5/9', '8/5', '9/8'] -> 9/8 * 8/5 / (3/8 / 5/9 - 3/5)
[1757001] ['3/5', '3/8', '5/9', '8/7', '8/7'] -> 8/7 / ((3/8 - 3/5 * 5/9) * 8/7)
[1757008] ['3/5', '3/8', '5/9', '8/9', '8/9'] -> 8/9 / ((3/8 - 3/5 * 5/9) * 8/9)
[1757013] ['3/5', '3/8', '5/9', '8/9', '9/8'] -> 9/8 * 8/9 / (3/8 - 3/5 * 5/9)
[1757014] ['3/5', '3/8', '5/9', '9/2', '9/2'] -> 9/2 / ((3/8 - (3/5 * 5/9)) * /2
)[1757019] ['3/5', '3/8', '5/9', '9/4', '9/4'] -> 9/4 / ((3/8 - 3/5 * 5/9) * 9/4)
[1757028] ['3/5', '3/8', '5/9', '9/8', '9/8'] -> 9/8 / ((3/8 - (3/5 * 5/9)) * /8
)[1757029] ['3/5', '3/8', '6/5', '6/5', '6/5'] -> 6/5 / (3/5 / 6/5 - 3/8 * 6/5)
[1757034] ['3/5', '3/8', '6/5', '6/5', '7/5'] -> (3/5 + 6/5) / 3/8 / (7/5 - 6/5)
[1757036] ['3/5', '3/8', '6/5', '6/5', '7/8'] -> (6/5 + 6/5) / (3/5 + 3/8 - 7/8)
[1757048] ['3/5', '3/8', '6/5', '6/7', '7/2'] -> 6/7 / (3/5 / 6/5 - 3/8) * 7/2
[1757061] ['3/5', '3/8', '6/5', '6/7', '9/5'] -> 9/5 / (3/5 - 3/8 * 6/5 / 6/7)
[1757068] ['3/5', '3/8', '6/5', '7/2', '7/6'] -> 7/2 / (((3/5 / 6/5) - 3/8) * /6
)[1757075] ['3/5', '3/8', '6/5', '7/2', '9/2'] -> 3/5 / (3/8 * 7/2 - 6/5) * 9/2
[1757076] ['3/5', '3/8', '6/5', '7/2', '9/4'] -> (3/5 / 6/5 + 7/2) / 3/8 * 9/4
[1757093] ['3/5', '3/8', '6/5', '7/3', '9/7'] -> 9/7 * 7/3 / (3/5 / 6/5 - 3/8)
[1757104] ['3/5', '3/8', '6/5', '7/4', '9/2'] -> 9/2 / (3/8 * 6/5 * 7/4 - 3/5)
[1757105] ['3/5', '3/8', '6/5', '7/4', '9/4'] -> 9/4 / (3/8 * (6/5 / 3/5 - 7/4))
[1757108] ['3/5', '3/8', '6/5', '7/4', '9/8'] -> 9/8 * 6/5 / (3/8 * 7/4 - 3/5)
[1757117] ['3/5', '3/8', '6/5', '7/5', '9/2'] -> (6/5 + 7/5 - 3/5) / 3/8 * 9/2
[1757119] ['3/5', '3/8', '6/5', '7/5', '9/5'] -> 9/5 / (6/5 - 3/8 * 7/5 - 3/5)
[1757120] ['3/5', '3/8', '6/5', '7/5', '9/7'] -> 9/7 / ((6/5 - 3/5) / 7/5 - 3/8)
[1757131] ['3/5', '3/8', '6/5', '7/6', '9/5'] -> 9/5 / (3/5 - 3/8 * 6/5 * 7/6)
[1757136] ['3/5', '3/8', '6/5', '7/8', '8/3'] -> 8/3 / (7/8 / (3/5 + 6/5) - 3/8)
[1757147] ['3/5', '3/8', '6/5', '7/9', '8/5'] -> 8/5 / (3/8 * (3/5 + 7/9 - 6/5))
[1757156] ['3/5', '3/8', '6/5', '8/3', '8/5'] -> 8/5 / (3/5 + 8/3 - 6/5 / 3/8)
[1757159] ['3/5', '3/8', '6/5', '8/3', '9/2'] -> 9/2 / (3/8 - 3/5 / (6/5 * /3)
)[1757163] ['3/5', '3/8', '6/5', '8/3', '9/8'] -> 9/8 * 8/3 / (3/5 / 6/5 - 3/8)
[1757168] ['3/5', '3/8', '6/5', '8/5', '9/4'] -> 8/5 / (3/5 - 3/8 * 6/5) * 9/4
[1757180] ['3/5', '3/8', '6/5', '8/9', '9/2'] -> 9/2 / (3/5 / (6/5 * /9) - 3/8)
[1757181] ['3/5', '3/8', '6/5', '8/9', '9/4'] -> 9/4 / (3/5 - 3/8 * 6/5 / 8/9)
[1757186] ['3/5', '3/8', '6/5', '9/2', '9/4'] -> (9/2 - 3/5 / 6/5) / 3/8 * 9/4
[1757187] ['3/5', '3/8', '6/5', '9/2', '9/5'] -> (3/5 / 6/5 + 9/2) / 3/8 * 9/5
[1757190] ['3/5', '3/8', '6/5', '9/4', '9/4'] -> 9/4 / (3/8 * (9/4 - 6/5 / 3/5))
[1757199] ['3/5', '3/8', '6/5', '9/8', '9/8'] -> 3/5 / ((6/5 - 9/8) * /8) * 9/8
[1757235] ['3/5', '3/8', '6/7', '7/3', '7/5'] -> 3/5 / (((3/8 * 7/3) - 6/7) * /5
)[1757245] ['3/5', '3/8', '6/7', '7/3', '9/5'] -> 9/5 / (3/8 - 3/5 / (6/7 * /3)
)[1757253] ['3/5', '3/8', '6/7', '7/4', '8/3'] -> 6/7 / (3/8 - 3/5 / 7/4) - 8/3
[1757259] ['3/5', '3/8', '6/7', '7/4', '9/5'] -> 9/5 / ((6/7 - 3/5) * 7/4 - 3/8)
[1757260] ['3/5', '3/8', '6/7', '7/4', '9/7'] -> 9/7 / (3/8 + 6/7 / 3/5 - 7/4)
[1757262] ['3/5', '3/8', '6/7', '7/5', '7/5'] -> 7/5 / (3/8 / (6/7 - 3/5) - 7/5)
[1757268] ['3/5', '3/8', '6/7', '7/5', '8/7'] -> 8/7 / (7/5 / 3/5 - 6/7 / 3/8)
[1757272] ['3/5', '3/8', '6/7', '7/5', '9/5'] -> 9/5 / ((6/7 - 3/8) * 7/5 - 3/5)
[1757295] ['3/5', '3/8', '6/7', '7/8', '9/5'] -> 9/5 / (3/5 * 6/7 * 7/8 - 3/8)
[1757305] ['3/5', '3/8', '6/7', '7/9', '9/5'] -> 9/5 / (3/8 * (6/7 - 3/5) * 7/9)
[1757306] ['3/5', '3/8', '6/7', '7/9', '9/7'] -> 9/7 / (6/7 - 3/8 / (3/5 * /9)
)[1757348] ['3/5', '3/8', '6/7', '9/5', '9/7'] -> 9/7 * 9/5 / (3/8 * (6/7 - 3/5))
[1757363] ['3/5', '3/8', '7/2', '7/2', '8/9'] -> (7/2 / 3/5 + 7/2) / 3/8 - 8/9
[1757366] ['3/5', '3/8', '7/2', '7/2', '9/5'] -> (7/2 / (7/2 * 3/8) - (3/5 / 9/5)))
[1757408] ['3/5', '3/8', '7/2', '7/5', '9/5'] -> 9/5 / (3/8 * (3/5 - 7/5 / 7/2))
[1757409] ['3/5', '3/8', '7/2', '7/5', '9/7'] -> 9/7 * 7/2 * (3/5 + 7/5) / 3/8
[1757421] ['3/5', '3/8', '7/2', '7/6', '9/7'] -> 9/7 * (7/2 / 3/5 + 7/6) / 3/8
