[1570497] ['2/9', '3/7', '3/7', '3/8', '8/7'] -> (3/7 + 8/7) / (3/7 * (3/8 - 2/9))
[1570740] ['2/9', '3/7', '3/7', '5/8', '8/3'] -> (3/7 + 8/3) / ((3/7 - 2/9) * 5/8)
[1570760] ['2/9', '3/7', '3/7', '5/9', '8/5'] -> 3/7 * 8/5 / (3/7 - 2/9 / 5/9)
[1570762] ['2/9', '3/7', '3/7', '5/9', '8/9'] -> 3/7 * 8/9 / (3/7 * 5/9 - 2/9)
[1570767] ['2/9', '3/7', '3/7', '5/9', '9/8'] -> 3/7 / (3/7 * 5/9 - 2/9) / 9/8
[1570771] ['2/9', '3/7', '3/7', '6/5', '7/3'] -> 6/5 / 2/9 / 3/7 * (7/3 - 3/7)
[1570778] ['2/9', '3/7', '3/7', '6/5', '8/5'] -> 8/5 / (3/7 - 2/9 * (3/7 + 6/5))
[1570788] ['2/9', '3/7', '3/7', '6/7', '7/3'] -> 7/3 / 2/9 / 3/7 - 3/7 / 6/7
[1570792] ['2/9', '3/7', '3/7', '6/7', '7/8'] -> 6/7 / 2/9 / 3/7 / 3/7 / 7/8
[1570794] ['2/9', '3/7', '3/7', '6/7', '8/3'] -> 8/3 / (3/7 / (3/7 + 6/7) - 2/9)
[1570796] ['2/9', '3/7', '3/7', '6/7', '8/7'] -> 6/7 / 2/9 / 3/7 / 3/7 * 8/7
[1570822] ['2/9', '3/7', '3/7', '7/3', '7/6'] -> 7/3 / 2/9 / 3/7 - 3/7 * 7/6
[1570826] ['2/9', '3/7', '3/7', '7/3', '8/5'] -> (3/7 / 3/7 + 7/3) / 2/9 * 8/5
[1570847] ['2/9', '3/7', '3/7', '7/4', '9/8'] -> (3/7 + 7/4) / 2/9 / 3/7 + 9/8
[1570866] ['2/9', '3/7', '3/7', '7/6', '8/7'] -> 8/7 / 2/9 / (3/7 * 3/7 * 7/6)
[1570867] ['2/9', '3/7', '3/7', '7/6', '8/9'] -> 8/9 / 2/9 / (7/6 - 3/7 / 3/7)
[1570885] ['2/9', '3/7', '3/7', '7/9', '8/3'] -> 8/3 / 3/7 / (7/9 - 2/9 / 3/7)
[1570887] ['2/9', '3/7', '3/7', '7/9', '8/7'] -> 8/7 / 3/7 / (3/7 * 7/9 - 2/9)
[1570895] ['2/9', '3/7', '3/7', '8/3', '8/5'] -> (3/7 + 8/3) / (3/7 - 2/9) * 8/5
[1570897] ['2/9', '3/7', '3/7', '8/3', '8/9'] -> (8/3 / 2/9 - 3/7) / 3/7 * 8/9
[1570901] ['2/9', '3/7', '3/7', '8/3', '9/7'] -> 8/3 / 2/9 / 3/7 * (9/7 - 3/7)
[1570902] ['2/9', '3/7', '3/7', '8/3', '9/8'] -> (8/3 / 2/9 - 3/7) / 3/7 / 9/8
[1570931] ['2/9', '3/7', '3/7', '9/4', '9/7'] -> (3/7 + 9/7) / (2/9 * 9/4 - 3/7)
[1570935] ['2/9', '3/7', '3/7', '9/5', '9/8'] -> 3/7 / (3/7 / 9/5 - 2/9) / 9/8
[1570942] ['2/9', '3/7', '3/8', '3/8', '4/7'] -> 3/7 / 2/9 / 3/8 / 3/8 / 4/7
[1570948] ['2/9', '3/7', '3/8', '3/8', '5/7'] -> 5/7 / (2/9 * 3/8 + 3/8 - 3/7)
[1570955] ['2/9', '3/7', '3/8', '3/8', '7/4'] -> 3/7 / 2/9 / 3/8 / 3/8 * 7/4
[1570960] ['2/9', '3/7', '3/8', '3/8', '8/3'] -> 8/3 / 2/9 / (3/8 / 3/7 - 3/8)
[1570962] ['2/9', '3/7', '3/8', '3/8', '8/7'] -> 8/7 / 2/9 / (3/8 - 3/7 * 3/8)
[1570972] ['2/9', '3/7', '3/8', '4/3', '4/9'] -> 4/9 / (2/9 / 3/7 - 3/8 * 4/3)
[1570982] ['2/9', '3/7', '3/8', '4/3', '7/2'] -> 7/2 / (2/9 * 3/8 / 3/7 / 4/3)
[1570985] ['2/9', '3/7', '3/8', '4/3', '7/5'] -> 7/5 / (3/8 / (3/7 + 4/3 / 2/9))
[1570991] ['2/9', '3/7', '3/8', '4/3', '8/7'] -> 8/7 / (2/9 * 3/7 * 3/8 * 4/3)
[1570993] ['2/9', '3/7', '3/8', '4/3', '9/2'] -> 9/2 / (3/7 - 3/8 / (2/9 + 4/3))
[1570998] ['2/9', '3/7', '3/8', '4/5', '4/5'] -> 4/5 / (3/7 * (3/8 * 4/5 - 2/9))
[1571009] ['2/9', '3/7', '3/8', '4/5', '6/7'] -> 6/7 / (2/9 * (3/7 / 4/5 - 3/8))
[1571027] ['2/9', '3/7', '3/8', '4/7', '4/9'] -> 4/9 / ((2/9 - 3/8 * 4/7) / 3/7)
[1571032] ['2/9', '3/7', '3/8', '4/7', '5/7'] -> 5/7 / (3/8 * (2/9 + 3/7 - 4/7))
[1571043] ['2/9', '3/7', '3/8', '4/7', '7/9'] -> 3/7 / (2/9 / 4/7 - 3/8) * 7/9
[1571044] ['2/9', '3/7', '3/8', '4/7', '8/3'] -> 3/7 / 2/9 / 3/8 / 4/7 * 8/3
[1571046] ['2/9', '3/7', '3/8', '4/7', '8/7'] -> 8/7 / (2/9 * (3/7 - 3/8 * 4/7))
[1571051] ['2/9', '3/7', '3/8', '4/7', '9/7'] -> 3/7 / (2/9 / 4/7 - 3/8) / 9/7
[1571077] ['2/9', '3/7', '3/8', '4/9', '9/7'] -> 9/7 / (3/7 * (2/9 / 4/9 - 3/8))
[1571083] ['2/9', '3/7', '3/8', '5/2', '5/7'] -> 5/7 / (2/9 * (3/7 - 3/8) * 5/2)
[1571088] ['2/9', '3/7', '3/8', '5/2', '7/2'] -> 7/2 / ((3/7 - 3/8) * (2/9 + 5/2))
[1571097] ['2/9', '3/7', '3/8', '5/2', '8/7'] -> 8/7 / (3/8 * (2/9 * 5/2 - 3/7))
[1571111] ['2/9', '3/7', '3/8', '5/3', '6/7'] -> 3/7 / (3/8 / 2/9 - 5/3) / 6/7
[1571114] ['2/9', '3/7', '3/8', '5/3', '7/4'] -> (3/7 + 5/3) / (3/8 - 2/9) * 7/4
[1571116] ['2/9', '3/7', '3/8', '5/3', '7/6'] -> 3/7 / (3/8 / 2/9 - 5/3) * 7/6
[1571134] ['2/9', '3/7', '3/8', '5/4', '6/7'] -> 6/7 / (2/9 * (3/7 * 5/4 - 3/8))
[1571146] ['2/9', '3/7', '3/8', '5/4', '9/2'] -> 9/2 / (3/7 * (3/8 / 2/9 - 5/4))
[1571152] ['2/9', '3/7', '3/8', '5/6', '5/7'] -> 5/7 / (2/9 * 3/7 * 3/8 * 5/6)
[1571168] ['2/9', '3/7', '3/8', '5/6', '9/2'] -> 2/9 / (3/8 / 3/7 - 5/6) * 9/2
[1571180] ['2/9', '3/7', '3/8', '5/7', '7/4'] -> (3/7 + 5/7) / 2/9 / 3/8 * 7/4
[1571185] ['2/9', '3/7', '3/8', '5/7', '8/3'] -> (3/7 + 5/7 / 2/9 / 3/8) * 8/3
[1571216] ['2/9', '3/7', '3/8', '5/9', '6/7'] -> 6/7 / (3/8 * (2/9 + 3/7 - 5/9))
[1571220] ['2/9', '3/7', '3/8', '5/9', '7/5'] -> 7/5 / ((2/9 / 5/9 - 3/8) / 3/7)
[1571223] ['2/9', '3/7', '3/8', '5/9', '7/9'] -> 3/7 / (2/9 - 3/8 * 5/9) * 7/9
[1571238] ['2/9', '3/7', '3/8', '6/5', '7/5'] -> 6/5 / 2/9 / 3/7 / 3/8 / 7/5
[1571251] ['2/9', '3/7', '3/8', '6/7', '6/7'] -> 6/7 / (2/9 * 3/8 * (6/7 - 3/7))
[1571253] ['2/9', '3/7', '3/8', '6/7', '7/3'] -> 7/3 / (2/9 + 3/8 - 3/7 / 6/7)
[1571259] ['2/9', '3/7', '3/8', '6/7', '8/3'] -> (3/7 / 3/8 + 6/7) / 2/9 * 8/3
[1571262] ['2/9', '3/7', '3/8', '6/7', '8/9'] -> 2/9 / (3/8 / 6/7 - 3/7) - 8/9
[1571279] ['2/9', '3/7', '3/8', '7/2', '9/2'] -> 9/2 / (3/8 / 2/9 - 3/7 * 7/2)
[1571282] ['2/9', '3/7', '3/8', '7/2', '9/7'] -> 9/7 / (3/8 / 2/9 / 7/2 - 3/7)
[1571288] ['2/9', '3/7', '3/8', '7/3', '7/8'] -> 3/8 + 7/3 / 2/9 / 3/7 - 7/8
[1571301] ['2/9', '3/7', '3/8', '7/4', '7/6'] -> (7/4 / 2/9 / 3/8 - 3/7) * 7/6
[1571303] ['2/9', '3/7', '3/8', '7/4', '7/9'] -> 3/7 / (2/9 * 7/4 - 3/8) * 7/9
[1571304] ['2/9', '3/7', '3/8', '7/4', '8/3'] -> 3/7 * 7/4 / 2/9 / 3/8 * 8/3
[1571306] ['2/9', '3/7', '3/8', '7/4', '8/7'] -> 8/7 / (2/9 * (3/7 - 3/8 / 7/4))
[1571309] ['2/9', '3/7', '3/8', '7/4', '9/4'] -> (7/4 / 3/7 / 3/8 - 2/9) * 9/4
[1571311] ['2/9', '3/7', '3/8', '7/4', '9/7'] -> 3/7 / (2/9 * 7/4 - 3/8) / 9/7
[1571332] ['2/9', '3/7', '3/8', '7/6', '8/9'] -> 2/9 / (3/8 * 7/6 - 3/7) - 8/9
[1571342] ['2/9', '3/7', '3/8', '7/8', '8/7'] -> 8/7 / (2/9 * 3/7 * (7/8 - 3/8))
[1571352] ['2/9', '3/7', '3/8', '7/9', '8/7'] -> 8/7 / (3/8 * (7/9 - 2/9 - 3/7))
[1571361] ['2/9', '3/7', '3/8', '8/3', '8/7'] -> 8/7 / (2/9 * (3/8 - 3/7 / 8/3))
[1571366] ['2/9', '3/7', '3/8', '8/3', '9/7'] -> (8/3 / 2/9 - 3/7) / 3/8 / 9/7
[1571383] ['2/9', '3/7', '3/8', '8/9', '8/9'] -> 8/9 / 2/9 / 3/7 / 3/8 - 8/9
[1571387] ['2/9', '3/7', '3/8', '8/9', '9/7'] -> 9/7 / (3/7 * (3/8 - 2/9 / 8/9))
[1571399] ['2/9', '3/7', '3/8', '9/5', '9/7'] -> 3/7 / (2/9 - 3/8 / 9/5) / 9/7
[1571401] ['2/9', '3/7', '3/8', '9/7', '9/7'] -> 9/7 / (3/8 * (3/7 - 2/9 * 9/7))
[1571407] ['2/9', '3/7', '4/3', '4/3', '4/9'] -> 4/3 * 4/3 / (2/9 / 3/7 - 4/9)
[1571411] ['2/9', '3/7', '4/3', '4/3', '5/6'] -> (4/3 / 3/7 + 4/3) / 2/9 / 5/6
[1571415] ['2/9', '3/7', '4/3', '4/3', '6/5'] -> (4/3 / 3/7 + 4/3) / 2/9 * 6/5
[1571416] ['2/9', '3/7', '4/3', '4/3', '6/7'] -> (4/3 + 4/3) / 2/9 / 3/7 * 6/7
[1571421] ['2/9', '3/7', '4/3', '4/3', '7/6'] -> (4/3 + 4/3) / 2/9 / 3/7 / 7/6
[1571437] ['2/9', '3/7', '4/3', '4/5', '5/3'] -> (4/3 + 4/5 / 3/7) / 2/9 * 5/3
[1571466] ['2/9', '3/7', '4/3', '4/7', '5/6'] -> (4/3 + 4/7) / 2/9 / 3/7 / 5/6
[1571467] ['2/9', '3/7', '4/3', '4/7', '5/7'] -> 4/3 / (3/7 - 2/9 / 4/7) * 5/7
[1571474] ['2/9', '3/7', '4/3', '4/7', '7/4'] -> 4/3 / (4/7 - 3/7) / 2/9 / 7/4
[1571475] ['2/9', '3/7', '4/3', '4/7', '7/5'] -> 4/3 / (3/7 - 2/9 / 4/7) / 7/5
[1571482] ['2/9', '3/7', '4/3', '4/7', '8/9'] -> 8/9 / (4/3 * (4/7 - 2/9) - 3/7)
[1571488] ['2/9', '3/7', '4/3', '4/9', '4/9'] -> (4/3 + 4/9 / 3/7) / 2/9 / 4/9
[1571498] ['2/9', '3/7', '4/3', '4/9', '7/2'] -> (4/3 + 3/7 * 4/9) / 2/9 * 7/2
[1571500] ['2/9', '3/7', '4/3', '4/9', '7/4'] -> 4/3 / (2/9 - 3/7 * 4/9) / 7/4
[1571507] ['2/9', '3/7', '4/3', '4/9', '8/7'] -> 8/7 / (3/7 * (4/9 / 4/3 - 2/9))
[1571510] ['2/9', '3/7', '4/3', '4/9', '9/4'] -> (4/3 + 4/9 / 3/7) / 2/9 * 9/4
[1571516] ['2/9', '3/7', '4/3', '5/2', '5/4'] -> (4/3 / 3/7 + 5/2) / 2/9 - 5/4
[1571530] ['2/9', '3/7', '4/3', '5/2', '8/3'] -> 8/3 / (2/9 * 3/7 * (5/2 - 4/3))
[1571533] ['2/9', '3/7', '4/3', '5/2', '8/9'] -> 8/9 / (4/3 - 2/9 * 5/2 / 3/7)
[1571535] ['2/9', '3/7', '4/3', '5/2', '9/4'] -> 4/3 / (2/9 - 3/7 / 5/2) - 9/4
[1571537] ['2/9', '3/7', '4/3', '5/2', '9/7'] -> 9/7 / (3/7 / 2/9 - 5/2 / 4/3)
[1571556] ['2/9', '3/7', '4/3', '5/3', '8/7'] -> 8/7 / (3/7 * (5/3 - 2/9 - 4/3))
[1571587] ['2/9', '3/7', '4/3', '5/6', '5/7'] -> 5/7 / ((5/6 - 2/9) / 4/3 - 3/7)
[1571601] ['2/9', '3/7', '4/3', '5/6', '8/7'] -> 8/7 / (2/9 * 3/7 * (4/3 - 5/6))
[1571613] ['2/9', '3/7', '4/3', '5/7', '7/2'] -> (3/7 + 5/7) / (2/9 / 4/3) * 7/2
[1571641] ['2/9', '3/7', '4/3', '5/8', '8/5'] -> 4/3 / 2/9 / 3/7 / 5/8 + 8/5
[1571644] ['2/9', '3/7', '4/3', '5/8', '9/2'] -> (2/9 + 4/3 / 3/7) / 5/8 * 9/2
[1571652] ['2/9', '3/7', '4/3', '5/9', '7/2'] -> 4/3 / (3/7 * 5/9 - 2/9) / 7/2
[1571666] ['2/9', '3/7', '4/3', '5/9', '9/7'] -> 9/7 / ((3/7 - 5/9 / 4/3) / 2/9)
[1571688] ['2/9', '3/7', '4/3', '6/7', '7/3'] -> (3/7 + (4/3 + 6/7) / 2/9) * 7/3
[1571695] ['2/9', '3/7', '4/3', '6/7', '8/5'] -> (4/3 + 6/7 / 3/7) / 2/9 * 8/5
[1571698] ['2/9', '3/7', '4/3', '6/7', '9/2'] -> (2/9 + (4/3 + 6/7) / 3/7) * 9/2
[1571707] ['2/9', '3/7', '4/3', '7/2', '7/6'] -> (4/3 * 7/2 / 2/9 - 3/7) * 7/6
[1571713] ['2/9', '3/7', '4/3', '7/2', '8/9'] -> 8/9 / (2/9 * (3/7 * 7/2 - 4/3))
[1571715] ['2/9', '3/7', '4/3', '7/2', '9/4'] -> (4/3 * 7/2 / 3/7 - 2/9) * 9/4
[1571725] ['2/9', '3/7', '4/3', '7/3', '8/3'] -> 8/3 / (4/3 - 3/7 * 7/3 - 2/9)
[1571726] ['2/9', '3/7', '4/3', '7/3', '8/5'] -> (3/7 + 4/3 / 2/9) * 7/3 * 8/5
[1571727] ['2/9', '3/7', '4/3', '7/3', '8/7'] -> 8/7 / ((4/3 - 2/9) / 7/3 - 3/7)
[1571735] ['2/9', '3/7', '4/3', '7/4', '7/5'] -> 4/3 / (3/7 - 2/9 * 7/4) / 7/5
[1571739] ['2/9', '3/7', '4/3', '7/4', '8/3'] -> 8/3 / (4/3 / 7/4 - 2/9 - 3/7)
[1571746] ['2/9', '3/7', '4/3', '7/4', '9/7'] -> 9/7 / ((3/7 + 4/3 - 7/4) / 2/9)
[1571752] ['2/9', '3/7', '4/3', '7/5', '8/3'] -> (3/7 + 4/3 / 2/9) * 7/5 * 8/3
[1571769] ['2/9', '3/7', '4/3', '7/6', '9/4'] -> (4/3 + 7/6) / 2/9 / 3/7 - 9/4
[1571775] ['2/9', '3/7', '4/3', '7/8', '8/3'] -> 8/3 / (2/9 * 3/7 * 4/3 * 7/8)
[1571785] ['2/9', '3/7', '4/3', '7/9', '8/3'] -> 8/3 / (7/9 - 3/7 * (2/9 + 4/3))
[1571787] ['2/9', '3/7', '4/3', '7/9', '8/7'] -> 8/7 / (3/7 - 2/9 * 4/3 / 7/9)
[1571794] ['2/9', '3/7', '4/3', '8/3', '8/3'] -> 8/3 / 2/9 / 3/7 - 4/3 - 8/3
[1571796] ['2/9', '3/7', '4/3', '8/3', '8/7'] -> 8/3 / 2/9 / 3/7 / 4/3 * 8/7
[1571797] ['2/9', '3/7', '4/3', '8/3', '8/9'] -> (8/3 / 2/9 - 4/3) / 3/7 - 8/9
[1571803] ['2/9', '3/7', '4/3', '8/5', '8/5'] -> 4/3 * 8/5 / 2/9 / 3/7 + 8/5
[1571806] ['2/9', '3/7', '4/3', '8/5', '9/2'] -> (2/9 + 4/3 / 3/7) * 8/5 * 9/2
[1571814] ['2/9', '3/7', '4/3', '8/7', '9/4'] -> (8/7 / 2/9 / 3/7 - 4/3) * 9/4
[1571815] ['2/9', '3/7', '4/3', '8/7', '9/5'] -> (4/3 + 8/7 / 2/9 / 3/7) * 9/5
[1571820] ['2/9', '3/7', '4/3', '8/9', '9/4'] -> (4/3 + 8/9 / 2/9 / 3/7) * 9/4
[1571825] ['2/9', '3/7', '4/3', '9/2', '9/4'] -> (2/9 / 4/3 + 9/2 / 3/7) * 9/4
[1571869] ['2/9', '3/7', '4/5', '4/7', '5/2'] -> 5/2 / (2/9 / (4/5 + 4/7 / 3/7))
[1571870] ['2/9', '3/7', '4/5', '4/7', '5/3'] -> (4/5 + 4/7) / 2/9 / 3/7 * 5/3
[1571903] ['2/9', '3/7', '4/5', '4/9', '6/7'] -> 6/7 / (3/7 / 4/5 - 2/9 / 4/9)
[1571914] ['2/9', '3/7', '4/5', '4/9', '8/9'] -> 8/9 / (4/9 / 4/5 - 2/9 / 3/7)
[1571934] ['2/9', '3/7', '4/5', '5/2', '7/8'] -> 4/5 * 5/2 / 2/9 / 3/7 / 7/8
[1571938] ['2/9', '3/7', '4/5', '5/2', '8/7'] -> 4/5 * 5/2 / 2/9 / 3/7 * 8/7
[1572026] ['2/9', '3/7', '4/5', '5/7', '8/3'] -> 8/3 / ((2/9 + 3/7) / 5/7 - 4/5)
[1572036] ['2/9', '3/7', '4/5', '5/8', '5/9'] -> 5/9 / (2/9 / 3/7 / 4/5 - 5/8)
[1572048] ['2/9', '3/7', '4/5', '5/8', '8/7'] -> 8/7 / (2/9 * 3/7 * 4/5 * 5/8)
[1572057] ['2/9', '3/7', '4/5', '5/9', '6/7'] -> 4/5 / (3/7 - 2/9 / 5/9) * 6/7
[1572062] ['2/9', '3/7', '4/5', '5/9', '7/6'] -> 4/5 / (3/7 - 2/9 / 5/9) / 7/6
[1572081] ['2/9', '3/7', '4/5', '6/5', '7/8'] -> (4/5 + 6/5) / 2/9 / 3/7 / 7/8
[1572083] ['2/9', '3/7', '4/5', '6/5', '8/3'] -> (6/5 / 3/7 - 4/5) / 2/9 * 8/3
[1572085] ['2/9', '3/7', '4/5', '6/5', '8/7'] -> (4/5 + 6/5) / 2/9 / 3/7 * 8/7
[1572158] ['2/9', '3/7', '4/5', '7/5', '8/3'] -> 8/3 / ((2/9 + 3/7) * 7/5 - 4/5)
[1572181] ['2/9', '3/7', '4/5', '7/8', '8/3'] -> 8/3 / (3/7 - 2/9 / 4/5 / 7/8)
[1572182] ['2/9', '3/7', '4/5', '7/8', '8/5'] -> 8/5 / (2/9 * 3/7 * 4/5 * 7/8)
[1572192] ['2/9', '3/7', '4/5', '7/9', '8/5'] -> 8/5 / ((4/5 - 3/7) * 7/9 - 2/9)
[1572210] ['2/9', '3/7', '4/5', '8/5', '8/7'] -> 8/5 / 2/9 / 3/7 / 4/5 * 8/7
[1572212] ['2/9', '3/7', '4/5', '8/5', '9/2'] -> (8/5 / 2/9 - 4/5 / 3/7) * 9/2
[1572215] ['2/9', '3/7', '4/5', '8/5', '9/7'] -> 9/7 / (3/7 / (4/5 + 8/5 / 2/9))
[1572248] ['2/9', '3/7', '4/7', '4/7', '5/3'] -> 4/7 / (3/7 - 2/9 / 4/7) * 5/3
[1572254] ['2/9', '3/7', '4/7', '4/7', '6/5'] -> 4/7 / (3/7 * 4/7 - 2/9) - 6/5
[1572272] ['2/9', '3/7', '4/7', '4/9', '4/9'] -> (4/7 + 4/9) / 2/9 / 3/7 / 4/9
[1572294] ['2/9', '3/7', '4/7', '4/9', '9/4'] -> (4/7 + 4/9) / 2/9 / 3/7 * 9/4
[1572303] ['2/9', '3/7', '4/7', '5/2', '5/8'] -> 4/7 * 5/2 / 2/9 / 3/7 / 5/8
[1572307] ['2/9', '3/7', '4/7', '5/2', '7/2'] -> (3/7 + 4/7 * 5/2 / 2/9) * 7/2
[1572315] ['2/9', '3/7', '4/7', '5/2', '8/5'] -> 4/7 * 5/2 / 2/9 / 3/7 * 8/5
[1572317] ['2/9', '3/7', '4/7', '5/2', '8/9'] -> 3/7 / (4/7 - 2/9 * 5/2) * 8/9
[1572322] ['2/9', '3/7', '4/7', '5/2', '9/8'] -> 3/7 / (4/7 - 2/9 * 5/2) / 9/8
[1572331] ['2/9', '3/7', '4/7', '5/3', '7/2'] -> 7/2 / (2/9 / (3/7 + 5/3 - 4/7))
[1572333] ['2/9', '3/7', '4/7', '5/3', '7/4'] -> 5/3 / (3/7 - 2/9 / 4/7) / 7/4
[1572336] ['2/9', '3/7', '4/7', '5/3', '7/8'] -> 5/3 / (2/9 + 3/7 - 4/7) / 7/8
[1572381] ['2/9', '3/7', '4/7', '5/6', '7/8'] -> 5/6 / (3/7 - 2/9 / 4/7) / 7/8
[1572383] ['2/9', '3/7', '4/7', '5/6', '8/3'] -> 8/3 / (2/9 * (4/7 / 3/7 - 5/6))
[1572386] ['2/9', '3/7', '4/7', '5/6', '8/9'] -> 8/9 / (2/9 * (3/7 + 4/7 - 5/6))
[1572387] ['2/9', '3/7', '4/7', '5/6', '9/2'] -> ((3/7 + 4/7) / 2/9 + 5/6) * 9/2
[1572388] ['2/9', '3/7', '4/7', '5/6', '9/4'] -> 5/6 / (4/7 - 3/7) / 2/9 - 9/4
[1572406] ['2/9', '3/7', '4/7', '5/7', '8/7'] -> 8/7 / (5/7 - 2/9 * 3/7 - 4/7)
[1572434] ['2/9', '3/7', '4/7', '5/9', '6/5'] -> 4/7 / (3/7 - 2/9 / 5/9) * 6/5
[1572479] ['2/9', '3/7', '4/7', '6/7', '8/5'] -> (4/7 + 6/7) / 2/9 / 3/7 * 8/5
[1572480] ['2/9', '3/7', '4/7', '6/7', '8/7'] -> 8/7 / (2/9 * 6/7 - (4/7 - 3/7))
[1572481] ['2/9', '3/7', '4/7', '6/7', '8/9'] -> 6/7 / (4/7 - 3/7) / 2/9 * 8/9
[1572486] ['2/9', '3/7', '4/7', '6/7', '9/8'] -> 6/7 / (4/7 - 3/7) / 2/9 / 9/8
[1572492] ['2/9', '3/7', '4/7', '7/2', '7/8'] -> 4/7 * 7/2 / 2/9 / 3/7 / 7/8
[1572495] ['2/9', '3/7', '4/7', '7/2', '8/5'] -> (7/2 / 2/9 - 3/7 / 4/7) * 8/5
[1572496] ['2/9', '3/7', '4/7', '7/2', '8/7'] -> 4/7 * 7/2 / 2/9 / 3/7 * 8/7
[1572499] ['2/9', '3/7', '4/7', '7/2', '9/4'] -> (4/7 / 3/7 + 7/2) / 2/9 + 9/4
[1572509] ['2/9', '3/7', '4/7', '7/3', '8/3'] -> 8/3 / ((4/7 - 3/7) * 7/3 - 2/9)
[1572511] ['2/9', '3/7', '4/7', '7/3', '8/7'] -> 8/7 / (4/7 - 2/9 / 7/3 - 3/7)
[1572513] ['2/9', '3/7', '4/7', '7/3', '9/2'] -> (3/7 + 4/7 / 2/9 + 7/3) * 9/2
[1572514] ['2/9', '3/7', '4/7', '7/3', '9/4'] -> (3/7 + 7/3) / 2/9 / 4/7 + 9/4
[1572536] ['2/9', '3/7', '4/7', '7/5', '8/3'] -> 8/3 / ((2/9 + 3/7 - 4/7) * 7/5)
[1572550] ['2/9', '3/7', '4/7', '7/6', '8/7'] -> 8/7 / (2/9 / 7/6 - (4/7 - 3/7))
[1572558] ['2/9', '3/7', '4/7', '7/8', '7/9'] -> 7/9 / (2/9 / 3/7 / 4/7 - 7/8)
[1572559] ['2/9', '3/7', '4/7', '7/8', '8/3'] -> 8/3 / (2/9 / 7/8 - (4/7 - 3/7))
[1572561] ['2/9', '3/7', '4/7', '7/8', '8/7'] -> 8/7 / (2/9 * 3/7 * 4/7 * 7/8)
[1572577] ['2/9', '3/7', '4/7', '7/9', '9/8'] -> 3/7 / (2/9 + 4/7 - 7/9) / 9/8
