[1250896] ['1/9', '5/3', '5/4', '5/7', '7/5'] -> 7/5 / (1/9 * 5/4 / (5/3 + 5/7))
[1251359] ['1/9', '5/3', '5/6', '9/2', '9/5'] -> (5/3 - 5/6 / 9/2) / 1/9 * 9/5
[1251361] ['1/9', '5/3', '5/6', '9/2', '9/8'] -> ((5/3 + 5/6) / 1/9 + 9/2) / 9/8
[1251362] ['1/9', '5/3', '5/6', '9/4', '9/4'] -> (5/3 * 9/4 - 5/6) / 1/9 - 9/4
[1251372] ['1/9', '5/3', '5/7', '5/7', '5/7'] -> (5/3 * 5/7 + 5/7) / 1/9 / 5/7
[1251375] ['1/9', '5/3', '5/7', '5/7', '6/5'] -> (5/3 / 1/9 - 5/7) / 5/7 * 6/5
[1251377] ['1/9', '5/3', '5/7', '5/7', '7/2'] -> (5/7 / 1/9 + 5/7 / 5/3) * 7/2
[1251378] ['1/9', '5/3', '5/7', '5/7', '7/3'] -> (5/7 / 5/3 + 5/7) / 1/9 * 7/3
[1251380] ['1/9', '5/3', '5/7', '5/7', '7/5'] -> (5/3 * 5/7 + 5/7) / 1/9 * 7/5
[1251382] ['1/9', '5/3', '5/7', '5/7', '7/8'] -> (5/3 / 5/7 + 5/7) / 1/9 * 7/8
[1251386] ['1/9', '5/3', '5/7', '5/7', '8/7'] -> (5/3 / 5/7 + 5/7) / 1/9 / 8/7
[1251387] ['1/9', '5/3', '5/7', '5/7', '8/9'] -> 5/7 / 5/7 + (5/3 + 8/9) / 1/9
[1251389] ['1/9', '5/3', '5/7', '5/7', '9/4'] -> (5/3 + 5/7 / 1/9 / 5/7) * 9/4
[1251390] ['1/9', '5/3', '5/7', '5/7', '9/5'] -> (5/7 + 5/7) * (5/3 / 1/9 + 9/5)
[1251399] ['1/9', '5/3', '5/7', '5/8', '7/4'] -> (5/3 - 5/7) / 1/9 / 5/8 * 7/4
[1251411] ['1/9', '5/3', '5/7', '5/8', '9/7'] -> (5/3 + 5/7 / 5/8) / 1/9 - 9/7
[1251412] ['1/9', '5/3', '5/7', '5/8', '9/8'] -> (5/3 + 5/8 / 5/7) / 1/9 + 9/8
[1251416] ['1/9', '5/3', '5/7', '5/9', '7/2'] -> 7/2 / (1/9 * 5/3 / (5/7 + 5/9))
[1251418] ['1/9', '5/3', '5/7', '5/9', '7/4'] -> (5/3 / 1/9 - 5/7 / 5/9) * 7/4
[1251427] ['1/9', '5/3', '5/7', '5/9', '9/2'] -> (5/9 / 1/9 / 5/7 - 5/3) * 9/2
[1251435] ['1/9', '5/3', '5/7', '6/5', '7/3'] -> (5/3 - 5/7) * 6/5 / 1/9 * 7/3
[1251444] ['1/9', '5/3', '5/7', '6/5', '8/9'] -> 8/9 / (1/9 * 5/7 * (5/3 - 6/5))
[1251447] ['1/9', '5/3', '5/7', '6/5', '9/5'] -> 5/3 / 1/9 / 5/7 + 6/5 + 9/5
[1251448] ['1/9', '5/3', '5/7', '6/5', '9/7'] -> (5/3 + 5/7 * 6/5) / 1/9 + 9/7
[1251450] ['1/9', '5/3', '5/7', '6/7', '6/7'] -> ((5/3 + 5/7) / 1/9 - 6/7) / 6/7
[1251453] ['1/9', '5/3', '5/7', '6/7', '7/4'] -> (5/3 + 5/7 - 6/7) / 1/9 * 7/4
[1251455] ['1/9', '5/3', '5/7', '6/7', '7/6'] -> ((5/3 + 5/7) / 1/9 - 6/7) * 7/6
[1251460] ['1/9', '5/3', '5/7', '6/7', '8/7'] -> 8/7 / (1/9 * (6/7 - 5/7 / 5/3))
[1251461] ['1/9', '5/3', '5/7', '6/7', '8/9'] -> 8/9 / (1/9 * (5/3 * 5/7 - 6/7))
[1251462] ['1/9', '5/3', '5/7', '6/7', '9/2'] -> (6/7 / 1/9 - 5/3 - 5/7) * 9/2
[1251464] ['1/9', '5/3', '5/7', '6/7', '9/5'] -> (5/3 / 1/9 + 6/7) / 5/7 + 9/5
[1251483] ['1/9', '5/3', '5/7', '7/3', '7/3'] -> (7/3 - 5/3 * 5/7) / 1/9 * 7/3
[1251484] ['1/9', '5/3', '5/7', '7/3', '7/4'] -> (5/3 / 5/7 + 7/3) / 1/9 / 7/4
[1251485] ['1/9', '5/3', '5/7', '7/3', '7/5'] -> 7/5 / (1/9 / (7/3 - 5/7 / 5/3))
[1251486] ['1/9', '5/3', '5/7', '7/3', '7/6'] -> (7/3 / 1/9 - 5/7 / 5/3) * 7/6
[1251493] ['1/9', '5/3', '5/7', '7/3', '9/2'] -> (5/3 * 7/3 / 5/7 - 1/9) * 9/2
[1251508] ['1/9', '5/3', '5/7', '7/4', '9/4'] -> (5/3 + 5/7 * 7/4) / 1/9 - 9/4
[1251514] ['1/9', '5/3', '5/7', '7/5', '7/8'] -> 7/8 / (1/9 / (5/7 + 5/3 * 7/5))
[1251521] ['1/9', '5/3', '5/7', '7/5', '9/4'] -> (5/3 + 5/7 * 7/5 / 1/9) * 9/4
[1251552] ['1/9', '5/3', '5/7', '7/9', '8/9'] -> 5/3 / 1/9 / 5/7 / 7/9 * 8/9
[1251556] ['1/9', '5/3', '5/7', '7/9', '9/7'] -> 5/7 + (5/3 + 7/9) / 1/9 + 9/7
[1251557] ['1/9', '5/3', '5/7', '7/9', '9/8'] -> 5/3 / 1/9 / 5/7 / 7/9 / 9/8
[1251561] ['1/9', '5/3', '5/7', '8/3', '8/9'] -> 8/9 / (1/9 * (8/3 - 5/3 / 5/7))
[1251575] ['1/9', '5/3', '5/7', '8/7', '8/7'] -> (5/3 * 5/7 + 8/7) / 1/9 * 8/7
[1251584] ['1/9', '5/3', '5/7', '8/9', '9/4'] -> 5/3 / (8/9 - 1/9 - 5/7) - 9/4
[1251586] ['1/9', '5/3', '5/7', '8/9', '9/7'] -> 9/7 / (1/9 * 5/7 / 5/3 / 8/9)
[1251600] ['1/9', '5/3', '5/7', '9/7', '9/7'] -> (5/3 + 5/7) / 1/9 + 9/7 + 9/7
[1251601] ['1/9', '5/3', '5/7', '9/7', '9/8'] -> 5/3 * 9/7 / 1/9 / 5/7 / 9/8
[1251605] ['1/9', '5/3', '5/8', '5/8', '6/5'] -> ((5/3 + 5/8) / 1/9 - 5/8) * 6/5
[1251617] ['1/9', '5/3', '5/8', '5/8', '8/9'] -> 5/8 / 5/8 + (5/3 + 8/9) / 1/9
[1251627] ['1/9', '5/3', '5/8', '5/9', '7/3'] -> 7/3 / (5/8 * 5/9 / 5/3 - 1/9)
[1251632] ['1/9', '5/3', '5/8', '5/9', '7/9'] -> 7/9 / (1/9 * (5/8 - 5/9 / 5/3))
[1251637] ['1/9', '5/3', '5/8', '5/9', '9/2'] -> (5/9 / 1/9 - 5/3) / 5/8 * 9/2
[1251638] ['1/9', '5/3', '5/8', '5/9', '9/4'] -> (5/3 + 5/9 / 1/9) / 5/8 * 9/4
[1251641] ['1/9', '5/3', '5/8', '5/9', '9/8'] -> (5/3 + 5/8 / 5/9) / 1/9 - 9/8
[1251650] ['1/9', '5/3', '5/8', '6/5', '7/9'] -> 7/9 / (1/9 * 5/8 * (5/3 - 6/5))
[1251656] ['1/9', '5/3', '5/8', '6/5', '9/4'] -> (5/3 + 5/8 * 6/5) / 1/9 + 9/4
[1251675] ['1/9', '5/3', '5/8', '6/7', '9/7'] -> 9/7 / (1/9 * (6/7 - 5/8 / 5/3))
[1251702] ['1/9', '5/3', '5/8', '7/3', '8/9'] -> 8/9 / (1/9 * (5/3 / 5/8 - 7/3))
[1251719] ['1/9', '5/3', '5/8', '7/4', '9/5'] -> 5/3 / (7/4 - 5/8) / 1/9 * 9/5
[1251736] ['1/9', '5/3', '5/8', '7/6', '7/8'] -> (5/3 + 7/6) / 1/9 - 5/8 - 7/8
[1251751] ['1/9', '5/3', '5/8', '7/8', '8/7'] -> 5/3 * 7/8 / 1/9 / 5/8 * 8/7
[1251763] ['1/9', '5/3', '5/8', '7/9', '9/2'] -> 9/2 / (5/8 - 7/9 / (1/9 + 5/3))
[1251781] ['1/9', '5/3', '5/8', '8/5', '9/4'] -> (5/3 + 5/8 * 8/5 / 1/9) * 9/4
[1251793] ['1/9', '5/3', '5/8', '8/9', '9/2'] -> (8/9 / 1/9 - 5/3 / 5/8) * 9/2
[1251794] ['1/9', '5/3', '5/8', '8/9', '9/4'] -> (5/3 / 5/8 + 8/9 / 1/9) * 9/4
[1251802] ['1/9', '5/3', '5/8', '9/2', '9/8'] -> (5/3 + 5/8) / 1/9 + 9/2 - 9/8
[1251809] ['1/9', '5/3', '5/8', '9/5', '9/8'] -> (5/3 + 5/8 * 9/5) / 1/9 - 9/8
[1251813] ['1/9', '5/3', '5/9', '5/9', '5/9'] -> (5/3 * 5/9 + 5/9) / 1/9 / 5/9
[1251815] ['1/9', '5/3', '5/9', '5/9', '6/7'] -> (5/3 / 1/9 + 5/9) / 5/9 * 6/7
[1251820] ['1/9', '5/3', '5/9', '5/9', '7/6'] -> (5/3 / 1/9 + 5/9) / 5/9 / 7/6
[1251826] ['1/9', '5/3', '5/9', '5/9', '8/9'] -> 5/9 / 5/9 + (5/3 + 8/9) / 1/9
[1251827] ['1/9', '5/3', '5/9', '5/9', '9/2'] -> (5/9 / 1/9 + 5/9 / 5/3) * 9/2
[1251828] ['1/9', '5/3', '5/9', '5/9', '9/4'] -> (5/3 + 5/9 / 1/9 / 5/9) * 9/4
[1251829] ['1/9', '5/3', '5/9', '5/9', '9/5'] -> (5/3 * 5/9 + 5/9) / 1/9 * 9/5
[1251835] ['1/9', '5/3', '5/9', '6/5', '7/3'] -> 5/3 * (5/9 + 6/5) / 1/9 - 7/3
[1251839] ['1/9', '5/3', '5/9', '6/5', '7/8'] -> (5/3 + 5/9 * 6/5) / 1/9 / 7/8
[1251843] ['1/9', '5/3', '5/9', '6/5', '8/7'] -> (5/3 + 5/9 * 6/5) / 1/9 * 8/7
[1251850] ['1/9', '5/3', '5/9', '6/7', '6/7'] -> 5/3 * 6/7 / 1/9 / 5/9 + 6/7
[1251854] ['1/9', '5/3', '5/9', '6/7', '7/5'] -> 7/5 / (1/9 / (5/3 + 5/9) / 6/7)
[1251864] ['1/9', '5/3', '5/9', '6/7', '9/5'] -> (5/3 / 1/9 + 5/9) * 6/7 * 9/5
[1251876] ['1/9', '5/3', '5/9', '7/2', '8/7'] -> 8/7 / (5/9 - (1/9 + 5/3) / 7/2)
[1251885] ['1/9', '5/3', '5/9', '7/3', '7/5'] -> (5/3 + 5/9 / 7/3) / 1/9 * 7/5
[1251888] ['1/9', '5/3', '5/9', '7/3', '7/9'] -> 5/3 + 5/9 + 7/3 / 1/9 + 7/9
[1251891] ['1/9', '5/3', '5/9', '7/3', '8/7'] -> 8/7 / (5/3 / 7/3 - 1/9 - 5/9)
[1251893] ['1/9', '5/3', '5/9', '7/3', '9/2'] -> (5/9 / 1/9 / 5/3 + 7/3) * 9/2
[1251894] ['1/9', '5/3', '5/9', '7/3', '9/4'] -> (5/3 * 5/9 / 1/9 + 7/3) * 9/4
[1251895] ['1/9', '5/3', '5/9', '7/3', '9/5'] -> (5/3 + 5/9 * 7/3 / 1/9) * 9/5
[1251898] ['1/9', '5/3', '5/9', '7/4', '7/4'] -> (5/3 + 7/4 - 5/9) / 1/9 - 7/4
[1251908] ['1/9', '5/3', '5/9', '7/4', '9/4'] -> (5/3 + 5/9) / 1/9 + 7/4 + 9/4
[1251913] ['1/9', '5/3', '5/9', '7/5', '7/6'] -> (5/3 + 5/9) * 7/5 / 1/9 / 7/6
[1251917] ['1/9', '5/3', '5/9', '7/5', '8/5'] -> 8/5 / (5/3 - 1/9 / 5/9 - 7/5)
[1251919] ['1/9', '5/3', '5/9', '7/5', '8/9'] -> 8/9 / (5/9 * (5/3 - 7/5) - 1/9)
[1251920] ['1/9', '5/3', '5/9', '7/5', '9/2'] -> (5/9 * 7/5 / 1/9 - 5/3) * 9/2
[1251921] ['1/9', '5/3', '5/9', '7/5', '9/4'] -> 5/3 * (5/9 / 1/9 + 7/5) * 9/4
[1251934] ['1/9', '5/3', '5/9', '7/6', '9/5'] -> (5/3 / 1/9 + 5/9) / 7/6 * 9/5
[1251938] ['1/9', '5/3', '5/9', '7/8', '7/9'] -> 5/3 / 1/9 / 5/9 / 7/8 * 7/9
[1251941] ['1/9', '5/3', '5/9', '7/8', '8/7'] -> (5/3 + 5/9) / 1/9 / 7/8 + 8/7
[1251946] ['1/9', '5/3', '5/9', '7/8', '9/7'] -> 5/3 / 1/9 / 5/9 / 7/8 / 9/7
[1251951] ['1/9', '5/3', '5/9', '7/9', '8/7'] -> 5/3 * 7/9 / 1/9 / 5/9 * 8/7
[1251957] ['1/9', '5/3', '5/9', '7/9', '9/8'] -> (5/3 + 5/9 + 7/9) / 1/9 / 9/8
[1251959] ['1/9', '5/3', '5/9', '8/3', '8/5'] -> (5/3 + 5/9 * 8/3 / 1/9) * 8/5
[1251970] ['1/9', '5/3', '5/9', '8/5', '9/2'] -> (5/9 / 1/9 - 5/3) * 8/5 * 9/2
[1251971] ['1/9', '5/3', '5/9', '8/5', '9/4'] -> (5/3 + 5/9 / 1/9) * 8/5 * 9/4
[1251980] ['1/9', '5/3', '5/9', '8/7', '9/7'] -> 5/3 * 8/7 / 1/9 / 5/9 / 9/7
[1251983] ['1/9', '5/3', '5/9', '8/9', '9/2'] -> (1/9 + 5/3) / (8/9 - 5/9) * 9/2
[1251993] ['1/9', '5/3', '5/9', '9/4', '9/4'] -> (5/3 + 5/9 * 9/4) / 1/9 - 9/4
[1251998] ['1/9', '5/3', '5/9', '9/5', '9/7'] -> 9/7 / (1/9 / (9/5 - 5/9) / 5/3)
[1252009] ['1/9', '5/3', '6/5', '6/5', '7/6'] -> (6/5 / 1/9 + 6/5) / (5/3 - 7/6)
[1252017] ['1/9', '5/3', '6/5', '6/5', '9/4'] -> (5/3 + 6/5 / 1/9 / 6/5) * 9/4
[1252020] ['1/9', '5/3', '6/5', '6/5', '9/8'] -> ((5/3 + 6/5) / 1/9 + 6/5) / 9/8
[1252027] ['1/9', '5/3', '6/5', '6/7', '7/8'] -> 5/3 * 6/5 / 1/9 / 6/7 / 7/8
[1252028] ['1/9', '5/3', '6/5', '6/7', '7/9'] -> 5/3 * (6/5 + 6/7) / 1/9 * 7/9
[1252031] ['1/9', '5/3', '6/5', '6/7', '8/7'] -> 5/3 * 6/5 / 1/9 / 6/7 * 8/7
[1252036] ['1/9', '5/3', '6/5', '6/7', '9/7'] -> 5/3 * (6/5 + 6/7) / 1/9 / 9/7
[1252045] ['1/9', '5/3', '6/5', '7/2', '8/3'] -> (5/3 / 1/9 / 6/5 - 7/2) * 8/3
[1252051] ['1/9', '5/3', '6/5', '7/2', '9/5'] -> 6/5 * (5/3 / 1/9 + 7/2) + 9/5
[1252055] ['1/9', '5/3', '6/5', '7/3', '7/4'] -> 5/3 * 6/5 * 7/3 / 1/9 / 7/4
[1252063] ['1/9', '5/3', '6/5', '7/3', '8/9'] -> 8/9 / (1/9 * (7/3 - 5/3 * 6/5))
[1252066] ['1/9', '5/3', '6/5', '7/3', '9/5'] -> (5/3 + 7/3) / (1/9 / 6/5) / 9/5
[1252087] ['1/9', '5/3', '6/5', '7/5', '8/3'] -> 8/3 / ((5/3 - 7/5) / 6/5 - 1/9)
[1252088] ['1/9', '5/3', '6/5', '7/5', '8/5'] -> 8/5 / (1/9 * (5/3 * 6/5 - 7/5))
[1252093] ['1/9', '5/3', '6/5', '7/5', '9/5'] -> 6/5 + 5/3 * 7/5 / 1/9 + 9/5
[1252094] ['1/9', '5/3', '6/5', '7/5', '9/7'] -> (5/3 + 6/5 / 7/5) / 1/9 + 9/7
[1252095] ['1/9', '5/3', '6/5', '7/5', '9/8'] -> 7/5 / (5/3 - 6/5) / 1/9 / 9/8
[1252097] ['1/9', '5/3', '6/5', '7/6', '7/8'] -> 5/3 * 6/5 * 7/6 / 1/9 / 7/8
[1252099] ['1/9', '5/3', '6/5', '7/6', '8/3'] -> 8/3 / (5/3 / 6/5 - 1/9 - 7/6)
[1252100] ['1/9', '5/3', '6/5', '7/6', '8/5'] -> 8/5 / (1/9 * 6/5 * (5/3 - 7/6))
[1252101] ['1/9', '5/3', '6/5', '7/6', '8/7'] -> 5/3 * 6/5 * 7/6 / 1/9 * 8/7
[1252103] ['1/9', '5/3', '6/5', '7/6', '9/2'] -> 5/3 * (6/5 + 7/6 / 1/9) + 9/2
[1252116] ['1/9', '5/3', '6/5', '7/8', '9/5'] -> 9/5 / (1/9 * (6/5 - 7/8 / 5/3))
[1252120] ['1/9', '5/3', '6/5', '7/9', '8/3'] -> (5/3 * 6/5 + 7/9 / 1/9) * 8/3
[1252124] ['1/9', '5/3', '6/5', '7/9', '9/2'] -> (5/3 / 6/5 + 7/9) / 1/9 + 9/2
[1252133] ['1/9', '5/3', '6/5', '8/3', '9/2'] -> 6/5 * (1/9 + 5/3 + 8/3) * 9/2
[1252135] ['1/9', '5/3', '6/5', '8/3', '9/5'] -> (5/3 / 1/9 + 6/5) * 8/3 / 9/5
[1252138] ['1/9', '5/3', '6/5', '8/5', '8/5'] -> 8/5 / (1/9 * 6/5 + 8/5 - 5/3)
[1252142] ['1/9', '5/3', '6/5', '8/5', '9/4'] -> (5/3 + 6/5 / 8/5) / 1/9 + 9/4
[1252144] ['1/9', '5/3', '6/5', '8/5', '9/7'] -> 8/5 / (5/3 - 6/5) / 1/9 / 9/7
[1252156] ['1/9', '5/3', '6/5', '8/9', '9/5'] -> 9/5 / (1/9 * (5/3 / 8/9 - 6/5))
[1252159] ['1/9', '5/3', '6/5', '9/2', '9/2'] -> (6/5 * 9/2 - 1/9 / 5/3) * 9/2
[1252164] ['1/9', '5/3', '6/5', '9/4', '9/4'] -> 5/3 * (6/5 / 1/9 + 9/4) + 9/4
[1252168] ['1/9', '5/3', '6/5', '9/5', '9/5'] -> (9/5 / 1/9 - 5/3 - 6/5) * 9/5
[1252174] ['1/9', '5/3', '6/7', '6/7', '6/7'] -> (5/3 * 6/7 + 6/7) / 1/9 / 6/7
[1252177] ['1/9', '5/3', '6/7', '6/7', '7/4'] -> (5/3 * 6/7 / 1/9 + 6/7) * 7/4
[1252179] ['1/9', '5/3', '6/7', '6/7', '7/6'] -> (5/3 * 6/7 + 6/7) / 1/9 * 7/6
[1252187] ['1/9', '5/3', '6/7', '6/7', '9/4'] -> (5/3 + 6/7 / 1/9 / 6/7) * 9/4
[1252193] ['1/9', '5/3', '6/7', '7/2', '7/4'] -> (5/3 + 6/7 * 7/2) / 1/9 / 7/4
[1252196] ['1/9', '5/3', '6/7', '7/2', '7/8'] -> (5/3 / 1/9 / 6/7 + 7/2) / 7/8
[1252200] ['1/9', '5/3', '6/7', '7/2', '8/7'] -> (5/3 / 1/9 / 6/7 + 7/2) * 8/7
[1252210] ['1/9', '5/3', '6/7', '7/3', '7/6'] -> 7/3 / 1/9 / 6/7 - 5/3 + 7/6
[1252212] ['1/9', '5/3', '6/7', '7/3', '7/9'] -> (5/3 + 7/3) / (1/9 / 6/7) * 7/9
[1252216] ['1/9', '5/3', '6/7', '7/3', '8/9'] -> 8/9 / (1/9 * (6/7 * 7/3 - 5/3))
[1252220] ['1/9', '5/3', '6/7', '7/3', '9/7'] -> (5/3 + 7/3) / (1/9 / 6/7) / 9/7
