[1064544] ['1/8', '2/3', '7/8', '9/4', '9/5'] -> (9/4 - 2/3 * 7/8) / 1/8 * 9/5
[1064652] ['1/8', '2/3', '8/3', '9/8', '9/8'] -> 9/8 / ((9/8 - 2/3) / 8/3 - 1/8)
[1064655] ['1/8', '2/3', '8/5', '8/5', '8/9'] -> (2/3 * 8/5 + 8/5) / 1/8 / 8/9
[1064658] ['1/8', '2/3', '8/5', '8/5', '9/5'] -> (2/3 + 8/5 / 8/5) / 1/8 * 9/5
[1064660] ['1/8', '2/3', '8/5', '8/5', '9/8'] -> (2/3 * 8/5 + 8/5) / 1/8 * 9/8
[1064680] ['1/8', '2/3', '8/5', '9/4', '9/5'] -> 8/5 * 9/4 / 1/8 / 2/3 / 9/5
[1064682] ['1/8', '2/3', '8/5', '9/4', '9/8'] -> 9/8 / (1/8 / (2/3 / 8/5 + 9/4))
[1064708] ['1/8', '2/3', '8/7', '9/4', '9/5'] -> (9/4 - 2/3 / 8/7) / 1/8 * 9/5
[1064714] ['1/8', '2/3', '8/7', '9/7', '9/7'] -> 9/7 / (1/8 * (8/7 / 2/3 - 9/7))
[1064722] ['1/8', '2/3', '8/9', '8/9', '9/8'] -> (8/9 + 8/9) / 1/8 / 2/3 * 9/8
[1064723] ['1/8', '2/3', '8/9', '9/2', '9/2'] -> 9/2 / (2/3 / 8/9 - 1/8 * 9/2)
[1064731] ['1/8', '2/3', '8/9', '9/4', '9/8'] -> 9/8 / (1/8 / (2/3 + 8/9 * 9/4))
[1064732] ['1/8', '2/3', '8/9', '9/5', '9/5'] -> (2/3 + 9/5) / 1/8 / 8/9 + 9/5
[1064737] ['1/8', '2/3', '8/9', '9/8', '9/8'] -> 9/8 / (1/8 * (9/8 - 2/3 / 8/9))
[1064742] ['1/8', '2/3', '9/2', '9/2', '9/8'] -> (9/2 / 1/8 + 9/2) * 2/3 / 9/8
[1064754] ['1/8', '2/3', '9/4', '9/4', '9/5'] -> (2/3 + 9/4 / 9/4) / 1/8 * 9/5
[1064773] ['1/8', '2/5', '2/5', '2/5', '2/5'] -> (2/5 + 2/5 + 2/5) / 1/8 / 2/5
[1064780] ['1/8', '2/5', '2/5', '2/5', '3/8'] -> (2/5 / 1/8 + 2/5) / 2/5 / 3/8
[1064782] ['1/8', '2/5', '2/5', '2/5', '4/5'] -> (2/5 / 2/5 + 4/5 / 2/5) / 1/8
[1064787] ['1/8', '2/5', '2/5', '2/5', '5/4'] -> 5/4 / 1/8 / 2/5 - 2/5 / 2/5
[1064798] ['1/8', '2/5', '2/5', '2/5', '7/6'] -> 2/5 / (2/5 * (7/6 - 1/8) - 2/5)
[1064806] ['1/8', '2/5', '2/5', '2/5', '9/4'] -> (2/5 + 2/5 + 9/4) / 1/8 - 2/5
[1064815] ['1/8', '2/5', '2/5', '2/7', '3/7'] -> (2/5 / 2/5 + 2/7) / 1/8 / 3/7
[1064819] ['1/8', '2/5', '2/5', '2/7', '4/7'] -> (2/5 + 2/7) / 1/8 / 2/5 / 4/7
[1064820] ['1/8', '2/5', '2/5', '2/7', '4/9'] -> 2/5 / (1/8 / 2/7 - 2/5) / 4/9
[1064822] ['1/8', '2/5', '2/5', '2/7', '5/3'] -> (2/5 + 2/5 / 2/7) / 1/8 * 5/3
[1064831] ['1/8', '2/5', '2/5', '2/7', '7/3'] -> (2/5 / 2/5 + 2/7) / 1/8 * 7/3
[1064832] ['1/8', '2/5', '2/5', '2/7', '7/4'] -> (2/5 + 2/7) / 1/8 / 2/5 * 7/4
[1064838] ['1/8', '2/5', '2/5', '2/7', '8/5'] -> (2/5 + 2/5) / 1/8 / 2/7 + 8/5
[1064839] ['1/8', '2/5', '2/5', '2/7', '8/7'] -> (2/5 + 8/7) / (2/5 * (2/7 - 1/8))
[1064842] ['1/8', '2/5', '2/5', '2/7', '9/4'] -> 2/5 * 9/4 / (1/8 / 2/7 - 2/5)
[1064846] ['1/8', '2/5', '2/5', '2/9', '2/9'] -> 2/5 / 1/8 / (2/9 - 2/5 * 2/9)
[1064847] ['1/8', '2/5', '2/5', '2/9', '3/2'] -> 2/5 / 1/8 / 2/5 / 2/9 / 3/2
[1064848] ['1/8', '2/5', '2/5', '2/9', '3/4'] -> 2/5 / (2/5 - 2/9) / 1/8 / 3/4
[1064850] ['1/8', '2/5', '2/5', '2/9', '3/7'] -> 2/5 / (2/9 - 1/8) / 2/5 / 3/7
[1064859] ['1/8', '2/5', '2/5', '2/9', '5/6'] -> (2/5 + 2/5) / 1/8 / 2/9 * 5/6
[1064863] ['1/8', '2/5', '2/5', '2/9', '6/5'] -> (2/5 + 2/5) / 1/8 / 2/9 / 6/5
[1064865] ['1/8', '2/5', '2/5', '2/9', '7/2'] -> (2/5 + 7/2) / (1/8 / 2/9 - 2/5)
[1064882] ['1/8', '2/5', '2/5', '3/2', '3/4'] -> (2/5 + 3/4 / 1/8) / (2/5 / 3/2)
[1064885] ['1/8', '2/5', '2/5', '3/2', '3/8'] -> 2/5 * 3/2 / (2/5 * 3/8 - 1/8)
[1064890] ['1/8', '2/5', '2/5', '3/2', '5/2'] -> (2/5 + 2/5) * 3/2 / 1/8 * 5/2
[1064893] ['1/8', '2/5', '2/5', '3/2', '5/6'] -> (2/5 / 2/5 + 3/2) / 1/8 / 5/6
[1064894] ['1/8', '2/5', '2/5', '3/2', '5/7'] -> 3/2 / (2/5 - 1/8 / 2/5) / 5/7
[1064895] ['1/8', '2/5', '2/5', '3/2', '5/8'] -> 3/2 / (2/5 + 2/5) / 1/8 / 5/8
[1064907] ['1/8', '2/5', '2/5', '3/2', '8/5'] -> 3/2 / (2/5 + 2/5) / 1/8 * 8/5
[1064912] ['1/8', '2/5', '2/5', '3/2', '9/5'] -> 9/5 / (2/5 * 3/2 - 1/8 - 2/5)
[1064916] ['1/8', '2/5', '2/5', '3/4', '3/5'] -> 3/5 / (1/8 + 2/5 * 3/4 - 2/5)
[1064918] ['1/8', '2/5', '2/5', '3/4', '3/8'] -> 3/4 / 1/8 / (2/5 - 2/5 * 3/8)
[1064922] ['1/8', '2/5', '2/5', '3/4', '4/9'] -> 2/5 / 1/8 / 2/5 / 3/4 / 4/9
[1064923] ['1/8', '2/5', '2/5', '3/4', '5/2'] -> (2/5 + (2/5 + 3/4) / 1/8) * 5/2
[1064939] ['1/8', '2/5', '2/5', '3/4', '8/3'] -> (2/5 + 8/3) / 1/8 - 2/5 / 3/4
[1064954] ['1/8', '2/5', '2/5', '3/5', '4/9'] -> (2/5 + 2/5) / 1/8 / 3/5 / 4/9
[1064958] ['1/8', '2/5', '2/5', '3/5', '5/6'] -> (2/5 + 3/5) / 1/8 / 2/5 / 5/6
[1064959] ['1/8', '2/5', '2/5', '3/5', '5/7'] -> 3/5 / (2/5 * 2/5 - 1/8) / 5/7
[1064961] ['1/8', '2/5', '2/5', '3/5', '5/9'] -> 2/5 / 1/8 / 2/5 / 3/5 / 5/9
[1064964] ['1/8', '2/5', '2/5', '3/5', '7/2'] -> 3/5 / (2/5 - 1/8 / 2/5) * 7/2
[1064975] ['1/8', '2/5', '2/5', '3/5', '9/2'] -> 2/5 * 9/2 / (3/5 - 1/8 - 2/5)
[1064976] ['1/8', '2/5', '2/5', '3/5', '9/4'] -> (2/5 + 2/5) / 1/8 / 3/5 * 9/4
[1064979] ['1/8', '2/5', '2/5', '3/5', '9/8'] -> 3/5 / 2/5 + 9/8 / 1/8 / 2/5
[1064985] ['1/8', '2/5', '2/5', '3/7', '4/9'] -> (2/5 + 2/5 / 3/7) / 1/8 / 4/9
[1064990] ['1/8', '2/5', '2/5', '3/7', '5/7'] -> (2/5 + 5/7) / (2/5 * 3/7 - 1/8)
[1065001] ['1/8', '2/5', '2/5', '3/7', '7/9'] -> 2/5 / 1/8 / 2/5 / 3/7 / 7/9
[1065003] ['1/8', '2/5', '2/5', '3/7', '8/5'] -> 8/5 / 1/8 / (2/5 / 3/7 - 2/5)
[1065007] ['1/8', '2/5', '2/5', '3/7', '9/4'] -> (2/5 + 2/5 / 3/7) / 1/8 * 9/4
[1065011] ['1/8', '2/5', '2/5', '3/8', '3/8'] -> 2/5 / (3/8 - 1/8 / 3/8) / 2/5
[1065016] ['1/8', '2/5', '2/5', '3/8', '5/2'] -> (2/5 / 1/8 + 2/5) / 3/8 * 5/2
[1065021] ['1/8', '2/5', '2/5', '3/8', '5/8'] -> (2/5 + 1/8 / 5/8) / (2/5 - 3/8)
[1065023] ['1/8', '2/5', '2/5', '3/8', '6/5'] -> (2/5 + 6/5) / (2/5 - 1/8 / 3/8)
[1065033] ['1/8', '2/5', '2/5', '3/8', '8/5'] -> (2/5 + 1/8 * 8/5) / (2/5 - 3/8)
[1065034] ['1/8', '2/5', '2/5', '3/8', '8/7'] -> (1/8 + 2/5) / (2/5 - 3/8) * 8/7
[1065035] ['1/8', '2/5', '2/5', '3/8', '8/9'] -> 2/5 / 1/8 / 2/5 / 3/8 / 8/9
[1065038] ['1/8', '2/5', '2/5', '3/8', '9/5'] -> 9/5 / (1/8 * 2/5 + 2/5 - 3/8)
[1065046] ['1/8', '2/5', '2/5', '4/3', '5/3'] -> (4/3 / 1/8 - 2/5) / 2/5 - 5/3
[1065051] ['1/8', '2/5', '2/5', '4/3', '5/9'] -> 4/3 / (2/5 + 2/5) / 1/8 / 5/9
[1065052] ['1/8', '2/5', '2/5', '4/3', '6/5'] -> (2/5 + 6/5) / 1/8 / (2/5 * 4/3)
[1065061] ['1/8', '2/5', '2/5', '4/3', '8/3'] -> (2/5 + 8/3) / 1/8 - 2/5 * 4/3
[1065062] ['1/8', '2/5', '2/5', '4/3', '8/5'] -> 8/5 / 1/8 / (4/3 - 2/5 - 2/5)
[1065067] ['1/8', '2/5', '2/5', '4/3', '9/5'] -> 4/3 / (2/5 + 2/5) / 1/8 * 9/5
[1065078] ['1/8', '2/5', '2/5', '4/5', '5/8'] -> (4/5 / 1/8 - 2/5) / 2/5 / 5/8
[1065085] ['1/8', '2/5', '2/5', '4/5', '7/5'] -> (2/5 / 2/5 + 7/5) / (1/8 * 4/5)
[1065093] ['1/8', '2/5', '2/5', '4/5', '9/2'] -> 9/2 / (2/5 / 4/5 - 1/8 / 2/5)
[1065100] ['1/8', '2/5', '2/5', '4/7', '5/2'] -> 4/7 / 1/8 / 2/5 * (5/2 - 2/5)
[1065104] ['1/8', '2/5', '2/5', '4/7', '5/7'] -> (2/5 + 5/7) / (4/7 - 1/8 - 2/5)
[1065107] ['1/8', '2/5', '2/5', '4/7', '6/5'] -> 6/5 / ((2/5 - 1/8 / 2/5) * 4/7)
[1065115] ['1/8', '2/5', '2/5', '4/7', '7/9'] -> 2/5 / (4/7 - 2/5) / 1/8 / 7/9
[1065136] ['1/8', '2/5', '2/5', '4/9', '7/3'] -> 7/3 / (2/5 - 2/5 * 4/9 - 1/8)
[1065159] ['1/8', '2/5', '2/5', '5/2', '6/7'] -> (2/5 / 2/5 + 5/2) / 1/8 * 6/7
[1065162] ['1/8', '2/5', '2/5', '5/2', '7/4'] -> (5/2 - 2/5) / 1/8 / 2/5 / 7/4
[1065164] ['1/8', '2/5', '2/5', '5/2', '7/6'] -> (2/5 / 2/5 + 5/2) / 1/8 / 7/6
[1065165] ['1/8', '2/5', '2/5', '5/2', '7/8'] -> (2/5 / 2/5 + 5/2 / 1/8) / 7/8
[1065167] ['1/8', '2/5', '2/5', '5/2', '8/3'] -> (2/5 / 1/8 + 2/5) * 5/2 * 8/3
[1065169] ['1/8', '2/5', '2/5', '5/2', '8/7'] -> (2/5 / 2/5 + 5/2 / 1/8) * 8/7
[1065171] ['1/8', '2/5', '2/5', '5/2', '9/2'] -> 9/2 / 1/8 / (5/2 - 2/5 / 2/5)
[1065173] ['1/8', '2/5', '2/5', '5/2', '9/5'] -> 9/5 / 1/8 / (2/5 * 5/2 - 2/5)
[1065184] ['1/8', '2/5', '2/5', '5/3', '7/2'] -> 7/2 / ((2/5 - 1/8 / 2/5) * 5/3)
[1065192] ['1/8', '2/5', '2/5', '5/3', '8/5'] -> (2/5 + 8/5) / (1/8 * 2/5 * 5/3)
[1065194] ['1/8', '2/5', '2/5', '5/3', '8/9'] -> (2/5 / 2/5 + 5/3) / 1/8 / 8/9
[1065195] ['1/8', '2/5', '2/5', '5/3', '9/2'] -> (5/3 - 2/5 / 2/5) / 1/8 * 9/2
[1065196] ['1/8', '2/5', '2/5', '5/3', '9/4'] -> (2/5 + 2/5) * 5/3 / 1/8 * 9/4
[1065199] ['1/8', '2/5', '2/5', '5/3', '9/8'] -> (2/5 / 2/5 + 5/3) / 1/8 * 9/8
[1065201] ['1/8', '2/5', '2/5', '5/4', '5/6'] -> (2/5 + 5/4 / 1/8) / (5/6 - 2/5)
[1065205] ['1/8', '2/5', '2/5', '5/4', '6/5'] -> 6/5 / (2/5 * (5/4 - 1/8) - 2/5)
[1065210] ['1/8', '2/5', '2/5', '5/4', '7/5'] -> 5/4 / 1/8 / 2/5 + 2/5 - 7/5
[1065214] ['1/8', '2/5', '2/5', '5/4', '8/3'] -> (5/4 / 1/8 - 2/5 / 2/5) * 8/3
[1065215] ['1/8', '2/5', '2/5', '5/4', '8/5'] -> (2/5 + 2/5 + 8/5) / (1/8 / 5/4)
[1065218] ['1/8', '2/5', '2/5', '5/4', '9/2'] -> 9/2 / (2/5 * 5/4 - 1/8 / 2/5)
[1065231] ['1/8', '2/5', '2/5', '5/6', '7/4'] -> 7/4 / ((2/5 - 1/8 / 2/5) * 5/6)
[1065249] ['1/8', '2/5', '2/5', '5/7', '6/7'] -> 6/7 / 1/8 / (2/5 / 2/5 - 5/7)
[1065252] ['1/8', '2/5', '2/5', '5/7', '7/4'] -> (2/5 / 2/5 + 5/7) / 1/8 * 7/4
[1065259] ['1/8', '2/5', '2/5', '5/7', '8/7'] -> 8/7 / (2/5 / (1/8 + 2/5) - 5/7)
[1065270] ['1/8', '2/5', '2/5', '5/8', '7/2'] -> (2/5 + 5/8) / 1/8 / 2/5 + 7/2
[1065285] ['1/8', '2/5', '2/5', '5/8', '9/8'] -> 9/8 / 1/8 / (2/5 / 2/5 - 5/8)
[1065288] ['1/8', '2/5', '2/5', '5/9', '6/7'] -> 2/5 / (5/9 - 2/5) / 1/8 / 6/7
[1065290] ['1/8', '2/5', '2/5', '5/9', '7/3'] -> 7/3 / 2/5 / (5/9 - 1/8 / 2/5)
[1065309] ['1/8', '2/5', '2/5', '6/5', '7/4'] -> 6/5 / (2/5 - 1/8 / 2/5) * 7/4
[1065318] ['1/8', '2/5', '2/5', '6/5', '9/2'] -> (2/5 + 2/5) / 1/8 / 6/5 * 9/2
[1065320] ['1/8', '2/5', '2/5', '6/5', '9/5'] -> 9/5 / (6/5 - 2/5 / 2/5 - 1/8)
[1065323] ['1/8', '2/5', '2/5', '6/7', '6/7'] -> (2/5 * 6/7 + 6/7) / (1/8 * 2/5)
[1065327] ['1/8', '2/5', '2/5', '6/7', '7/5'] -> 7/5 / (1/8 + 2/5 - 2/5 / 6/7)
[1065333] ['1/8', '2/5', '2/5', '6/7', '8/7'] -> (2/5 + 6/7) / 1/8 / 2/5 - 8/7
[1065348] ['1/8', '2/5', '2/5', '7/2', '8/5'] -> (2/5 + 2/5) * 7/2 / 1/8 + 8/5
[1065350] ['1/8', '2/5', '2/5', '7/2', '8/9'] -> (7/2 / 1/8 - 2/5 / 2/5) * 8/9
[1065355] ['1/8', '2/5', '2/5', '7/2', '9/8'] -> (7/2 / 1/8 - 2/5 / 2/5) / 9/8
[1065358] ['1/8', '2/5', '2/5', '7/3', '7/5'] -> 7/5 / (2/5 - 1/8 * (2/5 + 7/3))
[1065363] ['1/8', '2/5', '2/5', '7/3', '8/5'] -> 8/5 / 1/8 / (2/5 * 7/3 - 2/5)
[1065377] ['1/8', '2/5', '2/5', '7/4', '8/5'] -> (2/5 / 2/5 + 7/4 / 1/8) * 8/5
[1065379] ['1/8', '2/5', '2/5', '7/4', '8/9'] -> (7/4 - 2/5) / 1/8 / 2/5 * 8/9
[1065381] ['1/8', '2/5', '2/5', '7/4', '9/4'] -> 9/4 / 1/8 / (7/4 - 2/5 / 2/5)
[1065384] ['1/8', '2/5', '2/5', '7/4', '9/8'] -> (7/4 - 2/5) / 1/8 / 2/5 / 9/8
[1065390] ['1/8', '2/5', '2/5', '7/5', '8/5'] -> 7/5 / 1/8 / 2/5 - 8/5 / 2/5
[1065392] ['1/8', '2/5', '2/5', '7/5', '8/9'] -> (7/5 / 1/8 - 2/5) / 2/5 * 8/9
[1065395] ['1/8', '2/5', '2/5', '7/5', '9/5'] -> 9/5 / 1/8 / (7/5 - 2/5 - 2/5)
[1065397] ['1/8', '2/5', '2/5', '7/5', '9/8'] -> (7/5 / 1/8 - 2/5) / 2/5 / 9/8
[1065413] ['1/8', '2/5', '2/5', '7/8', '8/5'] -> (2/5 / 2/5 + 7/8) / 1/8 * 8/5
[1065418] ['1/8', '2/5', '2/5', '7/8', '9/5'] -> 9/5 / (1/8 + 2/5 * 7/8 - 2/5)
[1065424] ['1/8', '2/5', '2/5', '7/9', '8/7'] -> (2/5 + 8/7) / (1/8 * 2/5 / 7/9)
[1065436] ['1/8', '2/5', '2/5', '8/3', '9/4'] -> (2/5 / 1/8 / 2/5 + 8/3) * 9/4
[1065437] ['1/8', '2/5', '2/5', '8/3', '9/5'] -> (8/3 - 2/5 / 2/5) / 1/8 * 9/5
[1065451] ['1/8', '2/5', '2/5', '8/7', '9/4'] -> 9/4 / 1/8 / (2/5 + 2/5 / 8/7)
[1065452] ['1/8', '2/5', '2/5', '8/7', '9/5'] -> 9/5 / (1/8 + 2/5 / 8/7 - 2/5)
[1065453] ['1/8', '2/5', '2/5', '8/7', '9/7'] -> (2/5 + 8/7) / 1/8 / 2/5 / 9/7
[1065458] ['1/8', '2/5', '2/5', '8/9', '9/5'] -> 9/5 / (1/8 + 2/5 - 2/5 / 8/9)
[1065484] ['1/8', '2/5', '2/7', '2/7', '4/5'] -> (2/5 + 2/7) / 1/8 / 2/7 / 4/5
[1065486] ['1/8', '2/5', '2/7', '2/7', '4/9'] -> 2/7 / (1/8 / 2/5 - 2/7) / 4/9
[1065508] ['1/8', '2/5', '2/7', '2/7', '9/4'] -> 2/7 / (1/8 / 2/5 - 2/7) * 9/4
[1065509] ['1/8', '2/5', '2/7', '2/7', '9/5'] -> 9/5 / 1/8 / (2/7 / 2/7 - 2/5)
[1065510] ['1/8', '2/5', '2/7', '2/7', '9/7'] -> 9/7 / 1/8 / (2/7 / 2/5 - 2/7)
[1065515] ['1/8', '2/5', '2/7', '2/9', '3/5'] -> 2/5 / (2/9 - 1/8) / 2/7 / 3/5
[1065523] ['1/8', '2/5', '2/7', '2/9', '5/3'] -> 2/5 / (2/9 - 1/8) / 2/7 * 5/3
[1065539] ['1/8', '2/5', '2/7', '2/9', '8/5'] -> 8/5 / ((2/5 + 2/7) * (2/9 - 1/8))
[1065550] ['1/8', '2/5', '2/7', '3/2', '3/7'] -> 3/7 / ((1/8 / 2/5 - 2/7) / 3/2)
[1065553] ['1/8', '2/5', '2/7', '3/2', '4/5'] -> (2/5 / 2/7 + 3/2) / 1/8 + 4/5
[1065557] ['1/8', '2/5', '2/7', '3/2', '5/3'] -> 3/2 / (1/8 / 2/7 - 2/5) / 5/3
[1065592] ['1/8', '2/5', '2/7', '3/4', '5/6'] -> 3/4 / (1/8 / 2/7 - 2/5) / 5/6
[1065602] ['1/8', '2/5', '2/7', '3/4', '7/6'] -> 3/4 / (1/8 / 2/5 - 2/7) / 7/6
[1065607] ['1/8', '2/5', '2/7', '3/4', '8/7'] -> 8/7 / (2/5 * (2/7 - 1/8 / 3/4))
[1065624] ['1/8', '2/5', '2/7', '3/5', '5/6'] -> (2/5 + 3/5 / 2/7) / 1/8 / 5/6
[1065628] ['1/8', '2/5', '2/7', '3/5', '6/5'] -> (2/5 + 3/5 / 2/7) / 1/8 * 6/5
[1065631] ['1/8', '2/5', '2/7', '3/5', '7/3'] -> (2/5 + 2/7 + 3/5) / 1/8 * 7/3
[1065634] ['1/8', '2/5', '2/7', '3/5', '7/6'] -> (2/5 + 3/5) / 1/8 / 2/7 / 7/6
[1065639] ['1/8', '2/5', '2/7', '3/5', '8/7'] -> 8/7 / (1/8 * (2/5 / 3/5 - 2/7))
[1065644] ['1/8', '2/5', '2/7', '3/5', '9/7'] -> 9/7 / (1/8 * 2/7 * 3/5 / 2/5)
[1065658] ['1/8', '2/5', '2/7', '3/7', '5/9'] -> 2/7 / 1/8 / 2/5 / 3/7 / 5/9
[1065706] ['1/8', '2/5', '2/7', '3/8', '9/8'] -> 9/8 / ((1/8 + 2/5) * (3/8 - 2/7))
[1065708] ['1/8', '2/5', '2/7', '4/3', '4/5'] -> 4/5 / (1/8 * 2/7 * (4/3 - 2/5))
[1065723] ['1/8', '2/5', '2/7', '4/3', '7/5'] -> 7/5 / (1/8 + 4/3 - 2/5 / 2/7)
[1065728] ['1/8', '2/5', '2/7', '4/3', '8/5'] -> 8/5 / (2/7 * (2/5 - 1/8 * 4/3))
[1065729] ['1/8', '2/5', '2/7', '4/3', '8/7'] -> 8/7 / (2/5 * (2/7 - 1/8 * 4/3))
[1065736] ['1/8', '2/5', '2/7', '4/5', '4/5'] -> (4/5 / 2/7 - 2/5) / 1/8 / 4/5
[1065737] ['1/8', '2/5', '2/7', '4/5', '4/7'] -> (4/5 / 2/5 - 2/7) / 1/8 / 4/7
[1065741] ['1/8', '2/5', '2/7', '4/5', '5/4'] -> (4/5 / 2/7 - 2/5) / 1/8 * 5/4
[1065743] ['1/8', '2/5', '2/7', '4/5', '5/7'] -> (2/5 + 4/5) / 1/8 / 2/7 * 5/7
[1065747] ['1/8', '2/5', '2/7', '4/5', '6/7'] -> 6/7 / (2/7 - 1/8 * 4/5 / 2/5)
[1065748] ['1/8', '2/5', '2/7', '4/5', '7/2'] -> (2/5 + 2/7) / 1/8 / 4/5 * 7/2
[1065749] ['1/8', '2/5', '2/7', '4/5', '7/3'] -> (4/5 - 2/7) / 1/8 / 2/5 * 7/3
[1065750] ['1/8', '2/5', '2/7', '4/5', '7/4'] -> (4/5 / 2/5 - 2/7) / 1/8 * 7/4
[1065751] ['1/8', '2/5', '2/7', '4/5', '7/5'] -> (2/5 + 4/5) / 1/8 / 2/7 / 7/5
[1065753] ['1/8', '2/5', '2/7', '4/5', '7/8'] -> (4/5 / 1/8 - 2/5) / 2/7 / 7/8
[1065757] ['1/8', '2/5', '2/7', '4/5', '8/7'] -> (4/5 / 1/8 - 2/5) / 2/7 * 8/7
[1065759] ['1/8', '2/5', '2/7', '4/5', '9/2'] -> 4/5 / (1/8 + 2/5) / 2/7 * 9/2
[1065761] ['1/8', '2/5', '2/7', '4/5', '9/5'] -> 9/5 / (1/8 * (2/5 / 2/7 - 4/5))
[1065763] ['1/8', '2/5', '2/7', '4/5', '9/8'] -> 9/8 / ((1/8 / 2/7 - 2/5) / 4/5)
[1065764] ['1/8', '2/5', '2/7', '4/7', '4/7'] -> (2/7 + 4/7 / 2/5) / 1/8 / 4/7
[1065766] ['1/8', '2/5', '2/7', '4/7', '5/2'] -> (2/5 + 2/7) / 1/8 / 4/7 * 5/2
[1065768] ['1/8', '2/5', '2/7', '4/7', '5/4'] -> (2/5 + 4/7 / 2/7) / 1/8 * 5/4
[1065772] ['1/8', '2/5', '2/7', '4/7', '5/9'] -> 2/7 / (4/7 - 2/5) / 1/8 / 5/9
[1065776] ['1/8', '2/5', '2/7', '4/7', '7/3'] -> (2/7 / 2/5 + 4/7) / 1/8 * 7/3
[1065777] ['1/8', '2/5', '2/7', '4/7', '7/4'] -> (2/7 + 4/7 / 2/5) / 1/8 * 7/4
[1065778] ['1/8', '2/5', '2/7', '4/7', '7/5'] -> 7/5 / (1/8 * 2/5 / (2/7 + 4/7))
[1065786] ['1/8', '2/5', '2/7', '4/7', '9/2'] -> 9/2 / (2/7 / 4/7 - 1/8 / 2/5)
[1065789] ['1/8', '2/5', '2/7', '4/7', '9/7'] -> 9/7 / (2/5 * (4/7 - 1/8 / 2/7))
[1065790] ['1/8', '2/5', '2/7', '4/7', '9/8'] -> 9/8 / ((1/8 / 2/5 - 2/7) / 4/7)
[1065809] ['1/8', '2/5', '2/7', '4/9', '8/5'] -> 8/5 / ((1/8 + 2/5) * 2/7 * 4/9)
[1065827] ['1/8', '2/5', '2/7', '5/2', '7/3'] -> (2/7 + 2/5 * 5/2) / 1/8 * 7/3
[1065828] ['1/8', '2/5', '2/7', '5/2', '7/4'] -> (2/5 + 2/7) * 5/2 / 1/8 * 7/4
[1065830] ['1/8', '2/5', '2/7', '5/2', '7/6'] -> 2/5 * 5/2 / 1/8 / 2/7 / 7/6
[1065839] ['1/8', '2/5', '2/7', '5/2', '9/5'] -> 9/5 / (1/8 * 2/7 * (5/2 - 2/5))
