[1360820] ['2/3', '5/8', '5/9', '7/5', '7/9'] -> 7/9 / ((2/3 - 5/8) * 5/9 * 7/5)
[1360999] ['2/3', '5/8', '6/5', '7/5', '9/7'] -> 9/7 / (5/8 - 2/3 * 6/5 / 7/5)
[1361005] ['2/3', '5/8', '6/5', '7/6', '8/5'] -> 8/5 / (7/6 / 5/8 - 6/5 / 2/3)
[1361019] ['2/3', '5/8', '6/5', '7/8', '9/2'] -> 2/3 / (7/8 - 5/8 * 6/5) * 9/2
[1361020] ['2/3', '5/8', '6/5', '7/8', '9/4'] -> 9/4 / (7/8 - 5/8 / 2/3 / 6/5)
[1361023] ['2/3', '5/8', '6/5', '7/8', '9/8'] -> 9/8 / (5/8 * (7/8 - 2/3 * 6/5))
[1361025] ['2/3', '5/8', '6/5', '7/9', '8/3'] -> 8/3 / (2/3 / 5/8 / 6/5 - 7/9)
[1361026] ['2/3', '5/8', '6/5', '7/9', '8/5'] -> 2/3 / (7/9 / 5/8 - 6/5) * 8/5
[1361029] ['2/3', '5/8', '6/5', '7/9', '9/2'] -> 7/9 / (2/3 - 5/8 / 6/5) * 9/2
[1361038] ['2/3', '5/8', '6/5', '8/3', '9/2'] -> 8/3 / 2/3 / 5/8 / 6/5 * 9/2
[1361040] ['2/3', '5/8', '6/5', '8/3', '9/5'] -> 9/5 / ((2/3 + 6/5) / 8/3 - 5/8)
[1361055] ['2/3', '5/8', '6/5', '8/7', '9/5'] -> 9/5 / (2/3 * 6/5 / 8/7 - 5/8)
[1361059] ['2/3', '5/8', '6/5', '8/9', '9/2'] -> 9/2 / ((2/3 + 5/8) / 6/5 - 8/9)
[1361060] ['2/3', '5/8', '6/5', '8/9', '9/4'] -> 8/9 / (5/8 * 6/5 - 2/3) * 9/4
[1361067] ['2/3', '5/8', '6/5', '9/2', '9/7'] -> 9/2 / (2/3 - 5/8 / 6/5) / 9/7
[1361070] ['2/3', '5/8', '6/5', '9/4', '9/5'] -> 9/5 / (2/3 * (9/4 - 6/5) - 5/8)
[1361072] ['2/3', '5/8', '6/5', '9/4', '9/8'] -> 9/4 / (5/8 * 6/5 - 2/3) / 9/8
[1361075] ['2/3', '5/8', '6/5', '9/5', '9/8'] -> (6/5 / (2/3 - 5/8) - 9/5) / 9/8
[1361078] ['2/3', '5/8', '6/5', '9/8', '9/8'] -> 9/8 / (5/8 / (6/5 - 2/3) - 9/8)
[1361079] ['2/3', '5/8', '6/7', '6/7', '6/7'] -> 6/7 / (2/3 * 6/7 - 5/8 * 6/7)
[1361082] ['2/3', '5/8', '6/7', '6/7', '7/4'] -> 6/7 / (5/8 / 6/7 - 2/3) * 7/4
[1361084] ['2/3', '5/8', '6/7', '6/7', '7/6'] -> 7/6 / (2/3 / 6/7 - 5/8 / 6/7)
[1361085] ['2/3', '5/8', '6/7', '6/7', '7/8'] -> 6/7 / 6/7 / (5/8 - 2/3 * 7/8)
[1361088] ['2/3', '5/8', '6/7', '6/7', '8/5'] -> 8/5 / (2/3 / 5/8 - 6/7 / 6/7)
[1361089] ['2/3', '5/8', '6/7', '6/7', '8/7'] -> 6/7 / 6/7 / (5/8 - 2/3 / 8/7)
[1361092] ['2/3', '5/8', '6/7', '6/7', '9/4'] -> 6/7 / (5/8 / 2/3 - 6/7) * 9/4
[1361096] ['2/3', '5/8', '6/7', '7/2', '7/2'] -> 7/2 / ((6/7 - 5/8) * 7/2 - 2/3)
[1361107] ['2/3', '5/8', '6/7', '7/2', '9/2'] -> 9/2 / ((5/8 - 2/3 * 6/7) * 7/2)
[1361122] ['2/3', '5/8', '6/7', '7/3', '9/2'] -> 9/2 / ((5/8 / 2/3 - 6/7) * 7/3)
[1361125] ['2/3', '5/8', '6/7', '7/3', '9/7'] -> 9/7 / (2/3 / 7/3 - (6/7 - 5/8))
[1361129] ['2/3', '5/8', '6/7', '7/4', '7/6'] -> 7/4 / (5/8 / 6/7 - 2/3) / 7/6
[1361137] ['2/3', '5/8', '6/7', '7/4', '9/4'] -> 9/4 / ((5/8 - 2/3 * 6/7) * 7/4)
[1361147] ['2/3', '5/8', '6/7', '7/5', '8/7'] -> 8/7 / (5/8 * (2/3 * 7/5 - 6/7))
[1361149] ['2/3', '5/8', '6/7', '7/5', '9/2'] -> 9/2 / (6/7 - 5/8 / 2/3 / 7/5)
[1361151] ['2/3', '5/8', '6/7', '7/5', '9/5'] -> 9/5 / ((5/8 - 2/3 * 6/7) * 7/5)
[1361158] ['2/3', '5/8', '6/7', '7/6', '8/5'] -> 8/5 / (2/3 / 5/8 - 6/7 * 7/6)
[1361162] ['2/3', '5/8', '6/7', '7/6', '9/4'] -> 9/4 / ((5/8 / 2/3 - 6/7) * 7/6)
[1361175] ['2/3', '5/8', '6/7', '7/8', '9/7'] -> 9/7 / (6/7 * (5/8 / 2/3 - 7/8))
[1361176] ['2/3', '5/8', '6/7', '7/8', '9/8'] -> 9/8 / ((5/8 - 2/3 * 6/7) * 7/8)
[1361177] ['2/3', '5/8', '6/7', '7/9', '7/9'] -> 7/9 / (2/3 * (7/9 - 5/8 / 6/7))
[1361194] ['2/3', '5/8', '6/7', '8/3', '9/7'] -> 9/7 / (5/8 - (2/3 + 6/7) / 8/3)
[1361197] ['2/3', '5/8', '6/7', '8/5', '8/7'] -> 8/7 / (5/8 * (8/5 - 2/3 - 6/7))
[1361204] ['2/3', '5/8', '6/7', '8/7', '8/7'] -> 8/7 / (2/3 / 8/7 - 5/8 * 6/7)
[1361209] ['2/3', '5/8', '6/7', '8/7', '9/7'] -> 9/7 / (2/3 * 6/7 + 5/8 - 8/7)
[1361210] ['2/3', '5/8', '6/7', '8/7', '9/8'] -> 9/8 / ((5/8 - 2/3 * 6/7) / 8/7)
[1361211] ['2/3', '5/8', '6/7', '8/9', '8/9'] -> 8/9 / (2/3 - 5/8) / 6/7 - 8/9
[1361224] ['2/3', '5/8', '6/7', '9/4', '9/7'] -> 9/7 / (5/8 - 6/7 / 2/3 / 9/4)
[1361232] ['2/3', '5/8', '7/2', '7/2', '7/2'] -> 7/2 / (2/3 * 7/2 - 5/8 * 7/2)
[1361237] ['2/3', '5/8', '7/2', '7/2', '7/8'] -> 7/2 / 7/2 / (5/8 - 2/3 * 7/8)
[1361240] ['2/3', '5/8', '7/2', '7/2', '8/5'] -> 8/5 / (2/3 / 5/8 - 7/2 / 7/2)
[1361248] ['2/3', '5/8', '7/2', '7/3', '7/3'] -> 7/3 / (2/3 * (7/3 - 5/8 * 7/2))
[1361254] ['2/3', '5/8', '7/2', '7/3', '8/3'] -> ((2/3 + 7/2) / 5/8 + 7/3) * 8/3
[1361272] ['2/3', '5/8', '7/2', '7/4', '9/2'] -> 2/3 / (5/8 - 7/4 / 7/2) * 9/2
[1361277] ['2/3', '5/8', '7/2', '7/5', '7/5'] -> 7/5 / (2/3 * 5/8 * 7/2 - 7/5)
[1361290] ['2/3', '5/8', '7/2', '7/6', '7/6'] -> 7/2 / (2/3 + 5/8 - 7/6) / 7/6
[1361297] ['2/3', '5/8', '7/2', '7/6', '9/2'] -> 9/2 / (7/2 * (5/8 - 2/3 / 7/6))
[1361302] ['2/3', '5/8', '7/2', '7/8', '7/8'] -> 7/2 / (7/8 - 5/8) / 2/3 / 7/8
[1361306] ['2/3', '5/8', '7/2', '7/8', '8/7'] -> 7/2 / (7/8 - 5/8) / 2/3 * 8/7
[1361308] ['2/3', '5/8', '7/2', '7/8', '9/2'] -> (7/2 / 7/8 - 2/3) / 5/8 * 9/2
[1361310] ['2/3', '5/8', '7/2', '7/8', '9/5'] -> (7/2 / (7/8 - 5/8) - 2/3) * 9/5
[1361324] ['2/3', '5/8', '7/2', '8/3', '8/5'] -> 7/2 * 8/3 / 2/3 / 5/8 + 8/5
[1361327] ['2/3', '5/8', '7/2', '8/3', '9/2'] -> 9/2 / (2/3 + 5/8 * 7/2 - 8/3)
[1361335] ['2/3', '5/8', '7/2', '8/5', '9/2'] -> (2/3 * 7/2 / 5/8 + 8/5) * 9/2
[1361336] ['2/3', '5/8', '7/2', '8/5', '9/4'] -> (2/3 + 7/2) * 8/5 / 5/8 * 9/4
[1361342] ['2/3', '5/8', '7/2', '8/7', '9/2'] -> (7/2 * 8/7 - 2/3) / 5/8 * 9/2
[1361348] ['2/3', '5/8', '7/2', '8/9', '9/2'] -> 7/2 / (5/8 - 2/3 * 8/9) / 9/2
[1361368] ['2/3', '5/8', '7/3', '7/3', '7/3'] -> 7/3 / (2/3 * 7/3 - 5/8 * 7/3)
[1361372] ['2/3', '5/8', '7/3', '7/3', '7/8'] -> 7/3 / 7/3 / (5/8 - 2/3 * 7/8)
[1361374] ['2/3', '5/8', '7/3', '7/3', '8/3'] -> (7/3 + 8/3) / (5/8 / (2/3 + 7/3))
[1361375] ['2/3', '5/8', '7/3', '7/3', '8/5'] -> 8/5 / (2/3 / 5/8 - 7/3 / 7/3)
[1361376] ['2/3', '5/8', '7/3', '7/3', '8/7'] -> 7/3 / 7/3 / (5/8 - 2/3 / 8/7)
[1361383] ['2/3', '5/8', '7/3', '7/4', '7/4'] -> 7/4 / (7/3 - (2/3 + 5/8) * 7/4)
[1361401] ['2/3', '5/8', '7/3', '7/5', '8/3'] -> 2/3 / (5/8 - 7/5 / 7/3) - 8/3
[1361412] ['2/3', '5/8', '7/3', '7/6', '7/9'] -> 7/3 / (2/3 + 5/8 - 7/6) / 7/9
[1361417] ['2/3', '5/8', '7/3', '7/6', '9/2'] -> 2/3 / (5/8 - 7/6 / 7/3) * 9/2
[1361419] ['2/3', '5/8', '7/3', '7/6', '9/5'] -> 9/5 / (7/6 / (7/3 - 2/3) - 5/8)
[1361425] ['2/3', '5/8', '7/3', '7/8', '8/5'] -> 8/5 / (2/3 - 7/8 / 5/8 / 7/3)
[1361443] ['2/3', '5/8', '7/3', '8/3', '8/3'] -> 8/3 / (5/8 * 8/3 - 2/3 * 7/3)
[1361449] ['2/3', '5/8', '7/3', '8/3', '9/5'] -> 9/5 / (7/3 / (2/3 + 8/3) - 5/8)
[1361462] ['2/3', '5/8', '7/3', '8/7', '9/2'] -> (2/3 + 7/3 * 8/7) / 5/8 * 9/2
[1361473] ['2/3', '5/8', '7/3', '9/2', '9/2'] -> 9/2 / (2/3 + 7/3 - 5/8 * 9/2)
[1361480] ['2/3', '5/8', '7/3', '9/4', '9/7'] -> 9/7 / ((9/4 - 2/3) / 7/3 - 5/8)
[1361482] ['2/3', '5/8', '7/3', '9/5', '9/5'] -> 9/5 / (5/8 * (2/3 + 7/3) - 9/5)
[1361488] ['2/3', '5/8', '7/4', '7/4', '7/4'] -> 7/4 / (2/3 * 7/4 - 5/8 * 7/4)
[1361491] ['2/3', '5/8', '7/4', '7/4', '7/8'] -> 7/4 / 7/4 / (5/8 - 2/3 * 7/8)
[1361494] ['2/3', '5/8', '7/4', '7/4', '8/5'] -> 8/5 / (2/3 / 5/8 - 7/4 / 7/4)
[1361495] ['2/3', '5/8', '7/4', '7/4', '8/7'] -> 7/4 / 7/4 / (5/8 - 2/3 / 8/7)
[1361502] ['2/3', '5/8', '7/4', '7/5', '7/5'] -> 7/5 / ((2/3 + 5/8) * 7/5 - 7/4)
[1361507] ['2/3', '5/8', '7/4', '7/5', '8/5'] -> 8/5 / (2/3 * 5/8 + 7/5 - 7/4)
[1361522] ['2/3', '5/8', '7/4', '7/6', '9/2'] -> (2/3 + (7/4 + 7/6) / 5/8) * 9/2
[1361529] ['2/3', '5/8', '7/4', '7/8', '8/3'] -> 8/3 / (7/8 / (7/4 - 5/8) - 2/3)
[1361544] ['2/3', '5/8', '7/4', '7/9', '9/4'] -> 7/9 / (2/3 - 5/8) / 7/4 * 9/4
[1361549] ['2/3', '5/8', '7/4', '8/3', '8/5'] -> 5/8 / (8/3 - 7/4 / 2/3) * 8/5
[1361556] ['2/3', '5/8', '7/4', '8/3', '9/8'] -> 9/8 / ((7/4 / 8/3 - 5/8) / 2/3)
[1361561] ['2/3', '5/8', '7/4', '8/5', '9/4'] -> 7/4 / (2/3 - 5/8) / 8/5 - 9/4
[1361568] ['2/3', '5/8', '7/4', '8/7', '9/4'] -> 5/8 / (2/3 * 7/4 - 8/7) - 9/4
[1361579] ['2/3', '5/8', '7/4', '9/2', '9/4'] -> (2/3 + (7/4 + 9/2) / 5/8) * 9/4
[1361587] ['2/3', '5/8', '7/4', '9/5', '9/5'] -> 9/5 / (2/3 * 9/5 - (7/4 - 5/8))
[1361589] ['2/3', '5/8', '7/4', '9/5', '9/8'] -> 9/8 / (5/8 * (9/5 - 7/4) / 2/3)
[1361592] ['2/3', '5/8', '7/4', '9/8', '9/8'] -> 9/8 / ((9/8 - 5/8 * 7/4) / 2/3)
[1361593] ['2/3', '5/8', '7/5', '7/5', '7/5'] -> 7/5 / (2/3 * 7/5 - 5/8 * 7/5)
[1361595] ['2/3', '5/8', '7/5', '7/5', '7/8'] -> 7/5 / 7/5 / (5/8 - 2/3 * 7/8)
[1361598] ['2/3', '5/8', '7/5', '7/5', '8/5'] -> 8/5 / (2/3 / 5/8 - 7/5 / 7/5)
[1361603] ['2/3', '5/8', '7/5', '7/5', '9/5'] -> 9/5 / (7/5 / 2/3 - 5/8 - 7/5)
[1361610] ['2/3', '5/8', '7/5', '7/6', '8/5'] -> 8/5 - 7/5 / (2/3 - 5/8 * 7/6)
[1361616] ['2/3', '5/8', '7/5', '7/6', '9/7'] -> 9/7 / (7/6 - 5/8 / 7/5 - 2/3)
[1361618] ['2/3', '5/8', '7/5', '7/8', '7/8'] -> 7/8 / (5/8 * (2/3 * 7/5 - 7/8))
[1361622] ['2/3', '5/8', '7/5', '7/8', '8/7'] -> 8/7 / ((2/3 + 5/8) / 7/5 - 7/8)
[1361640] ['2/3', '5/8', '7/5', '8/3', '8/5'] -> 8/5 / (2/3 * (5/8 - 7/5 / 8/3))
[1361645] ['2/3', '5/8', '7/5', '8/3', '9/5'] -> 9/5 / (7/5 / (8/3 - 2/3) - 5/8)
[1361648] ['2/3', '5/8', '7/5', '8/5', '8/5'] -> 8/5 / (5/8 * 8/5 - 2/3 * 7/5)
[1361651] ['2/3', '5/8', '7/5', '8/5', '9/2'] -> 2/3 / (8/5 - 7/5) / 5/8 * 9/2
[1361666] ['2/3', '5/8', '7/5', '8/9', '9/5'] -> 7/5 / (5/8 - 2/3 * 8/9) / 9/5
[1361674] ['2/3', '5/8', '7/5', '9/4', '9/4'] -> 9/4 / (5/8 * (9/4 - 7/5 / 2/3))
[1361684] ['2/3', '5/8', '7/6', '7/6', '7/6'] -> 7/6 / (2/3 * 7/6 - 5/8 * 7/6)
[1361685] ['2/3', '5/8', '7/6', '7/6', '7/8'] -> 7/6 / 7/6 / (5/8 - 2/3 * 7/8)
[1361686] ['2/3', '5/8', '7/6', '7/6', '7/9'] -> 7/6 / (5/8 * 7/6 - 2/3) / 7/9
[1361688] ['2/3', '5/8', '7/6', '7/6', '8/5'] -> 8/5 / (2/3 / 5/8 - 7/6 / 7/6)
[1361689] ['2/3', '5/8', '7/6', '7/6', '8/7'] -> 7/6 / 7/6 / (5/8 - 2/3 / 8/7)
[1361694] ['2/3', '5/8', '7/6', '7/6', '9/7'] -> 7/6 * 9/7 / (5/8 * 7/6 - 2/3)
[1361696] ['2/3', '5/8', '7/6', '7/8', '7/8'] -> 7/8 / (7/6 - (2/3 + 5/8) * 7/8)
[1361698] ['2/3', '5/8', '7/6', '7/8', '8/3'] -> 8/3 / (7/6 / (5/8 + 7/8) - 2/3)
[1361707] ['2/3', '5/8', '7/6', '7/9', '7/9'] -> 7/9 / (2/3 * (7/9 - 5/8 * 7/6))
[1361717] ['2/3', '5/8', '7/6', '8/3', '8/3'] -> 8/3 / (7/6 - 2/3 / 5/8) - 8/3
[1361725] ['2/3', '5/8', '7/6', '8/3', '9/8'] -> 9/8 / ((2/3 + 5/8 - 7/6) / 8/3)
[1361730] ['2/3', '5/8', '7/6', '8/5', '9/4'] -> 9/4 / (5/8 * (7/6 / 2/3 - 8/5))
[1361741] ['2/3', '5/8', '7/6', '8/9', '8/9'] -> 7/6 * 8/9 / (2/3 - 5/8) - 8/9
[1361759] ['2/3', '5/8', '7/6', '9/7', '9/7'] -> 9/7 / (5/8 * (2/3 + 9/7) - 7/6)
[1361761] ['2/3', '5/8', '7/6', '9/8', '9/8'] -> 9/8 / (7/6 - 5/8 * (2/3 + 9/8))
[1361765] ['2/3', '5/8', '7/8', '7/8', '8/5'] -> 8/5 / (2/3 / 5/8 - 7/8 / 7/8)
[1361768] ['2/3', '5/8', '7/8', '7/8', '9/2'] -> 9/2 / (5/8 + 7/8 - 7/8 / 2/3)
[1361769] ['2/3', '5/8', '7/8', '7/8', '9/4'] -> 9/4 / 2/3 / (7/8 * 7/8 - 5/8)
[1361774] ['2/3', '5/8', '7/8', '7/9', '8/3'] -> 8/3 / (2/3 - 5/8 * 7/9 / 7/8)
[1361776] ['2/3', '5/8', '7/8', '7/9', '8/7'] -> 8/7 / (2/3 * (7/8 - 5/8 / 7/9))
[1361778] ['2/3', '5/8', '7/8', '7/9', '9/2'] -> 9/2 / (7/8 / 7/9 - 5/8 / 2/3)
[1361781] ['2/3', '5/8', '7/8', '7/9', '9/7'] -> 9/7 / ((5/8 - 2/3 * 7/8) / 7/9)
[1361783] ['2/3', '5/8', '7/8', '8/3', '8/3'] -> 8/3 / ((5/8 - 2/3 * 7/8) * 8/3)
[1361789] ['2/3', '5/8', '7/8', '8/3', '9/5'] -> (2/3 + 8/3) / (7/8 - 5/8) * 9/5
[1361791] ['2/3', '5/8', '7/8', '8/3', '9/8'] -> 9/8 / (5/8 - (2/3 + 7/8) / 8/3)
[1361795] ['2/3', '5/8', '7/8', '8/5', '9/2'] -> 2/3 / (5/8 * 8/5 - 7/8) * 9/2
[1361803] ['2/3', '5/8', '7/8', '8/7', '9/4'] -> 9/4 / (2/3 * (7/8 / 8/7 - 5/8))
[1361808] ['2/3', '5/8', '7/8', '8/9', '9/2'] -> 8/9 / (7/8 - 5/8) / 2/3 * 9/2
[1361817] ['2/3', '5/8', '7/8', '9/2', '9/8'] -> 9/2 / (7/8 - 5/8) / 2/3 / 9/8
[1361825] ['2/3', '5/8', '7/8', '9/7', '9/7'] -> 9/7 / (5/8 - 2/3 * 7/8) / 9/7
[1361828] ['2/3', '5/8', '7/9', '7/9', '7/9'] -> 7/9 / (2/3 * 7/9 - 5/8 * 7/9)
[1361830] ['2/3', '5/8', '7/9', '7/9', '8/5'] -> 8/5 / (2/3 / 5/8 - 7/9 / 7/9)
[1361839] ['2/3', '5/8', '7/9', '8/3', '8/5'] -> 5/8 * 8/3 / (7/9 - 2/3) * 8/5
[1361842] ['2/3', '5/8', '7/9', '8/3', '9/2'] -> 9/2 / (5/8 - 7/9 / 2/3 / 8/3)
[1361858] ['2/3', '5/8', '7/9', '8/7', '9/4'] -> 5/8 / (7/9 / 2/3 - 8/7) - 9/4
[1361860] ['2/3', '5/8', '7/9', '8/7', '9/7'] -> 9/7 / ((5/8 - 2/3 / 8/7) / 7/9)
[1361861] ['2/3', '5/8', '7/9', '8/7', '9/8'] -> 9/8 / ((2/3 - 5/8) / 7/9 / 8/7)
[1361862] ['2/3', '5/8', '7/9', '8/9', '8/9'] -> 8/9 / (5/8 * 8/9 - 2/3 * 7/9)
[1361866] ['2/3', '5/8', '7/9', '8/9', '9/7'] -> 9/7 / (5/8 / 7/9 - 2/3 / 8/9)
[1361867] ['2/3', '5/8', '7/9', '8/9', '9/8'] -> 9/8 / ((5/8 / 8/9 - 2/3) / 7/9)
[1361868] ['2/3', '5/8', '7/9', '9/2', '9/2'] -> (9/2 - 7/9 / 2/3) / 5/8 * 9/2
[1361882] ['2/3', '5/8', '7/9', '9/8', '9/8'] -> 9/8 / ((5/8 * 9/8 - 2/3) / 7/9)
[1361884] ['2/3', '5/8', '8/3', '8/3', '8/5'] -> 8/5 / (2/3 / 5/8 - 8/3 / 8/3)
[1361885] ['2/3', '5/8', '8/3', '8/3', '8/7'] -> 8/3 / 8/3 / (5/8 - 2/3 / 8/7)
[1361888] ['2/3', '5/8', '8/3', '8/3', '9/4'] -> (8/3 / 2/3 + 8/3) / 5/8 * 9/4
[1361900] ['2/3', '5/8', '8/3', '8/7', '8/7'] -> 8/7 / (8/7 / 2/3 - 5/8 * 8/3)
[1361907] ['2/3', '5/8', '8/3', '8/9', '8/9'] -> 8/9 / (8/3 * (8/9 - 5/8) - 2/3)
[1361912] ['2/3', '5/8', '8/3', '8/9', '9/8'] -> 9/8 / ((2/3 / 8/9 - 5/8) / 8/3)
[1361922] ['2/3', '5/8', '8/3', '9/5', '9/5'] -> 2/3 / (9/5 / 8/3 - 5/8) * 9/5
[1361929] ['2/3', '5/8', '8/5', '8/5', '8/7'] -> 8/5 / 8/5 / (5/8 - 2/3 / 8/7)
[1361954] ['2/3', '5/8', '8/5', '9/4', '9/4'] -> 9/4 / (5/8 * (8/5 / 2/3 - 9/4))
[1361969] ['2/3', '5/8', '8/7', '8/7', '9/7'] -> 9/7 / (5/8 + 8/7 - 8/7 / 2/3)
[1361976] ['2/3', '5/8', '8/7', '8/9', '9/8'] -> 9/8 / ((5/8 - 2/3 / 8/7) / 8/9)
[1361977] ['2/3', '5/8', '8/7', '9/2', '9/2'] -> 9/2 / (5/8 - 2/3 / 8/7) / 9/2
[1361982] ['2/3', '5/8', '8/7', '9/4', '9/4'] -> 9/4 / ((5/8 - 2/3 / 8/7) * 9/4)
[1361986] ['2/3', '5/8', '8/7', '9/5', '9/5'] -> 9/5 / (5/8 - 2/3 / 8/7) / 9/5
[1361987] ['2/3', '5/8', '8/7', '9/5', '9/7'] -> 9/7 / (5/8 * (9/5 - 8/7 / 2/3))
[1361989] ['2/3', '5/8', '8/7', '9/7', '9/7'] -> 9/7 / (5/8 - 2/3 / 8/7) / 9/7
[1361992] ['2/3', '5/8', '8/9', '8/9', '8/9'] -> 8/9 / (2/3 * 8/9 - 5/8 * 8/9)
[1361996] ['2/3', '5/8', '8/9', '8/9', '9/7'] -> 9/7 / (5/8 - 8/9 / (2/3 + 8/9))
[1361997] ['2/3', '5/8', '8/9', '8/9', '9/8'] -> 9/8 / (2/3 / 8/9 - 5/8 / 8/9)
[1362010] ['2/3', '5/8', '8/9', '9/7', '9/7'] -> 9/7 / (5/8 * 9/7 - 2/3 / 8/9)
[1362011] ['2/3', '5/8', '8/9', '9/7', '9/8'] -> 9/8 / ((5/8 / 8/9 - 2/3) * 9/7)
[1362013] ['2/3', '5/8', '9/2', '9/2', '9/2'] -> 9/2 / (2/3 * 9/2 - 5/8 * 9/2)
