[826615] ['1/6', '2/9', '4/3', '5/3', '8/9'] -> (8/9 / (2/9 * ((5/3 - 1/6) - 4/3)))
[826793] ['1/6', '2/9', '4/3', '7/4', '7/5'] -> ((4/3 / (1/6 - (2/9 / 7/4))) / 7/5)
[826794] ['1/6', '2/9', '4/3', '7/4', '7/6'] -> ((((4/3 / 1/6) / 2/9) / 7/4) * 7/6)
[826796] ['1/6', '2/9', '4/3', '7/4', '7/9'] -> (7/9 / (1/6 * ((7/4 - 2/9) - 4/3)))
[826801] ['1/6', '2/9', '4/3', '7/4', '9/2'] -> ((((2/9 + 4/3) / 1/6) / 7/4) * 9/2)
[826821] ['1/6', '2/9', '4/3', '7/6', '7/9'] -> ((((4/3 / 1/6) / 2/9) / 7/6) * 7/9)
[826826] ['1/6', '2/9', '4/3', '7/6', '9/2'] -> (((4/3 / 2/9) / 7/6) * (1/6 + 9/2))
[826827] ['1/6', '2/9', '4/3', '7/6', '9/4'] -> (((2/9 + (4/3 * 7/6)) / 1/6) * 9/4)
[826829] ['1/6', '2/9', '4/3', '7/6', '9/7'] -> ((((4/3 / 1/6) / 2/9) / 7/6) / 9/7)
[826833] ['1/6', '2/9', '4/3', '7/8', '8/3'] -> ((7/8 / (2/9 - (1/6 / 4/3))) * 8/3)
[826835] ['1/6', '2/9', '4/3', '7/8', '8/7'] -> (((4/3 * 7/8) / (2/9 - 1/6)) * 8/7)
[826836] ['1/6', '2/9', '4/3', '7/8', '8/9'] -> (8/9 / (4/3 * ((2/9 * 7/8) - 1/6)))
[826843] ['1/6', '2/9', '4/3', '7/9', '8/3'] -> (((2/9 + (4/3 / 1/6)) + 7/9) * 8/3)
[826848] ['1/6', '2/9', '4/3', '7/9', '9/4'] -> (((4/3 / 2/9) + (7/9 / 1/6)) * 9/4)
[826851] ['1/6', '2/9', '4/3', '7/9', '9/8'] -> (((4/3 + (7/9 / 1/6)) / 2/9) / 9/8)
[826854] ['1/6', '2/9', '4/3', '8/3', '8/7'] -> ((8/3 / (2/9 - (1/6 / 4/3))) / 8/7)
[826859] ['1/6', '2/9', '4/3', '8/3', '9/7'] -> ((4/3 + ((2/9 + 8/3) / 1/6)) * 9/7)
[826860] ['1/6', '2/9', '4/3', '8/3', '9/8'] -> (((4/3 / (2/9 - 1/6)) - 8/3) * 9/8)
[826863] ['1/6', '2/9', '4/3', '8/5', '8/9'] -> (8/9 / (4/3 * (1/6 - (2/9 / 8/5))))
[826865] ['1/6', '2/9', '4/3', '8/5', '9/4'] -> ((((4/3 - 2/9) * 8/5) / 1/6) * 9/4)
[826866] ['1/6', '2/9', '4/3', '8/5', '9/5'] -> ((((4/3 / 1/6) + 8/5) / 2/9) / 9/5)
[826870] ['1/6', '2/9', '4/3', '8/7', '8/9'] -> (8/9 / (4/3 * ((2/9 / 8/7) - 1/6)))
[826872] ['1/6', '2/9', '4/3', '8/7', '9/4'] -> ((((2/9 + 4/3) * 8/7) / 1/6) * 9/4)
[826874] ['1/6', '2/9', '4/3', '8/7', '9/7'] -> ((((4/3 / 1/6) - 8/7) / 2/9) / 9/7)
[826879] ['1/6', '2/9', '4/3', '8/9', '9/5'] -> ((4/3 / ((2/9 * 8/9) - 1/6)) / 9/5)
[826892] ['1/6', '2/9', '4/3', '9/5', '9/7'] -> ((4/3 / (1/6 - (2/9 / 9/5))) / 9/7)
[826901] ['1/6', '2/9', '4/5', '4/5', '5/3'] -> (5/3 / ((2/9 / 4/5) - (1/6 / 4/5)))
[826903] ['1/6', '2/9', '4/5', '4/5', '5/6'] -> (((4/5 + 4/5) / (2/9 - 1/6)) * 5/6)
[826906] ['1/6', '2/9', '4/5', '4/5', '5/9'] -> ((((4/5 + 4/5) / 1/6) / 2/9) * 5/9)
[826909] ['1/6', '2/9', '4/5', '4/5', '7/2'] -> (((4/5 + 4/5) / 2/9) * (7/2 - 1/6))
[826912] ['1/6', '2/9', '4/5', '4/5', '7/5'] -> ((4/5 + 4/5) / (7/5 - (2/9 / 1/6)))
[826916] ['1/6', '2/9', '4/5', '4/5', '8/3'] -> ((4/5 / (2/9 - (1/6 * 4/5))) * 8/3)
[826917] ['1/6', '2/9', '4/5', '4/5', '8/5'] -> ((((4/5 / 1/6) / 2/9) + 4/5) + 8/5)
[826920] ['1/6', '2/9', '4/5', '4/5', '9/2'] -> ((((2/9 + 4/5) / 1/6) - 4/5) * 9/2)
[826922] ['1/6', '2/9', '4/5', '4/5', '9/5'] -> ((((4/5 + 4/5) / 1/6) / 2/9) / 9/5)
[826924] ['1/6', '2/9', '4/5', '4/5', '9/8'] -> ((((4/5 / 1/6) / 2/9) / 4/5) / 9/8)
[826935] ['1/6', '2/9', '4/5', '4/7', '6/7'] -> (6/7 / ((1/6 / 2/9) - (4/7 / 4/5)))
[826944] ['1/6', '2/9', '4/5', '4/7', '8/5'] -> (8/5 / ((4/5 / 4/7) - (2/9 / 1/6)))
[826948] ['1/6', '2/9', '4/5', '4/7', '9/4'] -> ((1/6 / ((4/5 - 2/9) - 4/7)) - 9/4)
[826957] ['1/6', '2/9', '4/5', '4/9', '5/7'] -> ((((4/5 + 4/9) / 1/6) / 2/9) * 5/7)
[826958] ['1/6', '2/9', '4/5', '4/9', '5/8'] -> ((((4/9 / 1/6) / 2/9) / 4/5) / 5/8)
[826963] ['1/6', '2/9', '4/5', '4/9', '7/3'] -> (7/3 / ((1/6 / 4/9) - (2/9 / 4/5)))
[826965] ['1/6', '2/9', '4/5', '4/9', '7/5'] -> ((((4/5 + 4/9) / 1/6) / 2/9) / 7/5)
[826969] ['1/6', '2/9', '4/5', '4/9', '8/3'] -> (8/3 / (((4/9 - 2/9) / 4/5) - 1/6))
[826975] ['1/6', '2/9', '4/5', '4/9', '9/5'] -> (9/5 / (((1/6 + 2/9) / 4/9) - 4/5))
[826978] ['1/6', '2/9', '4/5', '5/2', '5/2'] -> (((5/2 * 4/5) * (1/6 + 5/2)) / 2/9)
[826981] ['1/6', '2/9', '4/5', '5/2', '5/6'] -> (5/6 / ((2/9 - (1/6 / 4/5)) * 5/2))
[826983] ['1/6', '2/9', '4/5', '5/2', '5/8'] -> ((((1/6 + 5/2) / 2/9) / 4/5) / 5/8)
[826988] ['1/6', '2/9', '4/5', '5/2', '7/3'] -> ((4/5 / (1/6 - (2/9 / 5/2))) * 7/3)
[826995] ['1/6', '2/9', '4/5', '5/2', '8/5'] -> ((((1/6 + 5/2) / 2/9) / 4/5) * 8/5)
[826999] ['1/6', '2/9', '4/5', '5/2', '9/4'] -> ((((4/5 * 5/2) - 2/9) / 1/6) * 9/4)
[827003] ['1/6', '2/9', '4/5', '5/3', '5/3'] -> ((4/5 / ((1/6 * 5/3) - 2/9)) * 5/3)
[827007] ['1/6', '2/9', '4/5', '5/3', '5/8'] -> ((5/3 / ((2/9 / 4/5) - 1/6)) / 5/8)
[827008] ['1/6', '2/9', '4/5', '5/3', '5/9'] -> (5/9 / ((2/9 - (1/6 / 4/5)) * 5/3))
[827012] ['1/6', '2/9', '4/5', '5/3', '7/3'] -> (7/3 / (2/9 - ((1/6 / 4/5) / 5/3)))
[827018] ['1/6', '2/9', '4/5', '5/3', '8/3'] -> (8/3 / (1/6 * (4/5 - (2/9 / 5/3))))
[827019] ['1/6', '2/9', '4/5', '5/3', '8/5'] -> ((5/3 / ((2/9 / 4/5) - 1/6)) * 8/5)
[827024] ['1/6', '2/9', '4/5', '5/3', '9/5'] -> (9/5 / ((1/6 / 4/5) - (2/9 / 5/3)))
[827049] ['1/6', '2/9', '4/5', '5/4', '9/8'] -> ((((4/5 * 5/4) / 1/6) / 2/9) / 9/8)
[827054] ['1/6', '2/9', '4/5', '5/6', '6/5'] -> (6/5 / ((1/6 * (4/5 + 5/6)) - 2/9))
[827059] ['1/6', '2/9', '4/5', '5/6', '7/5'] -> (7/5 / ((2/9 / 5/6) - (1/6 / 4/5)))
[827060] ['1/6', '2/9', '4/5', '5/6', '7/6'] -> (7/6 / (2/9 - ((1/6 * 5/6) / 4/5)))
[827066] ['1/6', '2/9', '4/5', '5/6', '8/9'] -> (8/9 / (((2/9 - 1/6) * 4/5) * 5/6))
[827067] ['1/6', '2/9', '4/5', '5/6', '9/2'] -> (((2/9 + (4/5 * 5/6)) / 1/6) * 9/2)
[827069] ['1/6', '2/9', '4/5', '5/6', '9/5'] -> ((4/5 / ((2/9 * 5/6) - 1/6)) / 9/5)
[827076] ['1/6', '2/9', '4/5', '5/7', '6/7'] -> (6/7 / ((4/5 - (1/6 / 2/9)) * 5/7))
[827078] ['1/6', '2/9', '4/5', '5/7', '7/3'] -> (((4/5 * 5/7) / (2/9 - 1/6)) * 7/3)
[827085] ['1/6', '2/9', '4/5', '5/7', '8/5'] -> (8/5 - (4/5 / (5/7 - (1/6 / 2/9))))
[827095] ['1/6', '2/9', '4/5', '5/8', '6/5'] -> ((4/5 / (1/6 - (2/9 * 5/8))) / 6/5)
[827117] ['1/6', '2/9', '4/5', '5/9', '7/3'] -> ((4/5 / ((1/6 / 5/9) - 2/9)) * 7/3)
[827124] ['1/6', '2/9', '4/5', '5/9', '8/5'] -> (8/5 / (1/6 * (4/5 - (2/9 / 5/9))))
[827126] ['1/6', '2/9', '4/5', '5/9', '8/9'] -> (8/9 / (1/6 * ((4/5 * 5/9) - 2/9)))
[827137] ['1/6', '2/9', '4/5', '6/5', '7/5'] -> (7/5 / ((2/9 * 6/5) - (1/6 / 4/5)))
[827138] ['1/6', '2/9', '4/5', '6/5', '7/6'] -> (7/6 / (2/9 - ((1/6 / 4/5) / 6/5)))
[827159] ['1/6', '2/9', '4/5', '6/7', '8/5'] -> (8/5 / (2/9 - ((1/6 * 4/5) / 6/7)))
[827164] ['1/6', '2/9', '4/5', '6/7', '9/5'] -> (9/5 / (((1/6 / 2/9) / 6/7) - 4/5))
[827171] ['1/6', '2/9', '4/5', '7/2', '7/6'] -> (7/6 / ((2/9 - (1/6 / 4/5)) * 7/2))
[827175] ['1/6', '2/9', '4/5', '7/2', '8/5'] -> (8/5 / ((1/6 + 7/2) - (4/5 / 2/9)))
[827179] ['1/6', '2/9', '4/5', '7/2', '9/4'] -> ((1/6 / ((4/5 / 7/2) - 2/9)) - 9/4)
[827185] ['1/6', '2/9', '4/5', '7/3', '7/5'] -> (((4/5 * 7/3) / (2/9 - 1/6)) / 7/5)
[827187] ['1/6', '2/9', '4/5', '7/3', '7/8'] -> ((7/3 / ((2/9 / 4/5) - 1/6)) / 7/8)
[827188] ['1/6', '2/9', '4/5', '7/3', '7/9'] -> (7/9 / ((2/9 - (1/6 / 4/5)) * 7/3))
[827194] ['1/6', '2/9', '4/5', '7/3', '9/4'] -> ((7/3 / (2/9 - (1/6 * 4/5))) - 9/4)
[827195] ['1/6', '2/9', '4/5', '7/3', '9/5'] -> (((1/6 + (7/3 / 2/9)) / 4/5) * 9/5)
[827204] ['1/6', '2/9', '4/5', '7/4', '8/5'] -> (8/5 / ((4/5 * 7/4) - (2/9 / 1/6)))
[827213] ['1/6', '2/9', '4/5', '7/5', '7/6'] -> ((7/5 / (4/5 - (1/6 / 2/9))) / 7/6)
[827220] ['1/6', '2/9', '4/5', '7/5', '9/2'] -> ((((7/5 / 2/9) - 1/6) - 4/5) * 9/2)
[827229] ['1/6', '2/9', '4/5', '7/6', '8/5'] -> (8/5 / (2/9 - ((1/6 * 4/5) * 7/6)))
[827232] ['1/6', '2/9', '4/5', '7/6', '9/2'] -> (((7/6 - (2/9 / 4/5)) / 1/6) * 9/2)
[827233] ['1/6', '2/9', '4/5', '7/6', '9/4'] -> (((7/6 / (2/9 - 1/6)) / 4/5) - 9/4)
[827234] ['1/6', '2/9', '4/5', '7/6', '9/5'] -> (9/5 / (((1/6 * 7/6) / 2/9) - 4/5))
[827254] ['1/6', '2/9', '4/5', '7/9', '9/4'] -> ((((7/9 / 1/6) / 2/9) / 4/5) - 9/4)
[827258] ['1/6', '2/9', '4/5', '8/3', '8/3'] -> (((4/5 * (8/3 - 1/6)) / 2/9) * 8/3)
[827259] ['1/6', '2/9', '4/5', '8/3', '8/5'] -> (8/5 / (4/5 * (1/6 - (2/9 / 8/3))))
[827261] ['1/6', '2/9', '4/5', '8/3', '8/9'] -> (8/9 / ((2/9 - (1/6 / 4/5)) * 8/3))
[827265] ['1/6', '2/9', '4/5', '8/3', '9/7'] -> ((9/7 * ((8/3 / 4/5) - 2/9)) / 1/6)
[827266] ['1/6', '2/9', '4/5', '8/3', '9/8'] -> ((9/8 * (2/9 + (8/3 / 4/5))) / 1/6)
[827267] ['1/6', '2/9', '4/5', '8/5', '8/5'] -> (8/5 / (((2/9 / 1/6) / 4/5) - 8/5))
[827282] ['1/6', '2/9', '4/5', '8/9', '8/9'] -> (8/9 / (2/9 - ((1/6 * 8/9) / 4/5)))
[827289] ['1/6', '2/9', '4/5', '9/2', '9/4'] -> ((((1/6 + 9/2) / 2/9) / 4/5) - 9/4)
[827294] ['1/6', '2/9', '4/5', '9/4', '9/5'] -> (9/5 / (((1/6 + 2/9) * 9/4) - 4/5))
[827299] ['1/6', '2/9', '4/5', '9/5', '9/8'] -> ((((9/5 - 4/5) / 1/6) / 2/9) / 9/8)
[827306] ['1/6', '2/9', '4/7', '4/7', '5/3'] -> ((4/7 / (1/6 - (2/9 * 4/7))) * 5/3)
[827313] ['1/6', '2/9', '4/7', '4/7', '6/7'] -> (((4/7 + 4/7) / (2/9 - 1/6)) / 6/7)
[827315] ['1/6', '2/9', '4/7', '4/7', '7/3'] -> (7/3 / ((2/9 / 4/7) - (1/6 / 4/7)))
[827318] ['1/6', '2/9', '4/7', '4/7', '7/6'] -> (((4/7 + 4/7) / (2/9 - 1/6)) * 7/6)
[827320] ['1/6', '2/9', '4/7', '4/7', '7/9'] -> ((((4/7 + 4/7) / 1/6) / 2/9) * 7/9)
[827329] ['1/6', '2/9', '4/7', '4/7', '9/8'] -> ((((4/7 / 1/6) / 2/9) / 4/7) / 9/8)
[827332] ['1/6', '2/9', '4/7', '4/9', '5/3'] -> (5/3 / ((1/6 / 4/7) + (2/9 - 4/9)))
[827333] ['1/6', '2/9', '4/7', '4/9', '5/4'] -> (5/4 / ((2/9 / (4/7 + 4/9)) - 1/6))
[827340] ['1/6', '2/9', '4/7', '4/9', '7/2'] -> ((((4/7 * 4/9) / 1/6) / 2/9) * 7/2)
[827341] ['1/6', '2/9', '4/7', '4/9', '7/3'] -> ((4/7 / ((4/9 - 1/6) - 2/9)) * 7/3)
[827347] ['1/6', '2/9', '4/7', '4/9', '8/3'] -> (8/3 / ((1/6 + (2/9 / 4/7)) - 4/9))
[827365] ['1/6', '2/9', '4/7', '5/2', '7/2'] -> ((((1/6 + 5/2) * 4/7) / 2/9) * 7/2)
[827370] ['1/6', '2/9', '4/7', '5/2', '7/8'] -> ((((1/6 + 5/2) / 2/9) / 4/7) / 7/8)
[827372] ['1/6', '2/9', '4/7', '5/2', '8/3'] -> (8/3 / (4/7 * ((1/6 * 5/2) - 2/9)))
[827374] ['1/6', '2/9', '4/7', '5/2', '8/7'] -> ((((1/6 + 5/2) / 2/9) / 4/7) * 8/7)
[827377] ['1/6', '2/9', '4/7', '5/2', '9/4'] -> ((1/6 / ((4/7 / 5/2) - 2/9)) - 9/4)
[827390] ['1/6', '2/9', '4/7', '5/3', '7/3'] -> ((4/7 / ((1/6 * 5/3) - 2/9)) * 7/3)
[827391] ['1/6', '2/9', '4/7', '5/3', '7/4'] -> ((5/3 / (1/6 - (2/9 * 4/7))) / 7/4)
[827396] ['1/6', '2/9', '4/7', '5/3', '8/3'] -> (8/3 / ((2/9 / 4/7) - (1/6 * 5/3)))
[827397] ['1/6', '2/9', '4/7', '5/3', '8/5'] -> (8/5 / (((2/9 / 4/7) / 5/3) - 1/6))
[827411] ['1/6', '2/9', '4/7', '5/4', '6/7'] -> (6/7 / ((1/6 / 2/9) - (4/7 * 5/4)))
[827412] ['1/6', '2/9', '4/7', '5/4', '7/2'] -> ((7/2 * 4/7) / ((2/9 / 1/6) - 5/4))
[827421] ['1/6', '2/9', '4/7', '5/4', '8/7'] -> (8/7 / (4/7 * ((2/9 / 1/6) - 5/4)))
[827423] ['1/6', '2/9', '4/7', '5/4', '9/2'] -> (((5/4 / 2/9) - (1/6 / 4/7)) * 9/2)
[827439] ['1/6', '2/9', '4/7', '5/6', '7/8'] -> ((5/6 / (1/6 - (2/9 * 4/7))) / 7/8)
[827440] ['1/6', '2/9', '4/7', '5/6', '7/9'] -> ((4/7 / ((2/9 * 5/6) - 1/6)) * 7/9)
[827446] ['1/6', '2/9', '4/7', '5/6', '9/4'] -> (((5/6 / (2/9 - 1/6)) / 4/7) - 9/4)
[827453] ['1/6', '2/9', '4/7', '5/7', '6/5'] -> (6/5 / ((4/7 / 5/7) - (1/6 / 2/9)))
[827456] ['1/6', '2/9', '4/7', '5/7', '7/3'] -> ((5/7 / ((1/6 / 4/7) - 2/9)) * 7/3)
[827462] ['1/6', '2/9', '4/7', '5/7', '8/3'] -> (8/3 / (((2/9 * 5/7) / 4/7) - 1/6))
[827466] ['1/6', '2/9', '4/7', '5/7', '9/2'] -> ((((5/7 / 2/9) - 1/6) / 4/7) * 9/2)
[827469] ['1/6', '2/9', '4/7', '5/7', '9/7'] -> (((4/7 + (5/7 / 2/9)) / 1/6) + 9/7)
[827474] ['1/6', '2/9', '4/7', '5/8', '6/7'] -> ((4/7 / (1/6 - (2/9 * 5/8))) / 6/7)
[827479] ['1/6', '2/9', '4/7', '5/8', '7/6'] -> ((4/7 / (1/6 - (2/9 * 5/8))) * 7/6)
[827485] ['1/6', '2/9', '4/7', '5/8', '8/9'] -> (((2/9 / (5/8 - 4/7)) / 1/6) - 8/9)
[827494] ['1/6', '2/9', '4/7', '5/9', '7/2'] -> (((2/9 / (4/7 - 5/9)) / 1/6) / 7/2)
[827495] ['1/6', '2/9', '4/7', '5/9', '7/3'] -> (((4/7 / (5/9 - 2/9)) / 1/6) * 7/3)
[827501] ['1/6', '2/9', '4/7', '5/9', '8/3'] -> (8/3 / (4/7 * ((1/6 / 2/9) - 5/9)))
[827506] ['1/6', '2/9', '4/7', '5/9', '9/4'] -> ((((5/9 / 1/6) / 2/9) / 4/7) - 9/4)
[827512] ['1/6', '2/9', '4/7', '6/5', '7/2'] -> ((7/2 * 4/7) / (2/9 - (1/6 / 6/5)))
[827518] ['1/6', '2/9', '4/7', '6/5', '7/9'] -> ((4/7 / ((2/9 / 6/5) - 1/6)) * 7/9)
[827530] ['1/6', '2/9', '4/7', '6/7', '7/3'] -> ((((4/7 / 2/9) - 6/7) / 1/6) * 7/3)
[827535] ['1/6', '2/9', '4/7', '6/7', '7/9'] -> (7/9 / ((1/6 / 4/7) - (2/9 / 6/7)))
[827539] ['1/6', '2/9', '4/7', '6/7', '8/9'] -> (((6/7 / (2/9 - 1/6)) / 4/7) * 8/9)
[827544] ['1/6', '2/9', '4/7', '6/7', '9/8'] -> (((6/7 / (2/9 - 1/6)) / 4/7) / 9/8)
[827558] ['1/6', '2/9', '4/7', '7/2', '9/5'] -> (((2/9 + (4/7 * 7/2)) / 1/6) * 9/5)
[827561] ['1/6', '2/9', '4/7', '7/3', '7/3'] -> (7/3 / (2/9 - ((1/6 / 4/7) / 7/3)))
[827563] ['1/6', '2/9', '4/7', '7/3', '7/5'] -> ((7/3 / ((1/6 / 4/7) - 2/9)) / 7/5)
[827570] ['1/6', '2/9', '4/7', '7/3', '8/9'] -> (((2/9 + (7/3 / 1/6)) / 4/7) - 8/9)
[827574] ['1/6', '2/9', '4/7', '7/3', '9/7'] -> ((9/7 * (1/6 + (7/3 / 2/9))) / 4/7)
[827589] ['1/6', '2/9', '4/7', '7/4', '9/8'] -> ((((4/7 * 7/4) / 1/6) / 2/9) / 9/8)
[827594] ['1/6', '2/9', '4/7', '7/5', '8/3'] -> (8/3 / (((2/9 / 4/7) / 7/5) - 1/6))
[827603] ['1/6', '2/9', '4/7', '7/6', '7/6'] -> ((4/7 / (2/9 - (1/6 * 7/6))) * 7/6)
[827605] ['1/6', '2/9', '4/7', '7/6', '7/9'] -> (7/9 / ((1/6 / 4/7) - (2/9 * 7/6)))
[827609] ['1/6', '2/9', '4/7', '7/6', '8/9'] -> (8/9 / (((2/9 - 1/6) * 4/7) * 7/6))
[827610] ['1/6', '2/9', '4/7', '7/6', '9/2'] -> (((2/9 + (4/7 * 7/6)) / 1/6) * 9/2)
[827624] ['1/6', '2/9', '4/7', '7/8', '9/7'] -> (9/7 / ((1/6 * 2/9) * (4/7 + 7/8)))
[827627] ['1/6', '2/9', '4/7', '7/9', '8/3'] -> (8/3 / (1/6 * (2/9 + (4/7 * 7/9))))
[827629] ['1/6', '2/9', '4/7', '7/9', '8/7'] -> (8/7 / (1/6 * (4/7 - (2/9 / 7/9))))
[827630] ['1/6', '2/9', '4/7', '7/9', '8/9'] -> (8/9 / (1/6 * ((4/7 * 7/9) - 2/9)))
[827636] ['1/6', '2/9', '4/7', '8/3', '8/3'] -> ((((8/3 / 4/7) - 2/9) / 1/6) - 8/3)
[827641] ['1/6', '2/9', '4/7', '8/3', '9/4'] -> (((1/6 + (8/3 / 4/7)) / 2/9) + 9/4)
[827654] ['1/6', '2/9', '4/7', '8/7', '8/9'] -> (8/9 / (1/6 - (2/9 / (4/7 + 8/7))))
[827656] ['1/6', '2/9', '4/7', '8/7', '9/4'] -> ((((8/7 / 4/7) - 2/9) / 1/6) * 9/4)
[827657] ['1/6', '2/9', '4/7', '8/7', '9/5'] -> (((2/9 + (8/7 / 4/7)) / 1/6) * 9/5)
[827658] ['1/6', '2/9', '4/7', '8/7', '9/7'] -> (((4/7 + 8/7) / (2/9 - 1/6)) / 9/7)
[827660] ['1/6', '2/9', '4/7', '8/9', '8/9'] -> (8/9 / (((1/6 * 8/9) / 4/7) - 2/9))
[827662] ['1/6', '2/9', '4/7', '8/9', '9/4'] -> (((2/9 + (8/9 / 4/7)) / 1/6) * 9/4)
[827664] ['1/6', '2/9', '4/7', '8/9', '9/7'] -> (9/7 / (1/6 * (4/7 - (2/9 / 8/9))))
[827673] ['1/6', '2/9', '4/7', '9/4', '9/7'] -> (9/7 / (1/6 * ((4/7 / 2/9) - 9/4)))
[827685] ['1/6', '2/9', '4/9', '4/9', '5/6'] -> (5/6 / (2/9 - (1/6 / (4/9 + 4/9))))
[827695] ['1/6', '2/9', '4/9', '4/9', '7/6'] -> ((1/6 + 7/6) / ((2/9 / 4/9) - 4/9))
[827702] ['1/6', '2/9', '4/9', '4/9', '9/2'] -> ((((4/9 * 4/9) / 1/6) / 2/9) * 9/2)
[827706] ['1/6', '2/9', '4/9', '4/9', '9/8'] -> ((((4/9 / 1/6) / 2/9) / 4/9) / 9/8)
