[1916600] ['4/3', '7/8', '8/7', '9/2', '9/4'] -> 9/4 / (7/8 / (4/3 - 8/7) - 9/2)
[1917569] ['4/5', '4/5', '4/5', '5/7', '7/6'] -> 4/5 / (7/6 / 5/7 - 4/5 - 4/5)
[1917571] ['4/5', '4/5', '4/5', '5/7', '7/9'] -> (4/5 + 4/5) / (4/5 - 5/7) / 7/9
[1917579] ['4/5', '4/5', '4/5', '5/7', '9/7'] -> (4/5 + 4/5) * 9/7 / (4/5 - 5/7)
[1917583] ['4/5', '4/5', '4/5', '5/8', '6/5'] -> 4/5 / (4/5 / 6/5 - 5/8) / 4/5
[1917585] ['4/5', '4/5', '4/5', '5/8', '7/2'] -> (7/2 / (4/5 - 5/8) - 4/5) / 4/5
[1917589] ['4/5', '4/5', '4/5', '5/8', '7/6'] -> 4/5 / (7/6 / 4/5 - 4/5 - 5/8)
[1917602] ['4/5', '4/5', '4/5', '5/9', '6/5'] -> 4/5 / (5/9 * 6/5 / 4/5 - 4/5)
[1917609] ['4/5', '4/5', '4/5', '5/9', '7/8'] -> 4/5 / (7/8 - 4/5) / 4/5 / 5/9
[1917611] ['4/5', '4/5', '4/5', '5/9', '8/3'] -> 8/3 / (4/5 / 4/5 - 4/5) / 5/9
[1917618] ['4/5', '4/5', '4/5', '5/9', '9/7'] -> (4/5 + 4/5) / (4/5 / 9/7 - 5/9)
[1917621] ['4/5', '4/5', '4/5', '6/5', '6/7'] -> 4/5 / (6/5 - 4/5 / 4/5 / 6/7)
[1917623] ['4/5', '4/5', '4/5', '6/5', '7/3'] -> 4/5 / (7/3 - 6/5 / 4/5 - 4/5)
[1917624] ['4/5', '4/5', '4/5', '6/5', '7/4'] -> 6/5 / (4/5 / 4/5 + 4/5 - 7/4)
[1917627] ['4/5', '4/5', '4/5', '6/5', '7/8'] -> 4/5 / (4/5 * 7/8 - 4/5 / 6/5)
[1917628] ['4/5', '4/5', '4/5', '6/5', '7/9'] -> 4/5 * 4/5 / (4/5 - 7/9) / 6/5
[1917631] ['4/5', '4/5', '4/5', '6/5', '8/7'] -> 4/5 / (4/5 / 8/7 - 4/5 / 6/5)
[1917637] ['4/5', '4/5', '4/5', '6/5', '9/8'] -> (4/5 / 4/5 + 4/5) / (6/5 - 9/8)
[1917638] ['4/5', '4/5', '4/5', '6/7', '6/7'] -> (4/5 + 4/5) * 6/7 / (6/7 - 4/5)
[1917643] ['4/5', '4/5', '4/5', '6/7', '7/6'] -> (4/5 + 4/5) / (6/7 - 4/5) / 7/6
[1917645] ['4/5', '4/5', '4/5', '6/7', '7/9'] -> 4/5 / (6/7 * 7/9 / 4/5 - 4/5)
[1917647] ['4/5', '4/5', '4/5', '6/7', '8/5'] -> 8/5 / (4/5 / 4/5 - 4/5 / 6/7)
[1917648] ['4/5', '4/5', '4/5', '6/7', '8/7'] -> (8/7 / (6/7 - 4/5) - 4/5) / 4/5
[1917649] ['4/5', '4/5', '4/5', '6/7', '8/9'] -> 4/5 / (4/5 / 6/7 - 4/5 / 8/9)
[1917654] ['4/5', '4/5', '4/5', '6/7', '9/8'] -> 4/5 / (4/5 / 6/7 - 4/5 * 9/8)
[1917656] ['4/5', '4/5', '4/5', '7/2', '7/3'] -> 4/5 / (7/3 / 4/5 / 7/2 - 4/5)
[1917667] ['4/5', '4/5', '4/5', '7/2', '9/4'] -> 4/5 / (9/4 / (7/2 - 4/5) - 4/5)
[1917682] ['4/5', '4/5', '4/5', '7/3', '9/4'] -> (4/5 + 4/5) / 4/5 / (7/3 - 9/4)
[1917683] ['4/5', '4/5', '4/5', '7/3', '9/5'] -> (4/5 + 4/5) / (4/5 * 7/3 - 9/5)
[1917688] ['4/5', '4/5', '4/5', '7/4', '7/6'] -> 4/5 / (7/6 / 4/5 / 7/4 - 4/5)
[1917695] ['4/5', '4/5', '4/5', '7/4', '9/2'] -> 4/5 * 9/2 / (7/4 - 4/5 - 4/5)
[1917701] ['4/5', '4/5', '4/5', '7/5', '7/6'] -> 4/5 / (7/5 * 7/6 - 4/5 - 4/5)
[1917710] ['4/5', '4/5', '4/5', '7/5', '9/5'] -> 9/5 / (7/5 / (4/5 + 4/5) - 4/5)
[1917715] ['4/5', '4/5', '4/5', '7/6', '7/9'] -> 4/5 / (7/9 / 4/5 / 7/6 - 4/5)
[1917719] ['4/5', '4/5', '4/5', '7/6', '8/9'] -> 4/5 / (4/5 * 7/6 - 4/5 / 8/9)
[1917724] ['4/5', '4/5', '4/5', '7/6', '9/8'] -> 4/5 / (4/5 * 7/6 - 4/5 * 9/8)
[1917728] ['4/5', '4/5', '4/5', '7/8', '8/5'] -> (4/5 + 8/5) / (4/5 - 4/5 * 7/8)
[1917730] ['4/5', '4/5', '4/5', '7/8', '8/9'] -> (4/5 + 4/5) / (7/8 - 4/5) / 8/9
[1917732] ['4/5', '4/5', '4/5', '7/8', '9/4'] -> 9/4 / (7/8 / 4/5 - 4/5 / 4/5)
[1917735] ['4/5', '4/5', '4/5', '7/8', '9/8'] -> (4/5 + 4/5) * 9/8 / (7/8 - 4/5)
[1917740] ['4/5', '4/5', '4/5', '7/9', '8/9'] -> (4/5 + 4/5) / (7/9 - 4/5 * 8/9)
[1917745] ['4/5', '4/5', '4/5', '7/9', '9/8'] -> (4/5 + 4/5) / (7/9 - 4/5 / 9/8)
[1917754] ['4/5', '4/5', '4/5', '8/3', '9/8'] -> 4/5 * 8/3 / (4/5 - 4/5 / 9/8)
[1917756] ['4/5', '4/5', '4/5', '8/5', '8/7'] -> (4/5 + 8/5) / (4/5 - 4/5 / 8/7)
[1917757] ['4/5', '4/5', '4/5', '8/5', '8/9'] -> (4/5 + 8/5) / (4/5 / 8/9 - 4/5)
[1917762] ['4/5', '4/5', '4/5', '8/5', '9/8'] -> (4/5 + 8/5) / (4/5 * 9/8 - 4/5)
[1917767] ['4/5', '4/5', '4/5', '8/7', '9/5'] -> 9/5 / (4/5 / 4/5 / 8/7 - 4/5)
[1917800] ['4/5', '4/5', '4/7', '4/7', '6/5'] -> 4/5 / (4/7 / 4/7 / 6/5 - 4/5)
[1917807] ['4/5', '4/5', '4/7', '4/7', '7/8'] -> (4/5 + 4/7 / 4/7) / (7/8 - 4/5)
[1917885] ['4/5', '4/5', '4/7', '5/3', '8/5'] -> 8/5 / (4/5 / 4/7 - 4/5 * 5/3)
[1917911] ['4/5', '4/5', '4/7', '5/4', '9/2'] -> 4/5 * 9/2 / (4/5 / 4/7 - 5/4)
[1917931] ['4/5', '4/5', '4/7', '5/6', '8/7'] -> 8/7 / (4/7 / 4/5 - 4/5 * 5/6)
[1917951] ['4/5', '4/5', '4/7', '5/7', '8/5'] -> (4/5 * 4/7 + 8/5) / (4/5 - 5/7)
[1917954] ['4/5', '4/5', '4/7', '5/7', '9/2'] -> 4/5 * 4/7 / (4/5 - 5/7) * 9/2
