[241979] ['1/3', '1/4', '5/9', '6/7', '6/7'] -> 6/7 / (1/4 * (5/9 * 6/7 - 1/3))
[242385] ['1/3', '1/4', '6/7', '7/6', '9/2'] -> (1/3 + 6/7 * 7/6) / 1/4 * 9/2
[242390] ['1/3', '1/4', '6/7', '7/8', '7/8'] -> 7/8 / (1/3 - 1/4 / 6/7) / 7/8
[242394] ['1/3', '1/4', '6/7', '7/8', '8/7'] -> 7/8 / (1/3 - 1/4 / 6/7) * 8/7
[242397] ['1/3', '1/4', '6/7', '7/8', '9/4'] -> 9/4 / ((6/7 - 1/4 / 1/3) * 7/8)
[242411] ['1/3', '1/4', '6/7', '8/3', '8/3'] -> 8/3 / ((1/3 - 1/4 / 6/7) * 8/3)
[242413] ['1/3', '1/4', '6/7', '8/3', '8/7'] -> 1/4 / (1/3 - 6/7 / 8/3) * 8/7
[242414] ['1/3', '1/4', '6/7', '8/3', '8/9'] -> 8/3 / (6/7 - 1/4 / 1/3) - 8/9
[242415] ['1/3', '1/4', '6/7', '8/3', '9/2'] -> 8/3 / (1/3 + 1/4) / 6/7 * 9/2
[242421] ['1/3', '1/4', '6/7', '8/5', '8/7'] -> 8/7 / (1/3 + 1/4 - 6/7 / 8/5)
[242428] ['1/3', '1/4', '6/7', '8/7', '8/7'] -> 8/7 / (1/3 - 1/4 / 6/7) / 8/7
[242431] ['1/3', '1/4', '6/7', '8/7', '9/4'] -> 8/7 / (6/7 - 1/4 / 1/3) * 9/4
[242436] ['1/3', '1/4', '6/7', '8/9', '9/2'] -> 9/2 / (1/3 / 6/7 / 8/9 - 1/4)
[242440] ['1/3', '1/4', '6/7', '8/9', '9/8'] -> 9/8 / ((1/3 - 1/4 / 6/7) / 8/9)
[242446] ['1/3', '1/4', '6/7', '9/4', '9/4'] -> 9/4 / (1/3 - 1/4 / 6/7) / 9/4
[242450] ['1/3', '1/4', '6/7', '9/5', '9/5'] -> 9/5 / (1/3 - 1/4 / 6/7) / 9/5
[242453] ['1/3', '1/4', '6/7', '9/7', '9/7'] -> 9/7 / (1/3 - 1/4 / 6/7) / 9/7
[242455] ['1/3', '1/4', '6/7', '9/8', '9/8'] -> 9/8 / (1/3 - 1/4 / 6/7) / 9/8
[242462] ['1/3', '1/4', '7/2', '7/2', '7/9'] -> (1/3 * 7/2 + 7/2) / 1/4 / 7/9
[242463] ['1/3', '1/4', '7/2', '7/2', '8/3'] -> (7/2 + 7/2 - 1/3) / 1/4 - 8/3
[242464] ['1/3', '1/4', '7/2', '7/2', '8/5'] -> 7/2 / 7/2 / (1/4 - 1/3 / 8/5)
[242468] ['1/3', '1/4', '7/2', '7/2', '9/4'] -> (1/4 + 7/2 + 7/2) / 1/3 + 9/4
[242470] ['1/3', '1/4', '7/2', '7/2', '9/7'] -> (1/3 * 7/2 + 7/2) / 1/4 * 9/7
[242471] ['1/3', '1/4', '7/2', '7/2', '9/8'] -> (7/2 + 7/2) / 1/3 / (9/8 - 1/4)
[242473] ['1/3', '1/4', '7/2', '7/3', '7/4'] -> (7/2 + 7/3 / 1/3) / 1/4 / 7/4
[242475] ['1/3', '1/4', '7/2', '7/3', '7/6'] -> 7/2 * (7/3 - 1/3) / 1/4 / 7/6
[242476] ['1/3', '1/4', '7/2', '7/3', '7/8'] -> (7/2 / 1/4 + 7/3 / 1/3) / 7/8
[242480] ['1/3', '1/4', '7/2', '7/3', '8/7'] -> (7/2 / 1/4 + 7/3 / 1/3) * 8/7
[242483] ['1/3', '1/4', '7/2', '7/3', '9/4'] -> (1/4 + 7/2) * 7/3 / 1/3 - 9/4
[242488] ['1/3', '1/4', '7/2', '7/4', '7/5'] -> 7/2 / (1/4 * 7/4 - 1/3) / 7/5
[242493] ['1/3', '1/4', '7/2', '7/4', '8/5'] -> (7/2 + 7/4 - 1/4) / 1/3 * 8/5
[242495] ['1/3', '1/4', '7/2', '7/4', '8/9'] -> (1/3 + (7/2 + 7/4) / 1/4) / 8/9
[242500] ['1/3', '1/4', '7/2', '7/4', '9/8'] -> (1/3 + (7/2 + 7/4) / 1/4) * 9/8
[242517] ['1/3', '1/4', '7/2', '7/6', '8/3'] -> ((7/2 - 7/6) / 1/4 - 1/3) * 8/3
[242518] ['1/3', '1/4', '7/2', '7/6', '8/5'] -> (7/2 * 7/6 - 1/3) / 1/4 * 8/5
[242523] ['1/3', '1/4', '7/2', '7/6', '9/5'] -> (1/3 + 7/2 / 7/6) / 1/4 * 9/5
[242526] ['1/3', '1/4', '7/2', '7/8', '7/8'] -> (7/2 + 7/8 / 1/4) / 1/3 / 7/8
[242530] ['1/3', '1/4', '7/2', '7/8', '8/7'] -> (7/2 + 7/8 / 1/4) / 1/3 * 8/7
[242552] ['1/3', '1/4', '7/2', '8/3', '9/4'] -> (1/3 / 1/4 + 7/2 * 8/3) * 9/4
[242554] ['1/3', '1/4', '7/2', '8/3', '9/7'] -> 9/7 / (1/3 / 8/3 - 1/4 / 7/2)
[242572] ['1/3', '1/4', '7/2', '8/9', '9/2'] -> 7/2 * 8/9 / (1/3 + 1/4) * 9/2
[242579] ['1/3', '1/4', '7/2', '9/2', '9/5'] -> (9/2 - 1/3 * 7/2) / 1/4 * 9/5
[242581] ['1/3', '1/4', '7/2', '9/2', '9/8'] -> 7/2 * 9/2 / (1/3 + 1/4) / 9/8
[242582] ['1/3', '1/4', '7/2', '9/4', '9/4'] -> (1/4 + 9/4) / (1/3 / 7/2) - 9/4
[242594] ['1/3', '1/4', '7/3', '7/3', '7/5'] -> (7/3 + 1/3 / 7/5) / (1/4 / 7/3)
[242599] ['1/3', '1/4', '7/3', '7/3', '8/5'] -> 7/3 / 7/3 / (1/4 - 1/3 / 8/5)
[242604] ['1/3', '1/4', '7/3', '7/3', '9/5'] -> (7/3 + 7/3) / (1/3 - 1/4 / 9/5)
[242610] ['1/3', '1/4', '7/3', '7/4', '7/8'] -> (7/3 / 1/3 - 7/4) / 1/4 / 7/8
[242614] ['1/3', '1/4', '7/3', '7/4', '8/7'] -> (7/3 / 1/3 - 7/4) / 1/4 * 8/7
[242621] ['1/3', '1/4', '7/3', '7/5', '7/5'] -> (7/3 / 1/3 + 7/5) / 1/4 / 7/5
[242629] ['1/3', '1/4', '7/3', '7/5', '9/2'] -> (7/3 / 7/5 - 1/3) / 1/4 * 9/2
[242635] ['1/3', '1/4', '7/3', '7/6', '7/8'] -> (7/3 + 7/6 / 1/4) / 1/3 / 7/8
[242637] ['1/3', '1/4', '7/3', '7/6', '8/3'] -> 7/3 / 1/4 / 7/6 * (1/3 + 8/3)
[242639] ['1/3', '1/4', '7/3', '7/6', '8/7'] -> (7/3 + 7/6 / 1/4) / 1/3 * 8/7
[242647] ['1/3', '1/4', '7/3', '7/8', '7/9'] -> 7/3 / (7/8 - 1/4 / 1/3) / 7/9
[242648] ['1/3', '1/4', '7/3', '7/8', '8/3'] -> 8/3 / (7/3 * (1/3 - 1/4 / 7/8))
[242652] ['1/3', '1/4', '7/3', '7/8', '9/2'] -> 9/2 / (7/8 / (7/3 - 1/3) - 1/4)
[242653] ['1/3', '1/4', '7/3', '7/8', '9/4'] -> 9/4 / ((1/4 - 1/3 / 7/3) * 7/8)
[242655] ['1/3', '1/4', '7/3', '7/8', '9/7'] -> 7/3 / (7/8 - 1/4 / 1/3) * 9/7
[242658] ['1/3', '1/4', '7/3', '7/9', '8/3'] -> 8/3 / (7/9 - 1/4 * (1/3 + 7/3))
[242660] ['1/3', '1/4', '7/3', '7/9', '8/7'] -> 7/3 / (7/9 - 1/3) / 1/4 * 8/7
[242661] ['1/3', '1/4', '7/3', '7/9', '8/9'] -> (7/3 / 1/3 - 7/9) / 1/4 - 8/9
[242662] ['1/3', '1/4', '7/3', '7/9', '9/2'] -> (7/3 + 7/9) / (1/3 + 1/4) * 9/2
[242663] ['1/3', '1/4', '7/3', '7/9', '9/4'] -> (7/3 / 7/9 - 1/3) / 1/4 * 9/4
[242664] ['1/3', '1/4', '7/3', '7/9', '9/5'] -> (1/3 + 7/3 / 7/9) / 1/4 * 9/5
[242669] ['1/3', '1/4', '7/3', '8/3', '8/7'] -> 8/7 / (1/3 - 1/4 * 8/3 / 7/3)
[242687] ['1/3', '1/4', '7/3', '8/7', '9/4'] -> 8/7 / (1/4 - 1/3 / 7/3) * 9/4
[242695] ['1/3', '1/4', '7/3', '8/9', '9/7'] -> 7/3 / (1/3 / 8/9 - 1/4) * 9/7
[242701] ['1/3', '1/4', '7/3', '9/2', '9/8'] -> ((7/3 + 9/2) / 1/4 - 1/3) / 9/8
[242702] ['1/3', '1/4', '7/3', '9/4', '9/4'] -> (1/3 + 7/3 / 1/4) * 9/4 + 9/4
[242704] ['1/3', '1/4', '7/3', '9/4', '9/7'] -> (1/3 + (7/3 + 9/4) / 1/4) * 9/7
[242705] ['1/3', '1/4', '7/3', '9/4', '9/8'] -> (1/3 + 7/3 * 9/4 / 1/4) * 9/8
[242718] ['1/3', '1/4', '7/4', '7/4', '8/5'] -> 7/4 / 7/4 / (1/4 - 1/3 / 8/5)
[242721] ['1/3', '1/4', '7/4', '7/4', '9/2'] -> (1/3 + 7/4 / 7/4) / 1/4 * 9/2
[242725] ['1/3', '1/4', '7/4', '7/4', '9/8'] -> 7/4 / 1/4 / (7/4 - 1/3 - 9/8)
[242734] ['1/3', '1/4', '7/4', '7/5', '9/2'] -> (1/3 + 7/4 / 1/4 / 7/5) * 9/2
[242735] ['1/3', '1/4', '7/4', '7/5', '9/4'] -> 7/4 / (7/5 - 1/3 / 1/4) - 9/4
[242740] ['1/3', '1/4', '7/4', '7/6', '7/8'] -> (7/4 + 7/6 / 1/3) / 1/4 / 7/8
[242744] ['1/3', '1/4', '7/4', '7/6', '8/7'] -> (7/4 + 7/6 / 1/3) / 1/4 * 8/7
[242753] ['1/3', '1/4', '7/4', '7/8', '8/3'] -> (1/3 + 8/3) / (1/4 * 7/8 / 7/4)
[242757] ['1/3', '1/4', '7/4', '7/8', '9/2'] -> (7/4 + 7/8) / 1/4 + 9/2 / 1/3
[242762] ['1/3', '1/4', '7/4', '7/9', '7/9'] -> (7/4 / 1/4 - 7/9) / 1/3 / 7/9
[242770] ['1/3', '1/4', '7/4', '7/9', '9/7'] -> (7/4 / 1/4 - 7/9) / 1/3 * 9/7
[242777] ['1/3', '1/4', '7/4', '8/3', '9/4'] -> 9/4 / (1/4 / 1/3 - 7/4 / 8/3)
[242778] ['1/3', '1/4', '7/4', '8/3', '9/5'] -> (7/4 / 1/3 - 1/4) * 8/3 * 9/5
[242786] ['1/3', '1/4', '7/4', '8/5', '9/5'] -> (1/3 + 7/4) * 8/5 / 1/4 * 9/5
[242791] ['1/3', '1/4', '7/4', '8/7', '9/2'] -> (1/3 / 7/4 + 8/7) / 1/4 * 9/2
[242796] ['1/3', '1/4', '7/4', '8/9', '8/9'] -> 8/9 / (1/3 * (7/4 - 8/9) - 1/4)
[242797] ['1/3', '1/4', '7/4', '8/9', '9/2'] -> (1/4 + 7/4) * 8/9 / 1/3 * 9/2
[242803] ['1/3', '1/4', '7/4', '9/2', '9/4'] -> ((9/2 - 7/4) / 1/4 - 1/3) * 9/4
[242804] ['1/3', '1/4', '7/4', '9/2', '9/5'] -> 9/2 / (1/4 * 7/4 - 1/3) / 9/5
[242813] ['1/3', '1/4', '7/4', '9/5', '9/8'] -> 7/4 / (1/4 - 1/3 / 9/5) / 9/8
[242818] ['1/3', '1/4', '7/5', '7/5', '7/6'] -> 7/5 / 7/5 / (1/3 - 1/4 * 7/6)
[242825] ['1/3', '1/4', '7/5', '7/5', '9/2'] -> (1/3 + 7/5 / 7/5) / 1/4 * 9/2
[242839] ['1/3', '1/4', '7/5', '7/6', '9/5'] -> 9/5 / (1/4 * 7/5 * 7/6 - 1/3)
[242840] ['1/3', '1/4', '7/5', '7/6', '9/7'] -> 9/7 / (1/4 * 7/6 - 1/3 / 7/5)
[242846] ['1/3', '1/4', '7/5', '7/8', '8/7'] -> 8/7 / (1/4 / 7/8 - 1/3 / 7/5)
[242855] ['1/3', '1/4', '7/5', '7/9', '8/5'] -> 8/5 / (7/5 - 7/9 / (1/3 + 1/4))
[242864] ['1/3', '1/4', '7/5', '8/3', '8/5'] -> 8/5 / (1/3 / 1/4 + 7/5 - 8/3)
[242869] ['1/3', '1/4', '7/5', '8/3', '9/5'] -> 9/5 / (1/4 - 1/3 * 7/5 / 8/3)
[242870] ['1/3', '1/4', '7/5', '8/3', '9/7'] -> 9/7 / (1/4 / 7/5 - 1/3 / 8/3)
[242876] ['1/3', '1/4', '7/5', '8/5', '9/4'] -> (7/5 + 8/5 - 1/3) / 1/4 * 9/4
[242877] ['1/3', '1/4', '7/5', '8/5', '9/5'] -> (1/3 + 7/5 + 8/5) / 1/4 * 9/5
[242880] ['1/3', '1/4', '7/5', '8/7', '8/7'] -> 8/7 / (1/4 * 8/7 - 1/3 / 7/5)
[242890] ['1/3', '1/4', '7/5', '8/9', '9/5'] -> 8/9 / (7/5 - 1/3 / 1/4) * 9/5
[242896] ['1/3', '1/4', '7/5', '9/2', '9/7'] -> 9/7 / ((1/4 - 1/3 / 7/5) * 9/2)
[242902] ['1/3', '1/4', '7/5', '9/5', '9/5'] -> (7/5 / 1/4 + 9/5) / 1/3 + 9/5
[242904] ['1/3', '1/4', '7/5', '9/5', '9/8'] -> 9/5 / (7/5 - 1/3 / 1/4) / 9/8
[242909] ['1/3', '1/4', '7/6', '7/6', '7/8'] -> 7/6 / 7/6 / (1/3 * 7/8 - 1/4)
[242910] ['1/3', '1/4', '7/6', '7/6', '7/9'] -> (7/6 / 1/3 + 7/6) / 1/4 / 7/9
[242911] ['1/3', '1/4', '7/6', '7/6', '8/3'] -> ((7/6 + 7/6) / 1/4 - 1/3) * 8/3
[242912] ['1/3', '1/4', '7/6', '7/6', '8/5'] -> 7/6 / 7/6 / (1/4 - 1/3 / 8/5)
[242913] ['1/3', '1/4', '7/6', '7/6', '8/7'] -> 7/6 / 7/6 / (1/3 / 8/7 - 1/4)
[242916] ['1/3', '1/4', '7/6', '7/6', '9/4'] -> (1/3 + 7/6 + 7/6) / 1/4 * 9/4
[242918] ['1/3', '1/4', '7/6', '7/6', '9/7'] -> (7/6 / 1/3 + 7/6) / 1/4 * 9/7
[242920] ['1/3', '1/4', '7/6', '7/8', '7/8'] -> 7/8 / (1/3 - 1/4 * 7/6) / 7/8
[242924] ['1/3', '1/4', '7/6', '7/8', '8/7'] -> 7/8 / (1/3 - 1/4 * 7/6) * 8/7
[242939] ['1/3', '1/4', '7/6', '7/9', '9/7'] -> 7/9 / (1/3 - 1/4 * 7/6) * 9/7
[242941] ['1/3', '1/4', '7/6', '8/3', '8/3'] -> 8/3 / (1/3 - 1/4 * 7/6) / 8/3
[242947] ['1/3', '1/4', '7/6', '8/3', '9/5'] -> (1/3 + 7/6 / 1/4) * 8/3 * 9/5
[242953] ['1/3', '1/4', '7/6', '8/5', '9/2'] -> (7/6 - 1/3) * 8/5 / 1/4 * 9/2
[242958] ['1/3', '1/4', '7/6', '8/7', '8/7'] -> 8/7 / (1/3 - 1/4 * 7/6) / 8/7
[242970] ['1/3', '1/4', '7/6', '8/9', '9/8'] -> 9/8 / ((1/3 - 1/4 * 7/6) / 8/9)
[242972] ['1/3', '1/4', '7/6', '9/2', '9/4'] -> (7/6 + 1/3 * 9/2) / 1/4 * 9/4
[242976] ['1/3', '1/4', '7/6', '9/4', '9/4'] -> 9/4 / (1/3 - 1/4 * 7/6) / 9/4
[242977] ['1/3', '1/4', '7/6', '9/4', '9/5'] -> ((7/6 + 9/4) / 1/4 - 1/3) * 9/5
[242985] ['1/3', '1/4', '7/6', '9/8', '9/8'] -> 9/8 / (1/3 - 1/4 * 7/6) / 9/8
[242989] ['1/3', '1/4', '7/8', '7/8', '8/5'] -> 7/8 / 7/8 / (1/4 - 1/3 / 8/5)
[242992] ['1/3', '1/4', '7/8', '7/8', '9/2'] -> (1/3 + 7/8 / 7/8) / 1/4 * 9/2
[242997] ['1/3', '1/4', '7/8', '7/9', '7/9'] -> 7/9 / (1/3 * 7/8 - 1/4) / 7/9
[243001] ['1/3', '1/4', '7/8', '7/9', '8/9'] -> 8/9 / ((1/3 - 1/4 / 7/8) * 7/9)
[243005] ['1/3', '1/4', '7/8', '7/9', '9/7'] -> 7/9 / (1/3 * 7/8 - 1/4) * 9/7
[243017] ['1/3', '1/4', '7/8', '8/5', '8/7'] -> 7/8 / (1/4 - 1/3 / 8/5) * 8/7
[243026] ['1/3', '1/4', '7/8', '8/7', '9/2'] -> (1/3 + 7/8 * 8/7) / 1/4 * 9/2
[243029] ['1/3', '1/4', '7/8', '8/7', '9/7'] -> 9/7 / ((8/7 - 1/4 - 7/8) / 1/3)
[243031] ['1/3', '1/4', '7/8', '8/9', '8/9'] -> 8/9 / ((1/3 * 7/8 - 1/4) * 8/9)
[243033] ['1/3', '1/4', '7/8', '8/9', '9/4'] -> 1/4 / (8/9 - 7/8) / 1/3 / 9/4
[243035] ['1/3', '1/4', '7/8', '8/9', '9/7'] -> 9/7 / ((1/3 - 1/4 / 7/8) / 8/9)
