[1873325] ['3/8', '5/8', '7/2', '7/4', '7/4'] -> 7/2 / ((7/4 - (5/8 / 3/8)) * /4
[1873612] ['3/8', '5/8', '7/4', '8/3', '8/7'] -> 8/7 / ((3/8 - 5/8 / 7/4) * 8/3)
[1873614] ['3/8', '5/8', '7/4', '8/3', '9/2'] -> (5/8 + 7/4 - 3/8) * 8/3 * 9/2
[1873615] ['3/8', '5/8', '7/4', '8/3', '9/4'] -> 9/4 / (5/8 * 7/4 - 3/8 * 8/3)
[1873618] ['3/8', '5/8', '7/4', '8/3', '9/8'] -> 9/8 / ((7/4 - 5/8) / 8/3 - 3/8)
[1873624] ['3/8', '5/8', '7/4', '8/5', '9/5'] -> 9/5 / ((8/5 - 3/8) / 7/4 - 5/8)
[1873627] ['3/8', '5/8', '7/4', '8/7', '8/7'] -> 3/8 / (5/8 + 8/7 - 7/4) * 8/7
[1873635] ['3/8', '5/8', '7/4', '8/9', '9/2'] -> 7/4 / (5/8 / 8/9 - 3/8) * 9/2
[1873636] ['3/8', '5/8', '7/4', '8/9', '9/4'] -> 8/9 / (7/4 - 5/8 / 3/8) * 9/4
[1873639] ['3/8', '5/8', '7/4', '8/9', '9/8'] -> 9/8 / (5/8 / 8/9 - 3/8 * 7/4)
[1873641] ['3/8', '5/8', '7/4', '9/2', '9/4'] -> 9/2 / ((7/4 - 5/8) * /8) * 9/4
[1873654] ['3/8', '5/8', '7/4', '9/8', '9/8'] -> 9/8 / (5/8 * 9/8 - 3/8 * 7/4)
[1873683] ['3/8', '5/8', '7/5', '7/8', '8/5'] -> 8/5 / (5/8 / 3/8 - 7/5 / 7/8)
[1873687] ['3/8', '5/8', '7/5', '7/8', '9/4'] -> 9/4 / (5/8 * (7/5 - 3/8 - 7/8))
[1873689] ['3/8', '5/8', '7/5', '7/8', '9/7'] -> 9/7 / (7/8 - 5/8 / 7/5 - 3/8)
[1873701] ['3/8', '5/8', '7/5', '8/3', '8/3'] -> 8/3 / (5/8 - 3/8 * 7/5) - 8/3
[1873706] ['3/8', '5/8', '7/5', '8/3', '9/4'] -> 9/4 / (5/8 * (7/5 / 8/3 - 3/8))
[1873707] ['3/8', '5/8', '7/5', '8/3', '9/5'] -> 9/5 / (3/8 / 5/8 - 7/5 / 8/3)
[1873709] ['3/8', '5/8', '7/5', '8/3', '9/8'] -> 9/8 / (3/8 - 5/8 * 7/5 / 8/3)
[1873711] ['3/8', '5/8', '7/5', '8/5', '8/7'] -> 7/5 / (5/8 / 3/8 - 8/5) * 8/7
[1873714] ['3/8', '5/8', '7/5', '8/5', '9/4'] -> 9/4 / (3/8 * (7/5 / 8/5 - 5/8))
[1873717] ['3/8', '5/8', '7/5', '8/5', '9/8'] -> 9/8 / (3/8 * 5/8 * (8/5 - 7/5))
[1873718] ['3/8', '5/8', '7/5', '8/7', '8/7'] -> 8/7 / (5/8 / (3/8 * /5) - 8/7)
[1873723] ['3/8', '5/8', '7/5', '8/7', '9/7'] -> 9/7 / (8/7 / 5/8 - 3/8 - 7/5)
[1873725] ['3/8', '5/8', '7/5', '8/9', '8/9'] -> 3/8 / (8/9 - 5/8 * 7/5) * 8/9
[1873730] ['3/8', '5/8', '7/5', '8/9', '9/8'] -> 3/8 / ((8/9 - (5/8 * 7/5)) * /8
)[1873733] ['3/8', '5/8', '7/5', '9/2', '9/5'] -> 9/5 / ((5/8 + 7/5) / 9/2 - 3/8)
[1873737] ['3/8', '5/8', '7/5', '9/4', '9/5'] -> (7/5 + 9/4 / 5/8) / 3/8 * 9/5
[1873753] ['3/8', '5/8', '7/6', '7/6', '9/2'] -> 9/2 / ((5/8 / 7/6 - 3/8) * 7/6)
[1873754] ['3/8', '5/8', '7/6', '7/6', '9/4'] -> (7/6 + 7/6) / (3/8 - 5/8 / 9/4)
[1873756] ['3/8', '5/8', '7/6', '7/6', '9/7'] -> 9/7 / ((7/6 - 3/8) / 7/6 - 5/8)
[1873765] ['3/8', '5/8', '7/6', '7/8', '9/4'] -> 9/4 / (5/8 * 7/8 / 7/6 - 3/8)
[1873768] ['3/8', '5/8', '7/6', '7/8', '9/8'] -> 9/8 / (3/8 * (7/8 / 7/6 - 5/8))
[1873770] ['3/8', '5/8', '7/6', '7/9', '8/3'] -> 3/8 / (7/9 / 7/6 - 5/8) * 8/3
[1873771] ['3/8', '5/8', '7/6', '7/9', '8/5'] -> 8/5 / (7/9 / 7/6 - 3/8 / 5/8)
[1873787] ['3/8', '5/8', '7/6', '8/3', '9/8'] -> 9/8 / (5/8 - (3/8 + 7/6) / 8/3)
[1873793] ['3/8', '5/8', '7/6', '8/5', '9/5'] -> 9/5 / (3/8 * 7/6 * 8/5 - 5/8)
[1873795] ['3/8', '5/8', '7/6', '8/5', '9/8'] -> 9/8 / (3/8 * 7/6 - 5/8 / 8/5)
[1873798] ['3/8', '5/8', '7/6', '8/7', '9/2'] -> 7/6 * 8/7 / (5/8 - 3/8) * 9/2
[1873799] ['3/8', '5/8', '7/6', '8/7', '9/4'] -> 9/4 / (5/8 / (7/6 * /7) - 3/8)
[1873803] ['3/8', '5/8', '7/6', '8/9', '8/9'] -> 8/9 / (7/6 * 8/9 - 3/8 - 5/8)
[1873804] ['3/8', '5/8', '7/6', '8/9', '9/2'] -> 8/9 / (7/6 - 3/8 - 5/8) * 9/2
[1873813] ['3/8', '5/8', '7/6', '9/2', '9/8'] -> 9/2 / (((7/6 - 3/8) - 5/8) * /8
)[1873821] ['3/8', '5/8', '7/6', '9/7', '9/7'] -> 9/7 / (5/8 / 7/6 - 3/8 * 9/7)
[1873831] ['3/8', '5/8', '7/8', '7/8', '9/4'] -> 9/4 / (7/8 - 5/8 * (3/8 + 7/8))
[1873834] ['3/8', '5/8', '7/8', '7/8', '9/8'] -> 9/8 / (3/8 + 5/8 * 7/8 - 7/8)
[1873840] ['3/8', '5/8', '7/8', '7/9', '9/2'] -> 9/2 / (3/8 * (7/8 / 7/9 - 5/8))
[1873851] ['3/8', '5/8', '7/8', '8/3', '9/5'] -> 5/8 / (3/8 - 7/8 / 8/3) * 9/5
[1873852] ['3/8', '5/8', '7/8', '8/3', '9/7'] -> 9/7 / (7/8 / (8/3 - 5/8) - 3/8)
[1873857] ['3/8', '5/8', '7/8', '8/5', '9/2'] -> (7/8 / (3/8 * /8) + 8/5) * 9/2
[1873859] ['3/8', '5/8', '7/8', '8/5', '9/5'] -> 9/5 / (3/8 * (8/5 - 7/8 / 5/8))
[1873861] ['3/8', '5/8', '7/8', '8/5', '9/8'] -> 9/8 / (3/8 * (5/8 * 8/5 - 7/8))
[1873872] ['3/8', '5/8', '7/8', '8/9', '9/5'] -> 3/8 / (((8/9 - 7/8) * /8) * /5
)[1873881] ['3/8', '5/8', '7/8', '9/4', '9/5'] -> (7/8 + 9/4) / 3/8 / 5/8 * 9/5
[1873907] ['3/8', '5/8', '7/9', '8/3', '9/7'] -> 9/7 * 8/3 / (5/8 - 3/8 / 7/9)
[1873926] ['3/8', '5/8', '7/9', '8/9', '9/4'] -> 9/4 / (3/8 * (7/9 / 8/9 - 5/8))
[1873948] ['3/8', '5/8', '8/3', '8/3', '8/9'] -> (8/3 + 8/3) / (5/8 - 3/8) / 8/9
[1873950] ['3/8', '5/8', '8/3', '8/3', '9/4'] -> 9/4 / (5/8 / 8/3 - 3/8 / 8/3)
[1873953] ['3/8', '5/8', '8/3', '8/3', '9/8'] -> (8/3 + 8/3) / (5/8 - 3/8) * 9/8
[1873957] ['3/8', '5/8', '8/3', '8/5', '9/2'] -> (8/3 + 5/8 * 8/5 / 3/8) * 9/2
[1873965] ['3/8', '5/8', '8/3', '8/7', '9/4'] -> 9/4 / (3/8 / 8/7 - 5/8 / 8/3)
[1873975] ['3/8', '5/8', '8/3', '9/2', '9/2'] -> (5/8 / 3/8 + 8/3) * 9/2 + 9/2
[1873984] ['3/8', '5/8', '8/3', '9/5', '9/5'] -> 9/5 / (9/5 / 8/3 - 3/8 / 5/8)
[1873986] ['3/8', '5/8', '8/3', '9/5', '9/8'] -> 9/8 / (5/8 * 9/5 / 8/3 - 3/8)
[1873993] ['3/8', '5/8', '8/5', '8/5', '9/2'] -> 5/8 * (8/5 + 8/5) / 3/8 * 9/2
[1873995] ['3/8', '5/8', '8/5', '8/5', '9/5'] -> (8/5 + 8/5) / (9/5 - 5/8 / 3/8)
[1874003] ['3/8', '5/8', '8/5', '8/7', '9/7'] -> 9/7 / (3/8 * (8/7 - 5/8 * 8/5))
[1874008] ['3/8', '5/8', '8/5', '8/9', '9/5'] -> 8/9 / (5/8 / 3/8 - 8/5) * 9/5
[1874025] ['3/8', '5/8', '8/5', '9/8', '9/8'] -> 9/8 / (3/8 * (9/8 - 5/8 * 8/5))
[1874031] ['3/8', '5/8', '8/7', '8/7', '9/7'] -> 9/7 / (8/7 - 5/8 * 8/7 - 3/8)
[1874032] ['3/8', '5/8', '8/7', '8/7', '9/8'] -> 9/8 / ((8/7 - 3/8) / 8/7 - 5/8)
[1874069] ['3/8', '5/8', '8/9', '9/5', '9/5'] -> 9/5 / (5/8 / (3/8 * /9) - 9/5)
[1874075] ['3/8', '5/8', '9/2', '9/2', '9/2'] -> (5/8 * 9/2 + 9/2) / 3/8 + 9/2
[1874081] ['3/8', '5/8', '9/2', '9/4', '9/5'] -> 9/2 * 9/4 / 3/8 / 5/8 / 9/5
[1874093] ['3/8', '5/8', '9/4', '9/4', '9/8'] -> (9/4 + 9/4) / 3/8 / (9/8 - 5/8)
[1874096] ['3/8', '5/8', '9/4', '9/5', '9/8'] -> 9/8 / (5/8 * (9/4 - 3/8 - 9/5))
[1874105] ['3/8', '5/8', '9/5', '9/8', '9/8'] -> 9/8 / (5/8 * (9/5 - 9/8) - 3/8)
[1874109] ['3/8', '5/8', '9/8', '9/8', '9/8'] -> 9/8 / (9/8 - 5/8 * 9/8 - 3/8)
[1874124] ['3/8', '5/9', '5/9', '5/9', '9/2'] -> (5/9 + 5/9) * 9/2 / 3/8 / 5/9
[1874128] ['3/8', '5/9', '5/9', '5/9', '9/8'] -> 5/9 / ((5/9 - (5/9 / 9/8)) * /8
)[1874144] ['3/8', '5/9', '5/9', '6/5', '9/5'] -> (9/5 / (3/8 * 6/5) - (5/9 / 5/9)))
[1874159] ['3/8', '5/9', '5/9', '6/7', '9/2'] -> (5/9 + 9/2) * 6/7 / (5/9 - 3/8)
[1874162] ['3/8', '5/9', '5/9', '6/7', '9/7'] -> (9/7 / (3/8 * (5/9 / 5/9)) - 6/7))
[1874186] ['3/8', '5/9', '5/9', '7/3', '8/3'] -> 8/3 / (3/8 * (7/3 - 5/9) - 5/9)
[1874193] ['3/8', '5/9', '5/9', '7/3', '9/7'] -> 9/7 / (5/9 / (5/9 * /3) - 3/8)
[1874206] ['3/8', '5/9', '5/9', '7/4', '9/5'] -> 9/5 / (7/4 - (3/8 + 5/9) / 5/9)
[1874209] ['3/8', '5/9', '5/9', '7/5', '7/5'] -> (5/9 + 7/5) / (5/9 / 3/8 - 7/5)
[1874229] ['3/8', '5/9', '5/9', '7/6', '9/2'] -> (5/9 + 9/2) / ((5/9 - 3/8) * 7/6)
[1874235] ['3/8', '5/9', '5/9', '7/8', '7/9'] -> (5/9 + 7/9) / (3/8 + 5/9 - 7/8)
[1874244] ['3/8', '5/9', '5/9', '7/8', '9/8'] -> (9/8 / (3/8 * (5/9 / 5/9)) - 7/8))
[1874249] ['3/8', '5/9', '5/9', '7/9', '8/9'] -> 8/9 / ((7/9 - 5/9) / 3/8 - 5/9)
[1874255] ['3/8', '5/9', '5/9', '8/3', '8/3'] -> 8/3 / (5/9 + 5/9 - 3/8 * 8/3)
[1874259] ['3/8', '5/9', '5/9', '8/3', '9/2'] -> (5/9 / (3/8 * /9) + 8/3) * 9/2
[1874269] ['3/8', '5/9', '5/9', '8/5', '9/5'] -> 9/5 / ((3/8 + 5/9) / 5/9 - 8/5)
[1874277] ['3/8', '5/9', '5/9', '8/7', '9/7'] -> (9/7 / (3/8 * 8/7) - (5/9 / 5/9)))
[1874279] ['3/8', '5/9', '5/9', '8/9', '8/9'] -> 8/9 / (5/9 / 3/8 - 5/9 - 8/9)
[1874280] ['3/8', '5/9', '5/9', '8/9', '9/2'] -> (5/9 + 5/9 + 8/9) / 3/8 * 9/2
[1874282] ['3/8', '5/9', '5/9', '8/9', '9/5'] -> 5/9 * 9/5 / (3/8 + 5/9 - 8/9)
[1874287] ['3/8', '5/9', '5/9', '9/2', '9/5'] -> (5/9 + 5/9) * 9/2 / 3/8 * 9/5
[1874313] ['3/8', '5/9', '6/5', '6/5', '9/2'] -> (6/5 + 6/5) + (9/2 / (3/8 * /9)
)[1874375] ['3/8', '5/9', '6/5', '7/4', '9/2'] -> (5/9 * 6/5 + 7/4 / 3/8) * 9/2
[1874400] ['3/8', '5/9', '6/5', '7/6', '9/2'] -> 9/2 / (3/8 * (7/6 - 5/9 * 6/5))
[1874408] ['3/8', '5/9', '6/5', '7/8', '8/5'] -> 8/5 / (6/5 * (3/8 + 5/9 - 7/8))
[1874410] ['3/8', '5/9', '6/5', '7/8', '8/9'] -> 8/9 / (7/8 - 5/9 / 6/5 - 3/8)
[1874423] ['3/8', '5/9', '6/5', '7/9', '9/5'] -> 9/5 / (3/8 * (7/9 / 5/9 - 6/5))
[1874426] ['3/8', '5/9', '6/5', '8/3', '8/3'] -> 8/3 / (5/9 * (6/5 - 3/8 * 8/3))
[1874430] ['3/8', '5/9', '6/5', '8/3', '9/2'] -> (8/3 - 5/9 * 6/5) / 3/8 * 9/2
[1874431] ['3/8', '5/9', '6/5', '8/3', '9/4'] -> 8/3 / (3/8 * /9 * /5) * 9/4
[1874435] ['3/8', '5/9', '6/5', '8/5', '8/5'] -> 8/5 / (5/9 * 6/5 - 3/8 * 8/5)
[1874437] ['3/8', '5/9', '6/5', '8/5', '8/9'] -> 6/5 / (3/8 * 8/5 - 5/9) * 8/9
[1874442] ['3/8', '5/9', '6/5', '8/5', '9/8'] -> 6/5 / (((3/8 * 8/5) - 5/9) * /8
)[1874504] ['3/8', '5/9', '6/7', '7/3', '7/3'] -> 7/3 / (3/8 - 5/9 / (6/7 * /3)
)[1874544] ['3/8', '5/9', '6/7', '7/5', '9/7'] -> 9/7 / (3/8 * (6/7 / 5/9 - 7/5))
[1874566] ['3/8', '5/9', '6/7', '7/8', '9/5'] -> 9/5 / (6/7 * 7/8 - 3/8 / 5/9)
[1874594] ['3/8', '5/9', '6/7', '8/5', '9/7'] -> 6/7 / ((3/8 - (5/9 / 8/5)) * /7
)[1874596] ['3/8', '5/9', '6/7', '8/7', '8/7'] -> 8/7 / (5/9 * 6/7 - 3/8 * 8/7)
[1874600] ['3/8', '5/9', '6/7', '8/7', '9/5'] -> 9/5 / (6/7 / 8/7 - 3/8 / 5/9)
[1874604] ['3/8', '5/9', '6/7', '8/9', '9/2'] -> 9/2 / (5/9 / 8/9 - 3/8 / 6/7)
[1874619] ['3/8', '5/9', '6/7', '9/5', '9/7'] -> 9/7 / (3/8 * (5/9 * 9/5 - 6/7))
[1874621] ['3/8', '5/9', '6/7', '9/7', '9/7'] -> 9/7 / (3/8 * (6/7 - 5/9 * 9/7))
[1874627] ['3/8', '5/9', '7/2', '7/2', '7/5'] -> (7/2 + 7/2) / 3/8 / 5/9 / 7/5
[1874643] ['3/8', '5/9', '7/2', '7/3', '7/6'] -> (7/2 + 7/3) / 3/8 / 5/9 / 7/6
[1874644] ['3/8', '5/9', '7/2', '7/3', '7/8'] -> (7/2 / 3/8 + 7/3) / 5/9 / 7/8
[1874647] ['3/8', '5/9', '7/2', '7/3', '8/5'] -> ((7/2 + 7/3) / 3/8 - 5/9) * 8/5
[1874648] ['3/8', '5/9', '7/2', '7/3', '8/7'] -> (7/2 / 3/8 + 7/3) / 5/9 * 8/7
[1874655] ['3/8', '5/9', '7/2', '7/4', '7/4'] -> 7/4 / (3/8 * (5/9 * 7/2 - 7/4))
[1874669] ['3/8', '5/9', '7/2', '7/5', '7/5'] -> 7/5 / (3/8 * (5/9 - 7/5 / 7/2))
[1874670] ['3/8', '5/9', '7/2', '7/5', '7/6'] -> 7/6 / (5/9 * (7/5 - 3/8 * 7/2))
[1874691] ['3/8', '5/9', '7/2', '7/6', '9/5'] -> 5/9 / (3/8 - 7/6 / 7/2) * 9/5
[1874694] ['3/8', '5/9', '7/2', '7/8', '7/8'] -> (7/2 + 7/8) / 3/8 / 5/9 / 7/8
[1874696] ['3/8', '5/9', '7/2', '7/8', '8/3'] -> 8/3 / (7/8 / (3/8 * /2) - 5/9)
[1874698] ['3/8', '5/9', '7/2', '7/8', '8/7'] -> (7/2 + 7/8) / 3/8 / 5/9 * 8/7
[1874702] ['3/8', '5/9', '7/2', '7/8', '9/5'] -> 9/5 / (7/8 / (5/9 * /2) - 3/8)
[1874709] ['3/8', '5/9', '7/2', '7/9', '8/9'] -> 8/9 / (7/9 / (3/8 * /2) - 5/9)
[1874711] ['3/8', '5/9', '7/2', '7/9', '9/4'] -> (5/9 + 7/2 / 3/8 + 7/9) * 9/4
[1874716] ['3/8', '5/9', '7/2', '8/3', '8/5'] -> (7/2 - 3/8) * 8/3 / 5/9 * 8/5
[1874717] ['3/8', '5/9', '7/2', '8/3', '8/7'] -> 7/2 / (3/8 - 5/9 / 8/3) * 8/7
[1874767] ['3/8', '5/9', '7/3', '7/3', '8/5'] -> (7/3 + 7/3) / 3/8 / 5/9 + 8/5
[1874774] ['3/8', '5/9', '7/3', '7/3', '9/8'] -> (7/3 + 7/3) / (9/8 - 3/8 - 5/9)
[1874775] ['3/8', '5/9', '7/3', '7/4', '7/4'] -> 7/4 / (3/8 * (7/4 / 7/3 - 5/9))
[1874786] ['3/8', '5/9', '7/3', '7/4', '9/5'] -> 9/5 / (7/4 / 7/3 - 3/8 / 5/9)
[1874799] ['3/8', '5/9', '7/3', '7/5', '9/5'] -> 9/5 / (3/8 / 5/9 - 7/5 / 7/3)
[1874802] ['3/8', '5/9', '7/3', '7/6', '7/6'] -> 7/6 / (3/8 * (5/9 * 7/3 - 7/6))
[1874814] ['3/8', '5/9', '7/3', '7/8', '7/8'] -> 7/3 / (((5/9 * 7/8) - 3/8) * /8
)[1874818] ['3/8', '5/9', '7/3', '7/8', '8/7'] -> 7/3 / (5/9 * 7/8 - 3/8) * 8/7
[1874832] ['3/8', '5/9', '7/3', '7/9', '9/5'] -> 5/9 / (3/8 - 7/9 / 7/3) * 9/5
[1874833] ['3/8', '5/9', '7/3', '7/9', '9/7'] -> 9/7 / (3/8 * 7/9 - 5/9 / 7/3)
[1874835] ['3/8', '5/9', '7/3', '8/3', '8/3'] -> 8/3 / (5/9 * 7/3 / 8/3 - 3/8)
[1874837] ['3/8', '5/9', '7/3', '8/3', '8/7'] -> 8/7 / (5/9 / 8/3 - 3/8 / 7/3)
[1874839] ['3/8', '5/9', '7/3', '8/3', '9/2'] -> (5/9 + 8/3 / 3/8 - 7/3) * 9/2
[1874841] ['3/8', '5/9', '7/3', '8/3', '9/5'] -> 5/9 / (3/8 + 7/3 - 8/3) * 9/5
[1874846] ['3/8', '5/9', '7/3', '8/5', '8/9'] -> 8/9 / (5/9 * 8/5 / 3/8 - 7/3)
[1874847] ['3/8', '5/9', '7/3', '8/5', '9/2'] -> (7/3 / 3/8 - 5/9 * 8/5) * 9/2
[1874852] ['3/8', '5/9', '7/3', '8/7', '8/7'] -> 7/3 / (5/9 / 8/7 - 3/8) * 8/7
[1874859] ['3/8', '5/9', '7/3', '8/9', '8/9'] -> 8/9 / (5/9 / 3/8 + 8/9 - 7/3)
[1874863] ['3/8', '5/9', '7/3', '8/9', '9/7'] -> 9/7 * 7/3 / (3/8 * (8/9 - 5/9))
[1874867] ['3/8', '5/9', '7/3', '9/2', '9/5'] -> 9/5 / (3/8 + 7/3 / 5/9 - 9/2)
[1874869] ['3/8', '5/9', '7/3', '9/2', '9/8'] -> 9/8 * 9/2 * (7/3 - 5/9) / 3/8
[1874870] ['3/8', '5/9', '7/3', '9/4', '9/4'] -> (7/3 - 5/9) * 9/4 / 3/8 * 9/4
[1874875] ['3/8', '5/9', '7/3', '9/5', '9/7'] -> 9/7 / (5/9 * 9/5 / 7/3 - 3/8)
