[1538167] ['2/7', '6/7', '6/7', '6/7', '8/3'] -> (6/7 + 6/7 + 6/7) * 8/3 / 2/7
[1538882] ['2/7', '6/7', '7/8', '8/7', '9/2'] -> 8/7 / (2/7 * /7 * /8) * 9/2
[1538909] ['2/7', '6/7', '7/9', '7/9', '8/3'] -> 8/3 / ((2/7 + 6/7) * 7/9 - 7/9)
[1538912] ['2/7', '6/7', '7/9', '7/9', '8/9'] -> (8/9 / (2/7 * (7/9 / 6/7)) - 7/9))
[1538919] ['2/7', '6/7', '7/9', '8/3', '8/5'] -> (6/7 + 8/3 / 7/9) / 2/7 * 8/5
[1538920] ['2/7', '6/7', '7/9', '8/3', '8/7'] -> 8/7 / (6/7 * (7/9 / 2/7 - 8/3))
[1538942] ['2/7', '6/7', '7/9', '8/9', '8/9'] -> 6/7 / ((8/9 - 7/9) * /7) * 8/9
[1538943] ['2/7', '6/7', '7/9', '8/9', '9/2'] -> ((6/7 + 8/9) / 2/7 - 7/9) * 9/2
[1538947] ['2/7', '6/7', '7/9', '8/9', '9/8'] -> 6/7 / (((8/9 - 7/9) * /7) * /8
)[1538964] ['2/7', '6/7', '8/3', '8/3', '8/5'] -> ((6/7 + 8/3) / 2/7 + 8/3) * 8/5
[1538965] ['2/7', '6/7', '8/3', '8/3', '8/7'] -> (8/3 / 2/7 + 8/3) * (6/7 + 8/7)
[1538966] ['2/7', '6/7', '8/3', '8/3', '8/9'] -> 6/7 * 8/3 * 8/3 / 2/7 / 8/9
[1538968] ['2/7', '6/7', '8/3', '8/3', '9/4'] -> (6/7 * 8/3 / 2/7 + 8/3) * 9/4
[1538971] ['2/7', '6/7', '8/3', '8/3', '9/8'] -> 6/7 * 8/3 * 8/3 / 2/7 * 9/8
[1538976] ['2/7', '6/7', '8/3', '8/5', '9/4'] -> 8/3 / (6/7 / 8/5 - 2/7) * 9/4
[1538980] ['2/7', '6/7', '8/3', '8/7', '8/7'] -> 8/7 / (8/3 * 8/7 - 6/7 / 2/7)
[1538983] ['2/7', '6/7', '8/3', '8/7', '9/4'] -> (8/3 / 2/7 + 8/7 / 6/7) * 9/4
[1538985] ['2/7', '6/7', '8/3', '8/7', '9/7'] -> (6/7 + 8/7) * 8/3 / 2/7 * 9/7
[1538987] ['2/7', '6/7', '8/3', '8/9', '8/9'] -> 8/9 / (6/7 / 8/3 - 2/7) - 8/9
[1538989] ['2/7', '6/7', '8/3', '8/9', '9/4'] -> 6/7 * (8/3 + 8/9) / 2/7 * 9/4
[1539001] ['2/7', '6/7', '8/3', '9/4', '9/8'] -> 9/8 * 2/7 / (6/7 - 9/4 / 8/3)
[1539005] ['2/7', '6/7', '8/3', '9/7', '9/7'] -> 8/3 / (9/7 - 2/7 - 6/7) * 9/7
[1539011] ['2/7', '6/7', '8/5', '8/5', '9/2'] -> (8/5 + 8/5) * (6/7 / 2/7 + 9/2)
[1539014] ['2/7', '6/7', '8/5', '8/5', '9/7'] -> (8/5 + 8/5) / 2/7 * (6/7 + 9/7)
[1539029] ['2/7', '6/7', '8/5', '9/2', '9/2'] -> 9/2 / (6/7 / 2/7 - 9/2 / 8/5)
[1539032] ['2/7', '6/7', '8/5', '9/2', '9/7'] -> 9/7 / (6/7 - 2/7 * 9/2 / 8/5)
[1539038] ['2/7', '6/7', '8/5', '9/5', '9/5'] -> 9/5 / (6/7 / (2/7 * /5) - 9/5)
[1539047] ['2/7', '6/7', '8/7', '8/7', '9/4'] -> (8/7 + 8/7) / (6/7 / 9/4 - 2/7)
[1539049] ['2/7', '6/7', '8/7', '8/7', '9/7'] -> 6/7 * 8/7 / 2/7 / (9/7 - 8/7)
[1539061] ['2/7', '6/7', '8/7', '9/2', '9/8'] -> 6/7 / ((2/7 - (8/7 / 9/2)) * /8
)[1539073] ['2/7', '6/7', '8/9', '8/9', '9/2'] -> 6/7 * (8/9 + 8/9) / 2/7 * 9/2
[1539093] ['2/7', '6/7', '9/2', '9/2', '9/2'] -> (9/2 + 9/2 - 6/7) / 2/7 - 9/2
[1539094] ['2/7', '6/7', '9/2', '9/2', '9/4'] -> (2/7 / 6/7 + 9/2) * 9/2 + 9/4
[1539098] ['2/7', '6/7', '9/2', '9/4', '9/4'] -> (9/2 / 6/7 + 9/4) / 2/7 - 9/4
[1539106] ['2/7', '6/7', '9/2', '9/7', '9/8'] -> (9/2 / 6/7 + 9/7) / 2/7 + 9/8
[1539125] ['2/7', '6/7', '9/7', '9/7', '9/8'] -> 6/7 * 9/7 / 2/7 / (9/7 - 9/8)
[1539127] ['2/7', '6/7', '9/8', '9/8', '9/8'] -> (6/7 / (2/7 * 9/8) - (9/8 / 9/8)))
[1539132] ['2/7', '7/2', '7/2', '7/2', '7/6'] -> ((7/2 + 7/2) / 2/7 + 7/2) / 7/6
[1539133] ['2/7', '7/2', '7/2', '7/2', '7/8'] -> ((7/2 + 7/2) / 2/7 - 7/2) / 7/8
[1539159] ['2/7', '7/2', '7/2', '7/4', '7/4'] -> (7/2 * 7/2 + 7/4 - 2/7) * 7/4
[1539162] ['2/7', '7/2', '7/2', '7/4', '7/8'] -> (7/2 * 7/2 / 2/7 - 7/8) / 7/4
[1539164] ['2/7', '7/2', '7/2', '7/4', '8/3'] -> (7/2 / 2/7 + 7/2) / 7/4 * 8/3
[1539165] ['2/7', '7/2', '7/2', '7/4', '8/5'] -> ((2/7 + 7/2) * 7/2 + 7/4) * 8/5
[1539168] ['2/7', '7/2', '7/2', '7/4', '9/2'] -> (7/2 - 2/7 * 7/4) * (7/2 + 9/2)
[1539169] ['2/7', '7/2', '7/2', '7/4', '9/4'] -> (7/2 + 7/2) / 2/7 + 7/4 - 9/4
[1539175] ['2/7', '7/2', '7/2', '7/5', '7/8'] -> (7/2 + 7/2 / 7/5) / 2/7 / 7/8
[1539179] ['2/7', '7/2', '7/2', '7/5', '8/7'] -> (7/2 + 7/2 / 7/5) / 2/7 * 8/7
[1539188] ['2/7', '7/2', '7/2', '7/6', '7/9'] -> (7/2 + 7/2 / 7/9) / (2/7 * 7/6)
[1539190] ['2/7', '7/2', '7/2', '7/6', '8/5'] -> (7/2 - 2/7) * (7/2 + 7/6) * 8/5
[1539196] ['2/7', '7/2', '7/2', '7/6', '9/7'] -> (7/2 + 9/7 / 2/7) * 7/2 / 7/6
[1539201] ['2/7', '7/2', '7/2', '7/8', '8/5'] -> (2/7 + 7/2 / 7/8) * 7/2 * 8/5
[1539205] ['2/7', '7/2', '7/2', '7/8', '9/4'] -> (7/2 + 7/2 / 7/8) / 2/7 - 9/4
[1539222] ['2/7', '7/2', '7/2', '8/3', '8/9'] -> (8/3 / (7/2 * 2/7) - (8/9 / 7/2)))
[1539223] ['2/7', '7/2', '7/2', '8/3', '9/2'] -> 2/7 * (7/2 + 7/2) * 8/3 * 9/2
[1539229] ['2/7', '7/2', '7/2', '8/5', '8/7'] -> 7/2 * 8/5 * (2/7 + 7/2 * 8/7)
[1539244] ['2/7', '7/2', '7/2', '8/9', '9/2'] -> 7/2 * 8/9 * (7/2 + 9/2 - 2/7)
[1539253] ['2/7', '7/2', '7/2', '9/2', '9/8'] -> (7/2 + 9/2 - 2/7) * 7/2 / 9/8
[1539271] ['2/7', '7/2', '7/3', '7/3', '8/5'] -> (7/2 - 2/7) * (7/3 + 7/3) * 8/5
[1539274] ['2/7', '7/2', '7/3', '7/3', '9/2'] -> (2/7 * 7/3 + 7/3) * (7/2 + 9/2)
[1539275] ['2/7', '7/2', '7/3', '7/3', '9/4'] -> 7/2 * 7/3 / 2/7 - 7/3 - 9/4
[1539282] ['2/7', '7/2', '7/3', '7/4', '7/8'] -> 7/2 / (((7/3 - 7/4) * /7) * /8
)[1539283] ['2/7', '7/2', '7/3', '7/4', '7/9'] -> ((7/2 + 7/3) / 2/7 - 7/4) / 7/9
[1539291] ['2/7', '7/2', '7/3', '7/4', '9/7'] -> ((7/2 + 7/3) / 2/7 - 7/4) * 9/7
[1539299] ['2/7', '7/2', '7/3', '7/5', '8/7'] -> 8/7 / (2/7 * (7/2 / 7/5 - 7/3))
[1539302] ['2/7', '7/2', '7/3', '7/5', '9/4'] -> (7/3 / 2/7 + 7/2 / 7/5) * 9/4
[1539313] ['2/7', '7/2', '7/3', '7/6', '9/2'] -> (2/7 * 7/3 + 7/2 + 7/6) * 9/2
[1539326] ['2/7', '7/2', '7/3', '7/8', '9/5'] -> (7/2 + 7/3 / 2/7) / 7/8 * 9/5
[1539327] ['2/7', '7/2', '7/3', '7/8', '9/7'] -> 9/7 * 7/3 / (2/7 * 7/2 - 7/8)
[1539331] ['2/7', '7/2', '7/3', '7/9', '8/5'] -> (7/2 + 7/3 / 2/7) / 7/9 * 8/5
[1539335] ['2/7', '7/2', '7/3', '7/9', '9/4'] -> (7/2 + 7/3) / 2/7 / 7/9 - 9/4
[1539339] ['2/7', '7/2', '7/3', '8/3', '8/3'] -> (7/2 + 7/3 / 2/7 - 8/3) * 8/3
[1539341] ['2/7', '7/2', '7/3', '8/3', '8/7'] -> (7/2 + (7/3 + 8/3) / 2/7) * 8/7
[1539351] ['2/7', '7/2', '7/3', '8/5', '9/2'] -> (2/7 * 7/2 + 7/3) * 8/5 * 9/2
[1539360] ['2/7', '7/2', '7/3', '8/7', '9/5'] -> (7/2 + 7/3 / 2/7) * 8/7 * 9/5
[1539369] ['2/7', '7/2', '7/3', '9/2', '9/2'] -> 2/7 * 7/3 * (7/2 + 9/2) * 9/2
[1539374] ['2/7', '7/2', '7/3', '9/4', '9/4'] -> (7/2 + 7/3 / 2/7) * 9/4 - 9/4
[1539381] ['2/7', '7/2', '7/3', '9/7', '9/7'] -> 7/3 * (7/2 + 9/7 / 2/7) * 9/7
[1539386] ['2/7', '7/2', '7/4', '7/4', '7/6'] -> (7/2 / 2/7 + 7/4) / (7/4 - 7/6)
[1539391] ['2/7', '7/2', '7/4', '7/4', '8/7'] -> 8/7 / (7/4 / (7/2 + 7/4) - 2/7)
[1539412] ['2/7', '7/2', '7/4', '7/6', '7/8'] -> 7/2 / (((7/4 - 7/6) * /7) * /8
)[1539414] ['2/7', '7/2', '7/4', '7/6', '8/3'] -> (7/2 / 2/7 - 7/4) / 7/6 * 8/3
[1539416] ['2/7', '7/2', '7/4', '7/6', '8/7'] -> 7/2 / ((7/4 - 7/6) * /7) * 8/7
[1539423] ['2/7', '7/2', '7/4', '7/8', '7/8'] -> (7/2 + 7/4) / 2/7 / 7/8 / 7/8
[1539427] ['2/7', '7/2', '7/4', '7/8', '8/7'] -> (7/2 + 7/4) / 2/7 / 7/8 * 8/7
[1539429] ['2/7', '7/2', '7/4', '7/8', '9/2'] -> 9/2 / ((7/4 / 7/2 - 2/7) * 7/8)
[1539445] ['2/7', '7/2', '7/4', '8/3', '8/5'] -> (7/2 - 2/7) * 7/4 * 8/3 * 8/5
[1539448] ['2/7', '7/2', '7/4', '8/3', '9/2'] -> 8/3 / ((7/2 - 7/4) * /7) * 9/2
[1539449] ['2/7', '7/2', '7/4', '8/3', '9/4'] -> (7/2 + 2/7 * 7/4) * 8/3 * 9/4
[1539451] ['2/7', '7/2', '7/4', '8/3', '9/7'] -> 9/7 * 8/3 * 7/2 / (2/7 * 7/4)
[1539453] ['2/7', '7/2', '7/4', '8/5', '8/5'] -> (7/2 / 2/7 + 7/4) * 8/5 + 8/5
[1539457] ['2/7', '7/2', '7/4', '8/5', '9/4'] -> 9/4 / (7/4 / 8/5 - 2/7 * 7/2)
[1539461] ['2/7', '7/2', '7/4', '8/7', '8/7'] -> (7/2 + 7/4) * 8/7 / 2/7 * 8/7
[1539463] ['2/7', '7/2', '7/4', '8/7', '9/2'] -> 8/7 / (7/4 / 7/2 - 2/7) * 9/2
[1539475] ['2/7', '7/2', '7/4', '9/2', '9/4'] -> (7/2 + 9/2) / 2/7 - 7/4 - 9/4
[1539479] ['2/7', '7/2', '7/4', '9/4', '9/4'] -> (7/2 + 7/4 + 9/4) / 2/7 - 9/4
[1539487] ['2/7', '7/2', '7/4', '9/7', '9/8'] -> (7/2 + 7/4 + 9/7) / 2/7 + 9/8
[1539493] ['2/7', '7/2', '7/5', '7/5', '8/3'] -> (7/2 - 2/7) * (7/5 + 7/5) * 8/3
[1539537] ['2/7', '7/2', '7/5', '8/3', '8/7'] -> 8/7 / (2/7 * (8/3 - 7/2 / 7/5))
[1539545] ['2/7', '7/2', '7/5', '8/5', '8/7'] -> (7/5 + 7/2 * 8/5 / 2/7) * 8/7
[1539583] ['2/7', '7/2', '7/6', '7/6', '8/3'] -> 7/2 / (2/7 * /6 * /6) * 8/3
[1539601] ['2/7', '7/2', '7/6', '7/8', '9/7'] -> 9/7 * (7/2 + 7/6) / (2/7 * 7/8)
[1539607] ['2/7', '7/2', '7/6', '7/9', '8/9'] -> 8/9 / ((7/6 / 7/2 - 2/7) * 7/9)
[1539608] ['2/7', '7/2', '7/6', '7/9', '9/2'] -> (7/2 + 7/9 / 2/7) / 7/6 * 9/2
[1539630] ['2/7', '7/2', '7/6', '8/7', '8/7'] -> 8/7 / (7/6 * (8/7 / 7/2 - 2/7))
[1539635] ['2/7', '7/2', '7/6', '8/7', '9/7'] -> 9/7 * 8/7 * (7/2 + 7/6) / 2/7
[1539638] ['2/7', '7/2', '7/6', '8/9', '9/2'] -> 8/9 / (7/6 - 2/7 * 7/2) * 9/2
[1539641] ['2/7', '7/2', '7/6', '8/9', '9/7'] -> 9/7 * 8/9 / (7/6 / 7/2 - 2/7)
[1539649] ['2/7', '7/2', '7/6', '9/4', '9/5'] -> (7/2 / 2/7 + 9/4 - 7/6) * 9/5
[1539661] ['2/7', '7/2', '7/8', '7/8', '8/5'] -> (7/2 / 2/7 + 7/8) / 7/8 * 8/5
[1539662] ['2/7', '7/2', '7/8', '7/8', '8/7'] -> 8/7 / (7/8 / (7/2 - 7/8) - 2/7)
[1539670] ['2/7', '7/2', '7/8', '7/9', '8/3'] -> 8/3 / (2/7 * 7/2 - 7/9 / 7/8)
[1539683] ['2/7', '7/2', '7/8', '8/3', '9/2'] -> (8/3 / 2/7 - 7/2 / 7/8) * 9/2
[1539685] ['2/7', '7/2', '7/8', '8/3', '9/5'] -> (7/2 / 7/8 + 8/3 / 2/7) * 9/5
[1539687] ['2/7', '7/2', '7/8', '8/3', '9/8'] -> 9/8 * 8/3 / (2/7 * 7/2 - 7/8)
[1539688] ['2/7', '7/2', '7/8', '8/5', '8/5'] -> 7/2 * 8/5 / 2/7 / 7/8 + 8/5
[1539689] ['2/7', '7/2', '7/8', '8/5', '8/7'] -> (7/2 / 2/7 + 7/8) * 8/5 * 8/7
[1539703] ['2/7', '7/2', '7/8', '8/9', '8/9'] -> 8/9 / (2/7 - 7/8 / 7/2) - 8/9
[1539709] ['2/7', '7/2', '7/8', '9/2', '9/2'] -> 9/2 / (7/8 * (9/2 - 2/7) - 7/2)
[1539716] ['2/7', '7/2', '7/8', '9/4', '9/7'] -> 9/7 / (2/7 + 9/4 / 7/2 - 7/8)
[1539759] ['2/7', '7/2', '7/9', '8/9', '9/2'] -> (7/2 + 7/9 / 2/7 - 8/9) * 9/2
[1539788] ['2/7', '7/2', '8/3', '8/5', '8/5'] -> 8/5 / (8/3 - 2/7 * 7/2 - 8/5)
[1539793] ['2/7', '7/2', '8/3', '8/5', '9/5'] -> 7/2 * (8/3 - 2/7) * 8/5 * 9/5
[1539812] ['2/7', '7/2', '8/3', '9/2', '9/7'] -> 9/7 * (7/2 + 9/2 - 8/3) / 2/7
[1539816] ['2/7', '7/2', '8/3', '9/4', '9/7'] -> (2/7 + 7/2) * 8/3 * 9/4 + 9/7
[1539823] ['2/7', '7/2', '8/3', '9/8', '9/8'] -> 9/8 * 8/3 / (9/8 - 2/7 * 7/2)
[1539825] ['2/7', '7/2', '8/5', '8/5', '8/7'] -> (8/5 + 8/5) * (7/2 + 8/7 / 2/7)
[1539846] ['2/7', '7/2', '8/5', '9/2', '9/4'] -> 9/2 / (8/5 / 7/2 - 2/7) - 9/4
[1539867] ['2/7', '7/2', '8/7', '8/9', '8/9'] -> 7/2 * (8/7 + 8/9) / 2/7 - 8/9
[1539873] ['2/7', '7/2', '8/7', '9/2', '9/2'] -> 9/2 / ((9/2 - 2/7) / 8/7 - 7/2)
[1539895] ['2/7', '7/2', '8/9', '9/2', '9/4'] -> (7/2 + 8/9 * 9/2) / 2/7 - 9/4
[1539913] ['2/7', '7/2', '9/2', '9/2', '9/8'] -> (7/2 + 9/2) / 2/7 - 9/2 / 9/8
[1539949] ['2/7', '7/3', '7/3', '7/3', '7/9'] -> ((7/3 + 7/3) / 2/7 + 7/3) / 7/9
[1539954] ['2/7', '7/3', '7/3', '7/3', '9/2'] -> (2/7 * 7/3 + 7/3 + 7/3) * 9/2
[1539957] ['2/7', '7/3', '7/3', '7/3', '9/7'] -> ((7/3 + 7/3) / 2/7 + 7/3) * 9/7
[1539993] ['2/7', '7/3', '7/3', '7/6', '9/2'] -> (2/7 + 7/3 / 7/6) * 7/3 * 9/2
[1539999] ['2/7', '7/3', '7/3', '7/8', '7/9'] -> (7/3 + 7/3) / 2/7 / 7/8 / 7/9
[1540000] ['2/7', '7/3', '7/3', '7/8', '8/3'] -> (7/3 + 8/3) / (7/8 - 2/7 * 7/3)
[1540002] ['2/7', '7/3', '7/3', '7/8', '8/7'] -> 8/7 / (7/3 / 7/8 - 2/7 - 7/3)
[1540007] ['2/7', '7/3', '7/3', '7/8', '9/7'] -> (7/3 + 7/3) / 2/7 / 7/8 * 9/7
[1540009] ['2/7', '7/3', '7/3', '7/9', '7/9'] -> (7/3 + 7/3 / 7/9) / 2/7 / 7/9
[1540010] ['2/7', '7/3', '7/3', '7/9', '8/3'] -> (8/3 / (7/3 * (7/9 / 7/3)) - 2/7))
