[540832] ['1/4', '3/7', '4/9', '6/7', '8/3'] -> 8/3 / (4/9 * (3/7 / 6/7 - 1/4))
[541600] ['1/4', '3/7', '5/3', '9/7', '9/8'] -> 9/7 / (((3/7 / 1/4) - 5/3) * /8
)[541605] ['1/4', '3/7', '5/4', '5/4', '5/8'] -> (5/4 / (5/4 * 5/8) - (1/4 / 3/7)))
[541627] ['1/4', '3/7', '5/4', '5/6', '5/8'] -> (5/4 / 3/7 + 5/6) / 1/4 / 5/8
[541630] ['1/4', '3/7', '5/4', '5/6', '6/7'] -> 6/7 / (3/7 * 5/6 / 5/4 - 1/4)
[541636] ['1/4', '3/7', '5/4', '5/6', '7/8'] -> 1/4 / (((3/7 + 5/6) - 5/4) * /8
)[541638] ['1/4', '3/7', '5/4', '5/6', '8/3'] -> 8/3 / ((5/6 - 1/4) / 3/7 - 5/4)
[541639] ['1/4', '3/7', '5/4', '5/6', '8/5'] -> (5/4 / 3/7 + 5/6) / 1/4 * 8/5
[541645] ['1/4', '3/7', '5/4', '5/6', '9/7'] -> 9/7 / (3/7 - 1/4 * 5/4 / 5/6)
[541649] ['1/4', '3/7', '5/4', '5/7', '5/9'] -> (5/4 / 1/4 + 5/7) / 3/7 / 5/9
[541663] ['1/4', '3/7', '5/4', '5/7', '9/2'] -> 5/7 / (1/4 * /7 * /4) * 9/2
[541665] ['1/4', '3/7', '5/4', '5/7', '9/5'] -> (5/4 / 1/4 + 5/7) / 3/7 * 9/5
[541696] ['1/4', '3/7', '5/4', '5/9', '7/8'] -> 5/4 / (((1/4 * /7) * /9) * /8
)[541708] ['1/4', '3/7', '5/4', '6/5', '6/7'] -> 6/7 / (3/7 / (5/4 * /5) - 1/4)
[541723] ['1/4', '3/7', '5/4', '6/5', '9/7'] -> 9/7 / (3/7 - 1/4 * 5/4 * 6/5)
[541742] ['1/4', '3/7', '5/4', '7/2', '7/2'] -> 7/2 / (1/4 * (7/2 - 5/4 / 3/7))
[541747] ['1/4', '3/7', '5/4', '7/2', '7/8'] -> (7/2 - 5/4) / 1/4 / 3/7 / 7/8
[541751] ['1/4', '3/7', '5/4', '7/2', '8/7'] -> (7/2 - 5/4) / 1/4 / 3/7 * 8/7
[541753] ['1/4', '3/7', '5/4', '7/2', '9/2'] -> (1/4 / 3/7 + 5/4 + 7/2) * 9/2
[541756] ['1/4', '3/7', '5/4', '7/2', '9/7'] -> 9/7 / (1/4 * 7/2 - (5/4 - 3/7))
[541762] ['1/4', '3/7', '5/4', '7/3', '7/8'] -> (5/4 / 3/7 + 7/3) / 1/4 / 7/8
[541769] ['1/4', '3/7', '5/4', '7/3', '9/4'] -> (5/4 / 1/4 - 3/7) * 7/3 * 9/4
[541773] ['1/4', '3/7', '5/4', '7/4', '7/4'] -> (3/7 + 5/4 + 7/4) / 1/4 * 7/4
[541775] ['1/4', '3/7', '5/4', '7/4', '7/6'] -> (5/4 + 7/4) / 1/4 / 3/7 / 7/6
[541786] ['1/4', '3/7', '5/4', '7/4', '9/8'] -> 9/8 * (5/4 + 7/4 / 3/7) / 1/4
[541795] ['1/4', '3/7', '5/4', '7/5', '9/2'] -> 9/2 / (1/4 * 3/7 * 5/4 * 7/5)
[541800] ['1/4', '3/7', '5/4', '7/6', '7/6'] -> 3/7 / ((5/4 - 7/6) * /4) * 7/6
[541820] ['1/4', '3/7', '5/4', '7/8', '9/5'] -> 5/4 / (1/4 * /7 * /8) * 9/5
[541821] ['1/4', '3/7', '5/4', '7/8', '9/7'] -> 9/7 / (3/7 * (5/4 - 1/4 - 7/8))
[541828] ['1/4', '3/7', '5/4', '7/9', '9/2'] -> (5/4 / 1/4 + 3/7 * 7/9) * 9/2
[541833] ['1/4', '3/7', '5/4', '8/3', '8/3'] -> (5/4 / (1/4 * /7) - 8/3) * 8/3
[541837] ['1/4', '3/7', '5/4', '8/3', '9/2'] -> (5/4 / 3/7 + 8/3 - 1/4) * 9/2
[541838] ['1/4', '3/7', '5/4', '8/3', '9/4'] -> 9/4 / (3/7 * (5/4 / 8/3 - 1/4))
[541848] ['1/4', '3/7', '5/4', '8/5', '9/7'] -> 9/7 * 8/5 * 5/4 / (1/4 * 3/7)
[541852] ['1/4', '3/7', '5/4', '8/7', '9/2'] -> ((5/4 + 8/7) / 3/7 - 1/4) * 9/2
[541854] ['1/4', '3/7', '5/4', '8/7', '9/5'] -> 5/4 * 8/7 / 1/4 / 3/7 * 9/5
[541866] ['1/4', '3/7', '5/4', '9/2', '9/7'] -> 9/7 / (3/7 * (5/4 - 1/4 * 9/2))
[541868] ['1/4', '3/7', '5/4', '9/4', '9/4'] -> 5/4 * 9/4 / 1/4 / 3/7 - 9/4
[541880] ['1/4', '3/7', '5/6', '5/6', '5/8'] -> (5/6 / (5/6 * 5/8) - (1/4 / 3/7)))
[541891] ['1/4', '3/7', '5/6', '5/6', '8/3'] -> 8/3 / (5/6 * 5/6 - 1/4 / 3/7)
[541900] ['1/4', '3/7', '5/6', '5/7', '5/7'] -> 5/7 / (5/6 * (5/7 - 1/4 - 3/7))
[541908] ['1/4', '3/7', '5/6', '5/7', '7/5'] -> 7/5 / (1/4 * (5/6 - 3/7 / 5/7))
[541914] ['1/4', '3/7', '5/6', '5/7', '8/7'] -> 8/7 / ((5/6 - 5/7) / 1/4 - 3/7)
[541923] ['1/4', '3/7', '5/6', '5/8', '6/5'] -> 5/6 / (5/8 - 1/4 / 3/7) * 6/5
[541926] ['1/4', '3/7', '5/6', '5/8', '7/3'] -> 3/7 / (1/4 + 5/8 - 5/6) * 7/3
[541938] ['1/4', '3/7', '5/6', '5/8', '9/5'] -> 9/5 / (1/4 / (3/7 * /6) - 5/8)
[541941] ['1/4', '3/7', '5/6', '5/9', '5/9'] -> 5/9 / (5/6 * (1/4 / 3/7 - 5/9))
[541943] ['1/4', '3/7', '5/6', '5/9', '6/7'] -> 6/7 / (3/7 * 5/9 / 5/6 - 1/4)
[541956] ['1/4', '3/7', '5/6', '5/9', '9/4'] -> 5/6 / ((5/9 - 3/7) * /4) - 9/4
[541958] ['1/4', '3/7', '5/6', '5/9', '9/7'] -> 9/7 / (3/7 - 1/4 * 5/6 / 5/9)
[541960] ['1/4', '3/7', '5/6', '6/5', '6/5'] -> 6/5 / (3/7 * (6/5 - 1/4 - 5/6))
[541962] ['1/4', '3/7', '5/6', '6/5', '7/2'] -> (3/7 / 5/6 + 6/5) / 1/4 * 7/2
[541969] ['1/4', '3/7', '5/6', '6/5', '8/3'] -> 8/3 / (5/6 / 6/5 - 1/4 / 3/7)
[541971] ['1/4', '3/7', '5/6', '6/5', '8/7'] -> 8/7 / (3/7 * 5/6 / 6/5 - 1/4)
[541978] ['1/4', '3/7', '5/6', '6/7', '6/7'] -> 6/7 / (5/6 * 6/7 - 1/4 - 3/7)
[541996] ['1/4', '3/7', '5/6', '7/2', '7/3'] -> 3/7 / (1/4 * 7/2 - 5/6) * 7/3
[542004] ['1/4', '3/7', '5/6', '7/2', '8/7'] -> 8/7 / (1/4 * (3/7 - 5/6 / 7/2))
[542005] ['1/4', '3/7', '5/6', '7/2', '8/9'] -> (7/2 - 5/6) / 1/4 / 3/7 - 8/9
[542011] ['1/4', '3/7', '5/6', '7/3', '7/3'] -> 7/3 / (1/4 * (7/3 - 5/6 / 3/7))
[542021] ['1/4', '3/7', '5/6', '7/3', '9/2'] -> 9/2 / (5/6 / (7/3 - 3/7) - 1/4)
[542028] ['1/4', '3/7', '5/6', '7/4', '7/6'] -> 7/6 / (1/4 * (5/6 / 3/7 - 7/4))
[542040] ['1/4', '3/7', '5/6', '7/5', '7/5'] -> 7/5 / (1/4 * (5/6 - 3/7 * 7/5))
[542045] ['1/4', '3/7', '5/6', '7/5', '8/5'] -> 8/5 / (5/6 / 1/4 - 7/5 / 3/7)
[542060] ['1/4', '3/7', '5/6', '7/6', '9/2'] -> (5/6 + 3/7 * 7/6) / 1/4 * 9/2
[542063] ['1/4', '3/7', '5/6', '7/6', '9/7'] -> 9/7 * (5/6 + 7/6) / (1/4 * 3/7)
[542067] ['1/4', '3/7', '5/6', '7/8', '8/3'] -> (5/6 + 7/8 / (1/4 * /7)) * 8/3
[542071] ['1/4', '3/7', '5/6', '7/8', '9/2'] -> 5/6 / ((3/7 - 1/4) * /8) * 9/2
[542072] ['1/4', '3/7', '5/6', '7/8', '9/4'] -> 9/4 / ((3/7 * 5/6 - 1/4) * 7/8)
[542073] ['1/4', '3/7', '5/6', '7/8', '9/5'] -> 9/5 / (3/7 * 7/8 - 1/4 / 5/6)
[542076] ['1/4', '3/7', '5/6', '7/9', '7/9'] -> 3/7 / ((5/6 - 7/9) * /4) * 7/9
[542084] ['1/4', '3/7', '5/6', '7/9', '9/7'] -> 3/7 / (((5/6 - 7/9) * /4) * /7
)[542088] ['1/4', '3/7', '5/6', '8/3', '8/7'] -> 8/7 / (1/4 * 5/6 - 3/7 / 8/3)
[542089] ['1/4', '3/7', '5/6', '8/3', '8/9'] -> 8/3 / (3/7 * 5/6 - 1/4) - 8/9
[542105] ['1/4', '3/7', '5/6', '8/7', '9/2'] -> 5/6 * 8/7 / (3/7 - 1/4) * 9/2
[542106] ['1/4', '3/7', '5/6', '8/7', '9/4'] -> 8/7 / (3/7 * 5/6 - 1/4) * 9/4
[542107] ['1/4', '3/7', '5/6', '8/7', '9/5'] -> 9/5 / (3/7 / 8/7 - 1/4 / 5/6)
[542114] ['1/4', '3/7', '5/6', '8/9', '9/7'] -> 3/7 / (((8/9 - 5/6) * /4) * /7
)[542119] ['1/4', '3/7', '5/6', '9/2', '9/7'] -> (3/7 + 5/6) * 9/2 / 1/4 + 9/7
[542126] ['1/4', '3/7', '5/6', '9/5', '9/7'] -> 9/7 / (3/7 - 1/4 * 5/6 * 9/5)
[542132] ['1/4', '3/7', '5/7', '5/7', '5/8'] -> (5/7 / (5/7 * 5/8) - (1/4 / 3/7)))
