[272074] ['1/3', '1/7', '1/8', '5/2', '7/5'] -> ((7/5 * 1/7) / ((1/3 / 5/2) - 1/8))
[272170] ['1/3', '1/7', '1/8', '5/7', '8/7'] -> (8/7 / (1/8 * (1/7 + (1/3 * 5/7))))
[272184] ['1/3', '1/7', '1/8', '5/8', '7/5'] -> (7/5 / (1/7 * ((1/3 / 5/8) - 1/8)))
[272193] ['1/3', '1/7', '1/8', '5/8', '9/4'] -> (((5/8 / (1/3 - 1/7)) / 1/8) - 9/4)
[272199] ['1/3', '1/7', '1/8', '5/9', '6/7'] -> (6/7 / ((1/7 / (1/3 + 5/9)) - 1/8))
[272200] ['1/3', '1/7', '1/8', '5/9', '7/2'] -> ((((1/3 + 1/7) / 1/8) / 5/9) * 7/2)
[272206] ['1/3', '1/7', '1/8', '5/9', '7/9'] -> (7/9 / ((1/3 * 1/7) * (1/8 + 5/9)))
[272210] ['1/3', '1/7', '1/8', '5/9', '8/9'] -> ((((1/3 / 1/7) + 5/9) / 1/8) + 8/9)
[272214] ['1/3', '1/7', '1/8', '5/9', '9/7'] -> (9/7 / ((1/3 - 1/8) * (1/7 / 5/9)))
[272217] ['1/3', '1/7', '1/8', '6/5', '6/7'] -> (6/7 / ((1/3 - 1/8) * (1/7 * 6/5)))
[272231] ['1/3', '1/7', '1/8', '6/5', '9/5'] -> (9/5 / (1/7 * (1/8 + (1/3 * 6/5))))
[272234] ['1/3', '1/7', '1/8', '6/7', '6/7'] -> (6/7 / (((1/3 - 1/8) * 6/7) - 1/7))
[272238] ['1/3', '1/7', '1/8', '6/7', '7/5'] -> ((((6/7 - 1/7) / 1/3) / 1/8) * 7/5)
[272240] ['1/3', '1/7', '1/8', '6/7', '7/8'] -> (((1/7 + (6/7 / 1/8)) / 1/3) / 7/8)
[272246] ['1/3', '1/7', '1/8', '6/7', '9/2'] -> ((((1/7 + 6/7) - 1/3) / 1/8) * 9/2)
[272247] ['1/3', '1/7', '1/8', '6/7', '9/4'] -> ((((1/3 + 1/7) + 6/7) / 1/8) * 9/4)
[272251] ['1/3', '1/7', '1/8', '7/2', '7/2'] -> (7/2 / (1/8 * (7/2 - (1/3 / 1/7))))
[272256] ['1/3', '1/7', '1/8', '7/2', '7/8'] -> (((1/8 / 1/3) + (7/2 / 1/7)) - 7/8)
[272264] ['1/3', '1/7', '1/8', '7/2', '9/5'] -> ((((1/3 + 1/7) * 7/2) / 1/8) * 9/5)
[272267] ['1/3', '1/7', '1/8', '7/3', '7/3'] -> (7/3 / ((1/8 / 1/7) - (1/3 * 7/3)))
[272269] ['1/3', '1/7', '1/8', '7/3', '7/5'] -> ((((1/7 + 7/3) - 1/3) / 1/8) * 7/5)
[272277] ['1/3', '1/7', '1/8', '7/3', '9/2'] -> (((1/3 + (1/7 * 7/3)) / 1/8) * 9/2)
[272301] ['1/3', '1/7', '1/8', '7/5', '8/5'] -> (8/5 / (1/8 * (1/3 + (1/7 * 7/5))))
[272302] ['1/3', '1/7', '1/8', '7/5', '8/7'] -> (8/7 / (1/8 * (1/7 + (1/3 / 7/5))))
[272304] ['1/3', '1/7', '1/8', '7/5', '9/2'] -> ((((1/3 + 1/7) * 7/5) / 1/8) * 9/2)
[272309] ['1/3', '1/7', '1/8', '7/6', '7/6'] -> ((((1/3 / 1/7) + 7/6) / 1/8) / 7/6)
[272310] ['1/3', '1/7', '1/8', '7/6', '7/8'] -> (((1/8 + (7/6 / 1/7)) / 1/3) - 7/8)
[272319] ['1/3', '1/7', '1/8', '7/6', '9/7'] -> (9/7 / (1/8 * (1/7 + (1/3 / 7/6))))
[272321] ['1/3', '1/7', '1/8', '7/8', '7/8'] -> ((((1/8 + 7/8) / 1/3) / 1/7) / 7/8)
[272332] ['1/3', '1/7', '1/8', '7/9', '7/9'] -> (7/9 / (1/3 * ((1/8 / 1/7) - 7/9)))
[272340] ['1/3', '1/7', '1/8', '7/9', '9/7'] -> ((9/7 * 1/3) / ((1/8 / 7/9) - 1/7))
[272359] ['1/3', '1/7', '1/8', '8/7', '8/7'] -> (8/7 / ((1/3 - (1/8 * 8/7)) - 1/7))
[272360] ['1/3', '1/7', '1/8', '8/7', '8/9'] -> ((((8/7 / 1/8) - 1/7) / 1/3) * 8/9)
[272366] ['1/3', '1/7', '1/8', '8/9', '8/9'] -> ((((1/3 / 1/8) + 8/9) / 1/7) - 8/9)
[272382] ['1/3', '1/7', '1/8', '9/5', '9/7'] -> (9/7 / ((1/3 - 1/8) * (1/7 * 9/5)))
[272384] ['1/3', '1/7', '1/8', '9/7', '9/7'] -> ((9/7 * 1/3) / ((1/8 * 9/7) - 1/7))
[272387] ['1/3', '1/7', '1/9', '1/9', '1/9'] -> ((((1/9 / 1/7) + 1/9) / 1/3) / 1/9)
[272401] ['1/3', '1/7', '1/9', '1/9', '5/2'] -> (5/2 / ((1/9 / (1/7 + 1/9)) - 1/3))
[272404] ['1/3', '1/7', '1/9', '1/9', '5/6'] -> ((((1/3 / 1/7) - 1/9) / 1/9) / 5/6)
[272406] ['1/3', '1/7', '1/9', '1/9', '5/8'] -> (((1/9 / 1/7) / 1/9) / (5/8 - 1/3))
[272408] ['1/3', '1/7', '1/9', '1/9', '6/5'] -> ((((1/3 / 1/7) - 1/9) / 1/9) * 6/5)
[272409] ['1/3', '1/7', '1/9', '1/9', '6/7'] -> ((((1/3 + 1/9) / 1/7) / 1/9) * 6/7)
[272411] ['1/3', '1/7', '1/9', '1/9', '7/3'] -> ((1/3 + (1/9 / 7/3)) / (1/7 * 1/9))
[272414] ['1/3', '1/7', '1/9', '1/9', '7/6'] -> ((((1/3 + 1/9) / 1/7) / 1/9) / 7/6)
[272415] ['1/3', '1/7', '1/9', '1/9', '7/8'] -> ((((1/9 / 1/3) / 1/7) / 1/9) / 7/8)
[272416] ['1/3', '1/7', '1/9', '1/9', '7/9'] -> ((1/9 - (7/9 / 1/7)) / (1/9 - 1/3))
[272433] ['1/3', '1/7', '1/9', '2/3', '3/7'] -> ((((1/3 + 1/7) + 2/3) / 1/9) / 3/7)
[272435] ['1/3', '1/7', '1/9', '2/3', '4/3'] -> ((4/3 / 1/7) / ((1/3 / 2/3) - 1/9))
[272440] ['1/3', '1/7', '1/9', '2/3', '5/3'] -> ((((1/3 / 1/9) + 2/3) / 1/7) - 5/3)
[272444] ['1/3', '1/7', '1/9', '2/3', '5/8'] -> ((((1/3 / 1/7) - 2/3) / 1/9) / 5/8)
[272456] ['1/3', '1/7', '1/9', '2/3', '8/5'] -> ((((1/3 / 1/7) - 2/3) / 1/9) * 8/5)
[272472] ['1/3', '1/7', '1/9', '2/5', '4/3'] -> (4/3 / ((1/3 / 2/5) - (1/9 / 1/7)))
[272474] ['1/3', '1/7', '1/9', '2/5', '4/7'] -> (4/7 / ((1/7 / 2/5) - (1/9 / 1/3)))
[272497] ['1/3', '1/7', '1/9', '2/5', '9/4'] -> (((1/3 / (1/7 - 1/9)) / 2/5) - 9/4)
[272501] ['1/3', '1/7', '1/9', '2/7', '2/7'] -> ((((1/3 + 1/7) + 2/7) / 1/9) / 2/7)
[272502] ['1/3', '1/7', '1/9', '2/7', '2/9'] -> (((1/7 + 1/9) / (1/3 - 2/7)) / 2/9)
[272513] ['1/3', '1/7', '1/9', '2/7', '5/3'] -> (((2/7 / 1/7) / 1/9) * (5/3 - 1/3))
[272520] ['1/3', '1/7', '1/9', '2/7', '6/7'] -> (6/7 / ((1/7 / (1/3 + 1/9)) - 2/7))
[272521] ['1/3', '1/7', '1/9', '2/7', '7/2'] -> ((((1/3 + 1/7) + 2/7) / 1/9) * 7/2)
[272533] ['1/3', '1/7', '1/9', '2/7', '9/4'] -> ((((2/7 / 1/3) / 1/7) / 1/9) / 9/4)
[272538] ['1/3', '1/7', '1/9', '2/9', '3/2'] -> (((1/3 / 1/9) / 2/9) + (3/2 / 1/7))
[272542] ['1/3', '1/7', '1/9', '2/9', '3/8'] -> (((1/9 / 1/7) + 2/9) / (3/8 - 1/3))
[272558] ['1/3', '1/7', '1/9', '2/9', '7/4'] -> ((((2/9 / 1/3) / 1/7) / 1/9) / 7/4)
[272572] ['1/3', '1/7', '1/9', '3/2', '3/2'] -> ((((1/3 / 1/7) / 1/9) + 3/2) + 3/2)
[272580] ['1/3', '1/7', '1/9', '3/2', '4/9'] -> (4/9 / ((1/7 * 1/9) * (3/2 - 1/3)))
[272595] ['1/3', '1/7', '1/9', '3/2', '7/8'] -> ((1/3 / (1/9 - (1/7 / 3/2))) / 7/8)
[272597] ['1/3', '1/7', '1/9', '3/2', '8/3'] -> (((1/3 / (1/7 - 1/9)) - 3/2) * 8/3)
[272623] ['1/3', '1/7', '1/9', '3/4', '7/2'] -> ((1/3 / (1/9 - (1/7 * 3/4))) / 7/2)
[272627] ['1/3', '1/7', '1/9', '3/4', '7/6'] -> ((((1/3 / 1/7) / 1/9) / 3/4) / 7/6)
[272644] ['1/3', '1/7', '1/9', '3/5', '4/7'] -> (4/7 / (1/7 - (1/9 / (1/3 + 3/5))))
[272664] ['1/3', '1/7', '1/9', '3/5', '8/7'] -> (8/7 / (((1/3 - 1/7) - 1/9) * 3/5))
[272674] ['1/3', '1/7', '1/9', '3/7', '4/5'] -> (((1/3 + (3/7 / 1/7)) / 1/9) * 4/5)
[272679] ['1/3', '1/7', '1/9', '3/7', '5/4'] -> (((1/3 + (3/7 / 1/7)) / 1/9) / 5/4)
[272681] ['1/3', '1/7', '1/9', '3/7', '5/7'] -> ((((1/3 / 1/7) - 3/7) / 1/9) / 5/7)
[272683] ['1/3', '1/7', '1/9', '3/7', '5/9'] -> (((3/7 / 1/7) / 1/9) * (1/3 + 5/9))
[272687] ['1/3', '1/7', '1/9', '3/7', '7/3'] -> ((((3/7 / 1/3) - 1/7) / 1/9) * 7/3)
[272689] ['1/3', '1/7', '1/9', '3/7', '7/5'] -> ((((1/3 / 1/7) - 3/7) / 1/9) * 7/5)
[272690] ['1/3', '1/7', '1/9', '3/7', '7/6'] -> ((((1/3 / 1/7) / 1/9) - 3/7) * 7/6)
[272702] ['1/3', '1/7', '1/9', '3/8', '3/8'] -> ((((1/3 / 1/9) + 3/8) / 1/7) + 3/8)
[272708] ['1/3', '1/7', '1/9', '3/8', '5/3'] -> (5/3 / (((1/9 / 1/7) - 1/3) - 3/8))
[272713] ['1/3', '1/7', '1/9', '3/8', '5/9'] -> (5/9 / ((1/3 * 1/7) * (1/9 + 3/8)))
[272715] ['1/3', '1/7', '1/9', '3/8', '6/7'] -> (((1/3 / (1/7 - 1/9)) / 3/8) * 6/7)
[272720] ['1/3', '1/7', '1/9', '3/8', '7/6'] -> (((1/3 / (1/7 - 1/9)) / 3/8) / 7/6)
[272722] ['1/3', '1/7', '1/9', '3/8', '7/9'] -> (((1/7 / (3/8 - 1/3)) / 1/9) * 7/9)
[272725] ['1/3', '1/7', '1/9', '3/8', '8/7'] -> (8/7 / ((1/7 / 3/8) - (1/9 / 1/3)))
[272743] ['1/3', '1/7', '1/9', '4/3', '6/5'] -> (((4/3 / (1/3 + 1/7)) / 1/9) - 6/5)
[272745] ['1/3', '1/7', '1/9', '4/3', '7/2'] -> ((1/3 / (1/9 - (1/7 / 4/3))) / 7/2)
[272746] ['1/3', '1/7', '1/9', '4/3', '7/3'] -> ((((1/7 + 4/3) - 1/3) / 1/9) * 7/3)
[272749] ['1/3', '1/7', '1/9', '4/3', '7/6'] -> ((((1/3 * 4/3) / 1/7) / 1/9) / 7/6)
[272769] ['1/3', '1/7', '1/9', '4/5', '5/8'] -> ((1/3 / (4/5 - (1/9 / 1/7))) / 5/8)
[272773] ['1/3', '1/7', '1/9', '4/5', '7/2'] -> ((1/3 / (1/7 - (1/9 / 4/5))) / 7/2)
[272785] ['1/3', '1/7', '1/9', '4/5', '9/4'] -> ((((1/3 / 1/7) / 1/9) / 4/5) - 9/4)
[272790] ['1/3', '1/7', '1/9', '4/7', '4/9'] -> (((4/7 / (1/7 - 1/9)) / 1/3) * 4/9)
[272800] ['1/3', '1/7', '1/9', '4/7', '7/2'] -> ((((1/3 + 4/7) - 1/7) / 1/9) * 7/2)
[272809] ['1/3', '1/7', '1/9', '4/7', '8/7'] -> (8/7 / (((1/9 * 4/7) / 1/3) - 1/7))
[272812] ['1/3', '1/7', '1/9', '4/7', '9/4'] -> (((4/7 / (1/7 - 1/9)) / 1/3) / 9/4)
[272815] ['1/3', '1/7', '1/9', '4/7', '9/8'] -> (((4/7 / (1/3 - 1/7)) / 1/9) / 9/8)
[272818] ['1/3', '1/7', '1/9', '4/9', '5/3'] -> ((((4/9 / 1/9) - 1/3) / 1/7) - 5/3)
[272825] ['1/3', '1/7', '1/9', '4/9', '6/7'] -> ((6/7 / 1/3) / ((1/9 / 4/9) - 1/7))
[272828] ['1/3', '1/7', '1/9', '4/9', '7/4'] -> (((4/9 / (1/7 - 1/9)) / 1/3) / 7/4)
[272836] ['1/3', '1/7', '1/9', '4/9', '8/9'] -> (8/9 / (1/7 * (1/9 + (1/3 * 4/9))))
[272837] ['1/3', '1/7', '1/9', '4/9', '9/2'] -> ((((1/3 + 4/9) / 1/7) - 1/9) * 9/2)
[272845] ['1/3', '1/7', '1/9', '5/2', '5/6'] -> (((1/3 / 1/7) + (5/2 / 1/9)) - 5/6)
[272851] ['1/3', '1/7', '1/9', '5/2', '7/2'] -> (((1/3 / 1/9) + (5/2 / 1/7)) + 7/2)
[272863] ['1/3', '1/7', '1/9', '5/2', '9/4'] -> (((1/3 * 5/2) / (1/7 - 1/9)) - 9/4)
[272880] ['1/3', '1/7', '1/9', '5/3', '7/8'] -> ((5/3 / ((1/3 - 1/7) - 1/9)) / 7/8)
[272886] ['1/3', '1/7', '1/9', '5/3', '9/2'] -> (((1/3 + (5/3 / 1/7)) / 1/9) / 9/2)
[272898] ['1/3', '1/7', '1/9', '5/4', '7/2'] -> ((1/3 / (1/7 - (1/9 * 5/4))) / 7/2)
[272900] ['1/3', '1/7', '1/9', '5/4', '7/4'] -> ((((1/3 / 1/7) / 1/9) + 5/4) + 7/4)
[272910] ['1/3', '1/7', '1/9', '5/4', '9/4'] -> ((((1/3 * 5/4) / 1/7) / 1/9) - 9/4)
[272922] ['1/3', '1/7', '1/9', '5/6', '7/4'] -> ((1/3 / ((1/7 * 5/6) - 1/9)) / 7/4)
[272928] ['1/3', '1/7', '1/9', '5/6', '8/5'] -> (8/5 / (1/7 * (1/3 + (1/9 / 5/6))))
[272930] ['1/3', '1/7', '1/9', '5/6', '8/9'] -> (8/9 / ((1/7 - 1/9) * (1/3 + 5/6)))
[272932] ['1/3', '1/7', '1/9', '5/6', '9/4'] -> (((5/6 / (1/3 - 1/9)) / 1/7) - 9/4)
[272937] ['1/3', '1/7', '1/9', '5/7', '5/8'] -> ((((1/3 * 5/7) / 1/7) / 1/9) / 5/8)
[272942] ['1/3', '1/7', '1/9', '5/7', '7/3'] -> ((((1/7 / 1/3) + 5/7) / 1/9) * 7/3)
[272943] ['1/3', '1/7', '1/9', '5/7', '7/4'] -> ((((5/7 / 1/7) - 1/3) / 1/9) / 7/4)
[272946] ['1/3', '1/7', '1/9', '5/7', '7/8'] -> ((7/8 * ((1/3 / 1/7) + 5/7)) / 1/9)
[272949] ['1/3', '1/7', '1/9', '5/7', '8/5'] -> ((((1/3 * 5/7) / 1/7) / 1/9) * 8/5)
[272950] ['1/3', '1/7', '1/9', '5/7', '8/7'] -> (8/7 / (((1/7 + 1/9) / 1/3) - 5/7))
[272952] ['1/3', '1/7', '1/9', '5/7', '9/2'] -> (((1/9 / 1/3) + (5/7 / 1/7)) * 9/2)
[272953] ['1/3', '1/7', '1/9', '5/7', '9/4'] -> ((1/3 / ((1/9 / 5/7) - 1/7)) - 9/4)
[272961] ['1/3', '1/7', '1/9', '5/8', '7/2'] -> ((7/2 * (1/3 + 1/7)) / (1/9 * 5/8))
[272964] ['1/3', '1/7', '1/9', '5/8', '7/5'] -> ((((1/3 / 1/7) / 1/9) / 5/8) / 7/5)
[272979] ['1/3', '1/7', '1/9', '5/9', '6/7'] -> (((1/3 + 5/9) / (1/7 - 1/9)) * 6/7)
[272981] ['1/3', '1/7', '1/9', '5/9', '7/3'] -> ((((1/3 + 5/9) / 1/7) / 1/9) / 7/3)
[272982] ['1/3', '1/7', '1/9', '5/9', '7/4'] -> ((((5/9 / 1/3) - 1/7) / 1/9) * 7/4)
[272984] ['1/3', '1/7', '1/9', '5/9', '7/6'] -> (((1/3 + 5/9) / (1/7 - 1/9)) / 7/6)
[272989] ['1/3', '1/7', '1/9', '5/9', '8/7'] -> (8/7 / (1/7 * ((1/9 + 5/9) - 1/3)))
[272990] ['1/3', '1/7', '1/9', '5/9', '8/9'] -> ((((1/3 / 1/9) + 5/9) / 1/7) - 8/9)
[272992] ['1/3', '1/7', '1/9', '5/9', '9/4'] -> (((5/9 / (1/3 - 1/7)) / 1/9) - 9/4)
[273000] ['1/3', '1/7', '1/9', '6/5', '7/4'] -> ((1/3 / ((1/7 / 6/5) - 1/9)) / 7/4)
[273006] ['1/3', '1/7', '1/9', '6/5', '8/5'] -> (8/5 / (1/7 * (1/3 + (1/9 * 6/5))))
[273007] ['1/3', '1/7', '1/9', '6/5', '8/7'] -> (8/7 / (((1/3 - 1/7) / 6/5) - 1/9))
[273011] ['1/3', '1/7', '1/9', '6/5', '9/5'] -> ((((1/3 / 1/7) / 1/9) + 6/5) + 9/5)
[273023] ['1/3', '1/7', '1/9', '6/7', '8/5'] -> ((((1/3 / 1/9) - 6/7) / 1/7) * 8/5)
[273039] ['1/3', '1/7', '1/9', '7/2', '8/5'] -> ((((1/3 + 1/7) * 7/2) / 1/9) * 8/5)
[273040] ['1/3', '1/7', '1/9', '7/2', '8/7'] -> (8/7 / (1/7 - ((1/9 / 1/3) / 7/2)))
[273048] ['1/3', '1/7', '1/9', '7/3', '7/4'] -> ((((1/3 / 1/7) + 7/3) / 1/9) / 7/4)
[273049] ['1/3', '1/7', '1/9', '7/3', '7/5'] -> (((7/3 - (1/7 / 1/3)) / 1/9) * 7/5)
[273057] ['1/3', '1/7', '1/9', '7/3', '9/2'] -> ((((1/3 * 7/3) / 1/7) - 1/9) * 9/2)
[273059] ['1/3', '1/7', '1/9', '7/3', '9/5'] -> (((7/3 / 1/7) - (1/3 / 1/9)) * 9/5)
[273069] ['1/3', '1/7', '1/9', '7/4', '8/7'] -> (8/7 / (((1/9 / 1/3) / 7/4) - 1/7))
[273085] ['1/3', '1/7', '1/9', '7/5', '9/4'] -> ((1/3 / ((1/9 * 7/5) - 1/7)) - 9/4)
[273101] ['1/3', '1/7', '1/9', '7/8', '7/8'] -> ((1/3 / (1/7 - (1/9 / 7/8))) / 7/8)
[273102] ['1/3', '1/7', '1/9', '7/8', '7/9'] -> (7/9 / (1/3 * (7/8 - (1/9 / 1/7))))
[273105] ['1/3', '1/7', '1/9', '7/8', '8/7'] -> ((1/3 / (1/7 - (1/9 / 7/8))) * 8/7)
[273112] ['1/3', '1/7', '1/9', '7/9', '7/9'] -> ((((1/9 + 7/9) / 1/3) / 1/7) / 7/9)
[273113] ['1/3', '1/7', '1/9', '7/9', '8/3'] -> (8/3 / ((1/3 - (1/7 * 7/9)) - 1/9))
[273120] ['1/3', '1/7', '1/9', '7/9', '9/7'] -> ((((1/9 + 7/9) / 1/3) / 1/7) * 9/7)
[273121] ['1/3', '1/7', '1/9', '7/9', '9/8'] -> ((((1/3 / 1/7) / 1/9) / 7/9) / 9/8)
[273129] ['1/3', '1/7', '1/9', '8/3', '9/7'] -> (9/7 / (1/7 * (1/3 + (1/9 / 8/3))))
[273141] ['1/3', '1/7', '1/9', '8/7', '9/2'] -> (((8/7 / (1/7 - 1/9)) / 1/3) / 9/2)
[273145] ['1/3', '1/7', '1/9', '8/7', '9/8'] -> ((((8/7 - 1/7) / 1/3) / 1/9) / 9/8)
[273164] ['1/3', '1/7', '1/9', '9/7', '9/7'] -> ((((9/7 - 1/7) / 1/3) / 1/9) / 9/7)
[273165] ['1/3', '1/7', '1/9', '9/7', '9/8'] -> ((((1/3 * 9/7) / 1/7) / 1/9) / 9/8)
[273167] ['1/3', '1/7', '2/3', '2/3', '2/3'] -> ((((2/3 / 1/7) + 2/3) / 1/3) / 2/3)
[273170] ['1/3', '1/7', '2/3', '2/3', '2/9'] -> (2/3 + ((1/3 + (2/3 / 2/9)) / 1/7))
[273171] ['1/3', '1/7', '2/3', '2/3', '3/2'] -> ((((2/3 / 1/7) + 2/3) / 1/3) * 3/2)
[273179] ['1/3', '1/7', '2/3', '2/3', '4/9'] -> (2/3 + (((2/3 + 4/9) / 1/3) / 1/7))
[273182] ['1/3', '1/7', '2/3', '2/3', '5/4'] -> (((2/3 / 1/3) / 1/7) / (5/4 - 2/3))
[273184] ['1/3', '1/7', '2/3', '2/3', '5/7'] -> (((1/3 + 1/7) + 2/3) / (5/7 - 2/3))
[273185] ['1/3', '1/7', '2/3', '2/3', '5/8'] -> (((2/3 / 1/7) / 2/3) / (5/8 - 1/3))
[273193] ['1/3', '1/7', '2/3', '2/3', '7/6'] -> ((((2/3 + 2/3) / 1/3) / 1/7) / 7/6)
[273195] ['1/3', '1/7', '2/3', '2/3', '7/9'] -> ((((2/3 / 1/3) + 2/3) / 1/7) / 7/9)
[273202] ['1/3', '1/7', '2/3', '2/3', '9/5'] -> ((((2/3 / 1/3) / 1/7) - 2/3) * 9/5)
[273210] ['1/3', '1/7', '2/3', '2/5', '3/5'] -> ((((2/3 / 1/3) / 1/7) + 2/5) / 3/5)
[273218] ['1/3', '1/7', '2/3', '2/5', '5/3'] -> ((((2/3 / 1/3) / 1/7) + 2/5) * 5/3)
[273225] ['1/3', '1/7', '2/3', '2/5', '6/7'] -> ((2/3 / ((1/7 / 2/5) - 1/3)) * 6/7)
[273230] ['1/3', '1/7', '2/3', '2/5', '7/6'] -> ((2/3 / ((1/7 / 2/5) - 1/3)) / 7/6)
[273234] ['1/3', '1/7', '2/3', '2/5', '8/5'] -> ((((2/3 + 2/5) / 1/3) / 1/7) + 8/5)
[273235] ['1/3', '1/7', '2/3', '2/5', '8/7'] -> (8/7 / ((1/3 - (1/7 / 2/3)) * 2/5))
[273242] ['1/3', '1/7', '2/3', '2/7', '2/7'] -> ((((2/3 / 1/3) / 2/7) - 1/7) / 2/7)
[273249] ['1/3', '1/7', '2/3', '2/7', '4/3'] -> ((4/3 / 1/3) / (2/3 - (1/7 / 2/7)))
[273256] ['1/3', '1/7', '2/3', '2/7', '5/6'] -> ((((2/3 + 2/7) / 1/3) / 1/7) / 5/6)
[273260] ['1/3', '1/7', '2/3', '2/7', '6/5'] -> ((((2/3 + 2/7) / 1/3) / 1/7) * 6/5)
[273264] ['1/3', '1/7', '2/3', '2/7', '7/4'] -> ((((2/3 / 1/3) / 1/7) - 2/7) * 7/4)
[273268] ['1/3', '1/7', '2/3', '2/7', '7/9'] -> (((1/3 + (2/3 / 2/7)) / 1/7) / 7/9)
[273270] ['1/3', '1/7', '2/3', '2/7', '8/5'] -> (8/5 / (2/3 - (2/7 / (1/3 + 1/7))))
[273274] ['1/3', '1/7', '2/3', '2/7', '9/4'] -> (((2/3 + (2/7 / 1/3)) / 1/7) * 9/4)
[273279] ['1/3', '1/7', '2/3', '2/9', '3/2'] -> (((1/3 + (2/3 / 1/7)) / 2/9) + 3/2)
[273294] ['1/3', '1/7', '2/3', '2/9', '5/9'] -> ((((2/3 / 1/7) - 2/9) / 1/3) / 5/9)
[273295] ['1/3', '1/7', '2/3', '2/9', '6/5'] -> (((2/3 / (2/9 - 1/7)) / 1/3) - 6/5)
[273302] ['1/3', '1/7', '2/3', '2/9', '7/8'] -> ((2/3 / ((1/7 + 2/9) - 1/3)) / 7/8)
[273307] ['1/3', '1/7', '2/3', '2/9', '8/9'] -> ((1/3 + ((2/3 / 1/7) / 2/9)) / 8/9)
[273310] ['1/3', '1/7', '2/3', '2/9', '9/5'] -> ((((2/3 / 1/7) - 2/9) / 1/3) * 9/5)
[273312] ['1/3', '1/7', '2/3', '2/9', '9/8'] -> ((1/3 + ((2/3 / 1/7) / 2/9)) * 9/8)
[273318] ['1/3', '1/7', '2/3', '3/2', '4/3'] -> (4/3 / (((1/3 * 2/3) / 1/7) - 3/2))
[273336] ['1/3', '1/7', '2/3', '3/2', '7/8'] -> ((((2/3 * 3/2) / 1/3) / 1/7) / 7/8)
[273350] ['1/3', '1/7', '2/3', '3/4', '3/8'] -> ((((3/4 / 1/3) / 1/7) / 2/3) + 3/8)
[273368] ['1/3', '1/7', '2/3', '3/4', '7/6'] -> (((1/3 / (3/4 - 2/3)) / 1/7) / 7/6)
