[672783] ['1/5', '2/7', '5/8', '7/5', '9/8'] -> 5/8 + 7/5 / 1/5 / 2/7 - 9/8
[673114] ['1/5', '2/7', '6/5', '7/3', '9/4'] -> (6/5 - 2/7) * 7/3 / 1/5 * 9/4
[673115] ['1/5', '2/7', '6/5', '7/3', '9/5'] -> (6/5 / 1/5 - 2/7) * 7/3 * 9/5
[673124] ['1/5', '2/7', '6/5', '7/4', '8/5'] -> 8/5 / ((2/7 / 6/5 - 1/5) * 7/4)
[673130] ['1/5', '2/7', '6/5', '7/4', '9/7'] -> 9/7 / ((1/5 * 7/4 - 2/7) / 6/5)
[673133] ['1/5', '2/7', '6/5', '7/5', '7/6'] -> (6/5 / 2/7 + 7/5) / 1/5 / 7/6
[673146] ['1/5', '2/7', '6/5', '7/6', '7/8'] -> 1/5 / (6/5 - 7/6) / 2/7 / 7/8
[673148] ['1/5', '2/7', '6/5', '7/6', '8/3'] -> 6/5 / (2/7 * 7/6 - 1/5) * 8/3
[673152] ['1/5', '2/7', '6/5', '7/6', '9/2'] -> (6/5 - 2/7) * 7/6 / 1/5 * 9/2
[673157] ['1/5', '2/7', '6/5', '7/8', '7/8'] -> 6/5 / (2/7 - 1/5 / 7/8) / 7/8
[673161] ['1/5', '2/7', '6/5', '7/8', '8/7'] -> 6/5 / (2/7 - 1/5 / 7/8) * 8/7
[673169] ['1/5', '2/7', '6/5', '7/9', '8/3'] -> 8/3 / ((2/7 * 6/5 - 1/5) * 7/9)
[673170] ['1/5', '2/7', '6/5', '7/9', '8/5'] -> 8/5 / (2/7 * 6/5 * 7/9 - 1/5)
[673177] ['1/5', '2/7', '6/5', '7/9', '9/8'] -> 6/5 / 1/5 / 2/7 / 7/9 / 9/8
[673183] ['1/5', '2/7', '6/5', '8/3', '9/4'] -> (6/5 / 2/7 - 1/5) * 8/3 * 9/4
[673184] ['1/5', '2/7', '6/5', '8/3', '9/5'] -> ((6/5 + 8/3) / 2/7 - 1/5) * 9/5
[673185] ['1/5', '2/7', '6/5', '8/3', '9/7'] -> 9/7 / ((2/7 * 6/5 - 1/5) / 8/3)
[673206] ['1/5', '2/7', '6/5', '8/9', '9/7'] -> 9/7 / (1/5 * 2/7 / 6/5 / 8/9)
[673209] ['1/5', '2/7', '6/5', '9/2', '9/4'] -> 6/5 / 1/5 + 9/2 / 2/7 + 9/4
[673211] ['1/5', '2/7', '6/5', '9/2', '9/7'] -> 6/5 * (9/2 - 2/7) / 1/5 - 9/7
[673221] ['1/5', '2/7', '6/5', '9/7', '9/8'] -> 6/5 * 9/7 / 1/5 / 2/7 / 9/8
[673240] ['1/5', '2/7', '6/7', '7/2', '7/2'] -> 6/7 / 2/7 + 7/2 / 1/5 + 7/2
[673248] ['1/5', '2/7', '6/7', '7/2', '8/5'] -> 8/5 / (6/7 / (7/2 - 2/7) - 1/5)
[673252] ['1/5', '2/7', '6/7', '7/2', '9/4'] -> 7/2 / (2/7 / 6/7 - 1/5) - 9/4
[673256] ['1/5', '2/7', '6/7', '7/3', '7/3'] -> (2/7 + 6/7 * 7/3 / 1/5) * 7/3
[673262] ['1/5', '2/7', '6/7', '7/3', '8/3'] -> (6/7 / 2/7 + 7/3) / 1/5 - 8/3
[673264] ['1/5', '2/7', '6/7', '7/3', '8/7'] -> 8/7 / (7/3 - 2/7 / 1/5 - 6/7)
[673266] ['1/5', '2/7', '6/7', '7/3', '9/2'] -> (2/7 / 1/5 + 6/7) * 7/3 * 9/2
[673267] ['1/5', '2/7', '6/7', '7/3', '9/4'] -> (2/7 + 6/7 / 1/5) * 7/3 * 9/4
[673281] ['1/5', '2/7', '6/7', '7/4', '9/4'] -> 6/7 * 7/4 / 1/5 / 2/7 - 9/4
[673282] ['1/5', '2/7', '6/7', '7/4', '9/5'] -> 6/7 / (1/5 * 7/4 - 2/7) * 9/5
[673287] ['1/5', '2/7', '6/7', '7/5', '7/8'] -> 6/7 * 7/5 / 1/5 / 2/7 / 7/8
[673291] ['1/5', '2/7', '6/7', '7/5', '8/7'] -> 6/7 * 7/5 / 1/5 / 2/7 * 8/7
[673293] ['1/5', '2/7', '6/7', '7/5', '9/2'] -> (7/5 - 2/7 / 6/7) / 1/5 * 9/2
[673305] ['1/5', '2/7', '6/7', '7/6', '9/2'] -> (2/7 + 6/7 / 1/5) * 7/6 * 9/2
[673313] ['1/5', '2/7', '6/7', '7/8', '8/5'] -> 6/7 / (2/7 - 1/5 / 7/8) * 8/5
[673318] ['1/5', '2/7', '6/7', '7/8', '9/5'] -> 9/5 / (1/5 * 2/7 + 7/8 - 6/7)
[673319] ['1/5', '2/7', '6/7', '7/8', '9/7'] -> 9/7 / (1/5 * (2/7 + 6/7 - 7/8))
[673322] ['1/5', '2/7', '6/7', '7/9', '8/3'] -> 8/3 / ((6/7 - 7/9) / 1/5 - 2/7)
[673323] ['1/5', '2/7', '6/7', '7/9', '8/5'] -> 8/5 / (6/7 * (7/9 - 1/5 / 2/7))
[673331] ['1/5', '2/7', '6/7', '8/3', '8/3'] -> 6/7 * 8/3 / (2/7 - 1/5) - 8/3
[673336] ['1/5', '2/7', '6/7', '8/3', '9/4'] -> (6/7 / 1/5 - 2/7) * 8/3 * 9/4
[673337] ['1/5', '2/7', '6/7', '8/3', '9/5'] -> 9/5 / (1/5 - 2/7 / 6/7 / 8/3)
[673340] ['1/5', '2/7', '6/7', '8/5', '8/5'] -> 8/5 / (2/7 / 1/5 / 6/7 - 8/5)
[673343] ['1/5', '2/7', '6/7', '8/5', '9/2'] -> 6/7 / (2/7 - 1/5 / 8/5) * 9/2
[673358] ['1/5', '2/7', '6/7', '8/9', '9/5'] -> 6/7 * 8/9 / 1/5 / 2/7 * 9/5
[673366] ['1/5', '2/7', '6/7', '9/4', '9/4'] -> (6/7 / 2/7 + 9/4) / 1/5 - 9/4
[673372] ['1/5', '2/7', '6/7', '9/5', '9/8'] -> 6/7 * 9/5 / 1/5 / 2/7 / 9/8
[673378] ['1/5', '2/7', '7/2', '7/2', '7/4'] -> (7/2 / 1/5 - 2/7 - 7/2) * 7/4
[673399] ['1/5', '2/7', '7/2', '7/3', '8/5'] -> 8/5 / (1/5 * 2/7 * (7/2 - 7/3))
[673410] ['1/5', '2/7', '7/2', '7/4', '7/8'] -> (7/2 / 2/7 + 7/4 / 1/5) / 7/8
[673413] ['1/5', '2/7', '7/2', '7/4', '8/5'] -> (7/2 - 2/7 * 7/4) / 1/5 * 8/5
[673414] ['1/5', '2/7', '7/2', '7/4', '8/7'] -> (7/2 / 2/7 + 7/4 / 1/5) * 8/7
[673422] ['1/5', '2/7', '7/2', '7/5', '7/6'] -> (7/2 + 7/5 / 1/5 / 2/7) / 7/6
[673423] ['1/5', '2/7', '7/2', '7/5', '7/8'] -> (7/5 / 1/5 / 2/7 - 7/2) / 7/8
[673426] ['1/5', '2/7', '7/2', '7/5', '8/5'] -> 7/2 / 1/5 + 7/5 / 2/7 + 8/5
[673427] ['1/5', '2/7', '7/2', '7/5', '8/7'] -> (7/5 / 1/5 / 2/7 - 7/2) * 8/7
[673441] ['1/5', '2/7', '7/2', '7/6', '9/2'] -> 2/7 * (7/2 / 1/5 + 7/6) * 9/2
[673442] ['1/5', '2/7', '7/2', '7/6', '9/4'] -> 7/2 / (2/7 * 7/6 - 1/5) - 9/4
[673454] ['1/5', '2/7', '7/2', '7/8', '9/5'] -> 9/5 / (1/5 + 7/8 - 2/7 * 7/2)
[673458] ['1/5', '2/7', '7/2', '7/9', '8/3'] -> 8/3 / (2/7 * (7/9 / 1/5 - 7/2))
[673469] ['1/5', '2/7', '7/2', '8/3', '8/7'] -> 8/7 / (1/5 * 2/7 * (7/2 - 8/3))
[673478] ['1/5', '2/7', '7/2', '8/5', '8/9'] -> 7/2 * (8/5 / 1/5 - 2/7) * 8/9
[673479] ['1/5', '2/7', '7/2', '8/5', '9/2'] -> 8/5 / (2/7 - 1/5) / 7/2 * 9/2
[673481] ['1/5', '2/7', '7/2', '8/5', '9/5'] -> 9/5 / (7/2 * (1/5 - 2/7 / 8/5))
[673483] ['1/5', '2/7', '7/2', '8/5', '9/8'] -> 7/2 * (8/5 / 1/5 - 2/7) / 9/8
[673484] ['1/5', '2/7', '7/2', '8/7', '8/7'] -> 7/2 * (2/7 + 8/7 / 1/5) * 8/7
[673512] ['1/5', '2/7', '7/3', '7/3', '7/3'] -> (7/3 + 7/3) / 1/5 + 2/7 * 7/3
[673513] ['1/5', '2/7', '7/3', '7/3', '7/4'] -> (7/3 / 1/5 + 7/3 - 2/7) * 7/4
[673519] ['1/5', '2/7', '7/3', '7/3', '8/5'] -> (2/7 * 7/3 + 7/3) / 1/5 * 8/5
[673521] ['1/5', '2/7', '7/3', '7/3', '8/9'] -> 7/3 / (2/7 - 1/5) - 7/3 - 8/9
[673547] ['1/5', '2/7', '7/3', '7/5', '8/7'] -> 8/7 / (1/5 * 7/3 / 7/5 - 2/7)
[673558] ['1/5', '2/7', '7/3', '7/6', '8/5'] -> 8/5 / (1/5 * 2/7 * (7/3 - 7/6))
[673563] ['1/5', '2/7', '7/3', '7/6', '9/5'] -> (7/3 + 2/7 * 7/6) / 1/5 * 9/5
[673574] ['1/5', '2/7', '7/3', '7/8', '9/5'] -> 7/3 / (7/8 - 1/5 / 2/7) * 9/5
[673579] ['1/5', '2/7', '7/3', '7/9', '8/5'] -> 8/5 / (7/3 * (2/7 - 1/5 / 7/9))
[673589] ['1/5', '2/7', '7/3', '8/3', '8/7'] -> (7/3 / 1/5 + 8/3 / 2/7) * 8/7
[673594] ['1/5', '2/7', '7/3', '8/3', '9/7'] -> 2/7 + (7/3 + 8/3) / 1/5 - 9/7
[673599] ['1/5', '2/7', '7/3', '8/5', '9/2'] -> 2/7 * 7/3 * 8/5 / 1/5 * 9/2
[673636] ['1/5', '2/7', '7/4', '7/4', '7/9'] -> (7/4 / (2/7 - 1/5) - 7/4) / 7/9
[673644] ['1/5', '2/7', '7/4', '7/4', '9/7'] -> (7/4 / (2/7 - 1/5) - 7/4) * 9/7
[673655] ['1/5', '2/7', '7/4', '7/5', '9/4'] -> 7/4 + 7/5 / 1/5 / 2/7 - 9/4
[673666] ['1/5', '2/7', '7/4', '7/6', '9/2'] -> (7/6 / 1/5 - 2/7 * 7/4) * 9/2
[673667] ['1/5', '2/7', '7/4', '7/6', '9/4'] -> 7/4 / 1/5 / 2/7 / 7/6 - 9/4
[673668] ['1/5', '2/7', '7/4', '7/6', '9/5'] -> 9/5 / ((1/5 * 7/4 - 2/7) * 7/6)
[673673] ['1/5', '2/7', '7/4', '7/8', '8/3'] -> (7/4 / 1/5 + 2/7 * 7/8) * 8/3
[673678] ['1/5', '2/7', '7/4', '7/8', '9/4'] -> (7/4 / 2/7 - 7/8) / 1/5 - 9/4
[673688] ['1/5', '2/7', '7/4', '7/9', '9/4'] -> 7/4 / (2/7 - 1/5) / 7/9 - 9/4
[673692] ['1/5', '2/7', '7/4', '8/3', '8/3'] -> 8/3 / 1/5 / 2/7 / 7/4 - 8/3
[673703] ['1/5', '2/7', '7/4', '8/5', '8/9'] -> 8/5 / (1/5 * 7/4 - 2/7) - 8/9
[673704] ['1/5', '2/7', '7/4', '8/5', '9/2'] -> 8/5 / (2/7 * 7/4 - 1/5) * 9/2
[673712] ['1/5', '2/7', '7/4', '8/7', '9/4'] -> 7/4 + 8/7 / 1/5 / 2/7 + 9/4
[673723] ['1/5', '2/7', '7/4', '9/2', '9/4'] -> 9/2 / (2/7 - 1/5 / 7/4) - 9/4
[673741] ['1/5', '2/7', '7/5', '7/5', '8/3'] -> (2/7 * 7/5 + 7/5) / 1/5 * 8/3
[673751] ['1/5', '2/7', '7/5', '7/6', '7/8'] -> 7/5 / 1/5 / 2/7 / 7/6 / 7/8
[673755] ['1/5', '2/7', '7/5', '7/6', '8/7'] -> 7/5 / 1/5 / 2/7 / 7/6 * 8/7
[673757] ['1/5', '2/7', '7/5', '7/6', '9/2'] -> (7/5 - 2/7 * 7/6) / 1/5 * 9/2
[673760] ['1/5', '2/7', '7/5', '7/6', '9/7'] -> 9/7 / (1/5 / (7/5 / 2/7 - 7/6))
[673770] ['1/5', '2/7', '7/5', '7/8', '9/5'] -> 9/5 / (1/5 / 2/7 - 7/8 / 7/5)
[673771] ['1/5', '2/7', '7/5', '7/8', '9/7'] -> 9/7 / ((2/7 - 1/5) * 7/8 / 7/5)
[673776] ['1/5', '2/7', '7/5', '7/9', '8/7'] -> 7/5 / (2/7 - 1/5) / 7/9 * 8/7
[673787] ['1/5', '2/7', '7/5', '8/3', '9/2'] -> 2/7 * 7/5 * 8/3 / 1/5 * 9/2
[673789] ['1/5', '2/7', '7/5', '8/3', '9/5'] -> 8/3 / (2/7 * 7/5 - 1/5) * 9/5
[673790] ['1/5', '2/7', '7/5', '8/3', '9/7'] -> 9/7 / ((2/7 - 1/5 / 7/5) / 8/3)
[673793] ['1/5', '2/7', '7/5', '8/5', '8/7'] -> (8/5 / 2/7 - 7/5) / 1/5 * 8/7
[673797] ['1/5', '2/7', '7/5', '8/5', '9/5'] -> 8/5 / (2/7 - 1/5) / 7/5 * 9/5
[673801] ['1/5', '2/7', '7/5', '8/7', '8/9'] -> (7/5 + 8/7 / 2/7) / 1/5 * 8/9
[673805] ['1/5', '2/7', '7/5', '8/7', '9/7'] -> 9/7 / ((2/7 - 1/5) / 7/5 / 8/7)
[673806] ['1/5', '2/7', '7/5', '8/7', '9/8'] -> (7/5 + 8/7 / 2/7) / 1/5 / 9/8
[673835] ['1/5', '2/7', '7/6', '7/6', '9/2'] -> 2/7 * 7/6 + 7/6 + 9/2 / 1/5
[673836] ['1/5', '2/7', '7/6', '7/6', '9/4'] -> (7/6 / 2/7 + 7/6) / 1/5 - 9/4
[673843] ['1/5', '2/7', '7/6', '7/8', '8/5'] -> 8/5 / (7/6 * (2/7 - 1/5 / 7/8))
[673852] ['1/5', '2/7', '7/6', '7/9', '8/3'] -> 8/3 / (1/5 * 2/7 * (7/6 + 7/9))
[673853] ['1/5', '2/7', '7/6', '7/9', '8/5'] -> 7/6 / (7/9 - 1/5 / 2/7) * 8/5
[673857] ['1/5', '2/7', '7/6', '7/9', '9/4'] -> 7/6 / 1/5 / 2/7 / 7/9 - 9/4
[673861] ['1/5', '2/7', '7/6', '8/3', '8/3'] -> 8/3 / (2/7 - 1/5) / 7/6 - 8/3
[673862] ['1/5', '2/7', '7/6', '8/3', '8/5'] -> (2/7 * 7/6 + 8/3) / 1/5 * 8/5
[673866] ['1/5', '2/7', '7/6', '8/3', '9/4'] -> (8/3 - 7/6) / 1/5 / 2/7 - 9/4
[673867] ['1/5', '2/7', '7/6', '8/3', '9/5'] -> 9/5 / (1/5 - 2/7 * 7/6 / 8/3)
[673873] ['1/5', '2/7', '7/6', '8/5', '9/2'] -> 9/2 / (7/6 * (2/7 - 1/5 / 8/5))
[673888] ['1/5', '2/7', '7/6', '8/9', '9/5'] -> 8/9 / 1/5 / 2/7 / 7/6 * 9/5
[673902] ['1/5', '2/7', '7/6', '9/5', '9/8'] -> 9/5 / 1/5 / 2/7 / 7/6 / 9/8
[673943] ['1/5', '2/7', '7/8', '8/5', '9/8'] -> 9/8 / ((2/7 - 1/5) * 7/8 / 8/5)
[673946] ['1/5', '2/7', '7/8', '8/7', '9/2'] -> 2/7 / (8/7 - 7/8) / 1/5 * 9/2
[673964] ['1/5', '2/7', '7/8', '9/4', '9/7'] -> 9/7 / (2/7 / 1/5 + 7/8 - 9/4)
[673973] ['1/5', '2/7', '7/9', '7/9', '8/3'] -> 8/3 / 1/5 / (7/9 - 2/7 * 7/9)
[673974] ['1/5', '2/7', '7/9', '7/9', '8/5'] -> 8/5 / (2/7 * 7/9 - 1/5 * 7/9)
[674009] ['1/5', '2/7', '7/9', '8/9', '9/5'] -> 8/9 / (2/7 - 1/5) / 7/9 * 9/5
[674023] ['1/5', '2/7', '7/9', '9/5', '9/8'] -> 9/5 / (2/7 - 1/5) / 7/9 / 9/8
[674027] ['1/5', '2/7', '8/3', '8/3', '8/3'] -> 8/3 / (2/7 - 1/5) - 8/3 * 8/3
[674033] ['1/5', '2/7', '8/3', '8/3', '9/5'] -> (8/3 / 2/7 + 8/3) * (1/5 + 9/5)
[674051] ['1/5', '2/7', '8/3', '8/9', '8/9'] -> (8/3 + 8/9 / 1/5) / 2/7 - 8/9
[674067] ['1/5', '2/7', '8/3', '9/5', '9/7'] -> 9/7 / (2/7 / (1/5 + 9/5) / 8/3)
[674069] ['1/5', '2/7', '8/3', '9/7', '9/7'] -> 9/7 / ((2/7 / 1/5 - 9/7) / 8/3)
[674078] ['1/5', '2/7', '8/5', '8/5', '9/7'] -> 9/7 / (2/7 / 8/5 - 1/5 / 8/5)
[674086] ['1/5', '2/7', '8/5', '8/7', '9/8'] -> 9/8 / ((2/7 - 1/5) / 8/5 / 8/7)
[674094] ['1/5', '2/7', '8/5', '9/2', '9/4'] -> 9/2 / (8/5 - 2/7 / 1/5) - 9/4
[674115] ['1/5', '2/7', '8/7', '8/9', '8/9'] -> (8/7 / 1/5 + 8/9) / 2/7 + 8/9
[674116] ['1/5', '2/7', '8/7', '8/9', '9/2'] -> (2/7 + 8/7 / 1/5) * 8/9 * 9/2
[674122] ['1/5', '2/7', '8/7', '9/2', '9/4'] -> 9/2 / (8/7 - 2/7) / 1/5 - 9/4
[674125] ['1/5', '2/7', '8/7', '9/2', '9/8'] -> (2/7 + 8/7 / 1/5) * 9/2 / 9/8
[674140] ['1/5', '2/7', '8/9', '8/9', '9/7'] -> (8/9 / 1/5 + 8/9) / 2/7 * 9/7
[674152] ['1/5', '2/7', '8/9', '9/5', '9/7'] -> 9/7 / ((2/7 - 1/5) / 8/9 / 9/5)
[674165] ['1/5', '2/7', '9/2', '9/4', '9/8'] -> (9/2 / 2/7 + 9/4 / 1/5) / 9/8
[674168] ['1/5', '2/7', '9/2', '9/5', '9/8'] -> (9/5 / 1/5 / 2/7 - 9/2) / 9/8
[674181] ['1/5', '2/7', '9/4', '9/8', '9/8'] -> 9/4 / (2/7 - 1/5) - 9/8 - 9/8
[674189] ['1/5', '2/7', '9/7', '9/7', '9/8'] -> (9/7 / 1/5 + 9/7) / 2/7 / 9/8
[674193] ['1/5', '2/9', '2/9', '2/9', '3/2'] -> 2/9 / 1/5 / 2/9 / 2/9 + 3/2
[674198] ['1/5', '2/9', '2/9', '2/9', '4/3'] -> ((4/3 - 2/9) / 1/5 - 2/9) / 2/9
[674199] ['1/5', '2/9', '2/9', '2/9', '4/5'] -> (2/9 + (2/9 + 4/5) / 1/5) / 2/9
[674205] ['1/5', '2/9', '2/9', '2/9', '5/6'] -> (2/9 + 2/9) / (2/9 - 1/5) / 5/6
[674206] ['1/5', '2/9', '2/9', '2/9', '5/7'] -> (2/9 + 2/9 / 5/7) / (2/9 - 1/5)
[674208] ['1/5', '2/9', '2/9', '2/9', '5/9'] -> 5/9 / (2/9 - 1/5) - 2/9 / 2/9
[674209] ['1/5', '2/9', '2/9', '2/9', '6/5'] -> (2/9 + 2/9) * 6/5 / (2/9 - 1/5)
[674214] ['1/5', '2/9', '2/9', '2/9', '7/5'] -> (2/9 + 2/9 * 7/5) / (2/9 - 1/5)
[674218] ['1/5', '2/9', '2/9', '2/9', '8/3'] -> 8/3 / (2/9 / 1/5 - 2/9 / 2/9)
[674221] ['1/5', '2/9', '2/9', '2/9', '8/9'] -> ((2/9 + 8/9) / 1/5 - 2/9) / 2/9
[674233] ['1/5', '2/9', '2/9', '3/2', '4/5'] -> 4/5 / (1/5 * (3/2 - 2/9) - 2/9)
[674241] ['1/5', '2/9', '2/9', '3/2', '5/8'] -> 2/9 * 3/2 / (2/9 - 1/5) / 5/8
[674252] ['1/5', '2/9', '2/9', '3/2', '8/3'] -> 8/3 / 1/5 / (2/9 + 2/9 * 3/2)
[674266] ['1/5', '2/9', '2/9', '3/4', '4/5'] -> 4/5 / 2/9 / (1/5 / 2/9 - 3/4)
[674275] ['1/5', '2/9', '2/9', '3/4', '5/9'] -> 2/9 / (2/9 - 1/5) / 3/4 / 5/9
[674286] ['1/5', '2/9', '2/9', '3/4', '8/5'] -> 8/5 / 1/5 / ((2/9 + 2/9) * 3/4)
[674291] ['1/5', '2/9', '2/9', '3/4', '9/5'] -> 2/9 / (2/9 - 1/5) / 3/4 * 9/5
[674297] ['1/5', '2/9', '2/9', '3/5', '4/3'] -> 4/3 / (2/9 / (1/5 + 3/5) - 2/9)
[674315] ['1/5', '2/9', '2/9', '3/5', '7/8'] -> 2/9 * 3/5 / (1/5 - 2/9 * 7/8)
[674319] ['1/5', '2/9', '2/9', '3/5', '8/7'] -> 2/9 * 3/5 / (1/5 - 2/9 / 8/7)
[674361] ['1/5', '2/9', '2/9', '3/8', '4/9'] -> (4/9 / 1/5 - 2/9) / (2/9 * 3/8)
[674368] ['1/5', '2/9', '2/9', '3/8', '5/9'] -> 2/9 / 1/5 / 2/9 / 3/8 / 5/9
[674369] ['1/5', '2/9', '2/9', '3/8', '6/5'] -> 3/8 / (2/9 - 1/5) * (2/9 + 6/5)
[674378] ['1/5', '2/9', '2/9', '3/8', '8/3'] -> 2/9 / (2/9 - 1/5) / 3/8 - 8/3
[674379] ['1/5', '2/9', '2/9', '3/8', '8/5'] -> 8/5 / ((2/9 - 1/5 * 2/9) * 3/8)
