[26596] ['7/6', '6/5', '8/3', '8/3', '4'] -> ((8/3 + 8/3) * (7/6 + (4 / 6/5)))
[26700] ['1/4', '3/5', '9/7', '2', '8/3'] -> (((2 / 9/7) + (8/3 / 3/5)) / 1/4)
[26701] ['1/6', '9/8', '5/3', '5/2', '4'] -> (((9/8 + 5/2) * (5/3 * 4)) - 1/6)
[26702] ['1/6', '1/3', '4/7', '6/5', '6'] -> ((6 / (1/3 - (1/6 * 4/7))) - 6/5)
[26703] ['2/7', '5/8', '6/7', '8/3', '8'] -> (8 / ((8/3 * (6/7 - 5/8)) - 2/7))
[26704] ['4/9', '1/2', '9/8', '7/4', '4'] -> ((7/4 / (9/8 * (1/2 - 4/9))) - 4)
[26705] ['1/6', '9/8', '5/3', '8/3', '4'] -> (((5/3 + (9/8 * 8/3)) / 1/6) - 4)
[26706] ['3/2', '8/5', '7/3', '8/3', '3'] -> (7/3 / ((3 / 8/5) - (8/3 / 3/2)))
[26707] ['1/6', '1/3', '4/7', '8/5', '6'] -> (6 / (4/7 * (1/3 + (1/6 / 8/5))))
[26708] ['2/7', '5/8', '6/7', '9/2', '8'] -> (9/2 * ((2/7 / 6/7) + (5/8 * 8)))
[26709] ['7/8', '9/8', '9/7', '3/2', '6'] -> (6 / ((7/8 - 3/2) + (9/8 / 9/7)))
[26710] ['3/2', '8/5', '7/3', '3', '7/2'] -> (8/5 * (7/2 + (3 * (3/2 + 7/3))))
[26711] ['1/7', '4/9', '4/5', '5/3', '9'] -> (9 * (4/5 + (4/9 / (1/7 * 5/3))))
[26712] ['1/2', '3/4', '1', '7/5', '7/4'] -> (1/2 / (3/4 - (7/4 / (1 + 7/5))))
[26713] ['1/6', '4/9', '4/5', '7/4', '5'] -> (1/6 / (4/9 - (7/4 / (4/5 * 5))))
[26714] ['1/8', '3/7', '4/3', '5/2', '5'] -> (5 / (4/3 - (3/7 * (1/8 + 5/2))))
[26715] ['1/3', '9/7', '5/2', '5/2', '4'] -> ((9/7 * 4) * (5/2 - (1/3 - 5/2)))
[26716] ['1/6', '9/8', '7/4', '9/5', '4'] -> (9/5 * (4 + (7/4 / (1/6 * 9/8))))
[26717] ['1/4', '3/5', '4/3', '3/2', '2'] -> ((2 + (3/2 / 3/5)) / (1/4 / 4/3))
[26718] ['2/7', '5/8', '7/8', '8/9', '8'] -> (8 / (8/9 * (5/8 - (2/7 * 7/8))))
[26719] ['3/2', '8/5', '3', '7/2', '7/2'] -> ((3/2 * 8/5) * (7/2 + (3 + 7/2)))
[26720] ['2/9', '5/8', '3/4', '7/5', '5'] -> ((7/5 + 5) / (3/4 * (2/9 / 5/8)))
[26721] ['3/8', '3/7', '6/7', '6/5', '3'] -> (3 / (6/7 - (3/8 + (3/7 / 6/5))))
[26722] ['1/6', '4/9', '4/5', '7/3', '5'] -> ((4/5 * 7/3) / (1/6 - (4/9 / 5)))
[26723] ['1/6', '9/8', '7/4', '7/3', '4'] -> (4 * ((9/8 / 1/6) - (7/4 / 7/3)))
[26724] ['7/6', '5/4', '7/5', '7/5', '4'] -> ((7/5 / (5/4 - (7/5 / 7/6))) - 4)
[26725] ['2/7', '5/8', '7/8', '6/5', '8'] -> ((8 / (2/7 / 5/8)) / (7/8 / 6/5))
[26726] ['1/3', '9/7', '8/3', '4', '9/2'] -> (((8/3 * 9/2) / (1/3 * 9/7)) - 4)
[26727] ['2/9', '5/8', '3/4', '8/5', '5'] -> ((5 - (5/8 * 8/5)) / (2/9 * 3/4))
[26728] ['3/2', '5/3', '5/3', '5/3', '3'] -> ((3 + (5/3 / 5/3)) / (5/3 - 3/2))
[26729] ['7/6', '5/4', '7/5', '8/5', '4'] -> (7/5 / (8/5 - (5/4 + (7/6 / 4))))
[26730] ['1/6', '1/3', '3/5', '5/8', '6'] -> ((1/6 * 6) / ((3/5 * 5/8) - 1/3))
[26731] ['3/8', '3/7', '6/7', '8/5', '3'] -> ((6/7 * 3) / (3/8 - (3/7 / 8/5)))
[26732] ['1/3', '9/7', '4', '9/2', '9/2'] -> (4 * ((9/2 / (1/3 * 9/7)) - 9/2))
[26733] ['1/9', '1/7', '5/8', '4/3', '3'] -> ((3 + (4/3 / 1/7)) / (5/8 - 1/9))
[26734] ['1/6', '4/9', '5/6', '5/6', '5'] -> ((5 + (5/6 + 5/6)) / (4/9 - 1/6))
[26735] ['2/7', '5/8', '7/8', '7/5', '8'] -> ((2/7 + (8 / 7/5)) / (7/8 - 5/8))
[26736] ['7/8', '9/8', '9/7', '9/2', '6'] -> (6 * ((9/2 / 7/8) - (9/7 / 9/8)))
[26737] ['1/7', '4/9', '4/5', '5/2', '9'] -> (5/2 * ((4/9 * 9) + (4/5 / 1/7)))
[26738] ['1/8', '3/7', '7/5', '8/5', '5'] -> ((5 / 1/8) / ((7/5 / 3/7) - 8/5))
[26739] ['1/6', '1/3', '3/5', '5/7', '6'] -> ((1/3 + 3/5) * (6 / (1/6 / 5/7)))
[26740] ['3/2', '5/3', '5/3', '9/5', '3'] -> ((3/2 * (5/3 + 5/3)) * (9/5 + 3))
[26741] ['7/8', '9/8', '4/3', '7/5', '6'] -> (((7/8 + 9/8) / (7/5 - 4/3)) - 6)
[26742] ['3/8', '3/7', '7/8', '8/9', '3'] -> ((3 / (3/8 * 3/7)) / (7/8 * 8/9))
[26743] ['3/2', '5/3', '5/3', '9/4', '3'] -> (3/2 + ((5/3 + 5/3) * (9/4 * 3)))
[26744] ['1/7', '4/9', '4/5', '8/3', '9'] -> (9 + (8/3 / (1/7 * (4/9 + 4/5))))
[26745] ['1/2', '3/4', '1', '3/2', '9/5'] -> ((1 / 1/2) / ((3/2 / 9/5) - 3/4))
[26746] ['1/6', '1/3', '3/5', '6/7', '6'] -> (((6 / 6/7) - 1/3) / (1/6 / 3/5))
[26747] ['3/2', '5/3', '5/3', '7/3', '3'] -> ((5/3 + 7/3) / ((3/2 + 5/3) - 3))
[26748] ['1/6', '4/9', '5/6', '8/7', '5'] -> ((5/6 + 5) * (8/7 / (4/9 - 1/6)))
[26749] ['1/6', '9/8', '9/5', '7/2', '4'] -> (9/5 / ((4 / (7/2 - 1/6)) - 9/8))
[26750] ['7/8', '9/8', '4/3', '7/4', '6'] -> (6 / (7/4 - ((7/8 + 9/8) / 4/3)))
[26751] ['2/9', '5/8', '7/9', '6/7', '5'] -> ((7/9 * 6/7) * (5 / (2/9 * 5/8)))
[26752] ['7/6', '5/4', '3/2', '5/3', '4'] -> (3/2 * ((5/3 / (5/4 - 7/6)) - 4))
[26753] ['1/8', '3/7', '7/5', '9/5', '5'] -> (5 / (((3/7 * 7/5) / 9/5) - 1/8))
[26754] ['1/2', '3/4', '1', '3/2', '8/3'] -> (3/2 / (1 - (3/4 + (1/2 / 8/3))))
[26755] ['1/4', '3/5', '7/5', '7/4', '2'] -> (2 * (((7/5 + 7/4) / 1/4) - 3/5))
[26756] ['1/6', '4/9', '5/6', '6/5', '5'] -> (6/5 / ((1/6 * 5/6) - (4/9 / 5)))
[26757] ['3/2', '5/3', '5/3', '3', '7/2'] -> (3/2 + (3 * (5/3 + (5/3 * 7/2))))
[26758] ['7/8', '9/8', '4/3', '9/5', '6'] -> (9/5 * (4/3 + (6 * (7/8 + 9/8))))
[26759] ['7/6', '5/4', '3/2', '9/5', '4'] -> ((5/4 * 9/5) * (4 * (7/6 + 3/2)))
[26760] ['1/7', '4/9', '5/6', '7/8', '9'] -> (9 + ((5/6 / 7/8) / (1/7 * 4/9)))
[26761] ['2/9', '5/8', '7/9', '7/8', '5'] -> ((5 + (2/9 + 7/9)) / (7/8 - 5/8))
[26762] ['1/2', '3/4', '1', '8/5', '5/3'] -> (8/5 / ((1/2 / 3/4) - (1 / 5/3)))
[26763] ['1/6', '9/8', '9/5', '4', '9/2'] -> (9/5 * ((4 * (9/2 - 9/8)) - 1/6))
[26764] ['1/7', '4/9', '5/6', '9/8', '9'] -> (9 * ((9/8 / (1/7 / 4/9)) - 5/6))
[26765] ['7/8', '9/8', '4/3', '7/2', '6'] -> (7/2 * ((4/3 / 7/8) + (6 / 9/8)))
[26766] ['2/9', '5/8', '7/9', '8/7', '5'] -> (((5 / 5/8) - 8/7) / (2/9 / 7/9))
[26767] ['1/3', '4/3', '7/5', '7/3', '4'] -> ((4/3 + (4 / (7/5 / 7/3))) / 1/3)
[26768] ['1/4', '3/5', '3/2', '3/2', '2'] -> (((3/2 / 3/5) + (3/2 + 2)) / 1/4)
[26769] ['7/6', '5/4', '8/5', '8/5', '4'] -> ((8/5 + (8/5 / 4)) / (5/4 - 7/6))
[26770] ['1/9', '1/7', '5/8', '9/4', '3'] -> (3 / (1/7 * (5/8 + (1/9 * 9/4))))
[26771] ['1/2', '3/4', '1', '8/5', '7/3'] -> (1 / ((3/4 / 1/2) - (7/3 / 8/5)))
[26772] ['4/9', '1/2', '8/7', '9/4', '4'] -> (4 / ((4/9 / 8/7) - (1/2 / 9/4)))
[26773] ['2/9', '5/8', '7/9', '7/6', '5'] -> ((7/9 / 7/6) * (5 / (2/9 * 5/8)))
[26774] ['1/8', '3/7', '7/5', '8/3', '5'] -> (((7/5 / 3/7) - 8/3) / (1/8 / 5))
[26775] ['1/7', '4/9', '5/6', '7/6', '9'] -> (4/9 * (((9 - 7/6) / 1/7) - 5/6))
[26776] ['3/8', '3/7', '7/8', '9/5', '3'] -> (9/5 * ((7/8 / (3/7 - 3/8)) - 3))
[26777] ['1/9', '1/7', '5/8', '7/3', '3'] -> ((3 / (1/9 * 7/3)) / (5/8 - 1/7))
[26778] ['1/4', '3/5', '3/2', '7/4', '2'] -> (((3/2 / 3/5) + (7/4 * 2)) / 1/4)
[26779] ['2/9', '5/8', '7/9', '6/5', '5'] -> (5 / (((2/9 + 7/9) / 6/5) - 5/8))
[26780] ['1/6', '1/3', '3/5', '9/4', '6'] -> (((9/4 * 6) - 1/6) / (1/3 / 3/5))
[26781] ['7/8', '9/8', '7/5', '9/4', '6'] -> (6 * ((7/8 / 7/5) + (9/8 + 9/4)))
[26782] ['7/6', '5/4', '8/5', '7/4', '4'] -> ((8/5 + 4) / ((7/4 / 5/4) - 7/6))
[26783] ['1/3', '4/3', '3/2', '8/5', '4'] -> ((4 / (1/3 + 4/3)) / (8/5 - 3/2))
[26784] ['1/2', '3/4', '1', '8/5', '9/2'] -> (9/2 / (((1/2 + 1) / 8/5) - 3/4))
[26785] ['1/4', '3/5', '3/2', '2', '7/3'] -> (2 / ((1/4 + 7/3) - (3/2 / 3/5)))
[26786] ['1/6', '4/9', '6/7', '6/7', '5'] -> ((4/9 + 5) * (6/7 / (1/6 / 6/7)))
[26787] ['1/2', '3/4', '1', '5/3', '5/3'] -> (1 / (5/3 - (3/4 * (1/2 + 5/3))))
[26788] ['1/6', '9/8', '7/3', '4', '9/2'] -> ((7/3 / ((9/8 / 9/2) - 1/6)) - 4)
[26789] ['7/8', '9/8', '7/5', '5/2', '6'] -> ((6 / 5/2) / ((7/8 * 7/5) - 9/8))
[26790] ['3/8', '3/7', '8/9', '8/9', '3'] -> (3 / ((8/9 / 8/9) - (3/8 / 3/7)))
[26791] ['1/4', '3/5', '3/2', '2', '7/2'] -> ((3/2 + 7/2) * (2 / (1/4 / 3/5)))
[26792] ['4/9', '1/2', '7/6', '7/6', '4'] -> ((7/6 / (7/6 - (1/2 / 4/9))) - 4)
[26793] ['1/7', '4/9', '5/6', '4/3', '9'] -> (4/3 / (9 - ((4/9 + 5/6) / 1/7)))
[26794] ['1/6', '4/9', '6/7', '7/8', '5'] -> ((5 / (4/9 - 1/6)) / (6/7 * 7/8))
[26795] ['1/3', '4/3', '8/5', '7/4', '4'] -> (((4 / (7/4 - 4/3)) - 8/5) / 1/3)
[26796] ['2/9', '5/8', '7/9', '3/2', '5'] -> (5 / ((3/2 * (7/9 - 2/9)) - 5/8))
[26797] ['1/4', '3/5', '3/2', '2', '9/2'] -> (2 / ((1/4 / 3/5) - (3/2 / 9/2)))
[26798] ['3/2', '5/3', '5/2', '5/2', '3'] -> ((3 + (5/2 / 5/2)) / (5/3 - 3/2))
[26799] ['1/8', '3/7', '3/2', '5/3', '5'] -> (((5 / (3/2 - 3/7)) - 5/3) / 1/8)
[26800] ['1/7', '4/9', '5/6', '3/2', '9'] -> (4/9 * (3/2 + (9 / (1/7 / 5/6))))
[26801] ['1/6', '1/3', '5/8', '6/7', '6'] -> ((6/7 / (1/3 * 5/8)) * (6 - 1/6))
[26802] ['3/2', '7/4', '7/4', '7/4', '3'] -> ((3/2 / 7/4) / (7/4 - (3 / 7/4)))
[26803] ['1/6', '4/9', '6/7', '8/9', '5'] -> (6/7 * ((5 / 1/6) - (8/9 / 4/9)))
[26804] ['7/8', '9/8', '7/5', '9/2', '6'] -> (6 * ((7/8 / 7/5) - (9/8 - 9/2)))
[26805] ['4/9', '1/2', '7/6', '7/5', '4'] -> (4 / (7/5 * (1/2 - (4/9 / 7/6))))
[26806] ['1/9', '1/7', '2/3', '3/4', '3'] -> (((2/3 / (1/7 - 1/9)) - 3) / 3/4)
[26807] ['1/2', '3/4', '1', '5/3', '9/2'] -> (1 / ((3/4 * 9/2) - (5/3 / 1/2)))
[26808] ['2/9', '5/8', '7/9', '5/3', '5'] -> ((5 / (5/8 / 5/3)) / (7/9 - 2/9))
[26809] ['1/8', '3/7', '3/2', '9/5', '5'] -> ((9/5 / 3/7) / ((3/2 / 5) - 1/8))
[26810] ['2/7', '5/8', '8/9', '8/5', '8'] -> (8/9 * ((8 / 2/7) - (5/8 * 8/5)))
[26811] ['1/4', '3/5', '5/3', '5/3', '2'] -> ((5/3 + (5/3 * (3/5 + 2))) / 1/4)
[26812] ['7/6', '5/4', '7/4', '9/5', '4'] -> (4 / (9/5 - (7/4 * (7/6 / 5/4))))
[26813] ['1/6', '4/9', '6/7', '8/7', '5'] -> ((5 / (4/9 - 1/6)) / (6/7 / 8/7))
[26814] ['7/8', '9/8', '8/5', '5/3', '6'] -> (((7/8 + 9/8) / (5/3 - 8/5)) - 6)
[26815] ['1/7', '4/9', '5/6', '7/4', '9'] -> (((9 / 4/9) - (1/7 * 7/4)) / 5/6)
[26816] ['1/2', '3/4', '1', '7/4', '7/3'] -> (1/2 / (7/3 - (1 + (3/4 * 7/4))))
[26817] ['3/2', '7/4', '7/4', '8/3', '3'] -> (8/3 * ((3 * (7/4 + 7/4)) - 3/2))
[26818] ['1/9', '1/7', '2/3', '5/6', '3'] -> ((3 / (1/7 * 2/3)) - (5/6 / 1/9))
[26819] ['7/6', '5/4', '7/4', '7/3', '4'] -> ((5/4 + 7/4) * (4 / (7/6 / 7/3)))
[26820] ['1/6', '4/9', '6/7', '7/6', '5'] -> ((4/9 + 5) / (7/6 * (1/6 / 6/7)))
[26821] ['2/9', '5/8', '7/9', '9/4', '5'] -> (((7/9 + 9/4) / (5/8 / 5)) - 2/9)
[26822] ['1/4', '3/5', '5/3', '7/4', '2'] -> (5/3 * (((7/4 + 2) / 1/4) - 3/5))
[26823] ['1/6', '1/3', '5/8', '7/5', '6'] -> ((7/5 - 1/3) * (6 / (1/6 / 5/8)))
[26824] ['1/8', '3/7', '3/2', '5/2', '5'] -> (((3/2 / 3/7) - (5/2 / 5)) / 1/8)
