[230491] ['7/8', '8/5', '5/3', '7/2', '8'] -> (5/3 * (8 + (7/2 / (7/8 / 8/5))))
[230517] ['5/7', '9/7', '8/3', '7/2', '6'] -> ((8/3 * 6) * (7/2 - (5/7 + 9/7)))
[230518] ['1/7', '2/3', '7/8', '1', '5/4'] -> ((1 / 1/7) / ((2/3 + 7/8) - 5/4))
[230519] ['2/9', '2/9', '4/9', '1', '4/3'] -> ((((4/3 / 2/9) - 4/9) / 2/9) - 1)
[230520] ['4/5', '7/5', '7/5', '7/4', '2'] -> (7/5 / ((7/4 / (2 - 4/5)) - 7/5))
[230521] ['1/6', '3/8', '3/4', '7/9', '7'] -> (7 / (3/4 - (1/6 + (3/8 * 7/9))))
[230522] ['7/8', '8/5', '9/5', '9/5', '8'] -> ((8/5 * 8) * (7/8 + (9/5 / 9/5)))
[230523] ['3/7', '7/9', '8/5', '8/3', '7'] -> (8/5 * (7 + (8/3 / (3/7 * 7/9))))
[230524] ['1/5', '3/8', '5/8', '3/2', '2'] -> (3/2 / ((3/8 / 2) - (1/5 * 5/8)))
[230525] ['5/7', '9/7', '7/2', '7/2', '6'] -> ((7/2 + 7/2) * (6 * (9/7 - 5/7)))
[230526] ['9/8', '8/7', '8/5', '8/5', '9'] -> ((8/5 + (8/5 / 8/7)) / (9/8 / 9))
[230527] ['3/8', '6/7', '7/5', '7/2', '8'] -> ((8 + (7/2 / 7/5)) / (3/8 / 6/7))
[230528] ['5/7', '9/7', '9/2', '9/2', '6'] -> (6 + ((5/7 + 9/7) * (9/2 + 9/2)))
[230529] ['9/8', '9/7', '8/5', '7/4', '5'] -> ((8/5 + (9/7 / 9/8)) * (7/4 * 5))
[230530] ['1/7', '2/3', '7/8', '1', '7/5'] -> ((1 / (1/7 * 7/5)) / (7/8 - 2/3))
[230531] ['2/5', '1/2', '2/3', '9/7', '6'] -> (2/3 + (6 / (9/7 * (2/5 * 1/2))))
[230532] ['4/5', '7/5', '7/5', '2', '9/4'] -> (2 / ((7/5 / (7/5 - 4/5)) - 9/4))
[230533] ['3/8', '6/7', '7/5', '9/2', '8'] -> ((6/7 * 7/5) * (8 + (9/2 / 3/8)))
[230534] ['3/7', '7/9', '8/5', '9/2', '7'] -> ((7/9 + 7) * (9/2 * (3/7 * 8/5)))
[230535] ['7/8', '8/5', '9/5', '9/2', '8'] -> (9/5 / ((7/8 - 8) + (8/5 * 9/2)))
[230536] ['1/5', '3/8', '5/8', '2', '5/2'] -> ((5/2 / (1/5 / 2)) - (3/8 + 5/8))
[230537] ['1/9', '1/9', '9/8', '8/5', '2'] -> (((2 / 9/8) - 1/9) / (1/9 / 8/5))
[230538] ['9/8', '9/7', '8/5', '9/5', '5'] -> ((8/5 + 5) / ((9/5 / 9/7) - 9/8))
[230539] ['5/7', '4/3', '4/3', '7/5', '6'] -> ((4/3 * 6) / (4/3 - (5/7 * 7/5)))
[230540] ['1/2', '1/2', '3/5', '7/8', '6'] -> ((1/2 + (6 / 3/5)) / (1/2 * 7/8))
[230541] ['3/7', '7/9', '5/3', '5/3', '7'] -> ((7 + (5/3 / 5/3)) / (3/7 * 7/9))
[230542] ['2/9', '2/9', '4/9', '1', '7/4'] -> (7/4 + ((4/9 + (1 / 2/9)) / 2/9))
[230543] ['1/9', '1/9', '9/8', '7/4', '2'] -> (7/4 + ((1/9 + 9/8) / (1/9 / 2)))
[230544] ['7/8', '8/5', '9/4', '9/4', '8'] -> ((8/5 * 8) * (7/8 + (9/4 / 9/4)))
[230545] ['5/7', '4/3', '4/3', '3/2', '6'] -> ((4/3 + (4/3 / 5/7)) * (3/2 + 6))
[230546] ['1/6', '3/8', '3/4', '7/5', '7'] -> (7 / (7/5 * (3/4 - (1/6 + 3/8))))
[230547] ['1/7', '2/3', '7/8', '1', '9/5'] -> ((2/3 + 1) * (9/5 / (1/7 * 7/8)))
[230548] ['1/8', '3/8', '8/7', '7/5', '9'] -> (8/7 / ((1/8 / 7/5) - (3/8 / 9)))
[230549] ['1/4', '3/5', '7/9', '5/3', '3'] -> (((5/3 / 3/5) - 7/9) / (1/4 / 3))
[230550] ['3/8', '6/7', '3/2', '9/5', '8'] -> (9/5 * ((3/2 / 3/8) + (8 / 6/7)))
[230551] ['1/8', '3/8', '8/7', '3/2', '9'] -> ((8/7 / (1/8 + 3/8)) * (3/2 + 9))
[230552] ['9/8', '8/7', '8/5', '7/3', '9'] -> ((7/3 + (8/7 / 8/5)) * (9 - 9/8))
[230553] ['1/5', '3/8', '2/3', '5/7', '2'] -> ((2 / (3/8 - 1/5)) / (2/3 * 5/7))
[230554] ['1/2', '1/2', '3/5', '8/7', '6'] -> ((1/2 + (6 / 3/5)) / (1/2 / 8/7))
[230555] ['4/5', '7/5', '3/2', '3/2', '2'] -> ((2 * (4/5 * 3/2)) / (3/2 - 7/5))
[230556] ['2/9', '2/9', '4/9', '1', '7/3'] -> (((4/9 / 2/9) + (1 + 7/3)) / 2/9)
[230557] ['5/7', '4/3', '4/3', '9/5', '6'] -> ((6 / (5/7 / 4/3)) / (9/5 - 4/3))
[230558] ['1/8', '3/8', '8/7', '8/5', '9'] -> ((8/7 + 8/5) * (9 + (1/8 - 3/8)))
[230559] ['2/5', '1/2', '5/7', '4/5', '6'] -> ((2/5 * 6) / (4/5 - (1/2 / 5/7)))
[230560] ['1/4', '3/5', '7/9', '9/5', '3'] -> ((3/5 + (7/9 * 9/5)) / (1/4 / 3))
[230561] ['1/5', '3/8', '2/3', '3/4', '2'] -> ((((2 / 1/5) - 3/4) / 3/8) - 2/3)
[230562] ['3/7', '7/9', '5/3', '7/2', '7'] -> ((7/2 * (7 + (3/7 * 7/9))) - 5/3)
[230563] ['9/8', '9/7', '8/5', '7/2', '5'] -> (7/2 * ((8/5 * 5) - (9/7 / 9/8)))
[230564] ['9/8', '8/7', '8/5', '8/3', '9'] -> ((8/5 * (9/8 * 8/7)) * (8/3 + 9))
[230565] ['2/5', '1/2', '5/7', '7/8', '6'] -> (6 / (1/2 - (7/8 * (2/5 * 5/7))))
[230566] ['3/7', '7/9', '5/3', '9/2', '7'] -> ((3/7 * 9/2) * (7/9 + (5/3 * 7)))
[230567] ['7/8', '8/5', '7/3', '7/3', '8'] -> ((8/5 * 8) * (7/8 + (7/3 / 7/3)))
[230568] ['1/9', '1/9', '8/7', '8/7', '2'] -> (8/7 / (1/9 - ((1/9 * 8/7) / 2)))
[230569] ['1/7', '2/3', '8/9', '1', '9/8'] -> ((1 + (2/3 / 1/7)) / (9/8 - 8/9))
[230570] ['2/5', '1/2', '5/7', '8/9', '6'] -> (6 / ((1/2 / 5/7) - (2/5 / 8/9)))
[230571] ['9/8', '9/7', '5/3', '5/3', '5'] -> (5 / (5/3 - (5/3 * (9/8 / 9/7))))
[230572] ['5/7', '4/3', '4/3', '7/2', '6'] -> ((4/3 * 6) / (5/7 - (4/3 / 7/2)))
[230573] ['2/5', '1/2', '5/7', '9/8', '6'] -> (6 / ((1/2 / 5/7) - (2/5 * 9/8)))
[230574] ['4/5', '7/5', '3/2', '2', '5/2'] -> (2 / ((7/5 / 4/5) - (5/2 / 3/2)))
[230575] ['1/4', '3/5', '7/9', '8/3', '3'] -> (3 / ((1/4 / 3/5) - (7/9 / 8/3)))
[230576] ['9/8', '8/7', '8/5', '9/2', '9'] -> ((8/7 + 8/5) * (9 - (9/8 / 9/2)))
[230577] ['3/7', '7/9', '7/4', '9/5', '7'] -> ((7/4 + 7) * (3/7 + (9/5 / 7/9)))
[230578] ['1/5', '3/8', '2/3', '7/8', '2'] -> (2/3 + ((7/8 * 2) / (1/5 * 3/8)))
[230579] ['5/7', '4/3', '4/3', '9/2', '6'] -> ((4/3 + (5/7 * 4/3)) * (9/2 + 6))
[230580] ['1/2', '1/2', '5/8', '8/9', '6'] -> (6 / ((1/2 / 8/9) - (1/2 * 5/8)))
[230581] ['4/5', '7/5', '3/2', '2', '8/3'] -> (2 / (((8/3 - 7/5) / 4/5) - 3/2))
[230582] ['5/7', '4/3', '7/5', '7/5', '6'] -> (6 / (5/7 * (7/5 - (7/5 / 4/3))))
[230583] ['1/6', '3/8', '7/9', '9/8', '7'] -> ((7/9 * 7) / (3/8 - (1/6 / 9/8)))
[230584] ['2/9', '2/9', '1/2', '3/5', '1'] -> (((1/2 / 3/5) + (1 / 2/9)) / 2/9)
[230585] ['7/8', '8/5', '5/2', '8/3', '8'] -> (8 / ((7/8 * 8/5) - (8/3 / 5/2)))
[230586] ['3/8', '6/7', '8/5', '7/4', '8'] -> ((3/8 + (6/7 * 7/4)) * (8/5 * 8))
[230587] ['1/4', '3/5', '7/9', '3', '9/2'] -> ((3 - 7/9) * (9/2 / (1/4 / 3/5)))
[230588] ['1/8', '3/8', '7/6', '8/5', '9'] -> ((7/6 + (1/8 + 3/8)) * (8/5 * 9))
[230589] ['9/8', '9/7', '5/3', '5/2', '5'] -> (5 / ((9/8 / 9/7) - (5/3 / 5/2)))
[230590] ['3/7', '7/9', '7/4', '8/3', '7'] -> ((8/3 / 7) / ((7/9 / 7/4) - 3/7))
[230591] ['1/9', '1/9', '8/7', '9/7', '2'] -> (((1/9 + 9/7) / (1/9 / 2)) - 8/7)
[230592] ['1/4', '3/5', '4/5', '6/7', '3'] -> (3/5 / ((1/4 / 6/7) - (4/5 / 3)))
[230593] ['3/8', '6/7', '8/5', '9/4', '8'] -> (8/5 * (8 + (9/4 / (3/8 * 6/7))))
[230594] ['9/8', '8/7', '5/3', '7/3', '9'] -> (9 * ((5/3 / 8/7) - (9/8 - 7/3)))
[230595] ['1/2', '1/2', '5/8', '9/5', '6'] -> ((6 / 5/8) / ((1/2 * 9/5) - 1/2))
[230596] ['7/8', '8/5', '8/3', '9/2', '8'] -> (9/2 * ((7/8 * 8) - (8/3 / 8/5)))
[230597] ['4/5', '7/5', '8/5', '5/3', '2'] -> (2 / ((7/5 / (8/5 - 4/5)) - 5/3))
[230598] ['5/7', '4/3', '7/5', '9/5', '6'] -> (6 / ((9/5 / (4/3 * 7/5)) - 5/7))
[230599] ['2/5', '1/2', '5/7', '9/4', '6'] -> (6 * (9/4 + (1/2 / (2/5 * 5/7))))
[230600] ['1/2', '1/2', '2/3', '5/7', '6'] -> ((6 / (1/2 + 2/3)) / (5/7 - 1/2))
[230601] ['1/9', '1/9', '8/7', '7/5', '2'] -> (8/7 / ((2 * (1/9 / 7/5)) - 1/9))
[230602] ['1/7', '2/3', '8/9', '1', '7/4'] -> ((2/3 / (1/7 * 7/4)) / (1 - 8/9))
[230603] ['3/7', '7/9', '7/4', '9/2', '7'] -> ((7 / 9/2) / ((7/9 / 3/7) - 7/4))
[230604] ['5/7', '4/3', '7/5', '9/4', '6'] -> (6 * ((5/7 * 7/5) + (4/3 * 9/4)))
[230605] ['1/5', '3/8', '2/3', '4/3', '2'] -> (2 / (4/3 - (2/3 / (1/5 / 3/8))))
[230606] ['1/2', '1/2', '2/3', '4/5', '6'] -> ((1/2 + (6 / 4/5)) / (1/2 * 2/3))
[230607] ['1/4', '3/5', '4/5', '7/6', '3'] -> (3/5 / ((1/4 * 7/6) - (4/5 / 3)))
[230608] ['1/8', '3/8', '6/5', '9/7', '9'] -> ((9 / ((3/8 * 9/7) - 1/8)) - 6/5)
[230609] ['7/8', '8/5', '9/2', '9/2', '8'] -> ((8/5 * 8) * (7/8 + (9/2 / 9/2)))
[230610] ['1/9', '1/9', '8/7', '3/2', '2'] -> (3/2 / (1/9 - ((1/9 / 8/7) / 2)))
[230611] ['9/8', '9/7', '7/4', '7/4', '5'] -> ((7/4 + 5) / (7/4 * (9/7 - 9/8)))
[230612] ['1/2', '1/2', '2/3', '6/7', '6'] -> (6 / ((1/2 / 6/7) - (1/2 * 2/3)))
[230613] ['4/5', '7/5', '8/5', '7/4', '2'] -> ((4/5 + (7/5 * 2)) / (7/4 - 8/5))
[230614] ['2/5', '1/2', '5/7', '8/3', '6'] -> (6 / (5/7 * (1/2 - (2/5 / 8/3))))
[230615] ['9/8', '8/7', '7/4', '7/4', '9'] -> ((7/4 + 7/4) * ((9 / 9/8) - 8/7))
[230616] ['5/7', '4/3', '7/5', '5/2', '6'] -> ((5/7 * 7/5) + (6 * (4/3 + 5/2)))
[230617] ['9/8', '9/7', '7/4', '9/5', '5'] -> ((9/7 + 9/5) * (5 / (9/8 / 7/4)))
[230618] ['3/7', '7/9', '9/5', '9/4', '7'] -> ((9/5 - 3/7) * (9/4 * (7/9 + 7)))
[230619] ['1/2', '1/2', '2/3', '6/5', '6'] -> (6 / ((1/2 - 2/3) + (1/2 / 6/5)))
[230620] ['1/5', '3/8', '2/3', '7/4', '2'] -> ((2 / 2/3) / ((3/8 / 1/5) - 7/4))
[230621] ['4/5', '7/5', '8/5', '9/5', '2'] -> ((9/5 * 2) / ((7/5 / 4/5) - 8/5))
[230622] ['7/8', '5/3', '5/3', '9/4', '8'] -> ((8 * (7/8 + 9/4)) - (5/3 / 5/3))
[230623] ['3/7', '7/9', '9/5', '7/3', '7'] -> (9/5 * ((7 / 3/7) - (7/3 / 7/9)))
[230624] ['9/8', '9/7', '7/4', '7/3', '5'] -> ((5 * (9/7 * 7/3)) / (7/4 - 9/8))
[230625] ['2/5', '1/2', '3/4', '6/7', '6'] -> ((1/2 + (6 / (2/5 * 6/7))) / 3/4)
[230626] ['2/9', '2/9', '1/2', '1', '7/6'] -> (1 / (7/6 - (1/2 / (2/9 + 2/9))))
[230627] ['7/8', '5/3', '5/3', '5/2', '8'] -> (((5/3 / 5/3) + (5/2 * 8)) / 7/8)
[230628] ['1/9', '1/9', '8/7', '2', '5/2'] -> ((2 * 5/2) / (1/9 + (1/9 / 8/7)))
[230629] ['1/5', '3/8', '2/3', '2', '9/2'] -> ((2/3 * 9/2) / (2 - (3/8 / 1/5)))
[230630] ['5/7', '4/3', '3/2', '5/3', '6'] -> (6 / ((5/3 / (5/7 * 4/3)) - 3/2))
[230631] ['7/8', '5/3', '5/3', '8/3', '8'] -> ((8 / 8/3) / ((5/3 / 5/3) - 7/8))
[230632] ['1/6', '3/8', '7/9', '8/3', '7'] -> (((7/9 / 1/6) - (8/3 - 7)) / 3/8)
[230633] ['1/7', '2/3', '1', '9/8', '9/8'] -> ((9/8 + ((1 + 9/8) / 1/7)) / 2/3)
[230634] ['1/4', '3/5', '5/6', '8/9', '3'] -> ((3 / 1/4) / ((5/6 / 3/5) - 8/9))
[230635] ['9/8', '8/7', '7/4', '7/2', '9'] -> (9 / (7/2 - (9/8 + (8/7 * 7/4))))
[230636] ['1/4', '3/5', '5/6', '9/8', '3'] -> (3 / ((1/4 / 3/5) + (5/6 - 9/8)))
[230637] ['1/2', '1/2', '5/7', '4/5', '6'] -> ((4/5 * 6) / ((1/2 / 5/7) - 1/2))
[230638] ['3/8', '6/7', '5/3', '7/3', '8'] -> (8 * ((6/7 / 3/8) + (5/3 / 7/3)))
[230639] ['1/9', '1/9', '7/6', '7/6', '2'] -> (2 + ((7/6 + (1/9 + 7/6)) / 1/9))
[230640] ['9/8', '8/7', '7/4', '9/2', '9'] -> ((7/4 / (9/8 / 8/7)) * (9/2 + 9))
[230641] ['1/6', '3/8', '7/9', '9/2', '7'] -> ((7 / 7/9) / ((1/6 * 9/2) - 3/8))
[230642] ['7/8', '5/3', '7/4', '7/4', '8'] -> (8 / ((7/4 / (7/4 - 7/8)) - 5/3))
[230643] ['2/9', '2/9', '1/2', '1', '3/2'] -> (3/2 + ((1/2 + (1 / 2/9)) / 2/9))
[230644] ['1/8', '3/8', '9/7', '7/5', '9'] -> (((9 / 7/5) - (9/7 / 3/8)) / 1/8)
[230645] ['1/9', '1/9', '7/6', '6/5', '2'] -> (((7/6 * 2) - 1/9) / (1/9 / 6/5))
[230646] ['4/5', '7/5', '5/3', '2', '5/2'] -> (4/5 / ((7/5 / 2) - (5/3 / 5/2)))
[230647] ['2/9', '2/9', '1/2', '1', '8/5'] -> (1 / (1/2 * (2/9 - (2/9 / 8/5))))
[230648] ['1/7', '2/3', '1', '9/8', '5/4'] -> ((1 / 1/7) / (9/8 - (2/3 * 5/4)))
[230649] ['9/8', '8/7', '9/5', '9/5', '9'] -> ((9/5 + 9) / ((9/5 / 8/7) - 9/8))
[230650] ['1/4', '3/5', '5/6', '7/6', '3'] -> ((3/5 + (7/6 / 5/6)) / (1/4 / 3))
[230651] ['1/9', '1/9', '7/6', '9/7', '2'] -> (((1/9 / 7/6) + (9/7 * 2)) / 1/9)
[230652] ['4/5', '7/5', '5/3', '2', '7/2'] -> (2 / (7/2 - (5/3 + (7/5 / 4/5))))
[230653] ['3/8', '6/7', '5/3', '7/2', '8'] -> ((7/2 * (6/7 + 8)) / (5/3 - 3/8))
[230654] ['9/8', '8/7', '9/5', '7/3', '9'] -> (9 * ((9/8 / 9/5) + (7/3 / 8/7)))
[230655] ['1/9', '1/9', '7/6', '7/5', '2'] -> ((2 - (1/9 / 7/6)) / (1/9 / 7/5))
[230656] ['2/5', '1/2', '7/9', '6/7', '6'] -> (7/9 * (6/7 + (6 / (2/5 * 1/2))))
[230657] ['3/8', '6/7', '5/3', '9/2', '8'] -> (6/7 * (8 + (9/2 / (3/8 / 5/3))))
[230658] ['9/8', '9/7', '9/5', '7/2', '5'] -> (((9/5 * 5) - 9/7) / (9/8 / 7/2))
[230659] ['7/8', '5/3', '9/5', '8/3', '8'] -> (8 / (5/3 * (7/8 - (9/5 / 8/3))))
[230660] ['1/4', '3/5', '5/6', '4/3', '3'] -> (3 / (((3/5 * 5/6) / 4/3) - 1/4))
[230661] ['5/7', '4/3', '8/5', '5/3', '6'] -> (6 / (5/7 * (8/5 - (5/3 / 4/3))))
[230662] ['1/7', '2/3', '1', '9/8', '3/2'] -> ((1 / 1/7) / ((2/3 + 9/8) - 3/2))
[230663] ['9/8', '8/7', '9/5', '8/3', '9'] -> (9/5 * (9 + (8/7 * (9/8 + 8/3))))
[230664] ['1/9', '1/9', '7/6', '5/3', '2'] -> ((5/3 - 1/9) * (2 / (1/9 * 7/6)))
[230665] ['3/8', '6/7', '7/4', '9/5', '8'] -> ((9/5 * 8) * ((7/4 / 6/7) - 3/8))
[230666] ['2/5', '1/2', '7/9', '7/8', '6'] -> ((6 / 2/5) / ((7/8 / 7/9) - 1/2))
[230667] ['7/8', '5/3', '9/5', '9/2', '8'] -> (((7/8 + 9/2) / (5/3 / 8)) - 9/5)
[230668] ['4/5', '7/5', '7/4', '2', '8/3'] -> ((7/5 * 2) / (8/3 - (4/5 + 7/4)))
[230669] ['5/7', '4/3', '8/5', '7/4', '6'] -> ((8/5 + (6 / 5/7)) / (7/4 - 4/3))
[230670] ['3/8', '6/7', '7/4', '9/4', '8'] -> (8 * ((9/4 * (6/7 * 7/4)) - 3/8))
[230671] ['1/2', '1/2', '5/7', '9/5', '6'] -> (((9/5 / 1/2) + (6 / 5/7)) / 1/2)
[230672] ['1/6', '3/8', '4/5', '5/4', '7'] -> (7 / (4/5 - (3/8 + (1/6 / 5/4))))
[230673] ['2/5', '1/2', '7/9', '8/9', '6'] -> ((((6 - 8/9) / 2/5) - 7/9) / 1/2)
[230674] ['1/5', '3/8', '5/7', '7/6', '2'] -> (1/5 / ((3/8 - 2) + (7/6 / 5/7)))
[230675] ['5/7', '4/3', '8/5', '9/5', '6'] -> ((4/3 * 9/5) * (8/5 + (6 / 5/7)))
[230676] ['1/9', '1/9', '7/6', '2', '8/3'] -> ((7/6 * (8/3 + (2 / 1/9))) - 1/9)
[230677] ['3/8', '6/7', '7/4', '7/3', '8'] -> (((7/4 + 8) / 3/8) - (6/7 * 7/3))
[230678] ['7/8', '5/3', '9/4', '8/3', '8'] -> ((5/3 - 8/3) + (8 * (7/8 + 9/4)))
[230679] ['1/8', '3/8', '7/5', '7/4', '9'] -> (3/8 + ((1/8 + 7/4) * (7/5 * 9)))
[230680] ['9/8', '8/7', '9/4', '9/4', '9'] -> ((9/4 * 9) / ((9/4 / 8/7) - 9/8))
[230681] ['1/2', '1/2', '5/7', '5/2', '6'] -> (5/2 * (1/2 + ((1/2 + 6) / 5/7)))
[230682] ['1/6', '3/8', '4/5', '4/3', '7'] -> (7 / ((3/8 * 4/3) - (1/6 / 4/5)))
[230683] ['1/9', '1/9', '6/5', '5/4', '2'] -> ((2 + (1/9 * 6/5)) / (1/9 / 5/4))
[230684] ['7/8', '5/3', '9/4', '7/2', '8'] -> (8 / (9/4 - (5/3 + (7/8 / 7/2))))
[230685] ['3/8', '6/7', '7/4', '8/3', '8'] -> ((8/3 * 8) * ((6/7 * 7/4) - 3/8))
[230686] ['1/8', '3/8', '7/5', '9/4', '9'] -> (9 + ((3/8 + 9/4) / (1/8 * 7/5)))
[230687] ['1/7', '2/3', '1', '9/8', '9/4'] -> (((1 + (9/4 / 1/7)) / 2/3) - 9/8)
[230688] ['9/8', '9/7', '7/3', '7/3', '5'] -> (9/7 / (9/8 - (5 / (7/3 + 7/3))))
[230689] ['2/9', '2/9', '5/9', '5/8', '1'] -> (1 / ((2/9 / (5/9 - 2/9)) - 5/8))
[230690] ['5/7', '4/3', '8/5', '9/2', '6'] -> ((9/2 * (5/7 * 8/5)) * (6 - 4/3))
[230691] ['2/5', '1/2', '7/9', '7/6', '6'] -> (6 / ((7/6 / 7/9) - (1/2 / 2/5)))
[230692] ['7/8', '5/3', '7/3', '7/3', '8'] -> ((7/3 + (7/3 / 7/8)) / (5/3 / 8))
[230693] ['1/4', '3/5', '6/7', '6/7', '3'] -> (((6/7 / 6/7) + (3 / 3/5)) / 1/4)
[230694] ['1/7', '2/3', '1', '9/8', '7/3'] -> (1 / ((2/3 - 1/7) - (9/8 / 7/3)))
[230695] ['1/6', '3/8', '4/5', '3/2', '7'] -> (((1/6 * 3/2) + (7 / 4/5)) / 3/8)
[230696] ['2/9', '2/9', '5/9', '2/3', '1'] -> (((5/9 / 2/3) + (1 / 2/9)) / 2/9)
[230697] ['1/9', '1/9', '6/5', '4/3', '2'] -> ((((4/3 + 2) / 6/5) - 1/9) / 1/9)
[230698] ['4/5', '7/5', '9/5', '2', '7/2'] -> (2 * (4/5 + (7/2 * (7/5 + 9/5))))
[230699] ['9/8', '9/7', '7/3', '7/2', '5'] -> (5 / ((9/8 / 9/7) - (7/3 / 7/2)))
[230700] ['1/6', '3/8', '4/5', '9/5', '7'] -> (7 / ((1/6 + 4/5) - (3/8 * 9/5)))
[230701] ['1/9', '1/9', '6/5', '3/2', '2'] -> ((1/9 + (2 / 6/5)) / (1/9 / 3/2))
[230702] ['9/8', '8/7', '7/3', '7/2', '9'] -> (8/7 / (7/3 - (9 / (9/8 * 7/2))))
[230703] ['5/7', '4/3', '5/3', '9/4', '6'] -> (6 * (9/4 + (5/3 / (5/7 * 4/3))))
[230704] ['7/8', '5/3', '5/2', '7/2', '8'] -> ((7/2 + (5/3 * (5/2 + 8))) / 7/8)
[230705] ['9/8', '9/7', '7/3', '9/2', '5'] -> (7/3 * ((9/7 + 5) + (9/2 / 9/8)))
[230706] ['1/9', '1/9', '6/5', '8/5', '2'] -> (8/5 / (6/5 * (1/9 - (1/9 / 2))))
[230707] ['2/9', '2/9', '5/9', '7/9', '1'] -> ((7/9 + 1) / (2/9 * (5/9 - 2/9)))
[230708] ['1/2', '1/2', '3/4', '9/5', '6'] -> ((6 + (1/2 / 3/4)) / (1/2 / 9/5))
[230709] ['2/5', '1/2', '7/9', '9/7', '6'] -> (6 / ((1/2 / 2/5) - (7/9 * 9/7)))
[230710] ['1/4', '3/5', '6/7', '8/7', '3'] -> (6/7 / ((1/4 / 3/5) - (8/7 / 3)))
[230711] ['3/8', '6/7', '9/5', '7/2', '8'] -> ((8 - (6/7 * 7/2)) / (3/8 / 9/5))
[230712] ['1/6', '3/8', '4/5', '7/3', '7'] -> ((7 + (4/5 * (1/6 + 7/3))) / 3/8)
[230713] ['1/7', '2/3', '1', '8/7', '5/4'] -> (2/3 / (1 - (5/4 / (1/7 + 8/7))))
[230714] ['2/5', '1/2', '7/9', '4/3', '6'] -> ((6 + (4/3 / 2/5)) / (1/2 * 7/9))
[230715] ['3/8', '6/7', '9/5', '9/2', '8'] -> ((8 + (9/2 / 9/5)) / (3/8 / 6/7))
[230716] ['1/8', '3/8', '8/5', '5/3', '9'] -> (((9 / (8/5 * 5/3)) - 3/8) / 1/8)
[230717] ['1/4', '3/5', '6/7', '7/6', '3'] -> (((6/7 * 7/6) + (3 / 3/5)) / 1/4)
[230718] ['1/2', '1/2', '7/9', '6/7', '6'] -> (6 / (((1/2 / 7/9) / 6/7) - 1/2))
[230719] ['3/7', '4/5', '4/5', '9/8', '7'] -> ((3/7 * 7) / (9/8 - (4/5 / 4/5)))
