[186166] ['1/8', '8/9', '1', '7/4', '9/4'] -> ((8/9 * 9/4) + ((1 + 7/4) / 1/8))
[186286] ['1/9', '3/7', '1/2', '3/5', '9'] -> (9 / ((1/2 / (3/7 + 3/5)) - 1/9))
[186287] ['4/7', '8/7', '6/5', '5/2', '8'] -> (4/7 + (5/2 * (8 + (8/7 * 6/5))))
[186288] ['3/7', '4/9', '6/7', '7/4', '6'] -> (6 / ((3/7 + 7/4) - (6/7 / 4/9)))
[186289] ['1/7', '3/8', '3/2', '9/5', '7'] -> (1/7 / ((3/2 / 7) - (3/8 / 9/5)))
[186290] ['3/7', '3/4', '4/3', '2', '9/2'] -> ((4/3 * 9/2) / (2 - (3/4 / 3/7)))
[186291] ['3/7', '4/9', '6/7', '9/5', '6'] -> (((6/7 / 9/5) / (4/9 - 3/7)) - 6)
[186292] ['2/3', '3/2', '2', '5/2', '5/2'] -> ((3/2 + 5/2) / ((2/3 + 2) - 5/2))
[186293] ['3/4', '7/9', '8/5', '7/4', '9'] -> ((9 + (7/4 / 7/9)) / (3/4 / 8/5))
[186294] ['1/8', '1', '9/8', '9/8', '9/8'] -> ((1 + ((9/8 + 9/8) / 9/8)) / 1/8)
[186295] ['7/9', '9/8', '5/4', '8/5', '5'] -> ((8/5 * 5) / ((5/4 / 9/8) - 7/9))
[186296] ['1/7', '3/8', '3/2', '8/3', '7'] -> ((3/2 * 7) * (8/3 - (1/7 / 3/8)))
[186297] ['1/3', '1/2', '8/9', '7/5', '6'] -> ((1/3 / (7/5 - (1/2 + 8/9))) - 6)
[186298] ['2/3', '3/2', '2', '7/2', '7/2'] -> (2 * (3/2 + ((7/2 + 7/2) / 2/3)))
[186299] ['3/7', '4/9', '6/7', '7/2', '6'] -> (6/7 * ((6 / (3/7 * 4/9)) - 7/2))
[186300] ['7/9', '9/8', '5/4', '9/5', '5'] -> ((9/5 * 5) / (5/4 - (7/9 * 9/8)))
[186301] ['5/7', '4/5', '8/9', '5/2', '8'] -> ((8/9 + 8) * ((5/2 / 5/7) - 4/5))
[186302] ['1/8', '1', '9/8', '9/8', '5/4'] -> ((5/4 + (1 + 9/8)) / (1/8 * 9/8))
[186303] ['3/4', '7/9', '8/5', '7/3', '9'] -> (8/5 * ((7/3 / 7/9) + (9 / 3/4)))
[186304] ['4/7', '8/7', '8/5', '9/5', '3'] -> ((8/5 * 3) / ((8/7 / 4/7) - 9/5))
[186305] ['2/3', '8/5', '8/5', '7/4', '2'] -> (2 / (7/4 - (2/3 + (8/5 / 8/5))))
[186306] ['1/8', '1', '9/8', '9/8', '9/7'] -> (((1 + 9/8) + (9/8 / 9/7)) / 1/8)
[186307] ['2/5', '4/9', '5/9', '4/3', '7'] -> (((7 / 5/9) - (4/3 / 4/9)) / 2/5)
[186308] ['4/7', '8/7', '9/7', '9/5', '8'] -> (8 / (9/7 - ((4/7 + 8/7) / 9/5)))
[186309] ['1/3', '1/2', '8/9', '9/5', '6'] -> ((1/3 / ((1/2 * 9/5) - 8/9)) - 6)
[186310] ['3/7', '4/9', '7/8', '9/8', '6'] -> ((6 + ((7/8 + 9/8) / 3/7)) / 4/9)
[186311] ['4/7', '8/7', '8/5', '9/4', '3'] -> ((3 / ((4/7 + 8/7) - 8/5)) - 9/4)
[186312] ['3/4', '7/9', '8/5', '7/2', '9'] -> (8/5 * (9 + (7/2 / (3/4 * 7/9))))
[186313] ['7/9', '9/8', '5/4', '7/2', '5'] -> (5/4 + ((7/9 + 5) * (9/8 * 7/2)))
[186314] ['2/3', '8/5', '8/5', '2', '7/3'] -> (8/5 / ((2/3 * (8/5 + 2)) - 7/3))
[186315] ['2/3', '8/5', '8/5', '2', '8/3'] -> (8/5 / (((2/3 + 8/3) / 2) - 8/5))
[186316] ['7/9', '9/8', '5/4', '9/2', '5'] -> (9/2 * ((5/4 / 9/8) - (7/9 - 5)))
[186317] ['1/9', '3/7', '1/2', '6/5', '9'] -> (9 / ((1/2 / (3/7 - 1/9)) - 6/5))
[186318] ['1/8', '1', '9/8', '9/8', '9/5'] -> ((9/8 / 1/8) / (1 - (9/8 / 9/5)))
[186319] ['2/5', '4/9', '5/9', '7/5', '7'] -> ((4/9 / (5/9 - 2/5)) * (7/5 + 7))
[186320] ['3/7', '4/9', '7/8', '7/6', '6'] -> (6 / ((7/6 * (3/7 / 4/9)) - 7/8))
[186321] ['1/7', '3/8', '8/5', '8/3', '7'] -> (7 / (1/7 * (3/8 + (8/3 / 8/5))))
[186322] ['3/5', '2/3', '3/4', '7/2', '6'] -> (6 * ((7/2 / 2/3) - (3/4 / 3/5)))
[186323] ['4/7', '8/7', '8/5', '5/2', '3'] -> ((8/5 * 5/2) * (3 / (4/7 / 8/7)))
[186324] ['1/8', '1', '9/8', '9/8', '5/2'] -> ((9/8 / 1/8) / (5/2 - (1 + 9/8)))
[186325] ['1/9', '3/7', '1/2', '4/3', '9'] -> (((4/3 / 3/7) - (1/9 - 9)) / 1/2)
[186326] ['3/7', '3/5', '1', '4/3', '5/3'] -> ((5/3 / ((3/5 / 3/7) - 4/3)) - 1)
[186327] ['4/7', '8/7', '8/5', '8/3', '3'] -> (8/7 / ((4/7 * 3) - (8/3 / 8/5)))
[186328] ['1/8', '1', '9/8', '8/7', '8/7'] -> ((9/8 + ((1 + 8/7) / 8/7)) / 1/8)
[186329] ['3/4', '7/9', '5/3', '9/2', '9'] -> (9 * (9/2 - (3/4 * (7/9 + 5/3))))
[186330] ['3/7', '3/4', '7/5', '2', '7/3'] -> (2 / ((3/4 / 3/7) - (7/3 / 7/5)))
[186331] ['2/3', '8/5', '5/3', '2', '8/3'] -> ((8/5 + 2) * (8/3 / (2/3 / 5/3)))
[186332] ['5/7', '4/5', '9/8', '4/3', '8'] -> ((9/8 * 8) * (4/5 + (4/3 / 5/7)))
[186333] ['7/9', '9/8', '9/7', '3/2', '5'] -> (5 / (7/9 * (9/8 - (9/7 / 3/2))))
[186334] ['1/5', '2/9', '3/5', '1', '7/5'] -> (((7/5 / 1/5) - (1 / 3/5)) / 2/9)
[186335] ['4/7', '8/7', '7/5', '8/3', '8'] -> ((7/5 * 8/3) * ((8 / 8/7) - 4/7))
[186336] ['2/5', '4/9', '5/9', '9/5', '7'] -> (((4/9 / 5/9) + (9/5 + 7)) / 2/5)
[186337] ['3/4', '7/9', '7/4', '9/5', '9'] -> (9 * ((3/4 / 9/5) + (7/4 / 7/9)))
[186338] ['1/7', '3/8', '5/3', '5/3', '7'] -> (((7 * (5/3 - 1/7)) - 5/3) / 3/8)
[186339] ['4/7', '8/7', '7/5', '9/2', '8'] -> ((8 / (7/5 / 9/2)) - (4/7 + 8/7))
[186340] ['3/7', '4/9', '7/8', '3/2', '6'] -> ((6 / (3/7 * 4/9)) / (7/8 * 3/2))
[186341] ['5/7', '4/5', '9/8', '3/2', '8'] -> (8 * ((4/5 * 9/8) + (3/2 / 5/7)))
[186342] ['3/7', '4/9', '7/8', '8/5', '6'] -> (8/5 * ((6 / (4/9 * 7/8)) - 3/7))
[186343] ['1/3', '1/2', '8/7', '5/3', '6'] -> ((5/3 - 1/2) * (6 / (1/3 / 8/7)))
[186344] ['5/7', '4/5', '9/8', '8/5', '8'] -> ((4/5 / (8/5 - (9/8 / 5/7))) - 8)
[186345] ['2/3', '8/5', '7/4', '2', '7/2'] -> (2 / ((7/4 / 7/2) - (2/3 / 8/5)))
[186346] ['1/8', '1', '9/8', '8/7', '7/5'] -> (7/5 * (((9/8 + 8/7) / 1/8) - 1))
[186347] ['1/5', '2/9', '3/5', '1', '5/2'] -> ((3/5 * 5/2) + (1 / (1/5 * 2/9)))
[186348] ['1/9', '3/7', '1/2', '9/4', '9'] -> ((9 / (3/7 * 9/4)) / (1/2 - 1/9))
[186349] ['4/7', '8/7', '7/4', '9/5', '3'] -> ((8/7 / 4/7) / (7/4 - (3 / 9/5)))
[186350] ['2/5', '4/9', '5/9', '8/3', '7'] -> (8/3 * (7 + (4/9 / (2/5 * 5/9))))
[186351] ['2/3', '8/5', '7/4', '2', '9/2'] -> (9/2 * ((8/5 * (7/4 + 2)) - 2/3))
[186352] ['1/3', '1/2', '8/7', '9/5', '6'] -> ((8/7 * 9/5) * ((6 / 1/2) - 1/3))
[186353] ['3/7', '3/5', '1', '4/3', '8/3'] -> (8/3 / ((1 / 3/7) - (4/3 / 3/5)))
[186354] ['4/7', '8/7', '8/5', '8/3', '8'] -> (8 / ((8/7 / 4/7) - (8/3 / 8/5)))
[186355] ['7/9', '9/8', '9/7', '7/3', '5'] -> (5 / (7/3 - (9/8 + (7/9 * 9/7))))
[186356] ['1/5', '2/9', '3/5', '1', '7/2'] -> ((7/2 + (1 / 2/9)) / (1/5 / 3/5))
[186357] ['2/5', '4/9', '5/9', '7/2', '7'] -> ((7/2 * 7) - (5/9 * (2/5 / 4/9)))
[186358] ['1/3', '1/2', '8/7', '7/3', '6'] -> ((8/7 * 7/3) * (6 / (1/3 / 1/2)))
[186359] ['1/8', '1', '9/8', '8/7', '5/3'] -> ((1 / 1/8) / ((5/3 / 8/7) - 9/8))
[186360] ['3/4', '7/9', '9/5', '8/3', '9'] -> (9/5 * ((7/9 + 9) + (8/3 / 3/4)))
[186361] ['3/7', '3/4', '3/2', '5/3', '2'] -> (2 / (((3/2 - 3/4) / 3/7) - 5/3))
[186362] ['1/7', '3/8', '7/4', '7/4', '7'] -> (((1/7 * 7/4) + (7/4 + 7)) / 3/8)
[186363] ['4/7', '8/7', '5/3', '9/2', '8'] -> ((9/2 + (4/7 / 8/7)) / (5/3 / 8))
[186364] ['3/7', '4/9', '7/8', '5/2', '6'] -> (5/2 / (4/9 - (7/8 / (3/7 * 6))))
[186365] ['3/5', '2/3', '7/9', '9/5', '6'] -> ((2/3 + (6 / (3/5 / 9/5))) / 7/9)
[186366] ['1/7', '3/8', '7/4', '9/5', '7'] -> (7 / (7/4 - (3/8 / (1/7 * 9/5))))
[186367] ['1/8', '1', '9/8', '8/7', '7/4'] -> (((9/8 + (8/7 * 7/4)) / 1/8) - 1)
[186368] ['5/7', '4/5', '9/8', '9/4', '8'] -> ((4/5 + (8 / 5/7)) / (9/8 / 9/4))
[186369] ['7/9', '9/8', '9/7', '9/2', '5'] -> ((5 + (7/9 * 9/7)) / (9/8 / 9/2))
[186370] ['2/5', '4/9', '4/7', '3/5', '7'] -> ((3/5 + (7 / (4/9 / 4/7))) / 2/5)
[186371] ['1/9', '3/7', '5/9', '3/5', '9'] -> ((3/5 / (1/9 / 5/9)) + (9 / 3/7))
[186372] ['4/7', '8/7', '9/5', '9/4', '3'] -> ((3 / (8/7 - (4/7 * 9/5))) - 9/4)
[186373] ['1/5', '2/9', '5/8', '3/4', '1'] -> (1 / ((2/9 * 3/4) - (1/5 * 5/8)))
[186374] ['3/4', '7/9', '9/4', '5/2', '9'] -> ((9 * (7/9 + 9/4)) - (3/4 + 5/2))
[186375] ['1/3', '1/2', '7/6', '9/5', '6'] -> (((7/6 * 6) - 1/3) / (1/2 / 9/5))
[186376] ['3/7', '3/4', '3/2', '2', '7/3'] -> (2 / (3/4 - (7/3 * (3/7 / 3/2))))
[186377] ['4/7', '8/7', '9/5', '9/5', '8'] -> (8 * ((8/7 / 4/7) + (9/5 / 9/5)))
[186378] ['1/8', '1', '9/8', '8/7', '9/4'] -> (9/4 / (((1/8 + 9/8) / 8/7) - 1))
[186379] ['3/7', '4/9', '7/8', '7/2', '6'] -> (((7/2 + 6) / (4/9 * 7/8)) - 3/7)
[186380] ['1/5', '2/9', '5/8', '7/9', '1'] -> (1 / (5/8 * (2/9 - (1/5 * 7/9))))
[186381] ['7/9', '9/8', '4/3', '7/5', '5'] -> ((4/3 + (7/5 * 5)) / (9/8 - 7/9))
[186382] ['4/7', '8/7', '9/5', '5/2', '3'] -> ((9/5 + 3) * (5/2 / (4/7 / 8/7)))
[186383] ['3/7', '3/4', '3/2', '2', '5/2'] -> (2 / ((3/4 / 3/7) - (5/2 / 3/2)))
[186384] ['3/7', '4/9', '8/9', '8/9', '6'] -> (6 * (8/9 + ((4/9 + 8/9) / 3/7)))
[186385] ['2/5', '4/9', '4/7', '2/3', '7'] -> ((2/3 + (7 / (2/5 / 4/7))) / 4/9)
[186386] ['5/7', '4/5', '9/8', '8/3', '8'] -> ((8/3 / (4/5 - 5/7)) - (8 / 9/8))
[186387] ['1/9', '3/7', '5/9', '2/3', '9'] -> (((9 / 3/7) - (5/9 / 1/9)) / 2/3)
[186388] ['3/4', '7/9', '7/3', '5/2', '9'] -> ((9 / 3/4) / ((7/3 / 7/9) - 5/2))
[186389] ['1/7', '3/8', '9/5', '9/4', '7'] -> (7 / (1/7 * (9/4 - (3/8 / 9/5))))
[186390] ['2/3', '8/5', '2', '8/3', '8/3'] -> ((8/5 + 2) * (8/3 + (8/3 / 2/3)))
[186391] ['3/5', '2/3', '7/9', '7/2', '6'] -> (6 / ((2/3 / (7/9 - 3/5)) - 7/2))
[186392] ['4/7', '8/7', '9/5', '8/3', '3'] -> ((9/5 * 8/3) * (3 + (8/7 / 4/7)))
[186393] ['3/7', '3/4', '3/2', '2', '8/3'] -> (2 / ((3/2 / 3/7) - (3/4 + 8/3)))
[186394] ['4/7', '8/7', '9/5', '5/2', '8'] -> ((5/2 * (9/5 + 8)) - (4/7 / 8/7))
