[124111] ['1/8', '1/3', '4/5', '3/2', '7'] -> (((3/2 / (1/8 * 4/5)) - 7) / 1/3)
[124139] ['5/7', '4/5', '7/8', '8/7', '3'] -> (3 / (5/7 * (7/8 - (4/5 / 8/7))))
[124140] ['1/8', '1/3', '4/5', '7/2', '7'] -> ((7/2 + (1/8 * 4/5)) * (7 - 1/3))
[124141] ['1/7', '1/3', '5/4', '5/4', '4'] -> (4 / ((5/4 + 5/4) - (1/3 / 1/7)))
[124142] ['1/7', '3/7', '4/7', '4/5', '3'] -> ((3/7 + (4/7 / 4/5)) / (1/7 / 3))
[124143] ['3/8', '5/7', '5/7', '7/9', '2'] -> ((2 / 3/8) / ((5/7 / 5/7) - 7/9))
[124144] ['2/9', '1/3', '9/7', '9/4', '7'] -> ((2/9 * 9/7) / (1/3 - (9/4 / 7)))
[124145] ['4/7', '5/8', '8/7', '9/4', '9'] -> (9 / ((5/8 - 9/4) + (8/7 / 4/7)))
[124146] ['2/9', '4/5', '9/8', '8/3', '8'] -> ((9/8 * 8) + (8/3 / (2/9 * 4/5)))
[124147] ['3/5', '9/8', '9/8', '7/3', '5'] -> ((9/8 + 9/8) * (7/3 + (5 / 3/5)))
[124148] ['5/8', '6/7', '9/8', '7/2', '4'] -> ((4 * (6/7 * 7/2)) / (9/8 - 5/8))
[124149] ['3/5', '9/8', '9/8', '5/2', '5'] -> (5 / ((5/2 * (3/5 / 9/8)) - 9/8))
[124150] ['1/4', '4/7', '2/3', '8/9', '4'] -> ((2/3 + 8/9) * ((4 / 1/4) - 4/7))
[124151] ['2/9', '1/3', '9/7', '5/2', '7'] -> ((1/3 / 2/9) + (7 * (9/7 * 5/2)))
[124152] ['5/8', '6/7', '9/8', '4', '9/2'] -> (4 * (9/2 + (6/7 * (5/8 + 9/8))))
[124153] ['1/7', '1/3', '5/4', '7/5', '4'] -> (4 / (5/4 * (1/3 - (1/7 * 7/5))))
[124154] ['4/7', '5/8', '8/7', '7/3', '9'] -> (7/3 * ((4/7 + 9) + (5/8 * 8/7)))
[124155] ['4/7', '5/8', '8/7', '5/2', '9'] -> ((8/7 + (4/7 * 5/8)) + (5/2 * 9))
[124156] ['2/9', '4/5', '8/7', '8/7', '8'] -> ((8/7 + (4/5 + 8/7)) * (8 - 2/9))
[124157] ['1/8', '8/9', '9/7', '9/4', '6'] -> (((6 / (8/9 * 9/7)) - 9/4) / 1/8)
[124158] ['2/7', '8/9', '5/2', '8/3', '7'] -> ((5/2 - (8/3 / 8/9)) + (7 / 2/7))
[124159] ['2/9', '1/4', '7/5', '8/5', '9'] -> ((7/5 + 8/5) * (9 * (2/9 / 1/4)))
[124160] ['2/9', '1/3', '9/7', '8/3', '7'] -> (9/7 * ((8/3 / 2/9) - (1/3 - 7)))
[124161] ['1/7', '1/3', '5/4', '3/2', '4'] -> (4 / (1/7 * (1/3 + (5/4 / 3/2))))
[124162] ['4/9', '8/9', '8/9', '7/6', '3'] -> (4/9 / ((8/9 - 7/6) + (8/9 / 3)))
[124163] ['5/8', '6/7', '8/7', '7/6', '4'] -> (4 / (7/6 * (6/7 - (5/8 * 8/7))))
[124164] ['1/4', '4/7', '2/3', '6/5', '4'] -> (2/3 + (4 / (6/5 * (1/4 * 4/7))))
[124165] ['2/9', '4/5', '8/7', '7/6', '8'] -> ((8 - (8/7 * 7/6)) / (2/9 / 4/5))
[124166] ['3/5', '9/8', '8/7', '8/7', '5'] -> ((3/5 * 5) / (9/8 - (8/7 / 8/7)))
[124167] ['4/7', '5/8', '8/7', '9/2', '9'] -> (4/7 + ((9 + (8/7 + 9/2)) / 5/8))
[124168] ['2/9', '1/3', '4/3', '4/3', '7'] -> (((4/3 * 7) - (4/3 / 1/3)) / 2/9)
[124169] ['2/7', '8/9', '5/2', '9/2', '7'] -> (8/9 * ((7 * (9/2 - 2/7)) - 5/2))
[124170] ['1/4', '4/7', '2/3', '5/4', '4'] -> (4 / ((1/4 - 5/4) + (2/3 / 4/7)))
[124171] ['1/7', '3/7', '4/7', '8/5', '3'] -> ((3/7 + (4/7 * 3)) / (1/7 / 8/5))
[124172] ['2/9', '4/5', '8/7', '6/5', '8'] -> ((8 / (8/7 * (2/9 / 4/5))) - 6/5)
[124174] ['5/8', '6/7', '8/7', '6/5', '4'] -> ((8/7 + 4) / (5/8 * (6/5 - 6/7)))
[124173] ['5/7', '4/5', '7/8', '3/2', '3'] -> ((3 / 5/7) / ((4/5 + 7/8) - 3/2))
[124175] ['1/7', '1/3', '5/4', '9/5', '4'] -> (5/4 * ((4 / (1/3 - 1/7)) - 9/5))
[124176] ['2/9', '1/4', '7/5', '9/5', '9'] -> ((2/9 + ((7/5 + 9) / 9/5)) / 1/4)
[124177] ['3/8', '5/7', '5/7', '6/5', '2'] -> ((5/7 * 6/5) / ((3/8 * 2) - 5/7))
[124178] ['5/7', '4/5', '7/8', '5/3', '3'] -> ((3 / (4/5 - 5/7)) / (7/8 * 5/3))
[124179] ['4/9', '8/9', '8/9', '4/3', '3'] -> (8/9 / ((4/9 / 4/3) - (8/9 / 3)))
[124180] ['5/8', '6/7', '8/7', '9/7', '4'] -> (9/7 / ((5/8 - 6/7) + (8/7 / 4)))
[124181] ['2/9', '1/3', '4/3', '9/5', '7'] -> (9/5 * ((1/3 + 7) + (4/3 / 2/9)))
[124182] ['1/4', '4/7', '2/3', '5/3', '4'] -> (((2/3 - 5/3) + (4 / 4/7)) / 1/4)
[124183] ['1/7', '3/7', '4/7', '5/2', '3'] -> ((4/7 * 3) / (3/7 - (1/7 * 5/2)))
[124184] ['5/7', '4/5', '7/8', '7/4', '3'] -> (3 / ((7/4 * (5/7 * 4/5)) - 7/8))
[124185] ['3/5', '9/8', '8/7', '9/7', '5'] -> ((9/7 / (3/5 * 5)) / (8/7 - 9/8))
[124186] ['3/8', '4/7', '1', '9/7', '9/7'] -> (9/7 / ((3/8 * 9/7) + (4/7 - 1)))
[124187] ['2/9', '4/5', '8/7', '4/3', '8'] -> (((8 / 8/7) - (4/3 / 4/5)) / 2/9)
[124188] ['5/7', '4/5', '7/8', '9/5', '3'] -> ((9/5 + 3) / ((4/5 / 7/8) - 5/7))
[124189] ['2/7', '8/9', '9/2', '9/2', '7'] -> ((7 / 2/7) - (9/2 - (8/9 * 9/2)))
[124190] ['5/8', '6/7', '8/7', '3/2', '4'] -> (6/7 / (((8/7 + 3/2) / 4) - 5/8))
[124191] ['4/9', '8/9', '8/9', '8/5', '3'] -> ((8/9 * 3) / ((8/9 / 8/5) - 4/9))
[124192] ['1/8', '1/3', '6/7', '6/5', '7'] -> ((6/7 / 6/5) * (7 / (1/3 - 1/8)))
[124193] ['3/8', '4/7', '1', '9/7', '7/5'] -> ((9/7 / 3/8) / ((1 / 7/5) - 4/7))
[124194] ['4/7', '5/8', '7/6', '9/5', '9'] -> ((9 - (4/7 * 7/6)) / (5/8 / 9/5))
[124195] ['2/7', '9/8', '9/8', '9/8', '7'] -> ((7 / 2/7) - (9/8 / (9/8 + 9/8)))
[124196] ['2/9', '4/5', '8/7', '7/5', '8'] -> ((((8 / 2/9) - 4/5) / 7/5) - 8/7)
[124197] ['2/9', '1/3', '7/5', '5/3', '7'] -> ((7/5 * 5/3) + ((2/9 + 7) / 1/3))
[124198] ['1/7', '1/3', '9/7', '7/5', '4'] -> ((4 * (1/7 + 9/7)) / (1/3 / 7/5))
[124199] ['4/9', '8/9', '8/9', '5/3', '3'] -> (3 / ((8/9 / 4/9) - (5/3 / 8/9)))
[124200] ['3/8', '4/7', '1', '9/7', '3/2'] -> (9/7 / (3/8 * (1 - (4/7 * 3/2))))
[124201] ['1/8', '1/3', '6/7', '7/5', '7'] -> ((6/7 + 7) * (7/5 / (1/8 + 1/3)))
[124202] ['2/9', '4/5', '8/7', '3/2', '8'] -> (4/5 * ((8 / (2/9 * 8/7)) - 3/2))
[124203] ['2/7', '9/8', '9/8', '7/6', '7'] -> ((7 + (9/8 / 9/8)) / (2/7 * 7/6))
[124204] ['4/9', '8/9', '8/9', '7/4', '3'] -> ((8/9 * 3) / (8/9 - (4/9 * 7/4)))
[124205] ['3/8', '4/7', '1', '9/7', '8/5'] -> (9/7 / ((3/8 / (8/5 - 1)) - 4/7))
[124206] ['1/7', '1/3', '9/7', '9/5', '4'] -> (9/5 * ((1/3 + 4) + (9/7 / 1/7)))
[124207] ['1/7', '3/7', '3/5', '3/4', '3'] -> (((3 / 3/5) - 3/7) / (1/7 / 3/4))
[124208] ['4/7', '5/8', '7/6', '7/2', '9'] -> (7/6 * (4/7 + ((7/2 + 9) / 5/8)))
[124209] ['5/8', '6/7', '8/7', '9/4', '4'] -> ((4 * (6/7 + 9/4)) / (8/7 - 5/8))
[124210] ['1/8', '1/3', '6/7', '7/4', '7'] -> (((7/4 / 1/8) - (6/7 * 7)) / 1/3)
[124211] ['2/9', '1/4', '3/2', '9/5', '9'] -> (9 + ((3/2 / 9/5) / (2/9 * 1/4)))
[124212] ['1/8', '8/9', '7/5', '8/5', '6'] -> ((6 - (8/5 / 8/9)) / (1/8 * 7/5))
[124213] ['4/7', '5/8', '7/6', '9/2', '9'] -> ((9/2 / 4/7) + (9 * (5/8 + 7/6)))
[124214] ['3/8', '4/7', '1', '9/7', '7/4'] -> (9/7 / ((4/7 * (7/4 - 1)) - 3/8))
[124215] ['4/9', '8/9', '8/9', '9/4', '3'] -> ((8/9 * 3) / ((4/9 * 9/4) - 8/9))
[124216] ['5/8', '6/7', '8/7', '7/3', '4'] -> (8/7 / ((7/3 / 4) - (5/8 * 6/7)))
[124217] ['2/9', '1/3', '7/5', '7/2', '7'] -> ((7 / 2/9) - (7/2 / (1/3 * 7/5)))
[124218] ['5/7', '4/5', '7/8', '3', '9/2'] -> (3 * (4/5 + (9/2 / (5/7 * 7/8))))
[124219] ['3/8', '5/7', '5/7', '2', '7/3'] -> ((5/7 / 5/7) / ((3/8 + 2) - 7/3))
[124220] ['1/4', '4/7', '5/7', '4/3', '4'] -> (4 / ((1/4 - 4/3) + (5/7 / 4/7)))
[124221] ['1/8', '1/3', '6/7', '9/5', '7'] -> (((7 * (6/7 / 9/5)) - 1/3) / 1/8)
[124222] ['2/9', '1/4', '8/5', '8/5', '9'] -> (8/5 + (9 * (8/5 + (2/9 / 1/4))))
[124223] ['5/8', '6/7', '8/7', '8/3', '4'] -> (8/7 / (4 - (8/3 * (5/8 + 6/7))))
[124224] ['3/8', '5/7', '5/7', '2', '5/2'] -> ((5/7 + 5/2) * (2 / (3/8 * 5/7)))
[124225] ['4/9', '8/9', '8/9', '5/2', '3'] -> ((4/9 + 8/9) / (8/9 - (5/2 / 3)))
[124226] ['3/8', '4/7', '1', '9/7', '9/4'] -> ((1 + 9/7) * (9/4 / (3/8 * 4/7)))
[124227] ['1/7', '3/7', '3/5', '7/8', '3'] -> (3 / ((3/5 * (7/8 - 3/7)) - 1/7))
[124228] ['2/9', '1/4', '8/5', '7/4', '9'] -> ((7/4 + (2/9 * 9)) / (1/4 / 8/5))
[124229] ['1/8', '8/9', '7/5', '9/5', '6'] -> ((6 - (7/5 + (8/9 * 9/5))) / 1/8)
[124230] ['4/7', '5/8', '6/5', '5/4', '9'] -> ((9 / (4/7 * (5/4 - 5/8))) - 6/5)
[124231] ['2/7', '9/8', '9/8', '3/2', '7'] -> ((7 / 2/7) - (3/2 - (9/8 / 9/8)))
[124232] ['1/8', '1/3', '6/7', '9/2', '7'] -> ((9/2 + 7) / (1/3 + (1/8 / 6/7)))
[124233] ['1/4', '4/7', '5/7', '5/3', '4'] -> (4 / (5/3 - (1/4 + (5/7 / 4/7))))
[124234] ['4/9', '8/9', '8/9', '3', '9/2'] -> ((8/9 * 3) * (9/2 / (4/9 / 8/9)))
[124235] ['3/8', '5/7', '5/7', '2', '7/2'] -> ((7/2 + (5/7 / 5/7)) / (3/8 / 2))
[124236] ['3/5', '9/8', '8/7', '8/3', '5'] -> ((9/8 * (3/5 + 5)) * (8/7 + 8/3))
[124237] ['3/8', '4/7', '1', '9/7', '5/2'] -> (9/7 / ((4/7 * 5/2) - (3/8 + 1)))
[124238] ['2/9', '4/5', '8/7', '8/3', '8'] -> ((8 - (8/3 / 4/5)) / (2/9 / 8/7))
[124239] ['4/7', '5/8', '6/5', '7/5', '9'] -> (9 * (5/8 + (7/5 / (4/7 * 6/5))))
[124240] ['1/4', '4/7', '5/7', '9/5', '4'] -> ((4/7 / 5/7) + ((9/5 + 4) / 1/4))
[124241] ['1/7', '1/3', '4/3', '4', '9/2'] -> (9/2 * ((1/3 / 1/7) + (4 / 4/3)))
[124242] ['1/8', '1/3', '7/8', '7/5', '7'] -> (7 / ((1/3 / 7/8) - (1/8 / 7/5)))
[124243] ['5/8', '6/7', '7/6', '9/7', '4'] -> ((7/6 / ((6/7 / 9/7) - 5/8)) - 4)
[124244] ['2/7', '9/8', '9/8', '7/4', '7'] -> ((7/4 - (9/8 + 9/8)) + (7 / 2/7))
[124245] ['3/5', '9/8', '8/7', '9/2', '5'] -> ((5 * (9/2 + (3/5 / 8/7))) - 9/8)
[124246] ['1/7', '1/3', '7/5', '7/5', '4'] -> ((7/5 / (1/7 * 1/3)) - (7/5 + 4))
[124247] ['3/8', '4/7', '1', '9/7', '9/2'] -> ((9/2 / (3/8 / 4/7)) / (9/7 - 1))
[124248] ['2/9', '1/3', '8/5', '9/4', '7'] -> (7 / ((2/9 * 9/4) - (1/3 / 8/5)))
[124249] ['1/8', '1/3', '7/8', '3/2', '7'] -> (7 / ((1/3 / 1/8) - (7/8 + 3/2)))
[124250] ['5/8', '6/7', '7/6', '4/3', '4'] -> (4 / ((6/7 * 7/6) - (5/8 * 4/3)))
[124251] ['2/7', '9/8', '9/8', '9/5', '7'] -> ((7 / 2/7) - (9/8 - (9/8 / 9/5)))
[124252] ['1/4', '4/7', '5/7', '5/2', '4'] -> ((4 + (5/2 * (4/7 / 5/7))) / 1/4)
[124253] ['1/7', '3/7', '3/5', '4/3', '3'] -> (((3 / 3/5) - 3/7) / (1/7 * 4/3))
[124254] ['2/9', '1/4', '5/3', '9/5', '9'] -> ((5/3 * 9/5) * (9 * (2/9 / 1/4)))
[124255] ['3/5', '9/8', '7/6', '5/4', '5'] -> (5 / ((9/8 + 7/6) - (5/4 / 3/5)))
[124256] ['4/9', '8/9', '9/8', '5/4', '3'] -> ((3 / 4/9) / ((5/4 / 8/9) - 9/8))
[124257] ['1/7', '3/7', '3/5', '7/5', '3'] -> ((7/5 - (3/7 * 3/5)) / (1/7 / 3))
[124258] ['2/7', '9/8', '9/8', '5/2', '7'] -> ((5/2 / 9/8) + (7 / (2/7 * 9/8)))
[124259] ['1/7', '3/7', '3/5', '3/2', '3'] -> ((3 - (3/7 / 3/5)) / (1/7 / 3/2))
[124260] ['2/9', '1/4', '7/4', '7/4', '9'] -> (((9 / 2/9) - (1/4 - 7/4)) / 7/4)
[124261] ['5/8', '6/7', '7/6', '8/5', '4'] -> ((4 / 7/6) / ((5/8 * 8/5) - 6/7))
[124262] ['1/7', '1/3', '7/5', '9/4', '4'] -> ((4 / (1/7 * (7/5 - 1/3))) - 9/4)
[124263] ['3/5', '9/8', '7/6', '4/3', '5'] -> (3/5 / ((9/8 - 4/3) + (7/6 / 5)))
[124264] ['4/9', '8/9', '9/8', '3/2', '3'] -> (3 / ((4/9 / 8/9) + (9/8 - 3/2)))
[124265] ['1/7', '1/3', '7/5', '7/2', '4'] -> (4 / ((7/2 / 7/5) - (1/3 / 1/7)))
[124266] ['2/7', '9/8', '9/8', '9/2', '7'] -> ((7 / 2/7) - ((9/8 + 9/8) / 9/2))
[124267] ['2/9', '4/5', '7/6', '7/5', '8'] -> ((7/6 / 7/5) * (8 / (2/9 / 4/5)))
[124268] ['5/8', '6/7', '7/6', '7/4', '4'] -> (4 / (((5/8 + 7/6) / 7/4) - 6/7))
[124269] ['2/9', '1/3', '5/3', '9/2', '7'] -> ((7 / 1/3) - (9/2 - (5/3 / 2/9)))
[124270] ['1/7', '1/3', '7/5', '4', '9/2'] -> ((7/5 * 9/2) * (4 + (1/7 - 1/3)))
[124271] ['4/9', '8/9', '9/8', '9/5', '3'] -> (3 / ((9/8 / 9/5) - (4/9 / 8/9)))
[124272] ['2/9', '4/5', '7/6', '3/2', '8'] -> ((4/5 * 8) * ((7/6 / 2/9) - 3/2))
[124273] ['3/8', '4/7', '1', '4/3', '9/4'] -> (9/4 / ((1 / 4/3) - (3/8 / 4/7)))
[124274] ['2/7', '9/8', '8/7', '6/5', '7'] -> ((7 - (9/8 * 8/7)) / (2/7 / 6/5))
[124275] ['1/4', '4/7', '3/4', '9/8', '4'] -> ((4/7 + 4) * (3/4 + (9/8 / 1/4)))
[124276] ['1/7', '3/7', '3/5', '9/4', '3'] -> ((3 / ((3/7 * 3/5) - 1/7)) - 9/4)
[124277] ['2/9', '1/4', '9/5', '9/5', '9'] -> ((9/5 * 9) / (9/5 - (1/4 / 2/9)))
[124278] ['2/9', '1/3', '7/4', '7/4', '7'] -> ((1/3 + ((7/4 + 7) / 7/4)) / 2/9)
[124279] ['4/7', '5/8', '6/5', '7/2', '9'] -> ((9 * (4/7 / 5/8)) / (6/5 / 7/2))
[124280] ['5/8', '6/7', '7/6', '9/4', '4'] -> ((9/4 * 4) / ((6/7 * 7/6) - 5/8))
[124281] ['2/9', '4/5', '7/6', '5/3', '8'] -> (8 / (2/9 * (4/5 + (7/6 / 5/3))))
[124282] ['1/7', '1/3', '3/2', '8/5', '4'] -> (((3/2 / 1/7) - (4 / 8/5)) / 1/3)
[124283] ['4/9', '8/9', '9/8', '3', '7/2'] -> ((8/9 * 3) * (9/8 + (7/2 / 4/9)))
[124284] ['4/7', '5/8', '6/5', '9/2', '9'] -> (5/8 * ((9/2 * 9) - (6/5 / 4/7)))
[124285] ['1/8', '8/9', '8/5', '9/5', '6'] -> (6 + ((8/5 + (9/5 / 1/8)) / 8/9))
[124286] ['2/9', '1/3', '7/4', '5/2', '7'] -> ((5/2 + (7 / 2/9)) / (7/4 - 1/3))
[124287] ['5/8', '6/7', '7/6', '7/3', '4'] -> ((6/7 * 7/6) / (5/8 - (7/3 / 4)))
[124288] ['4/7', '5/8', '5/4', '5/4', '9'] -> (9 / (5/4 - (5/8 / (4/7 * 5/4))))
[124289] ['1/7', '3/7', '3/5', '8/3', '3'] -> (3 / (((3/7 / 3/5) / 8/3) - 1/7))
[124290] ['3/8', '4/7', '1', '4/3', '8/3'] -> (1 / ((3/8 - 8/3) + (4/3 / 4/7)))
[124291] ['3/5', '9/8', '7/6', '9/5', '5'] -> (5 / (7/6 - ((3/5 + 9/8) / 9/5)))
[124292] ['2/7', '9/8', '8/7', '3/2', '7'] -> ((((8/7 + 7) / 2/7) - 3/2) / 9/8)
[124293] ['4/9', '8/9', '8/7', '8/7', '3'] -> (8/7 / ((4/9 * 3) - (8/7 / 8/9)))
[124294] ['1/8', '8/9', '8/5', '9/4', '6'] -> ((9/4 / (1/8 * 8/9)) + (6 / 8/5))
[124295] ['1/7', '1/3', '3/2', '9/5', '4'] -> (4 / (1/7 * (1/3 + (3/2 / 9/5))))
[124296] ['5/8', '6/7', '7/6', '5/2', '4'] -> ((5/2 + 4) / (7/6 * (6/7 - 5/8)))
[124297] ['2/7', '9/8', '8/7', '8/5', '7'] -> ((7 + (8/7 / 8/5)) / (2/7 * 9/8))
[124298] ['1/4', '4/7', '3/4', '3/2', '4'] -> ((4/7 + 4) * ((3/2 / 1/4) - 3/4))
[124299] ['2/9', '1/4', '9/4', '9/4', '9'] -> (9 / (2/9 * (9/4 - (1/4 * 9/4))))
[124300] ['2/9', '1/3', '9/5', '9/4', '7'] -> ((7 - 1/3) / (9/4 * (2/9 / 9/5)))
[124301] ['4/7', '5/8', '5/4', '4/3', '9'] -> ((5/4 + (9 / 4/7)) / (4/3 - 5/8))
[124302] ['5/8', '6/7', '7/6', '8/3', '4'] -> ((6/7 * 7/6) / ((8/3 / 4) - 5/8))
[124303] ['1/7', '3/7', '5/8', '3/4', '3'] -> (3/7 / ((5/8 / 3) - (1/7 / 3/4)))
[124304] ['2/9', '4/5', '7/6', '7/3', '8'] -> (8 * ((2/9 / 4/5) + (7/6 * 7/3)))
[124305] ['1/7', '1/3', '3/2', '9/4', '4'] -> ((4 / 1/7) / ((9/4 / 3/2) - 1/3))
[124306] ['2/9', '1/4', '7/3', '7/3', '9'] -> ((7/3 + 7/3) / (2/9 - (1/4 / 9)))
[124307] ['2/9', '4/5', '7/6', '5/2', '8'] -> ((8 + (7/6 - 5/2)) / (2/9 / 4/5))
[124308] ['2/7', '9/8', '8/7', '9/4', '7'] -> (7 * ((2/7 + 8/7) + (9/4 / 9/8)))
[124309] ['5/8', '6/7', '7/6', '4', '9/2'] -> (6/7 / ((5/8 / 7/6) + (4 - 9/2)))
[124310] ['4/7', '5/8', '5/4', '3/2', '9'] -> ((9 / (4/7 * 5/8)) - (3/2 / 5/4))
[124311] ['1/8', '1/3', '9/8', '7/5', '7'] -> ((9/8 / 1/8) + (7 / (1/3 * 7/5)))
[124312] ['4/9', '8/9', '8/7', '9/7', '3'] -> (8/7 / ((3 * (8/9 - 4/9)) - 9/7))
[124313] ['1/7', '1/3', '8/5', '8/5', '4'] -> (8/5 / (4 - (8/5 + (1/3 / 1/7))))
[124314] ['3/5', '9/8', '7/6', '9/2', '5'] -> ((5 * (9/2 + (3/5 / 9/8))) - 7/6)
[124315] ['1/7', '3/7', '5/8', '4/5', '3'] -> ((3 / 5/8) / ((3/7 * 4/5) - 1/7))
[124316] ['2/9', '4/5', '7/6', '7/2', '8'] -> (((8 / 4/5) - (7/6 + 7/2)) / 2/9)
[124317] ['1/4', '4/7', '3/4', '9/4', '4'] -> ((4/7 + 4) * (9/4 + (3/4 / 1/4)))
[124318] ['2/9', '1/3', '9/4', '7/3', '7'] -> ((1/3 + 7) / (7/3 + (2/9 - 9/4)))
[124319] ['4/7', '5/8', '5/4', '7/4', '9'] -> (9 / ((4/7 * 7/4) + (5/8 - 5/4)))
[124320] ['1/8', '8/9', '5/3', '9/5', '6'] -> (8/9 * ((6 / (1/8 * 5/3)) - 9/5))
[124321] ['5/8', '6/7', '6/5', '9/7', '4'] -> ((4 / (5/8 / 9/7)) / (6/5 - 6/7))
[124322] ['2/7', '9/8', '8/7', '7/2', '7'] -> (((8/7 * 7) - 2/7) / (9/8 / 7/2))
[124323] ['1/7', '3/7', '5/8', '8/9', '3'] -> (3/7 / ((5/8 / (8/9 + 3)) - 1/7))
[124324] ['1/7', '1/3', '8/5', '9/5', '4'] -> ((8/5 / 1/7) / (9/5 - (1/3 * 4)))
[124325] ['1/8', '8/9', '5/3', '5/2', '6'] -> (6 * (5/3 + (8/9 * (1/8 + 5/2))))
[124326] ['2/7', '9/8', '7/6', '7/6', '7'] -> (7 / ((2/7 * 7/6) + (9/8 - 7/6)))
[124327] ['1/7', '3/7', '5/8', '7/6', '3'] -> (((3 / 7/6) - 3/7) / (1/7 * 5/8))
[124328] ['1/4', '4/7', '7/9', '5/6', '4'] -> (((4 / (1/4 * 7/9)) - 4/7) / 5/6)
[124329] ['5/7', '4/5', '9/8', '5/4', '3'] -> (3 / ((5/7 * (4/5 + 9/8)) - 5/4))
[124330] ['4/9', '8/9', '8/7', '8/5', '3'] -> ((8/7 + 8/5) / (4/9 / (8/9 + 3)))
[124331] ['1/8', '8/9', '5/3', '7/2', '6'] -> (7/2 / (1/8 * (8/9 + (5/3 / 6))))
[124332] ['4/7', '5/8', '5/4', '7/3', '9'] -> ((5/4 * 7/3) * (9 * (4/7 / 5/8)))
[124333] ['2/9', '4/5', '6/5', '7/2', '8'] -> (8 / (2/9 * (7/2 - (4/5 + 6/5))))
[124334] ['3/8', '5/7', '7/9', '7/9', '2'] -> (2 / (3/8 * (7/9 - (5/7 * 7/9))))
[124335] ['4/9', '8/9', '8/7', '5/3', '3'] -> (3 / ((5/3 / 8/7) - (4/9 + 8/9)))
[124336] ['5/7', '4/5', '9/8', '9/7', '3'] -> (3 / ((4/5 + 9/8) - (9/7 / 5/7)))
[124337] ['1/7', '3/7', '5/8', '4/3', '3'] -> (3/7 / ((5/8 / 3) - (1/7 * 4/3)))
[124338] ['1/7', '1/3', '8/5', '7/3', '4'] -> (8/5 * ((7/3 / 1/7) - (1/3 * 4)))
[124339] ['2/9', '2/7', '2/7', '3/7', '9'] -> (((2/7 * 9) - 2/7) / (2/9 * 3/7))
