[44326] ['1/3', '3/7', '3/2', '7/4', '8'] -> (8 * (3/7 + (3/2 / (1/3 * 7/4))))
[44450] ['1/5', '3/7', '5/7', '4/5', '4'] -> (((5/7 * 4) - 4/5) / (1/5 * 3/7))
[44451] ['4/9', '8/7', '7/2', '7/2', '4'] -> ((7/2 * ((4 / 4/9) - 8/7)) - 7/2)
[44452] ['2/7', '1/3', '4/3', '3/2', '2'] -> (3/2 * (2 + (4/3 / (2/7 * 1/3))))
[44453] ['1/6', '5/6', '6/7', '4/3', '6'] -> (4/3 / ((1/6 / 6/7) - (5/6 / 6)))
[44454] ['5/9', '2/3', '1', '6/5', '8/5'] -> (8/5 / ((2/3 + 6/5) - (1 / 5/9)))
[44455] ['6/5', '7/4', '7/4', '7/2', '6'] -> (6/5 * ((7/2 * 6) - (7/4 / 7/4)))
[44456] ['1/9', '2/5', '8/7', '9/7', '3'] -> ((8/7 / (1/9 * 2/5)) + (9/7 - 3))
[44457] ['1/3', '3/7', '5/2', '8/3', '8'] -> ((3/7 * 8) * (1/3 + (5/2 * 8/3)))
[44458] ['1/6', '5/6', '6/7', '7/5', '6'] -> ((6 - (6/7 * 7/5)) / (1/6 / 5/6))
[44459] ['1/4', '2/7', '4/9', '4/3', '5'] -> ((4/3 + (5 / (1/4 + 2/7))) / 4/9)
[44460] ['6/5', '7/4', '7/4', '9/2', '6'] -> (6 / ((9/2 / 6/5) - (7/4 + 7/4)))
[44461] ['2/7', '1/3', '4/3', '7/4', '2'] -> ((2 / 7/4) / ((2/7 * 4/3) - 1/3))
[44462] ['1/5', '3/7', '5/7', '8/9', '4'] -> (3/7 / ((5/7 / (1/5 * 8/9)) - 4))
[44463] ['1/9', '1/7', '4/9', '7/2', '5'] -> (((5 - (4/9 * 7/2)) / 1/7) - 1/9)
[44464] ['1/9', '1/4', '3/7', '7/4', '4'] -> (4 / (1/4 - (7/4 * (1/9 * 3/7))))
[44465] ['6/5', '7/4', '9/5', '9/5', '6'] -> (((9/5 / 6/5) / (9/5 - 7/4)) - 6)
[44466] ['1/6', '5/6', '6/7', '8/5', '6'] -> ((6 - (5/6 * 8/5)) / (1/6 / 6/7))
[44467] ['2/7', '1/3', '4/3', '9/5', '2'] -> (4/3 / ((1/3 / 2/7) - (2 / 9/5)))
[44468] ['3/8', '5/7', '8/7', '7/3', '4'] -> (((8/7 * 4) - 5/7) / (3/8 / 7/3))
[44469] ['1/9', '1/7', '4/9', '9/2', '5'] -> (9/2 * ((1/9 / 1/7) - (4/9 - 5)))
[44470] ['1/5', '3/7', '5/7', '9/8', '4'] -> (3/7 / ((9/8 / (1/5 / 5/7)) - 4))
[44471] ['5/9', '2/3', '1', '6/5', '9/5'] -> (((1 + 9/5) / (2/3 - 5/9)) - 6/5)
[44472] ['1/6', '5/3', '9/5', '9/4', '5'] -> ((5 / (9/5 - 5/3)) - (9/4 / 1/6))
[44473] ['1/9', '2/5', '8/7', '3/2', '3'] -> (8/7 * ((3/2 / 1/9) + (3 / 2/5)))
[44474] ['1/9', '1/4', '3/7', '9/5', '4'] -> (((4 / (9/5 - 3/7)) - 1/4) / 1/9)
[44475] ['3/8', '8/9', '6/5', '4/3', '3'] -> (8/9 / (3 - (4/3 / (3/8 * 6/5))))
[44476] ['3/8', '5/7', '8/7', '5/2', '4'] -> (4 / ((5/7 + 5/2) - (8/7 / 3/8)))
[44477] ['5/9', '2/3', '1', '6/5', '7/3'] -> (6/5 * ((7/3 / (2/3 - 5/9)) - 1))
[44478] ['2/7', '1/3', '4/3', '2', '5/2'] -> (2 * (1/3 + (5/2 / (2/7 / 4/3))))
[44479] ['4/9', '7/6', '7/6', '4/3', '4'] -> ((4/3 + (4 * (7/6 + 7/6))) / 4/9)
[44480] ['1/9', '2/5', '8/7', '5/3', '3'] -> ((3 - (2/5 * 5/3)) / (1/9 / 8/7))
[44481] ['3/8', '5/7', '8/7', '8/3', '4'] -> ((4 - (5/7 / 8/7)) / (3/8 / 8/3))
[44482] ['1/9', '1/4', '3/7', '9/4', '4'] -> (3/7 * (((9/4 + 4) / 1/9) - 1/4))
[44483] ['3/8', '8/9', '6/5', '3/2', '3'] -> ((6/5 + 3/2) * (8/9 + (3 / 3/8)))
[44484] ['1/7', '7/8', '9/4', '9/2', '9'] -> (9 / ((9/4 / 9/2) - (1/7 * 7/8)))
[44485] ['1/9', '1/7', '1/2', '4/7', '5'] -> ((4/7 / 1/9) / ((1/7 * 5) - 1/2))
[44486] ['1/9', '2/5', '8/7', '7/4', '3'] -> ((8/7 / (1/9 * 2/5)) - (3 / 7/4))
[44487] ['1/5', '3/7', '5/7', '9/7', '4'] -> ((9/7 - 3/7) * (4 / (1/5 * 5/7)))
[44488] ['1/9', '1/4', '3/7', '7/3', '4'] -> (((1/4 + 7/3) / (3/7 / 4)) - 1/9)
[44489] ['2/7', '1/3', '7/5', '7/5', '2'] -> (((7/5 / 7/5) + (2 / 2/7)) / 1/3)
[44490] ['3/8', '8/9', '6/5', '5/3', '3'] -> (3 / ((5/3 / 6/5) - (3/8 + 8/9)))
[44491] ['4/9', '7/6', '7/6', '3/2', '4'] -> (4 / ((4/9 / (3/2 - 7/6)) - 7/6))
[44492] ['1/7', '7/8', '7/3', '7/3', '9'] -> ((7/3 / 7/8) + (7/3 * (1/7 + 9)))
[44493] ['1/9', '2/5', '8/7', '9/5', '3'] -> (3 / ((2/5 / 9/5) - (1/9 / 8/7)))
[44494] ['3/8', '5/7', '7/6', '7/6', '4'] -> (5/7 / ((3/8 / 7/6) - (7/6 / 4)))
[44495] ['1/6', '5/6', '6/7', '8/3', '6'] -> (6 + ((5/6 + 8/3) / (1/6 / 6/7)))
[44496] ['5/9', '2/3', '1', '5/4', '5/4'] -> ((5/4 / (5/4 - (2/3 / 5/9))) - 1)
[44497] ['1/6', '7/4', '7/4', '7/4', '5'] -> (((7/4 * 5) - 7/4) / (1/6 * 7/4))
[44498] ['1/7', '7/8', '7/3', '5/2', '9'] -> ((1/7 + (7/3 * 9)) + (5/2 / 7/8))
[44499] ['1/8', '8/9', '7/5', '8/5', '5'] -> (((5 - 7/5) / (1/8 / 8/9)) - 8/5)
[44500] ['1/4', '2/7', '4/9', '5/2', '5'] -> ((5/2 / 4/9) + ((1/4 + 5) / 2/7))
[44501] ['6/5', '7/4', '5/2', '8/3', '6'] -> (6 / ((7/4 / 5/2) - (6/5 / 8/3)))
[44502] ['4/9', '7/6', '7/6', '5/3', '4'] -> ((5/3 + (7/6 / 7/6)) / (4/9 / 4))
[44503] ['1/6', '7/4', '7/4', '9/5', '5'] -> ((9/5 - (7/4 / 7/4)) / (1/6 / 5))
[44504] ['3/8', '8/9', '6/5', '9/5', '3'] -> (9/5 / ((6/5 / (8/9 * 3)) - 3/8))
[44505] ['2/7', '1/3', '7/5', '9/5', '2'] -> (((2 / (2/7 / 7/5)) - 9/5) / 1/3)
[44506] ['1/6', '5/6', '7/8', '9/7', '6'] -> (6 / (7/8 * (9/7 - (1/6 + 5/6))))
[44507] ['1/9', '1/7', '1/2', '3/4', '5'] -> ((5 / 3/4) / ((1/9 / 1/7) - 1/2))
[44508] ['4/9', '7/6', '7/6', '7/4', '4'] -> ((7/6 + (7/4 / 7/6)) / (4/9 / 4))
[44509] ['1/4', '2/7', '4/9', '8/3', '5'] -> (((5 / 1/4) - (8/3 / 2/7)) / 4/9)
[44510] ['1/6', '7/4', '7/4', '7/3', '5'] -> (((7/4 / 7/3) - (7/4 - 5)) / 1/6)
[44511] ['3/8', '5/7', '7/6', '9/7', '4'] -> ((5/7 + 9/7) / (3/8 - (7/6 / 4)))
[44512] ['3/8', '8/9', '6/5', '9/4', '3'] -> ((6/5 * 9/4) * (8/9 + (3 / 3/8)))
[44513] ['6/5', '7/4', '8/3', '7/2', '6'] -> (6/5 * (6 + (8/3 * (7/4 + 7/2))))
[44514] ['2/7', '1/3', '7/5', '2', '9/4'] -> (2/7 / (9/4 - (2 + (1/3 / 7/5))))
[44515] ['1/4', '2/7', '4/9', '7/2', '5'] -> (4/9 * (5 + (7/2 / (1/4 * 2/7))))
[44516] ['1/6', '7/4', '7/4', '9/2', '5'] -> (((7/4 + 7/4) - (9/2 - 5)) / 1/6)
[44517] ['1/3', '4/9', '1/2', '8/7', '8'] -> ((1/3 * 8) / (1/2 - (4/9 / 8/7)))
[44518] ['1/7', '7/8', '5/2', '9/2', '9'] -> ((5/2 + (9/2 / 9)) / (1/7 * 7/8))
[44519] ['1/5', '3/7', '5/7', '8/3', '4'] -> ((4 - (1/5 * 5/7)) / (3/7 / 8/3))
[44520] ['1/6', '5/6', '7/8', '9/5', '6'] -> ((6 - 9/5) / (7/8 * (1/6 / 5/6)))
[44521] ['6/5', '7/4', '7/2', '7/2', '6'] -> (6/5 * ((7/4 + 6) + (7/2 * 7/2)))
[44522] ['2/7', '1/3', '7/5', '2', '5/2'] -> ((5/2 * (2/7 + 2)) / (1/3 / 7/5))
[44523] ['1/4', '2/7', '1/2', '5/9', '5'] -> ((5 / 5/9) / ((1/4 / 2/7) - 1/2))
[44524] ['1/8', '8/9', '7/5', '5/2', '5'] -> (8/9 * ((7/5 * 5) + (5/2 / 1/8)))
[44525] ['5/9', '2/3', '1', '5/4', '5/2'] -> (2/3 / (5/4 - (1 + (5/9 / 5/2))))
[44526] ['4/9', '7/6', '7/6', '7/2', '4'] -> (4 / ((7/2 * (4/9 / 7/6)) - 7/6))
[44527] ['1/9', '1/7', '1/2', '8/9', '5'] -> ((5 + ((1/9 + 8/9) / 1/7)) / 1/2)
[44528] ['1/7', '7/8', '7/2', '7/2', '9'] -> ((9 / 7/2) / ((7/8 / 7/2) - 1/7))
[44529] ['5/9', '2/3', '1', '5/4', '7/2'] -> (((7/2 / (5/4 - 1)) - 2/3) / 5/9)
[44530] ['4/9', '7/6', '7/6', '4', '9/2'] -> (4/9 / (7/6 - ((7/6 + 4) / 9/2)))
[44531] ['6/5', '9/5', '9/5', '9/4', '6'] -> (6 / ((9/5 / 6/5) - (9/4 / 9/5)))
[44532] ['1/9', '1/4', '4/9', '7/8', '4'] -> (4 / ((4/9 * (7/8 - 1/4)) - 1/9))
[44533] ['1/6', '5/6', '8/9', '6/5', '6'] -> (6 / ((5/6 * (1/6 + 6/5)) - 8/9))
[44534] ['1/7', '7/8', '7/2', '9/2', '9'] -> ((7/2 - (9/2 / 9)) / (1/7 * 7/8))
[44535] ['2/7', '1/3', '7/5', '2', '9/2'] -> (9/2 * (1/3 + (2 / (2/7 * 7/5))))
[44536] ['1/8', '8/9', '7/5', '9/2', '5'] -> (((7/5 * 5) - (8/9 * 9/2)) / 1/8)
[44537] ['4/9', '7/6', '6/5', '6/5', '4'] -> ((6/5 + (4 * (7/6 + 6/5))) / 4/9)
[44538] ['1/6', '7/4', '9/5', '7/2', '5'] -> (5 * (9/5 + (7/4 / (1/6 * 7/2))))
[44539] ['1/5', '3/7', '3/4', '4/5', '4'] -> (4 / (3/4 - ((1/5 / 3/7) / 4/5)))
[44540] ['1/7', '7/8', '9/2', '9/2', '9'] -> ((9/2 + 9) / (9/2 * (1/7 * 7/8)))
[44541] ['1/8', '8/9', '3/2', '3/2', '5'] -> ((5 - (3/2 * (8/9 * 3/2))) / 1/8)
[44542] ['3/8', '8/9', '5/4', '9/7', '3'] -> (9/7 / (3/8 - (5/4 / (8/9 + 3))))
[44543] ['1/9', '1/7', '1/2', '6/5', '5'] -> ((5 / (1/7 + (1/9 * 1/2))) - 6/5)
[44544] ['3/8', '8/9', '5/4', '4/3', '3'] -> (3 / ((3/8 + 5/4) - (4/3 / 8/9)))
[44545] ['6/5', '9/4', '9/4', '8/3', '6'] -> (8/3 * ((6 / (6/5 / 9/4)) - 9/4))
[44546] ['1/6', '5/6', '8/9', '5/3', '6'] -> (((6 - (5/6 + 8/9)) / 1/6) - 5/3)
[44547] ['5/9', '2/3', '1', '9/7', '8/5'] -> (8/5 / (1 - (2/3 / (5/9 * 9/7))))
[44548] ['1/6', '7/4', '5/2', '5/2', '5'] -> ((5/2 / 1/6) / (5 - (7/4 * 5/2)))
[44549] ['1/8', '8/9', '3/2', '7/4', '5'] -> (((5 / 8/9) - (3/2 * 7/4)) / 1/8)
[44550] ['1/9', '1/7', '1/2', '4/3', '5'] -> ((4/3 * 5) / ((1/9 / 1/7) - 1/2))
[44551] ['3/8', '5/7', '7/6', '8/3', '4'] -> (4 / ((3/8 * 8/3) - (5/7 * 7/6)))
[44552] ['1/6', '5/6', '8/9', '9/5', '6'] -> ((6 - (5/6 * 9/5)) / (1/6 / 8/9))
[44553] ['4/9', '7/6', '6/5', '7/4', '4'] -> (4 / (6/5 * (7/4 - (4/9 + 7/6))))
[44554] ['6/5', '9/4', '7/3', '5/2', '6'] -> ((6 / (6/5 * 5/2)) / (7/3 - 9/4))
