[35461] ['3/8', '4/9', '7/4', '7/3', '4'] -> ((4 / 4/9) / ((7/4 / 7/3) - 3/8))
[35532] ['4/9', '5/7', '5/6', '9/4', '4'] -> (4 / ((5/6 / 5/7) - (4/9 * 9/4)))
[35533] ['1/9', '1/7', '2/5', '4/5', '4'] -> ((4/5 / (1/9 * (2/5 - 1/7))) - 4)
[35534] ['1/8', '5/8', '2/3', '6/7', '5'] -> (5 / (((1/8 + 5/8) / 6/7) - 2/3))
[35535] ['2/9', '6/7', '5/4', '7/4', '5'] -> (((5/4 - 7/4) + (5 / 6/7)) / 2/9)
[35536] ['1/2', '1', '7/5', '7/4', '9/5'] -> ((1/2 * (1 + 7/5)) / (9/5 - 7/4))
[35537] ['1/5', '1/4', '8/9', '4/3', '4'] -> ((8/9 * 4/3) * (1/4 + (4 / 1/5)))
[35538] ['2/7', '9/8', '6/5', '9/4', '8'] -> ((8 / (6/5 * (2/7 / 9/8))) - 9/4)
[35539] ['1/6', '5/9', '4/5', '6/7', '6'] -> (6 / ((5/9 * 4/5) - (1/6 / 6/7)))
[35540] ['1/4', '7/8', '8/7', '2', '8/3'] -> (8/3 * ((7/8 * 8/7) + (2 / 1/4)))
[35541] ['1/7', '5/8', '8/9', '8/5', '9'] -> ((8/5 / 1/7) + (9 / (5/8 / 8/9)))
[35542] ['3/8', '5/8', '5/7', '5/4', '3'] -> (3 / (5/4 * (5/8 - (3/8 / 5/7))))
[35543] ['2/9', '6/7', '5/4', '9/5', '5'] -> ((5 / (2/9 * 6/7)) - (5/4 * 9/5))
[35544] ['4/9', '5/7', '5/6', '5/2', '4'] -> (((5/2 / 5/7) - 5/6) / (4/9 / 4))
[35545] ['1/8', '5/8', '2/3', '8/9', '5'] -> ((2/3 * 5) / (8/9 - (1/8 + 5/8)))
[35546] ['8/5', '9/5', '7/3', '7/2', '4'] -> (9/5 * (4 + (8/5 * (7/3 + 7/2))))
[35547] ['3/8', '1/2', '1/2', '8/5', '4'] -> ((1/2 + (4 / 8/5)) / (1/2 - 3/8))
[35548] ['1/9', '1/4', '4/7', '7/8', '3'] -> ((4/7 / (1/9 * 1/4)) + (3 / 7/8))
[35549] ['1/5', '1/4', '8/9', '7/5', '4'] -> ((8/9 * 4) * ((7/5 / 1/5) - 1/4))
[35550] ['1/2', '1', '7/5', '7/4', '7/3'] -> ((1 / 1/2) / (7/4 - (7/3 / 7/5)))
[35551] ['8/5', '9/5', '5/2', '5/2', '4'] -> (4 * ((5/2 * (8/5 + 9/5)) - 5/2))
[35552] ['4/9', '5/7', '5/6', '8/3', '4'] -> ((8/3 + 4) / (5/7 * (5/6 - 4/9)))
[35553] ['9/8', '8/7', '6/5', '4/3', '6'] -> ((6 / (8/7 * (4/3 - 9/8))) - 6/5)
[35554] ['9/8', '8/7', '6/5', '7/5', '6'] -> (6 / ((8/7 * 7/5) - (9/8 * 6/5)))
[35555] ['1/7', '5/8', '8/9', '9/5', '9'] -> (8/9 * ((9/5 / 1/7) + (9 / 5/8)))
[35556] ['3/8', '1/2', '5/9', '4/7', '4'] -> (4 / (4/7 * (1/2 - (3/8 * 5/9))))
[35557] ['4/9', '5/7', '5/6', '7/2', '4'] -> (((7/2 * (4 - 5/7)) - 5/6) / 4/9)
[35558] ['2/9', '6/7', '5/4', '5/2', '5'] -> (((5 / 6/7) - (5/4 / 5/2)) / 2/9)
[35559] ['1/6', '5/9', '4/5', '7/6', '6'] -> (6 / ((5/9 * 4/5) - (1/6 * 7/6)))
[35560] ['8/5', '9/5', '4', '9/2', '9/2'] -> ((4 * (8/5 + 9/2)) - (9/5 / 9/2))
[35561] ['1/9', '1/7', '2/5', '8/7', '4'] -> (4 / (1/9 * (8/7 + (1/7 / 2/5))))
[35562] ['1/5', '1/4', '8/9', '5/3', '4'] -> ((8/9 * 5/3) * (1/5 + (4 / 1/4)))
[35563] ['1/7', '5/8', '8/9', '7/3', '9'] -> ((5/8 * 9) + (7/3 / (1/7 * 8/9)))
[35564] ['1/6', '5/7', '5/6', '5/3', '5'] -> (5 + ((5/6 + (5/3 / 5/7)) / 1/6))
[35565] ['3/8', '5/8', '5/7', '9/5', '3'] -> ((9/5 + (3 / 5/7)) / (5/8 - 3/8))
[35566] ['2/7', '9/8', '5/4', '5/4', '8'] -> (((8 / 2/7) - (5/4 / 5/4)) / 9/8)
[35567] ['8/5', '9/4', '9/4', '7/3', '4'] -> ((8/5 * 9/4) * ((9/4 * 4) - 7/3))
[35568] ['2/9', '6/7', '5/4', '7/2', '5'] -> ((5/4 - 7/2) + (5 / (2/9 * 6/7)))
[35569] ['1/5', '1/4', '8/9', '9/5', '4'] -> ((9/5 / (1/5 / 8/9)) + (4 / 1/4))
[35570] ['1/6', '5/9', '4/5', '8/5', '6'] -> (4/5 / ((1/6 / 5/9) - (8/5 / 6)))
[35571] ['1/4', '7/8', '7/6', '9/5', '2'] -> ((2 + (7/6 / 7/8)) / (1/4 / 9/5))
[35572] ['8/5', '9/4', '9/4', '5/2', '4'] -> (9/4 / (4 - (5/2 + (9/4 / 8/5))))
[35573] ['1/9', '1/7', '2/5', '6/5', '4'] -> (((4 - 2/5) / 1/9) - (6/5 / 1/7))
[35574] ['1/2', '1', '7/5', '9/5', '9/4'] -> ((9/5 / 1/2) / ((1 + 7/5) - 9/4))
[35575] ['1/5', '1/4', '8/9', '9/4', '4'] -> (((9/4 / (1/5 / 8/9)) - 4) / 1/4)
[35576] ['1/8', '5/8', '5/7', '7/9', '5'] -> ((5 - (5/7 / 5/8)) / (1/8 / 7/9))
[35577] ['3/8', '1/2', '5/9', '6/7', '4'] -> ((4 / 6/7) / ((3/8 / 1/2) - 5/9))
[35578] ['2/9', '6/7', '5/4', '9/2', '5'] -> ((9/2 * ((5 / 6/7) - 2/9)) - 5/4)
[35579] ['1/9', '1/4', '4/7', '7/5', '3'] -> (7/5 * ((4/7 / 1/9) + (3 / 1/4)))
[35580] ['1/7', '5/8', '8/9', '9/2', '9'] -> (9 / ((5/8 / 1/7) - (8/9 * 9/2)))
[35581] ['3/8', '5/8', '5/7', '8/3', '3'] -> (3 / ((3/8 * 8/3) - (5/8 / 5/7)))
[35582] ['8/5', '9/4', '9/4', '7/2', '4'] -> (8/5 * ((9/4 / 9/4) + (7/2 * 4)))
[35583] ['1/6', '5/9', '5/6', '6/7', '6'] -> (6 / ((5/6 / 6/7) - (1/6 + 5/9)))
[35584] ['1/5', '1/4', '8/9', '7/3', '4'] -> (4 / ((8/9 / (7/3 - 1/5)) - 1/4))
[35585] ['9/8', '8/7', '6/5', '9/4', '6'] -> ((9/4 / (9/8 - (6/5 / 8/7))) - 6)
[35586] ['1/7', '5/8', '9/8', '9/8', '9'] -> ((9 + (9/8 / 1/7)) / (5/8 * 9/8))
[35587] ['1/4', '7/8', '6/5', '5/4', '2'] -> (2 / ((1/4 + 7/8) - (5/4 / 6/5)))
[35588] ['3/8', '5/8', '5/7', '3', '9/2'] -> (9/2 * (3 + (5/8 / (3/8 * 5/7))))
[35589] ['1/6', '5/7', '5/6', '5/2', '5'] -> (((5 / 5/7) - (5/2 / 5/6)) / 1/6)
[35590] ['1/9', '1/4', '4/7', '8/5', '3'] -> (((3 / (8/5 - 4/7)) - 1/4) / 1/9)
[35591] ['2/9', '6/7', '9/7', '7/5', '5'] -> (5 * ((7/5 / 2/9) - (9/7 / 6/7)))
[35592] ['1/2', '1', '7/5', '9/5', '7/2'] -> ((1 + 7/5) / ((9/5 / 1/2) - 7/2))
[35593] ['1/8', '5/8', '5/7', '7/8', '5'] -> (((7/8 / 5/7) - 5/8) / (1/8 / 5))
[35594] ['2/7', '9/8', '5/4', '5/3', '8'] -> (8 / (((5/3 - 5/4) / 2/7) - 9/8))
[35595] ['1/7', '5/8', '9/8', '6/5', '9'] -> ((9 / (9/8 - (1/7 + 5/8))) - 6/5)
[35596] ['1/6', '5/7', '5/6', '8/3', '5'] -> (5 * (5/6 + ((1/6 + 8/3) / 5/7)))
[35597] ['1/6', '5/9', '5/6', '9/8', '6'] -> ((6 - (5/6 / 5/9)) / (1/6 * 9/8))
[35598] ['1/9', '1/4', '4/7', '7/4', '3'] -> (((7/4 / (1/9 / 4/7)) - 3) / 1/4)
[35599] ['1/5', '1/4', '8/9', '8/3', '4'] -> ((8/3 / 1/4) / ((8/9 / 1/5) - 4))
[35600] ['3/8', '1/2', '5/9', '7/5', '4'] -> ((5/9 / (1/2 - 3/8)) * (7/5 + 4))
[35601] ['1/6', '5/7', '5/6', '7/2', '5'] -> ((5 + (7/2 / (1/6 / 5/7))) / 5/6)
[35602] ['2/9', '6/7', '9/7', '7/4', '5'] -> ((5 / (2/9 * 6/7)) - (9/7 * 7/4))
[35603] ['2/7', '9/8', '5/4', '9/5', '8'] -> ((9/5 / 9/8) + (8 / (2/7 * 5/4)))
[35604] ['1/8', '5/8', '5/7', '9/8', '5'] -> ((5 - (9/8 + (5/8 / 5/7))) / 1/8)
[35605] ['1/9', '1/4', '4/7', '9/5', '3'] -> (((3 / (4/7 * 9/5)) - 1/4) / 1/9)
[35606] ['3/8', '5/8', '3/4', '6/5', '3'] -> ((6/5 * 3) / (3/4 - (3/8 / 5/8)))
[35607] ['2/9', '6/7', '9/7', '9/5', '5'] -> (5 * (9/5 + (6/7 / (2/9 * 9/7))))
[35608] ['1/4', '7/8', '6/5', '8/5', '2'] -> (6/5 / (((1/4 + 8/5) / 2) - 7/8))
[35609] ['1/5', '1/4', '8/9', '4', '9/2'] -> (4 / (1/5 * (8/9 - (1/4 / 9/2))))
[35610] ['3/8', '1/2', '5/9', '9/4', '4'] -> (4 / (5/9 - ((3/8 + 1/2) / 9/4)))
[35611] ['4/9', '5/7', '6/7', '3/2', '4'] -> (4 / ((5/7 / 6/7) - (4/9 * 3/2)))
[35612] ['1/9', '1/4', '4/7', '9/4', '3'] -> (3 / (9/4 * (1/4 - (1/9 / 4/7))))
[35613] ['1/6', '5/9', '5/6', '9/7', '6'] -> (((6 / 9/7) - (5/9 / 5/6)) / 1/6)
[35614] ['9/8', '8/7', '5/4', '5/4', '6'] -> (6 / (9/8 - (5/4 / (8/7 * 5/4))))
[35615] ['2/9', '6/7', '9/7', '9/4', '5'] -> ((9/4 * (6/7 / 9/7)) + (5 / 2/9))
[35616] ['1/6', '5/7', '6/7', '8/7', '5'] -> ((5 - (8/7 + (5/7 - 6/7))) / 1/6)
[35617] ['1/5', '1/4', '9/8', '7/6', '4'] -> (4 / (1/5 * (9/8 - (1/4 * 7/6))))
[35618] ['1/7', '5/8', '9/8', '8/5', '9'] -> ((8/5 / 1/7) + (9 / (5/8 * 9/8)))
[35619] ['1/8', '5/8', '5/7', '5/4', '5'] -> (5 + ((5/8 + (5/4 / 5/7)) / 1/8))
[35620] ['2/7', '9/8', '5/4', '7/2', '8'] -> ((5/4 - 2/7) * (8 / (9/8 / 7/2)))
[35621] ['1/5', '1/4', '9/8', '5/4', '4'] -> ((1/4 + 5/4) + (4 / (1/5 / 9/8)))
[35622] ['1/7', '5/8', '9/8', '5/3', '9'] -> ((5/3 - 1/7) * (9 * (5/8 + 9/8)))
[35623] ['4/9', '5/7', '6/7', '7/4', '4'] -> ((6/7 * 4) / (7/4 - (5/7 / 4/9)))
[35624] ['1/6', '5/9', '5/6', '7/4', '6'] -> (((6 - 7/4) / 1/6) - (5/6 / 5/9))
[35625] ['2/7', '9/8', '5/4', '9/2', '8'] -> ((5/4 * 8) + (9/2 / (2/7 * 9/8)))
[35626] ['3/8', '1/2', '4/7', '5/8', '4'] -> ((1/2 / (3/8 - (4/7 * 5/8))) - 4)
[35627] ['1/2', '1', '7/5', '7/3', '5/2'] -> ((5/2 / ((7/5 / 7/3) - 1/2)) - 1)
[35628] ['1/9', '1/4', '3/5', '7/9', '3'] -> ((3 + (7/9 / 1/9)) / (1/4 / 3/5))
[35629] ['4/9', '5/7', '6/7', '9/5', '4'] -> ((6/7 / 5/7) / ((9/5 / 4/9) - 4))
[35630] ['2/7', '9/8', '9/7', '9/7', '8'] -> (((8 / 2/7) - (9/7 / 9/7)) / 9/8)
[35631] ['1/2', '1', '7/5', '7/3', '8/3'] -> ((7/3 + 8/3) / (1/2 / (1 + 7/5)))
[35632] ['8/5', '7/3', '7/3', '7/2', '4'] -> (8/5 * ((7/3 / 7/3) + (7/2 * 4)))
[35633] ['3/8', '5/8', '7/9', '4/5', '3'] -> (((3/8 / 5/8) / (4/5 - 7/9)) - 3)
[35634] ['1/4', '7/8', '6/5', '2', '5/2'] -> ((6/5 * 2) / ((7/8 / 5/2) - 1/4))
[35635] ['2/9', '6/7', '4/3', '7/5', '5'] -> (5 * ((4/3 / 2/9) - (6/7 * 7/5)))
[35636] ['1/5', '1/4', '9/8', '7/5', '4'] -> (((7/5 / 1/5) - 1/4) / (9/8 / 4))
[35637] ['1/8', '5/8', '5/7', '8/5', '5'] -> ((8/5 / 1/8) + (5 / (5/8 * 5/7)))
[35638] ['1/7', '5/8', '9/8', '9/5', '9'] -> (((9/5 / 1/7) + (9 / 5/8)) / 9/8)
[35639] ['4/9', '5/7', '6/7', '9/4', '4'] -> (4 / ((4/9 * 9/4) - (5/7 / 6/7)))
[35640] ['1/6', '5/9', '6/7', '7/8', '6'] -> (6 / ((7/8 * (5/9 * 6/7)) - 1/6))
[35641] ['1/4', '7/8', '6/5', '2', '8/3'] -> ((2 / (6/5 - (1/4 + 7/8))) - 8/3)
[35642] ['2/7', '9/8', '9/7', '7/5', '8'] -> (((9/7 / 9/8) + (8 / 7/5)) / 2/7)
[35643] ['8/5', '7/3', '5/2', '5/2', '4'] -> (5/2 / (4 - (7/3 + (5/2 / 8/5))))
[35644] ['1/2', '1', '7/5', '5/2', '5/2'] -> ((5/2 + 5/2) / (1/2 / (1 + 7/5)))
[35645] ['3/8', '1/2', '4/7', '5/6', '4'] -> ((1/2 + (4 / 4/7)) / (3/8 * 5/6))
[35646] ['3/8', '5/8', '7/9', '8/7', '3'] -> ((8/7 * 3) / (5/8 - (3/8 / 7/9)))
[35647] ['1/9', '1/4', '3/5', '7/8', '3'] -> (((3 / (1/4 - 1/9)) - 3/5) / 7/8)
[35648] ['1/5', '1/4', '9/8', '5/3', '4'] -> ((1/5 + (4 / 1/4)) / (9/8 / 5/3))
[35649] ['1/6', '5/7', '6/7', '8/3', '5'] -> ((((5/7 + 5) / 6/7) - 8/3) / 1/6)
[35650] ['1/2', '1', '7/5', '5/2', '8/3'] -> ((1 + (7/5 * 5/2)) / (1/2 / 8/3))
[35652] ['1/9', '1/4', '3/5', '8/9', '3'] -> (((1/9 + 8/9) + (3 / 3/5)) / 1/4)
[35651] ['3/8', '5/8', '7/9', '7/6', '3'] -> ((3 / 7/9) / ((5/8 / 7/6) - 3/8))
[35653] ['4/9', '5/7', '6/7', '8/3', '4'] -> (6/7 / ((8/3 / (4 - 4/9)) - 5/7))
[35654] ['9/8', '8/7', '5/4', '8/3', '6'] -> (((5/4 / (8/7 - 9/8)) - 6) / 8/3)
[35655] ['1/7', '5/8', '9/8', '9/2', '9'] -> (9 / ((5/8 / 1/7) - (9/2 / 9/8)))
[35656] ['1/5', '1/4', '9/8', '9/4', '4'] -> (((9/4 / (1/5 * 9/8)) - 4) / 1/4)
[35657] ['1/2', '1', '7/5', '8/3', '8/3'] -> ((8/3 / ((1/2 + 1) - 7/5)) - 8/3)
[35658] ['1/6', '5/9', '6/7', '6/5', '6'] -> (5/9 * (6/5 + (6 / (1/6 * 6/7))))
[35659] ['1/4', '7/8', '5/4', '9/7', '2'] -> ((7/8 / (9/7 - 5/4)) - (1/4 * 2))
[35660] ['3/8', '1/2', '4/7', '9/8', '4'] -> ((9/8 + ((1/2 + 4) / 4/7)) / 3/8)
[35661] ['2/7', '9/8', '9/7', '7/3', '8'] -> ((9/7 / 9/8) / (7/3 - (2/7 * 8)))
[35662] ['9/8', '8/7', '5/4', '7/2', '6'] -> (7/2 * ((9/8 * 6) - (8/7 - 5/4)))
[35663] ['4/9', '5/7', '6/7', '7/2', '4'] -> ((7/2 - (5/7 / 6/7)) / (4/9 / 4))
[35664] ['1/8', '5/8', '5/7', '7/3', '5'] -> ((5/7 + 7/3) * ((5 / 5/8) - 1/8))
[35665] ['1/5', '1/4', '9/8', '7/3', '4'] -> (4 / ((9/8 / (1/5 + 1/4)) - 7/3))
[35666] ['1/9', '1/7', '3/7', '5/8', '4'] -> (3/7 / ((5/8 / (4 - 1/9)) - 1/7))
[35667] ['3/8', '1/2', '4/7', '7/6', '4'] -> (4 / (4/7 * (7/6 - (3/8 + 1/2))))
[35668] ['1/6', '5/9', '6/7', '5/4', '6'] -> (6 / ((5/9 / 5/4) - (1/6 / 6/7)))
[35669] ['1/9', '1/4', '3/5', '8/7', '3'] -> (8/7 * ((3 / (1/4 - 1/9)) - 3/5))
[35670] ['2/9', '6/7', '4/3', '9/4', '5'] -> ((4/3 / (2/9 - (6/7 / 5))) - 9/4)
[35671] ['8/5', '7/3', '4', '9/2', '9/2'] -> ((8/5 * (4 - 7/3)) * (9/2 + 9/2))
[35672] ['1/8', '5/8', '5/7', '8/3', '5'] -> (5 / (5/7 * (5/8 - (1/8 * 8/3))))
[35673] ['3/8', '1/2', '4/7', '6/5', '4'] -> ((1/2 + (4 / 4/7)) / (3/8 / 6/5))
[35674] ['1/6', '5/7', '7/8', '7/6', '5'] -> (5 / ((1/6 + 7/8) - (5/7 * 7/6)))
[35675] ['1/4', '7/8', '5/4', '8/5', '2'] -> ((1/4 + 2) / (7/8 - (5/4 / 8/5)))
[35676] ['2/7', '9/8', '4/3', '4/3', '8'] -> (((8 / 2/7) - (4/3 / 4/3)) / 9/8)
[35677] ['1/7', '5/8', '8/7', '6/5', '9'] -> ((6/5 / (1/7 / 8/7)) + (9 / 5/8))
[35678] ['4/9', '5/7', '7/8', '8/9', '4'] -> ((4 / 7/8) / ((5/7 * 8/9) - 4/9))
[35679] ['1/8', '5/8', '3/4', '7/9', '5'] -> (5 / (3/4 * (7/9 + (1/8 - 5/8))))
[35680] ['2/7', '9/8', '4/3', '7/5', '8'] -> (9/8 * (4/3 + (8 / (2/7 * 7/5))))
[35681] ['4/9', '5/7', '7/8', '9/8', '4'] -> ((4 / 7/8) / ((5/7 / 9/8) - 4/9))
[35682] ['2/9', '6/7', '4/3', '7/2', '5'] -> (7/2 * ((2/9 * 6/7) + (4/3 * 5)))
[35683] ['1/6', '5/9', '6/7', '5/3', '6'] -> (((6 / 6/7) - (5/3 / 5/9)) / 1/6)
[35684] ['1/9', '1/4', '3/5', '4/3', '3'] -> (((1/4 / 3/5) + (3 / 4/3)) / 1/9)
[35685] ['2/7', '9/8', '4/3', '3/2', '8'] -> ((8 / (2/7 * 9/8)) - (4/3 / 3/2))
[35686] ['3/8', '1/2', '4/7', '4/3', '4'] -> ((4 / 4/7) / ((1/2 * 4/3) - 3/8))
[35687] ['1/9', '1/7', '3/7', '7/8', '4'] -> (4 / (7/8 * (1/7 + (1/9 * 3/7))))
[35688] ['1/6', '5/7', '7/8', '4/3', '5'] -> (5 / (5/7 * (4/3 - (1/6 + 7/8))))
[35689] ['3/8', '5/8', '7/9', '3/2', '3'] -> (3 / ((5/8 / 3/2) - (3/8 * 7/9)))
