[70921] ['1/5', '4/7', '9/7', '9/7', '6'] -> (((9/7 / 1/5) + (9/7 + 6)) / 4/7)
[70942] ['1/9', '6/7', '5/4', '4', '9/2'] -> (4 * ((5/4 / 1/9) - (9/2 / 6/7)))
[70943] ['1/8', '1/7', '8/5', '5/2', '3'] -> (5/2 * ((3 / (1/8 + 1/7)) - 8/5))
[70944] ['2/7', '6/7', '8/7', '9/5', '2'] -> (8/7 / (2/7 - ((6/7 / 9/5) / 2)))
[70945] ['1/9', '5/9', '5/7', '6/7', '5'] -> ((5 + (5/7 / 1/9)) / (5/9 * 6/7))
[70946] ['1/5', '3/5', '6/7', '6/5', '5'] -> ((5 - (3/5 - 6/5)) / (1/5 / 6/7))
[70947] ['2/5', '6/7', '3/2', '7/3', '3'] -> (3/2 + ((6/7 + 3) / (2/5 / 7/3)))
[70948] ['5/9', '5/7', '3/2', '7/3', '4'] -> (4 / (((5/9 + 3/2) / 7/3) - 5/7))
[70949] ['1/6', '3/5', '8/7', '6/5', '9'] -> (8/7 * (9 + (6/5 / (1/6 * 3/5))))
[70950] ['2/5', '7/9', '6/7', '6/5', '4'] -> ((6/7 + (6/5 / 7/9)) / (2/5 / 4))
[70951] ['1/9', '5/9', '5/7', '7/8', '5'] -> (5 / ((1/9 + 7/8) - (5/9 / 5/7)))
[70952] ['1/9', '2/7', '5/8', '3/4', '7'] -> ((5/8 / 1/9) + (7 / (2/7 / 3/4)))
[70953] ['4/7', '5/6', '1', '9/7', '7/5'] -> (4/7 / (((5/6 + 1) / 7/5) - 9/7))
[70954] ['2/5', '6/7', '3/2', '5/2', '3'] -> (3 * ((3/2 / 6/7) + (5/2 / 2/5)))
[70955] ['2/5', '7/9', '6/7', '5/4', '4'] -> (4 / ((7/9 * 6/7) - (2/5 * 5/4)))
[70956] ['1/7', '2/5', '4/5', '7/3', '5'] -> ((7/3 * (1/7 + 5)) / (2/5 / 4/5))
[70957] ['1/4', '5/3', '9/5', '7/3', '5'] -> ((7/3 - 5/3) * (5 / (1/4 / 9/5)))
[70958] ['2/9', '2/7', '4/7', '7/8', '4'] -> ((4 / (2/9 * 7/8)) / (2/7 + 4/7))
[70959] ['1/9', '6/7', '9/7', '5/3', '4'] -> (4 * (((5/3 - 6/7) / 1/9) - 9/7))
[70960] ['1/5', '4/7', '9/7', '9/2', '6'] -> ((6 * (4/7 + 9/2)) - (9/7 / 1/5))
[70961] ['1/6', '3/5', '8/7', '9/7', '9'] -> ((8/7 / 1/6) + ((9/7 + 9) / 3/5))
[70962] ['5/9', '5/7', '3/2', '7/2', '4'] -> (4 * (3/2 + (7/2 / (5/9 / 5/7))))
[70963] ['1/9', '2/7', '5/8', '5/6', '7'] -> ((7 / (1/9 / 2/7)) / (5/8 / 5/6))
[70964] ['2/5', '6/7', '3/2', '3', '9/2'] -> (3 / (9/2 - (3/2 / (2/5 * 6/7))))
[70965] ['4/7', '5/6', '1', '9/7', '5/3'] -> (4/7 / ((9/7 * (5/3 - 1)) - 5/6))
[70966] ['1/9', '6/7', '9/7', '7/4', '4'] -> ((4 + (6/7 / 9/7)) / (1/9 * 7/4))
[70967] ['1/5', '1/3', '5/9', '5/2', '8'] -> ((1/5 + 5/2) * (8 + (1/3 + 5/9)))
[70968] ['2/9', '2/7', '4/7', '9/8', '4'] -> ((4 + (4/7 / 2/7)) / (2/9 * 9/8))
[70969] ['2/7', '6/7', '7/6', '7/5', '2'] -> ((2/7 * 2) / (6/7 - (7/6 / 7/5)))
[70970] ['2/5', '6/7', '8/5', '8/5', '3'] -> (8/5 / ((8/5 / 3) - (2/5 / 6/7)))
[70971] ['1/7', '2/5', '4/5', '9/2', '5'] -> ((4/5 * ((5 / 1/7) - 9/2)) - 2/5)
[70972] ['5/9', '5/7', '3/2', '4', '9/2'] -> (4 * ((9/2 / 5/9) - (3/2 / 5/7)))
[70973] ['1/9', '5/9', '5/7', '7/6', '5'] -> ((5 + (5/7 / 1/9)) / (5/9 / 7/6))
[70974] ['1/9', '6/7', '9/7', '9/5', '4'] -> (4 / ((6/7 / (9/7 + 9/5)) - 1/9))
[70975] ['1/6', '3/5', '8/7', '7/5', '9'] -> (8/7 * (9 + ((3/5 + 7/5) / 1/6)))
[70976] ['2/5', '7/9', '6/7', '3/2', '4'] -> (4 / ((6/7 / (2/5 / 7/9)) - 3/2))
[70977] ['1/5', '3/5', '6/7', '5/3', '5'] -> (((5 - 3/5) / (1/5 * 6/7)) - 5/3)
[70978] ['1/9', '2/7', '5/8', '8/9', '7'] -> ((7 / 2/7) - (5/8 - (1/9 / 8/9)))
[70979] ['1/7', '2/5', '5/6', '7/8', '5'] -> (5 / ((2/5 * 5/6) - (1/7 * 7/8)))
[70980] ['1/6', '3/5', '8/7', '3/2', '9'] -> ((8/7 * 9) * ((3/2 / 3/5) - 1/6))
[70981] ['5/9', '5/7', '8/5', '5/3', '4'] -> ((8/5 + 4) / (5/9 / (5/7 + 5/3)))
[70982] ['1/9', '2/7', '5/8', '9/8', '7'] -> ((7 / 2/7) - (5/8 - (1/9 * 9/8)))
[70983] ['2/9', '2/7', '4/7', '7/5', '4'] -> (7/5 * ((4 / 2/9) - (2/7 + 4/7)))
[70984] ['2/5', '7/9', '6/7', '9/5', '4'] -> (6/7 + ((9/5 * 4) / (2/5 * 7/9)))
[70985] ['1/5', '3/5', '6/7', '9/5', '5'] -> (6/7 * ((9/5 / 3/5) + (5 / 1/5)))
[70986] ['1/9', '2/7', '5/8', '8/7', '7'] -> ((1/9 + 7) * ((8/7 / 2/7) - 5/8))
[70987] ['1/6', '3/5', '8/7', '5/3', '9'] -> ((8/7 * 5/3) * (9 + (3/5 / 1/6)))
[70988] ['1/9', '5/9', '5/7', '9/7', '5'] -> (5/9 * ((5 / 1/9) - (9/7 / 5/7)))
[70989] ['1/5', '4/7', '4/3', '9/4', '6'] -> ((6 / ((4/7 / 4/3) - 1/5)) - 9/4)
[70990] ['1/7', '2/5', '5/6', '9/8', '5'] -> (5 / (1/7 * (9/8 + (2/5 * 5/6))))
[70991] ['2/5', '7/9', '6/7', '9/4', '4'] -> (9/4 * ((7/9 * 6/7) + (4 / 2/5)))
[70992] ['2/9', '2/7', '4/7', '8/5', '4'] -> (4 / (2/9 * (4/7 + (2/7 / 8/5))))
[70993] ['1/4', '7/4', '7/4', '7/4', '5'] -> ((7/4 + (7/4 * 5)) / (1/4 * 7/4))
[70994] ['2/7', '6/7', '7/6', '2', '7/3'] -> (6/7 / (2/7 - ((7/6 / 2) / 7/3)))
[70995] ['1/9', '6/7', '4/3', '8/5', '4'] -> ((8/5 + 4) / (1/9 / (4/3 - 6/7)))
[70996] ['1/9', '2/7', '5/8', '6/5', '7'] -> ((7 / (1/9 / 2/7)) / (5/8 * 6/5))
[70997] ['1/9', '5/9', '5/7', '7/5', '5'] -> ((5 / (1/9 / 5/9)) - (5/7 * 7/5))
[70998] ['2/5', '7/9', '6/7', '7/3', '4'] -> ((7/9 * 6/7) + (4 / (2/5 / 7/3)))
[70999] ['1/5', '1/3', '4/7', '5/6', '8'] -> ((8 + (1/3 / 5/6)) / (1/5 / 4/7))
[71000] ['1/7', '2/5', '5/6', '7/6', '5'] -> (5 * ((2/5 / 1/7) + (5/6 + 7/6)))
[71001] ['2/7', '6/7', '7/6', '2', '5/2'] -> (2 / ((6/7 / 2/7) - (7/6 * 5/2)))
[71002] ['1/9', '6/7', '4/3', '5/3', '4'] -> ((4/3 / (1/9 / 6/7)) * (4 - 5/3))
[71003] ['4/7', '5/6', '1', '4/3', '7/5'] -> (4/7 / (4/3 - ((5/6 + 1) / 7/5)))
[71004] ['1/7', '2/5', '5/6', '6/5', '5'] -> ((6/5 + (2/5 / 1/7)) / (5/6 / 5))
[71005] ['1/4', '7/4', '7/4', '7/3', '5'] -> (((7/4 + 5) - (7/4 / 7/3)) / 1/4)
[71006] ['1/6', '3/5', '8/7', '9/5', '9'] -> (8/7 / ((9/5 / (9 - 3/5)) - 1/6))
[71007] ['2/5', '7/9', '6/7', '8/3', '4'] -> (4 * ((8/3 / 2/5) - (7/9 * 6/7)))
[71008] ['1/5', '4/7', '4/3', '7/2', '6'] -> (((4/7 * 7/2) + (6 / 1/5)) / 4/3)
[71009] ['2/5', '6/7', '5/3', '9/4', '3'] -> ((3 / ((6/7 / 5/3) - 2/5)) - 9/4)
[71010] ['2/9', '2/7', '4/7', '5/2', '4'] -> ((2/7 / 2/9) / ((5/2 / 4) - 4/7))
[71011] ['2/7', '6/7', '6/5', '6/5', '2'] -> ((6/5 + 6/5) / (2/7 / (6/7 + 2)))
[71012] ['1/9', '6/7', '4/3', '5/2', '4'] -> ((4/3 / (1/9 * 6/7)) + (5/2 * 4))
[71013] ['1/4', '7/4', '7/4', '5/2', '5'] -> (((7/4 + 7/4) - (5/2 - 5)) / 1/4)
[71014] ['1/6', '3/5', '8/7', '5/2', '9'] -> (8/7 * ((9 / (1/6 * 5/2)) - 3/5))
[71015] ['1/5', '3/5', '7/8', '7/6', '5'] -> (5 / (((7/8 - 3/5) / 1/5) - 7/6))
[71016] ['1/5', '1/3', '4/7', '7/6', '8'] -> (8 * ((7/6 / (1/5 / 4/7)) - 1/3))
[71017] ['1/5', '4/7', '7/5', '7/5', '6'] -> ((4/7 * 7/5) / ((7/5 / 6) - 1/5))
[71018] ['2/7', '6/7', '6/5', '9/7', '2'] -> ((6/5 + 2) / (2/7 / (6/7 + 9/7)))
[71019] ['1/4', '7/4', '9/5', '9/4', '5'] -> ((9/4 + ((7/4 + 5) / 9/5)) / 1/4)
[71020] ['1/6', '3/5', '8/7', '7/2', '9'] -> (8/7 * (1/6 + ((7/2 + 9) / 3/5)))
[71021] ['2/7', '6/7', '6/5', '4/3', '2'] -> ((4/3 + 2) / (2/7 / (6/7 + 6/5)))
[71022] ['4/7', '5/6', '1', '4/3', '7/3'] -> (4/7 / ((5/6 / 7/3) + (1 - 4/3)))
[71023] ['1/9', '6/7', '7/5', '8/5', '4'] -> ((4 - (8/5 / (6/7 * 7/5))) / 1/9)
[71024] ['5/9', '5/7', '5/3', '7/4', '4'] -> ((5/3 / 7/4) * (4 / (5/7 - 5/9)))
[71025] ['1/7', '2/5', '5/6', '5/3', '5'] -> (5 * ((2/5 / 1/7) + (5/3 / 5/6)))
[71026] ['5/9', '5/7', '5/3', '9/5', '4'] -> (4 * (9/5 + (5/3 / (5/9 * 5/7))))
[71027] ['2/9', '2/7', '3/5', '3/4', '4'] -> ((4 / (2/9 + 3/4)) / (2/7 * 3/5))
[71028] ['1/5', '4/7', '7/5', '7/3', '6'] -> (6 / ((7/5 / 7/3) - (1/5 / 4/7)))
[71029] ['4/7', '5/6', '1', '4/3', '5/2'] -> (4/7 / ((1 / (5/2 - 4/3)) - 5/6))
[71030] ['1/6', '3/5', '7/6', '5/4', '9'] -> (9 * ((3/5 / 1/6) - (7/6 / 5/4)))
[71031] ['1/7', '2/5', '5/6', '7/4', '5'] -> (5 / (5/6 - (7/4 * (1/7 / 2/5))))
[71032] ['1/9', '2/7', '5/8', '7/3', '7'] -> (7 / (5/8 - (2/7 + (1/9 / 7/3))))
[71033] ['4/7', '5/6', '1', '4/3', '8/3'] -> (1 / ((4/3 / (4/7 * 8/3)) - 5/6))
[71034] ['1/9', '6/7', '7/5', '9/5', '4'] -> ((7/5 / 9/5) * (4 / (1/9 / 6/7)))
[71035] ['1/5', '4/7', '7/5', '8/3', '6'] -> (8/3 * ((7/5 * (4/7 + 6)) - 1/5))
[71036] ['1/5', '3/5', '7/8', '7/3', '5'] -> (5 / ((7/8 + 7/3) - (3/5 / 1/5)))
[71037] ['1/9', '5/9', '3/4', '3/4', '5'] -> ((5 / (1/9 / 5/9)) - (3/4 / 3/4))
[71038] ['2/7', '6/7', '6/5', '5/3', '2'] -> ((6/7 + 6/5) * (2 / (2/7 / 5/3)))
[71039] ['4/7', '5/6', '1', '4/3', '7/2'] -> ((4/7 * 7/2) / (5/6 - (1 / 4/3)))
[71040] ['1/9', '5/9', '3/4', '4/5', '5'] -> ((4/5 / (1/9 / 3/4)) * (5 - 5/9))
[71041] ['1/4', '9/5', '9/5', '9/5', '5'] -> ((9/5 + (9/5 * 5)) / (1/4 * 9/5))
[71042] ['1/5', '3/5', '7/8', '8/3', '5'] -> (1/5 / ((8/3 / 5) - (3/5 * 7/8)))
[71043] ['2/7', '6/7', '6/5', '2', '9/4'] -> ((6/7 / 2/7) / (2 - (9/4 / 6/5)))
[71044] ['1/5', '4/7', '3/2', '5/3', '6'] -> (((6 / (4/7 * 5/3)) - 3/2) / 1/5)
[71045] ['1/7', '2/5', '5/6', '8/3', '5'] -> ((8/3 / 1/7) + (5 + (2/5 * 5/6)))
[71046] ['1/9', '5/9', '3/4', '6/7', '5'] -> (5 / ((3/4 / 6/7) - (1/9 + 5/9)))
[71047] ['2/5', '6/7', '7/4', '3', '7/2'] -> (6/7 * (7/4 + (7/2 / (2/5 / 3))))
[71048] ['2/9', '2/7', '3/5', '8/9', '4'] -> ((4 / (2/7 * 3/5)) - (2/9 - 8/9))
[71049] ['1/7', '2/5', '5/6', '7/2', '5'] -> ((7/2 / (1/7 * 5/6)) - (2/5 + 5))
[71050] ['1/4', '9/5', '9/5', '7/2', '5'] -> ((9/5 / 1/4) / ((9/5 + 7/2) - 5))
[71051] ['1/8', '1/7', '8/3', '3', '7/2'] -> (7/2 * ((8/3 * 3) - (1/7 / 1/8)))
[71052] ['2/7', '6/7', '6/5', '2', '8/3'] -> (2 / ((6/7 / 8/3) - (2/7 / 6/5)))
[71053] ['1/5', '4/7', '3/2', '9/4', '6'] -> ((3/2 + (6 / (1/5 * 4/7))) / 9/4)
[71054] ['1/9', '6/7', '7/5', '4', '9/2'] -> (((4 / 7/5) - (6/7 / 9/2)) / 1/9)
[71055] ['1/4', '9/5', '9/5', '9/2', '5'] -> ((9/2 / 1/4) + (5 + (9/5 / 9/5)))
[71056] ['1/9', '2/7', '2/3', '5/6', '7'] -> ((2/7 * 2/3) / ((5/6 / 7) - 1/9))
[71057] ['1/5', '1/3', '3/5', '9/7', '8'] -> (8 / ((1/5 - 1/3) + (3/5 / 9/7)))
[71058] ['2/7', '6/7', '6/5', '2', '7/2'] -> (2 / ((6/7 / 2/7) - (7/2 / 6/5)))
[71059] ['1/6', '3/5', '5/4', '9/7', '9'] -> ((9 / 5/4) / ((3/5 / 9/7) - 1/6))
[71060] ['1/7', '2/5', '6/7', '7/8', '5'] -> ((2/5 + (1/7 / 5)) / (7/8 - 6/7))
[71061] ['2/9', '2/7', '3/5', '7/6', '4'] -> (((2/9 / 7/6) + (4 / 3/5)) / 2/7)
[71062] ['2/5', '6/7', '9/5', '9/4', '3'] -> (3 / (((9/4 - 9/5) / 6/7) - 2/5))
[71063] ['1/9', '5/9', '3/4', '6/5', '5'] -> (6/5 / ((1/9 / 5/9) - (3/4 / 5)))
[71064] ['2/7', '6/7', '6/5', '2', '9/2'] -> ((6/5 + 2) * (9/2 + (6/7 / 2/7)))
[71065] ['1/6', '3/5', '5/4', '4/3', '9'] -> (9 / (4/3 - (5/4 * (1/6 + 3/5))))
[71066] ['1/5', '4/7', '3/2', '9/2', '6'] -> (4/7 * (9/2 + ((3/2 + 6) / 1/5)))
[71067] ['2/5', '6/7', '9/5', '7/3', '3'] -> ((9/5 + 3) * (7/3 / (2/5 / 6/7)))
[71068] ['1/9', '6/7', '3/2', '8/5', '4'] -> ((6/7 * 8/5) * (4 + (3/2 / 1/9)))
[71069] ['1/5', '3/5', '8/9', '7/5', '5'] -> (8/9 * ((3/5 + 7/5) + (5 / 1/5)))
[71070] ['4/7', '5/6', '1', '7/5', '5/2'] -> ((1 / 5/6) / (5/2 - (7/5 / 4/7)))
[71071] ['1/5', '4/7', '8/5', '8/5', '6'] -> (((8/5 + 6) - (8/5 / 4/7)) / 1/5)
[71072] ['1/9', '2/7', '2/3', '6/5', '7'] -> ((7 / (2/3 - (1/9 / 2/7))) - 6/5)
[71073] ['2/7', '6/7', '5/4', '7/5', '2'] -> (6/7 / ((2/7 - 2) + (5/4 * 7/5)))
[71074] ['1/9', '5/9', '3/4', '3/2', '5'] -> (((3/4 * (5/9 + 5)) - 3/2) / 1/9)
[71075] ['1/4', '9/5', '7/3', '7/2', '5'] -> ((7/3 / 7/2) * (5 / (1/4 / 9/5)))
[71076] ['1/7', '2/5', '6/7', '7/6', '5'] -> (((6/7 / 1/7) - 2/5) / (7/6 / 5))
[71077] ['2/5', '6/7', '9/5', '3', '7/2'] -> (7/2 * (3 + (9/5 / (2/5 / 6/7))))
[71079] ['2/9', '2/7', '3/5', '4/3', '4'] -> ((4/3 / (2/9 * 3/5)) + (4 / 2/7))
[71078] ['1/4', '9/5', '7/3', '9/2', '5'] -> ((9/5 - (7/3 / 5)) / (1/4 / 9/2))
[71080] ['1/9', '5/9', '3/4', '8/5', '5'] -> ((5 / (5/9 - 1/9)) / (3/4 / 8/5))
[71081] ['1/9', '2/7', '2/3', '7/5', '7'] -> (((7 / 7/5) - (2/3 / 2/7)) / 1/9)
[71082] ['5/9', '5/7', '9/5', '7/3', '4'] -> (7/3 * (9/5 + ((5/7 + 4) / 5/9)))
[71083] ['1/7', '2/5', '6/7', '9/7', '5'] -> ((6/7 + (5 * (2/5 * 9/7))) / 1/7)
[71084] ['2/5', '6/7', '9/5', '3', '9/2'] -> (((9/5 / 6/7) + (3 + 9/2)) / 2/5)
[71085] ['1/9', '2/7', '2/3', '3/2', '7'] -> ((7 / 2/7) - (2/3 - (1/9 * 3/2)))
[71086] ['2/9', '2/7', '3/5', '8/5', '4'] -> (((8/5 / (2/7 * 3/5)) - 4) / 2/9)
[71087] ['1/5', '3/5', '8/9', '5/2', '5'] -> ((1/5 + (5 / 3/5)) / (8/9 / 5/2))
[71088] ['1/7', '2/5', '6/7', '4/3', '5'] -> ((2/5 + (6/7 / 1/7)) / (4/3 / 5))
[71089] ['1/9', '6/7', '3/2', '4', '9/2'] -> ((((4 / 6/7) - 3/2) / 1/9) - 9/2)
[71090] ['1/5', '4/7', '5/3', '5/3', '6'] -> ((6 / 1/5) / ((5/3 / 4/7) - 5/3))
[71091] ['5/9', '5/7', '9/5', '7/2', '4'] -> ((5/7 + (5/9 * 9/5)) * (7/2 * 4))
[71092] ['2/9', '2/7', '3/5', '7/4', '4'] -> ((4 / 3/5) / ((2/7 * 7/4) - 2/9))
[71093] ['2/7', '6/7', '9/7', '9/7', '2'] -> ((9/7 + (6/7 + 9/7)) / (2/7 / 2))
[71094] ['1/9', '2/7', '2/3', '9/5', '7'] -> ((9/5 * 7) * ((2/7 / 1/9) - 2/3))
[71095] ['1/7', '2/5', '6/7', '3/2', '5'] -> ((6/7 - 2/5) * (5 / (1/7 / 3/2)))
[71096] ['1/6', '3/5', '9/7', '7/5', '9'] -> (3/5 + (7/5 * (9 + (9/7 / 1/6))))
[71097] ['1/4', '9/5', '7/2', '7/2', '5'] -> (((9/5 + 7/2) + (7/2 / 5)) / 1/4)
[71098] ['1/9', '5/9', '3/4', '7/2', '5'] -> ((1/9 + 5/9) + (5 / (3/4 / 7/2)))
[71099] ['1/5', '4/7', '5/3', '7/4', '6'] -> ((6 / 7/4) / ((4/7 / 5/3) - 1/5))
[71100] ['4/7', '5/6', '1', '3/2', '9/4'] -> (1 / ((9/4 / 3/2) - (5/6 / 4/7)))
[71101] ['1/9', '6/7', '8/5', '7/4', '4'] -> ((6/7 * 7/4) + (4 / (1/9 * 8/5)))
[71102] ['1/9', '2/7', '2/3', '9/4', '7'] -> ((2/3 / 1/9) / (9/4 - (2/7 * 7)))
[71103] ['1/7', '2/5', '6/7', '5/3', '5'] -> (((2/5 * 5) + (6/7 * 5/3)) / 1/7)
[71104] ['2/9', '2/7', '3/5', '9/4', '4'] -> ((4 / (2/7 - (2/9 * 3/5))) - 9/4)
[71105] ['1/5', '4/7', '5/3', '9/5', '6'] -> (6 * (5/3 + (9/5 / (1/5 + 4/7))))
[71106] ['1/6', '3/5', '9/7', '3/2', '9'] -> ((9/7 + 9) * ((3/2 / 3/5) - 1/6))
[71107] ['1/4', '9/5', '7/2', '9/2', '5'] -> (((7/2 + 5) - (9/2 / 9/5)) / 1/4)
[71108] ['2/7', '6/7', '9/7', '8/5', '2'] -> ((6/7 + 9/7) * (2 / (2/7 / 8/5)))
[71109] ['1/9', '6/7', '8/5', '9/4', '4'] -> ((4 / (8/5 * (1/9 * 6/7))) - 9/4)
[71110] ['5/9', '5/7', '9/4', '7/3', '4'] -> (7/3 * ((5/7 / 5/9) + (9/4 * 4)))
[71111] ['1/9', '2/7', '2/3', '5/2', '7'] -> ((2/7 + 2/3) * (7 / (1/9 * 5/2)))
[71112] ['1/6', '3/5', '9/7', '8/5', '9'] -> (((9 / 9/7) - 3/5) / (1/6 * 8/5))
[71113] ['1/4', '9/5', '9/2', '9/2', '5'] -> (1/4 + ((9/2 + 5) / (9/5 / 9/2)))
[71114] ['1/9', '5/9', '7/9', '6/7', '5'] -> (((7/9 * (5 - 6/7)) - 5/9) / 1/9)
[71115] ['1/7', '2/5', '6/7', '9/4', '5'] -> ((6/7 / 1/7) / (9/4 - (2/5 * 5)))
[71116] ['2/5', '6/7', '7/3', '7/3', '3'] -> ((7/3 + 7/3) * (3 + (6/7 / 2/5)))
[71117] ['1/5', '4/7', '5/3', '7/3', '6'] -> ((6 / (1/5 / 4/7)) / (5/3 / 7/3))
[71118] ['1/4', '9/4', '9/4', '9/4', '5'] -> ((9/4 + (9/4 * 5)) / (1/4 * 9/4))
[71119] ['1/5', '3/5', '9/8', '7/5', '5'] -> (((3/5 + 7/5) + (5 / 1/5)) / 9/8)
[71120] ['1/9', '2/7', '2/3', '8/3', '7'] -> ((2/3 / 7) / (1/9 - (2/7 / 8/3)))
[71121] ['4/7', '5/6', '1', '3/2', '8/3'] -> (4/7 / ((1 / (8/3 - 3/2)) - 5/6))
[71122] ['1/4', '9/4', '9/4', '5/2', '5'] -> (1/4 + (5/2 * (5 + (9/4 + 9/4))))
[71123] ['1/5', '4/7', '5/3', '5/2', '6'] -> (((6 / 4/7) - 5/2) / (1/5 * 5/3))
[71124] ['1/7', '2/5', '6/7', '8/3', '5'] -> ((6/7 / 5) / ((2/5 / 8/3) - 1/7))
[71125] ['5/9', '5/7', '9/4', '7/2', '4'] -> (7/2 * (4 + (9/4 * (5/9 + 5/7))))
[71126] ['2/7', '6/7', '9/7', '2', '5/2'] -> ((9/7 + (6/7 * 5/2)) / (2/7 / 2))
[71127] ['1/9', '5/9', '7/9', '9/8', '5'] -> (5 / ((7/9 * 9/8) - (1/9 + 5/9)))
[71128] ['1/5', '1/3', '2/3', '3/4', '8'] -> ((8 + (2/3 / (1/5 * 1/3))) / 3/4)
[71129] ['1/9', '2/7', '2/3', '9/2', '7'] -> (((9/2 / 1/9) - (7 / 2/7)) / 2/3)
[71130] ['4/7', '5/6', '1', '3/2', '7/2'] -> (1 / (7/2 - (5/6 + (3/2 / 4/7))))
[71131] ['2/5', '6/7', '7/3', '8/3', '3'] -> ((8/3 / 2/5) / (3 - (7/3 / 6/7)))
[71132] ['1/7', '2/5', '6/7', '7/2', '5'] -> (((5 + (6/7 / 1/7)) / 2/5) - 7/2)
[71133] ['2/5', '7/9', '8/9', '7/5', '4'] -> ((8/9 + (4 * (7/9 + 7/5))) / 2/5)
[71134] ['2/5', '6/7', '7/3', '3', '7/2'] -> ((6/7 * 3) * (7/2 + (7/3 / 2/5)))
[71135] ['1/5', '3/5', '9/8', '5/2', '5'] -> ((9/8 * 5/2) * (1/5 + (5 / 3/5)))
[71136] ['1/5', '4/7', '5/3', '9/2', '6'] -> ((9/2 / (1/5 * 5/3)) + (6 / 4/7))
[71137] ['1/9', '6/7', '8/5', '4', '9/2'] -> ((4 - 1/9) * (9/2 * (6/7 * 8/5)))
[71138] ['1/6', '3/5', '9/7', '7/3', '9'] -> ((9 - (7/3 / (3/5 / 9/7))) / 1/6)
[71139] ['5/9', '5/7', '7/3', '5/2', '4'] -> ((5/7 * 7/3) / ((5/2 / 4) - 5/9))
[71140] ['1/4', '7/3', '7/3', '7/3', '5'] -> ((7/3 + (7/3 * 5)) / (1/4 * 7/3))
[71141] ['1/9', '6/7', '5/3', '5/3', '4'] -> (4 / ((5/3 / 6/7) - (1/9 + 5/3)))
[71142] ['1/5', '4/7', '7/4', '7/4', '6'] -> ((4/7 * 6) * ((7/4 / 1/5) - 7/4))
[71143] ['1/5', '1/3', '2/3', '9/8', '8'] -> ((1/3 + (8 / (1/5 / 2/3))) / 9/8)
[71144] ['2/7', '6/7', '4/3', '7/5', '2'] -> ((2/7 + 2) / ((4/3 / 7/5) - 6/7))
[71145] ['1/5', '3/5', '9/8', '7/2', '5'] -> (5 / ((7/2 / 3/5) - (9/8 / 1/5)))
[71146] ['1/8', '1/6', '1/5', '8/9', '3'] -> (((1/8 / 1/5) + (3 / 8/9)) / 1/6)
[71147] ['2/5', '7/9', '8/9', '5/3', '4'] -> ((4 * (2/5 * 5/3)) / (8/9 - 7/9))
[71148] ['1/4', '7/3', '7/3', '5/2', '5'] -> ((7/3 + (7/3 * 5)) + (5/2 / 1/4))
