[115246] ['1/4', '3/8', '4/7', '3/4', '4'] -> (((4 / 4/7) - 1/4) / (3/8 * 3/4))
[115271] ['2/9', '2/9', '5/9', '7/6', '7'] -> ((7 - (2/9 + 5/9)) / (2/9 * 7/6))
[115272] ['2/3', '7/8', '6/5', '5/2', '3'] -> ((5/2 + (3 / 6/5)) / (7/8 - 2/3))
[115273] ['1/5', '7/8', '7/6', '7/6', '9'] -> (9 / (1/5 * (7/8 + (7/6 / 7/6))))
[115274] ['1/8', '1/5', '5/7', '7/9', '7'] -> (7 / (7/9 * (1/5 + (1/8 / 5/7))))
[115275] ['3/8', '1/2', '7/6', '7/5', '2'] -> (2 / ((7/6 / 7/5) - (3/8 / 1/2)))
[115276] ['2/3', '7/8', '6/5', '8/3', '3'] -> ((3 / ((7/8 / 2/3) - 6/5)) - 8/3)
[115277] ['3/8', '3/7', '1/2', '5/9', '1'] -> (1 / (3/7 * (3/8 - (1/2 * 5/9))))
[115278] ['3/8', '1/2', '7/6', '8/5', '2'] -> (1/2 / ((3/8 * 2) - (7/6 / 8/5)))
[115279] ['2/9', '2/9', '5/9', '5/4', '7'] -> ((7 + (2/9 - 5/9)) / (2/9 * 5/4))
[115280] ['1/7', '1/4', '6/5', '6/5', '3'] -> (6/5 / (3 - (6/5 + (1/4 / 1/7))))
[115281] ['1/7', '1/5', '8/9', '4/3', '4'] -> (((4 / 1/7) - (4/3 / 1/5)) / 8/9)
[115282] ['1/8', '3/5', '6/7', '6/7', '6'] -> ((6 - (6/7 / 6/7)) / (1/8 / 3/5))
[115283] ['1/8', '1/5', '5/7', '6/7', '7'] -> (7 / (1/8 + ((1/5 * 5/7) / 6/7)))
[115284] ['1/7', '1/5', '8/9', '3/2', '4'] -> ((4 / (1/7 * 8/9)) - (3/2 / 1/5))
[115285] ['3/8', '3/7', '1/2', '2/3', '1'] -> ((2/3 + (1 / 3/7)) / (1/2 - 3/8))
[115286] ['2/3', '7/8', '5/4', '5/4', '3'] -> ((5/4 + (5/4 * 3)) / (7/8 - 2/3))
[115287] ['3/5', '5/7', '5/7', '9/5', '5'] -> ((5/7 + 5) * (9/5 / (3/5 * 5/7)))
[115288] ['3/5', '9/7', '7/4', '7/4', '4'] -> ((9/7 * 4) * (7/4 + (7/4 / 3/5)))
[115289] ['1/7', '1/4', '6/5', '4/3', '3'] -> (3 / ((1/4 / (1/7 * 6/5)) - 4/3))
[115290] ['2/9', '2/9', '5/9', '4/3', '7'] -> (((2/9 - 5/9) - (4/3 - 7)) / 2/9)
[115291] ['1/5', '7/8', '7/6', '4/3', '9'] -> (9 / (7/8 - (1/5 * (7/6 + 4/3))))
[115292] ['3/8', '1/2', '7/6', '2', '7/3'] -> ((2 + ((7/6 + 7/3) / 1/2)) / 3/8)
[115293] ['3/8', '3/7', '1/2', '3/4', '1'] -> (1 / ((1/2 / 3/7) - (3/8 + 3/4)))
[115294] ['4/9', '2/3', '7/8', '9/4', '3'] -> (3 / ((2/3 / 4/9) + (7/8 - 9/4)))
[115295] ['2/9', '4/7', '3/5', '4/3', '8'] -> ((4/3 / (2/9 * 3/5)) + (8 / 4/7))
[115296] ['3/5', '5/7', '5/7', '9/4', '5'] -> (((5 / 3/5) - 5/7) / (5/7 / 9/4))
[115297] ['1/7', '1/4', '6/5', '7/5', '3'] -> ((6/5 / 7/5) * (3 / (1/4 - 1/7)))
[115298] ['3/5', '9/7', '7/4', '9/5', '4'] -> (4 * (3/5 + (7/4 * (9/7 + 9/5))))
[115299] ['2/9', '2/9', '5/9', '7/5', '7'] -> (((7 / 7/5) - (2/9 - 5/9)) / 2/9)
[115300] ['1/8', '1/5', '5/7', '9/8', '7'] -> ((1/8 - 9/8) + (7 / (1/5 / 5/7)))
[115301] ['1/4', '3/8', '4/7', '5/3', '4'] -> (1/4 / (3/8 - (5/3 / (4/7 + 4))))
[115302] ['2/7', '2/3', '3/4', '9/7', '7'] -> ((2/7 * 7) / (2/3 - (3/4 / 9/7)))
[115303] ['2/9', '2/9', '5/9', '3/2', '7'] -> ((7 - (5/9 / (2/9 * 3/2))) / 2/9)
[115304] ['2/3', '7/8', '5/4', '8/5', '3'] -> ((3 + (5/4 * 8/5)) / (7/8 - 2/3))
[115305] ['3/8', '3/7', '1/2', '5/6', '1'] -> (1 / ((3/8 + 5/6) - (1/2 / 3/7)))
[115306] ['1/8', '1/5', '5/7', '6/5', '7'] -> ((5/7 - 1/5) * (7 / (1/8 * 6/5)))
[115307] ['1/7', '1/4', '6/5', '5/3', '3'] -> (6/5 / ((3 / 5/3) - (1/4 / 1/7)))
[115308] ['1/8', '3/5', '6/7', '7/6', '6'] -> ((6 - (6/7 * 7/6)) / (1/8 / 3/5))
[115309] ['2/7', '2/3', '3/4', '7/5', '7'] -> (2/3 + (7 / (7/5 * (2/7 * 3/4))))
[115310] ['5/9', '8/9', '7/6', '4/3', '9'] -> ((9 * (5/9 * 4/3)) / (7/6 - 8/9))
[115311] ['4/9', '2/3', '7/8', '3', '7/2'] -> ((2/3 / 4/9) / ((7/8 * 7/2) - 3))
[115312] ['3/5', '9/7', '7/4', '5/2', '4'] -> (5/2 * (3/5 + (4 * (9/7 * 7/4))))
[115313] ['3/8', '1/2', '6/5', '7/4', '2'] -> ((6/5 / (3/8 * 1/2)) * (7/4 + 2))
[115314] ['1/8', '1/5', '5/7', '5/4', '7'] -> (1/5 + ((7 + (5/4 / 1/8)) / 5/7))
[115315] ['3/8', '3/7', '1/2', '8/9', '1'] -> (1 / ((3/7 * (3/8 + 8/9)) - 1/2))
[115316] ['5/9', '8/9', '7/6', '7/5', '9'] -> ((7/5 + 9) / ((8/9 / 5/9) - 7/6))
[115317] ['4/9', '2/3', '8/9', '8/9', '3'] -> ((8/9 + 8/9) * (3 / (2/3 - 4/9)))
[115318] ['1/8', '3/5', '6/7', '4/3', '6'] -> ((3/5 * 6/7) * ((6 / 1/8) - 4/3))
[115319] ['3/8', '3/7', '1/2', '1', '9/8'] -> (3/7 / ((1 / (3/8 + 1/2)) - 9/8))
[115320] ['1/7', '1/4', '6/5', '7/3', '3'] -> (3 / ((1/7 * 7/3) - (1/4 / 6/5)))
[115321] ['1/4', '3/8', '3/5', '5/7', '4'] -> ((3/5 / 3/8) + (4 / (1/4 * 5/7)))
[115322] ['3/5', '5/7', '5/7', '9/2', '5'] -> ((5 - (5/7 / 3/5)) / (5/7 / 9/2))
[115323] ['1/5', '7/8', '7/6', '5/2', '9'] -> ((7/6 / 5/2) * (9 / (1/5 * 7/8)))
[115324] ['4/9', '2/3', '8/9', '9/8', '3'] -> (3 / (((4/9 + 2/3) / 8/9) - 9/8))
[115325] ['1/4', '3/8', '3/5', '3/4', '4'] -> ((4 + (3/4 / (1/4 * 3/5))) / 3/8)
[115326] ['2/9', '4/7', '3/5', '9/5', '8'] -> (((2/9 * 9/5) + (8 / 4/7)) / 3/5)
[115327] ['1/8', '3/5', '6/7', '8/5', '6'] -> (6 * ((3/5 / (1/8 * 6/7)) - 8/5))
[115328] ['2/3', '7/8', '5/4', '9/4', '3'] -> (2/3 / ((5/4 / 3) - (7/8 / 9/4)))
[115329] ['3/8', '1/2', '5/4', '4/3', '2'] -> (2 / (5/4 - (4/3 * (3/8 + 1/2))))
[115330] ['3/8', '3/7', '1/2', '1', '4/3'] -> (1 / ((3/8 / 3/7) + (1/2 - 4/3)))
[115331] ['1/5', '7/8', '7/6', '7/2', '9'] -> (((7/6 / 1/5) - 7/2) / (7/8 / 9))
[115332] ['5/9', '8/9', '7/6', '7/4', '9'] -> (9 * ((5/9 / 8/9) + (7/6 * 7/4)))
[115333] ['2/9', '2/9', '5/9', '8/3', '7'] -> (8/3 / (2/9 - ((2/9 + 5/9) / 7)))
[115334] ['1/8', '1/5', '5/7', '3/2', '7'] -> ((1/5 + 7) + (3/2 / (1/8 * 5/7)))
[115335] ['3/5', '9/7', '9/5', '9/4', '4'] -> ((9/5 / ((3/5 * 9/4) - 9/7)) - 4)
[115336] ['3/8', '1/2', '5/4', '8/5', '2'] -> ((5/4 / (3/8 * 1/2)) * (8/5 + 2))
[115337] ['4/9', '2/3', '8/9', '6/5', '3'] -> ((8/9 * 3) / ((2/3 / 6/5) - 4/9))
[115338] ['3/5', '5/7', '3/4', '7/8', '5'] -> ((3/5 * 5) / (3/4 - (5/7 * 7/8)))
[115339] ['3/8', '3/7', '1/2', '1', '5/3'] -> (1 / ((3/8 / 3/7) - (1/2 * 5/3)))
[115340] ['1/8', '3/5', '6/7', '9/5', '6'] -> (((6/7 * (6 - 9/5)) - 3/5) / 1/8)
[115341] ['2/7', '2/3', '7/9', '7/8', '7'] -> ((7 / (2/7 / 2/3)) / (7/9 * 7/8))
[115342] ['3/5', '9/7', '9/5', '5/2', '4'] -> (4 / (5/2 - (9/5 / (3/5 * 9/7))))
[115343] ['3/8', '3/7', '1/2', '1', '7/4'] -> ((1 + (1/2 / 7/4)) / (3/7 - 3/8))
[115344] ['2/9', '2/9', '5/9', '9/2', '7'] -> ((7 + (2/9 * 9/2)) / (5/9 - 2/9))
[115345] ['3/8', '1/2', '5/4', '9/5', '2'] -> ((5/4 * 9/5) * (2 / (3/8 * 1/2)))
[115346] ['1/7', '1/4', '5/4', '5/4', '3'] -> ((1/4 + ((5/4 + 3) / 1/7)) / 5/4)
[115347] ['2/9', '4/7', '3/5', '8/3', '8'] -> ((4/7 + 8) * (8/3 + (2/9 * 3/5)))
[115348] ['1/8', '3/5', '6/7', '9/4', '6'] -> (6/7 * ((9/4 / 1/8) + (6 / 3/5)))
[115349] ['2/9', '2/9', '4/7', '4/7', '7'] -> ((4/7 * 7) / ((2/9 / 4/7) - 2/9))
[115350] ['3/8', '3/7', '1/2', '1', '9/5'] -> (1 / (3/7 * (3/8 - (1/2 / 9/5))))
[115351] ['1/7', '1/5', '9/8', '8/7', '4'] -> ((8/7 * (9/8 + (4 / 1/5))) - 1/7)
[115352] ['2/7', '2/3', '7/9', '8/7', '7'] -> ((7 / (2/7 / 2/3)) / (7/9 / 8/7))
[115353] ['3/5', '5/7', '3/4', '8/7', '5'] -> ((3/5 * 5) / (3/4 - (5/7 / 8/7)))
[115354] ['2/3', '7/8', '9/7', '5/3', '3'] -> (3 / ((2/3 - 5/3) + (7/8 * 9/7)))
[115355] ['1/8', '1/5', '5/7', '7/3', '7'] -> (7 / ((1/5 * 7/3) - (1/8 / 5/7)))
[115356] ['1/8', '3/5', '6/7', '5/2', '6'] -> ((1/8 + 5/2) * ((6 / 3/5) - 6/7))
[115357] ['1/7', '1/4', '5/4', '7/4', '3'] -> (3 / (7/4 * (1/4 - (1/7 * 5/4))))
[115358] ['3/8', '3/7', '1/2', '1', '5/2'] -> ((1/2 + 5/2) / (1 - (3/8 / 3/7)))
[115359] ['1/7', '1/5', '9/8', '6/5', '4'] -> (((1/5 - 6/5) + (4 / 1/7)) / 9/8)
[115360] ['2/9', '2/9', '4/7', '2/3', '7'] -> (7 * (((2/9 + 2/3) / 2/9) - 4/7))
[115361] ['4/9', '2/3', '8/9', '5/2', '3'] -> ((8/9 / 2/3) / (3 - (4/9 + 5/2)))
[115362] ['1/8', '1/5', '5/7', '8/3', '7'] -> ((7 / 5/7) / ((1/5 * 8/3) - 1/8))
[115363] ['3/5', '5/7', '3/4', '9/7', '5'] -> ((3/5 + (9/7 / 5)) / (3/4 - 5/7))
[115364] ['3/5', '9/7', '9/4', '7/2', '4'] -> (7/2 * ((9/4 * 4) - (9/7 / 3/5)))
[115365] ['5/9', '8/9', '6/5', '5/3', '9'] -> ((9 / 5/9) / ((5/3 / 8/9) - 6/5))
[115366] ['3/8', '3/7', '5/9', '5/9', '1'] -> (3/7 / (3/8 - (5/9 / (5/9 + 1))))
[115367] ['4/9', '2/3', '9/8', '9/8', '3'] -> (3 / ((9/8 * (4/9 + 2/3)) - 9/8))
[115368] ['2/9', '4/7', '5/8', '5/7', '8'] -> (((5/7 / (5/8 - 4/7)) - 8) / 2/9)
[115369] ['1/7', '1/4', '9/7', '9/5', '3'] -> ((9/5 + 3) * ((9/7 / 1/4) - 1/7))
[115370] ['3/5', '9/7', '9/4', '4', '9/2'] -> (((4 * 9/2) / (9/7 - 3/5)) - 9/4)
[115371] ['2/3', '7/8', '9/7', '9/4', '3'] -> (9/7 / ((3 / 7/8) - (9/4 / 2/3)))
[115372] ['1/8', '1/5', '5/7', '7/2', '7'] -> ((1/5 + (7 / (5/7 * 7/2))) / 1/8)
[115373] ['5/9', '8/9', '6/5', '7/4', '9'] -> (((7/4 * 9) / (5/9 / 8/9)) - 6/5)
[115374] ['1/5', '7/8', '5/4', '7/4', '9'] -> ((9 / 5/4) / ((7/8 / 7/4) - 1/5))
[115375] ['3/5', '9/7', '7/3', '7/3', '4'] -> (7/3 * ((9/7 + 7/3) + (4 / 3/5)))
[115376] ['2/9', '4/7', '5/8', '3/4', '8'] -> (8 / (5/8 - (3/4 * (2/9 / 4/7))))
[115377] ['1/7', '1/5', '9/8', '4/3', '4'] -> (9/8 * ((4 / 1/7) - (4/3 / 1/5)))
[115378] ['1/8', '3/5', '7/8', '8/9', '6'] -> (8/9 / ((7/8 / (6 - 3/5)) - 1/8))
[115379] ['1/5', '7/8', '5/4', '9/5', '9'] -> (9 / (9/5 - (5/4 + (1/5 * 7/8))))
[115380] ['1/4', '3/8', '5/8', '6/7', '4'] -> ((3/8 + 4) * (6/7 / (1/4 * 5/8)))
[115381] ['1/7', '1/4', '9/7', '8/3', '3'] -> (8/3 * ((9/7 / (1/4 - 1/7)) - 3))
[115382] ['2/3', '7/8', '9/7', '7/3', '3'] -> (3 / (9/7 - (7/8 + (2/3 / 7/3))))
[115383] ['5/9', '8/9', '6/5', '9/4', '9'] -> (9 * ((5/9 * 6/5) + (8/9 * 9/4)))
[115384] ['3/8', '3/7', '5/9', '2/3', '1'] -> (1 / ((3/8 / 3/7) - (5/9 / 2/3)))
[115385] ['2/9', '4/7', '5/8', '7/9', '8'] -> (((2/9 + 7/9) + (8 / 4/7)) / 5/8)
[115386] ['3/5', '9/7', '7/3', '5/2', '4'] -> ((5/2 * 4) * ((9/7 * 7/3) - 3/5))
[115387] ['1/7', '1/5', '9/8', '3/2', '4'] -> ((4 / (1/7 / 9/8)) - (3/2 / 1/5))
[115388] ['4/9', '2/3', '9/8', '5/4', '3'] -> (3 / (9/8 * (2/3 - (4/9 * 5/4))))
[115389] ['1/8', '3/5', '7/8', '8/7', '6'] -> ((6 - (7/8 * 8/7)) / (1/8 / 3/5))
[115390] ['5/9', '8/9', '6/5', '7/2', '9'] -> ((6/5 / (5/9 / 8/9)) * (7/2 + 9))
[115391] ['2/9', '2/9', '4/7', '5/6', '7'] -> ((4/7 * 7) / ((2/9 / 2/9) - 5/6))
[115392] ['1/7', '1/4', '4/3', '4/3', '3'] -> ((((4/3 / 1/7) - 3) / 1/4) - 4/3)
[115393] ['1/5', '7/8', '5/4', '5/2', '9'] -> (7/8 + (5/2 * (9 + (1/5 * 5/4))))
[115394] ['3/8', '1/2', '9/7', '2', '7/2'] -> (9/7 / (((2 - 1/2) / 7/2) - 3/8))
[115395] ['2/9', '4/7', '5/8', '5/6', '8'] -> ((8 + (5/6 / 5/8)) / (2/9 / 4/7))
[115396] ['1/8', '3/5', '7/8', '5/4', '6'] -> (6 / ((1/8 + 7/8) - (3/5 * 5/4)))
[115397] ['3/8', '3/7', '5/9', '4/5', '1'] -> ((1 / 5/9) / ((3/8 / 3/7) - 4/5))
[115398] ['2/9', '4/7', '5/8', '6/7', '8'] -> ((6/7 / 4/7) + (8 / (2/9 / 5/8)))
[115399] ['1/8', '3/5', '7/8', '9/7', '6'] -> ((9/7 / (1/8 * 3/5)) + (6 / 7/8))
[115400] ['3/8', '3/7', '5/9', '5/6', '1'] -> ((1 / 3/7) / ((3/8 + 5/9) - 5/6))
[115401] ['1/4', '3/8', '5/8', '7/5', '4'] -> (((3/8 / 5/8) + (7/5 + 4)) / 1/4)
[115402] ['5/9', '8/9', '5/4', '3/2', '9'] -> (9 / ((5/9 / 8/9) + (5/4 - 3/2)))
[115403] ['1/7', '1/5', '9/8', '9/5', '4'] -> ((9/5 / (9/8 * (1/5 - 1/7))) - 4)
[115404] ['1/5', '7/8', '9/7', '9/7', '9'] -> (9 / (1/5 * (7/8 + (9/7 / 9/7))))
[115405] ['3/8', '3/7', '5/9', '6/7', '1'] -> ((6/7 + 1) / (3/7 * (5/9 - 3/8)))
[115406] ['4/9', '2/3', '9/8', '7/4', '3'] -> ((3 / 9/8) / ((4/9 * 7/4) - 2/3))
[115407] ['2/3', '7/8', '4/3', '7/5', '3'] -> (3 / ((7/8 / 7/5) - (2/3 / 4/3)))
[115408] ['2/9', '4/7', '5/8', '8/9', '8'] -> ((8 + (8/9 / (2/9 * 4/7))) / 5/8)
[115409] ['3/8', '1/2', '4/3', '9/5', '2'] -> ((4/3 + (2 / 3/8)) / (1/2 / 9/5))
[115410] ['5/9', '8/9', '5/4', '8/5', '9'] -> ((5/9 + (8/9 * 5/4)) * (8/5 * 9))
[115411] ['3/8', '3/7', '5/9', '7/8', '1'] -> ((1 / (3/8 * 7/8)) / (5/9 - 3/7))
[115412] ['3/5', '5/7', '3/4', '5/2', '5'] -> ((5/7 + 5/2) / (3/4 / (3/5 + 5)))
[115413] ['5/9', '8/9', '5/4', '9/5', '9'] -> ((5/4 * 9) * (9/5 - (5/9 - 8/9)))
[115414] ['2/3', '7/8', '4/3', '7/4', '3'] -> ((4/3 * 3) / (2/3 - (7/8 / 7/4)))
[115415] ['3/5', '9/7', '8/3', '7/2', '4'] -> (4 + ((8/3 * 7/2) / (3/5 / 9/7)))
[115416] ['1/5', '7/8', '9/7', '3/2', '9'] -> (9 + ((9/7 + (3/2 / 7/8)) / 1/5))
[115417] ['4/9', '2/3', '9/8', '9/4', '3'] -> (2/3 / ((4/9 + 9/4) - (3 / 9/8)))
[115418] ['3/8', '1/2', '7/5', '5/3', '2'] -> ((7/5 + (2 / 1/2)) / (3/8 / 5/3))
[115419] ['5/9', '8/9', '5/4', '5/2', '9'] -> (9 * ((5/9 / 5/4) + (8/9 * 5/2)))
[115420] ['1/5', '7/8', '9/7', '5/3', '9'] -> ((9 / (1/5 * 7/8)) / (9/7 * 5/3))
[115421] ['2/3', '7/8', '4/3', '9/5', '3'] -> ((4/3 + 3) / (2/3 - (7/8 / 9/5)))
[115422] ['3/5', '5/7', '3/4', '7/2', '5'] -> ((5 * (3/5 / 7/2)) / (3/4 - 5/7))
[115423] ['1/8', '3/5', '8/9', '9/8', '6'] -> ((6 - (8/9 * 9/8)) / (1/8 / 3/5))
[115424] ['3/5', '9/7', '8/3', '4', '9/2'] -> (9/7 * ((8/3 * 9/2) + (4 / 3/5)))
[115425] ['2/9', '4/7', '5/8', '7/6', '8'] -> ((8 - (5/8 + (7/6 / 4/7))) / 2/9)
[115426] ['1/8', '1/5', '3/4', '6/5', '7'] -> (((1/5 * 7) + (6/5 / 3/4)) / 1/8)
[115427] ['3/8', '1/2', '7/5', '7/4', '2'] -> (2 / ((1/2 / 3/8) - (7/4 / 7/5)))
[115428] ['5/9', '8/9', '5/4', '7/2', '9'] -> (9 * ((8/9 * 7/2) - (5/9 / 5/4)))
[115429] ['1/8', '1/5', '3/4', '5/4', '7'] -> ((((3/4 + 5/4) / 1/5) - 7) / 1/8)
[115430] ['1/7', '1/5', '8/7', '8/7', '4'] -> (8/7 * ((4 / 1/5) - (1/7 - 8/7)))
[115431] ['2/9', '2/9', '4/7', '3/2', '7'] -> (4/7 / (((2/9 + 3/2) / 7) - 2/9))
[115432] ['2/7', '2/3', '4/5', '7/5', '7'] -> (4/5 / ((7/5 / (2/7 * 7)) - 2/3))
[115433] ['1/5', '7/8', '9/7', '9/5', '9'] -> (9/5 / (1/5 - ((7/8 * 9/7) / 9)))
[115434] ['1/7', '1/5', '8/7', '7/6', '4'] -> (((8/7 / 1/7) + (4 / 1/5)) / 7/6)
[115435] ['2/3', '7/8', '4/3', '3', '9/2'] -> ((2/3 + (4/3 * 3)) / (7/8 / 9/2))
[115436] ['1/8', '3/5', '8/9', '6/5', '6'] -> (6 + (6/5 / (8/9 * (1/8 * 3/5))))
[115437] ['4/9', '2/3', '8/7', '5/4', '3'] -> (2/3 / ((5/4 / 3) - (4/9 / 8/7)))
[115438] ['3/8', '3/7', '5/9', '1', '3/2'] -> (1 / ((3/8 / 3/7) - (5/9 * 3/2)))
[115439] ['3/5', '9/7', '4', '9/2', '9/2'] -> (9/7 * (9/2 + ((4 + 9/2) / 3/5)))
[115440] ['1/7', '1/5', '8/7', '4/3', '4'] -> ((1/7 + 8/7) * ((4 / 1/5) - 4/3))
[115441] ['2/3', '7/8', '7/5', '7/5', '3'] -> (7/5 / (3 - (7/5 + (2/3 + 7/8))))
[115442] ['1/8', '1/5', '3/4', '4/3', '7'] -> (7 / ((1/5 * (3/4 + 4/3)) - 1/8))
[115443] ['1/7', '1/4', '7/5', '7/3', '3'] -> (3 / ((1/4 / (7/3 - 7/5)) - 1/7))
[115444] ['1/5', '7/8', '9/7', '8/3', '9'] -> (9 + ((9/7 * 8/3) / (1/5 / 7/8)))
[115445] ['1/7', '1/5', '8/7', '5/3', '4'] -> ((8/7 * 4) / ((1/5 * 5/3) - 1/7))
[115446] ['3/8', '3/7', '5/9', '1', '5/3'] -> (5/3 / (5/9 * (1 - (3/8 / 3/7))))
[115447] ['3/8', '1/2', '7/5', '2', '7/2'] -> ((2 + (7/2 / 7/5)) / (3/8 * 1/2))
[115448] ['3/5', '5/7', '7/9', '7/8', '5'] -> ((5 * (3/5 / 7/9)) / (7/8 - 5/7))
[115449] ['1/7', '1/4', '7/5', '8/3', '3'] -> (3 / ((1/4 / 7/5) - (1/7 / 8/3)))
[115450] ['2/3', '7/8', '7/5', '5/3', '3'] -> (3 / (7/5 - (7/8 + (2/3 / 5/3))))
[115451] ['3/5', '4/3', '4/3', '8/5', '4'] -> (8/5 / (((4/3 + 4/3) / 4) - 3/5))
[115452] ['1/7', '1/5', '8/7', '7/4', '4'] -> (((8/7 / 1/5) - (4 / 7/4)) / 1/7)
[115453] ['3/8', '1/2', '7/5', '2', '9/2'] -> ((2 + (7/5 * (1/2 + 9/2))) / 3/8)
[115454] ['1/8', '3/5', '8/9', '4/3', '6'] -> ((8/9 + 4/3) * (6 + (3/5 / 1/8)))
[115455] ['2/9', '2/9', '4/7', '7/3', '7'] -> (4/7 * ((7/3 / 2/9) + (7 / 2/9)))
[115456] ['5/9', '8/9', '9/7', '5/3', '9'] -> ((5/3 + (5/9 + 8/9)) * (9 - 9/7))
[115457] ['1/7', '1/4', '3/2', '8/5', '3'] -> (8/5 * ((3 / 1/7) - (3/2 / 1/4)))
[115458] ['1/5', '7/8', '4/3', '4/3', '9'] -> (9 / (1/5 * (7/8 + (4/3 / 4/3))))
[115459] ['1/8', '1/5', '3/4', '7/2', '7'] -> ((1/5 + 7) * (7/2 - (1/8 / 3/4)))
[115460] ['1/7', '1/5', '8/7', '7/2', '4'] -> (4 / (7/2 - (8/7 / (1/7 + 1/5))))
[115461] ['1/7', '1/4', '3/2', '5/3', '3'] -> ((3 / 3/2) / ((1/4 / 1/7) - 5/3))
[115462] ['2/7', '2/3', '5/6', '5/6', '7'] -> (2/3 + ((5/6 + (5/6 * 7)) / 2/7))
[115463] ['1/8', '1/5', '3/4', '9/2', '7'] -> ((1/8 + 7) + (9/2 / (1/5 / 3/4)))
[115464] ['3/8', '1/2', '8/5', '5/3', '2'] -> (5/3 * ((2 / (1/2 - 3/8)) - 8/5))
[115465] ['2/9', '2/9', '4/7', '9/2', '7'] -> (9/2 * ((7 * (2/9 + 4/7)) - 2/9))
[115466] ['3/5', '4/3', '4/3', '9/4', '4'] -> ((4/3 * 9/4) * (4/3 + (4 / 3/5)))
[115467] ['1/8', '3/5', '8/9', '7/4', '6'] -> (((6 / 8/9) - 7/4) / (1/8 / 3/5))
[115468] ['4/9', '2/3', '8/7', '5/3', '3'] -> ((8/7 / (2/3 - 4/9)) * (5/3 + 3))
[115469] ['1/8', '1/5', '7/9', '7/9', '7'] -> (7 / (7/9 - (7/9 * (1/8 / 1/5))))
[115470] ['2/3', '7/8', '7/5', '5/2', '3'] -> (7/5 / (((3 - 2/3) / 5/2) - 7/8))
[115471] ['1/7', '1/5', '7/6', '7/6', '4'] -> (4 * ((1/7 * 7/6) + (7/6 / 1/5)))
[115472] ['1/4', '3/8', '5/7', '7/8', '4'] -> (3/8 + ((7/8 + (4 / 1/4)) / 5/7))
[115473] ['2/9', '2/9', '3/5', '3/5', '7'] -> ((7 - 3/5) / (3/5 * (2/9 + 2/9)))
[115474] ['3/8', '3/7', '5/9', '1', '7/2'] -> ((3/7 + 1) * (7/2 / (3/8 * 5/9)))
