[336871] ['1/8', '3/5', '5/7', '1', '7/5'] -> ((3/5 + (7/5 * (5/7 + 1))) / 1/8)
[336893] ['3/5', '5/8', '5/8', '5/6', '2'] -> (2 / (5/6 - (3/5 * (5/8 + 5/8))))
[336894] ['3/8', '3/8', '4/9', '3/2', '5'] -> ((4/9 + (5 / (3/8 * 3/8))) / 3/2)
[336895] ['2/9', '1/4', '6/5', '3', '7/2'] -> ((7/2 / (2/9 - (1/4 / 3))) - 6/5)
[336896] ['1/6', '2/5', '7/4', '7/4', '2'] -> (((2 / 2/5) - (7/4 / 7/4)) / 1/6)
[336897] ['1/8', '8/9', '7/3', '7/2', '8'] -> (8/9 / ((8 / (7/2 - 1/8)) - 7/3))
[336898] ['5/4', '7/5', '7/5', '5/2', '7'] -> ((5/4 + 5/2) * (7/5 + (7 / 7/5)))
[336899] ['3/8', '3/8', '4/9', '8/5', '5'] -> ((5 / (3/8 + 3/8)) / (4/9 / 8/5))
[336900] ['4/9', '7/6', '6/5', '5/4', '5'] -> ((6/5 + (7/6 / 5/4)) / (4/9 / 5))
[336901] ['1/6', '2/3', '4/3', '7/5', '8'] -> (8 * (7/5 + (4/3 / (1/6 + 2/3))))
[336902] ['1/8', '3/5', '5/7', '1', '8/3'] -> (((3/5 * 8/3) + (1 / 5/7)) / 1/8)
[336903] ['1/6', '2/5', '7/4', '2', '7/3'] -> ((1/6 + (7/3 / 2/5)) / (2 - 7/4))
[336904] ['3/5', '7/9', '9/7', '7/2', '7'] -> (7/2 * ((7 / 7/9) - (9/7 / 3/5)))
[336905] ['3/8', '3/8', '4/9', '7/4', '5'] -> ((5 + ((3/8 + 7/4) / 3/8)) / 4/9)
[336906] ['4/9', '7/6', '6/5', '4/3', '5'] -> (4/3 / ((4/9 / 5) + (7/6 - 6/5)))
[336907] ['1/8', '3/5', '5/7', '1', '9/2'] -> (1 / ((1/8 / 5/7) - (3/5 / 9/2)))
[336908] ['1/6', '2/5', '7/4', '2', '7/2'] -> (2 / ((7/4 / 7/2) - (1/6 / 2/5)))
[336909] ['3/8', '3/8', '4/9', '9/5', '5'] -> (5 * ((3/8 + 3/8) + (9/5 / 4/9)))
[336910] ['2/9', '1/4', '5/4', '9/5', '3'] -> ((3 / (2/9 * 1/4)) / (5/4 * 9/5))
[336911] ['3/5', '5/8', '5/8', '9/7', '2'] -> (2 / (3/5 * (5/8 - (5/8 / 9/7))))
[336912] ['1/8', '3/5', '3/4', '7/9', '1'] -> ((7/9 + (1 / (3/5 * 3/4))) / 1/8)
[336913] ['1/8', '9/8', '9/8', '9/8', '8'] -> (8 + ((9/8 + 9/8) / (1/8 * 9/8)))
[336914] ['5/6', '1', '3/2', '7/4', '7/3'] -> (1 / ((3/2 * (7/3 - 7/4)) - 5/6))
[336915] ['4/9', '7/6', '6/5', '3/2', '5'] -> (5 * (((7/6 + 3/2) / 4/9) - 6/5))
[336916] ['1/8', '3/5', '3/4', '5/6', '1'] -> (3/5 / ((1/8 - 1) + (3/4 / 5/6)))
[336917] ['5/6', '1', '3/2', '7/4', '5/2'] -> (((7/4 + 5/2) / (1 - 5/6)) - 3/2)
[336918] ['3/5', '7/9', '4/3', '5/3', '7'] -> ((5/3 + (7 / 3/5)) / (4/3 - 7/9))
[336919] ['2/9', '1/4', '9/7', '4/3', '3'] -> ((3 * (2/9 + 4/3)) / (1/4 / 9/7))
[336920] ['1/6', '2/5', '2', '9/4', '8/3'] -> ((2 / (1/6 * 2/5)) - (9/4 * 8/3))
[336921] ['3/5', '5/8', '5/8', '3/2', '2'] -> (3/2 / ((3/5 * 5/8) - (5/8 / 2)))
[336922] ['4/9', '7/6', '6/5', '5/3', '5'] -> ((5 + (7/6 * 6/5)) / (4/9 / 5/3))
[336923] ['5/4', '7/5', '3/2', '7/2', '7'] -> (5/4 + (7/2 * (3/2 + (7 / 7/5))))
[336924] ['1/8', '9/8', '9/8', '9/7', '8'] -> (8 + ((9/8 + (9/8 / 9/7)) / 1/8))
[336925] ['1/6', '2/5', '2', '7/3', '7/3'] -> (((2 / 2/5) - (7/3 / 7/3)) / 1/6)
[336926] ['3/8', '3/8', '1/2', '5/6', '5'] -> ((5 / 5/6) / ((3/8 + 3/8) - 1/2))
[336927] ['4/9', '7/6', '6/5', '9/5', '5'] -> (5 * ((7/6 * 9/5) + (6/5 / 4/9)))
[336928] ['1/6', '2/3', '5/3', '9/5', '8'] -> ((8 / (1/6 * 2/3)) / (5/3 * 9/5))
[336929] ['5/4', '7/5', '8/5', '8/5', '7'] -> ((5/4 * 7) * (8/5 + (8/5 / 7/5)))
[336930] ['2/9', '1/4', '9/7', '7/4', '3'] -> ((3 / (2/9 * 1/4)) / (9/7 * 7/4))
[336931] ['3/5', '5/8', '5/8', '9/5', '2'] -> (2 / ((5/8 * 9/5) - (5/8 / 3/5)))
[336932] ['1/8', '9/8', '9/8', '9/5', '8'] -> (9/8 / (1/8 - ((9/8 / 9/5) / 8)))
[336933] ['3/5', '7/9', '7/5', '7/5', '7'] -> ((7/5 + (7/5 * 7)) / (3/5 * 7/9))
[336934] ['3/8', '3/8', '1/2', '8/7', '5'] -> (5 / ((3/8 / (8/7 - 1/2)) - 3/8))
[336935] ['1/6', '2/3', '9/5', '9/4', '8'] -> ((1/6 + (2/3 * 9/4)) * (9/5 * 8))
[336936] ['4/9', '7/6', '6/5', '7/3', '5'] -> ((5 * (7/3 + (6/5 / 4/9))) - 7/6)
[336937] ['1/8', '3/5', '3/4', '1', '7/5'] -> ((3/4 / (1/8 * 3/5)) * (1 + 7/5))
[336938] ['5/4', '7/5', '8/5', '5/2', '7'] -> ((7/5 + 7) / ((5/4 + 8/5) - 5/2))
[336939] ['1/6', '2/5', '2', '8/3', '8/3'] -> (((2 / 2/5) - (8/3 / 8/3)) / 1/6)
[336940] ['3/5', '5/8', '5/8', '2', '5/2'] -> (5/2 / (5/8 - (5/8 / (3/5 * 2))))
[336941] ['1/8', '9/8', '9/8', '5/2', '8'] -> (9/8 / (((5/2 - 9/8) / 8) - 1/8))
[336942] ['2/9', '1/4', '9/7', '5/2', '3'] -> (3 * (2/9 + (5/2 / (1/4 * 9/7))))
[336943] ['5/4', '7/5', '8/5', '7/2', '7'] -> ((8/5 + (7 / 7/2)) / (7/5 - 5/4))
[336944] ['3/8', '3/8', '1/2', '9/7', '5'] -> (5 / (((3/8 / 1/2) / 9/7) - 3/8))
[336945] ['3/5', '7/9', '7/5', '5/3', '7'] -> ((5/3 + (7 / 3/5)) / (7/9 / 7/5))
[336946] ['1/8', '3/5', '3/4', '1', '7/3'] -> ((7/3 + (1 / 3/5)) / (1/8 / 3/4))
[336947] ['3/8', '3/8', '1/2', '7/5', '5'] -> ((7/5 + (3/8 / 3/8)) / (1/2 / 5))
[336948] ['1/6', '2/5', '2', '7/2', '7/2'] -> (((2 / 2/5) - (7/2 / 7/2)) / 1/6)
[336949] ['5/4', '7/5', '8/5', '9/2', '7'] -> (8/5 * (9/2 + (5/4 * (7/5 + 7))))
[336950] ['1/8', '9/8', '8/7', '7/6', '8'] -> (8 / ((1/8 - 9/8) + (8/7 * 7/6)))
[336951] ['5/6', '1', '3/2', '7/3', '5/2'] -> ((7/3 + (5/2 / 3/2)) / (1 - 5/6))
[336952] ['1/8', '3/5', '3/4', '1', '8/3'] -> (8/3 * ((3/4 / (1/8 * 3/5)) - 1))
[336953] ['4/9', '7/6', '6/5', '7/2', '5'] -> (((7/6 + 7/2) + (6/5 * 5)) / 4/9)
[336954] ['3/8', '3/8', '1/2', '8/5', '5'] -> ((5 * (3/8 * 8/5)) / (1/2 - 3/8))
[336955] ['3/5', '5/8', '2/3', '2/3', '2'] -> ((2/3 / (5/8 - 3/5)) - (2/3 + 2))
[336956] ['1/8', '3/5', '3/4', '1', '7/2'] -> (((7/2 / 3/4) - (1 / 3/5)) / 1/8)
[336957] ['3/5', '7/9', '7/5', '9/4', '7'] -> (3/5 + (9/4 * (7/5 + (7 / 7/9))))
[336958] ['1/8', '9/8', '8/7', '5/4', '8'] -> (9/8 / ((5/4 / 8) - (1/8 / 8/7)))
[336959] ['5/4', '7/5', '5/3', '7/4', '7'] -> (5/4 + (5/3 * (7/5 + (7/4 * 7))))
[336960] ['3/8', '3/8', '1/2', '5/3', '5'] -> ((((5 / 1/2) - 3/8) / 3/8) - 5/3)
[336961] ['1/6', '5/7', '5/7', '4/5', '8'] -> (((5/7 * 8) - 5/7) / (1/6 / 4/5))
[336962] ['5/4', '7/5', '5/3', '9/5', '7'] -> ((7 / (5/3 - 7/5)) - (5/4 * 9/5))
[336963] ['2/9', '1/4', '7/5', '7/5', '3'] -> (3 / ((1/4 / 2/9) - (7/5 / 7/5)))
[336964] ['1/8', '9/8', '8/7', '7/5', '8'] -> ((8/7 - (1/8 - 9/8)) * (7/5 * 8))
[336965] ['3/8', '3/8', '1/2', '5/2', '5'] -> ((5 / (1/2 / 5/2)) - (3/8 / 3/8))
[336966] ['3/5', '5/8', '2/3', '7/8', '2'] -> (2 / (7/8 - (5/8 * (3/5 + 2/3))))
[336967] ['1/8', '3/5', '7/9', '6/7', '1'] -> ((6/7 + (1 / (3/5 * 7/9))) / 1/8)
[336968] ['4/9', '7/6', '5/4', '3/2', '5'] -> ((7/6 + 3/2) * (5 / (4/9 * 5/4)))
[336969] ['5/6', '1', '3/2', '8/3', '7/2'] -> (1 / ((7/2 / (3/2 * 8/3)) - 5/6))
[336970] ['3/5', '7/9', '7/5', '7/2', '7'] -> ((3/5 + (7 / 7/9)) / (7/5 / 7/2))
[336971] ['1/6', '5/7', '5/7', '8/9', '8'] -> (8 / (((8/9 - 5/7) / 1/6) - 5/7))
[336972] ['2/9', '1/4', '7/5', '8/5', '3'] -> ((8/5 / 2/9) + (3 / (1/4 / 7/5)))
[336973] ['1/8', '9/8', '8/7', '7/4', '8'] -> (8 * ((8/7 * 7/4) - (1/8 - 9/8)))
[336974] ['3/5', '7/9', '3/2', '3/2', '7'] -> (3/2 + ((3/2 * 7) / (3/5 * 7/9)))
[336975] ['5/4', '7/5', '5/3', '8/3', '7'] -> ((7/5 + 7) / ((8/3 / 5/3) - 5/4))
[336976] ['2/9', '1/4', '7/5', '7/4', '3'] -> (3 / ((7/4 / 7/5) - (1/4 / 2/9)))
[336977] ['1/6', '5/7', '5/7', '8/7', '8'] -> ((5/7 + 8/7) / (1/6 - (5/7 / 8)))
[336978] ['1/8', '9/8', '8/7', '9/4', '8'] -> ((9/4 + (1/8 + 9/8)) * (8 - 8/7))
[336979] ['3/5', '7/9', '3/2', '5/3', '7'] -> ((3/2 * 5/3) * (3/5 + (7 / 7/9)))
[336980] ['2/9', '1/4', '7/5', '7/3', '3'] -> ((3 - (7/3 / 7/5)) / (2/9 * 1/4))
[336981] ['4/9', '7/6', '5/4', '9/5', '5'] -> (5 / ((7/6 / (4/9 * 9/5)) - 5/4))
[336982] ['1/6', '3/7', '3/7', '8/9', '2'] -> (((2 / 1/6) - 3/7) / (3/7 / 8/9))
[336983] ['1/8', '3/5', '7/9', '1', '6/5'] -> ((1 / 1/8) / ((7/9 * 6/5) - 3/5))
[336984] ['1/6', '5/7', '5/7', '5/4', '8'] -> (((5/7 * 8) - 5/7) / (1/6 * 5/4))
[336985] ['2/9', '1/4', '7/5', '5/2', '3'] -> ((7/5 / (2/9 * 1/4)) - (3 / 5/2))
[336986] ['5/6', '1', '8/5', '8/5', '9/5'] -> (8/5 / ((8/5 / (5/6 * 9/5)) - 1))
[336987] ['4/9', '7/6', '5/4', '9/4', '5'] -> (5 / (5/4 * (7/6 - (4/9 * 9/4))))
[336988] ['1/6', '3/7', '3/7', '9/8', '2'] -> (((2 / 1/6) - 3/7) / (3/7 * 9/8))
[336989] ['5/4', '7/5', '7/4', '8/3', '7'] -> ((7 / (7/4 * (7/5 - 5/4))) - 8/3)
[336990] ['3/5', '7/9', '3/2', '9/4', '7'] -> ((7 / (3/2 * (7/9 - 3/5))) - 9/4)
[336991] ['3/5', '5/8', '2/3', '2', '5/2'] -> (2 / (3/5 - ((5/8 + 2/3) / 5/2)))
[336992] ['5/4', '7/5', '7/4', '7/2', '7'] -> ((7/2 + 7) / (5/4 * (7/4 - 7/5)))
[336993] ['1/6', '5/7', '5/7', '4/3', '8'] -> (8 * (((4/3 - 5/7) / 1/6) - 5/7))
[336994] ['1/8', '9/8', '7/6', '7/5', '8'] -> (8 / ((7/5 * (7/6 - 1/8)) - 9/8))
[336995] ['4/9', '7/6', '5/4', '8/3', '5'] -> (((4/9 * 5) / (5/4 - 7/6)) - 8/3)
[336996] ['3/5', '5/8', '2/3', '2', '9/2'] -> ((2 * 9/2) / ((5/8 / 3/5) - 2/3))
[336997] ['3/5', '7/9', '3/2', '7/2', '7'] -> (3/2 + ((7/2 + 7) / (3/5 * 7/9)))
[336998] ['1/6', '3/7', '3/7', '5/4', '2'] -> (2 / (5/4 - (1/6 + (3/7 / 3/7))))
[336999] ['2/9', '1/4', '3/2', '8/5', '3'] -> (((3/2 / 2/9) - 3) / (1/4 / 8/5))
[337000] ['1/8', '3/5', '7/9', '1', '8/5'] -> (8/5 / (1/8 * (1 - (3/5 * 7/9))))
[337001] ['4/9', '7/6', '5/4', '7/2', '5'] -> ((7/6 + 7/2) / (4/9 - (5/4 / 5)))
[337002] ['1/6', '3/7', '3/7', '4/3', '2'] -> ((2 + (3/7 / 3/7)) / (1/6 / 4/3))
[337003] ['1/6', '5/7', '5/7', '7/3', '8'] -> ((5/7 * 8) + ((5/7 + 7/3) / 1/6))
[337004] ['5/6', '1', '8/5', '5/3', '9/5'] -> ((8/5 / 5/6) / ((9/5 / 5/3) - 1))
[337005] ['3/5', '7/9', '8/5', '8/5', '7'] -> (8/5 * (3/5 + (7 / (7/9 / 8/5))))
[337006] ['1/6', '3/7', '3/7', '7/5', '2'] -> ((2 + (3/7 + 3/7)) / (1/6 / 7/5))
[337007] ['2/9', '1/4', '8/5', '5/3', '3'] -> ((5/3 / (2/9 / 8/5)) + (3 / 1/4))
[337008] ['1/8', '9/8', '6/5', '6/5', '8'] -> ((6/5 + 6/5) * (8 * (1/8 + 9/8)))
[337009] ['4/9', '7/6', '9/7', '9/7', '5'] -> ((5 * (4/9 * 9/7)) / (9/7 - 7/6))
[337010] ['1/6', '5/7', '5/7', '9/2', '8'] -> ((5/7 - 8) + ((5/7 + 9/2) / 1/6))
[337011] ['3/5', '5/8', '5/7', '7/8', '2'] -> (3/5 / ((5/8 * 2) - (7/8 / 5/7)))
[337012] ['3/5', '7/9', '8/5', '9/5', '7'] -> (8/5 + (9/5 * (7/9 + (7 / 3/5))))
[337013] ['1/8', '9/8', '6/5', '9/7', '8'] -> (8 / ((1/8 / (9/7 - 6/5)) - 9/8))
[337014] ['1/6', '5/7', '3/4', '7/9', '8'] -> (8 / ((5/7 * 7/9) - (1/6 / 3/4)))
[337015] ['1/6', '5/7', '3/4', '4/5', '8'] -> ((8 / (5/7 * 4/5)) / (3/4 - 1/6))
[337016] ['5/6', '1', '8/5', '7/4', '9/4'] -> (8/5 / (1 - (7/4 / (5/6 * 9/4))))
[337017] ['5/4', '7/5', '9/4', '8/3', '7'] -> ((9/4 * 8/3) * (7 / (5/4 * 7/5)))
[337018] ['1/8', '3/5', '7/9', '1', '8/3'] -> ((8/3 / 1/8) / ((1 / 3/5) - 7/9))
[337019] ['3/5', '5/8', '5/7', '9/8', '2'] -> (2 * ((9/8 / (5/7 - 5/8)) - 3/5))
[337020] ['1/6', '3/7', '4/9', '4/9', '2'] -> ((1/6 + (2 / (3/7 * 4/9))) / 4/9)
[337021] ['3/8', '3/8', '5/9', '5/3', '5'] -> ((5/3 + (3/8 / 3/8)) / (5/9 / 5))
[337022] ['1/8', '9/8', '6/5', '7/3', '8'] -> ((6/5 * 8) * ((9/8 * 7/3) - 1/8))
[337023] ['2/9', '1/4', '7/4', '7/4', '3'] -> (3 / ((1/4 / 2/9) - (7/4 / 7/4)))
[337024] ['3/5', '5/8', '5/7', '7/6', '2'] -> ((2 / (5/8 * 7/6)) / (5/7 - 3/5))
[337025] ['4/9', '7/6', '9/7', '7/4', '5'] -> (7/6 / ((7/4 / 4/9) - (5 / 9/7)))
[337026] ['1/8', '3/5', '4/5', '6/7', '1'] -> ((1 / 1/8) / ((4/5 / 6/7) - 3/5))
[337027] ['5/4', '7/5', '7/3', '8/3', '7'] -> ((7 * (7/5 + 7/3)) - (8/3 / 5/4))
[337028] ['5/6', '1', '8/5', '9/5', '9/5'] -> (9/5 / ((1 / 5/6) - (9/5 / 8/5)))
[337029] ['1/8', '9/8', '5/4', '9/7', '8'] -> ((5/4 - (9/8 / 9/7)) / (1/8 / 8))
[337030] ['3/5', '7/9', '5/3', '7/3', '7'] -> ((7 + (3/5 * 5/3)) / (7/9 / 7/3))
[337031] ['1/8', '3/5', '4/5', '8/9', '1'] -> (3/5 / ((1/8 - 1) + (4/5 / 8/9)))
[337032] ['5/4', '7/5', '7/3', '9/2', '7'] -> ((7/3 + 7) * (9/2 / (5/4 * 7/5)))
[337033] ['3/5', '5/8', '5/7', '9/7', '2'] -> ((3/5 * 5/7) / ((9/7 / 2) - 5/8))
[337034] ['1/8', '9/8', '5/4', '9/5', '8'] -> (8 + ((5/4 * 9/5) / (1/8 * 9/8)))
[337035] ['2/9', '1/4', '9/5', '8/3', '3'] -> ((8/3 + (2/9 * 3)) / (1/4 / 9/5))
[337036] ['1/6', '3/7', '4/9', '3/4', '2'] -> (2 / ((1/6 / 3/7) + (4/9 - 3/4)))
[337037] ['3/8', '3/8', '4/7', '5/8', '5'] -> (((5 / 4/7) - (3/8 - 5/8)) / 3/8)
[337038] ['3/5', '7/9', '5/3', '5/2', '7'] -> ((5/3 - 3/5) * (7 / (7/9 / 5/2)))
[337039] ['1/8', '3/5', '4/5', '1', '8/7'] -> ((1 + 8/7) / (1/8 / (3/5 + 4/5)))
[337040] ['1/6', '3/7', '4/9', '7/9', '2'] -> (4/9 / (2 - (1/6 + (7/9 / 3/7))))
[337041] ['3/5', '5/8', '5/7', '7/5', '2'] -> ((3/5 / 5/8) / (2 - (7/5 / 5/7)))
[337042] ['3/8', '3/8', '4/7', '7/9', '5'] -> (5 / (3/8 - (7/9 * (3/8 * 4/7))))
[337043] ['1/6', '5/7', '3/4', '8/5', '8'] -> ((8/5 / (1/6 * 3/4)) + (8 / 5/7))
[337044] ['4/9', '7/6', '9/7', '7/2', '5'] -> (((7/6 + 5) + (9/7 * 7/2)) / 4/9)
[337045] ['2/9', '1/4', '7/3', '7/3', '3'] -> (3 / ((1/4 / 2/9) - (7/3 / 7/3)))
[337046] ['3/5', '7/9', '5/3', '9/2', '7'] -> ((9/2 * (7 - (7/9 / 3/5))) - 5/3)
[337047] ['5/6', '1', '8/5', '9/5', '9/2'] -> ((8/5 / 9/5) * (9/2 / (1 - 5/6)))
[337048] ['1/8', '9/8', '9/7', '7/5', '8'] -> (7/5 * (8 + (9/7 / (1/8 * 9/8))))
[337049] ['5/4', '7/5', '7/2', '7/2', '7'] -> ((7/2 * 7) - ((5/4 * 7/5) / 7/2))
[337050] ['3/5', '7/9', '7/4', '7/4', '7'] -> (((7 / (3/5 / 7/4)) - 7/4) / 7/9)
[337051] ['1/8', '3/5', '4/5', '1', '7/4'] -> (((3/5 + 1) + (4/5 * 7/4)) / 1/8)
[337052] ['1/6', '5/7', '3/4', '5/3', '8'] -> (8 * ((1/6 / (3/4 - 5/7)) - 5/3))
[337053] ['1/8', '9/8', '9/7', '8/5', '8'] -> (8/5 * (8 + (9/8 / (1/8 * 9/7))))
[337054] ['5/6', '1', '8/5', '9/4', '7/3'] -> (1 / ((5/6 - 9/4) + (7/3 / 8/5)))
[337055] ['5/4', '7/5', '9/2', '9/2', '7'] -> ((7 / 7/5) - (5/4 - (9/2 * 9/2)))
[337056] ['1/8', '3/5', '4/5', '1', '7/3'] -> ((1 + (3/5 * 7/3)) / (1/8 * 4/5))
[337057] ['1/6', '5/7', '3/4', '9/5', '8'] -> ((8 - (9/5 / 3/4)) / (1/6 / 5/7))
[337058] ['1/8', '9/8', '9/7', '5/3', '8'] -> (9/7 * ((9/8 / 1/8) + (5/3 + 8)))
[337059] ['5/4', '3/2', '3/2', '8/5', '7'] -> ((5/4 * 8/5) * (3/2 + (3/2 * 7)))
[337060] ['3/8', '3/8', '4/7', '8/9', '5'] -> (5 / ((8/9 * (3/8 / 4/7)) - 3/8))
[337061] ['1/6', '5/7', '3/4', '9/4', '8'] -> (((5/7 * (3/4 + 8)) - 9/4) / 1/6)
[337062] ['5/4', '3/2', '3/2', '5/3', '7'] -> ((7 + (3/2 + 3/2)) / (5/3 - 5/4))
[337063] ['3/5', '5/8', '5/7', '9/5', '2'] -> (3/5 / ((9/5 / 2) - (5/8 / 5/7)))
[337064] ['1/6', '3/7', '4/9', '7/6', '2'] -> (((2 / 4/9) - (3/7 * 7/6)) / 1/6)
[337065] ['5/6', '1', '8/5', '9/4', '7/2'] -> (8/5 / ((9/4 / (7/2 - 1)) - 5/6))
[337066] ['3/8', '3/8', '4/7', '9/8', '5'] -> (5 / (((3/8 / 4/7) / 9/8) - 3/8))
[337067] ['4/9', '7/6', '4/3', '9/5', '5'] -> ((5 * (4/9 * 9/5)) / (4/3 - 7/6))
[337068] ['2/9', '2/7', '2/7', '3/7', '3'] -> ((3 + ((2/7 / 2/7) / 3/7)) / 2/9)
[337069] ['1/8', '9/8', '9/7', '7/2', '8'] -> (((9/7 * 7/2) / (1/8 * 9/8)) - 8)
[337070] ['5/4', '3/2', '3/2', '9/5', '7'] -> (5/4 * ((7 * (3/2 + 3/2)) - 9/5))
[337071] ['3/8', '3/8', '4/7', '7/6', '5'] -> ((5 / 7/6) / ((3/8 + 3/8) - 4/7))
[337072] ['1/8', '3/5', '5/6', '8/9', '1'] -> ((1 / 3/5) / ((1/8 + 5/6) - 8/9))
[337073] ['3/5', '5/8', '5/7', '2', '9/4'] -> ((9/4 / (5/7 - 5/8)) - (3/5 * 2))
[337074] ['1/6', '5/7', '3/4', '5/2', '8'] -> (8 / (5/7 * (1/6 + (3/4 / 5/2))))
[337075] ['4/9', '7/6', '4/3', '7/3', '5'] -> (5 / (4/3 - (7/6 / (4/9 * 7/3))))
[337076] ['5/6', '1', '8/5', '9/4', '9/2'] -> (1 / (((9/2 - 5/6) / 8/5) - 9/4))
[337077] ['1/8', '9/8', '9/7', '9/2', '8'] -> (((9/2 / 9/7) - 1/8) / (9/8 / 8))
[337078] ['2/9', '2/7', '2/7', '4/9', '3'] -> ((2/7 + (4/9 / 2/9)) / (2/7 / 3))
[337079] ['1/6', '3/7', '4/9', '9/7', '2'] -> ((2 / (1/6 * 4/9)) - (9/7 / 3/7))
[337080] ['5/6', '1', '8/5', '7/3', '7/3'] -> (1 / ((7/3 - 5/6) - (7/3 / 8/5)))
[337081] ['3/5', '7/9', '9/5', '9/5', '7'] -> (((7 / (7/9 / 9/5)) - 9/5) / 3/5)
[337082] ['3/5', '5/8', '5/7', '2', '5/2'] -> (((2 / (5/7 - 3/5)) - 5/2) / 5/8)
[337083] ['5/6', '1', '8/5', '7/3', '5/2'] -> ((5/2 / ((5/6 + 8/5) - 7/3)) - 1)
[337084] ['5/4', '3/2', '8/5', '9/4', '7'] -> ((7 * (8/5 * 9/4)) - (3/2 / 5/4))
[337085] ['1/6', '5/7', '7/9', '4/5', '8'] -> ((7/9 / (1/6 / 5/7)) * (8 - 4/5))
[337086] ['1/8', '3/5', '5/6', '1', '9/7'] -> (((1 / (5/6 - 3/5)) - 9/7) / 1/8)
[337087] ['3/8', '3/8', '4/7', '3/2', '5'] -> (((3/8 / 3/2) + (5 / 4/7)) / 3/8)
[337088] ['4/9', '7/6', '7/5', '8/5', '5'] -> (5 * ((7/5 / 7/6) + (8/5 / 4/9)))
[337089] ['5/4', '3/2', '5/3', '9/5', '7'] -> ((9/5 + (7 / 5/3)) / (3/2 - 5/4))
[337090] ['3/5', '7/9', '9/5', '8/3', '7'] -> (8/3 * ((3/5 + 7) + (7/9 * 9/5)))
[337091] ['3/5', '5/8', '3/4', '7/9', '2'] -> ((2 / (5/8 * 3/4)) / (7/9 - 3/5))
[337092] ['1/8', '3/5', '5/6', '1', '4/3'] -> (1 / ((3/5 * (1/8 + 4/3)) - 5/6))
[337093] ['1/6', '3/7', '4/9', '5/3', '2'] -> (((4/9 + (5/3 / 3/7)) / 1/6) - 2)
[337094] ['1/6', '5/7', '7/9', '7/8', '8'] -> ((8 * (1/6 / 7/8)) / (7/9 - 5/7))
[337095] ['4/9', '7/6', '7/5', '5/3', '5'] -> (5 / ((7/6 / (4/9 * 7/5)) - 5/3))
[337096] ['2/9', '2/7', '2/7', '7/9', '3'] -> ((7/9 + (2/7 / 2/7)) / (2/9 / 3))
[337097] ['5/6', '1', '8/5', '5/2', '8/3'] -> (5/2 / ((1 / (8/3 - 8/5)) - 5/6))
[337098] ['1/6', '5/7', '7/9', '8/9', '8'] -> ((8 + (8/9 / 1/6)) / (5/7 * 7/9))
[337099] ['3/5', '5/8', '3/4', '6/7', '2'] -> (6/7 * ((3/4 / (5/8 - 3/5)) - 2))
