[274816] ['1/4', '1/4', '1/3', '4/5', '6'] -> (((1/4 + 1/4) + (6 / 4/5)) / 1/3)
[274867] ['3/7', '7/8', '5/3', '9/4', '8'] -> (((9/4 - 7/8) / (3/7 / 8)) - 5/3)
[274868] ['1/9', '2/7', '2/7', '5/3', '8'] -> ((5/3 / 1/9) + (8 + (2/7 / 2/7)))
[274869] ['1/9', '4/9', '5/7', '8/3', '6'] -> (8/3 * (4/9 + ((1/9 + 6) / 5/7)))
[274870] ['1/5', '4/9', '7/9', '8/9', '7'] -> (((8/9 / 1/5) - (7/9 - 7)) / 4/9)
[274871] ['1/9', '2/9', '5/9', '5/6', '1'] -> (((5/9 / 2/9) - (5/6 - 1)) / 1/9)
[274872] ['2/5', '2/3', '3/4', '7/9', '9'] -> (2/3 + ((7/9 * 9) / (2/5 * 3/4)))
[274873] ['3/7', '7/8', '5/3', '5/2', '8'] -> (8 / ((5/3 / (7/8 * 5/2)) - 3/7))
[274874] ['1/2', '7/9', '6/5', '7/3', '7'] -> ((7 + (7/3 / 7/9)) / (1/2 / 6/5))
[274875] ['1/9', '2/7', '2/7', '9/5', '8'] -> (8 / ((2/7 / 9/5) - (1/9 - 2/7)))
[274876] ['2/9', '3/7', '5/7', '5/6', '2'] -> ((5/7 + (2 / 2/9)) / (5/6 - 3/7))
[274877] ['2/7', '7/8', '9/4', '9/4', '3'] -> ((3 * (7/8 + (9/4 / 2/7))) - 9/4)
[274878] ['1/5', '4/9', '7/9', '9/8', '7'] -> (7 / (1/5 * (9/8 - (4/9 - 7/9))))
[274879] ['1/4', '1/4', '3/8', '9/7', '6'] -> ((6 + (1/4 / 1/4)) / (3/8 / 9/7))
[274880] ['2/9', '3/7', '5/7', '7/8', '2'] -> ((2 / (2/9 / 3/7)) / (7/8 - 5/7))
[274881] ['1/2', '7/9', '6/5', '8/3', '7'] -> ((8/3 + (6/5 * (7/9 + 7))) / 1/2)
[274882] ['3/7', '7/8', '5/3', '9/2', '8'] -> (9/2 * ((3/7 * 8) + (5/3 / 7/8)))
[274883] ['1/4', '1/4', '3/8', '7/5', '6'] -> ((1/4 + (7/5 * (1/4 + 6))) / 3/8)
[274884] ['1/9', '2/7', '2/7', '5/2', '8'] -> ((5/2 + 8) * ((2/7 / 1/9) - 2/7))
[274885] ['1/5', '4/9', '7/9', '8/7', '7'] -> ((7/9 + (4/9 / 1/5)) * (8/7 * 7))
[274886] ['4/9', '7/8', '9/5', '2', '8/3'] -> ((2 / (7/8 - (4/9 * 9/5))) - 8/3)
[274887] ['1/9', '2/9', '5/9', '1', '7/6'] -> (((5/9 / 2/9) - (1 - 7/6)) / 1/9)
[274888] ['1/8', '7/8', '8/9', '8/9', '2'] -> ((8/9 / 8/9) + ((7/8 + 2) / 1/8))
[274889] ['2/9', '3/7', '5/7', '8/9', '2'] -> ((2 / 2/9) / ((5/7 / 8/9) - 3/7))
[274890] ['1/2', '7/9', '6/5', '9/2', '7'] -> ((9/2 + (7 / (7/9 * 6/5))) / 1/2)
[274891] ['2/5', '2/3', '3/4', '8/7', '9'] -> ((9 / (3/4 - 2/5)) - (8/7 / 2/3))
[274892] ['1/4', '1/4', '3/8', '9/5', '6'] -> ((6 - (1/4 / 1/4)) / (3/8 / 9/5))
[274893] ['1/9', '8/7', '9/7', '2', '9/2'] -> (8/7 / (((2 - 9/7) / 9/2) - 1/9))
[274894] ['2/5', '2/3', '3/4', '5/4', '9'] -> ((2/3 * 9) / (3/4 - (2/5 * 5/4)))
[274895] ['1/9', '2/7', '1/3', '3/8', '8'] -> (8 * ((1/3 / (2/7 * 3/8)) - 1/9))
[274896] ['1/4', '1/4', '3/8', '7/3', '6'] -> (1/4 / ((3/8 * (1/4 + 6)) - 7/3))
[274897] ['1/8', '7/8', '8/9', '9/8', '2'] -> ((8/9 * 9/8) + ((7/8 + 2) / 1/8))
[274898] ['1/5', '4/9', '7/9', '5/4', '7'] -> ((4/9 + (7 * (7/9 / 5/4))) / 1/5)
[274899] ['1/2', '7/9', '5/4', '9/7', '7'] -> (7 / (7/9 - ((1/2 * 5/4) / 9/7)))
[274900] ['1/9', '2/9', '5/9', '1', '5/4'] -> ((1/9 + 5/9) / (5/4 - (2/9 + 1)))
[274901] ['2/9', '3/7', '5/7', '8/7', '2'] -> (8/7 / ((3/7 * (2 - 2/9)) - 5/7))
[274902] ['1/9', '4/9', '3/4', '8/5', '6'] -> (6 / (8/5 - (3/4 / (1/9 + 4/9))))
[274903] ['2/5', '2/3', '3/4', '9/7', '9'] -> (2/3 + (9 / (9/7 * (2/5 * 3/4))))
[274904] ['1/9', '8/7', '4/3', '4/3', '2'] -> (((4/3 / 8/7) + (2 / 4/3)) / 1/9)
[274905] ['1/4', '1/4', '5/9', '8/9', '1'] -> (((5/9 + 1) / (1/4 * 1/4)) - 8/9)
[274906] ['2/7', '7/8', '7/3', '3', '9/2'] -> (((7/3 * 9/2) + (3 / 2/7)) / 7/8)
[274907] ['1/5', '4/9', '7/9', '9/7', '7'] -> (7 * (((9/7 - 4/9) / 1/5) - 7/9))
[274908] ['2/7', '7/8', '5/2', '5/2', '3'] -> ((5/2 / (2/7 / 5/2)) - (7/8 - 3))
[274909] ['2/9', '3/7', '5/7', '5/4', '2'] -> (2 / (5/7 - (3/7 * (2/9 + 5/4))))
[274910] ['1/8', '7/8', '8/9', '5/4', '2'] -> ((7/8 + (5/4 * 2)) / (1/8 / 8/9))
[274911] ['3/7', '7/8', '9/5', '7/3', '8'] -> ((7/3 - 3/7) * (8 * (7/8 * 9/5)))
[274912] ['1/9', '2/9', '5/9', '1', '8/5'] -> (8/5 / (1/9 * (1 - (2/9 / 5/9))))
[274913] ['4/9', '7/8', '2', '9/4', '9/2'] -> (2 * (7/8 + (9/4 * (4/9 + 9/2))))
[274914] ['1/9', '2/7', '1/3', '5/9', '8'] -> (8 * (((1/3 + 5/9) / 2/7) - 1/9))
[274915] ['1/4', '1/4', '5/9', '1', '7/6'] -> (7/6 / (1/4 * (1 - (1/4 + 5/9))))
[274916] ['1/9', '4/9', '7/9', '9/8', '6'] -> (6 / (9/8 * (7/9 - (1/9 + 4/9))))
[274917] ['3/7', '7/8', '9/5', '5/2', '8'] -> ((9/5 - 3/7) * (8 * (7/8 * 5/2)))
[274918] ['1/4', '1/4', '2/5', '3/4', '6'] -> ((3/4 / (2/5 * (1/4 * 1/4))) - 6)
[274919] ['2/7', '7/8', '8/3', '3', '9/2'] -> ((8/3 * 9/2) + (3 / (2/7 * 7/8)))
[274920] ['4/9', '7/8', '2', '7/3', '9/2'] -> ((9/2 + (2 / 4/9)) / (7/8 / 7/3))
[274921] ['1/9', '4/9', '7/9', '7/6', '6'] -> (4/9 / ((1/9 * (7/6 + 6)) - 7/9))
[274922] ['1/2', '7/9', '5/4', '7/3', '7'] -> (7 / ((1/2 * 5/4) - (7/9 / 7/3)))
[274923] ['1/8', '7/8', '8/9', '8/5', '2'] -> ((8/9 * 8/5) * (7/8 + (2 / 1/8)))
[274924] ['1/9', '2/9', '5/9', '1', '9/5'] -> ((5/9 / (2/9 - (1/9 * 9/5))) - 1)
[274925] ['2/9', '3/7', '5/7', '3/2', '2'] -> (((3/2 * 2) - 5/7) / (2/9 * 3/7))
[274926] ['1/9', '8/7', '7/5', '7/5', '2'] -> ((7/5 / (1/9 / 8/7)) / (2 - 7/5))
[274927] ['2/5', '2/3', '7/9', '5/6', '9'] -> (((9 - 7/9) / (2/5 * 5/6)) - 2/3)
[274928] ['2/7', '2/7', '5/6', '1', '7/6'] -> ((2/7 + 2/7) / ((1 / 7/6) - 5/6))
[274929] ['1/9', '4/9', '7/9', '6/5', '6'] -> (4/9 / ((1/9 * 6) - (7/9 / 6/5)))
[274930] ['2/9', '3/7', '5/7', '8/5', '2'] -> ((5/7 * 8/5) * (2 / (2/9 * 3/7)))
[274931] ['1/4', '1/4', '5/9', '1', '3/2'] -> (1 / (1/4 - (3/2 * (1/4 * 5/9))))
[274932] ['1/5', '4/9', '7/9', '9/4', '7'] -> (((7 - (7/9 / 4/9)) / 1/5) - 9/4)
[274933] ['1/8', '7/8', '8/9', '9/5', '2'] -> (2 / ((1/8 / 9/5) - (7/8 - 8/9)))
[274934] ['1/9', '8/7', '7/5', '8/5', '2'] -> (8/7 * ((7/5 + 8/5) + (2 / 1/9)))
[274935] ['1/9', '2/9', '5/9', '1', '7/2'] -> (((7/2 * (5/9 + 1)) - 1/9) / 2/9)
[274936] ['1/9', '4/9', '7/9', '7/5', '6'] -> (4/9 / (1/9 - ((7/9 / 7/5) / 6)))
[274937] ['1/4', '1/4', '5/9', '1', '5/3'] -> ((1 + 5/3) / (1/4 - (1/4 * 5/9)))
[274938] ['1/5', '4/9', '7/9', '7/3', '7'] -> ((4/9 / 1/5) + (7 * (7/9 + 7/3)))
[274939] ['1/2', '7/9', '5/4', '7/2', '7'] -> (7/2 + ((5/4 + (7 / 7/9)) / 1/2))
[274940] ['4/9', '7/8', '2', '8/3', '8/3'] -> (8/3 / ((4/9 + 2) - (7/8 * 8/3)))
[274941] ['3/7', '7/8', '9/4', '7/2', '8'] -> ((3/7 * 8) * ((9/4 * 7/2) - 7/8))
[274942] ['1/9', '4/9', '7/9', '8/5', '6'] -> ((6 - (1/9 - 7/9)) / (4/9 / 8/5))
[274943] ['2/9', '3/7', '5/7', '9/5', '2'] -> (((5/7 * 9/5) + (2 / 2/9)) / 3/7)
[274944] ['1/9', '2/7', '1/3', '9/8', '8'] -> ((1/3 + (9/8 * 8)) / (1/9 / 2/7))
[274945] ['2/5', '2/3', '7/9', '9/8', '9'] -> (9/8 * ((9 / 2/5) - (7/9 / 2/3)))
[274946] ['3/7', '7/8', '7/3', '5/2', '8'] -> (((3/7 * 7/3) + (5/2 * 8)) / 7/8)
[274947] ['2/9', '3/7', '5/7', '2', '9/4'] -> (9/4 * ((5/7 / 3/7) + (2 / 2/9)))
[274948] ['1/4', '1/4', '5/9', '1', '9/4'] -> ((1 + (9/4 / (1/4 / 5/9))) / 1/4)
[274949] ['2/7', '2/7', '5/6', '1', '8/5'] -> (2/7 / ((2/7 / 8/5) + (5/6 - 1)))
[274950] ['1/8', '7/8', '8/9', '2', '7/2'] -> ((7/2 / (1/8 * (2 - 7/8))) - 8/9)
[274951] ['1/2', '7/9', '9/7', '8/5', '7'] -> (8/5 * ((7/9 * 9/7) + (7 / 1/2)))
[274952] ['1/4', '1/4', '5/9', '1', '5/2'] -> ((5/2 / (1/4 * 5/9)) / (1 - 1/4))
[274953] ['1/9', '2/9', '4/7', '5/8', '1'] -> (1 / (5/8 - ((1/9 + 2/9) / 4/7)))
[274954] ['3/7', '7/8', '5/2', '5/2', '8'] -> ((8 + (5/2 / 5/2)) / (3/7 * 7/8))
[274955] ['1/4', '1/4', '2/5', '4/3', '6'] -> (1/4 + ((1/4 + 4/3) / (2/5 / 6)))
[274956] ['1/8', '7/8', '9/8', '9/8', '2'] -> ((9/8 / 9/8) + ((7/8 + 2) / 1/8))
[274957] ['1/5', '4/9', '4/5', '5/6', '7'] -> (7 / (5/6 * (4/5 - (1/5 / 4/9))))
[274958] ['2/5', '2/3', '7/9', '6/5', '9'] -> (((9 - 7/9) / (2/5 / 6/5)) - 2/3)
[274959] ['3/7', '7/8', '5/2', '8/3', '8'] -> ((3/7 * 8/3) + (8 / (7/8 / 5/2)))
[274960] ['1/9', '2/9', '4/7', '5/7', '1'] -> ((5/7 + 1) / (4/7 - (1/9 / 2/9)))
[274961] ['1/9', '4/9', '4/5', '7/8', '6'] -> (6 / ((4/9 * 7/8) - (1/9 / 4/5)))
[274962] ['1/4', '1/4', '5/9', '1', '9/2'] -> (((5/9 * 9/2) - 1) / (1/4 * 1/4))
[274963] ['1/8', '7/8', '9/8', '8/7', '2'] -> (((9/8 + 2) / 1/8) - (7/8 * 8/7))
[274964] ['2/7', '2/7', '5/6', '1', '9/5'] -> (2/7 / ((5/6 / (1 + 9/5)) - 2/7))
[274965] ['2/5', '2/3', '7/9', '5/4', '9'] -> ((2/3 + (9 / (2/5 * 5/4))) / 7/9)
[274966] ['1/4', '1/4', '4/7', '4/7', '1'] -> (((1 / 1/4) - 4/7) / (1/4 * 4/7))
[274967] ['1/2', '7/9', '9/7', '7/4', '7'] -> ((7 / 1/2) / ((7/4 / 9/7) - 7/9))
[274968] ['1/8', '7/8', '9/8', '6/5', '2'] -> (2 / (((9/8 - 7/8) / 6/5) - 1/8))
[274969] ['4/9', '8/9', '8/9', '7/6', '2'] -> ((4/9 + 8/9) / ((8/9 + 7/6) - 2))
[274970] ['1/5', '4/9', '4/5', '7/8', '7'] -> ((4/5 / 4/9) / (1/5 - (7/8 / 7)))
[274971] ['2/5', '2/3', '7/9', '4/3', '9'] -> (2/3 + ((4/3 * 9) / (2/5 / 7/9)))
[274972] ['1/9', '2/7', '1/3', '5/3', '8'] -> ((8 - (1/3 - 5/3)) / (1/9 / 2/7))
[274973] ['2/7', '3/8', '3/2', '8/3', '9'] -> (9 + (8/3 * (3/8 + (3/2 / 2/7))))
[274974] ['2/9', '3/7', '3/4', '5/6', '2'] -> (((5/6 + (2 / 3/7)) / 2/9) - 3/4)
[274975] ['1/9', '4/9', '4/5', '8/7', '6'] -> (6 / ((4/9 / 8/7) - (1/9 / 4/5)))
[274976] ['1/5', '4/9', '4/5', '9/8', '7'] -> ((1/5 + 7) / (4/5 - (4/9 * 9/8)))
[274977] ['2/5', '2/3', '7/9', '7/5', '9'] -> ((7/5 - (2/5 - 7/9)) / (2/3 / 9))
[274978] ['1/9', '2/9', '4/7', '5/6', '1'] -> (1 / (((1/9 / 2/9) / 4/7) - 5/6))
[274979] ['4/9', '8/9', '8/9', '5/4', '2'] -> (2 / ((8/9 - 5/4) - (4/9 - 8/9)))
[274980] ['1/4', '1/4', '4/7', '2/3', '1'] -> (1 / ((2/3 * (1/4 / 4/7)) - 1/4))
[274981] ['2/9', '3/7', '3/4', '7/8', '2'] -> (2 / (2/9 * (3/4 - (3/7 * 7/8))))
[274982] ['1/2', '7/9', '9/7', '8/3', '7'] -> (8/3 * (7 + (9/7 / (1/2 / 7/9))))
[274983] ['1/4', '1/4', '3/7', '3/5', '6'] -> (1/4 + ((1/4 + (6 / 3/7)) / 3/5))
[274984] ['1/5', '4/9', '4/5', '6/5', '7'] -> ((6/5 * 7) / (4/5 - (1/5 / 4/9)))
[274985] ['1/9', '2/9', '4/7', '8/9', '1'] -> (8/9 / ((1/9 / (1 - 4/7)) - 2/9))
[274986] ['1/2', '7/9', '4/3', '7/5', '7'] -> ((4/3 / 7/5) * (7 / (7/9 - 1/2)))
[274987] ['2/9', '3/7', '3/4', '9/8', '2'] -> (((3/4 / 9/8) + (2 / 3/7)) / 2/9)
[274988] ['1/9', '4/9', '4/5', '7/5', '6'] -> (6 / (4/9 - (7/5 * (1/9 / 4/5))))
[274989] ['2/7', '3/8', '8/5', '9/5', '9'] -> (3/8 + ((9/5 + 9) / (2/7 * 8/5)))
[274990] ['2/7', '2/7', '6/7', '1', '7/6'] -> ((2/7 + 6/7) / (2/7 * (7/6 - 1)))
[274991] ['1/2', '7/9', '4/3', '3/2', '7'] -> ((7 * (1/2 + 3/2)) / (7/9 / 4/3))
[274992] ['1/4', '1/4', '4/7', '5/6', '1'] -> (1 / (((1/4 + 1/4) / 4/7) - 5/6))
[274993] ['2/7', '2/7', '6/7', '1', '6/5'] -> ((2/7 + 2/7) / (6/7 - (1 / 6/5)))
[274994] ['2/7', '8/9', '8/9', '3', '9/2'] -> (3 * (9/2 + (8/9 / (2/7 * 8/9))))
[274995] ['1/9', '2/7', '1/3', '5/2', '8'] -> (((2/7 * (5/2 + 8)) - 1/3) / 1/9)
[274996] ['2/5', '2/3', '7/9', '5/2', '9'] -> ((7/9 + (2/5 * 5/2)) / (2/3 / 9))
[274997] ['3/7', '8/9', '8/9', '7/5', '8'] -> ((7/5 * ((8 / 3/7) - 8/9)) - 8/9)
[274998] ['2/7', '2/7', '6/7', '1', '5/4'] -> (5/4 + ((6/7 + 1) / (2/7 * 2/7)))
[274999] ['1/4', '1/4', '4/7', '7/8', '1'] -> ((1 + (4/7 * 7/8)) / (1/4 * 1/4))
[275000] ['1/2', '7/9', '4/3', '8/5', '7'] -> ((7 / (7/9 - 1/2)) - (8/5 / 4/3))
[275001] ['4/9', '8/9', '8/9', '5/3', '2'] -> ((4/9 + 8/9) / (8/9 - (5/3 / 2)))
[275002] ['1/5', '4/9', '4/5', '7/5', '7'] -> ((7/5 + 7) / (4/5 - (1/5 / 4/9)))
[275003] ['2/5', '2/3', '7/9', '7/2', '9'] -> (7/2 * (9 - (2/3 / (2/5 * 7/9))))
[275004] ['2/7', '2/7', '6/7', '1', '9/7'] -> ((6/7 / (2/7 * 2/7)) * (1 + 9/7))
[275005] ['2/7', '2/7', '6/7', '1', '4/3'] -> ((2/7 + 6/7) / (4/3 - (2/7 + 1)))
[275006] ['2/9', '3/7', '3/4', '5/4', '2'] -> (5/4 + ((3/4 + (2 / 2/9)) / 3/7))
[275007] ['2/7', '8/9', '9/8', '7/6', '3'] -> (7/6 / ((9/8 / 2/7) - (8/9 + 3)))
[275008] ['3/7', '8/9', '8/9', '5/3', '8'] -> (((5/3 + (8 / 8/9)) / 3/7) - 8/9)
[275009] ['1/9', '2/7', '3/8', '2/5', '8'] -> ((8 / (1/9 + 3/8)) / (2/7 + 2/5))
[275010] ['1/2', '7/9', '4/3', '5/2', '7'] -> ((5/2 - 1/2) * (7 / (7/9 / 4/3)))
[275011] ['1/4', '1/4', '4/7', '1', '7/6'] -> ((1 / (1/4 * 1/4)) / (4/7 * 7/6))
[275012] ['1/9', '2/7', '3/8', '4/9', '8'] -> ((4/9 / ((1/9 / 2/7) - 3/8)) - 8)
[275013] ['1/9', '2/9', '4/7', '1', '4/3'] -> (1 + ((2/9 + (4/3 / 4/7)) / 1/9))
[275014] ['1/2', '7/9', '7/5', '7/5', '7'] -> ((1/2 + 7) * (7/5 + (7/5 / 7/9)))
[275015] ['1/9', '4/9', '5/6', '9/8', '6'] -> ((5/6 / (1/9 * 4/9)) + (9/8 + 6))
[275016] ['1/8', '7/8', '8/7', '2', '8/3'] -> ((8/7 / 1/8) / (8/3 - (2 / 7/8)))
[275017] ['2/9', '3/7', '3/4', '3/2', '2'] -> (((2 + (3/2 / 3/7)) / 2/9) - 3/4)
[275018] ['1/9', '2/7', '3/8', '5/9', '8'] -> ((8 - (5/9 / (1/9 + 3/8))) / 2/7)
[275019] ['2/5', '2/3', '4/5', '9/7', '9'] -> (9/7 * (2/3 + (9 / (2/5 / 4/5))))
[275020] ['1/9', '4/9', '5/6', '7/6', '6'] -> ((6 + (5/6 + 7/6)) / (4/9 - 1/9))
[275021] ['1/4', '1/4', '4/7', '1', '9/7'] -> (((1 + (9/7 / 1/4)) / 1/4) - 4/7)
[275022] ['3/7', '8/9', '8/9', '7/3', '8'] -> (8 / (((8/9 + 8/9) / 7/3) - 3/7))
[275023] ['1/2', '7/9', '7/5', '7/4', '7'] -> (((7/9 + 7) * (7/5 + 7/4)) - 1/2)
[275024] ['2/7', '3/8', '5/3', '9/4', '9'] -> (3/8 + ((9/4 + 9) / (2/7 * 5/3)))
[275025] ['1/5', '4/9', '5/6', '5/6', '7'] -> ((1/5 + 7) / (5/6 - (4/9 / 5/6)))
[275026] ['1/8', '7/8', '7/6', '6/5', '2'] -> (((7/6 / 7/8) + (2 / 6/5)) / 1/8)
[275027] ['1/9', '4/9', '5/6', '9/7', '6'] -> (4/9 / ((1/9 * 6) - (5/6 / 9/7)))
[275028] ['1/4', '1/4', '3/7', '3/2', '6'] -> (6 * ((1/4 + 1/4) + (3/2 / 3/7)))
[275029] ['1/8', '7/8', '7/6', '9/7', '2'] -> (2 / ((1/8 - 7/6) + (7/8 * 9/7)))
[275030] ['1/4', '1/4', '3/7', '8/5', '6'] -> (8/5 * ((1/4 / 1/4) + (6 / 3/7)))
[275031] ['1/9', '2/7', '3/8', '5/8', '8'] -> ((8 / 2/7) - (5/8 + (3/8 / 1/9)))
[275032] ['2/9', '3/7', '3/4', '7/4', '2'] -> (((7/4 / 3/7) - (3/4 - 2)) / 2/9)
[275033] ['1/9', '4/9', '5/6', '7/5', '6'] -> ((7/5 / (1/9 / 5/6)) + (6 / 4/9))
[275034] ['1/4', '1/4', '4/7', '1', '3/2'] -> (1 / (((1/4 / 4/7) / 3/2) - 1/4))
[275035] ['1/9', '2/9', '4/7', '1', '9/4'] -> ((1 / 4/7) + ((2/9 + 9/4) / 1/9))
[275036] ['2/7', '2/7', '6/7', '1', '5/2'] -> (((6/7 + 5/2) + (1 / 2/7)) / 2/7)
[275037] ['1/2', '7/9', '7/5', '9/4', '7'] -> (((7/9 + 7) * (7/5 * 9/4)) - 1/2)
[275038] ['1/5', '4/9', '5/6', '7/8', '7'] -> ((7 / 7/8) / ((4/9 / 5/6) - 1/5))
[275039] ['2/5', '2/3', '5/6', '8/9', '9'] -> ((8/9 * 9) / (2/3 - (2/5 * 5/6)))
[275040] ['1/9', '2/7', '3/8', '2/3', '8'] -> ((3/8 * 8) + (2/3 / (1/9 * 2/7)))
[275041] ['1/9', '4/9', '5/6', '8/5', '6'] -> ((5/6 * 8/5) * (6 / (4/9 - 1/9)))
[275042] ['2/9', '3/7', '3/4', '9/5', '2'] -> ((2 / 3/7) / ((3/4 / 9/5) - 2/9))
[275043] ['1/5', '4/9', '5/6', '8/9', '7'] -> ((8/9 + (4/9 * 7)) / (1/5 * 5/6))
[275044] ['1/9', '2/9', '4/7', '1', '7/3'] -> (((7/3 / (1 - 4/7)) - 1/9) / 2/9)
