[53191] ['1/4', '3/7', '8/3', '8/3', '5'] -> (3/7 * (8/3 + (5 / (1/4 / 8/3))))
[53217] ['1/5', '3/5', '7/8', '5/3', '4'] -> (((3/5 * 5/3) + (4 / 1/5)) / 7/8)
[53218] ['1/3', '4/5', '7/6', '8/3', '8'] -> ((8/3 * 8) * ((7/6 / 4/5) - 1/3))
[53219] ['1/9', '3/5', '5/8', '5/7', '3'] -> (5/8 * (3/5 + (3 / (1/9 * 5/7))))
[53220] ['2/5', '4/9', '4/9', '7/6', '3'] -> ((4/9 * 3) / (7/6 - (4/9 / 2/5)))
[53221] ['1/9', '1/9', '5/4', '9/5', '7'] -> (7 + ((9/5 + (1/9 / 5/4)) / 1/9))
[53222] ['3/8', '5/4', '5/4', '4', '9/2'] -> ((5/4 * 4) * (9/2 + (3/8 / 5/4)))
[53223] ['2/7', '4/9', '8/9', '5/4', '2'] -> (5/4 + ((8/9 + 2) / (2/7 * 4/9)))
[53224] ['1/5', '2/7', '4/9', '4/5', '5'] -> (1/5 + ((5 + (4/5 / 4/9)) / 2/7))
[53225] ['1/2', '5/8', '7/5', '8/3', '4'] -> ((4 / (7/5 - (5/8 / 1/2))) - 8/3)
[53226] ['1/5', '3/5', '7/8', '9/5', '4'] -> ((9/5 + (3/5 * 4)) / (1/5 * 7/8))
[53227] ['1/6', '1/5', '7/9', '4/5', '9'] -> (9 * (((7/9 - 1/5) / 1/6) - 4/5))
[53228] ['1/4', '4/9', '4/9', '5/7', '5'] -> (((5 / 5/7) - (4/9 / 4/9)) / 1/4)
[53229] ['5/9', '8/9', '8/9', '1', '4/3'] -> (1 / ((8/9 / 4/3) - (5/9 / 8/9)))
[53230] ['1/9', '2/9', '3/4', '9/7', '5'] -> ((1/9 + (5 / 9/7)) / (2/9 * 3/4))
[53231] ['1/9', '3/5', '5/8', '3/4', '3'] -> (3 / (1/9 * (3/4 + (3/5 * 5/8))))
[53232] ['1/9', '2/5', '4/5', '9/8', '4'] -> (4 * ((4/5 / (1/9 * 9/8)) - 2/5))
[53233] ['1/5', '3/5', '7/8', '9/4', '4'] -> ((9/4 + (3/5 / 1/5)) / (7/8 / 4))
[53234] ['1/3', '4/5', '6/5', '9/7', '8'] -> ((6/5 + (1/3 + 4/5)) * (9/7 * 8))
[53235] ['1/9', '2/9', '3/4', '7/5', '5'] -> ((1/9 + (7/5 * 5)) / (2/9 / 3/4))
[53236] ['1/4', '4/9', '4/9', '6/7', '5'] -> ((4/9 + 5) * (6/7 / (4/9 - 1/4)))
[53237] ['2/7', '4/9', '8/9', '4/3', '2'] -> (4/3 / (4/9 - (8/9 / (2/7 + 2))))
[53238] ['3/8', '5/4', '9/7', '7/5', '4'] -> ((9/7 * 7/5) * (4 / (3/8 / 5/4)))
[53239] ['1/9', '1/9', '5/4', '7/2', '7'] -> ((5/4 + 7) + (7/2 / (1/9 + 1/9)))
[53240] ['1/9', '2/5', '4/5', '8/7', '4'] -> (4/5 / (1/9 - (2/5 / (8/7 + 4))))
[53241] ['1/9', '3/5', '5/8', '5/6', '3'] -> (3 / (1/9 * (5/8 + (3/5 * 5/6))))
[53242] ['1/9', '2/9', '3/4', '8/5', '5'] -> ((8/5 + (2/9 / 1/9)) / (3/4 / 5))
[53243] ['5/9', '8/9', '8/9', '1', '8/5'] -> (8/9 / ((5/9 / (8/5 - 1)) - 8/9))
[53244] ['1/7', '1/6', '3/4', '4/3', '5'] -> (5 / (1/7 * (4/3 + (1/6 * 3/4))))
[53245] ['1/9', '2/9', '3/4', '9/5', '5'] -> ((5 / (1/9 / 2/9)) / (3/4 / 9/5))
[53246] ['1/4', '4/9', '4/9', '7/6', '5'] -> ((4/9 + 5) / (7/6 * (4/9 - 1/4)))
[53247] ['1/9', '2/5', '4/5', '5/4', '4'] -> ((4 / (1/9 * 5/4)) / (2/5 + 4/5))
[53248] ['1/5', '2/9', '7/8', '5/3', '6'] -> ((6 / (2/9 * 5/3)) / (7/8 - 1/5))
[53249] ['1/2', '5/8', '8/5', '9/5', '4'] -> ((4 + (1/2 / 5/8)) / (9/5 - 8/5))
[53250] ['1/7', '1/6', '3/4', '7/5', '5'] -> ((5 / (1/7 + 3/4)) / (1/6 * 7/5))
[53251] ['3/8', '5/4', '9/7', '8/5', '4'] -> ((9/7 / (3/8 / 5/4)) * (8/5 + 4))
[53252] ['2/7', '4/9', '8/9', '8/5', '2'] -> (2 / ((4/9 / (2/7 * 8/5)) - 8/9))
[53253] ['5/9', '8/9', '8/9', '1', '9/5'] -> ((5/9 / (9/5 - (8/9 + 8/9))) - 1)
[53254] ['1/9', '3/5', '5/8', '8/9', '3'] -> ((3 - (8/9 * (3/5 * 5/8))) / 1/9)
[53255] ['2/7', '4/9', '8/9', '5/3', '2'] -> (2 / ((4/9 / (2/7 * 8/9)) - 5/3))
[53256] ['1/5', '2/9', '7/8', '9/5', '6'] -> (6 / (2/9 * (9/5 + (1/5 - 7/8))))
[53257] ['1/9', '3/5', '5/8', '8/7', '3'] -> ((3/5 * 5/8) + (3 / (1/9 * 8/7)))
[53258] ['1/9', '2/5', '4/5', '7/4', '4'] -> (4 / (1/9 * (4/5 + (2/5 * 7/4))))
[53259] ['1/4', '4/9', '4/9', '7/5', '5'] -> (((7/5 * 5) - (4/9 / 4/9)) / 1/4)
[53260] ['1/9', '2/9', '7/9', '6/7', '5'] -> (6/7 + ((5 + (1/9 / 7/9)) / 2/9))
[53261] ['1/9', '1/9', '9/7', '3/2', '7'] -> ((9/7 + (1/9 / 1/9)) * (3/2 * 7))
[53262] ['1/6', '1/5', '7/9', '9/7', '9'] -> ((9 - (9/7 / (1/5 / 7/9))) / 1/6)
[53263] ['5/9', '8/9', '8/9', '1', '5/2'] -> (8/9 / ((8/9 / (5/2 - 1)) - 5/9))
[53264] ['1/4', '4/9', '4/9', '8/5', '5'] -> ((8/5 * 5) / (4/9 - (1/4 * 4/9)))
[53265] ['1/9', '2/5', '4/5', '9/4', '4'] -> ((4 + (4/5 / 2/5)) / (1/9 * 9/4))
[53266] ['1/2', '5/8', '5/3', '7/2', '4'] -> ((7/2 / (1/2 - (5/8 / 5/3))) - 4)
[53267] ['1/9', '1/9', '9/7', '8/5', '7'] -> (9/7 / ((1/9 / 8/5) - (1/9 / 7)))
[53268] ['1/9', '2/9', '7/9', '9/8', '5'] -> (((1/9 + 7/9) + (5 / 9/8)) / 2/9)
[53269] ['1/9', '3/5', '5/8', '5/4', '3'] -> ((3 / (1/9 * 3/5)) / (5/8 + 5/4))
[53270] ['5/9', '8/9', '8/9', '1', '8/3'] -> (8/9 / ((5/9 * (8/3 - 1)) - 8/9))
[53271] ['1/4', '4/9', '4/9', '7/4', '5'] -> ((7/4 + 5) / (1/4 / (4/9 + 4/9)))
[53272] ['1/5', '2/9', '7/8', '5/2', '6'] -> ((7/8 + 5/2) * (6 + (2/9 / 1/5)))
[53273] ['1/3', '4/5', '9/7', '8/5', '8'] -> ((9/7 * 8) * (1/3 + (8/5 / 4/5)))
[53274] ['3/8', '5/4', '9/7', '8/3', '4'] -> (((3/8 * 8/3) / (9/7 - 5/4)) - 4)
[53275] ['1/6', '1/5', '7/9', '8/5', '9'] -> ((7/9 * 9) / (1/6 + (1/5 / 8/5)))
[53276] ['1/9', '2/5', '4/5', '7/2', '4'] -> (4 / (1/9 * (7/2 - (4/5 / 2/5))))
[53277] ['1/9', '3/5', '5/8', '8/5', '3'] -> (8/5 / (3/5 - (3 * (1/9 / 5/8))))
[53278] ['1/9', '1/9', '9/7', '7/3', '7'] -> ((9/7 * 7/3) * (7 + (1/9 / 1/9)))
[53279] ['2/7', '4/9', '8/9', '2', '7/2'] -> ((7/2 / (2/7 / 2)) - (4/9 / 8/9))
[53280] ['3/8', '5/4', '4/3', '8/5', '4'] -> ((5/4 * 8/5) * (4/3 + (4 / 3/8)))
[53281] ['1/9', '2/9', '7/9', '7/5', '5'] -> (((5 * (7/9 * 7/5)) - 1/9) / 2/9)
[53282] ['1/9', '3/5', '5/8', '5/3', '3'] -> (5/3 / (5/8 - (3 * (1/9 / 3/5))))
[53283] ['1/5', '3/5', '8/9', '9/5', '4'] -> (9/5 / ((1/5 / 8/9) - (3/5 / 4)))
[53284] ['1/5', '2/9', '7/8', '9/2', '6'] -> ((9/2 / (2/9 * (7/8 - 1/5))) - 6)
[53285] ['1/2', '5/8', '9/5', '5/2', '4'] -> ((1/2 + (5/2 * (9/5 + 4))) / 5/8)
[53286] ['2/5', '4/9', '1/2', '1/2', '3'] -> (3 / ((1/2 / 2/5) - (1/2 / 4/9)))
[53287] ['2/7', '4/9', '8/9', '2', '9/2'] -> ((2 * 9/2) * ((8/9 / 2/7) - 4/9))
[53288] ['1/4', '4/9', '1/2', '4/7', '5'] -> ((5 / (4/9 - 1/4)) / (1/2 + 4/7))
[53289] ['5/9', '8/9', '1', '9/8', '6/5'] -> ((8/9 / 5/9) / ((6/5 / 9/8) - 1))
[53290] ['1/9', '2/9', '7/9', '8/5', '5'] -> ((7/9 - 1/9) * (5 / (2/9 / 8/5)))
[53291] ['1/3', '4/5', '9/7', '7/3', '8'] -> ((1/3 + (9/7 * 7/3)) * (8 - 4/5))
[53292] ['3/8', '5/4', '4/3', '9/5', '4'] -> (4 / (9/5 - (4/3 + (3/8 / 5/4))))
[53293] ['1/9', '1/9', '9/7', '9/2', '7'] -> (((7 - 1/9) / (9/7 / 9/2)) - 1/9)
[53294] ['1/2', '5/8', '9/5', '7/2', '4'] -> (9/5 / ((7/2 / 4) - (1/2 / 5/8)))
[53295] ['1/7', '1/6', '7/9', '7/8', '5'] -> (5 / (7/8 - (7/9 * (1/7 / 1/6))))
[53296] ['1/5', '3/5', '9/8', '9/8', '4'] -> ((9/8 / 9/8) + ((3/5 + 4) / 1/5))
[53297] ['1/9', '2/5', '5/6', '9/8', '4'] -> ((4 - 2/5) / (9/8 * (1/9 / 5/6)))
[53298] ['1/9', '2/9', '7/9', '7/4', '5'] -> (((7/9 / 7/4) - (1/9 - 5)) / 2/9)
[53299] ['1/6', '1/5', '7/9', '8/3', '9'] -> (((7/9 + 9) / (1/6 + 1/5)) - 8/3)
[53300] ['1/3', '4/5', '9/7', '5/2', '8'] -> ((1/3 + (4/5 * 5/2)) * (9/7 * 8))
[53301] ['1/7', '1/6', '7/9', '9/8', '5'] -> (5 / (7/9 * (9/8 - (1/7 / 1/6))))
[53302] ['5/9', '8/9', '1', '9/8', '7/5'] -> ((7/5 + (8/9 / 5/9)) / (9/8 - 1))
[53303] ['1/4', '4/9', '1/2', '4/5', '5'] -> ((5 / (1/4 + 4/9)) / (4/5 - 1/2))
[53304] ['1/5', '2/9', '8/9', '9/7', '6'] -> ((6 / (1/5 * 9/7)) - (2/9 - 8/9))
[53305] ['1/9', '2/5', '5/6', '7/6', '4'] -> (4 / (1/9 * (7/6 + (2/5 * 5/6))))
[53306] ['3/8', '5/4', '7/5', '3/2', '4'] -> (3/2 / (((5/4 * 7/5) / 4) - 3/8))
[53307] ['1/9', '1/9', '4/3', '9/5', '7'] -> (((1/9 - 4/3) + (7 / 9/5)) / 1/9)
[53308] ['2/5', '4/9', '1/2', '3/4', '3'] -> ((1/2 + (3 / 2/5)) / (4/9 * 3/4))
[53309] ['1/9', '2/9', '4/5', '7/8', '5'] -> (7/8 + ((5 + (1/9 / 4/5)) / 2/9))
[53310] ['1/9', '1/9', '4/3', '9/4', '7'] -> ((4/3 * 9/4) * (7 + (1/9 / 1/9)))
[53311] ['1/4', '4/9', '1/2', '7/8', '5'] -> (((7/8 + (5 / 4/9)) / 1/2) - 1/4)
[53312] ['1/9', '2/5', '5/6', '9/7', '4'] -> ((4 / 5/6) / ((2/5 / 9/7) - 1/9))
[53313] ['1/9', '3/5', '5/8', '3', '9/2'] -> (3 / ((1/9 * 9/2) - (3/5 * 5/8)))
[53314] ['1/9', '2/9', '4/5', '8/9', '5'] -> ((8/9 - 2/9) * (5 / (1/9 / 4/5)))
[53315] ['1/5', '2/9', '8/9', '7/4', '6'] -> (6 / ((2/9 / 1/5) + (8/9 - 7/4)))
[53316] ['2/5', '4/9', '1/2', '7/9', '3'] -> ((1/2 + (3 / 2/5)) / (7/9 - 4/9))
[53317] ['1/5', '3/5', '9/8', '7/5', '4'] -> (3/5 / ((9/8 / 1/5) - (7/5 * 4)))
[53318] ['1/9', '2/5', '5/6', '3/2', '4'] -> (4 / ((2/5 * 5/6) - (1/9 * 3/2)))
[53319] ['1/9', '1/9', '4/3', '7/2', '7'] -> (4/3 / (1/9 - ((1/9 * 7/2) / 7)))
[53320] ['3/8', '5/4', '7/5', '9/5', '4'] -> ((4 + (7/5 + 9/5)) / (3/8 / 5/4))
[53321] ['1/9', '1/9', '4/3', '9/2', '7'] -> ((4/3 * 7) / ((1/9 * 9/2) - 1/9))
[53322] ['1/4', '4/9', '1/2', '6/5', '5'] -> ((1/2 + (5 / 6/5)) / (4/9 - 1/4))
[53323] ['1/5', '2/7', '4/9', '8/3', '5'] -> (8/3 / ((4/9 / (2/7 * 5)) - 1/5))
[53324] ['1/9', '2/5', '5/6', '7/4', '4'] -> (4 / (2/5 - (7/4 * (1/9 / 5/6))))
[53325] ['1/2', '2/3', '2/3', '9/7', '4'] -> ((2/3 / (2/3 - (1/2 * 9/7))) - 4)
[53326] ['3/8', '5/4', '7/5', '9/4', '4'] -> ((9/4 + (5/4 * (7/5 + 4))) / 3/8)
[53327] ['1/4', '4/9', '1/2', '5/4', '5'] -> ((1/4 + 5/4) + (5 / (4/9 * 1/2)))
[53328] ['1/5', '3/5', '9/8', '7/4', '4'] -> (3/5 / ((1/5 * (7/4 + 4)) - 9/8))
[53329] ['1/9', '2/9', '4/5', '7/6', '5'] -> (4/5 / (((1/9 + 7/6) / 5) - 2/9))
[53330] ['1/2', '2/3', '2/3', '8/5', '4'] -> (4 / ((2/3 / (1/2 * 8/5)) - 2/3))
[53331] ['1/9', '1/9', '7/5', '3/2', '7'] -> (3/2 + (7 / (7/5 * (1/9 + 1/9))))
[53332] ['1/5', '3/5', '9/8', '9/5', '4'] -> (9/5 / ((1/5 * 9/8) - (3/5 / 4)))
[53333] ['1/6', '1/5', '5/6', '9/8', '9'] -> (9 / (9/8 * (1/6 + (1/5 * 5/6))))
[53334] ['5/9', '8/9', '1', '9/8', '7/2'] -> (1 / ((7/2 * (8/9 - 5/9)) - 9/8))
[53335] ['1/9', '3/5', '2/3', '7/8', '3'] -> (3 / ((2/3 / 3/5) - (1/9 + 7/8)))
[53336] ['1/4', '4/9', '1/2', '9/7', '5'] -> (5 / (1/4 * (4/9 + (1/2 / 9/7))))
[53337] ['1/9', '1/9', '7/5', '8/5', '7'] -> ((7/5 + 8/5) * (7 + (1/9 / 1/9)))
[53338] ['1/3', '4/5', '3/2', '7/4', '8'] -> ((4/5 * 8) * ((7/4 / 1/3) - 3/2))
[53339] ['1/7', '1/6', '7/9', '7/4', '5'] -> ((5 / (1/6 * 7/9)) / (7/4 - 1/7))
[53340] ['1/9', '3/5', '2/3', '8/9', '3'] -> (8/9 / ((2/3 / 3) - (1/9 / 3/5)))
[53341] ['1/6', '1/5', '5/6', '7/6', '9'] -> (((5/6 + 9) - (7/6 / 1/5)) / 1/6)
[53342] ['1/2', '2/3', '5/7', '3/4', '4'] -> (((4 / (5/7 - 1/2)) - 2/3) / 3/4)
[53343] ['5/9', '8/9', '1', '8/7', '7/6'] -> ((8/9 / (5/9 + 1)) / (7/6 - 8/7))
[53344] ['1/5', '3/5', '8/7', '7/6', '4'] -> ((4 + (7/6 * (3/5 * 8/7))) / 1/5)
[53345] ['1/2', '2/3', '5/7', '7/9', '4'] -> (4 / ((1/2 / 7/9) - (2/3 * 5/7)))
[53346] ['1/9', '2/9', '4/5', '7/3', '5'] -> (4/5 / ((1/9 / 2/9) - (7/3 / 5)))
[53347] ['1/9', '3/5', '2/3', '5/4', '3'] -> ((2/3 / 5/4) * (3 / (1/9 * 3/5)))
[53348] ['1/9', '1/9', '7/5', '9/5', '7'] -> (((7 / (7/5 * 9/5)) - 1/9) / 1/9)
[53349] ['1/5', '3/5', '8/7', '5/4', '4'] -> (((3/5 / 1/5) / (5/4 - 8/7)) - 4)
[53350] ['1/5', '2/7', '1/2', '5/8', '5'] -> (((5 / 2/7) - (1/2 / 1/5)) / 5/8)
[53351] ['5/9', '8/9', '1', '8/7', '9/7'] -> (8/7 / ((1 - 9/7) - (5/9 - 8/9)))
[53352] ['1/7', '1/6', '7/9', '8/3', '5'] -> (5 / (1/6 + ((1/7 * 7/9) / 8/3)))
[53353] ['1/9', '1/9', '7/5', '9/4', '7'] -> ((7 / (1/9 + (1/9 * 7/5))) - 9/4)
[53354] ['1/9', '2/9', '5/6', '5/6', '5'] -> ((5/6 / 5/6) + ((1/9 + 5) / 2/9))
[53355] ['5/9', '8/9', '1', '8/7', '4/3'] -> (1 / ((5/9 / 8/7) + (8/9 - 4/3)))
[53356] ['2/7', '4/9', '9/8', '2', '7/2'] -> ((7/2 / (2/7 / 2)) - (4/9 * 9/8))
[53357] ['3/8', '5/4', '8/5', '9/4', '4'] -> (4 / (9/4 - (5/4 / (3/8 * 8/5))))
[53358] ['1/9', '1/9', '7/5', '5/2', '7'] -> (((7/5 * 5/2) * (7 - 1/9)) - 1/9)
[53359] ['1/3', '4/5', '7/4', '9/4', '8'] -> ((7/4 - (1/3 / 4/5)) * (9/4 * 8))
[53360] ['1/4', '4/9', '5/9', '5/7', '5'] -> (((5 / 5/7) - (4/9 + 5/9)) / 1/4)
[53361] ['3/8', '5/4', '8/5', '7/3', '4'] -> (4 / ((3/8 + 5/4) - (7/3 / 8/5)))
[53362] ['2/5', '4/9', '1/2', '5/3', '3'] -> ((2/5 + (3 / 1/2)) / (4/9 / 5/3))
[53363] ['1/9', '3/5', '2/3', '7/4', '3'] -> (2/3 / ((1/9 - 3) + (7/4 / 3/5)))
[53364] ['1/2', '2/3', '5/7', '7/6', '4'] -> ((4 / (2/3 * 7/6)) / (5/7 - 1/2))
[53365] ['2/5', '4/9', '1/2', '7/4', '3'] -> ((7/4 / (1/2 - 4/9)) - (3 / 2/5))
[53366] ['5/9', '8/9', '1', '8/7', '5/3'] -> ((5/9 / 5/3) / (8/9 - (1 / 8/7)))
[53367] ['2/7', '4/9', '8/7', '7/6', '2'] -> ((8/7 * 2) / ((4/9 / 7/6) - 2/7))
[53368] ['1/2', '2/3', '5/7', '4/3', '4'] -> (4/3 * ((4 / (5/7 - 1/2)) - 2/3))
[53369] ['1/5', '2/7', '1/2', '3/4', '5'] -> ((3/4 - (1/2 / 2/7)) + (5 / 1/5))
[53370] ['1/5', '3/5', '8/7', '9/4', '4'] -> ((8/7 * 4) * (9/4 + (3/5 / 1/5)))
[53371] ['1/4', '4/9', '5/9', '7/9', '5'] -> (((7/9 / 1/4) - 4/9) / (5/9 / 5))
[53372] ['1/5', '2/9', '9/8', '7/4', '6'] -> (((9/8 / 1/5) - (7/4 / 6)) / 2/9)
[53373] ['1/6', '1/5', '6/7', '6/5', '9'] -> ((6/5 / 9) / (1/5 - (1/6 / 6/7)))
[53374] ['1/2', '2/3', '5/7', '3/2', '4'] -> ((2/3 / (1/2 - (5/7 / 3/2))) - 4)
[53375] ['1/3', '4/5', '7/3', '7/2', '8'] -> (4/5 * ((7/2 * 8) - (1/3 - 7/3)))
[53376] ['1/9', '3/5', '2/3', '3', '9/2'] -> (2/3 + ((1/9 + 3) / (3/5 / 9/2)))
[53377] ['2/7', '4/9', '8/7', '5/4', '2'] -> (8/7 / ((4/9 * (2 - 5/4)) - 2/7))
[53378] ['3/8', '5/4', '5/3', '5/3', '4'] -> ((5/4 + (5/3 / 5/3)) / (3/8 / 4))
[53379] ['1/9', '2/9', '5/6', '7/5', '5'] -> ((5 / (2/9 / 7/5)) - (5/6 / 1/9))
[53380] ['1/5', '2/9', '9/8', '9/4', '6'] -> ((9/8 + 9/4) * (6 + (2/9 / 1/5)))
[53381] ['1/9', '1/9', '3/2', '7/3', '7'] -> (((3/2 * 7/3) * (7 - 1/9)) - 1/9)
[53382] ['1/6', '1/5', '6/7', '9/7', '9'] -> (((9 / (6/7 + 9/7)) - 1/5) / 1/6)
[53383] ['1/5', '2/7', '1/2', '5/6', '5'] -> (((1/2 / 1/5) + (5 / 2/7)) / 5/6)
[53384] ['2/5', '4/9', '1/2', '5/2', '3'] -> (3 / ((1/2 / 4/9) - (2/5 * 5/2)))
[53385] ['1/5', '2/9', '9/8', '7/3', '6'] -> ((7/3 + (6 / 1/5)) / (2/9 + 9/8))
[53386] ['2/5', '4/9', '1/2', '3', '7/2'] -> (2/5 * ((7/2 / (1/2 - 4/9)) - 3))
[53387] ['1/9', '3/5', '5/7', '4/5', '3'] -> (5/7 * (((4/5 + 3) / 1/9) - 3/5))
[53388] ['1/5', '2/9', '9/8', '5/2', '6'] -> (6 / ((1/5 * 5/2) - (2/9 * 9/8)))
[53389] ['2/5', '4/9', '1/2', '3', '9/2'] -> (9/2 / (3 - (1/2 / (2/5 * 4/9))))
[53390] ['1/9', '2/9', '6/7', '6/7', '5'] -> ((6/7 / 6/7) + ((1/9 + 5) / 2/9))
[53391] ['5/9', '8/9', '1', '7/6', '7/6'] -> (8/9 / ((5/9 * (1 + 7/6)) - 7/6))
[53392] ['1/5', '3/5', '7/6', '7/4', '4'] -> ((4 / 7/6) / ((3/5 / 7/4) - 1/5))
[53393] ['1/2', '2/3', '5/7', '4', '9/2'] -> (4 * ((1/2 / (5/7 - 2/3)) - 9/2))
[53394] ['1/6', '1/5', '6/7', '3/2', '9'] -> (3/2 + (9 / (1/6 + (1/5 / 6/7))))
[53395] ['2/7', '4/9', '8/7', '5/3', '2'] -> ((8/7 * 5/3) * (2 / (4/9 - 2/7)))
[53396] ['1/5', '2/9', '9/8', '8/3', '6'] -> ((6 / (9/8 - (1/5 / 2/9))) - 8/3)
[53397] ['1/5', '3/5', '7/6', '9/4', '4'] -> (4 / ((3/5 / (1/5 * 9/4)) - 7/6))
[53398] ['1/9', '1/9', '8/5', '7/3', '7'] -> (8/5 * (((1/9 + 7/3) / 1/9) - 7))
[53399] ['1/9', '3/5', '5/7', '7/8', '3'] -> (7/8 * ((3/5 * 5/7) + (3 / 1/9)))
[53400] ['1/4', '4/9', '5/9', '5/2', '5'] -> ((5/2 + 5) / (5/9 * (1/4 / 4/9)))
[53401] ['2/5', '4/9', '5/9', '2/3', '3'] -> ((2/3 / (5/9 * (4/9 - 2/5))) - 3)
[53402] ['1/2', '2/3', '3/4', '8/7', '4'] -> ((1/2 / (8/7 - (3/4 / 2/3))) - 4)
[53403] ['1/7', '1/6', '4/5', '7/3', '5'] -> ((4/5 * 5) / ((1/7 * 7/3) - 1/6))
[53404] ['1/6', '1/5', '6/7', '7/4', '9'] -> ((9 / 1/5) / ((7/4 / 6/7) - 1/6))
[53405] ['1/9', '2/9', '6/7', '7/6', '5'] -> ((6/7 * 7/6) + ((1/9 + 5) / 2/9))
[53406] ['1/2', '2/3', '3/4', '7/5', '4'] -> (4 / ((3/4 / (7/5 - 1/2)) - 2/3))
[53407] ['1/9', '1/9', '5/3', '9/5', '7'] -> ((5/3 * 9/5) * (7 + (1/9 / 1/9)))
[53408] ['1/3', '5/6', '6/7', '7/6', '8'] -> (8 * (6/7 + (5/6 / (1/3 * 7/6))))
[53409] ['1/5', '3/5', '6/5', '7/3', '4'] -> (4 / ((3/5 / (1/5 * 6/5)) - 7/3))
[53410] ['2/7', '4/9', '8/7', '2', '7/2'] -> (((2 / 4/9) - (8/7 - 7/2)) / 2/7)
[53411] ['3/8', '5/4', '7/3', '8/3', '4'] -> (((4 * (5/4 * 7/3)) - 8/3) / 3/8)
[53412] ['5/9', '8/9', '1', '7/6', '5/2'] -> ((5/2 / (5/9 / 8/9)) / (7/6 - 1))
[53413] ['1/9', '3/5', '5/7', '6/5', '3'] -> (5/7 * (6/5 + ((3/5 + 3) / 1/9)))
[53414] ['1/9', '1/9', '5/3', '7/3', '7'] -> ((5/3 + 7/3) * (7 - (1/9 / 1/9)))
[53415] ['1/9', '2/9', '6/7', '9/7', '5'] -> (6/7 + ((5 + (1/9 * 9/7)) / 2/9))
[53416] ['1/6', '1/5', '6/7', '5/2', '9'] -> (((9 / (6/7 * 5/2)) - 1/5) / 1/6)
[53417] ['1/2', '2/3', '7/9', '6/7', '4'] -> ((2/3 + 4) / (7/9 - (1/2 / 6/7)))
[53418] ['1/5', '2/7', '1/2', '9/4', '5'] -> (((5 + (1/2 / 1/5)) / 2/7) - 9/4)
[53419] ['1/4', '4/9', '4/7', '3/4', '5'] -> (((5 / 4/9) - 3/4) / (1/4 / 4/7))
